Disability,married,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
No,Single,Male,-51.60417331268834,127.8479381997934,A,10.357683330082383,D,71.87705458769432,21.86645539856113,B,0
None,Divorced,Female,-17.517341641972163,98.94805331318159,C,-51.50455285379232,E,9.729771068063123,126.44882198661061,B,0
Yes,Widowed,Male,-218.5950057494702,32.32233868315789,A,74.0194810535696,A,-130.81819119398284,-99.28463314047235,A,0
Physical,Divorced,Non-binary,-58.76319186866292,16.277705045500365,D,-72.90141349191023,E,85.91509168638424,98.87514445065358,A,1
Physical,Divorced,Other,-145.221034144437,31.1905093056952,C,-67.32669439138886,D,173.92944905675984,77.09603099534628,A,1
Yes,Divorced,F,155.23904502518985,5.020184606876733,A,28.242668187071374,C,97.57042174224053,-278.3690025203286,D,0
No,Widowed,F,-68.65455208767035,75.1071883701497,A,-9.555704217204909,C,63.25754662126365,-55.04551951571636,D,0
Mental,Widowed,Female,-97.72105770597243,-10.499325709717171,B,315.26927181770617,A,0.891595576814342,-182.2455594972408,B,0
Yes,Divorced,Non-binary,38.337686588918004,-43.37355449224986,B,166.01087775517107,C,3.805940875294537,72.53937235365731,B,1
No,Married,F,32.33921761431077,-96.01201911192678,B,-28.840024646882796,B,-67.46195523039876,-118.86080043513276,C,1
Yes,Widowed,F,-79.44289247019799,-123.84433963158175,B,-98.60172776307977,B,187.51826819979053,39.94416309605027,C,1
Yes,Widowed,Non-binary,83.45663609949405,-42.340053107061806,D,-95.40434369695329,C,-21.44945882774937,12.153261953840186,C,0
None,Widowed,Male,27.495912085478597,-59.39711790991754,B,13.175711198189235,B,-156.51678012832727,196.9779606172344,C,0
Physical,Divorced,Female,-5.0280874858199205,15.382966811999458,B,80.24787238404286,C,-55.25539465982144,143.3058346945611,C,0
Mental,Divorced,M,114.9514448446437,43.750553646685205,D,63.76283737785881,C,51.9186448739546,-55.07635158315163,B,1
None,Divorced,Other,-40.84104240607849,-74.11125260984403,E,-40.10510206812193,D,111.41424974794703,-44.87865006578334,B,0
None,Married,M,60.02935935919954,-76.93919302308419,A,-139.04107257159086,E,37.268338490424924,-57.74986230204421,A,1
Both,Married,Other,-199.00335906925966,-200.40619135937496,B,160.36870104999485,D,8.168211497698232,-61.45886473160985,A,1
Mental,Married,Female,50.6741486037825,235.1585730386576,D,-42.831720760827075,E,-106.61227314974806,105.08619285922174,B,1
Physical,Single,Other,-56.777242604764176,224.5649889927751,E,45.38188610886127,C,1.4077431394118054,-149.4801131151385,A,0
Both,Widowed,M,-125.0734909041702,-80.94899818545537,C,-46.05617351516654,B,-49.70100506917469,166.63494684891745,D,1
Both,Widowed,Non-binary,28.534993160313004,3.842290452108991,E,-125.12746137791508,D,228.55970606059864,8.541972920175997,C,1
Yes,Widowed,M,63.14051771298913,-116.51767150289143,D,6.081015327676206,A,-70.71539663388296,94.69705459736024,B,0
Mental,Married,Female,-77.1415879196607,-11.812945872681796,C,-63.99007484100873,D,7.04311623325669,-118.36086188144508,E,0
Mental,Married,F,61.55425059152332,115.81099878971177,B,233.88340358580288,E,-90.25150850479272,-105.07295669612824,E,0
Mental,Single,Non-binary,-154.02732101516915,75.78746533030049,B,-15.532053388634045,C,-123.78948307057595,-69.90307696230582,A,1
Both,Divorced,Female,-94.89214244543481,-124.5730690112415,D,-170.97376806331908,D,117.67663106154743,-121.05939873041858,A,0
No,Divorced,Female,101.27855315481614,-36.674642073891576,C,-77.16490433993314,C,82.69450296678764,-29.00923243367488,E,0
No,Divorced,Other,-159.2083507432259,-20.974303580386756,B,61.04844555100539,D,-90.60416666255385,18.05956549050164,B,1
No,Divorced,Non-binary,-164.81152662136853,-60.68361606586509,D,18.212262253297148,A,-17.02953184209718,194.37000750479606,D,0
No,Single,F,27.318465383196184,158.4793118335425,B,23.81261760315168,C,-121.77611290800432,-108.73798874061254,A,1
Physical,Married,Other,94.05222196381968,48.525132423760375,C,-14.797590052650856,C,222.35713194101234,-8.316318290127828,E,1
No,Single,Other,-7.649603118148366,-2.9174966991014064,B,-3.177164797926857,C,120.65423524744432,104.64515935312791,C,1
No,Married,M,-123.72376200748391,32.76502146688934,D,-69.00648812254359,A,-20.32424605479376,125.99671885159675,C,1
No,Single,Male,0.8894436922805495,-33.063026311853605,A,-112.15782565354118,A,159.99769380394952,38.577985721747055,B,0
None,Widowed,F,-10.35268045129045,-42.492287011938416,B,40.184175305376804,A,-28.14455940444055,200.44087171257524,A,1
Physical,Single,F,169.0440518453782,11.785093639550192,B,225.88923614487135,C,9.313395288092611,-173.66088298662808,C,0
Both,Divorced,Male,40.96480469817038,-180.34226430131167,C,-19.750317924950824,B,-153.69978446743164,142.15106216209062,E,0
Both,Single,Other,21.60732264839997,4.999662515424146,C,-37.56658301790586,D,115.77757634155648,-182.40428154581417,D,0
None,Single,F,277.25156004740506,118.48604214375294,B,63.1452902544379,E,57.19619665238436,113.44846314437291,D,0
Yes,Divorced,M,163.02603442088488,-200.41993535490855,B,-73.18696567093012,B,73.67683133280914,172.55260224344056,A,0
Yes,Married,Female,11.918119348367753,100.18328302478518,B,-157.9205283847803,A,184.65258591308168,-149.0490835477422,D,0
None,Single,M,67.44362882822385,-1.6307443725323556,C,90.67915787962605,B,15.839319949846448,104.19227352530514,B,0
Mental,Widowed,F,-150.75940124472643,179.98195526213647,A,-88.93072022303912,D,-105.4242452801746,-15.203871704405033,A,1
None,Widowed,F,48.17459875091765,276.13266743939704,B,61.58270164471749,A,-185.96940164124015,161.99093873888577,C,0
Both,Divorced,M,-85.24487697662471,-25.18006369997709,A,-172.77221160854367,D,-36.40765135307472,48.78208861796984,B,0
Mental,Married,F,-269.6975603130684,-22.173806114813914,C,39.44595530406191,A,-143.19379138398517,18.966660330514095,E,1
None,Married,Male,18.979495948787825,-60.79275891710536,D,67.01945924778427,C,43.11396425609996,-119.7554862006555,A,1
No,Married,Female,14.48877760911658,5.8687132561116275,B,57.13415874228317,D,103.76842253649703,22.953416532238958,E,0
Physical,Divorced,Female,-55.43041506605021,-9.87104880628148,E,21.017618263103927,E,-151.0909762684173,33.34611402329289,A,1
None,Married,Female,-3.5745343406282797,-75.20165433874583,B,-82.44286262284176,D,81.82716204415364,2.863328334972814,D,0
Physical,Single,F,-31.51606063792857,-35.755453447741424,C,-200.42956495886693,D,131.2264480498287,49.537300022898556,C,0
Both,Widowed,Male,-44.80236105328468,-20.492595096515217,D,-3.169909750628561,B,34.76320097706892,-86.95612856148401,B,1
No,Single,Female,-80.66097097474548,119.43870578012562,D,91.41119206855745,B,16.689624117624195,-124.72809484036016,B,1
No,Widowed,Other,-127.69005017912858,72.27875239798718,C,-128.2996194180276,A,150.44658794053706,32.06294303173711,D,0
None,Divorced,Other,-50.74500002933937,-111.79796267502763,D,-86.8438352039892,E,-106.37905358653204,34.93046955880442,A,1
Mental,Single,M,-62.020654167782084,-70.75368634640444,B,-41.452082310435685,B,223.3924676876183,-42.048552018587806,D,1
No,Widowed,F,-180.1114063935343,-54.929417092068135,A,-65.56379745101827,C,39.79127657564489,-52.411151013863666,B,1
Physical,Widowed,Female,207.062998974162,119.72487639825971,C,-25.678291631666305,C,6.4063414848801,39.0269646124208,E,0
Physical,Divorced,Male,82.9917584345026,15.078174300151733,A,-154.75408043757156,E,-111.89306204834966,56.84054610707899,C,0
Mental,Widowed,Other,-46.246624859744955,81.95412659269905,B,-62.46455003263583,D,49.14064870870411,118.38915625207056,A,1
No,Single,Female,89.55946815383608,-61.95155520212072,B,84.18811412641315,E,-52.23990515269081,1.5561969161104223,E,1
Yes,Single,Female,-60.7559217705907,-120.22167500266205,E,106.82916060732204,E,-232.02906723714548,-15.197932497477836,B,1
Physical,Divorced,Non-binary,-117.0967983993172,81.55405707965323,B,-125.5185998347283,E,129.4606065787833,14.454034912309217,E,0
Both,Divorced,Female,86.02311117590511,-56.31105504658388,A,29.638268233154662,C,230.86068163524908,-137.25333443544608,A,0
None,Married,Non-binary,-55.33279127151183,72.3111067601021,A,73.14370410454016,D,26.618505477536385,255.81178116316025,D,1
Physical,Single,M,82.8693923720809,29.587482424556814,D,-101.2210912387961,B,-20.740539459496024,-44.97841835974054,D,0
Yes,Single,Male,-80.63598269803414,-48.43989576614243,B,-4.617526042475259,D,36.21830603610445,7.673039099139317,B,0
None,Divorced,F,-81.58233895858153,126.5747283787196,B,128.16281605779614,E,219.21247369220848,-32.46833577196363,E,0
Both,Single,Male,51.7595816875484,2.5277381323133983,A,33.11589080831199,E,-35.41786798861368,-51.38165803921226,E,0
Both,Divorced,Non-binary,45.84450700980123,-107.66311944425482,C,215.8690985745306,A,43.5611680127854,23.12650325876055,A,1
Physical,Divorced,F,22.961016359206535,115.32170688053083,D,28.6284725131988,E,-96.72846119628204,-53.64631399430546,C,0
No,Widowed,Male,-14.346152922696179,-94.4078232699337,A,35.38978429944878,C,-115.61179659233632,-61.30710886877926,D,0
None,Divorced,Female,-36.08569689063844,-13.795898446139496,A,240.90024556646026,D,139.73119351144726,-45.73713861166148,E,1
Mental,Married,Other,118.64008575210556,-131.28727965661045,C,-26.307460339110488,D,-24.89574094896672,62.0346383889402,B,0
None,Widowed,Male,-93.7405810176385,-39.34068144373274,B,33.151758228743596,E,5.012304994756822,-139.03366672355003,D,0
Mental,Married,Male,95.86568389889716,-32.68004879351426,A,-29.569988825123005,A,-37.923670632189804,1.4658577711868932,A,1
Mental,Single,Other,233.2320075494229,175.1763393324452,E,-112.77904279388464,D,-45.62219878600191,116.23463459955288,D,0
Both,Married,Non-binary,27.037559014657162,109.80224623546255,A,70.34666586155922,E,58.49112398910774,-23.217481447203085,B,0
No,Divorced,Non-binary,-189.77453328004373,4.680577856241599,A,254.06483350376362,C,108.06847589350403,222.28907959923148,D,1
No,Single,Male,-43.69157364472993,-31.16681998285789,E,76.30386588868797,E,-26.457783348981618,41.505399118014424,E,1
Yes,Widowed,Male,-38.723932326028034,220.1194508822954,E,-135.8124511580298,B,107.8489652079448,-29.808478353665212,B,1
None,Single,Non-binary,36.934726258963664,111.33277123391385,B,-32.467934222126296,E,-42.900552328140904,151.74096007695505,E,0
Both,Widowed,Other,-72.0550439810982,-205.1502844596553,D,90.22248827828186,E,26.174753476044465,-144.36853623815205,C,0
No,Divorced,F,-127.64323436507328,79.72103523202013,E,124.63684743323573,A,159.174326923569,-206.62354872326364,D,0
Yes,Widowed,Male,-79.8914144167094,138.68454420089,D,81.41318278654256,A,-13.442642780656705,50.26796039694147,D,0
No,Married,F,158.99918451322162,-5.5927575118806265,C,-35.15928063961882,B,20.653629243822824,78.95055974826332,E,0
No,Widowed,Female,-12.755901047699384,68.59068630904187,B,-185.20892082762916,C,131.86386820733748,-124.70913510130728,B,0
No,Single,F,-169.78979021693166,-32.55639840639514,B,-80.59884142763816,C,10.892073645412625,-90.68601244524629,C,1
Yes,Single,Non-binary,24.899560700906246,-23.932458447850227,D,-150.86959387096803,E,-103.87110739109862,120.00990158789723,E,0
Mental,Single,Male,-10.529738448096303,-119.42260394024831,A,59.935269710545406,B,47.07804364006137,254.34865344196544,A,1
Both,Single,Non-binary,-134.1901519206746,71.33645161156336,E,12.63823587719698,D,-70.34933664042133,-14.154767838136657,A,1
Both,Divorced,M,120.18247831486005,-44.17134633979323,B,131.34491326710165,E,-7.813420808912372,-160.15435827172556,D,1
No,Divorced,Non-binary,-56.063126808558906,46.11617471970973,A,-63.51829225794088,C,-40.27564487708394,-78.24161895885887,C,1
Yes,Married,Female,147.57534920906184,138.12388035911488,C,5.492411029407526,B,78.76584318590794,-17.329501409631344,C,0
Both,Widowed,F,129.74152656314334,-8.280732989091716,B,-141.4136594467628,B,87.33908190417081,-92.34361876370394,D,1
None,Divorced,F,16.081958901732385,-14.939991110210627,B,-155.5828431820299,E,35.586143025088234,-90.73822808570418,B,1
None,Single,Non-binary,25.00854071689533,140.2423494666484,B,-44.32476030418586,E,126.56558660258146,-79.33891295121059,E,1
Yes,Widowed,Male,-68.09500749379762,-221.26866933091355,E,-136.77583424575093,E,-92.70686842160268,131.58239006704872,B,0
Physical,Divorced,M,-117.24673045624696,-144.81889786879967,E,-36.30553836240075,E,-5.655983542431372,121.0436628026941,C,0
Mental,Widowed,Other,-64.88686917378561,43.69834348078902,A,-100.99684008674872,A,-80.76547310503257,-40.87507977661464,A,0
Mental,Married,M,14.954864582229682,5.649577965346069,A,-56.414729323989256,E,32.01927096646966,-55.87568609901376,B,1
Mental,Married,Non-binary,167.07328891313796,-24.443088682305174,C,-91.859270258122,C,64.76377230856907,-173.83159455874448,B,0
Yes,Widowed,Non-binary,-16.46174855198233,56.740108716512694,B,-49.431438286188836,E,35.39678264772253,37.42321350407876,A,1
Yes,Married,Other,-38.15383994022996,13.928630868785183,A,-85.4701170824682,A,-34.76640672784267,155.0063044265858,D,1
None,Divorced,F,162.7076330052866,-198.68985197456877,D,46.32874893237368,A,36.8982857380757,21.170572802399867,B,1
Mental,Single,Other,-111.02431247657219,74.81955105697648,E,35.70405685530451,A,47.999582690089106,113.74768452787103,A,1
None,Widowed,M,-132.86742725799917,-25.76557499836774,A,3.0498135397319586,B,-78.42308652947794,-89.83534028719976,C,0
Mental,Single,F,-32.50478469170793,-45.30455093879109,A,94.86144034826539,A,72.52465334553148,-10.052879998086762,B,0
None,Single,F,-140.34056774758392,-49.79978879843353,C,123.54650713260742,A,-52.93546691766898,125.16665354317257,E,1
Mental,Widowed,Male,-144.94620741379833,-23.44659604724681,E,140.13349772015678,B,-37.021426797102855,41.78928951541711,D,0
Physical,Divorced,Non-binary,108.81698536477387,29.630288883939393,E,-19.236918121094053,E,260.1937210842136,-67.27913407735008,E,1
Mental,Divorced,Female,76.0770884793249,-73.87078528821804,E,-171.33263105027862,B,83.83547129599918,28.28877683695405,A,0
Yes,Single,Non-binary,-58.51876667278052,-125.61682795526745,E,47.33011110340396,B,-102.37611061359723,90.91066208979547,D,1
None,Single,M,-36.299641957289786,-92.13679215553431,B,31.201025680416343,E,18.210618432270174,9.435422404496977,C,0
No,Married,M,58.01444910652847,-37.56927777563973,A,-20.88775292806663,E,-86.84728571627026,70.07902293608657,A,0
Both,Widowed,F,27.222959042586183,-131.37001670405104,A,12.971708352695,A,-52.750235126817415,62.41795173864192,B,1
None,Married,Female,72.2085612472963,-0.1310126357036428,D,-17.867725690968783,C,-94.98497570057845,-108.74999487982366,D,1
Yes,Married,F,-86.07129202251123,-196.61940305536172,B,142.60850853760454,B,155.177247652557,112.0029846297272,E,0
Mental,Single,M,57.30169371881184,49.72335836855555,C,72.86204185179085,C,-243.91194910642767,102.92639806180645,A,0
Yes,Widowed,Male,5.216054195924493,-40.57107746969181,E,49.914845055086325,C,-125.02103829727007,-6.104780492011284,C,1
Mental,Widowed,Non-binary,-62.35322846979982,104.67144829106283,B,82.76539040380014,B,72.04231446096459,-199.84864067341152,D,1
Yes,Married,F,-2.103022789955598,-172.80656982101922,B,125.22979670800602,E,-261.30290082988995,165.0216257511047,A,0
Mental,Single,M,-50.62796898573582,20.971157355531332,C,-53.21895977425671,B,-164.7524258434806,-107.45608117336658,C,1
Physical,Divorced,Other,3.955188677271098,182.69056832814582,E,-20.289355627613347,C,-99.15197480002294,-56.58100391382559,B,0
No,Married,Male,-15.22418643376316,2.9333058769389364,B,10.218239203225874,A,-106.76841953368526,-151.06712285143308,A,1
Yes,Married,M,169.8283842505697,48.620966857379734,E,-2.2983598186814755,A,-47.51661999106093,-91.32627066359028,C,1
None,Widowed,F,161.20577060155347,-163.4917380231949,E,-160.06176272945834,A,-179.14523574713118,133.0976544661083,A,0
Physical,Married,Other,73.51788497132067,-62.5664890667418,C,-87.35010743804862,C,0.10326159551337975,29.061591510387323,E,1
Both,Widowed,F,105.54648639115524,35.99660954720043,B,-87.76546238974643,D,79.3219411012346,67.97579065939338,C,0
Mental,Married,Non-binary,15.030002474553376,84.31478297461096,D,6.659117022950824,C,-120.08626817095809,40.2171684151905,D,0
