veteran,SEX,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,Non-binary,93,156.28159486546812,141.51146027567756,D,E,E,A,-6.3797556189189475,24.65885901933868,131.86451128636847,A,D,-104.9662193376296,E,D,0
Non-Veteran,Female,38,-220.23116635001378,-121.38272877633014,A,B,D,E,14.29451796054487,-2.8463986333302893,-163.3258425210048,A,D,12.161031156206944,E,C,0
Veteran,F,18,81.0357754583605,-154.2918425963845,C,A,B,C,180.7484299144625,150.39033051357242,-9.811749515039981,A,D,152.67475539001813,E,D,0
No,Male,22,38.92400104778504,-43.46254725445486,D,C,C,B,148.59791596884878,49.48288405148444,-19.29912698807777,E,D,132.8311143741306,A,E,0
Non-Veteran,Female,94,-268.5946963868096,60.892219977125514,C,C,B,D,107.72290907608124,-67.77528237022092,194.0217110334676,B,A,-132.66842590737983,A,C,1
Veteran,Female,45,-31.993866718162433,93.26820495069751,B,E,C,D,30.67939970863847,155.60097070487913,-134.65339012916604,E,E,27.296558281723122,B,E,0
Yes,M,72,18.716144549815667,137.57784309747743,C,E,D,D,144.08565904470402,37.42502116498269,-44.90393605847115,E,D,95.97423001240792,A,A,0
Yes,Female,61,-30.707986564659024,-114.99013701391631,D,A,E,B,-171.80506811801752,-207.08067142021395,-135.61958739339417,A,C,66.3544163839013,E,C,1
Non-Veteran,Female,71,74.48090394964093,249.913913350992,B,E,E,E,84.02167840499274,-109.86294274098864,-46.220699045852086,B,A,195.12416259126942,D,C,1
No,Female,92,-63.997809153300814,61.98430355318487,E,A,A,B,-72.64494714847206,-40.97420540258563,-129.31486675776983,E,A,100.92504936104933,A,D,1
Yes,Female,63,-32.61990034362852,-128.46817084123992,D,E,B,A,3.7950167897805067,-208.2195056156899,-221.1820016816516,E,A,-13.113217277695878,C,B,0
Yes,Female,63,-97.18758164498955,99.2620056703465,A,E,E,E,26.335361961728392,-84.42079973204164,185.15099873071475,D,C,74.55222371100389,D,A,1
Veteran,F,24,187.3310299668242,-139.42053055769637,A,B,B,C,68.09230034905661,62.156518642809345,-148.2168298154925,D,B,72.38193828683455,D,D,0
Veteran,Non-binary,69,-64.63215575658447,-175.19012995468165,A,A,A,D,19.027896592455356,-150.940211292025,-11.393841847586582,A,B,-160.50580789759212,A,D,1
Yes,Other,86,7.187377232713649,-42.469107110603474,A,A,E,C,69.56175956782606,-67.78229533074938,-40.624507431724766,D,A,-14.036786821818712,C,E,0
Non-Veteran,F,93,38.44095998559733,-19.273480178024784,E,E,B,A,-57.80467649750213,23.68528614960356,28.30191545087115,B,D,-57.08236885421761,E,D,1
Non-Veteran,Male,91,7.974152982849056,-22.166471356870538,C,D,D,A,-66.01309719749669,-139.32273117679966,-99.23115925836638,E,C,132.98762603088602,C,E,1
Yes,Male,45,-105.97808912841377,-104.85815986050468,B,C,B,C,-65.43277036995894,-19.699688304273486,110.22518154558283,D,D,-150.94289339182413,E,E,1
Yes,M,35,78.71449495506481,53.906537600840856,A,D,C,B,91.46319930943494,-24.824452996903627,92.15968838193308,A,C,100.71085173372478,D,D,0
Veteran,Non-binary,69,113.41097149672915,63.692321691965404,D,E,E,E,176.4414190003809,4.967589130053198,94.31978682852578,E,A,76.01129608858476,D,E,1
Non-Veteran,M,31,18.100088177971436,-270.3547241827176,C,A,D,E,-169.07386478917815,27.326930233847307,-127.547357680563,B,A,78.58761322589494,B,E,1
Yes,F,42,23.14794704265463,23.576826483522233,A,E,A,C,-33.43857822288915,-3.861370232940136,168.11306471671458,C,A,5.872172818738663,C,A,1
Non-Veteran,Other,48,-163.414815081283,15.5716743630268,D,C,D,B,8.38711185236423,-19.69557568926417,-103.57477426598479,C,D,224.5275349554205,D,C,0
Veteran,Female,48,-23.881078253663226,-118.92553121998097,A,D,D,D,86.92736269061528,-147.24190242142137,34.98819284801788,A,E,-15.417095267172002,A,E,0
Veteran,F,47,-136.655899162877,-0.19931792510709664,A,B,C,B,-132.53295902789674,29.58195725103495,92.117256190502,E,D,-153.93531971660767,D,E,0
Non-Veteran,Female,39,56.30008711007398,44.02995926063248,A,D,A,A,31.9722258216862,-115.46341774401748,-5.346412682873189,D,E,1.1040815983143901,A,A,1
Yes,Other,18,25.129777956292486,263.7086868521694,E,E,A,B,247.91385706686512,123.17064869540857,-0.9266663909622141,B,D,-52.73114360015532,E,C,1
Non-Veteran,Non-binary,44,168.95325487671911,-47.65954565122108,B,D,B,A,-15.737577986135538,122.25156107821644,245.01632573658821,D,C,-185.15492007199455,C,E,1
Veteran,Male,51,-50.79085531639479,-17.044020557905093,B,B,C,C,118.72627716036175,152.73850372321388,-133.0830313554588,B,D,-148.8077399431904,B,C,1
Yes,Male,92,-54.82025546538921,70.73779247719821,B,B,B,A,-82.38446684066615,2.6476054676836993,18.78004129894446,E,A,-23.147537779735384,C,B,1
Non-Veteran,Other,94,-43.148447777467744,-150.02805298147192,D,C,C,B,-60.897036924400226,-17.000387254258378,128.90135412956894,D,C,11.759936025910706,C,B,0
Veteran,Other,18,-4.158922992890354,-77.38562466947808,A,D,B,D,-133.01812262202446,60.1214864211435,-324.2803534994455,A,E,-58.303928912792266,C,A,1
Yes,F,57,-22.011332431203133,7.6535771102117405,D,C,B,B,9.544275132846455,61.25885233368694,155.29934415000503,E,C,131.26595034055217,B,B,0
Veteran,M,44,88.83967971134503,-46.88466093171592,D,A,C,D,96.3762259044276,87.86042759617357,-71.6245504327279,E,A,-152.76155237015828,A,E,1
Non-Veteran,Female,32,-18.19223318279831,13.053332410923044,B,C,A,A,-168.3474391390871,82.60283935127175,95.58889814260417,C,D,82.12532111332182,C,B,1
Yes,Female,56,-228.3767234320332,89.54056405971966,D,D,D,E,56.74414616001472,20.250570781335107,-38.36884346849583,B,A,43.782435651103555,B,C,1
Yes,Non-binary,75,121.64478264279741,45.146583220680824,C,B,D,D,40.49293422496915,-48.14065696454383,-149.87662493176643,D,B,68.40900714709613,C,A,1
No,Male,87,-89.63548247311925,-18.769027482249513,B,E,A,D,-67.6803731735613,97.81233505572266,-149.97784635803237,A,D,-99.22040429150346,B,C,0
Yes,Other,83,82.85774701842335,30.65938492958659,D,B,D,B,157.60402810938587,191.33777128814037,33.10068111032916,E,E,43.354114371698834,D,C,1
No,Other,93,146.76670240236882,147.09458180266947,E,A,C,B,-48.81937073361047,-93.40457864096587,-72.72663490422636,B,E,157.64814083699463,E,C,1
No,M,70,35.198188486760515,-26.023811998163882,D,E,A,A,17.052349981740637,27.869472439608177,-60.53397416889411,B,A,-75.18193817961385,B,A,0
No,M,69,59.205335332192966,70.78100062787075,C,D,A,E,-40.95759799843015,-135.0317540485105,117.53953410515491,D,C,95.5008868664169,E,E,0
No,F,85,95.77264997655364,9.33558944484253,C,C,C,D,-40.996280679456746,-117.5948644636615,-59.05811373074995,C,C,42.21756990725236,A,C,0
Non-Veteran,Non-binary,79,-95.09276443941825,-84.80301755204177,C,E,B,B,25.537589454520266,-175.05803570373527,62.51796946566477,E,D,-69.36771699167305,C,E,1
Yes,M,23,-76.87964652751657,-15.955147135418807,B,B,D,A,138.74829025148617,5.155139619722037,-31.08093295126834,E,E,137.88802354794268,B,B,0
No,Other,69,70.1744743766814,102.88455791481408,B,D,D,B,85.18243763892495,-87.4833149981649,122.98070357066781,B,A,96.1882972772722,E,B,0
No,Other,61,-19.2367426645069,0.5050879557732899,B,C,C,C,4.764992131615423,-214.11105009354472,-8.563038949135354,B,D,20.08313921780455,B,B,0
Veteran,F,96,136.7581794305277,62.62067253307807,E,C,B,A,-90.36356185292297,12.433099757972574,80.58999410075725,D,B,38.67447353583029,D,D,1
Non-Veteran,Non-binary,25,108.14109509751238,148.3889526334878,D,E,D,E,-78.48162817293941,-134.74239918557046,-164.28937492316683,A,A,113.85232177150095,E,D,1
Veteran,M,18,130.74826544563902,-52.45197230115035,A,B,C,A,-23.61036003887496,-167.05187007013654,-79.58540347694326,B,A,7.182013579925202,C,D,1
Yes,F,19,-131.79050344286972,-42.49144786490766,D,E,A,D,38.66646166446315,44.406963927699685,-12.837188576917955,A,E,56.505961584837536,A,E,1
Veteran,F,18,34.37224686111919,-149.8102758673996,A,C,B,B,4.4659029684995835,84.19857572476192,-94.56981103165121,A,A,-21.75090065314253,E,B,1
Yes,F,37,-78.11229074793332,-92.37479666772282,C,E,C,E,-4.8847968768178385,102.52588183733442,-110.49865752130104,B,D,18.730021502203186,A,C,1
Yes,M,55,89.89333809561793,-42.118333787766424,B,E,B,B,-53.058824300483366,109.85484028469148,-84.35222117688467,A,A,25.427225785022866,C,C,0
Non-Veteran,F,54,-0.1777325368353297,-17.121142307745735,B,B,C,C,81.02096317447429,74.00797240458625,-110.22148609613558,B,D,30.84300714293206,C,A,1
Veteran,Female,65,25.55798395892705,58.13414707116393,E,B,D,B,28.375474207437268,-4.4523035341775445,142.53879096399223,A,A,19.257896514372327,E,A,0
No,Non-binary,19,77.59091715984368,98.38344222058642,C,D,C,C,13.945717952855471,11.540461000834611,-111.46653456631526,A,C,96.49958203591893,E,D,1
Yes,F,21,28.087528264915036,-70.80321562386959,B,D,A,D,84.34404799422589,-85.16277032130746,7.454252216673988,B,C,-91.87628244513361,C,D,1
No,Female,66,41.77550290282066,-118.55183295474416,D,C,D,B,76.59403248090632,145.2550487017286,-5.2760358194344565,B,A,60.53777224649169,D,B,0
Veteran,F,47,84.88463008203547,9.531050186844379,A,B,C,A,10.402514434979405,-164.9808905340307,111.30357041915886,A,C,-112.61505243549055,B,C,1
Veteran,F,93,-24.617611666200652,145.06523385699228,D,E,A,C,91.29792279764544,-50.245650871973446,-58.11842395963463,D,D,-15.890731250799863,A,B,0
Non-Veteran,Male,91,-122.65333128802239,101.12937292510126,A,B,D,B,56.10260809126757,-194.89391457810973,-58.68991847117721,B,B,-95.40703927186135,C,D,1
Non-Veteran,M,98,-45.83372785786668,194.40319920280785,D,A,B,B,50.832806113488836,70.00150382222712,3.0933944490790957,B,D,98.42144286993405,A,A,1
Non-Veteran,Non-binary,25,-110.0779430632522,-23.427200259816825,E,D,D,C,72.66265935117436,55.506836427766615,3.992764722310444,D,D,193.66186783282387,C,E,0
No,Non-binary,86,30.360776187681616,-126.78582425735408,C,E,B,A,152.45990906223557,-161.06158031190745,-36.84819406396563,D,A,125.56444048505774,A,C,0
No,M,47,-83.41531417079258,275.3549723106607,C,E,A,E,-117.2029096641703,-159.3965174548207,-49.88446084780359,E,D,-8.900562092852295,C,A,1
No,M,29,318.47892778453735,-181.30982666021953,C,A,B,A,-79.06932356314742,-47.65845881137408,120.89902547825555,B,A,-53.10099262661506,C,E,0
No,M,58,-39.75693952362728,76.27387453382276,E,D,A,C,-13.107819687488293,-108.20477617644653,-100.42011759582745,D,C,35.555147330759205,E,D,1
No,M,56,-41.5406419329962,77.11453125006561,A,D,E,C,22.314063175207707,-16.940677997411903,301.74402006000344,C,C,-142.96024708388578,D,B,0
Yes,Female,94,-90.90952704972757,68.23833936177984,C,A,C,A,-76.89927870265329,69.5777352576718,-161.6964984158232,C,A,234.60697989052787,C,E,1
Yes,Male,73,-17.186777728703383,-72.76611095869718,A,B,A,E,206.69485246579205,-23.170464576344553,-154.75895642922194,C,A,-76.86793360140751,B,D,1
Non-Veteran,M,52,104.01924485541407,-88.05525312961228,C,A,B,B,-79.82246603485777,-5.6018594282993455,-36.8203680331744,D,E,159.99004249335763,C,B,0
Yes,F,78,-28.67420444779558,-100.00811067639997,C,D,C,D,20.419257809473116,-72.05238288768692,149.5969696159528,A,B,-42.61926190290682,E,B,0
Non-Veteran,Non-binary,35,-227.81498656304683,-83.99933947073394,E,D,D,E,-27.660383319885202,-27.092618263114275,55.574267129297006,E,D,25.419075539365892,E,B,0
Veteran,F,82,-31.376934906287797,-127.83340981169732,D,D,E,B,-133.53692678983003,-49.54943126038979,17.430061769691164,E,C,-202.51233894315362,B,B,1
Veteran,Non-binary,26,37.29076889598624,23.40343431913455,C,C,B,E,-49.492195569631534,212.24807216158794,92.49475257476418,A,B,-77.41531196439942,D,D,0
No,Other,44,46.54970075701108,-72.02424709395025,D,B,C,D,-27.6367376521782,51.84351446611964,-51.359543380403316,B,A,-17.348631098049097,B,A,1
No,F,45,6.853252293662767,-5.29697567836821,E,E,B,E,25.555854558727358,195.68975214838838,17.515529304632512,E,B,-117.16023567648008,D,D,1
Veteran,Male,55,24.340993351112996,36.602167262480705,D,A,A,C,85.1951685520721,3.994129086009797,-33.99675647138029,A,A,96.17692929722683,A,E,1
Yes,Male,87,38.6901015896623,1.972880683758282,C,D,E,C,-173.76550313896502,-102.35783652601633,128.2426547862304,B,A,-7.360030473853767,A,E,1
Veteran,Female,59,-128.71716302914973,25.591921330245142,A,E,A,D,35.04809413591631,-169.3258009242979,27.964529684426516,E,D,-103.52777174351166,D,E,0
Yes,Non-binary,42,67.79801133590925,-44.7810023956922,D,A,D,A,-22.231716264731364,-21.87232886813291,11.455934407788686,B,E,-4.221555901732376,D,A,0
Non-Veteran,Non-binary,27,-27.689100587112055,-14.545641186566932,E,B,A,B,-105.44878441161269,-145.13918082104473,-130.7589792707931,C,E,-201.4399378879691,B,A,1
Non-Veteran,Other,83,-255.1396203679465,158.61699869977997,D,D,A,D,75.6496044003161,-55.63768615653538,-38.44077175474022,C,D,152.01026234490664,C,A,0
Yes,Non-binary,46,57.641636102910795,-192.09712095416066,B,B,D,E,-58.801308611301565,-61.30746510748898,165.036940988188,C,C,117.14467547878546,B,E,0
Yes,Male,61,114.82717686290742,-44.362663757620815,B,C,D,D,44.60749596489728,23.76145375213778,-0.0052417900803536695,C,B,70.62420115408294,B,E,1
No,Male,84,51.823398634041716,21.470293497369767,A,C,A,E,76.7830499773277,-21.057227377007468,-252.9066763807736,E,C,-85.2718029776904,A,D,0
Veteran,Other,70,-73.77331411210166,47.78721305290456,C,D,D,D,70.1476519393298,53.16733501431358,-134.72298295135195,C,B,116.21832003797408,D,C,0
No,M,24,126.90180743366939,-49.487096208046616,A,D,B,D,55.880621100249584,-74.5112974609811,-116.4594747617826,E,E,-69.71337606159278,E,D,0
Yes,Other,37,-38.830689704253224,-27.141841530222184,E,E,D,E,-40.43361932197343,7.246713338033079,106.82533315940022,D,D,-3.4017782270297046,D,D,0
No,Female,61,52.86163225866086,7.316196932786495,B,E,A,C,212.53811297800857,-32.855653098978706,-100.88466681081066,B,C,9.590507771419379,E,A,0
No,Other,71,233.18985642285077,-89.36144042934873,B,E,C,C,175.41345408986854,7.864006921111523,4.537629460785088,B,A,119.52805868020577,C,D,1
No,Female,21,-41.77275716441856,222.8217776557647,D,A,D,C,51.50983394714675,-40.084375971241606,122.0810287942514,D,D,-10.543803550828638,B,B,1
No,Non-binary,94,-1.4985641101978473,173.480340636312,B,E,E,C,17.359009488431795,221.09922407836612,87.26192316561772,A,B,42.41710253032826,B,D,1
Yes,Female,86,-62.57174903381836,96.4601589379269,E,C,D,C,12.3107530741289,86.59336797857544,-32.14603149918172,D,A,-28.304430471594618,D,D,1
Non-Veteran,Other,34,-158.74830099696214,-18.264712673892593,D,B,B,C,-108.57849248836231,-8.048348964937649,62.31251360473309,A,A,19.264645345304025,E,E,1
Non-Veteran,M,31,59.61466671757856,-37.41058211373418,D,A,A,B,-129.82020700627348,73.98334353135803,49.11716477226397,D,D,54.93876242013569,C,C,1
Non-Veteran,F,92,-90.1192786920467,-33.063282141419364,A,C,B,A,104.91690598068016,74.22270533403578,39.68802609722493,A,E,-67.77719060430753,D,A,0
Yes,Male,81,240.247916453223,104.50559265551784,D,D,C,B,122.75287706281364,60.73673604664195,71.72155270591945,B,C,-6.477051064696488,A,D,1
No,Female,80,-109.43843925546048,-37.556947153372576,E,E,D,A,152.43370069854916,-89.21005078978527,70.69139765832655,A,B,138.8485290436455,B,B,1
Non-Veteran,M,41,-136.0279461479551,5.932965875460279,A,C,B,D,-20.22329978734418,60.10857082554107,-160.21517259652418,C,B,-73.8603682861777,C,B,0
Non-Veteran,Female,21,-76.74546234898202,-39.42383400471477,A,B,B,B,-57.96957555054013,66.15557161528788,57.353086284724434,A,B,59.912653972523245,A,D,1
No,Non-binary,40,153.27941006001438,39.15957263445838,D,C,E,A,-2.5142272118503555,-99.78692489266565,35.75556729331711,C,A,10.868409063316971,E,D,0
No,Male,80,187.71405739715962,-74.01347490633289,B,C,C,C,76.31762736968618,109.07860936168984,-94.39984740498028,E,C,-74.62801541673852,A,E,0
Non-Veteran,Male,69,71.52951544802566,87.83007949820102,B,C,E,B,-24.084200222203652,-61.13027916174737,105.8029727175015,B,E,-159.73983677436786,D,E,0
Yes,Non-binary,77,-101.80913905438163,116.26157879665668,B,C,B,D,9.281570475285376,-75.12067992601558,160.66927508254457,A,A,48.363052294996415,E,B,1
No,Female,35,-43.60454335664087,-8.086139106340607,E,A,B,A,-125.682741422539,15.535937564942511,116.00321797929854,A,B,195.03777862500274,D,B,1
Yes,Female,52,137.22642588111006,-146.14480644705506,E,A,A,E,32.21781681701708,61.09967934689758,15.753794853180054,A,C,5.17164340476243,C,A,0
Yes,F,89,-43.106015338330316,75.71418738802737,E,B,C,D,-2.290330908693391,-22.549898329384334,-8.321656064025268,C,A,-32.13722641249798,A,E,1
Veteran,M,72,71.903822162881,128.64248339017922,D,B,B,C,-0.5227252168772681,31.678961539695454,124.46885847226406,A,C,-124.89064374195289,E,D,0
No,Male,77,-99.58459996501381,-23.057836912813496,A,C,D,B,51.3646312275928,-94.98211054853736,-29.06957126799512,A,B,-110.96318336854911,D,A,1
Non-Veteran,Female,50,-10.004036431755988,-159.81804571618397,E,E,A,E,28.17778499050565,86.91230790736863,133.5624841664268,D,E,23.26046386557582,A,B,0
