RACE,married,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
African American,Divorced,No,C,43.300613156511446,E,78.97313196188189,D,67.61800185660677,C,-88.35003440941381,0
Other,Divorced,No,C,-8.041504502766704,D,-125.74852310863203,B,84.6695083026875,E,9.728367872701577,1
White,Married,Non-Veteran,D,-21.000463661116193,A,18.362105560139653,A,35.19930459245534,C,-43.32116452451379,1
Asian,Single,Non-Veteran,B,146.97520953996673,D,-39.39693305731157,D,159.96904136157534,C,-23.180877202025968,1
Other,Married,Yes,B,97.34240237632899,A,83.7443200023742,C,-70.65771996770778,B,46.90257435611599,1
Asian,Single,Veteran,A,-28.529077788134536,C,-82.81277245629272,A,207.21000142537514,D,208.45112224750096,1
Other,Widowed,Veteran,D,-34.45961848660354,A,-13.854300134233121,A,-38.0312104305113,C,48.54022651878108,1
White,Divorced,No,D,60.107753841442054,D,152.85173569393478,B,28.395913900311403,A,-113.04729328884025,1
African American,Divorced,Non-Veteran,C,-111.45290374269541,B,-196.89997176781665,A,-18.499796324740956,C,72.54639417609158,0
African American,Single,No,D,237.41651373782892,A,-21.288475329014272,C,-22.0693356846868,A,-58.16179108292422,1
Hispanic,Divorced,No,B,45.050500673305976,D,55.59015101479833,A,61.569607236806064,B,-258.50325231886137,0
Hispanic,Married,No,B,25.99288975066314,E,38.12188531770713,C,-255.56195230506304,C,-130.40728247823898,0
White,Widowed,Non-Veteran,D,-3.554655830185791,D,130.43279972889533,A,-27.85527031778294,B,25.485964827912603,1
Asian,Divorced,Veteran,D,-47.84553093052736,A,127.1173899512847,A,-135.24039129657172,B,112.43665096224105,1
Asian,Widowed,No,C,106.11619323609085,E,32.94966891050361,B,143.68891379368904,A,195.24832553297068,0
Asian,Single,Non-Veteran,E,115.05851232490916,D,187.7043461194789,E,102.03571329771795,C,64.67281323003273,0
Hispanic,Divorced,Veteran,A,34.53940498079331,D,75.73169709529064,C,-202.47120600366935,A,53.53662793987917,1
Other,Single,No,A,-48.61039096764804,A,8.341692176433698,A,-6.638548035560435,A,46.77832864416705,0
African American,Divorced,Non-Veteran,C,-47.815578984246926,D,137.25125335387185,B,13.993057269856745,D,81.85874862087722,1
Asian,Married,No,B,-43.06382777761616,C,49.75396539326871,C,68.23436810855492,B,13.378641096271945,1
Black,Divorced,Non-Veteran,D,-102.18437574898542,D,138.01941243138293,D,-103.72753419802592,B,10.255731548297451,1
Hispanic,Married,Non-Veteran,A,85.19833743027911,D,42.842521426219626,D,30.518978726556483,B,-138.36948851710036,1
Hispanic,Divorced,No,A,-89.11249374714114,A,21.325533795583475,B,-39.547503391825956,D,-84.18405571638678,1
Hispanic,Widowed,No,B,-82.13749083429029,A,-141.85610960356348,E,76.58381986722405,A,-34.548743099086686,0
Other,Married,No,C,130.86694266603416,D,-31.86391380504332,A,-147.0014605804653,A,-113.49794115946582,1
Black,Single,Yes,C,-74.44694465537171,B,-14.837774197036731,A,55.52785527741975,B,90.5820435313363,1
Asian,Divorced,Yes,B,-6.596161015335605,B,-32.85618757318358,D,-80.1112750728238,E,156.45596256400677,0
White,Single,Veteran,C,63.970758107506065,B,6.144490735832851,E,66.52341482042013,E,117.23595685883583,0
Black,Single,Yes,B,-29.636265756896947,D,28.70366237207581,A,105.33036554287133,E,-0.6455765954601652,0
Hispanic,Single,No,C,-77.365937060248,B,-23.94683151993611,A,-143.19227853896422,B,44.70499737870145,0
African American,Single,No,D,28.120918036715864,E,26.743683525989958,B,-104.25958832994462,A,0.5905354729320552,1
African American,Single,Veteran,D,-18.73650497531373,A,108.27808095347382,A,-13.797630039188983,B,-0.4752718551468786,1
Asian,Divorced,No,E,-176.6005270436648,C,-3.362660112249285,C,-106.99765347220658,C,121.47009598319845,0
African American,Divorced,Veteran,D,67.49616083724871,D,-2.4324663233989243,B,39.22647395274646,A,9.557422409583483,0
African American,Married,Yes,A,-48.77773110379933,E,-133.63456754304568,E,29.164250429912908,C,-95.59147776083353,0
Black,Divorced,Veteran,B,13.550096852243326,C,-189.9506148543344,D,-29.394820119552715,B,-16.015287678571507,0
Black,Single,Veteran,D,40.09853844334658,C,108.06656761868541,C,-36.041379685854054,C,-128.47680705943324,1
White,Divorced,Yes,E,-155.3713056642963,E,-47.08334467623403,B,154.44522890712628,C,-220.44587050376822,1
Other,Divorced,Non-Veteran,B,18.140200057631333,B,-190.9519572095693,B,5.927588798691503,A,-10.939220738001955,1
Asian,Single,Veteran,E,191.8181255648432,E,-8.71734728410042,B,-39.66663557047227,A,-73.28532212079068,0
Asian,Single,Veteran,D,-44.1410863287487,E,7.221614574664565,D,137.66838428025065,E,-19.13163163770122,1
Asian,Single,Veteran,E,10.977809267705902,B,170.39941499919712,D,10.367110863085387,C,110.18347983672709,1
Hispanic,Married,No,B,-14.482926314165837,B,-19.993822895790007,C,37.407144142137696,D,11.64428802887131,1
Hispanic,Widowed,No,D,37.45221542589554,B,22.112439068847323,C,-1.9835559698061878,A,128.54732275204077,1
Black,Divorced,Non-Veteran,D,-45.67457540394816,D,36.49417405886002,C,100.40483146318347,A,-114.38989083665345,0
African American,Single,Veteran,C,-13.992111399924786,D,34.172221743872605,E,-78.35956449607949,B,-89.66358989211457,1
African American,Married,Veteran,C,-104.13233776090543,E,-72.25205362106,D,19.608563175502827,C,-61.78689994161325,0
Other,Divorced,Yes,B,7.796352877487064,E,-72.90942301861628,A,158.69134083929578,C,212.50750887788828,1
White,Divorced,Yes,D,72.69505123722239,C,-20.526670265045137,C,-10.749643439184412,A,-20.333121197864326,0
White,Widowed,No,C,-109.33737106149033,E,-59.862783057358385,E,-90.20168434607078,E,-32.64380358912786,1
White,Single,Yes,E,155.27974239919962,B,-24.919317600089858,A,124.70342386492304,B,-76.92427867523112,0
Other,Divorced,Yes,D,-128.4605478168105,B,199.08707287399037,D,69.80608871449924,B,-8.276455576822391,1
Other,Married,Veteran,A,112.33921162798468,B,-103.83573113057885,D,-63.01064648720016,A,-98.53391090606823,1
Other,Married,Veteran,B,-10.78170532568672,A,-141.55242513613467,B,-100.78986633945026,D,19.868380842242363,1
Black,Divorced,Non-Veteran,B,201.22176669186894,E,-3.8195250399522247,C,87.03952181906946,A,203.82599912976792,0
Hispanic,Divorced,Yes,A,-123.02350564134892,D,66.9776942927905,E,27.39343254819122,D,-10.937312373345112,1
White,Single,Veteran,B,-109.961899492796,A,-124.28019062052229,D,-223.18916390889058,C,-135.32496693432194,0
White,Divorced,Veteran,A,-29.32568137860876,B,-27.308269663458866,D,-3.354871533015818,A,-53.33295127432153,0
Black,Married,Yes,C,-90.21316765139457,A,-122.7838365407845,B,40.00548877930868,C,-123.76659075552008,1
Hispanic,Married,Non-Veteran,A,55.082925696805596,B,-40.73518461654889,C,-168.0408481184494,E,132.0083041958455,1
Hispanic,Divorced,Veteran,C,22.76689374299258,C,174.32272995407786,C,-244.56439437936544,A,-54.08562927975606,1
Black,Divorced,Yes,B,0.5744740309951372,E,241.47817370937523,C,-122.03159699166652,A,54.32900738006619,0
African American,Widowed,No,E,63.17359846349307,D,-54.309649502484035,C,-46.63248471340116,B,-60.543374413200404,1
African American,Married,Veteran,E,-76.28459879124976,B,-149.26144968464615,A,-121.41459951285137,E,-129.12873248946008,1
Other,Single,No,B,-294.36368081235173,C,71.71608128713098,A,169.32164541329456,E,-21.4704268805768,1
White,Divorced,No,A,116.63952068954812,E,-44.89866834111456,C,-26.428657651515092,C,-184.8695281165921,1
White,Divorced,Yes,C,36.451253235842096,E,0.8201734864304637,A,-139.4544137836365,C,52.24898728674179,1
Other,Widowed,No,B,-15.49095302773843,E,105.99183416841038,A,93.50382698054035,E,-56.286061264982735,0
African American,Widowed,Non-Veteran,E,-63.251782854020014,B,-125.97708517608113,A,45.73146856593665,C,-17.513712565062324,0
Black,Single,Yes,E,56.69856185352865,B,-31.388450665619082,D,77.25075885496311,B,59.1773248387898,1
Black,Married,Non-Veteran,B,177.1641107328564,C,75.77479089881818,A,108.14171431606898,E,87.695199026251,1
Asian,Divorced,Yes,E,-97.5935400300211,E,5.429923716267077,B,175.33270343157054,C,-65.00537345067514,1
White,Married,Non-Veteran,A,35.556800888176994,E,-45.80320946154467,B,-28.74092747367598,D,156.28931968895122,0
White,Divorced,No,A,34.96437906017319,B,-29.300329119766815,B,63.7828727903735,A,63.88816765940224,0
Other,Widowed,Yes,E,-60.591103760918216,E,-8.910655416702678,E,-103.2307563956097,E,-33.247764891851226,1
Hispanic,Married,Veteran,C,35.56418946942139,A,-25.967844088676607,C,70.03941395833341,E,-3.9175345014818888,1
Other,Widowed,Yes,A,-53.44972090913379,D,-1.4614970548699617,E,52.46953387230903,B,-39.18843343083026,1
Hispanic,Widowed,Yes,D,114.47772803820584,B,91.04374404718155,A,303.0176481333006,D,10.855753562480817,0
White,Married,Non-Veteran,E,-127.72637207461676,C,91.69228865836459,D,3.262344018777303,B,-64.85250659327306,1
White,Divorced,Veteran,A,29.991343107688152,B,119.13368943236244,D,20.59000035555555,E,178.8035190855151,1
White,Single,Yes,B,-109.60038324363634,E,-102.24285681585548,C,-68.13801311888909,C,41.23762829570493,0
Other,Single,Non-Veteran,E,259.66163474865056,C,-12.583515601601313,D,-173.77589988996368,D,16.436108326894928,0
Other,Divorced,Veteran,B,89.17823890991767,A,43.83458357804252,B,110.46494629361838,E,-288.6244156226225,1
Asian,Single,Veteran,B,-56.88067948484794,D,200.6730092821807,A,92.49680847442214,A,107.87825029168022,0
Asian,Single,Non-Veteran,C,-42.44521881804139,B,113.49505378867863,A,49.85129073214791,D,-200.4699353819539,1
Asian,Single,No,D,-100.96196300640436,E,153.23243736537276,B,173.93207425673492,B,-52.78111648774251,0
Hispanic,Married,Yes,E,72.8599776081376,A,14.799382129666022,C,-152.0081685454675,B,171.072638163258,1
Black,Married,Yes,A,-117.51592879793375,A,-57.13044906550838,C,-31.336194641685672,C,-183.19328886136157,1
White,Married,Non-Veteran,D,-11.884323615991676,C,-53.677903166234486,B,204.61838216294578,B,27.676684933146596,0
Asian,Married,Veteran,E,3.15864554003727,B,71.61339626771404,A,26.21037800682432,B,-56.94998370128277,0
Other,Married,No,C,75.02569336216436,A,45.255026677719925,B,-175.62644966248783,A,-31.898128010359304,1
Black,Single,Veteran,E,102.035818679069,C,142.24006698549218,C,-136.79489515685356,E,-54.83562625181602,0
Black,Widowed,Yes,C,166.12946946829985,B,85.44472089710952,B,152.91071370828305,E,-23.885945825368893,0
Black,Widowed,No,B,160.25395273213195,E,-68.22275125416571,B,-48.75729931493454,B,32.741439302363894,0
Black,Divorced,No,B,20.10711051576704,B,38.45091669442195,D,274.4648610927146,D,-158.1542405864568,0
African American,Widowed,Non-Veteran,A,50.88159704025408,E,-68.95589452129997,D,131.36757527137263,A,-349.77080957410453,0
Black,Married,Non-Veteran,A,-48.86891998627142,E,-117.3865835210599,A,-12.363469475225445,A,110.73827768082147,0
Asian,Single,No,B,167.8880159013048,C,47.38798124970188,D,-90.26146395851418,E,99.17012330675017,0
Black,Married,Yes,E,-111.48903279546988,B,0.16467451599970573,D,130.03459067539208,C,-32.967311252379936,1
African American,Divorced,Veteran,E,130.18736091584196,E,39.95512808468504,D,39.12599344892829,B,-155.57847683930584,0
Black,Widowed,No,D,5.420485486571409,A,0.9626009750687583,D,1.1837977356202523,A,-35.03177659559549,1
Hispanic,Single,Yes,E,-65.2765820645678,C,47.42396418749616,B,-60.16869046014157,C,59.707992199368874,0
Other,Married,Veteran,E,-15.989909577162054,A,151.12980341065028,A,-134.65841927356394,C,135.81291347005524,1
White,Widowed,No,E,140.72726557465757,A,11.348219329041251,D,3.8455943160043407,D,164.1793168899623,1
Black,Widowed,Yes,D,88.60736102362318,A,166.90687769760112,D,75.68975799709632,A,-113.5114986791254,1
Other,Single,Non-Veteran,B,-145.79631429335635,A,-171.91572876463107,A,30.764662125663882,A,30.26251387452506,1
Black,Divorced,No,D,236.7028703703755,A,104.67670840122759,E,30.692011762982464,D,32.00058260597973,0
Other,Married,Veteran,A,-92.15377006093172,E,-12.64061152905109,A,38.72171732698341,B,161.5119841141548,0
African American,Widowed,Veteran,E,-22.48397067005835,B,-12.094872722868942,B,-52.646593764269944,A,-54.343282833606075,1
White,Divorced,Veteran,E,-129.12748595176592,B,69.01517103062722,E,38.529819555404046,C,-222.35096882132405,1
Hispanic,Single,Veteran,D,-55.72942885203035,B,-84.07051877474355,E,-23.078077318507766,A,89.56780716801585,0
Hispanic,Divorced,Yes,B,-56.42921483948328,C,-90.17173582553644,B,-41.30902679862547,B,6.673337996136041,1
Hispanic,Married,Yes,C,-56.463753172637674,B,-2.5308393899480173,E,1.018525967835156,E,-6.150395722521507,1
Black,Single,Non-Veteran,C,49.021596591167864,D,-1.6017292429784578,D,-149.40925826982294,E,133.6006830720684,0
Other,Married,No,C,41.17144859355557,C,-224.6779506658353,C,-3.9732694782497138,A,-50.067519259378855,1
Black,Widowed,No,C,-58.98209053489567,E,-155.62677081238627,C,-4.470932350230498,E,-173.1858871051629,1
Asian,Divorced,No,B,-136.6355841948718,A,113.04513336094004,B,48.58971771648189,C,243.52896828500633,0
Black,Married,Veteran,D,-83.2608865487191,B,16.979866051397476,C,-34.08500859844617,D,-63.87890299921486,0
Hispanic,Divorced,No,E,-53.75465157426243,A,-157.41063837802943,B,43.19678493841887,C,55.59626125420453,1
White,Divorced,Yes,E,-35.959722922285145,C,-158.0369729546584,A,150.88699152772423,E,-71.47638786609897,0
African American,Widowed,Non-Veteran,E,-13.790974686434357,C,17.195962805410645,B,196.0996261313492,E,28.09316339877367,1
White,Divorced,No,A,-187.8654588767263,C,-20.579497656874988,C,-169.1167242324901,D,-92.40159692240385,0
African American,Divorced,Non-Veteran,E,-60.94343037145317,A,-39.44856072685475,E,-103.07582707853771,C,-39.70477682414494,0
Asian,Widowed,Non-Veteran,D,56.878734750721506,C,18.349135269563703,B,-189.08311803808405,C,64.21280003469282,0
Other,Single,No,C,-62.102369511767904,E,43.46439927175518,E,93.9825652691015,D,-5.212069601673409,0
Black,Single,Non-Veteran,C,-169.30146502473679,E,-67.06759040489712,D,-42.48276915915184,D,-153.89432856933655,1
Asian,Single,Veteran,E,16.790460396157123,B,-120.65073517020278,E,-29.50000154658406,D,-36.5086341129991,0
Asian,Divorced,Veteran,A,-72.32442588289403,B,-112.92107128615523,B,104.44468133476124,A,88.49741588745479,1
Hispanic,Widowed,No,B,-67.79730447667795,D,97.83951878717238,E,-130.65861845718666,C,-45.146750151937596,0
Asian,Single,Veteran,E,73.26849111427951,A,36.171495013920726,D,10.025668581112141,E,-68.48085277842159,1
Asian,Single,Non-Veteran,D,-119.37789903726224,C,-8.23029692351233,D,235.9259847400593,C,155.63316621183054,0
Asian,Single,Veteran,A,-57.62067805923217,E,-172.2765834023469,C,89.3344471629372,C,177.53410249772634,0
Black,Married,No,A,63.08545200681706,D,59.06452687351562,C,-137.02543384888534,B,-20.9840405523481,0
Black,Single,No,C,-172.83121424815425,E,-133.4316814111285,E,129.5821355101796,B,33.333601834955914,0
Hispanic,Married,Yes,B,105.73450964956848,C,-124.25739641033664,E,-58.896112834417394,B,-96.82351160351547,0
African American,Widowed,Yes,E,-78.00803981093196,A,-60.39162157260105,D,-104.37065045573462,B,-68.12738426382651,0
African American,Married,No,A,180.15455462254354,E,-32.278233610733416,C,7.815063312044488,B,135.56025382838592,0
African American,Single,Non-Veteran,D,-49.159474429122554,A,-142.23968234196155,B,21.9278804870917,E,-126.53128621486121,1
White,Widowed,Yes,D,-110.54122279498395,E,-8.388132733309002,C,88.30518616543215,E,-106.62145792630862,0
Asian,Single,Veteran,B,-41.774862625706255,B,-230.04213646625905,A,113.41368405875944,A,-3.4967467719019845,1
Asian,Single,No,D,-94.94307328432635,D,-1.104879906253865,A,17.760272035058215,B,19.374342963838643,0
Black,Divorced,Yes,E,-40.80415337869679,D,-172.14440313866154,D,-66.99525903659726,A,-7.044477544121869,1
White,Married,Non-Veteran,B,277.8354212610313,A,45.59703660495508,E,11.587419485436273,E,80.01500327838312,0
Asian,Single,Yes,B,202.68449027572606,C,111.46068816780117,A,-97.65918306679015,E,-90.93158045210792,1
Hispanic,Widowed,Yes,D,126.45078227181439,A,25.213343196370765,B,56.86854511708429,B,66.88784729700822,1
Other,Divorced,Non-Veteran,A,79.23954846933702,E,-34.73339061051555,E,221.33483778339328,D,-59.62152167978415,1
Hispanic,Married,No,A,135.13386920016092,C,-64.62309261304571,C,-94.79997774051836,E,-36.78096289614668,0
Black,Widowed,Non-Veteran,D,-24.894853878311654,E,263.3281338138408,A,-91.2713177168231,D,-76.9526187808181,0
Black,Single,Veteran,D,0.26371990373834114,B,98.33063922552181,A,-5.1869824380203085,B,55.97182059811644,0
Asian,Married,No,C,19.106026497346505,C,56.08853505601227,C,-14.485000345631985,D,4.035094617009586,0
Asian,Widowed,No,E,12.663329248204159,B,27.74285139166446,A,-70.84654384913178,C,-93.45323314299529,0
Asian,Widowed,Non-Veteran,D,80.54796133429205,B,-9.613237807905195,A,-4.45865062534703,E,115.09073219817716,1
Hispanic,Single,Non-Veteran,C,178.12757564910896,C,60.95977059356257,B,-11.510853863591631,D,81.98271124745104,1
African American,Divorced,Non-Veteran,C,-171.5578407846252,C,-5.919704566034703,B,-31.624302841057638,B,8.334740291401802,1
