veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Yes,E,46.208714100349155,-36.215560893961246,77.74706288904058,A,E,167.994424700756,B,E,B,C,-116.8532874027209,C,1
Non-Veteran,C,251.3473824325973,146.43049847739556,-0.1622719702718282,D,D,32.54816232303558,B,E,A,B,-19.3486730565196,E,0
Veteran,C,-103.76552166726928,36.80067729902894,-59.25048720702667,D,D,-134.824012768099,D,B,C,E,-30.32253846580348,A,1
Yes,D,-83.94743645958411,112.11230913158359,28.141795157013398,E,E,1.180479455737385,C,C,D,C,-74.2764366296856,D,1
Yes,A,118.8794041623968,219.0750423609006,26.347448339981426,E,D,29.248473008598598,C,A,E,A,75.03363226327092,A,0
Non-Veteran,E,-9.593196277741534,-121.13789198466394,-136.6894729492354,E,D,-12.591001211576739,A,E,C,D,-28.364612008798613,A,0
No,A,23.85362493375433,-127.90575693304314,67.33650957730416,D,E,41.55581276605106,A,E,E,B,20.071267262100733,D,1
Veteran,E,198.11822993564746,93.8650351332585,6.34616799427285,B,B,135.7120386480756,A,B,D,A,-9.85696501345531,A,1
No,C,-41.14336084084034,-100.41640938274053,113.36889485879136,D,A,-29.016585092466002,B,D,B,B,-48.42316406160179,D,1
Veteran,B,-73.91208071720744,-34.68073416078278,86.62456021488713,A,E,-125.31905504704264,E,B,D,C,190.68328977181136,B,1
Non-Veteran,A,-19.193942311825193,102.99857624131295,-77.92885712778119,D,D,64.28984701457419,C,A,A,B,-32.63124729387972,E,0
No,A,-29.681836299854993,-243.3817638448297,173.86167404299897,A,D,33.55144217938959,C,A,A,B,47.99972008447272,C,1
Veteran,E,92.57943606163161,-89.09908747853453,-229.29910350070188,A,D,-205.9666752113908,D,C,C,C,16.654905387125876,E,1
No,A,172.49302977791135,-50.63337186099349,29.946930891622515,D,D,-114.38558831707502,E,E,C,D,109.86001473937696,A,0
No,A,-14.121389942722482,5.335099256977998,-122.10122182272569,B,B,70.41441074754783,C,D,E,B,10.387323710900901,C,1
Non-Veteran,A,-27.223933966173803,-148.6735833670836,-61.467065390143205,D,D,35.530301776845405,D,B,D,E,132.02836081712323,E,0
Yes,E,-95.77023216021777,113.19413069442379,51.05766916781703,A,B,12.109758700130383,A,A,A,B,13.840689481874769,A,1
Non-Veteran,D,-101.51632790447742,105.50204666061929,-21.120285385179496,A,D,4.091259326841477,A,D,B,C,-22.707543494337333,A,1
Non-Veteran,A,-2.574352460482271,172.3657665399107,62.99025101763337,E,C,-16.695073623184285,C,E,B,C,-44.16785792450646,B,0
Yes,C,-161.80933980494777,-71.16614129053686,5.047471124237054,E,A,-139.02181469080946,C,A,B,C,-59.79655052134635,A,0
Non-Veteran,D,-113.18500640103102,48.30403317413985,98.70977843523752,D,B,-88.79778870473153,B,C,C,B,7.250599625608592,B,0
Non-Veteran,B,-157.22365021299169,114.3187237206428,54.42785590260634,B,C,-79.81711796532879,D,C,D,D,-32.68372710806403,D,1
Non-Veteran,B,216.75306085493781,-104.12095810963218,-53.456306599854244,C,A,34.56475900673032,E,E,B,A,14.171208023902112,B,1
Non-Veteran,D,-174.70272565854992,59.71746062676747,145.00038104987283,A,E,143.8542428631067,B,E,D,C,23.619714864514876,B,0
Veteran,D,128.01281365516738,11.209321102956975,78.84582665884595,A,D,-8.536091560834343,E,B,D,A,-124.60603419199612,E,0
Veteran,E,-64.92392496837007,-34.58256314938268,45.871066716636804,D,D,9.12358337525592,D,A,C,A,16.03913111041044,A,0
Non-Veteran,C,-136.53415062843428,205.1663713076102,208.02402271878378,B,A,67.62041578816212,D,C,C,A,-53.261568747204635,E,1
Veteran,C,39.866417271731514,-152.1954908484955,-82.81852525888903,B,E,-36.07310235969167,C,A,B,A,26.188158843851024,A,0
Yes,A,26.51749970018214,0.17869492198456308,64.61180686757642,B,A,15.89683131810128,E,C,A,A,-82.39518646446514,A,1
Non-Veteran,E,27.179121720753585,136.50227127246214,198.22179439793945,B,A,224.96638529082372,A,B,D,C,87.23797745244497,C,0
Yes,A,-82.68527559753099,59.61003867912811,-178.79554976708744,B,C,38.22292559483758,D,C,C,B,-5.22724803253889,D,1
No,A,75.24274471644266,-62.686776979891356,36.181884005418716,E,C,-170.6175722478384,D,E,A,A,6.836911040490193,E,0
Non-Veteran,C,-182.29682235070243,-106.13634177517488,51.194478026133815,A,C,-70.39856211514072,A,D,B,A,55.849053210755386,E,1
Yes,C,143.49854443156636,-105.80716745123327,111.07449256372757,E,D,-3.095017594259827,E,C,C,D,-23.14805828912199,A,0
No,B,-163.51558927068896,-27.594439631308425,50.78570855136307,A,C,104.04556853961,A,A,A,D,7.15061846527294,E,0
Non-Veteran,D,-76.8881617654917,9.03230575024651,-25.694764478469246,A,D,-52.25345543358664,A,A,C,D,-95.02278883900883,C,0
Veteran,C,-114.9190086976872,-166.49658459758183,68.85601773908166,A,B,156.15725414096173,C,E,D,C,150.21655377105117,A,1
No,B,-184.6789111049244,-16.94149577950422,-78.57888496181398,B,C,133.13021519906104,A,B,C,E,-24.25487525738761,C,0
Yes,D,-50.40102381776871,46.85028059800795,-0.2819954302149495,B,B,90.94224202629086,D,C,C,D,106.88794298817663,E,1
No,B,3.087734830291639,3.254140371732104,-28.900329766923665,C,C,-97.44872457949542,B,E,D,C,-42.20107549610326,C,0
No,C,28.148724398498814,78.10483555491666,58.34333904406448,C,E,137.63981320885608,A,E,B,B,21.244210354039687,A,1
Non-Veteran,E,75.128264657023,-24.96669143249224,2.9892853195077635,E,B,-84.82119725415332,D,A,B,E,-97.97515127186011,E,1
No,D,-105.29059122261499,59.91331811427605,19.513809532200806,C,D,-74.39025174937785,B,D,C,A,-108.27150590737658,D,1
Non-Veteran,B,-108.96391280457303,14.616370971816703,49.823714852707894,D,E,-39.815644956300396,D,B,E,C,60.973814570548825,E,0
Veteran,C,-137.18780468534095,64.9196668128891,161.77284471618566,E,D,-32.25306777661635,A,D,D,C,-34.62822766724066,C,1
No,D,-123.81210457754868,14.625076649185479,-119.05909580187574,C,A,-35.03285159333818,D,E,C,D,7.451325962922851,D,1
Non-Veteran,A,5.861424448491402,148.79323149725076,-43.59274233723729,A,E,-12.843666417447084,A,E,A,B,-178.4838701166282,D,0
Non-Veteran,B,214.24795239725967,17.77028547061613,201.05553539039565,B,D,137.5305506569076,E,C,A,E,179.76624904737048,D,0
Yes,C,-95.1967357075665,-12.82263239572946,-69.86591455899479,E,A,96.86282106372934,D,B,C,C,-0.05735744987241314,B,1
Yes,B,180.72506500552848,-31.034606610668668,22.58339993652,B,D,86.19432120833955,D,E,D,C,165.01938894798474,B,0
No,E,47.619026095725985,-27.605238237074204,3.1733370679954382,E,C,83.6060731779339,A,B,E,B,6.094033386249211,D,1
Non-Veteran,D,-132.17746238961047,111.47735020875649,68.87518723066538,C,D,32.48976929291377,D,B,E,B,10.842332878521088,E,1
No,C,148.3315522659976,-114.29162006235786,-178.4415785450762,B,E,-122.9294919474808,E,E,A,D,86.47980790503182,D,0
Non-Veteran,C,75.87960045732747,-34.6764873087334,-323.28421422802126,E,E,-14.339860599345695,E,C,D,B,-50.165410620987316,C,1
No,B,-45.190909010643935,-63.69561865549137,6.985049220882596,D,A,-110.46164141756674,E,B,E,E,146.86156592652733,E,1
Veteran,C,78.86223809117496,-90.32470260637966,134.93584102010996,E,A,-91.85457916191663,C,E,D,B,125.23977985331136,B,0
Non-Veteran,B,-146.65268421462824,-26.259938209963156,58.015777943592674,D,E,0.2482259175462018,B,C,C,E,-223.94920320895682,B,0
Non-Veteran,E,-111.0605083913839,-127.322087200294,-124.38392289183223,C,A,-27.31965075937809,E,D,D,C,29.40898744085418,C,1
No,B,52.419146364661415,-70.90170646042885,154.77495517039947,D,E,222.93681660363492,C,D,B,C,135.16394684015364,E,0
Non-Veteran,B,36.61243910770878,-86.39777161052962,123.79001615742247,B,C,0.34203101293755084,B,E,E,C,-67.24207138927775,B,1
Yes,D,122.42044256551185,-108.00407807071592,-209.65580071269923,C,C,-174.06160112387101,E,C,C,C,97.83333313523539,D,0
No,B,-47.993769979095475,191.09891660423332,11.022854080559966,E,B,65.20186757342911,C,A,C,C,-211.32823978938262,C,0
Yes,B,10.866792412850883,132.53221062163416,5.85598320351796,E,A,-38.25557611735088,A,B,D,C,4.992772147248572,A,1
Yes,B,-134.0433494484975,-122.3828778478681,74.30698212643328,C,C,231.974213903374,E,E,C,A,-8.243558949778413,B,0
Non-Veteran,C,-155.88571365674196,71.95104731583535,-77.60011422738206,D,C,40.44450955199327,D,B,D,E,-109.37376768547303,D,0
No,D,-228.7040748429003,0.8442118390923394,12.054094116812253,A,B,21.992690082047023,A,C,C,C,-140.87683235505432,A,0
Non-Veteran,E,176.74889498865483,11.083512690984646,-27.68982765664248,B,B,-120.51766843426708,C,D,D,E,137.314159690803,B,0
Non-Veteran,E,65.30416644880057,-94.45713348040044,-215.03064388785654,D,E,-18.270996054873283,A,A,D,A,-218.9695767191891,A,0
Yes,A,-101.67688613148786,109.21403445955006,-117.97743455083804,A,D,48.149572852198794,D,D,C,A,188.01701580222806,D,0
Non-Veteran,B,-40.402372619257946,-25.444448005543673,236.4467688627984,D,C,25.06381402728956,C,A,C,E,-138.08211411758006,A,0
No,B,98.29386390575465,-158.60294260176425,248.27526535153436,C,B,-8.450279860802832,D,C,E,A,74.60114727181852,C,1
Non-Veteran,D,138.56413018178796,-72.59664462816548,35.321479465788116,A,C,-14.431256930040837,E,A,B,D,128.8125319761858,E,0
Yes,A,-88.49039996502395,-118.78395786785181,-35.29255086704079,A,C,-22.6070257469937,E,A,D,E,-180.21003330801972,A,0
No,B,204.49920188754933,-130.6191845735099,-37.199133384710045,E,A,-140.52112471470738,E,D,B,C,69.14957463011542,A,0
No,B,77.46176393531957,-12.959006632524876,-68.29101933259491,D,B,67.40476466940495,C,A,C,D,-145.6020883981464,D,1
Veteran,A,-84.39614262787522,-130.784767911981,-72.8883200355579,E,E,130.12213817625283,A,C,A,E,-101.41440796843209,D,1
Veteran,C,113.64975188846964,-41.54262775660394,-84.07345298223984,B,C,25.386778219305416,C,D,D,C,13.428992121468507,B,1
Veteran,A,51.94556648336405,289.54878710705543,99.93655924192744,E,C,18.7606278760588,B,B,A,A,-75.14736560734008,C,0
Non-Veteran,B,-167.61560264052045,-40.318206049979125,-173.12518618910752,A,B,189.5207424661699,D,E,D,D,31.765974843667717,D,1
Veteran,C,-30.702361790715848,134.05071534314786,-10.405433507091299,C,A,-82.87170586360384,B,E,C,E,38.021615245480255,A,1
No,E,-100.72724590391849,6.362606358667362,-52.97576571828765,A,E,143.31729992160805,D,E,B,E,14.12486183205989,C,0
Non-Veteran,E,-182.69719669151573,-28.208970466465956,-73.64496790678243,B,C,64.03686408430282,E,B,D,A,-55.921992985142296,A,1
Veteran,A,-108.67772558100847,-26.062285430540694,35.07363464239725,A,A,97.11466174796358,A,A,A,E,13.02399857179907,E,1
No,C,-94.17466568421972,77.45053341108161,35.89164842493883,A,C,-91.14708316925724,D,B,C,A,0.8619572833895677,B,1
Yes,A,-86.28093483164359,-98.7942270569846,-9.289042284695705,E,B,93.32570203882139,B,C,C,D,59.93873243076403,B,0
No,D,39.103380279906865,-49.53263164287247,-186.05597356213727,C,A,108.51615929944319,A,B,A,D,-111.07410916299258,A,1
Yes,B,-92.56461959926357,-56.576034248488774,-177.39634561169478,A,D,38.79076396350547,A,B,D,D,24.012896260416927,D,0
Non-Veteran,C,111.60253155665652,83.9093000772787,107.30109552984848,A,B,-28.410514653550468,C,C,A,B,99.7304595774589,C,1
Yes,A,-4.931504920946382,24.408181358555577,221.90099710529157,E,C,70.4515455189421,C,E,C,D,164.6815960408072,D,1
Non-Veteran,A,143.02404532841223,36.60485208910955,-214.7964078085954,B,C,-238.15491516657184,C,A,B,A,93.12283300133399,C,1
No,E,-9.605242598704452,61.710684808208086,-81.60386084676941,B,C,-14.599896739332955,D,D,B,D,-75.77145744239715,C,1
Veteran,C,-68.77469782987879,60.164688259251776,2.9828006026896476,A,A,181.580314122631,A,B,B,A,18.100461615740233,D,0
Veteran,C,-268.917061384106,-91.39730426428781,-0.08969017363151466,D,E,-147.58038709911426,C,B,B,B,-180.66679632731265,B,1
Non-Veteran,B,40.692873200476605,103.49519807585243,-20.497548499854577,D,B,-89.45172420776925,D,A,E,A,-97.42115767113327,A,0
Yes,C,-145.70758960030628,34.52823126542739,76.7942313758904,B,C,-108.22151433905071,A,D,D,E,-16.537202809058893,A,0
Veteran,C,-87.1877702139134,105.13693466660318,-18.450852153545572,D,B,-34.65827809334776,A,E,C,A,-220.756686351348,D,0
Non-Veteran,B,-18.483816407844863,-56.72727780234316,93.44895631289477,E,D,36.2372775947957,B,E,C,E,130.84853142707152,E,0
No,C,36.20183942798316,-29.743000234165333,4.599014061351648,C,D,-24.93627498026929,C,D,B,B,14.474669972380392,D,1
Veteran,B,26.90405962648822,-90.95722984554011,-12.274831925272316,C,A,14.615070940681067,D,D,D,B,15.148898933353028,A,1
Veteran,A,27.398661582853677,-10.40399120603827,51.34206088206999,B,B,168.67632175369624,C,C,C,B,31.61192246996874,A,0
Non-Veteran,A,86.54420043623912,-15.292859705435113,88.26954734572071,E,E,137.4691480604661,B,D,B,C,-100.42018668389763,C,0
No,C,97.4606788515735,139.26128360527906,51.35235703030002,A,E,30.575605499249964,C,C,D,B,-164.29170634626743,B,1
Non-Veteran,A,-54.10669257860666,166.69444353766448,98.56133935022136,D,A,-1.6573432085439055,A,C,E,D,10.451055128032175,B,0
Veteran,E,42.57742370099512,135.43546052140724,-117.22609530202146,E,B,206.10694722859228,C,A,C,D,154.7249522969581,C,1
Veteran,A,-4.758705244900475,-68.42804638082946,25.869225624379677,E,E,-76.35139485965452,E,B,B,C,159.05195090132068,C,0
Yes,E,-2.8092200649613095,34.66647260076952,-66.94512559806475,B,B,188.41731555739548,A,B,B,E,136.11161096139003,B,0
Non-Veteran,E,-43.3491419068573,129.70905862122126,-8.42213665376526,A,C,158.8515207597671,D,A,E,C,-138.9826694874344,D,1
No,C,-18.072339548872137,-142.86494773224584,-88.16174519723454,C,D,23.75014053680577,C,D,D,D,-88.98371558417111,C,1
No,D,57.34242677519015,118.43870466387025,67.22591296015204,D,A,135.24119138579755,D,B,A,D,20.9581314108564,B,1
Veteran,B,-151.2228005799034,28.936070748257542,-4.707851304378796,D,C,82.52996652877917,D,E,C,B,57.49689370227168,C,0
Non-Veteran,C,-175.47385526666378,85.33189484189452,-178.54120898386492,B,D,110.64158614336657,E,A,C,B,68.77693151753186,C,1
Non-Veteran,E,-177.171395132943,-66.63391071971961,-20.018232940534286,C,B,3.1746254091645296,A,C,B,A,-71.48800539929323,E,1
Yes,C,-65.65213442853516,-63.13617040145066,-174.8178244891352,D,C,76.23795729938195,C,E,C,C,-68.47537382897386,A,0
Veteran,D,-25.314647629825828,1.037103734745208,-125.6808284147444,B,D,35.96459907124839,E,C,B,E,-114.56731324752482,C,1
Non-Veteran,E,-17.418960001272282,-24.424996823717297,55.87424436940013,B,E,141.9647217972519,C,B,B,D,-54.97896256179979,C,1
No,E,-22.688046692466802,175.17558919255728,-34.38717756246826,E,C,-164.81210330866062,A,A,A,D,104.8143523449381,D,0
Veteran,B,-32.8183839215336,-4.971144933456043,-88.2483106454969,A,A,204.11340461232547,E,D,D,A,-26.4508217058708,E,1
Non-Veteran,C,183.374510558895,50.7300448141754,-133.75734982793713,D,E,170.547099420247,B,A,C,A,-176.0386030595566,B,0
Yes,B,-28.823118884957545,11.24613045875568,79.53787342215497,E,A,51.46870694557604,C,A,B,B,130.1302069088819,A,0
No,E,30.788710891522225,10.01159214219229,-242.37022905468132,C,E,64.59955247742285,A,E,A,C,-202.40199348911844,D,0
Yes,D,-28.209328656834437,165.31145064271203,-47.18477420036453,C,E,11.419226665762288,B,A,C,E,-138.65783682302526,B,1
Veteran,B,99.99118071941048,-98.2506553485698,-26.258882312793652,E,B,-4.606086213966579,C,E,D,B,-201.98702618603983,A,1
Yes,E,103.63435999392941,-79.86056948444164,-111.02479893112,E,D,-34.94416007057385,B,A,A,E,163.7436074081638,A,0
Non-Veteran,D,-78.15974033699692,11.92716029640063,-106.49695843871392,E,A,71.26322675604025,D,E,A,C,102.10829192716912,E,0
Non-Veteran,D,-45.624475518364996,-23.868100919159925,-3.452556169208555,D,D,-169.85482999427103,C,E,A,A,-148.78894072776475,C,0
Veteran,C,134.37056023369198,113.26139591697482,-46.78370155293736,E,D,-142.0800336799379,D,C,A,C,63.308935279995424,C,0
Non-Veteran,C,-85.51619783594214,135.28365775846598,55.35715067376301,C,E,-133.29451694111268,A,A,D,E,-35.63575245738112,D,0
Yes,D,108.67588489777182,-6.670416246348619,53.092247758642905,A,E,152.31055897613388,A,B,E,A,-170.9965708704823,C,0
Non-Veteran,C,-34.607510500997776,79.9648694482085,-17.2898309407544,C,E,82.69076084823212,B,C,C,A,194.80045050416604,D,1
Non-Veteran,C,56.093519235580736,-107.71750229093841,6.404271541296835,A,E,-45.9616731428297,D,A,D,A,155.27823256103144,B,1
Veteran,D,-95.86817470050325,-17.637446113701284,0.6756725111129,B,C,61.95479030300991,E,C,A,E,27.52545759284385,C,0
Veteran,B,20.045303535829902,59.66385252944585,-11.403526652139224,C,D,4.075066819437105,B,D,C,D,-13.236982846291195,E,0
No,A,-45.21435039846081,-100.43449982559326,62.79348009943452,C,C,-107.45813400627038,D,C,E,A,-127.38896407578304,D,1
Non-Veteran,B,-38.41801405633382,-34.17079812587592,-170.82080829403247,D,B,115.99129032376948,B,C,B,E,20.62308733724322,C,0
Non-Veteran,E,-137.47255641444931,50.15389266369317,43.72018578073487,C,E,144.40891821694,C,C,E,E,-44.91549631554862,B,0
Veteran,D,-108.95451926364747,64.80967598007567,-231.7477978296555,B,B,-19.61698774354874,C,D,C,C,-201.96221380096736,E,1
Yes,E,88.11612049775671,-191.34623626276414,-13.72251438618845,D,A,-67.51309448737831,E,E,C,B,-182.47180852437063,D,1
Non-Veteran,B,109.80432184277413,94.31198116319356,84.52070867908083,D,E,-11.382971743570682,A,A,A,D,156.93285460975846,C,0
Non-Veteran,A,68.04890320132064,-34.37298255161576,69.93809964440781,D,D,68.18433312828506,D,D,C,D,-185.5584639000523,A,1
Non-Veteran,D,82.66530234825508,-61.302920299075225,-211.5198578632582,D,D,186.24125404900437,C,A,C,B,99.23764803600447,C,0
No,B,17.40638527815114,44.63593846164967,0.13845261808329215,A,A,-108.25698960058732,A,A,D,D,21.216786658079045,D,1
Yes,D,-26.217573453617977,18.04021939170541,4.1773405545957,B,A,-12.89165276071603,D,A,B,C,213.4873011005451,A,0
Yes,E,-225.658769356457,29.34307305881324,81.81110826134814,A,A,68.65209902943657,E,A,C,C,207.78087917451836,A,1
Non-Veteran,A,5.135342138225078,-118.45217696685492,72.92686758325308,A,B,-96.02694720121056,B,E,E,E,-31.55608980951507,C,1
Veteran,C,71.3005446047444,1.6116780687821606,49.29561349018828,E,B,-156.77865660357637,B,C,A,C,90.63139510607859,B,0
Veteran,D,99.62291722611599,-157.13640038564222,-58.7400279736788,A,B,10.997571570246269,B,C,B,E,181.35902400401162,B,1
No,D,101.70053172725424,-38.118784683828096,-33.331251139929535,B,B,161.44913685769032,A,A,A,E,115.32044002301049,A,1
Veteran,B,-4.259219686910946,63.48244716079535,-1.2037571402558493,B,C,-7.242950574252516,C,E,B,B,112.41138697006501,A,0
Non-Veteran,E,-60.6053802587735,-237.18210252147279,100.98132284960084,B,A,-27.110228613636096,C,C,B,A,-48.15822799757724,E,1
No,B,16.503045900970438,22.986068155647732,8.035668817815345,D,B,99.97575226117006,E,B,C,E,-3.7397521125658604,A,1
Yes,C,-17.874735338768176,-52.68215412104088,137.67925003818186,C,E,71.80063458854828,E,C,C,E,30.884964339485144,A,1
Yes,D,144.0801893573814,77.52630711380462,-33.13888904289824,A,C,-202.88104157016244,D,B,B,B,-33.967923527848,D,1
No,E,-74.88223607853061,42.134128546321165,37.87196300318531,D,E,-3.9840610611883904,E,E,D,E,134.5107304036051,E,1
No,D,-5.7783349534258015,-149.88975345831582,112.19074374960778,C,E,95.06891471006851,B,E,A,D,146.9003589576245,D,1
No,C,0.2970494329080065,-38.011410815025194,9.068294879617545,D,B,-95.18741489988132,C,E,E,C,83.27150084926325,B,0
Yes,A,232.79421986279507,114.9851764379865,111.71928958115392,A,B,-9.740873731723006,B,A,B,A,50.517576887858965,B,1
Non-Veteran,E,12.590078358713171,16.103410908248023,-140.05319002238917,A,A,-55.326630438211176,A,B,B,B,65.70733669720569,D,1
Veteran,C,-0.7237930685483255,174.58048460418726,11.516045717058622,A,C,-194.8719984407436,D,B,A,D,185.89243699292254,B,1
Yes,A,-177.22458793888555,89.98227765520221,-57.255061703906684,A,D,56.39837318499633,E,E,C,E,-2.487716201895099,D,0
Veteran,B,-74.63366799378531,217.2727597474775,37.55066565039857,D,B,-11.198202305847536,C,C,A,A,73.69729785380757,C,1
No,D,-58.165243535751955,-26.731055797211077,23.131698757886525,D,E,4.766995563178251,C,C,C,C,58.54703205029062,D,1
No,D,-135.86746169384176,79.745692972604,67.29499812797276,B,E,-97.66836363903704,C,C,D,D,-31.391241809875613,A,0
Veteran,E,22.809249209299555,18.359664579449994,76.35928607197464,C,D,25.778646612021618,D,C,B,C,-6.208832781755308,B,1
No,A,-24.875656630831585,22.534965125266105,17.670352440677636,E,E,-206.12362082792148,B,C,D,A,-180.95054725537963,E,1
