military,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
No,Divorced,-41.798592288241814,C,56.910633849144745,E,D,D,E,-114.79740175438286,1
Veteran,Single,-120.17358396554019,C,-221.99548779079365,D,D,A,C,-174.72168437772913,1
Veteran,Married,-33.9457685543034,C,36.22528785830564,B,E,B,C,-82.55774411723354,1
Yes,Divorced,-22.417931851765037,D,7.499125974976704,C,C,E,D,-38.85167406099036,1
Yes,Married,-62.8590944714026,B,122.1867519591906,D,D,C,D,88.7032040829091,1
Veteran,Married,126.58276781270594,B,-49.01955018744204,C,B,C,B,-83.51162772557656,0
No,Divorced,21.781971408854993,A,56.082147027803565,D,A,A,E,48.37445634569048,0
Yes,Single,-198.45182178708828,B,2.5792109424395315,E,D,D,D,-51.048981070126764,0
Yes,Widowed,89.07613245335946,D,-64.93953753921083,D,C,B,D,-70.23937352042407,1
No,Divorced,-75.55313998348112,C,-74.71156789366385,C,A,B,D,-31.05309918829181,1
Non-Veteran,Married,-18.243732864863613,D,96.03630296917697,D,A,C,D,38.8806066826236,0
Yes,Divorced,51.84295825388345,A,61.21310238296578,C,D,E,D,172.1483866557077,0
Yes,Single,-5.438506694980246,D,53.11915085639956,E,E,A,E,18.58523089752451,1
Yes,Divorced,210.3372515944824,C,39.3456724912837,B,D,D,D,3.2385664249230763,1
Yes,Married,-72.65856284760875,E,87.29784984535544,A,D,A,D,-15.698260623181707,0
No,Married,-109.01926002081103,E,-154.1829788399731,E,B,E,D,-95.8429061191623,0
Veteran,Single,104.71216652492899,E,-6.572734063672904,B,A,D,E,36.24864808238091,0
Yes,Widowed,-28.10488660348843,C,-98.96582880610596,D,D,E,D,52.07764514824471,0
No,Single,-5.407115446255193,C,-166.81744655384912,D,D,E,A,7.328493374343361,1
Non-Veteran,Married,-103.71594693354763,C,-58.57403646662647,C,C,B,E,-98.01640890367081,1
Yes,Widowed,90.17165294752125,C,268.15979273286155,B,D,A,A,80.44057424904082,0
No,Divorced,48.11356624772524,E,1.3342803644937717,A,A,C,E,-0.7951489598981523,1
No,Widowed,-35.01417611411376,C,-87.9635807444789,B,C,A,A,-118.33220837745564,0
Non-Veteran,Married,-75.60871681645442,B,132.3485672372776,C,D,A,D,-201.3886590853653,0
Non-Veteran,Divorced,-27.784847400694463,A,-93.6422133205061,C,C,D,C,-51.59503343603807,0
Non-Veteran,Married,-38.31843530029288,C,87.80757909866634,C,C,D,D,22.443843702281892,0
Non-Veteran,Married,-33.999219879805636,A,66.81052447547853,D,D,A,C,-76.74173697756753,1
Non-Veteran,Single,-28.335297542811173,B,-122.17508847519821,C,B,D,C,31.88464812819748,1
Veteran,Married,81.05383598966003,B,-44.5574784042237,A,D,C,B,21.417589080966945,0
Veteran,Divorced,32.454797123390385,B,-46.979258061745945,B,C,A,B,75.12790507692263,1
No,Widowed,-83.84488490782053,E,-60.39205465553611,D,C,A,B,-233.75549991375792,0
Yes,Widowed,-7.991126674318427,A,-137.5033599202702,E,C,E,B,-133.42364317422178,1
No,Married,-112.94763651951452,D,128.14754030649615,D,B,C,B,-38.72179845776963,1
Veteran,Widowed,55.16971572372745,B,-47.42002716597843,D,C,B,C,-86.1627326918658,1
Yes,Widowed,69.49221598470596,C,-162.53127982904363,E,C,D,E,0.288862810439196,0
Veteran,Married,50.87425255019515,B,67.76256995421348,B,A,D,B,-76.00271963299437,0
No,Married,-177.0903304007665,B,32.09474155634043,A,A,A,E,-26.51900244628283,0
Veteran,Married,-90.9784016091794,D,-16.736856506172156,A,A,D,D,-8.371027669921496,0
Non-Veteran,Divorced,-37.86620435177227,D,-33.30746119676037,D,D,B,D,-35.43082210965763,1
Non-Veteran,Single,83.09531634143066,B,-108.31522977476405,E,A,E,D,211.51157476423202,1
No,Widowed,44.1349780150454,D,25.652634737753743,E,A,D,C,28.15420718554458,1
Yes,Married,-50.32864389473853,A,-242.2634693720029,C,D,C,C,180.4885206381952,0
Veteran,Married,-42.841556519506284,A,-158.87141047744817,D,D,A,D,-14.054701828322708,1
No,Widowed,54.25571413825322,E,21.118372080936844,C,D,A,A,-125.12971429716491,1
Yes,Widowed,-122.2070523936431,B,-7.738397659809334,B,E,B,C,-55.088555793358886,1
Yes,Widowed,59.51378799583396,C,-28.519891685908362,B,C,E,C,-146.2252707928086,1
No,Widowed,222.25416860662364,A,108.24969502023052,A,A,A,D,1.4704352721402258,0
Yes,Divorced,-149.24174128835926,A,82.86202894619285,D,B,A,A,-9.084755280158948,1
No,Divorced,40.23192562264435,E,85.30311851655492,A,E,C,A,-57.09632433762051,0
Yes,Married,49.850674857780284,B,71.2318223892174,A,A,B,D,6.966600561907158,1
Non-Veteran,Single,75.01610180050807,E,17.664015153898223,D,C,C,A,-30.104592860625377,0
Yes,Divorced,32.72385121383235,D,126.59396612548328,D,B,C,A,34.05555064810205,1
Veteran,Single,22.65843460490949,B,-199.53746690273883,D,E,A,E,-11.542833953145948,0
Yes,Divorced,-52.27420046115556,C,-97.22376327799113,B,E,C,B,63.43833784342201,1
No,Widowed,-15.768166536853515,D,-178.88070022073825,C,B,C,B,-29.18990876083129,1
Yes,Married,7.276598714660247,A,-52.980107024981585,C,A,D,C,-201.1780846200039,0
Non-Veteran,Divorced,43.75653335772955,D,-114.95886887773375,C,C,C,D,48.68167407056799,1
No,Married,-68.83452960717409,B,-242.1177044886998,E,A,C,E,42.014206942242616,0
No,Married,143.81908052394905,B,116.27323454006388,A,E,E,E,293.7754467794687,1
Non-Veteran,Married,180.8211288069693,D,-57.81845859814688,D,C,A,A,-119.07662471908564,1
Yes,Divorced,16.99544511147934,B,56.27403396639708,E,A,D,D,-66.88180137034163,0
No,Single,-139.19595076591477,D,-61.90746519551787,C,E,B,A,-71.16688744884127,1
Veteran,Divorced,127.62712085105427,E,182.03347840259082,C,B,B,E,92.61294511017209,1
No,Divorced,-107.0569638537903,C,-60.779288798040945,B,A,D,B,71.15386730269628,1
Non-Veteran,Divorced,40.60328876412236,B,-51.19466240944329,C,C,B,B,-141.06838114296193,0
Yes,Married,-86.64489127994668,B,-37.12326306169238,B,B,E,E,-12.755568293830288,0
Non-Veteran,Widowed,4.016586261717471,A,-115.24033901761459,C,D,A,C,-49.528134535638415,0
Veteran,Married,82.43328402582134,C,97.91369490122278,D,B,D,A,-86.01217035276919,1
No,Divorced,-174.3841770961644,C,-70.3770885913276,A,C,E,D,39.4329498472092,0
Yes,Widowed,-6.704967039803222,C,-103.2499232241745,B,D,D,A,19.782360534937858,1
No,Widowed,92.14377528164843,E,104.55223285865878,E,A,D,E,36.63661668772896,1
Yes,Married,-28.987535939082814,C,-118.16470365089813,B,E,C,D,-48.9315559034177,1
No,Single,75.54324480279027,D,75.70113469137452,E,B,C,D,-104.99107024366666,1
No,Divorced,71.64008350122641,B,118.55821737317225,B,B,C,A,-51.272074609415796,1
Veteran,Married,-135.26790236147949,D,-140.40932454862863,B,E,D,A,25.652913009841267,1
Veteran,Divorced,171.4407301588467,E,-146.32406484180254,A,A,D,B,-46.3932514635687,0
Veteran,Married,-61.10937790903434,C,24.619850011519937,C,B,B,C,124.24354765200631,0
No,Widowed,-4.800088491998301,A,47.16053555980888,A,C,E,D,-21.236905365784498,1
Yes,Married,51.12662504060275,D,-19.939577018245867,C,E,D,B,-72.71686409643524,1
No,Divorced,18.256373924816838,A,-29.249754907999094,D,B,A,D,12.880295343994282,0
Veteran,Divorced,61.5714741021919,D,-111.70311558912987,C,B,C,A,89.44290381146746,1
No,Single,-208.23007395983927,B,57.14131145502187,C,A,B,E,-0.49611874296191993,0
Veteran,Divorced,-45.57401621484372,B,-8.41554411359825,B,C,D,A,93.70700363548448,1
No,Widowed,-25.17127553193626,C,103.44426545962078,D,D,B,D,7.119429404184054,1
No,Single,140.97598358500986,D,71.58039872369086,C,D,B,B,-84.73064420055604,1
Non-Veteran,Single,163.32875598715904,E,68.64553983142947,B,B,B,E,79.80324977995782,1
Non-Veteran,Married,6.747762615206709,C,90.53709002795117,A,E,C,D,-196.3098614208605,0
Veteran,Divorced,-38.10958573826208,B,-114.7720015521681,E,D,D,D,-65.55584885177903,1
Non-Veteran,Married,-55.23408542322299,E,171.35819349516788,A,E,B,E,70.13853806759585,0
Non-Veteran,Divorced,5.766752152402433,A,-25.42398096991808,C,C,B,C,90.27372748540382,0
Non-Veteran,Married,68.69450507629658,E,-31.483350848388447,B,D,A,D,-112.45300507038584,0
No,Single,-45.40888678729269,A,-25.13905244897987,D,B,A,E,96.62598282926076,0
No,Married,7.080759080198376,C,-46.70497455234387,B,C,D,D,27.627799041984407,1
Non-Veteran,Single,121.1526510225676,D,98.20346950695537,D,B,B,E,-0.7725302906788077,1
Yes,Single,11.318545202235288,A,84.74425835228001,D,B,A,B,-43.521005308199726,0
Non-Veteran,Single,-17.5793450325465,E,-67.61394194693021,C,D,E,B,166.43251349300797,0
Yes,Single,-20.153854901488213,A,130.7698524794942,A,C,B,C,-108.59244886926258,1
Veteran,Single,28.72261460263329,E,62.94830781435993,A,E,B,E,-36.320794536833965,1
Non-Veteran,Divorced,31.032042355594424,D,84.3683731623946,E,D,E,D,-92.05794680422017,1
Yes,Single,-16.944196973876483,D,-50.234148687595656,A,E,C,E,92.87595987697118,1
Veteran,Married,-97.04240805742816,D,92.10539240552335,A,B,E,E,64.26571861539631,1
Veteran,Married,104.3275439947178,A,115.58697017303015,A,B,D,C,7.205906110819839,1
Non-Veteran,Single,99.97185685786528,A,-63.44594530151725,C,B,E,D,-52.34419538346275,1
No,Married,86.61854773627424,D,-48.945791563552596,B,C,E,D,81.98206059404794,0
Veteran,Divorced,53.245553975099355,E,-117.25090121559096,E,D,B,C,70.71117119519383,0
Non-Veteran,Single,-6.552064327289083,E,-76.73818198167268,D,E,C,D,-357.13566636207344,0
Non-Veteran,Married,-43.60577993021541,C,53.39659113130146,E,D,A,D,154.38485994472316,0
Veteran,Divorced,-74.08570235050817,D,-16.69011229164374,D,E,E,A,-48.758289473106366,1
Yes,Widowed,109.983815940542,D,65.41801876269847,C,C,B,A,15.02685741963195,0
Yes,Divorced,74.64472523137628,E,16.491722445636825,A,A,C,A,25.251766291502037,1
Yes,Divorced,-183.65981431724737,E,184.7793885969062,A,D,A,C,-43.09843934016825,1
Non-Veteran,Divorced,-139.63789973597943,C,-67.73998001216151,A,D,A,D,-36.28230483029404,0
Non-Veteran,Divorced,138.67117317119417,E,86.77745012739094,A,E,E,C,-44.2815346768956,0
Veteran,Single,46.55557333132188,C,-56.126235238190745,B,C,A,A,-87.75472537814517,0
No,Divorced,221.62418027570646,E,-40.100982274046984,D,C,B,D,-118.96954401496144,1
Veteran,Single,-76.24218454545881,C,-68.40892341528728,A,E,D,E,-89.58030416699245,0
Yes,Divorced,-90.71761279697144,E,-104.43296548491784,A,D,C,C,-32.578430510807536,1
Veteran,Divorced,16.491497905875946,B,149.05376063692972,C,E,E,D,-15.43700711287401,0
Yes,Single,91.43162294415723,D,-84.38941875879686,C,D,E,E,-9.619166854711501,1
Yes,Married,-131.9677752082351,A,-29.221380702010585,A,C,C,A,-124.41820992748866,0
Non-Veteran,Married,117.80605450694992,B,-56.96247688125451,E,E,C,A,-44.15733275161393,1
Veteran,Single,26.398192924654367,B,-22.434384011740406,C,C,D,D,218.91993833035036,1
Yes,Widowed,96.18453586119755,E,-124.32074171565397,D,A,B,E,-7.709463682458341,1
Yes,Married,-15.928515508337455,E,-94.08824287911682,C,C,B,B,0.5397132298584637,1
No,Single,47.04210368167489,E,-38.62281749153133,D,B,D,B,-207.1005977014621,1
No,Widowed,-91.65711964571493,E,-2.6908025361065615,D,A,B,E,135.91889722690212,0
Yes,Married,-63.77590325262401,A,-16.06379375921095,B,C,C,C,-51.54303902966885,0
Yes,Single,-80.86470099016303,C,0.572393158904601,A,A,D,B,146.08939874358572,0
Veteran,Widowed,22.231450981340906,E,-161.10146949846248,E,B,C,A,-175.85258269772845,0
Veteran,Married,-154.698748454996,A,111.2429065208198,E,B,B,B,-177.49227049059974,0
Yes,Married,-57.4850904052447,E,-101.41811295432663,A,E,D,B,-81.97319305521458,1
Non-Veteran,Widowed,-61.25332390655834,E,-51.44972101326159,A,D,E,B,-40.619548063740254,0
Non-Veteran,Single,27.449360579935593,C,6.3162096301171,C,C,C,A,20.37482053313214,1
Veteran,Widowed,109.58981178537117,D,-158.98740328377596,A,E,C,C,196.26199841244363,0
No,Widowed,-10.93866383448243,C,60.75884545789098,A,A,B,C,83.0361751285688,0
Yes,Divorced,-131.95325229364775,A,-111.84545617060766,D,C,C,B,23.47033348296549,1
No,Single,-138.1189322951772,B,1.4062022983351452,A,C,D,C,83.80534333582568,1
No,Widowed,-130.9436053648517,B,22.011942656645665,B,B,C,D,-41.501107463126594,1
Yes,Married,-36.169216587580436,D,-1.5260009287240686,B,E,C,A,117.1552564711297,0
Veteran,Widowed,90.77297152296072,D,-87.15758553729911,D,D,A,B,54.71003742969177,1
Veteran,Single,-105.331243341457,D,-0.16938987964228153,B,D,E,E,242.19152783220576,0
Non-Veteran,Widowed,60.87935886911636,C,150.91647608362643,C,A,D,D,56.319033981604264,0
Non-Veteran,Married,-121.52817249007575,A,41.10205167764749,E,C,D,A,-41.805755526345,0
Yes,Single,-140.48394646123387,C,-65.17723329713101,A,B,D,C,219.62244666926821,1
Yes,Widowed,-71.8539020816273,E,69.14445926699437,D,B,A,D,63.79813021697377,0
Veteran,Married,-55.20280688859093,C,77.96490595946722,D,D,A,C,3.8358118545893714,1
Non-Veteran,Single,15.442594051631877,C,-38.966424152327846,C,A,C,A,-112.80036320153206,1
Non-Veteran,Single,-105.14973993669341,A,101.37208196146081,D,E,D,E,-81.63908512750353,0
Non-Veteran,Widowed,-125.07935294183645,D,-92.88182343652177,D,E,E,A,-138.10435028984614,1
Yes,Single,86.42465434404653,A,-51.5148056391178,E,D,B,C,-38.69545128097057,0
Non-Veteran,Divorced,15.550183770057055,B,91.09771212036051,A,A,E,B,17.51998650450455,0
Yes,Single,-158.07386770197,A,123.26831649427386,D,D,D,B,-30.25158542269678,0
Yes,Single,13.918144108345153,E,13.727515691638745,E,B,A,D,7.031549640934391,1
No,Widowed,-111.35914288998212,B,25.508313559413025,A,B,A,D,22.21933601753194,1
Non-Veteran,Divorced,57.741065266661074,D,73.92038013813107,C,B,C,A,160.84872213539109,1
Yes,Married,179.8212390491207,D,-78.64418330634382,E,B,D,B,52.8319438468662,1
Non-Veteran,Married,104.3155288559511,C,-238.45885184375635,C,D,A,B,-44.90164794851956,0
Non-Veteran,Single,72.538548550135,B,14.333903121629005,B,A,C,B,152.22476158719286,0
No,Divorced,30.659757767155387,A,125.02228033442371,C,E,E,B,51.080366426671475,1
Yes,Divorced,14.180822398048399,B,-39.38322840808578,E,B,C,A,119.14013308522908,0
No,Widowed,85.26446415996665,E,90.51371354513,B,D,C,A,47.376349904389144,1
No,Married,-120.2983325463756,E,-80.45032918485009,A,E,C,C,164.49649396425863,1
No,Married,24.938572420886608,E,-238.13450707622272,B,A,D,E,113.48136040374904,0
Veteran,Married,46.23284401708753,D,36.820732585814284,E,B,C,E,90.9638467266306,0
No,Single,31.045568823490772,B,115.73705651576411,A,B,C,C,268.5089488642374,0
Yes,Married,-120.98556816726622,C,-174.3036488120121,D,C,A,B,28.214836578143053,0
Non-Veteran,Married,-8.403024169135456,C,169.90999936790175,D,D,A,C,75.60209922195808,1
Yes,Divorced,-7.388903578329136,A,29.72322659909742,A,C,E,B,-43.1598588751357,1
Yes,Widowed,-73.62509226535732,E,-229.09120145129407,B,D,B,D,-19.12707670011881,1
Veteran,Widowed,25.332225163945548,E,80.81105465451579,A,C,D,B,49.16823453824127,1
Yes,Married,-89.7456209516177,A,-37.5157085629075,E,A,C,C,19.498842566923276,1
Veteran,Single,146.93343949553937,E,10.15829648514731,B,B,C,D,-77.12831515579421,0
Yes,Married,-139.93077330127448,A,-13.584101958679284,C,D,E,A,185.52927878938615,0
No,Widowed,-93.12407483906867,E,0.4754398663549505,E,E,B,A,120.76583177021543,0
No,Divorced,29.550006531851547,E,-8.609392306828113,B,A,B,C,36.58945615852622,0
Veteran,Widowed,-59.64247045958109,E,-42.44646844371909,C,B,A,A,6.113449080293599,1
No,Married,-16.969147670334397,B,111.42118782548194,A,D,D,C,53.73137497583676,1
Yes,Divorced,-154.70447967008818,B,-6.592198212608534,B,B,C,E,161.06686005422475,1
Yes,Divorced,-163.38174024958116,C,155.98190475689947,E,B,A,B,-39.486830842931866,0
Veteran,Widowed,-52.43091093419838,D,-215.3750531539123,A,B,E,B,-24.79938592547341,0
Non-Veteran,Single,-80.90458473898242,B,-29.957718645117016,A,C,A,C,-36.146512675620016,1
Veteran,Married,32.2939027059269,C,-45.5766558581145,B,E,A,A,-25.628202941088446,0
No,Single,-84.80167081456896,A,-132.6225682268584,E,B,D,E,53.12598577722698,0
Veteran,Single,100.14382575527388,E,-186.62413829394885,A,E,E,C,-29.58203672276137,0
No,Married,-84.67361108542205,A,-124.00684876973057,E,D,E,D,-58.40138837845059,0
Yes,Single,40.560776945054066,A,143.18174076368223,E,C,A,D,-44.914856314704004,0
No,Widowed,-106.93641394077382,E,181.21729045943346,E,A,B,E,-43.58600936900456,0
No,Single,-134.68562559930527,C,79.08498601524377,D,B,C,B,142.09744283815695,0
Veteran,Widowed,108.06028637957358,E,-141.88472807545367,A,A,C,A,90.54773937065534,1
No,Single,128.9701189481054,E,80.51178342481418,E,B,A,B,-137.54139100812438,0
No,Widowed,242.76689370873692,C,174.59386460999622,B,A,A,C,-95.73475794844633,1
Yes,Widowed,-236.62405900416502,E,-78.03923219149931,D,A,D,D,36.67292132903644,0
Veteran,Married,16.560375604521745,C,60.12345117960979,E,A,C,B,-153.30317340163236,1
No,Widowed,-11.560167167757655,D,42.44816602219952,C,D,B,A,77.38301962021697,0
Yes,Married,1.3219902473350413,E,-52.811849952653766,E,C,A,E,13.594833270103262,1
Veteran,Single,30.22456683916487,B,75.14752399514568,C,C,A,D,-217.8046017448819,0
No,Single,-260.6704362484355,A,-123.40789061818205,E,B,C,E,96.05806223155669,0
Non-Veteran,Single,-50.678844652881025,B,144.59289650078566,E,B,D,E,53.37636121784433,0
Yes,Divorced,102.36580779346656,B,-230.14419924916442,C,D,A,C,-4.538973329869929,1
Veteran,Divorced,116.58785234661653,D,-33.669640183630456,A,E,B,C,244.17727639222977,0
No,Married,-11.684100570218586,D,137.65402268112197,E,D,E,C,9.053411633572736,0
Veteran,Widowed,66.38840409908654,A,5.388611126952384,B,C,D,C,-75.88008952434414,1
Yes,Single,-61.16271289316097,E,29.722729842127883,A,C,B,A,38.79856194526605,1
No,Married,-136.16293772860163,D,-179.6641149353962,A,C,E,D,-153.98875062267496,1
Yes,Divorced,52.130987569909024,D,0.5316533106075337,A,E,A,B,35.064749580954384,1
Yes,Married,77.0120901312855,E,-38.59334831338982,C,B,E,A,152.19345803313183,0
Non-Veteran,Married,210.4296729127234,E,8.699144187395756,A,B,B,D,-91.67881022628906,1
Veteran,Married,-84.86932457227618,A,128.9377910187391,C,D,E,E,2.3652413929123806,0
Non-Veteran,Divorced,223.1319463614802,E,-125.04628495344694,D,A,C,B,-101.93921547885945,0
Veteran,Single,-79.7917357790919,A,-31.543628093685143,B,A,B,C,26.80362042146634,1
Veteran,Single,-67.74465984439439,C,42.87189620517428,D,E,D,A,151.9765173773662,0
No,Single,-192.33801488293403,B,-92.09045608715118,E,A,D,B,241.37090246309953,0
Non-Veteran,Single,-174.5016379052429,B,-83.56710936954525,E,D,C,C,-72.94719431858576,0
Veteran,Widowed,153.75025514537577,E,9.858583664348044,A,E,B,A,139.61656251218668,1
Non-Veteran,Married,122.20627859416582,E,108.3908503069716,A,B,C,B,-175.0712280745739,1
Yes,Divorced,104.79061067097453,B,-67.1885857560838,B,E,E,E,-48.31552756763585,0
Non-Veteran,Married,127.02839431475125,C,-213.0616246812441,A,D,A,D,69.66370636583586,0
Yes,Single,30.369165835875812,B,45.88606971035334,C,A,C,D,104.87154128072147,1
Yes,Widowed,-145.61424578433136,D,-147.5150390071326,B,B,D,E,-21.070152603051227,1
No,Divorced,160.51977040738353,D,-138.9484719851729,D,E,C,D,-152.44121425857549,1
Yes,Divorced,27.075028411745862,C,-134.58752936374694,B,B,E,B,-97.55933165148585,0
Non-Veteran,Single,3.436621324942962,D,116.38671536581653,C,D,D,B,101.62377878854538,1
Veteran,Divorced,-69.33891791849692,E,143.0205460177473,A,E,B,D,55.983780865148155,1
Non-Veteran,Single,96.46547003419437,A,-126.42654393402235,D,B,D,E,-126.97579085863413,0
Veteran,Divorced,103.71600545971069,A,-67.5114778315389,A,E,A,E,165.17150410975648,0
No,Married,-15.743077797807434,C,-103.04868561445059,A,D,D,E,33.245830536743796,1
Non-Veteran,Divorced,11.725829712107053,A,5.548197806031569,E,E,E,B,-21.632114708808935,0
Yes,Divorced,30.786040031360905,C,28.94569794360241,E,A,C,D,-11.088214742933756,0
Yes,Widowed,-67.21786552071863,B,-198.87799506911045,D,C,C,C,5.56862711435145,1
Veteran,Widowed,42.1308045266082,B,-28.713033649127556,E,E,B,C,-20.831346009256382,0
No,Divorced,-0.44505244809877914,E,18.101263493142184,C,A,C,C,-50.91978281744966,0
Yes,Widowed,211.13138601994086,E,3.723331555620213,C,C,B,E,-128.58531264073488,1
Non-Veteran,Single,-260.60218192425117,E,44.82173289365998,A,A,D,B,-55.889974604855816,0
Veteran,Married,39.42375964258801,A,-215.7523847540462,A,C,A,D,44.002009914551486,1
Non-Veteran,Widowed,133.10326250752715,E,74.14937719030594,A,D,A,C,-72.97683482239248,1
Non-Veteran,Divorced,15.075688540512461,C,41.834616093086794,A,E,E,C,188.07367644000036,0
Yes,Married,-147.35668794633833,E,213.74994338792285,B,B,D,C,106.66044900299785,0
Non-Veteran,Married,224.59858295350278,A,-36.079571226155494,D,A,D,C,192.39872690746108,1
