nationality,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
UK,Other,-17.96312123322422,A,-240.03055868036495,A,102.36419528498801,-34.1193927710177,32.03917816799638,A,C,0
UK,Other,-124.2321350198063,B,-6.562368976758346,D,-1.984095396320598,77.4084270045871,227.95261796639514,B,B,1
China,White,-208.27321473878214,B,-85.34431249486897,B,-72.48471625281118,-82.59423655923284,67.5325052376676,A,E,0
Mexico,White,-202.92882463304997,A,-77.18175418490235,D,7.6863875531441375,8.074576414450792,-53.6992644451504,D,E,0
UK,Asian,45.798227895378254,B,-9.82494188221771,E,105.99827570070363,-107.6124610607036,-33.26501967822762,C,A,0
Mexico,White,23.15149185070423,C,-74.21530297358012,E,40.84809343085376,56.337731524746616,-59.379043830266966,D,E,1
US,African American,-97.21009371734984,D,8.267182627171099,A,47.14927661343044,65.91745378648382,41.1035153699295,E,B,0
Mexico,African American,14.769394352240372,A,-27.08194476694597,C,245.1486401134502,-60.69919832250301,-87.19864274211065,A,A,0
India,Hispanic,17.5822970067548,E,21.83290423043417,D,89.7773553490826,-17.30192830705247,-16.912336400907925,A,D,0
Mexico,White,-73.97961876326275,A,-7.491526169810816,E,-29.07606974262647,21.158463129168695,36.67049855153375,C,D,1
Brazil,White,-13.032295849924097,B,80.06711378403611,E,-57.23712753839712,-28.88453828834819,-163.5782434558881,C,E,1
China,Hispanic,9.078290219170045,E,84.52350942645658,C,47.73145583116371,158.2549725464325,164.21654013519148,E,A,1
Other,Black,-43.11712739476366,A,-181.82916209544265,A,-23.352634118502614,-207.02554204521903,-21.43656986249994,B,B,1
China,African American,-23.092120839332377,B,85.63948076020004,A,-87.58095562577168,82.57361618443194,127.19231876245136,D,E,0
UK,African American,-138.5109268238229,A,-109.41977050351743,E,117.91807363520907,-142.4868826537882,-52.22774467349471,B,B,0
Brazil,White,30.937072928041648,A,-176.15979054258273,D,-5.491020345697782,68.99091471776072,-127.07770567274905,A,E,0
Brazil,White,91.9542452161173,D,44.39705379588833,A,-40.41751913585542,50.48578173764995,-67.55481181476549,B,C,1
China,African American,28.920206039759577,B,-1.8817491459256441,A,-38.61328218662061,-159.67523711703143,151.42515300698253,A,D,1
US,Hispanic,-93.61250531904663,E,210.26364656125773,B,44.813521606839615,65.55784056751449,38.08163445648889,B,C,0
Mexico,White,117.70496505107285,E,92.31469944936525,D,13.69325981750665,-142.67270862460174,85.08197846492898,D,D,0
China,African American,79.92242006762513,A,88.15434520204313,C,-15.026588822632192,65.65453078708157,-121.67814327469111,A,A,1
UK,White,-0.2897176341478289,D,94.08434359617519,A,-138.77647390868657,13.36283368365502,121.68751746881227,D,C,1
Other,Black,-110.35627386186005,C,-80.2040468528829,E,176.99633821549384,247.4822485051544,-73.49487597675318,A,A,0
US,Hispanic,114.46018557970868,E,-43.05001093409781,D,-3.700749182958337,-105.24355647713865,-153.33039892598993,D,D,1
Brazil,White,-36.833951484866624,D,133.1829002350176,E,-5.592066032887993,24.792196152867177,50.18984720661458,C,B,1
Other,African American,18.505006023141117,B,57.81420821033804,A,36.67633490126133,-87.03479566673494,35.48796277898368,E,B,1
Other,Black,102.05868449756865,B,135.83089951525167,A,121.54988634567904,-96.99859701457001,0.05780658313376205,E,D,1
India,Hispanic,68.7225102129339,D,-110.89538454594529,C,72.58027070233587,-127.87246598718465,-88.18679611265856,C,A,0
India,Black,-134.76804401364794,E,-5.220283688785556,B,-41.057965635133776,0.47368574482682546,112.0704309627796,B,E,0
Mexico,Hispanic,-2.2749195956301826,A,13.03670952399714,B,113.02996947002362,141.6524485353183,34.35518908030424,C,C,1
Germany,Other,-13.778185590426595,A,6.397741828708561,A,139.88746505365285,-46.61820573648418,93.3647025738403,D,A,0
US,Other,172.3323106790235,E,40.367514246718244,E,-66.82716164172537,-54.72031806196216,98.40643691498039,A,A,1
India,Other,-101.13393386290038,E,-17.340537802631665,C,-79.70471392860912,80.91428687864027,-240.2593078420241,B,D,0
China,Black,-2.5696998109997056,D,27.846340304919835,D,-77.02006481816419,-186.94707721177858,-5.903954365611277,E,E,0
India,Asian,15.294774170723368,A,61.000009110644015,E,-66.52968632059748,-27.02238160011376,8.515947016960283,E,C,1
China,African American,65.04104255188629,D,-117.85629517636491,A,59.762684842080084,36.597626456290996,14.879184153309474,A,D,0
Brazil,Asian,10.494522119433167,C,-8.31399254813764,D,-55.69539884818706,239.41387052924225,-89.14928013137798,E,C,0
China,African American,-4.51186765050879,D,-17.58492358317586,B,205.4600506733884,49.873205209356975,-110.87017062110908,D,E,1
UK,Other,-147.87885714350003,B,-0.6619335652090796,A,56.92134455824005,-54.08840704825475,37.21171518050172,D,C,0
Other,White,283.3455636270212,C,162.4762005284557,D,-44.27562609466047,7.279607802692642,25.958808820956147,B,C,0
India,African American,-79.21438299471963,A,-100.94511702309086,A,276.1251484870522,42.527528745986906,109.03070003126176,B,E,1
Other,Hispanic,44.2413141640989,C,-11.348699516211722,D,48.91435296688825,-91.66104688512856,26.094002831376507,E,D,1
Germany,Asian,-107.78110191818064,D,-354.30826403331565,B,-108.85915050743556,128.2944357754101,-70.4264891933388,B,E,0
US,Other,216.77160859619102,C,33.35947533604582,C,2.811288550051887,-69.76577396037146,59.8882392140503,D,A,1
China,White,43.82382238959946,D,11.46855945033088,E,-190.38428710082817,66.30575657332669,79.63220663941594,D,D,0
UK,Asian,-24.848394530010165,A,84.71901073900587,D,-144.98037366551918,148.85605401009636,27.412862679617543,C,C,1
Germany,Asian,-36.86063425728992,B,237.84561222944367,A,102.33059357456582,-90.31256855043482,-43.4493857716068,A,D,1
Mexico,Asian,1.588745056443062,B,-11.503460648222052,A,-157.57077030754857,-87.6839010972227,-113.75072621729727,A,D,0
UK,White,-14.319816606566976,E,11.905901016478703,A,154.24057206886738,92.45986468540423,-65.55687065035897,D,E,1
Brazil,Black,80.60688639187075,A,-71.1671809187937,E,106.54707278866924,46.128821792156664,42.96401835812316,D,A,0
US,Other,152.48245036593823,C,121.29572822841783,B,-114.50282800743132,-19.66686891483917,97.71254249964643,B,C,1
Mexico,Other,37.04124305050938,D,-15.234943640127954,B,-107.08225916001257,10.062489100116526,135.97385241373604,B,B,1
China,Other,46.20534263229927,A,0.3338631485902135,C,73.59714201804526,-148.95721218256466,68.23065973624387,C,E,1
US,Other,180.77031181913821,D,-35.10839541603651,A,96.08481569895454,-30.22578000902213,122.43487944011342,E,B,1
Mexico,Other,-121.39284489609972,E,53.81305779240629,D,-172.20014861456426,-8.599219370933795,169.78887152574785,B,B,1
Mexico,White,3.1962276247505974,B,42.56782218606986,B,33.578100070385666,15.437440710943996,-109.7387170126246,C,B,1
Brazil,Black,255.09528999475214,A,-31.767586609561167,A,54.85225346591084,60.87735019687952,-158.23073619477458,B,E,0
Brazil,White,103.88757455725643,D,14.87600621444353,C,-179.90532355275707,-79.22162281647597,67.94556303062468,A,C,0
Germany,African American,-41.48406299001961,D,-72.15778870135836,A,-118.98096758543547,-250.8172461906985,-44.425571670598124,B,A,0
Mexico,White,31.854990929915438,C,143.99326129887774,A,-161.24388437589147,-62.504404872563136,-129.21445569020526,E,D,1
China,Black,63.294331998283816,D,91.76101558166812,A,70.31534792310133,153.75822021911233,-108.857220178309,C,D,0
Germany,Black,121.71472466439556,A,216.11773924549436,A,26.430975918063172,-7.824344801835492,105.34383092208017,C,A,0
US,Hispanic,-96.3228502136561,D,99.54811559931855,A,39.850082753802745,22.9326881122418,74.88384104289152,D,A,0
Germany,White,68.90044143446531,E,73.61336335741865,E,104.43403618982326,-104.88026058180304,-33.22827906695663,A,D,1
Other,White,35.10897109931594,E,12.589354151183912,E,6.063573019937832,93.92285371539613,-110.43926848272356,C,D,0
China,Other,61.67832241416098,A,-27.971462438858737,C,-192.332032887033,-47.9187713164129,90.42053719034632,E,A,0
Brazil,Asian,-315.20537607829954,A,-112.86722718038487,B,-112.86627074313387,235.5187821071061,-66.25157702191916,D,C,1
Mexico,Hispanic,-3.2104191334272656,D,-29.009182527781523,B,53.45470402994067,7.830309027685048,-14.71220279941885,B,C,0
Germany,Asian,-55.10623753670399,E,-273.320188107072,C,32.98231055185803,-0.8796699278762659,-144.48827585015331,C,C,0
China,Asian,-16.47722793072619,C,145.20633493287062,A,107.48211211874035,-111.22244741270151,36.761844545284006,A,E,1
Brazil,Asian,402.49865936333214,C,-43.536258548079324,A,5.645843026997739,27.504637306330395,65.2478378355133,C,E,0
Germany,White,24.512543417504787,E,73.18182347164498,D,-163.3528587126631,-4.541171648524686,9.060794980203204,D,C,0
Mexico,Black,32.455414655404084,C,40.93590241991012,E,80.96796249595747,96.4068877027895,18.181887359454826,E,A,1
India,White,68.39005521866345,E,38.32643659545767,C,84.65350780020785,-38.59866085152592,102.74654492242293,B,E,1
UK,Asian,92.30934224570574,C,-0.9600322528147966,D,-126.07902994148046,136.60950655131882,-15.731109700127341,D,C,1
Germany,White,172.76087571836655,D,59.04979745912801,A,8.713710683182258,41.80859769447529,-20.199049745565244,C,E,0
India,Other,-33.84319623280583,C,114.15021269645887,E,83.98234190991572,3.8580303978695016,13.505721972482368,D,D,1
US,Black,88.00613320065503,D,-46.19263992967617,E,-65.43043934563256,-17.338185570524665,28.097754429109134,B,A,0
Germany,Black,-84.03732873250551,A,-126.75596601696762,E,32.93775102593601,-4.191468058266233,-9.119935183953745,E,D,0
Other,Other,39.101871516447254,E,148.57068815867166,C,-24.58105482308368,-148.4900276299277,101.50410750458283,E,C,0
Germany,Black,-79.05149540188235,A,32.74314113927698,E,149.46834840033193,-23.444308360012457,52.95567497254828,C,E,1
Brazil,African American,-8.261170465522765,B,120.58249023327517,E,-23.40682013731922,217.63410878634159,-7.172294042197301,B,E,1
China,Hispanic,86.95799250204036,A,44.45978101177144,A,16.542069961477026,131.88092782898093,95.08646353872588,D,C,0
India,Hispanic,-23.389611192393154,D,3.1769341616037234,C,48.74683822124757,-218.60015374965843,24.360733730769667,D,B,0
US,Black,224.44022847898722,B,-11.852014762484501,A,50.12129452228763,92.68984239702725,102.3737814547883,B,A,0
UK,Other,76.51104080981793,E,-6.623529458205405,C,7.156720936161452,139.57113560513042,28.286533458896006,D,B,1
Other,Asian,50.1302872165061,D,27.27884466528698,B,27.11911979487782,-59.91240086793592,74.45804427999711,B,C,0
Brazil,Other,46.23367874729588,E,-29.389378553162658,B,104.66227960094297,-131.56263560209902,-84.08355169737047,B,C,1
Brazil,White,-89.5217115139941,B,36.87748337675293,C,-32.46060390160553,95.24531430856197,-197.61284491337875,D,B,0
UK,Other,-26.517489534885836,E,92.84838538102595,E,-137.76383117366058,79.93692750641542,40.42432618066637,C,C,0
Other,Black,-13.239702413043036,D,-121.66735146125458,C,5.114858845225901,-180.33621611068932,262.0470468870851,E,B,1
China,White,-76.88191324719317,E,7.9973787917013786,E,124.21102954198973,-143.7592320330598,79.72897270941255,C,D,0
Other,Other,76.11787516750252,C,-76.69739706757218,B,-123.06538872959909,95.05514406296548,25.361911420468985,A,B,0
US,Hispanic,4.927551436922185,C,151.76100702876627,B,49.26103821158039,76.44652483297568,-237.1679732512757,C,D,1
Germany,African American,86.15639201610031,A,-31.43807024191129,E,-15.1857652780547,22.71352594933337,38.77383084174906,A,E,1
Mexico,African American,-128.2917838144821,E,26.850005771638163,E,72.6381614142177,-8.791740340289591,8.668861519356893,C,B,0
Other,Other,156.94600781126314,A,-37.73951084185134,E,-82.69553611711824,-24.731027666855617,59.88376223636902,A,B,0
UK,African American,-195.3535263928171,A,-35.10239350894172,A,29.119484244840134,-144.47364196797568,-85.69991446479864,D,C,1
India,African American,27.535369986084017,E,17.014349515141284,B,-47.91980029647861,100.89746486863093,42.11950232338249,E,B,0
China,Black,-75.08313166047695,B,19.926185682131806,A,-81.16435882207482,192.9518032023749,124.8830957625851,E,C,0
UK,Other,-135.9200417459296,B,-142.04385043402553,D,6.449885989894906,-6.843906069267461,10.14635375616025,B,C,1
US,White,3.579985957698775,C,84.0310369555321,E,-7.5287246694240295,-19.051217181603274,-162.75027953927543,C,D,1
Mexico,Other,87.20881370672652,E,-57.30950556410256,D,4.118086427246484,-14.617642018876076,20.310075181233913,C,A,0
India,African American,-34.1509757095172,E,95.27922972426776,C,-219.9748283717609,-5.57156089313633,-89.54903822196792,B,D,1
China,Black,-98.89220633616331,A,-11.702733919209397,E,168.4138101820535,151.35380557577176,55.75209111424647,B,E,0
Brazil,White,-55.947231635903904,B,-85.33517579166676,D,-144.26821411588304,-74.74622727639611,168.58337696334326,C,D,1
Other,Hispanic,125.22396331731535,C,-55.268094543867385,D,-28.497217957043752,-189.38532957027684,-47.095178654161245,C,B,0
Mexico,Asian,59.92549432555761,A,-139.8895186275947,B,-23.756848290826092,120.40538334423803,13.406919859796703,D,E,0
Brazil,Other,-6.270929232095107,C,277.25960366490057,D,130.62342350193262,90.55548489768509,33.98739106814429,B,C,0
UK,African American,155.12354257990893,A,-171.78044103849396,E,123.22445702230618,53.603552318984605,16.542982876778705,E,E,0
India,Hispanic,23.274759929104224,E,-134.9946490098533,B,-40.33652081206063,-18.32913689050366,83.07648798772078,C,B,0
UK,Asian,-102.26829488188092,C,83.10245909194789,A,165.37564966323305,148.59047069992627,-78.55046512798253,B,A,0
US,African American,-26.637980369743612,D,-163.95073422301803,D,-15.731404818015953,172.52853100363956,-38.657737284127464,C,C,1
Brazil,African American,-35.013206141124,D,66.48646484717,D,25.166292399421092,-30.79171868082203,-145.1202776487431,E,E,0
UK,African American,35.816900762631846,D,-160.92162754627464,E,-40.22549106901132,11.627002686907923,103.41741614054412,D,B,0
India,Asian,-139.86858247548435,C,-11.178844533017774,E,163.46197895644562,82.49281578373969,195.41947118750454,A,D,1
India,Black,34.14333368748652,E,15.165329787473416,D,-257.1271620465247,-7.187856323533522,120.24336269613545,B,B,1
Brazil,African American,15.644835997438761,D,-97.6468146851764,A,-220.335832151921,171.4162093290317,26.298902136698267,D,A,1
China,African American,-0.6177936439509261,E,-35.27237684447842,D,-64.81086440566894,-36.949691572383884,93.80940086666925,E,A,1
UK,Other,40.5596728650585,D,-28.13225972026574,B,107.33594165594833,84.86359643024643,-245.04313043450585,B,C,1
China,Asian,-159.45936449458105,E,138.26862657471855,B,36.82784818580295,73.26444274016036,-102.2337191848341,E,B,1
Mexico,Black,-194.0993992528956,E,-50.604442995088725,E,47.79979801784996,-140.049981006997,49.74140812226035,B,B,0
China,Black,8.090494684094072,E,120.2976796724933,E,-62.04713817128879,-83.24587299909886,25.449114913744936,B,A,0
UK,Asian,-96.2786045251458,A,-241.18357702151113,D,-14.543344998949356,-64.93847763451582,-91.58234780781646,C,B,0
UK,Black,-29.60854442668352,C,-44.8989059583006,B,29.630941637743867,-48.14300886423021,-119.95172059354404,E,C,0
US,Black,-0.4386256761960893,D,-75.5082984236399,E,-85.62085916075317,-104.34840317217902,239.98247492152132,B,D,1
Brazil,Black,-107.2914700027788,D,-44.871504246982255,D,-72.4050893460017,-199.46863252493125,-74.4220765070843,C,C,1
Mexico,Other,48.95721711806691,B,31.08899755462728,C,-47.2937120522553,57.620152575319395,-141.10075817403415,D,D,1
Other,White,-31.463982092698107,B,192.583352073841,B,24.056539420974822,-25.348092185379056,-54.31617721552866,B,A,1
Mexico,Black,-37.708955108720794,A,-46.117462694673215,D,60.75410922279082,155.23458954416455,-46.428827018450825,C,E,1
UK,White,-122.83555519525345,D,82.58366287665329,B,-27.578673623462972,119.51019175791677,0.9951828444068729,B,B,1
India,Hispanic,-43.3178860194752,A,-0.18015799467355464,C,-74.89171001911285,-62.478922118800064,-5.1903867425490535,D,B,1
Mexico,Black,46.425402027449195,B,7.368952795460356,D,-55.69831780843445,30.423809518606067,172.32383997914314,D,C,1
UK,Hispanic,17.792836884376445,E,14.134594074868728,E,48.109724890977816,-123.66104108202356,151.08417295132244,D,C,0
Germany,Other,2.195963317300598,E,151.70227154067493,C,129.32155286005184,-94.54837349562207,221.02414604444633,C,A,0
US,African American,48.332914944162525,B,-63.839281817794244,E,184.75700377682836,-28.891170519252224,46.53954686444585,C,D,1
China,Hispanic,-98.86737175292348,D,-43.528578899789785,E,-150.13534561216136,-26.824542529491683,-58.99492338643364,D,D,1
US,Black,-279.93800897975126,B,-90.62829807554971,C,-111.49682980296329,-8.008340971610933,-192.55527472666412,D,B,1
Brazil,White,-9.261541232305447,E,186.335074594521,D,-21.347341320158307,-164.24320693353872,72.91012505240458,C,E,1
Other,Other,23.481490850617785,A,-115.27310820588141,C,197.5057084128809,53.0875362057317,2.2429428243544964,A,C,0
Germany,African American,83.50529134782569,C,30.159985642030797,C,131.00115898425437,-79.79199693681508,120.19839551559275,D,E,0
Mexico,Asian,-95.73867625820272,B,-97.23683639529929,D,-111.46782411303353,1.00855707394684,-8.356272156725918,E,C,0
Germany,Hispanic,-67.19100224194139,B,232.3371109973911,B,89.10760238356707,37.791741825870275,176.17534146805463,E,D,1
US,White,3.0910174448082595,E,138.23757226640564,D,-64.87158609248381,-16.004990384084834,-17.63538864219255,B,E,1
Other,Asian,158.03450345383138,D,-37.38042396163803,B,40.25834867331432,62.472010688739765,76.44672724771013,C,A,0
China,Asian,10.529988226922548,E,-87.28391551365273,D,-17.862326872017825,217.2180442032164,164.6001749921169,E,C,0
China,Hispanic,43.483660001325305,C,35.2329110863901,A,-2.022021629176973,-134.09881813402203,-14.97322914130838,B,D,1
US,Black,-89.1597231162969,C,-27.818534908573696,C,-98.81064809519215,115.516856591709,45.78192701787487,C,C,1
Mexico,African American,95.93211893662243,C,-66.52621493093542,B,-150.71185207037138,-67.59067795419273,176.90809975299413,C,C,1
Brazil,African American,122.65044175935071,E,-118.1488909668246,B,-64.34043671909632,63.54031895854562,-44.60277565815784,C,A,1
US,White,52.40490442216373,E,-27.89701426390042,E,-94.315027450985,-7.4320126901814,71.30892897258882,B,D,0
Mexico,African American,-8.05285159112441,B,-104.86383811628926,E,-60.56131020260223,-6.430683222702696,36.24702854394831,D,A,0
UK,Black,66.66564841618802,B,-284.82812351949286,C,-84.15354376496424,73.13766471637472,-189.25365555352192,A,A,1
India,African American,-121.32125582787529,B,78.46178989947813,A,30.764592347756427,5.757709786820219,-33.94385040904137,C,D,1
UK,Hispanic,54.84703957167502,A,294.3347058806308,B,115.27485317907409,-136.02404328026182,-105.61771487976365,D,D,0
US,African American,-33.168568972838855,C,-48.47019068063897,C,167.43574558167927,50.817750463617706,-100.179133318324,C,D,1
Other,Other,-77.17229109922243,C,-9.22501496648243,D,51.281584592814674,71.50086085289645,210.02133552729435,A,E,0
Germany,Other,-243.95171084460694,B,105.92349972107402,B,-80.1851781094842,-229.06741395827902,100.07840467123464,A,D,1
Other,White,52.9113443975239,C,169.1168570089037,D,-4.134081162848853,223.15447992275708,-79.59425948548812,A,E,0
Germany,White,193.29533411190152,E,38.41134509094365,C,-155.53184834854045,4.117006874244738,-227.9558298625687,A,A,1
Other,Hispanic,138.32989809986375,C,-99.06906728328832,D,-129.74360299976493,102.54477067366005,62.02034503539197,C,D,0
US,White,-7.151279766366522,E,-11.897145038890551,B,-62.634357181731104,-110.30085333965656,-54.702294766750406,C,D,0
China,White,38.30787905065105,C,-117.99338581962515,A,-12.370216267126954,231.09470953911583,16.262234013605532,A,A,0
Other,Hispanic,-22.22342187433118,D,-40.81589062019774,D,-69.07951422360578,-84.82582416699938,216.98310246629205,A,D,0
UK,African American,-51.03206763840259,E,-30.860933590981666,A,85.02800853827684,-0.6437113084562974,-58.33407467267797,C,D,1
China,White,-57.23700691061053,E,-81.36476104198815,A,-61.71619538571089,44.32457688999275,-22.840871928581098,D,A,1
China,Asian,9.124425268590556,A,92.16063929622183,C,11.814175282206321,-54.88226717411643,-61.297888258434185,E,C,1
Mexico,White,-44.972829104644205,E,-251.5691141472208,B,-46.9993907169806,-121.16145057566882,135.93497578747326,A,E,1
