Race,nationality,AgeGroup,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
African American,Germany,36-50,Christian,39.158089919737165,-12.795807622915412,B,-122.12040807294846,A,C,1
Asian,China,18-25,None,30.99976940065278,-4.607718891118629,C,109.7630183663777,C,D,0
Hispanic,UK,65+,Other,-65.43713314184771,-106.10864183075518,E,-88.10041397359632,E,D,0
African American,Mexico,36-50,Jewish,99.07202385398638,-78.7998329064481,C,-116.63661239635081,B,D,1
Hispanic,Other,36-50,Hindu,39.90830336217412,22.77775877766742,A,65.15819791523865,A,A,1
African American,Mexico,36-50,Hindu,136.9086088144696,-124.67711782082098,C,118.8214262676682,D,A,1
Black,US,36-50,Hindu,-59.542980733716036,56.646552000101316,E,70.94711695137825,B,A,1
White,Germany,18-25,Hindu,59.54655126239948,32.02630305349297,D,-149.2930228485269,D,B,1
White,Brazil,26-35,Buddhist,-6.292927886856203,72.86519687980201,C,3.9004813022677527,C,E,0
Asian,China,65+,Muslim,-72.21346791452082,50.91623791253671,D,-165.85905073669895,B,B,1
Black,US,51-65,Hindu,-103.49065895975937,45.44974046507333,B,64.58873602718133,E,C,0
Asian,India,36-50,Buddhist,63.38048154443398,44.834774162605775,C,13.729261200762274,A,B,1
African American,Other,51-65,Other,-30.340319765039382,-22.14862088296768,A,-105.95015765873488,B,C,1
Black,Mexico,18-25,None,64.60907751456864,-82.33777609223229,A,-12.88722432640617,B,E,0
African American,India,18-25,None,-57.89900114439425,-119.66554336996084,D,47.547097800758934,A,C,1
Hispanic,Other,51-65,Other,135.81367735239425,-5.721635184024524,E,-107.20043088237713,E,B,1
African American,Germany,36-50,None,-186.08194451448702,-110.86193458572835,B,33.54462171070365,D,E,0
White,Brazil,51-65,Jewish,9.967118204525645,-4.810169767893758,E,2.7749110146602844,D,D,1
Black,Mexico,65+,Muslim,40.60639978183691,-19.49416297863349,D,-23.037145640137325,C,E,1
African American,Other,26-35,Hindu,-54.903624847592205,62.218359313844104,B,-26.373588284364764,C,B,0
Other,Brazil,26-35,Other,-9.713727339141059,74.00175127620018,D,67.92078492911922,D,D,0
Asian,Mexico,36-50,Buddhist,2.4066503123410086,113.16829712170022,B,-57.882342631972264,E,E,1
Hispanic,UK,18-25,Jewish,100.46954384320867,-29.369236420151463,E,-90.02178278349885,C,E,1
Asian,US,65+,Christian,-18.355289973982874,-17.996356556310403,A,-187.89733757937233,E,D,0
Hispanic,Mexico,51-65,Muslim,-231.10311460328435,13.17617188469424,B,10.977901852620347,C,C,1
White,Germany,51-65,Hindu,-169.4201770739032,-49.96432588862231,C,-39.595608650315654,B,E,1
Asian,Other,18-25,Muslim,-7.919046242445024,-23.829046705462098,B,-101.08275242596898,E,C,0
Black,India,51-65,Christian,114.65496971334485,-88.88472074097228,D,173.80263345303558,B,C,0
African American,Brazil,65+,None,-69.79308283630374,-3.582454636541944,A,20.50831827048199,A,D,1
Black,India,18-25,Christian,49.803699392346154,124.79367442284311,B,-3.9626567611159667,E,E,1
White,US,51-65,Hindu,76.28516350735552,128.0696467807612,E,108.08399248127671,A,E,0
Other,Mexico,18-25,Other,-52.12917495069619,102.7329905062064,D,-211.06512949968982,D,B,1
Hispanic,Germany,36-50,Buddhist,33.02385718543182,-121.56072474782536,A,-3.3586057011539863,A,D,1
Other,Mexico,26-35,Muslim,-82.22269094338711,121.43463259728541,E,120.38921208416764,C,A,0
African American,India,51-65,Christian,-54.07078375660799,64.75957707015525,E,21.781129979996052,C,D,1
African American,Other,36-50,Muslim,107.90136104594052,-286.90286852187484,D,-149.88759946502933,C,B,1
Asian,Mexico,51-65,Other,-120.65043360475653,222.25479061510828,C,-59.62838227315983,E,E,0
Asian,China,18-25,Other,62.77325980126521,-75.2756128734964,C,0.5470297214025465,A,A,0
African American,UK,65+,Christian,-52.38374882972903,123.3393574197197,C,-94.85727653724317,C,C,1
Hispanic,Other,18-25,Buddhist,-164.6826316078116,14.294977722695426,D,82.74786988210798,A,E,0
White,Brazil,26-35,Hindu,78.9529442236345,122.49248154041229,C,-29.086792824643542,E,E,1
African American,UK,18-25,Buddhist,31.090739376725026,-174.72881180840204,B,104.107617505995,C,D,1
Other,Mexico,36-50,Other,-157.55327205895492,-11.642585429909577,C,134.84081226346703,E,D,1
Hispanic,UK,36-50,None,-42.79125399960623,-76.47426933955956,E,-66.93528438283765,C,A,0
Other,US,26-35,Jewish,82.45279048609923,28.52061913674195,E,33.0978994300771,E,D,1
Other,Brazil,36-50,Christian,-130.32555944262762,-78.25981198796713,E,-7.2182746200997085,C,E,1
Hispanic,India,18-25,Buddhist,108.87995685482107,35.21096914834214,D,94.89876890862216,C,D,1
Black,Other,18-25,Other,-122.61071826358332,284.896696268032,B,19.08707776342259,E,A,1
Other,Other,51-65,None,20.61745976656494,-53.56397144216618,B,-103.59764192731843,C,C,0
African American,India,36-50,None,4.532242931225879,224.2906549450302,B,-90.109255113888,C,D,1
White,Germany,18-25,Buddhist,34.86239363812921,36.474093401616706,E,-94.35408204113111,E,D,1
African American,UK,18-25,Other,-20.148426950609704,21.557684254248954,A,-15.573925590284004,D,B,0
Hispanic,Brazil,26-35,Christian,-169.77223084769614,-8.402588992766677,A,-46.619959362796614,B,B,1
Hispanic,UK,65+,None,55.247259211277175,-38.93692218114502,A,157.16283922437918,B,B,1
White,Germany,36-50,Hindu,53.52771509026899,12.056914491856745,D,143.64910722153115,B,D,0
Other,Other,36-50,Jewish,276.48912598550186,127.86399474417772,D,-41.49866638909801,E,A,0
Hispanic,Germany,65+,Jewish,-15.24023472597143,-105.88398351990675,A,143.25070513824966,C,B,0
Black,Germany,18-25,Hindu,-72.08192493034663,63.35705893408574,E,-196.58199394600706,C,B,1
Other,US,51-65,Muslim,-43.33753764265133,-90.01228462028332,D,146.68921684943538,B,A,1
Other,Germany,18-25,Hindu,-36.864031065127385,-68.63244595036629,C,12.175573574798936,C,E,0
White,US,36-50,Muslim,-7.300159572783446,71.49475264563435,C,103.52803174267756,D,D,1
White,India,36-50,Other,-9.977457912466543,17.726699835548377,C,29.30230278506112,E,C,1
Hispanic,Brazil,26-35,Jewish,3.832634073310035,65.38066427517234,D,-81.80629203796423,A,A,1
Hispanic,US,65+,Other,52.214904590450395,-36.49776511994125,A,-114.78437694872467,C,C,1
Other,Germany,36-50,Christian,96.5088512040307,-155.0572450359936,B,22.814260142356886,E,E,0
Black,Germany,36-50,Buddhist,69.0314002389803,153.28792927973183,C,-8.379288085656967,B,B,0
Black,Brazil,26-35,None,15.310869078926173,44.35629896966242,A,205.7062105917366,D,C,0
White,Germany,18-25,Buddhist,41.889896566438864,-14.715266786448774,C,185.87331234312964,E,D,1
Asian,US,18-25,Muslim,34.937906555827325,68.43603821138669,E,14.786407224390722,E,A,0
Other,Other,18-25,None,-165.85483624428144,83.50086166698608,A,207.32988633586524,C,B,1
Hispanic,India,18-25,Muslim,-23.97545081437081,-5.453638225527172,C,148.09950613929752,C,C,0
African American,Brazil,65+,Buddhist,97.08779502836545,-109.30579397785714,C,-16.916758402219035,C,B,1
Asian,Germany,51-65,Hindu,138.5601313455482,-7.0794171443826714,C,79.02802664161487,D,E,1
Asian,Other,65+,Jewish,74.47596439784786,-37.70974908094924,A,-28.39538976607956,A,E,1
Hispanic,Other,18-25,Other,33.77026556625678,-90.81184566308322,D,-107.41763272046343,A,B,1
African American,UK,51-65,Buddhist,-177.5882000583096,-83.58659768906271,C,-27.10051007909895,E,E,0
White,Other,18-25,Jewish,-20.4210064049263,-22.663626772622987,E,-120.36267525066471,C,B,1
African American,Mexico,26-35,Buddhist,-6.485138271636978,35.42367374172276,C,79.24773469019985,D,D,0
Other,Brazil,65+,Other,-4.266885673016246,63.93081116043433,D,5.134182487576363,A,C,1
Other,Mexico,51-65,Buddhist,139.75473220866758,-41.05725538899246,A,-132.7430317828259,D,A,1
Asian,Brazil,18-25,Christian,123.9410360638309,58.80416137429414,C,-106.01773596844706,D,E,1
Other,US,26-35,Christian,-78.18312543470101,-5.498703148862971,B,14.1886309735852,A,C,0
African American,US,51-65,None,-9.931628458008777,52.77017204423705,B,-19.082371539506234,E,E,0
African American,Mexico,36-50,Hindu,96.35012034233819,-218.23159769695454,E,-43.106776107069194,E,D,1
Other,China,36-50,Buddhist,120.52099876071745,137.25147760859053,B,113.6996805606296,D,E,1
Black,Brazil,51-65,Christian,-8.11765754150336,-194.3947772392462,D,79.16025073632504,C,A,1
African American,Other,18-25,Other,0.37934766710439644,-172.65221654878147,A,-87.59211430129722,C,E,1
African American,Other,51-65,Hindu,-50.313570846605096,-159.22986485880116,B,-49.225382055660674,D,B,0
Asian,India,26-35,Christian,-57.276658986670135,47.290841546401694,A,-32.42206471363544,C,B,0
African American,Germany,36-50,Jewish,-104.26231509362454,-122.40153888875955,A,-133.57830178844685,A,B,1
African American,Brazil,36-50,Muslim,-82.6002114685248,-142.4714392056422,A,-7.388121247272064,C,E,1
Other,India,26-35,Buddhist,-33.107293769066814,-60.031717874044276,B,48.59347526736145,E,B,1
Black,Mexico,51-65,Christian,-200.21778626620707,-84.47036182372386,C,-172.39223818131535,B,A,1
Hispanic,Mexico,36-50,Jewish,49.971799013603786,-86.41373541431378,E,122.50974735449537,D,C,0
Asian,Other,51-65,Muslim,-39.35948179463469,-44.79287818838061,A,-21.637015786720898,D,B,0
Other,Other,65+,Hindu,25.969496837470622,161.7061257783376,E,98.66535005134057,B,A,1
Black,US,51-65,Muslim,3.491314358009876,-117.77347746566859,D,-96.61139577263803,C,E,0
Black,China,36-50,Muslim,85.58533275168205,23.748195706573654,D,0.30026232582454604,A,A,0
White,Mexico,18-25,Hindu,-61.508835489357985,-8.445888656291615,B,-17.50578038292328,B,B,0
African American,Brazil,26-35,Muslim,-111.0023054812209,-128.11920608977312,E,-112.21040857522505,B,A,1
African American,UK,51-65,Other,-162.7374901141416,62.67290933035847,E,-143.42552035409048,E,E,0
Hispanic,Germany,51-65,Buddhist,-21.35469741990887,-74.41698957444149,B,25.01325209006072,B,E,0
Black,UK,51-65,Muslim,34.767300758051476,-113.37831608249658,B,5.951971845298052,E,D,0
Asian,US,18-25,Jewish,10.239000071637799,40.07073098443475,B,-90.05845882633037,B,E,1
Asian,Brazil,26-35,Christian,74.85929215758321,66.0921645822291,D,-130.24156811458863,C,B,1
Black,UK,36-50,None,54.09472716968706,-44.66051406505231,E,41.2675663487845,C,E,1
White,Germany,36-50,Other,-114.98932409191885,-172.4312854930218,A,-128.0233690693762,D,D,1
Hispanic,UK,65+,Other,278.9523050600941,-72.7317512138033,A,-68.44383823534785,E,C,0
Asian,Mexico,26-35,Other,-98.74501768790364,-110.022693385438,D,12.52874997619235,A,B,0
Black,Germany,26-35,Muslim,-100.39618216610022,51.9867833293816,B,-154.708603965934,C,B,1
Other,China,26-35,Muslim,46.296575151535414,32.14476596806558,A,-137.29405543066156,D,A,1
Black,Brazil,18-25,None,-1.525130967767911,139.4612565973693,C,-147.8795674784192,D,E,1
Other,UK,18-25,Buddhist,-148.42858484753833,-187.00625076867283,B,97.76977018784794,B,E,0
African American,US,51-65,Muslim,160.76836898964592,16.569003613314788,B,94.98580811480251,A,C,0
Other,Brazil,26-35,Christian,14.05694575235865,-96.98597837972287,D,178.62870724371308,A,D,1
Hispanic,India,65+,Buddhist,42.03225588240234,137.90061566687385,C,-67.41302816029363,D,A,1
African American,Mexico,18-25,None,51.615864042586615,51.60496855903752,C,90.64097700229414,B,B,1
Asian,Other,26-35,Other,-43.28649025969458,-47.56801122630964,A,12.092238997809105,A,E,1
White,US,26-35,None,-113.14988668139354,24.166497903304826,E,81.71350372787948,C,D,0
White,Other,26-35,Hindu,9.30730948410378,101.11343261763591,E,66.0574166022157,A,B,1
White,Other,36-50,None,-40.98892025770867,-113.36775101208065,D,22.044052800809087,B,D,1
Hispanic,US,26-35,Muslim,112.98621298506583,-30.01611584390997,E,12.61124513518183,C,A,0
White,Brazil,65+,Christian,30.139948513716604,124.54638781877117,E,58.68129341067083,A,A,1
African American,UK,65+,Muslim,-8.90283287857082,-13.479656338779616,B,0.774552549402393,A,E,1
Asian,Germany,65+,Muslim,71.48954984526172,176.37264939041773,D,-4.643856121484865,D,E,1
Other,US,36-50,Other,130.27115449992667,-49.179776097456916,B,29.43941555332289,B,B,0
African American,US,26-35,Hindu,-44.410933458627376,144.32688794900878,E,61.55198745725937,B,D,1
Hispanic,UK,51-65,None,203.20676674863617,-131.6422235526364,E,-100.24884438993513,B,A,0
White,Brazil,51-65,Jewish,134.02479848580282,25.172749403567135,D,-144.02838041007735,C,A,1
Hispanic,Mexico,18-25,Buddhist,62.00807296840477,6.114645004986292,B,107.72098677726909,B,D,0
Black,China,36-50,None,17.11335813096167,148.9564668149524,E,19.228478561302126,B,B,0
Black,India,51-65,Other,-181.80408947975613,66.43801045718646,D,-67.96394832232687,C,A,0
Hispanic,China,26-35,Hindu,-203.8452214009623,249.62226601697068,B,92.47886893121152,D,D,0
Black,Brazil,26-35,Other,-19.09022882586525,-108.62438677793631,E,28.38907249005704,D,A,0
Asian,Mexico,65+,Hindu,1.7709098072832603,-13.249523886962097,C,-152.11845674916268,C,A,1
African American,UK,18-25,Buddhist,-195.5469401980223,-30.76466511717048,B,-181.63322477558606,C,B,1
African American,US,36-50,Buddhist,-41.88990959399676,-69.0974225282326,D,165.80122950112315,D,C,0
Black,Mexico,51-65,Muslim,-108.26083369453927,-11.178150736421834,D,31.827217431437337,D,D,0
Hispanic,India,51-65,Other,-151.5838245557936,24.91641682294231,C,-191.6365179799692,A,B,0
African American,China,26-35,Hindu,-138.7059281224508,164.9199947403171,B,5.331318049660898,D,A,0
African American,India,51-65,Hindu,-63.46085342114828,-66.78988715998844,E,8.37429215697882,A,A,0
Hispanic,Brazil,26-35,None,135.87783180482705,-89.25188655940356,D,13.197501244654669,A,A,1
African American,Brazil,65+,Muslim,-78.40835714734594,-106.73093482984864,E,27.242778597686712,D,A,1
White,Other,65+,Muslim,59.21530481970685,-63.91708506425628,A,14.156913771597507,B,D,0
Asian,Germany,36-50,Christian,-24.07281017709148,-89.378311759335,D,81.84207156562529,B,C,0
Asian,Mexico,26-35,Muslim,-108.44261534772053,-48.49055397151247,A,64.88734142522858,B,D,0
Other,India,65+,Hindu,-4.844719159405921,-5.3344336945718736,E,-15.249229219585589,D,A,0
Asian,US,51-65,Christian,7.432358983674601,61.313749144848984,B,57.31353363204759,E,E,1
African American,Other,51-65,Hindu,-7.8227477226455955,124.93179696582233,E,59.41585903677773,B,E,1
Hispanic,UK,65+,None,53.79083031333893,-39.08865479764846,A,-91.42085558469084,B,A,1
Asian,India,51-65,None,-104.91269089272886,207.47854604610595,B,22.74257204821482,B,C,1
Other,Germany,18-25,Jewish,67.25256525978504,30.424927467811262,B,-19.721094802833306,E,B,0
White,Brazil,26-35,Other,149.81810234245867,12.553306316677585,C,-99.41124796447166,A,E,0
White,China,65+,Jewish,115.43906427359596,146.4124085967606,C,-172.92026824743104,B,E,0
Asian,India,26-35,Buddhist,-61.148162742651245,-48.36009686415292,D,-127.59726242031047,A,A,1
Black,China,36-50,Christian,124.79624844678689,99.45881849835767,B,32.4315160400871,C,A,0
Asian,UK,18-25,Jewish,152.14764879910908,34.717236690400924,D,-138.8766064497523,A,D,1
Black,Mexico,18-25,Jewish,31.483454235251735,6.460144606167424,D,134.36350352294474,D,D,1
Hispanic,China,36-50,Jewish,-152.72935341200827,-125.07586377843458,D,14.364595153711846,D,D,0
White,Other,26-35,Christian,112.27386535951209,7.402630111547512,B,47.47691469283693,B,A,1
Asian,US,65+,Buddhist,-36.36409300918518,-28.485745006819503,C,-56.29179125180009,E,D,1
Hispanic,China,65+,Muslim,120.27182949343384,-29.719115716138035,E,-44.3560571940785,C,A,0
African American,Other,18-25,Jewish,139.46462932651306,72.92551378155319,C,118.1285125587811,E,C,1
Asian,Other,18-25,Buddhist,125.23361823622395,152.67641987202455,B,-58.48511844807408,A,C,1
White,Mexico,26-35,Jewish,-5.855937264851464,9.581930173654003,E,-1.2077360876412429,C,C,0
White,UK,65+,Muslim,-141.22300499901053,43.98652073662375,A,92.47705942097177,B,D,0
Other,US,18-25,Other,-129.8355700615527,116.2909734068273,C,-89.19747558204372,E,E,1
African American,Germany,65+,Christian,-52.513634530412276,4.507512005013649,A,-141.67072200511404,C,D,1
Asian,Germany,26-35,Muslim,-3.315696752336575,93.14482631364078,C,113.11592996730052,A,E,1
Asian,UK,26-35,Christian,12.449061550496609,127.5424880234095,E,3.8240923775991273,B,D,1
Black,Germany,36-50,None,-61.95145494564339,0.48865243306185574,A,-33.87294779957137,E,A,0
Hispanic,UK,18-25,Christian,-119.27836450566167,-153.90011898917209,A,55.634256857040384,C,E,0
Asian,Other,51-65,Jewish,12.963984044111152,-142.9680633289489,C,9.23820450517269,D,E,0
White,Mexico,18-25,Muslim,-79.29109547689147,-56.25715738096348,D,-95.3478057962329,A,A,0
White,China,18-25,Muslim,211.15635267449716,23.92710956049838,A,61.36106490565854,B,E,1
Hispanic,Mexico,26-35,Christian,-11.351383422886537,-34.36241107112586,A,-59.56711700809695,C,D,0
African American,Brazil,26-35,Other,71.12726433872433,4.269554583199345,B,-52.60749610499155,D,C,0
Black,Germany,36-50,Buddhist,109.15601184093249,11.919618284266544,C,-1.8815499553649366,B,A,0
Hispanic,Brazil,36-50,Buddhist,-117.92821421694401,-196.47928957364655,E,38.23520314606341,C,D,1
