handicap,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
None,Christian,34.42400086587457,B,C,-98.01949602907878,E,D,-14.159994695600561,-5.066227279843676,-77.66850259257694,1
No,Muslim,106.2505639416218,D,B,177.03199061350608,A,B,6.509823848018264,72.43895834955777,-12.215376631057408,1
Yes,Jewish,164.28950096122523,D,C,8.257806814988713,E,E,21.590080445669162,33.14896165600113,-156.35416826973187,1
Mental,None,-56.918479939003674,A,E,105.00523198282478,C,E,-32.82517097792542,-157.75567042695187,-99.3296987145401,1
No,None,-43.24010020696827,B,B,-5.0386559138857265,E,A,50.50378832425297,-82.38012980333673,-61.588226155469904,0
Both,Hindu,-155.46497519517473,D,D,-14.121793052906995,D,D,-71.5866892470493,193.9021335703469,15.750368895600339,1
None,Jewish,-72.10204833004916,C,B,-96.35197212303419,D,C,-59.93659923991442,117.79290393036193,30.149248149755266,1
None,Hindu,-7.69953251366081,E,D,-181.47792897448093,D,B,27.377954379533314,-136.50635234338995,-155.44345994304268,0
Both,Christian,-28.9640771087948,D,A,-42.99847835233525,D,C,-155.21564056738046,94.67525069511315,98.38679052750291,1
Both,Muslim,-64.20720026745461,E,C,-48.58933423832362,B,D,1.626482192435786,-21.93396433083641,91.88938758128944,0
Physical,Other,-122.04645058643071,C,E,19.388331076853408,A,A,-76.6169498147602,-21.469756570515774,0.8172876607793601,0
Yes,None,-98.01323488026736,D,D,-52.26803571973525,A,E,8.788786852764494,143.07218491926108,43.80546430819801,1
No,Christian,71.60700675845281,A,C,-234.56604906406056,A,A,178.97857165596506,29.007579725894338,-88.84355967106019,1
No,None,34.129044299650516,D,A,26.351158792232845,C,E,75.3005706989891,41.59029885349995,-28.87376147449814,1
Both,Other,93.57565424858028,C,A,-66.63960486824675,B,B,-115.67675821675572,-10.087274362652984,37.316919508860806,0
None,Other,61.04221679257598,A,A,-2.021916269230131,B,A,-41.61097521600096,4.004536101272297,121.79424319675836,0
Physical,Hindu,138.85675235766314,A,C,48.98415183684637,E,A,-19.115094126952933,75.96293753565696,-69.46928538416074,1
Mental,Buddhist,-2.404518202037114,B,D,-66.67460933900057,C,D,-28.62819455790495,-70.51673291472457,-160.70213257304385,0
No,Muslim,-112.65502999621084,C,A,57.878123986140615,E,E,100.34213469434074,158.83413759569132,-61.04971319395312,1
Mental,Buddhist,14.215799143770969,E,B,-111.64170740091035,A,A,18.178999201248804,-18.113447299056958,91.96651954400855,0
No,Christian,-49.095303081816596,A,B,-32.37010961441783,A,C,69.9244933479654,-134.7010068890866,153.25838972062505,0
No,Christian,11.92269718311685,E,C,100.38157953272031,E,A,43.39243443896551,-195.73063997570887,99.79562459923385,1
Both,None,-137.57303606394353,B,C,242.4312275049651,C,C,-72.08181215974524,-54.76730228727419,179.8717352740278,0
Both,None,61.343318408630154,D,C,43.236852564765066,E,E,121.7835447834406,-44.8523345289233,98.08905272834537,1
Mental,Hindu,-197.68553462873757,D,C,99.93111894178158,C,E,63.746799274812496,84.87478482978423,118.83242725980752,1
No,None,91.64364470031431,E,A,-66.08158586687243,A,E,-193.21433897213475,-44.31781167167647,18.818511350249732,1
Mental,Other,-6.022836488909357,C,B,284.56871038137933,A,D,40.631448844390256,-87.03474107234052,-36.91542595673534,1
Physical,Buddhist,146.8400041007211,C,A,-74.01392200947173,E,D,117.57209195150067,45.19817232446911,-75.51035926392872,0
Physical,Muslim,-104.73890084931912,A,B,129.55636054746788,E,C,-46.20341718122985,30.312895899019033,64.11967681852398,0
None,Christian,-53.76451810986303,B,E,133.7080688371186,C,B,-81.14474731290677,-19.896432607449213,143.1016044293721,1
Both,Muslim,-73.603187102014,D,A,231.69075455329207,D,E,40.143788870371765,131.41174629368217,-130.50740336711152,1
None,Buddhist,-85.67898984379853,C,C,-71.35496906440851,A,A,-66.52679287285606,26.820456675695887,29.01248652350465,1
Yes,Buddhist,-82.32458563686507,C,D,81.02845959265471,C,E,-14.356457125364802,55.54186202657646,-81.23071685701137,1
Physical,Muslim,-58.50749178783331,D,E,52.91132322452402,C,C,-19.32732919817436,-81.77794193876109,-152.75734077905753,1
Physical,Other,-10.654200486478594,A,D,-95.68978173917905,D,A,159.7237421107086,18.873680987319883,118.33346060147628,0
None,Jewish,54.381390168626744,E,E,77.96517611062917,D,C,84.14374182167053,-67.98949345866664,-126.84049652921826,1
Yes,Jewish,7.79583777662227,D,B,6.412842280431691,A,E,68.48192358800837,-102.49240057427058,163.075080334226,1
Physical,Hindu,-25.46633547649833,E,E,81.18960059360298,D,A,160.62581018306378,-85.45125765832961,-10.30646765179716,0
Both,Jewish,-3.353578491914239,B,E,-0.7005422483325531,E,A,-52.643708907609685,-59.3673748905049,-34.08013982769617,0
Physical,Hindu,93.43165626667687,E,C,-31.81202693036988,D,B,-24.006717145498598,148.39807200256146,-12.592816050753767,0
Both,Christian,1.0333629140959606,A,E,-63.66036506635028,C,B,-9.134490297487293,16.130901440433384,-102.40864574362823,1
No,Muslim,73.44205446038956,A,A,85.68519332586439,D,A,-100.50502034105794,-11.663139322230444,33.62752247680141,0
None,Jewish,-87.24544462574545,E,A,-18.131059894715968,E,E,53.775991027282736,141.01004108514516,-165.43286431246221,0
Yes,Other,123.37457201599354,C,B,-155.76671448918168,E,B,110.68967567192524,-267.4260056996349,96.27359068849113,1
Both,None,48.01455293419336,A,D,114.25658844377344,C,C,-123.93109596633181,67.06756312251923,69.13016366133307,0
None,Jewish,127.88654180765144,C,A,-7.845577270045949,B,C,107.63259670971155,-15.480010303994455,-47.529691524629506,1
No,Muslim,76.95120625293188,C,C,36.663170130999056,E,D,-156.0355829006209,60.88708905508919,129.93601639801525,1
Physical,Muslim,123.91845982114451,D,A,12.46168485398928,E,D,-74.57997548301122,-44.03254440471114,-84.24617878294139,0
Yes,Christian,2.482629416766937,D,D,-35.87213920302459,A,A,14.061253401641698,-43.232500538617785,-81.36016107902039,0
None,Jewish,62.124465664015474,E,E,-181.58562521868043,D,C,243.31536086192736,16.585594352446144,-73.34088857893659,0
No,Hindu,115.22786579910145,C,E,49.65157602993243,B,D,59.44846026150492,-112.21333914004468,61.420398767278094,1
Both,None,78.64114753991453,E,D,33.24196502382957,D,C,-154.72449279703608,-33.12434483711091,-77.22195148232514,0
Both,Buddhist,108.59842076929411,A,E,-74.24195367117198,C,C,81.11865503227456,153.85155101912932,-4.273179799196439,0
Physical,Christian,-55.016318194493316,C,D,-32.95661381903844,E,C,-190.59109190333294,13.533721432914469,67.01589806196088,1
Yes,Other,-85.38582638104607,D,B,-45.23373810342636,E,B,5.758813739619315,162.25462844798392,40.314070600916686,0
Yes,None,-64.1677600847057,A,C,113.32006311358629,E,B,-130.15418928157868,62.22289173197429,53.16946528150223,1
Mental,Hindu,88.73280026003359,A,E,113.6362875892962,B,C,191.81226407831892,97.10514611619955,-94.77834580247823,0
No,Christian,-152.28898410094317,B,B,28.269133624940423,E,C,-46.55853871403436,1.2955104935331423,-79.54998882923464,0
No,Hindu,-1.1774569948956042,D,D,89.09500699043875,A,B,-120.44960329849606,-160.3900129299172,-38.89389553116996,0
Both,Jewish,219.6171301111959,B,E,126.70746065362262,C,B,8.35579153328561,-41.762615491301865,84.23668318966423,1
None,Christian,129.992955077024,E,D,-18.78858529348371,A,B,19.81020754959962,13.90687814104123,-188.4400690035095,0
None,Other,13.203568025258724,C,A,-124.45412587234009,A,E,-17.697055642166255,-30.267045790324666,-95.87321870023369,1
Physical,None,44.310176194625946,B,C,-48.47430810415313,C,B,123.79152938682326,30.659072683088475,-107.3625506193374,0
Yes,Buddhist,18.473000776324273,B,D,81.88426035662172,E,A,-104.43353276981082,-0.5329272280586801,69.96780557793882,1
None,Jewish,-25.970005223023907,E,B,113.8367955178301,D,B,66.62392624250644,169.34769988337774,71.08959840895858,0
Both,Christian,69.35075092512932,E,A,-107.21532165583679,D,C,-81.21632552033573,-154.60907210932652,-23.380212106761586,1
Both,Other,103.40074565982624,C,C,1.6091084414832562,C,D,6.887313975693539,-173.9027163161712,1.511452779038339,0
Physical,Other,10.405594781075925,E,E,157.64251900623924,E,B,-53.644087634098256,55.44371462035814,74.16269299838979,0
Mental,Jewish,201.3035034431905,E,A,131.06507090455543,A,E,-55.5861893285277,-187.73317216394312,50.88138557293283,0
Yes,Buddhist,95.12440842277236,B,C,187.16418046200369,E,C,31.196935403940117,43.16127158304652,-153.57801321675666,0
None,Jewish,-149.01290477672623,C,D,-84.93524020223448,B,E,-62.613991651679214,16.69896570445818,148.09555487549153,1
Mental,Hindu,-111.54651787923544,E,D,1.3094159320238694,E,B,118.49532841131634,24.818508622029967,183.1807074464593,1
None,Hindu,-63.280055852110614,D,A,-75.49100211036425,A,D,41.08991559771201,-47.43955199751625,14.922662596693973,0
Mental,Buddhist,-49.98442944272369,E,B,104.31455730676396,E,D,-211.30731620434818,-96.90576117446244,47.18096386725208,0
None,None,4.921358048743827,E,B,169.14522721878035,D,A,-127.30078002839238,193.89173225646886,-25.54642867812454,1
Physical,Christian,-259.6498990754115,B,A,-65.52412621994105,C,A,88.7499811923941,-172.73403133355615,-94.07876261152572,1
None,Muslim,155.30908480051616,D,A,129.0835323686568,B,E,-115.98620068300463,54.94977341530072,50.00858441408786,0
Mental,None,-202.5537862543901,A,A,56.005203749360135,D,A,14.34486343336025,23.974742467466754,2.6647316525058784,0
Physical,Buddhist,-76.43397510713766,E,A,-4.365035780436632,A,D,-2.0615564696768036,-13.914232400529459,112.80584034463142,1
Mental,None,46.67374220889193,A,D,32.5639109989975,C,D,-163.36625133284613,37.900613716128866,-92.58816000403857,1
None,Jewish,-57.92125617643822,A,D,-11.023154930084432,D,A,-12.570499618741568,-109.23645288638892,38.9850347498899,1
No,Muslim,20.993231131353355,C,B,43.14299759481461,E,C,-62.483004653797316,-100.49415762462087,-138.68245702378817,1
Physical,Hindu,24.118012915261154,B,C,53.13328961094829,C,B,-42.57695245464738,-46.446077916559645,-41.224931467287185,1
None,Muslim,-2.693334000610214,C,B,-51.38234168774668,D,D,26.828332171858815,-63.64941971085302,24.684894957165284,0
Mental,Hindu,-23.298293999713003,E,C,-72.44016426533942,B,C,28.852094461517876,-127.64757845280819,115.65817722467256,0
Mental,Jewish,-134.20283934190718,C,C,-11.080316546250225,E,E,24.054471167678663,11.940880421371192,-249.91286171565633,1
No,None,8.00204483156929,B,B,96.35727013386327,D,E,-158.97059752874597,97.45582444242584,-147.87398186120737,0
Both,None,35.23465188040333,D,A,-146.7325807883787,C,E,-8.943831561484679,38.06583179844606,-6.4954786807542835,1
Physical,Buddhist,29.724194271738284,E,A,97.2050513800325,B,D,-79.8914733381095,-92.52749251100055,-242.94241408459922,1
Physical,Buddhist,-51.0783088286414,E,E,-75.50033484246525,E,A,-50.740233082113896,-91.62339452539715,13.727506456636215,0
None,Muslim,31.156040146095986,D,D,-0.9268661662962706,B,C,-74.17708302681557,-2.959407589054783,111.15087640796249,0
Both,None,-1.2563558099126022,B,C,-38.7189191695566,B,A,86.7237762486622,34.7104890556635,70.61468270451128,0
None,Jewish,-97.68912142832919,B,D,48.60728125210536,D,A,-95.73280837842294,-59.04451470911979,56.17881107015636,0
Yes,Muslim,61.170810486052574,A,D,-29.296916811584577,A,E,-0.11870202868006721,64.46942572811645,-164.94685649200986,1
No,Hindu,35.35965268203434,D,E,80.825720334288,C,E,-65.53934588572075,-157.6460383891021,-56.23868277066162,0
Both,Hindu,37.29577508264946,D,D,1.3898966568906868,A,A,28.207781603363593,35.90935935607994,132.31428404069985,1
Mental,None,192.41414182298843,B,D,-104.66166404921505,B,A,200.286573406507,-207.73410941556767,-47.852256186806194,0
Yes,Buddhist,94.47126148731853,B,C,135.47249029764913,C,C,-111.73929606272833,30.629570235944747,192.51109889660168,1
Both,Other,21.21998782367228,A,E,-88.32236087722436,C,D,34.843930126039815,-146.63659769955495,-57.902779296718045,1
Both,Christian,-8.461261544501108,A,C,50.25273731990117,C,E,-62.52668819906201,213.78148468139386,156.72236364201962,1
No,Jewish,69.67183357147802,D,B,-91.93880873211207,D,A,-309.9579868522197,-57.233252893972995,-120.57603921388262,1
Mental,Christian,45.872567565751446,D,D,-20.40991816907161,A,A,-109.37957213565497,-20.380421308509693,-47.78140474791704,0
Both,Muslim,-90.08938167048875,B,C,-54.34091512425818,C,B,-58.202982064747964,76.46680933267145,-58.62129485457037,1
No,Other,-87.74582706062378,D,E,45.16804943819482,E,E,64.78507693516904,88.97292012015761,-98.92632874103191,0
Yes,Muslim,172.29100750208386,D,C,153.45753400075824,B,E,126.9803961194709,61.68078205646308,191.49216498252045,1
Physical,None,7.610263072248761,D,B,-22.108447777389216,A,A,-28.469707409062,-61.6932995111122,-69.71396852641601,0
None,None,-127.90402057709638,D,A,-85.92491107994607,E,B,-45.48688211461775,17.79092992266653,82.96356614248222,0
Physical,Jewish,8.880297565236155,D,D,130.14945897216123,C,B,-9.414864668330383,-25.604444458611948,-138.390983484569,1
No,None,-182.29224219502515,B,E,81.76054588593955,D,D,119.29723492018525,-135.0633175837362,79.11956929322483,0
Yes,Christian,-30.943250925753013,C,E,79.14462352691622,D,A,-51.267024022945996,-48.48069861518897,-6.409986144393974,1
Yes,None,6.660182846933085,A,A,-8.148868341556078,D,C,253.33332201092932,158.10798926311784,61.286041189599594,0
Both,Buddhist,150.28620677729643,E,C,51.54575938378978,C,E,-157.58377579575696,166.81200578572543,80.49861295458295,0
Physical,Other,57.63202319794875,D,C,-138.89544794584143,E,B,-10.363938654181316,22.583288170368636,74.08786302048206,0
Both,Buddhist,6.064398789529877,A,C,-22.739271698422126,E,C,62.06084227547692,18.242458833514654,-63.07813078262948,1
None,Other,171.89164526579103,B,B,-10.73703685803057,A,D,62.37995735724672,-118.26930978277204,116.60473073307107,1
None,Muslim,-77.20945697034597,A,B,70.03213067562606,E,E,129.09591441748634,37.48059277574791,-220.83872087388215,1
Yes,Jewish,129.13064366236,C,A,-189.973806356261,E,B,-18.854855670714464,82.86334945858032,-75.99374494068209,0
No,Muslim,41.625660302501025,D,E,6.949698108587541,A,C,168.29153406199745,-71.73362878773783,124.87731777513227,0
No,None,-124.93097676469944,B,B,13.864241366202885,C,A,204.09532400405504,-18.9602661467245,129.88397187336315,0
Physical,Other,-3.4412014063961713,C,B,-4.457358003092156,D,E,-3.8997806784740447,-28.363008603968954,-42.10887069014504,1
Mental,Hindu,-13.288153393387825,A,E,33.79478506410442,D,A,116.26264806073038,14.674715782273209,-94.64372077532867,1
Yes,Muslim,32.01593168792856,A,B,9.822440855431047,E,D,-29.118627110807232,-340.99684587540213,-43.71436154745034,1
Both,Muslim,-106.90626082159966,E,B,116.90983211567294,E,D,93.30198987659918,30.665078277819912,22.973992812672222,0
Mental,Other,-154.37196588118084,E,A,40.12418126420034,A,C,-60.79644408721351,-30.39088047575446,-99.05136371349379,0
No,Muslim,-189.93143746737604,C,A,54.14880566794863,E,A,78.03168379662414,-155.0390121020277,-160.06499390789807,0
No,Hindu,15.840362599049376,C,E,-28.128094270878744,D,C,83.95808222512609,13.131169809505439,36.96739022841971,0
Both,Hindu,97.00317747093837,B,D,-27.157294783491036,C,A,44.55099507954709,212.3188204224227,59.835796674162836,1
Mental,None,-31.996266855021666,B,A,-89.02824165903476,E,A,116.46627572145066,2.9299456895232145,112.8429394909882,1
None,Buddhist,105.42469263700755,D,D,66.6374496609116,E,D,-30.831687162734834,-38.623265699452496,128.24216423347454,0
Yes,Christian,-48.89015409808856,D,A,-5.688012289412124,D,A,39.29984399244296,-73.82794448970095,217.38321385352646,0
Mental,Buddhist,-34.483202506780344,D,E,-3.9977941615436476,C,E,73.93333627420022,-67.73638447205418,12.040595250679601,1
Both,Other,38.127906278151144,A,D,-42.99037703179058,E,D,106.50793106199585,-68.84870146953176,83.78960660071319,1
No,Jewish,2.579147599329215,C,B,58.86003945495778,E,C,22.20678302182558,-11.214819708150863,-87.5149097084916,0
Mental,Christian,7.113037533468039,E,B,-33.50700997700861,C,A,-30.2368950767128,-74.32850832873778,139.80323778399855,1
Both,Hindu,131.8655195051199,A,C,170.00372391273754,D,B,-144.79053992957236,-137.95002812138776,142.73502495945343,0
No,Jewish,68.20957015066237,D,B,199.700560284589,D,C,-64.84721353529429,85.61786832464922,30.91237474981416,0
No,Other,128.8565001302062,C,B,-94.96684336463368,B,B,-63.68560283213402,-6.449511670168808,77.35285747841327,1
None,Christian,-47.45800533956592,D,D,64.02414112146026,D,C,-67.66129150050561,87.802688168438,26.02161692809977,1
Yes,Jewish,-13.00319008375447,B,E,-5.505177573313389,D,D,223.6034413392186,-207.04844202734196,139.09989155299763,1
Physical,Other,7.294551911192124,A,A,-49.09999057380655,B,D,151.24370071545533,90.23448600760132,-11.338483198253153,1
None,Hindu,-117.43834354234168,E,D,92.90075328910991,E,C,-80.13492223838396,-221.52125129202255,66.56570760284497,0
None,Hindu,-133.81930079372793,D,A,-43.28409692906684,D,D,-64.74699632678882,25.7831475816481,20.721384498023003,0
Yes,Buddhist,49.81711824442299,D,E,0.8161680715925345,E,B,-135.5495861570534,-99.9639694463121,-94.26634023154385,0
Physical,Other,97.38447389262666,A,A,-17.772381528395684,D,A,22.311809915924336,3.662757226331226,223.44699056693003,1
None,None,6.452530865877752,D,A,-141.93772657498127,E,E,-68.4620541075056,-72.85873351267067,137.76052360117944,1
None,Christian,-114.04845397817603,D,A,-147.9392508135132,C,B,-44.46568104544802,89.74147895261419,-42.783041547010974,0
Both,None,-192.27808480085318,C,C,-150.56155357946918,B,C,-56.931121094660554,-91.64785122483127,-182.12764462463088,1
None,None,-113.16814152298171,C,D,52.287069756408044,D,B,60.761150853229395,62.61157252016585,-8.140013553825993,0
No,None,-16.19474237986049,E,C,128.07193678288078,B,E,-56.97335998947821,70.7339037991807,208.62516408605748,1
No,Buddhist,38.65756393388982,D,D,-37.49847643142408,A,D,22.945702613786,-74.25227949486111,-52.6810630370984,0
Physical,Other,-158.11554672926425,B,A,74.63258327618605,C,C,-69.213334530905,-229.52790508622002,69.71272622940394,1
Physical,Other,-127.58390117028631,A,E,42.67287256051066,C,D,-0.6804106637775164,140.7795420560742,2.4603468260566346,1
Yes,None,4.219699457257788,D,D,42.84378675893403,D,C,-17.459525095528402,-139.6697292511786,-32.22047776438326,0
Mental,Jewish,58.37295069155536,D,C,-2.496858983806656,C,C,-31.03947100021601,-28.402023155705002,-7.463288934176523,1
No,Buddhist,97.88542917354378,C,E,11.489612009221593,C,C,25.436455890021747,173.15192383896766,88.89964726832119,1
Mental,Hindu,-188.9136626607675,E,E,-38.04663641298159,D,A,-64.17611608768843,-15.726024251910792,-161.0735066934816,0
Yes,Muslim,25.926379697846624,D,E,-61.22992897590819,A,D,-88.69501589332914,-111.72113152857364,61.76884903592541,1
No,None,13.93600807303951,C,E,-133.67203782171305,E,A,80.65512851754053,-141.14162807879995,159.06985398432263,1
None,Buddhist,11.308931982850725,B,A,-18.724783216979667,D,B,22.002135993507416,-83.94148009336676,-104.73545981084517,0
Both,Christian,-173.5136879482298,D,E,-59.83889421157448,B,D,-51.766308099209,-104.40852851197234,-154.67392094213773,1
No,Hindu,31.709615186702905,E,E,-161.36722386168537,C,C,208.72136833660798,51.463891263219196,-104.93401464271813,0
Yes,None,-91.4838264773595,D,D,-139.30613902678357,E,A,-146.9038809695252,53.39869042832229,53.39488544512746,1
Mental,Other,127.47439990686178,B,E,107.86170190465512,E,E,58.2845313331573,-12.67380949222525,-6.801406278701348,1
No,Jewish,35.424142232246496,C,B,125.24196427684757,A,C,175.83696084745569,11.341366693461893,144.98175985240772,1
No,None,81.99597095288111,C,D,72.18314083092632,B,E,41.19726404596803,-88.14649716136583,-187.12373847614487,1
No,Buddhist,-234.60212611789308,E,A,101.68273786559321,B,B,134.91391925057664,-71.08815357807556,11.106100927515715,1
Physical,Christian,36.70062991786077,D,B,63.69941360473411,C,A,-0.11973824701417063,24.460239852391272,-22.72889724164479,0
Both,Jewish,85.98479553904781,E,D,2.631068517847679,C,B,-37.6636661313524,-7.182460008513017,68.080233522735,0
None,Jewish,53.129290511940816,D,E,57.90497486906102,E,D,121.91162146194903,-175.71585274286238,-118.47837047246715,0
Both,Hindu,32.98129489023386,E,D,-136.69832521614083,D,A,21.381336532525548,71.17517325201499,43.80483849889674,1
No,None,-23.696732327737138,E,E,-104.29585594075536,E,A,161.36239256281476,-56.03426187936035,-203.80299084246235,1
Mental,Christian,-116.65946826502389,D,D,-56.83884339169941,E,B,110.78475763747645,39.99494408029325,-58.762701922950924,0
Mental,Muslim,-31.171305524242626,E,E,91.90800161217292,E,B,-96.61455469764584,-17.83839708099614,13.504508890975517,0
Mental,Jewish,142.9244044544635,A,C,229.16198310368313,A,D,149.97518453012037,-97.27100671983419,-162.95112555008552,1
Yes,Other,-357.22036484920017,D,B,-174.72140124929768,A,B,9.946454205153865,136.02814256955278,43.508652399388644,1
Mental,Christian,-28.755029016502835,B,B,-318.3401400345942,D,A,38.29148750116619,-268.75960674776917,-4.4664945390220625,1
Physical,Buddhist,7.958280690544546,C,B,-75.51868193981076,D,A,203.13381800421914,-37.90733633331901,84.53778979874023,1
Both,Other,23.94650066435071,B,C,-6.707911835099506,B,B,14.224664393258795,-102.6557573108288,-103.79090577834873,0
No,Other,-65.90319271777403,A,E,-24.235254930106645,E,E,-44.72840132913963,138.3153728074064,60.90631608271193,1
Physical,Other,96.92921306570614,B,A,-27.601349728537894,A,D,-91.23454380009316,-39.93787087757476,98.20242942826265,0
Yes,Hindu,253.7461456709809,B,D,42.025389807356575,E,D,156.7918872558741,-68.73771881597902,-83.78538710141787,1
No,Jewish,19.5374132660244,D,D,8.771835439841185,D,E,65.10042657920489,-73.12005922847969,131.90929311227885,1
None,Muslim,0.003569559145118407,B,D,126.21481246552094,A,B,127.61376951674077,128.07776574983666,21.404559088896175,1
No,Other,133.61637271885138,D,E,-13.930266220062409,C,A,111.025094525529,-83.32999077484958,-59.4846330129449,1
Yes,Muslim,-47.812928115268186,A,C,-119.7162914270292,D,C,61.32021031873759,-38.430601981186136,18.59573747313933,0
None,Christian,8.969451377072353,A,A,80.0763241891374,E,D,-76.71736537555545,73.85231337492499,76.38364107033432,0
No,None,-35.969146192273165,D,B,78.78139154648188,E,D,109.73681115578515,-80.37067312384653,71.57372034943747,1
Yes,Jewish,-60.94692357340923,A,D,-51.46860363331469,E,E,140.519032616293,-32.74083643953691,-179.80270468758923,0
None,Buddhist,14.650796902192395,D,B,27.164245303137047,D,E,-26.84615297553662,126.19501841455678,22.096010369040737,0
Physical,Buddhist,-172.97150232474405,B,C,-95.82027992399534,A,E,-58.72742635127123,-102.927234093576,72.98168052140377,0
No,Buddhist,83.85867265113474,C,C,-145.62644106277247,E,C,-128.62890090969103,168.8364650424399,171.2458879118734,1
Both,Christian,-130.59891060688022,A,E,81.80070692650528,C,E,69.9222319101221,-57.72820032407186,24.385250296101432,1
No,Christian,13.995747595996683,D,A,-13.999338789546792,D,E,-1.7876067285382478,-92.62869582472865,1.464164497029282,1
None,Hindu,24.454506665919684,A,A,-30.206756028499154,E,A,54.655674711090576,145.52964699144297,-47.30072047302406,1
Yes,Other,-176.10622197879414,A,E,106.90898024184288,B,A,-9.619406704149178,89.16047086105685,108.79078755579896,1
None,Jewish,9.269252941007565,C,E,117.53258626121261,E,E,-6.002743188649233,31.162883670454395,-44.78342251078401,1
Physical,Other,50.701837215753486,B,A,129.3128759892021,A,E,99.6389132989166,-102.21368944243518,-69.71674821106014,0
