disabled,age,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Both,60,Other,-110.09302376917007,91.82220387547181,C,A,40.622966792850676,31.54533720915084,B,B,A,C,1
Mental,29,Buddhist,-182.77330943251067,63.0402602499717,D,B,64.81752114870454,-28.86171187320815,B,C,E,D,1
Both,38,Jewish,-26.920936643087245,65.83839596487131,E,C,150.4780028958283,-97.4233959030753,D,B,D,A,0
None,71,Hindu,-87.97645946171994,-6.775632497761093,C,B,-38.799330262686546,71.29234627640409,B,E,D,D,0
Mental,24,Other,-38.235271341692965,-12.503892364834371,E,D,54.23150980778734,66.79694975002106,E,C,B,E,1
None,27,Hindu,-25.405949557042216,-39.912789931279576,C,B,51.66207498828215,98.66575188537506,A,C,C,D,1
Mental,98,Jewish,9.839838154282564,132.33285487536486,C,B,-54.74174335596241,-24.42397319028015,D,B,B,D,0
Physical,29,Christian,-40.35619629232497,17.804125292596655,B,C,70.39826702237028,114.65295580849026,A,B,E,C,0
Mental,22,Hindu,-156.38778074632452,-68.81242234203366,D,C,12.18563274405186,31.924320729518186,D,A,B,A,0
Yes,92,Buddhist,-89.72884573568078,160.22755386906994,E,E,-27.859864862986772,34.89184361723702,D,B,C,B,0
Mental,63,Other,-28.808181584561737,219.4947385608423,C,E,28.114209979912875,113.66202236004163,C,A,D,D,1
Mental,46,Christian,-21.279350508214165,141.960128633862,C,E,-147.5655008213725,-5.162247366591469,D,E,A,A,1
No,37,Jewish,-183.1497279347355,-144.80680552657816,E,A,-141.28882374532904,72.92771399113597,D,C,D,B,0
No,52,Muslim,134.2003092194877,-76.45739494609255,C,C,199.24191098176544,47.61381993045548,B,A,D,C,1
No,72,Buddhist,270.0184191165179,42.941109724521745,A,C,88.25786929885683,-45.48142196127222,B,D,D,B,0
Mental,62,Hindu,-3.3911918055101657,-4.687019940458846,D,C,42.180629018297935,0.2169825178272937,D,A,B,C,1
Both,70,Buddhist,20.545773127773355,-113.13362090653472,E,E,-127.63859602816719,-97.73962175950521,A,C,B,A,1
No,45,Jewish,69.25175812344119,-186.4239802764914,E,D,116.05204614762594,78.1163223567443,C,B,A,E,1
Physical,21,Christian,-45.833074867608694,28.58707886559927,D,C,-1.1966947889255213,62.134242651251284,A,B,E,B,0
Yes,27,Other,-30.428930148503998,17.063461224870018,E,B,37.751749325983624,-182.20035809858612,B,A,A,B,1
Yes,84,Buddhist,186.11825243757653,103.53428061037629,D,B,-55.347520254678386,-118.4566801241197,D,D,A,E,1
Mental,89,Buddhist,-190.47200051057317,-40.83562794044248,C,A,38.681213998675105,45.71814679187317,D,A,E,A,1
Physical,42,Christian,26.464720555994738,-214.04863778315044,B,A,110.02168620134071,8.79896818799594,D,E,E,E,0
No,56,Christian,-77.70274858111709,-64.75967040015892,E,E,-100.55602820572378,-18.51452371034907,E,C,D,D,0
Yes,57,Hindu,21.642723763938072,66.5944949879806,E,C,-98.4682487272497,26.84268671978546,A,C,A,C,0
Mental,81,None,-235.02642181099412,110.45265394671327,A,A,-104.51985715646023,-161.04252210479646,B,B,E,A,0
Yes,64,Muslim,-23.678344353416243,63.40702153731424,C,A,20.1046887645423,8.163147113035512,D,A,D,D,0
Mental,41,None,-75.6792447425683,89.50190451206605,C,B,15.025628928224515,-62.91202607870135,E,C,E,D,1
None,65,Muslim,107.50894745973349,55.17862395970764,B,B,51.260152224961274,-56.833180339311674,D,E,D,C,1
No,48,Other,78.00594380231767,-41.87557007624093,D,C,-66.3450109425611,139.13691431410285,B,D,A,A,1
Yes,38,Christian,-192.7753570715346,6.213399600930601,A,B,-63.46840219870281,140.7695908815459,E,A,D,C,1
Yes,79,Jewish,18.892443330044355,95.74737098425786,E,A,-40.28138756247864,-50.71358670674853,C,D,A,A,1
None,39,None,-207.1354419922083,-22.743209195769907,A,B,-192.49315896287317,55.88209981859178,B,C,E,E,0
Mental,29,Hindu,-9.578208298389969,141.61241224129085,A,A,69.43349081458274,-67.69898894094123,E,A,C,B,1
Yes,75,Hindu,-93.77367057299733,2.323248182843006,A,E,-171.68002048015205,-20.051194942113433,B,B,A,E,1
Yes,74,Hindu,-26.150859901303015,18.865686591790503,A,C,142.8689311322383,107.31625986067064,E,B,D,D,1
Both,92,Buddhist,13.064372282506998,75.43194849416936,B,D,180.38079004557207,-0.27064463486637447,B,D,B,A,0
Mental,60,Christian,-18.489026202763057,-77.61810263725208,E,E,-64.0465105474848,52.489871110905185,D,D,E,B,1
No,88,Muslim,-22.23947621933361,-97.37825030747655,B,E,104.08680567216177,1.3776853683134067,A,D,E,D,0
None,94,Muslim,-30.1390621140771,2.917528540775639,D,B,-81.01238691466848,25.102125974562085,D,D,B,C,0
No,52,Jewish,23.079228463544297,-78.86930148447304,D,E,17.75439584148622,-62.73675947214108,B,B,E,B,0
Yes,90,Hindu,24.945386759800705,215.4367076843815,D,C,145.84948494997582,28.264790873002372,B,E,D,B,0
Yes,79,Buddhist,-64.49629144467492,5.434472948107992,D,C,-161.14115104832095,162.27829892228257,D,E,A,D,1
Yes,34,Buddhist,-77.54872152805248,194.5432154752393,B,D,-117.29752037253225,123.28765916672597,C,A,B,E,1
Mental,86,Other,-83.70918829621232,-33.21500165950561,D,C,82.14487649867954,-68.95027638232752,C,B,E,E,1
Physical,75,Other,-42.073350792944794,-43.90896897458205,A,E,72.57002632624517,34.28695667614326,A,C,C,E,0
Both,61,Hindu,133.93767282729294,53.603273644797376,B,C,-74.72495647845706,-63.99096752710537,E,E,B,B,1
Physical,40,Muslim,-3.5249916081241937,77.3685169987589,C,A,103.77969257989945,-46.99664862352687,C,C,A,A,1
Mental,56,Jewish,-127.09200888484789,139.424151686607,B,B,-17.302231375486674,142.5509436029996,C,B,C,C,0
None,21,Hindu,132.2155401642298,-16.68066314815139,E,D,199.04623474574487,-66.95477219793514,C,B,A,B,0
None,85,Jewish,38.72649856815479,78.44512302413378,E,D,-105.21694235670486,12.416299950498914,C,A,D,C,0
Both,25,Hindu,26.502009452917918,19.943480299516832,A,A,89.79750091652598,97.16228706490895,E,E,C,E,0
No,23,Other,10.133299952874127,56.31344064963635,C,A,79.02731866021733,-164.1054385929444,C,E,A,D,0
Physical,76,Muslim,16.245310545832766,39.187935251764856,E,A,-15.148869714656419,-154.53193549453403,D,A,B,B,1
No,92,Hindu,83.51066764020263,-16.174555461807476,E,A,115.94788329257315,-238.85460544621563,C,C,B,E,1
Yes,48,Muslim,119.87458637544917,64.54120402567824,E,A,157.54329677753697,-4.981657404690974,C,D,C,B,1
None,73,Jewish,-134.6263556470551,-21.50559268539688,A,E,46.113228142294844,12.97676531322062,A,C,C,A,1
Physical,49,Muslim,-56.142509789392,59.69783075050993,E,B,109.83991463562812,-113.5276648357306,E,B,B,E,1
Both,96,Christian,77.94338107405564,119.54325708990099,E,A,77.37241902625695,51.78297737227261,E,A,C,C,0
Both,49,None,-14.437151042443272,7.82899348802313,C,A,24.519243227318213,-92.52569382503519,A,B,A,D,0
Physical,97,Jewish,-21.084563454273688,-87.66487007423258,A,A,103.91112863820359,-123.88933576134065,D,A,E,C,0
No,22,Other,117.30110124548072,-13.71225366739783,C,D,164.03944709612944,121.6605975278446,D,B,D,E,0
Physical,59,Hindu,-25.796474734925102,-17.283954988742753,A,C,-62.30681865759116,99.44371365571511,A,D,C,B,1
None,22,Other,31.52614792631147,91.17778175843732,C,B,59.01022451235028,31.808599050792317,C,C,C,E,0
Mental,81,Muslim,102.50519440617887,-30.134518052827403,E,A,-57.131957557651546,65.73480286852399,A,B,C,D,1
No,82,Muslim,-126.78057628592072,136.6873222240292,A,B,249.78080309610036,14.877180746656798,C,E,A,C,0
None,74,Other,44.88335863145268,66.21809869579074,D,C,166.10689079650942,-37.836959801871366,C,D,A,A,0
Physical,71,None,-176.48087478704514,-115.77397793143429,C,D,-122.8131307907504,-132.1270006554181,C,B,E,D,1
Both,25,Buddhist,84.08902578221567,-64.94169087689754,C,C,-192.04041013995501,-67.1182668820057,A,B,A,D,1
No,82,None,-114.88251684172972,-8.33183754866281,C,B,-65.10401774455494,-73.68458702919192,B,A,D,D,0
Physical,38,Christian,53.17189913009746,-170.01043302409335,D,C,-22.79209216897686,254.1599710545678,D,D,C,D,0
Yes,21,Christian,-132.4791273991801,-113.20012854932178,A,D,46.596260976561375,94.53280372674662,A,E,D,A,1
Both,52,Muslim,-99.92475056984144,60.59352545462953,A,C,-157.1239878069179,-8.607948187875651,E,D,D,B,1
No,83,Christian,36.09051228553446,37.23809579860832,D,A,94.14262001666833,148.86894535424165,D,C,C,A,0
Physical,57,Muslim,70.20200310021295,-54.98936815365488,B,C,-189.52537061055764,-101.13766874584604,C,E,A,E,1
No,41,Christian,84.7370267812394,34.7122372612847,A,B,136.10548446755635,54.81993481588552,D,E,E,A,0
Both,43,Buddhist,101.87760086280888,-122.0628203335913,B,D,16.271027713887097,-104.64511989993355,A,B,C,B,1
None,82,None,-20.942320653494185,7.020837705724673,A,B,17.099709422687575,-83.70153662041228,D,E,B,C,0
Mental,95,Buddhist,16.243850319668265,201.08132633321944,D,E,-87.4109875399568,-196.85141140347676,E,A,D,E,0
Both,87,Christian,234.97015447440663,193.0167660796873,C,A,-91.34068004255826,-48.15832162305292,D,B,A,C,0
Both,44,Other,-131.26232406518434,55.162121627518424,D,D,-19.422712520238232,-17.27329242384092,C,A,A,A,1
No,49,Hindu,115.02344903640147,-131.3037206774706,B,E,-25.05775235076446,101.53221354653263,B,A,C,A,0
Yes,38,None,94.53531058396901,128.99208484548834,A,A,79.45193670217793,-43.79071749245267,B,A,E,A,1
Both,99,Other,42.03454374475016,-86.85922825092143,E,E,-138.74349465751388,-105.36637458576628,B,C,C,E,1
No,90,Christian,-160.67893536026864,92.749662993075,B,D,57.21815947958824,53.679603827617484,D,E,A,E,1
Yes,78,Jewish,-37.65045777025961,-57.96399232713769,A,D,34.22347403153254,-27.422561817342135,D,D,D,B,1
None,86,Other,-142.57105002401477,70.08996422645504,C,D,183.97594577630144,-100.89822035525697,B,A,B,E,0
No,31,Other,-27.970475101575737,252.88043544872338,D,E,-130.21838356186538,58.64511248212977,D,B,E,D,0
Yes,21,Hindu,115.15416898771593,-32.70435787779633,A,C,89.98527309164831,-124.12545776781374,D,A,D,D,1
No,46,Buddhist,-95.50329240855787,109.88649774462003,A,E,-11.710188312278527,-40.789316255806554,D,C,C,E,1
Both,36,Buddhist,29.944103483042355,-87.53427284937744,B,D,-80.41698261640114,-76.21819077564007,A,C,E,D,0
Both,56,Other,-65.36204338968362,134.79570706819254,A,A,-133.1539231923585,37.626294269885854,B,E,C,E,1
Physical,79,Hindu,-119.13475894993486,-49.16566405358493,A,D,37.28471478980475,108.36552481378465,D,B,A,D,0
Physical,18,Buddhist,19.132915043933433,-104.97256367333014,E,A,-46.7710223569479,9.403170694724487,E,C,B,D,1
Both,19,None,48.67706689950449,-122.44914331581904,B,E,-23.000143982578688,99.17620187654276,E,D,B,D,0
None,91,None,-4.562079740773389,-44.491372940865034,A,C,93.6751848911007,71.98558645400385,D,B,E,D,1
Yes,90,Christian,20.195043249183104,80.5266641358833,D,E,-41.01333881098137,-77.03879224402489,C,E,A,B,1
Both,76,Christian,15.403552899401152,-48.997104114771375,C,E,125.54211523078942,69.54545639112308,C,C,C,E,1
Both,33,Other,-23.868024594160953,-60.14640874236144,D,A,184.21935170676159,6.275028511165644,A,B,D,E,0
Physical,47,Hindu,77.85024986831898,168.5579212125608,A,E,73.07809427284958,-96.09013356927055,A,E,B,E,1
Both,18,Other,65.75358338476325,98.92785380365419,C,B,109.01340256421894,-43.34830478642388,B,B,C,B,0
Mental,19,Muslim,81.4963151698788,141.96846261048367,D,D,-211.6847951061771,-76.72616960604421,C,D,C,C,1
None,86,Buddhist,-51.25616010126607,-40.104445098535976,E,B,-141.59312583882001,69.4692829081778,B,A,A,A,0
Mental,58,Buddhist,103.69621153322599,26.19283645192857,D,B,140.80475200502346,113.52483494648806,D,C,B,E,0
No,39,Jewish,190.96178032483868,-86.9156138842634,C,C,-56.12547293743243,26.69404603912293,A,E,E,B,1
Mental,80,Buddhist,-147.68572414445498,-74.11110853540183,A,D,-47.516055765458916,69.91347905842915,A,C,D,A,0
Physical,88,Other,0.6271331130984181,133.31020309778162,A,D,87.40327689605937,-18.97615255322746,C,B,D,C,0
Physical,57,Jewish,-98.50967883061028,-88.95379218817646,A,A,3.020471012260753,-58.4871944993689,D,B,B,B,0
None,32,Other,-3.1629292826607083,131.7417822401786,D,E,-3.0611612106481285,-69.10761457367511,D,D,A,C,1
None,36,Muslim,7.668533153280081,-207.37819068378394,B,E,-60.39217241171217,201.11685117258696,A,C,A,A,0
None,22,Christian,49.05139119624128,-58.530814689888786,A,D,117.40087276284392,14.573478012927577,E,B,A,A,1
No,18,Other,-8.01655175000958,77.90081777151767,D,C,190.68962471070068,55.662193549894276,A,E,E,C,0
No,42,Buddhist,-35.66701803270994,7.421450416394899,E,E,-79.22473901576409,67.11207384658627,B,C,D,A,1
Both,80,None,-88.49965452076096,-29.5899768050077,E,A,62.49860467895388,83.83204384487863,D,D,B,E,0
Both,80,None,14.00757654267031,-81.65382500626073,A,B,31.275612372517962,137.92209717408792,D,C,A,D,1
Both,75,Christian,175.46216680609456,38.33250643033869,E,A,124.60875901413755,-76.03823757764093,E,A,A,B,0
Yes,30,Jewish,-157.01520496286486,52.344795791546275,B,E,-64.34004524765228,213.8941912318679,B,A,E,B,0
None,25,Other,19.455624110422598,-48.55027264250511,E,E,-122.81592172622761,180.5853462867439,A,B,A,B,1
Both,68,Jewish,-69.0867993604875,126.99851959739989,A,A,-17.00299574230462,-80.19204032065616,A,A,D,E,0
No,57,Christian,-149.33975753500735,64.86950898138996,A,A,127.13041005335613,-132.3212703183974,C,B,C,C,0
Physical,82,Hindu,-20.014829365898365,18.39099613347411,E,B,-73.03451026904409,55.65315414256212,C,A,A,B,0
Physical,54,Buddhist,73.04607200781722,85.21591444575861,C,D,0.17916058573872723,99.50902982222357,D,A,A,E,0
No,66,None,48.889814454876436,16.01320536173488,B,C,-103.36282566689651,-30.66912994800698,A,D,B,C,0
Yes,76,Muslim,-79.42432515623999,-56.11349549966425,C,C,-196.69655239476808,60.28932474955185,D,B,A,B,0
Both,70,Hindu,11.305950225401302,-176.39857849815454,B,B,-100.92240617112849,-102.85545021078339,E,E,B,A,0
No,27,Hindu,31.802524271430887,-126.36081803773041,C,C,15.618168139920973,96.07189646986619,D,A,C,C,1
Both,57,Buddhist,-56.35348162709959,25.393293494289587,C,C,124.58710231341365,62.895344007108754,E,B,C,C,0
Yes,29,Christian,38.014958614935615,-51.88662570937107,C,A,2.4960662001786407,-35.75993274197569,E,B,D,C,0
No,97,Jewish,-61.96588804899189,44.27005770696024,D,B,-0.5265801103351576,-56.15476898709465,B,B,C,D,0
None,19,None,52.06231424268175,57.65796533616591,C,A,-72.34114798843353,-97.50317790224912,E,B,C,E,0
None,65,None,78.47591653896635,45.75847895148355,D,C,163.69927972947357,-10.947077762710164,B,A,E,E,0
None,88,Buddhist,-127.01552071597322,-20.07267657838184,A,D,-216.1651112423172,-50.243011351060474,E,A,C,A,0
No,21,Buddhist,-121.04558556957544,75.26827750948183,C,D,92.88259819278854,21.640869196200917,E,A,A,B,0
Mental,53,Buddhist,48.49405070463112,67.48066212112637,B,A,-37.42512923268841,16.0750019920315,B,E,C,C,0
Mental,37,Buddhist,40.71885836277189,-131.20224303856813,E,B,-51.42063045459734,129.991349419528,A,B,E,C,1
Physical,66,Hindu,92.93300213100643,-219.9618064433587,C,B,39.72460854629643,-166.4781801508006,D,E,E,B,0
Both,39,None,157.38664401967125,186.8644019716895,A,A,7.390090970554737,-40.34550576895922,E,D,D,D,1
Mental,70,Jewish,17.416662133744296,175.23594637763605,A,A,2.3144986368699114,93.62414572207464,C,A,D,E,0
Yes,25,None,-14.300294687381198,27.73200727672082,B,E,-43.89067896265554,3.5769516100204886,D,A,E,E,1
Physical,95,Christian,-7.304839035796274,137.62650246755194,A,C,-111.64199227905769,-147.34440114710546,A,B,C,A,0
Mental,48,Hindu,-165.83527560947883,92.46743135658599,C,B,120.33098392827254,42.174073408146505,B,E,C,D,1
Both,37,Jewish,111.7378238212216,-5.320352135929244,A,E,92.42054186462164,41.76168915082283,C,D,B,B,1
Physical,50,None,-145.9878378298267,-27.123354659061228,D,A,-111.14911529665758,16.972332141680184,C,D,C,C,1
Physical,48,Buddhist,69.30347137473353,32.747097703231475,D,E,213.4653154380663,59.20030050095364,B,C,B,E,1
Yes,38,Christian,45.554465834896234,-69.51414138240187,D,A,58.69265052551991,40.60886228074138,B,A,A,B,0
Both,26,Buddhist,44.03090420567551,64.3477670878844,E,B,-21.736193585424637,95.3130164679892,C,E,B,A,1
Yes,38,Other,-41.18310050964962,-64.0878464227572,B,A,-50.65574223903959,-43.131681128795414,E,B,C,D,1
Both,35,Hindu,104.38588532965215,-62.102002353301664,D,E,-115.6769255015714,-34.505054455895795,B,C,A,D,0
Physical,36,Buddhist,60.72722398613146,-64.8283649628041,D,E,-44.27056078348193,57.85389910844739,A,C,E,A,0
Yes,32,Hindu,-101.21606585701375,-15.819356991362504,D,C,36.97796008205239,139.13603109395433,B,C,B,D,1
No,65,None,-79.60893364664284,53.41196151519752,E,D,-138.6909965991822,-59.75818814148538,C,E,C,D,0
Yes,79,Hindu,-126.01833243072882,-93.64914860087475,A,A,-119.38317321453256,-58.67353060670162,D,D,A,E,1
Mental,95,None,-92.37388876831358,103.25782644548265,C,B,-217.47417635085387,72.67182978201186,A,E,E,B,1
Physical,81,Other,51.29647065849301,91.63462805856798,D,E,34.37992918508316,-33.3136452305262,E,B,B,B,0
Mental,70,Muslim,17.822534012863237,-127.81031390298996,E,B,-10.464243252421939,59.99336337809837,C,C,B,A,1
Physical,56,Hindu,92.35020248050331,53.13970177634973,C,D,14.274453929089386,97.93338416548171,B,B,C,E,1
Both,78,Muslim,3.529266918539895,-49.93708088098256,C,C,-183.13160487190814,40.69753588593235,D,A,D,D,1
Yes,32,Other,24.600951878778464,11.50359170598136,B,E,-36.433988421112254,-190.37458765918876,A,E,D,D,1
None,82,Hindu,-85.6651955881473,-150.20996043581715,D,C,-91.05458959379298,32.174432020715685,B,E,E,A,0
Yes,59,Buddhist,-152.88235094901162,15.267161982872471,A,B,16.10002388565007,17.831600666236593,E,A,B,B,1
No,89,Other,-52.49576546013268,109.6959636550838,D,B,-98.76688794774566,-194.71120306941876,A,E,C,A,1
Mental,22,Jewish,97.6698758843693,-98.36233394607028,C,E,-78.51433152136313,4.021494450007085,B,C,C,B,0
Physical,31,Christian,121.876839096885,-31.78431697653886,A,E,-58.75116818455399,12.323300378704898,B,C,E,D,0
Yes,62,Muslim,-96.29363840691421,-101.52635250770199,E,E,50.24105649557291,-20.21654074676898,D,D,B,D,1
Mental,25,Jewish,157.68242481829031,-47.72946876985021,D,B,-50.19365786699197,120.13804745524995,D,A,B,A,1
Physical,59,Christian,-30.321862540627226,-0.687499299677468,E,D,47.38319382390564,-210.8898108340908,A,C,D,C,1
Mental,95,Other,-47.58232614589847,-14.067236925100815,A,B,143.07067661910938,-79.28257357433316,E,A,E,E,1
Yes,96,Hindu,79.48188638736828,-21.02180021971349,E,B,-49.143911755568965,-5.5713993208645585,A,C,E,D,1
Yes,85,Buddhist,21.323801242088017,22.600135167981485,A,D,52.670419244236356,-141.9406142284148,E,D,B,A,1
Yes,65,Jewish,-8.937109646887773,-147.97488024626517,E,A,27.925186888345692,-8.346261320698302,B,D,C,D,1
None,91,Muslim,107.82674820729285,-151.25319180496538,B,B,-7.235109432606247,-23.328891912754873,B,C,A,C,1
Yes,48,Hindu,67.5378699147148,36.71944636751853,E,E,56.14906747055058,31.79058048739276,B,C,D,D,1
Physical,74,Hindu,104.48168512634794,-123.30448162690584,D,B,58.33238390978468,192.08168708574726,D,D,C,D,0
Physical,42,Hindu,182.79791058563939,21.38704021955369,E,A,116.38699928885097,-298.2952973058135,B,C,E,B,0
Both,40,Other,-21.00073049851093,-12.938917679051961,C,D,-38.76158477276022,12.883480032937463,A,B,A,A,1
Both,29,Muslim,95.00717867514035,15.629622694687006,D,E,41.87503019968565,-12.302400380675689,B,A,D,A,1
Yes,66,Jewish,-59.764675149553305,148.8445354059297,A,B,85.28784899386417,93.65381513725094,C,A,B,C,1
Physical,67,Buddhist,-82.06598248581878,-21.5794340784182,D,D,79.54812012472912,-12.393483656344136,D,E,D,A,0
Both,70,Muslim,-75.38347331273417,59.562124314619794,E,B,-79.06143236078393,33.65056838902849,B,B,E,A,0
No,54,None,30.365540454749585,72.55428443738062,E,A,10.12652706011042,37.00492121473234,B,B,A,B,0
Physical,43,Buddhist,34.08310152233772,51.358833115051326,B,D,-7.366094508991396,-77.88446501662852,D,B,E,E,1
Physical,80,Jewish,-51.43168579669951,172.7818186988621,C,D,99.95466660631435,136.5226056311457,C,B,A,B,1
Both,86,Other,153.57731173174196,193.84633705408166,B,D,-6.915024197934547,76.51054354964407,C,C,D,E,0
Mental,24,Buddhist,40.52804382146394,18.495763833300465,A,B,8.689627220614867,-149.33204040932898,C,B,A,D,0
Physical,25,Muslim,13.936412128625166,-47.49155094608831,A,A,-19.90419669309841,208.91865549277892,B,D,C,A,1
Both,41,Christian,-41.108501094392224,30.93891570692231,C,D,219.99677855526863,-134.74782573552554,E,C,D,B,1
Mental,27,Muslim,-146.8219125415529,-7.551714816599637,B,B,80.09328611074278,-40.31518547723671,C,D,C,A,0
None,72,Jewish,-46.58265928156886,-139.23618865367933,E,B,108.16424991212972,27.247387371038574,C,E,A,E,0
Mental,82,Muslim,-97.84205920945246,123.49313999366362,B,A,-104.90126958212788,100.58974171503824,E,C,B,A,1
None,53,Jewish,96.50518829540395,13.617335899847966,D,E,156.3634034512769,-110.84345875429433,A,A,D,C,1
Physical,64,Hindu,-107.87653505635524,57.01139282159311,A,E,-100.67013420095603,36.10557005144061,C,C,C,C,1
Mental,79,Jewish,-84.8000047348069,-100.13061500087628,B,B,41.011333734715,37.63327809756158,A,E,D,E,1
Yes,61,None,-116.54501438345113,11.59123410923006,E,E,47.25559695216754,89.1797509484239,B,B,E,E,1
Physical,73,Hindu,-77.41554701040023,22.5996845746747,E,B,159.3988516006221,-96.22114901667743,C,C,D,E,0
Yes,24,Christian,-69.23089903806724,-85.88693558174354,A,A,-57.90054322699061,90.50057169690092,B,A,C,E,1
None,50,Other,-49.40181337761789,28.32895622045544,D,B,72.66903655266668,-66.16715898599425,A,C,B,C,1
None,41,Other,-194.72718853644133,123.74468913112997,A,E,-4.913068209253428,56.13792741264073,B,E,B,C,1
Yes,27,Christian,108.4438628439044,-4.776572632599799,A,C,34.88492422866988,16.11797101955234,B,B,C,C,0
Both,99,Muslim,-168.896357864622,-5.778627606327333,B,D,122.75791878509746,88.90718255217318,B,C,D,D,0
None,85,Jewish,155.7772363656963,-178.7588680417328,C,C,77.31708614542696,62.835671426441884,A,B,C,B,0
No,58,Jewish,-152.89041980918867,-75.05188078018567,B,C,-120.99415222494238,362.7887067821743,D,B,B,D,1
Yes,68,None,-78.93779687766965,-153.99731707054926,D,A,-162.64438204761515,-160.2229125686879,E,B,D,A,1
Physical,43,Muslim,-80.31302914502976,-133.47023887684156,E,A,110.42662159588549,-10.20715649364907,D,D,B,D,0
Physical,75,None,24.371490159072938,70.06717952392394,C,C,72.3941533333133,63.02509436476102,D,E,A,C,0
No,34,Hindu,42.404368256113266,305.5236263623109,D,E,22.93680005268129,-130.54837571107947,D,B,E,C,0
Yes,69,Christian,7.147096103129227,54.65353582938938,C,B,-7.998277273092418,-103.22807156466433,C,D,A,D,1
Physical,91,None,0.7317797436712103,0.030167927085526677,C,C,16.624850865946684,-100.36929241065012,D,B,C,B,1
Yes,95,Jewish,-97.6794889929596,33.89899568741355,E,A,-81.42622695415417,7.840466819947972,A,E,B,A,0
Yes,48,Muslim,-36.5062555857999,13.544887456937444,C,C,60.44540408199089,-344.3051475293854,A,D,A,D,1
No,26,Hindu,40.39498589742881,-71.51081353031532,E,C,71.5458492705409,89.57443596637337,A,A,E,B,0
Both,84,None,56.97744567235189,44.779591443913944,D,C,-147.70933809580845,45.88039737195258,D,E,E,A,0
No,43,Other,51.15652152136943,-62.97593030869104,B,D,14.518966139970303,-0.6383727187185172,E,B,D,B,0
None,72,Jewish,38.83104329893088,45.627555940379544,A,D,-81.38827116171583,121.67066218050797,B,E,B,E,0
None,72,Christian,93.11121350690502,-220.56519012415197,A,B,205.64418344452463,121.07217219075956,E,B,B,A,0
No,80,Hindu,117.12020383636414,-21.09964627832915,B,C,-0.9919994841496733,-63.25189436352511,A,E,A,A,0
Both,64,Jewish,-66.1797697801513,71.11926651938563,E,E,-87.54404969140889,22.387765069852435,B,D,B,D,0
Both,56,Hindu,-237.76854680687478,-25.9651967012478,D,D,-102.2428141390338,121.42276995797125,C,B,C,A,1
Mental,94,Jewish,38.12753061579688,61.65644911780305,C,C,61.346901459100934,263.4706527211405,A,C,B,C,0
None,65,Other,214.85369068045546,-119.29230663044157,E,D,15.03493510316997,41.23024522574829,E,E,C,D,0
No,89,Jewish,76.5604442338792,71.92734621505686,A,B,49.38758111199696,-126.62900278266555,B,E,E,D,0
Mental,59,Hindu,-71.1323461725795,22.5488023073818,E,A,37.2818701945714,77.76190398448199,A,B,D,D,0
Physical,21,Christian,-184.97120179877837,-218.346135911133,A,C,115.96160212905362,-94.799961067047,E,B,C,C,1
Yes,50,Muslim,-59.476687233154315,24.793365817988054,B,B,42.35690473447145,-78.87321084167122,E,A,B,B,0
