age_range,Disability,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
51-65,No,Muslim,118.05439604920072,-76.58628151729319,A,-68.66345741323015,A,-94.17444616312405,1
36-50,Both,Hindu,41.89587583088195,-135.3440809826536,D,171.91880658158033,E,55.25107671558538,0
26-35,Mental,Hindu,-273.00613264768157,43.47605460829925,C,-74.7278996927522,A,15.880290002176547,1
51-65,Mental,Buddhist,-53.485839898087995,-88.91453173607933,B,-133.18674552839354,C,-103.83999246164419,0
18-25,None,Jewish,-95.5965545963581,-56.376874671486654,E,-196.9293411997742,A,64.29397421578331,1
26-35,Mental,Muslim,-100.60930059216031,233.89484243183546,C,-44.90479090316673,A,37.42749842456573,1
51-65,Mental,Jewish,28.432275676678405,-26.741700838598554,A,-73.84200081094225,A,-49.652104844926946,1
36-50,No,Other,106.0843907064396,25.36550385994652,C,152.28556765390937,B,-141.7093329509163,1
26-35,Both,Hindu,-44.56852911000585,-162.22918395717335,E,-26.631656363716516,A,-101.76615845607073,0
36-50,No,Jewish,-31.670323013989467,-103.9270925484928,A,-54.22982090344289,B,-52.41936368880018,1
26-35,None,Other,-259.16288763602904,-19.406192652009537,C,-138.66333744901996,C,-31.59362923513822,0
36-50,Physical,Muslim,60.479264746551344,-53.11205965673803,D,-64.29376238344786,B,42.06308638358124,0
36-50,Both,Other,124.49578155795965,-286.01436819187217,D,-67.30789484780453,E,66.50538273060656,1
36-50,No,Other,-19.77314570062541,52.44428008471031,C,244.1104376794349,A,20.734997053565795,1
18-25,None,Buddhist,-37.29255726337427,19.33120733420149,D,0.04561299886964477,D,-221.26922332482474,0
26-35,No,Christian,-85.55896271142646,-10.600764926402725,D,10.508302619137451,B,42.47012028179509,0
18-25,Mental,Hindu,-89.99819099954534,175.21998486563996,E,-76.65089595322826,D,49.98927869868107,0
65+,Physical,Jewish,-43.73185562100288,-32.124863981532584,D,-17.57399723119587,E,36.47018904506911,1
51-65,No,Jewish,-104.76526574898087,-145.21169269822886,B,52.31001282886444,B,-33.02863948747599,1
36-50,Both,Buddhist,43.011176295973804,98.73459798197416,A,1.6773653917899651,A,138.5329386328416,1
65+,No,Other,26.346213227569727,-16.95991429514833,B,-131.77588354497362,C,69.98231950833443,1
65+,Mental,Other,-22.605436084454343,-87.61428019757038,A,21.597202329358232,D,23.156741557332914,0
18-25,Physical,Other,22.942631843476114,-7.451875846719104,B,55.150000812917824,C,-81.57963408668533,0
36-50,No,Hindu,64.6835992168038,30.68497322895376,B,-97.08741784647351,C,54.14978191313675,1
18-25,No,Jewish,97.7979829188325,187.5247155957223,C,-57.05522522635863,C,-25.194437414274383,1
65+,No,None,33.55281748229153,83.02662942243295,E,-135.99804995049553,B,-78.48570364933421,1
18-25,Physical,Jewish,-177.81426706404508,-24.84990498090083,D,102.75454067593286,E,154.5668317552403,1
65+,Yes,Buddhist,-0.3955080319496888,14.168430268478446,A,4.538449009732607,D,152.66206921743643,1
26-35,Mental,None,21.698591563699676,-55.43120822898513,E,240.5855289068276,B,245.24473261727954,0
51-65,Both,Jewish,39.181856055253036,-14.479369646764686,C,67.50360029732317,E,23.54192678460583,1
65+,Physical,Christian,43.40600532569313,113.57021858402541,D,-176.81077778544582,D,-75.43824409326234,1
65+,No,None,146.36396686368968,-35.24907011697051,B,10.205514517904275,A,114.77190416683518,1
26-35,Yes,Other,37.088017583096885,-133.7379324794689,B,77.1033416873069,E,74.76652466426007,1
26-35,Physical,Buddhist,-56.98369283163175,8.88933246863992,B,-242.8948848657801,A,-56.29538036418849,1
18-25,None,Hindu,31.145639839148963,88.42714690793646,C,-91.17076896656346,A,35.79551853735215,1
51-65,None,Jewish,173.49721496792517,40.379472714271174,E,116.75261121384608,B,178.0937352481099,1
51-65,None,Other,12.920291630264025,-81.78162840917238,A,-105.24486382911384,C,26.79709006631148,0
18-25,Physical,Jewish,-12.76885660882779,64.56506707867021,B,38.023952868655265,E,-186.990303345051,0
65+,None,Muslim,-122.65434075616413,33.26641486255961,E,-134.11739957252382,A,-38.25376040213235,1
51-65,Mental,Buddhist,-89.18250802521644,98.06740584197622,E,-117.6041833485319,E,171.2324436253723,1
26-35,Mental,Hindu,-75.09702600894745,-6.075185928329562,B,67.47174338764809,C,179.5023022298629,0
65+,Both,Jewish,-80.76305752057947,-107.50870673154942,C,-107.998157828197,A,38.01205906492199,0
65+,Yes,None,-166.58832636239774,83.42719528680203,D,115.13181990153556,C,-35.05416765255633,1
18-25,No,Jewish,100.16851751978857,-72.97096685813139,E,-195.08958734823088,D,95.72972286859577,1
51-65,None,Other,169.41937273234674,65.25868329255967,B,-106.70749126752439,C,190.06221525014234,1
65+,Mental,Other,-184.64954111967663,87.23554343942978,A,30.987981668335518,E,124.0554354452617,1
36-50,No,Hindu,27.012404569216812,-32.787484287230434,B,53.749024548572436,D,-218.8533527794672,0
36-50,None,Jewish,84.0654508346497,-55.20181014165588,A,-144.8300471328052,C,-21.972144278414977,0
36-50,No,Muslim,-8.587624467870365,40.97579691843908,D,241.1481680202889,B,-33.444011175283805,0
65+,Yes,Muslim,155.36903801698443,-149.35545396387639,A,119.08081489623147,D,-35.98013305100352,0
51-65,Physical,Christian,104.38146668403117,-37.806641552860505,D,-49.52316222518745,A,-78.32354714511722,0
18-25,Both,Other,164.0960097910998,-62.80001191745947,D,168.41557177853744,A,143.7078305452021,1
36-50,Both,None,5.7255009962428245,159.2166203766331,A,152.06208635991013,C,63.04874369569758,0
26-35,Both,Christian,105.75185568276791,-18.773219065742765,E,-23.80441787879442,B,15.299163010671716,0
51-65,None,Hindu,13.01174848269389,-101.95028334100651,B,31.085119766094255,B,136.09706484316382,0
51-65,Physical,Buddhist,-71.0576673071879,-71.72052062395787,A,15.071924890231395,D,-26.94524002499557,1
51-65,None,Other,46.29854651983973,33.140090283198084,B,58.257475449495686,D,92.05386504290706,0
26-35,Both,Christian,-165.87915316287163,3.90793246332845,B,19.489831702448285,B,39.35907727393785,1
18-25,Both,Muslim,51.61769524172429,-0.557372643418368,C,75.85512582176317,B,-165.19179779654908,1
36-50,Mental,Jewish,61.92985662639341,37.365827937325754,E,-18.83416876349993,B,-183.06724262504554,0
36-50,No,Jewish,-47.46044779268595,-67.91102840617201,D,-21.64364670292385,E,69.06685626737881,1
26-35,None,None,17.763324138395394,248.07792229069628,D,-185.81632155434923,E,102.71471026876848,0
36-50,Yes,Hindu,104.10746812969319,132.08075898117812,E,-25.079170830917157,D,-33.85138982428909,1
26-35,Both,Hindu,13.452845333791805,-95.82874107170548,E,73.49826563812785,E,57.39258538012413,1
18-25,None,None,66.22182079492322,66.94819322439824,D,-127.26109851443721,C,-52.80285700931044,0
26-35,Mental,Christian,-40.57251677934402,-64.49075703363901,C,77.71227876772289,B,-131.5989571807966,0
18-25,Mental,Hindu,-45.91530505601217,127.80827560139518,D,163.1449103306288,B,163.79700323880505,0
18-25,Both,None,-30.704522600938322,-69.3180133500707,C,-96.16317403958541,E,122.4696301317382,1
26-35,None,Jewish,-138.19961566941262,-12.802241872276024,E,51.81972810143327,D,61.85687259256577,0
65+,No,Muslim,-66.17296367737814,197.64934163039092,D,-148.004054410802,C,-201.96463604957432,1
26-35,Yes,Buddhist,67.17271799611021,101.15819836054871,C,2.0739423913967405,B,31.653502064679667,1
65+,None,Christian,-75.04258499911789,39.799863253214106,D,-3.7523810097736705,A,112.55566794340446,1
18-25,None,Christian,-123.90797753415966,2.7536469407283293,A,20.135055971059575,D,8.419767769193632,1
51-65,None,Buddhist,138.92824841103527,62.81245025111384,D,-121.01581686280892,E,-30.454806980749062,0
65+,Both,Jewish,0.25793398580618954,78.12580346283451,A,65.7065000895293,C,-183.7955536012529,0
65+,Both,None,-13.77511796284282,74.5576375463553,E,-153.8671716474167,D,99.0483590099125,1
26-35,Physical,Other,45.89487147981922,-35.20304187475878,A,-91.05471669471889,B,-6.509751075571206,0
65+,Yes,Hindu,-40.894547247456394,100.38345088951091,C,42.44280203654663,C,49.02030087671938,0
36-50,Yes,None,-39.981329797546074,46.92678681004827,D,-109.78224643509043,B,142.96779876579296,1
51-65,Physical,Other,-4.282526212667747,-77.61136162364176,D,-141.8714517132642,D,-18.20783355423049,0
18-25,Both,Jewish,103.52068345899796,51.61193083127537,E,-194.0148119140247,C,20.504981922769446,1
18-25,Yes,Christian,60.70317626635371,8.889007252040004,E,127.29070458952019,A,-122.42896851256621,0
65+,Both,None,56.321147424820104,-139.1463086751224,C,-71.56400928648652,B,-208.89858299006687,0
26-35,No,Other,90.72181099180303,-9.52859605899629,A,-85.76377327214712,E,-158.13703404665048,1
65+,Mental,Hindu,-172.35242874860302,-72.00438137535022,C,-17.094367995188676,D,112.83017081669551,0
51-65,Mental,Other,48.95203798441262,-0.06545791945596699,B,20.086013879214036,E,-0.9408529707915114,0
18-25,Physical,Other,-196.45392271349397,22.444612575846634,D,-130.01772347464964,A,68.05483719888134,1
65+,Both,Buddhist,7.589086823346284,27.76023021712372,E,127.68518766920232,E,-44.11020212145362,1
26-35,Yes,None,-53.259606047183794,91.64369274538514,D,-43.3024997444712,A,38.874403075050864,1
51-65,Yes,None,162.86130858611912,9.190878169957898,A,-141.02842805028152,B,100.656008631435,0
65+,No,Buddhist,-14.75990783093611,77.09482267941245,C,-53.585365778037065,D,50.59786533936001,1
65+,Physical,Buddhist,-249.25514234179326,-60.45034594301637,D,-101.00852297181156,D,34.80635484689524,1
26-35,Yes,Christian,131.82872944616258,10.279236212861695,C,-46.03338021779225,A,17.249095587286444,0
26-35,Mental,Buddhist,-24.775904495615965,-5.2760374962553875,B,-105.60675706232188,C,-63.63394355718006,1
26-35,None,Muslim,10.743598066059969,-52.102745204866785,E,161.93014602070107,D,88.09123518751271,1
18-25,Yes,Christian,121.54010395656982,-39.107821885504656,A,-194.686944372539,A,-126.17971122345288,0
26-35,No,Muslim,40.73167375108962,88.52110796622638,D,-47.85602953167296,D,-25.476891778572064,0
65+,Both,Muslim,-69.98276115508982,-91.34232224604918,C,243.43655993190515,C,-117.60809010402266,1
26-35,Mental,Buddhist,-76.66013482504039,31.608092117150978,D,-192.3571998951018,B,-91.53884255107401,1
65+,Mental,Jewish,51.42495253981443,-60.151718972886556,E,-21.288378095921214,C,-69.18478168987846,0
36-50,Yes,Other,-61.05692677179563,-211.4524904886002,C,-33.45955935827216,D,-152.33887809570717,0
51-65,Physical,Muslim,-177.133161450264,24.374889206721974,A,89.35294983104755,C,15.34838317785852,1
36-50,Mental,Buddhist,71.83871277650064,25.48502258799526,E,-74.51434450814912,A,-24.2927048892744,1
26-35,None,None,20.744271106306385,-60.34989562471418,E,-177.86721064044397,C,-89.7359251448617,1
51-65,Both,Christian,-186.6480496275815,124.35110861638903,E,-155.77165667314355,D,6.560707087387232,0
26-35,Yes,Christian,-77.32228834594994,88.68952360083334,B,-39.00311429359951,E,1.6727477979138334,1
65+,None,None,181.15559110066778,58.90903821558524,E,-27.50536717468605,B,-67.51414677807016,0
51-65,Physical,None,-84.66669647545608,-33.73014090637959,E,42.705712314348,D,-55.20127680644568,0
65+,Yes,Muslim,126.71575299248093,109.78980807507972,A,-46.926723555157984,C,10.31792508276346,1
65+,No,Hindu,253.82645066798278,-233.72085494526672,E,-48.94781360172806,B,-164.26423975418365,0
18-25,Both,Hindu,-10.53368949572833,59.702093350059215,D,118.46750004683038,C,-32.28265917530827,1
26-35,Physical,Buddhist,-171.1289903629418,-102.21970149081308,C,-73.58995507886668,D,-8.951813425708304,1
26-35,No,None,-121.92001784144605,-69.91312396492874,C,114.67819136824346,A,40.73112821588211,1
51-65,Physical,None,97.89199785889954,-14.35649617127068,B,54.625480631470765,D,-207.17032098306944,1
65+,Both,Other,96.14750687072694,2.622829886714084,C,-228.33765498478294,B,164.923246518232,1
26-35,None,Jewish,158.41389438582485,19.301560472211005,B,-196.77930943820562,E,-71.96597072051212,0
36-50,None,Jewish,-33.859422375220426,-6.099631697702574,A,78.07082253122454,A,-55.09099467922148,1
36-50,No,Hindu,-56.096391489481626,36.03552269399843,B,-130.25291932765307,E,8.434375274764653,1
18-25,Yes,Other,-1.5503226308716471,-63.02872297934255,D,-6.8417490234068055,A,-29.68792341058054,1
36-50,Yes,None,-70.44260257502454,59.48115058473129,D,-37.61826423842473,D,-13.908033079563733,0
36-50,Physical,None,17.094638979644518,62.26766309810641,E,-22.380148912896917,D,-69.88845946894594,0
26-35,None,Buddhist,-21.243667585953833,-55.87084420058245,A,195.95912174403207,D,-93.73470695743666,1
18-25,Both,Buddhist,35.4809696561063,96.2279633962479,D,73.78279813941802,D,22.420948921013835,1
36-50,Physical,Jewish,-30.42480592319305,73.78047677143981,C,33.31990883813867,C,28.317110217270898,0
18-25,Mental,Buddhist,-48.082579349409706,112.09333738159854,C,117.9047179069285,D,-25.061046469024813,0
18-25,Yes,Other,4.052014949914338,-27.19204862446099,E,-87.89999532369049,D,67.5288197068311,1
36-50,Physical,Muslim,58.73021182259814,31.184101725699502,C,63.89454189977432,D,-198.9354704063862,1
26-35,Both,Jewish,45.73095911011536,113.92299003157231,B,-120.51417909878255,E,47.1809497415974,1
18-25,Both,Other,153.41141831452217,-183.91267827198362,E,4.794423976498346,A,-98.17053410123347,0
65+,No,Muslim,-45.55043383656514,-84.72734759276966,D,-98.93790401523425,D,-103.69181439314717,0
51-65,Physical,Hindu,31.45968370866543,-146.71118467261488,B,19.10533395484796,D,-161.97237355197103,0
51-65,Physical,Buddhist,-26.1738552113729,-34.21796108935306,D,-53.7911219517885,A,-120.91762414764264,0
18-25,None,Hindu,77.72412566173615,-130.100666367326,C,50.74334853011854,A,-11.241465829693368,1
36-50,Physical,Hindu,-48.21867660841582,80.23442263457126,C,23.025668428293265,E,59.11872304980288,0
51-65,Yes,Other,155.42118748912742,132.8771607294252,A,137.7974839020633,C,-34.93262778843071,1
65+,Both,Buddhist,32.564979248615224,-170.0121272116214,E,-13.81347392276157,A,24.128352461411755,0
26-35,Mental,None,-94.18657018252516,105.22963097883367,C,-77.12873414509423,D,-83.99454407267267,1
26-35,Mental,None,-19.87207716832101,9.97953397423948,B,-51.660337374412556,B,-153.18652519229806,0
51-65,Mental,None,23.84756684278819,104.9340828208388,D,-234.39587801677314,E,259.55595282508807,0
36-50,No,Hindu,200.6963710708918,-74.65321374696747,A,30.30036160565725,E,196.45542897047187,1
51-65,Yes,Christian,230.3528243006826,171.4007090081505,C,130.1370733141228,C,127.45294471661448,0
65+,None,Muslim,219.15211634181114,5.567321053600973,C,103.39680367938107,D,-77.44607112125442,0
18-25,Yes,Buddhist,22.54901311363296,22.723233305810673,A,-296.864315814274,B,-154.10211035889628,0
36-50,No,Hindu,-7.339098610635161,-95.27365143414839,A,26.951606863509408,A,153.62690522352494,1
18-25,Mental,Hindu,-11.930787793259643,-2.217768235743295,A,74.08672343350936,E,13.482943913613314,0
51-65,No,Buddhist,-106.30854215750026,48.669932197416514,D,-40.14771832320388,C,-172.49916255359722,1
36-50,Mental,Christian,-13.475643806681074,3.3562149524267957,D,-60.11126531614417,A,86.60207678225754,1
51-65,None,Jewish,-90.20794398583648,69.65834812706905,D,108.55721692982875,E,37.59879268797841,1
26-35,None,Buddhist,-62.34296578313806,45.676795069521575,E,85.3405051850913,C,27.467000315957872,0
26-35,No,Buddhist,174.16234278267086,30.13405470933871,A,-82.53528584572634,E,-175.14707002185648,1
65+,Physical,Jewish,-128.10544486260778,43.04642446934044,A,103.89211884121134,D,-241.47415934891018,0
18-25,None,Muslim,-94.33576315172735,-5.273468146649095,D,-99.74240588397598,A,-66.31538710437148,1
18-25,None,Hindu,161.76968465504893,-23.319968290163974,D,5.473787202062979,E,146.70683318485095,1
18-25,No,None,-49.68146415369717,-56.761517381750316,C,10.716748118852,D,-29.57200309918165,1
18-25,None,Muslim,48.392655233634976,-37.95969554465907,A,-40.19252058095603,A,94.26208163178448,1
18-25,None,None,-38.850352897007916,24.854189142753217,D,60.48176111678579,B,179.07104857329978,1
65+,No,None,74.38480345435616,-28.682575840599945,B,164.18223548046882,D,3.4547537927046714,1
36-50,Yes,None,0.25600447961092454,78.75401585053329,B,-25.051705294804655,D,32.989545478153325,1
65+,Physical,Muslim,-12.974852594620497,78.526193105491,D,-123.41161685857416,C,-122.86045750036405,0
18-25,None,Buddhist,-221.9367965089437,4.933909315496239,D,70.59065750842952,C,-3.9585719455313884,1
51-65,No,Christian,115.48822980466618,15.524793505725762,B,-55.675486048290544,E,56.35482209004622,1
18-25,None,Christian,5.7934946868530774,-160.80324846519056,D,25.5930184644221,C,23.144314426120594,0
36-50,Physical,None,-39.76830312781059,-52.578325249738555,E,-81.36020493331425,B,41.416774866749165,1
65+,None,Jewish,-214.77459996875263,105.21551276531594,E,-41.994997313728206,C,-16.714835945297143,0
51-65,Physical,Muslim,187.1329880958476,-5.0169423385901535,D,62.53205198073388,B,-38.73824748344333,1
18-25,Physical,Muslim,10.090933101139022,61.91035978436082,E,-149.71710267613324,A,-14.024016679736862,1
36-50,Both,None,161.93104571049312,35.03086436984347,D,58.2958897115731,A,-38.98657151506655,1
26-35,Yes,Christian,-80.9180874459715,-121.32872887987034,D,-142.54668211700684,C,55.311083031383944,0
26-35,No,None,169.46238423209573,-11.06863145260744,B,59.21952483040515,E,-67.84161051667701,0
51-65,No,None,122.53738632499798,-122.59775952236734,A,7.267080049292702,C,2.0872081448354063,0
18-25,Both,None,67.65918182227078,-33.99254680093909,D,-95.29985690471453,D,46.60492927328417,1
36-50,Physical,Other,-112.81182754427299,-105.54147436187111,A,-121.10759550897738,D,-57.31485744957693,0
18-25,Both,Christian,-223.43683955252382,-71.83011483639834,B,78.4370600549652,D,74.88202143631061,0
18-25,Yes,Jewish,95.72254575498013,-22.08695785669299,A,8.342021553420182,E,-208.03588866397837,1
18-25,Both,Other,-11.809120434298194,263.3050636101056,E,99.24914557177283,D,-54.860448373318114,1
51-65,None,Other,26.81840228682315,-62.61298534997892,D,-102.88369777220272,E,-95.10678533808355,1
51-65,Mental,Buddhist,245.33835213621492,57.801275391081845,A,96.58411177982752,A,-271.828045270497,0
18-25,Both,Christian,81.79755468917085,120.1275211862013,A,-53.03288573454101,A,-15.803566195684486,0
51-65,No,None,38.78855211880697,-3.1352944417619146,C,37.26458414280713,B,-49.50287673276278,0
26-35,None,Muslim,112.44078613238597,80.00360404690299,E,-66.28735342351911,C,254.56994110595699,1
65+,Physical,Muslim,-263.06873683716407,-130.65845723110837,E,-52.64672383718461,D,37.20001828401203,1
18-25,Both,Buddhist,-45.11913998905205,-158.93249464980303,A,-103.15624154685771,B,41.60335539991719,0
65+,No,Jewish,-38.63362291825454,-27.05800116561233,B,130.76889399260298,C,214.89879827431668,0
36-50,No,Christian,-31.302366273325415,-113.75132858827016,B,36.15979804771201,C,-46.503927844281385,1
51-65,Physical,Hindu,49.3155133693943,301.96155760026187,B,-58.009098063627604,E,29.349822460691964,1
36-50,No,Christian,-143.23333955299765,-104.03383320242092,C,-159.22904077504424,C,17.60753886157475,1
65+,Both,Christian,-191.5680091737324,59.20012684017978,A,-160.86480054245357,C,-112.34911653969857,1
51-65,Physical,None,66.70371510445425,224.87992817761713,E,164.3585265303513,D,-33.4367887939145,1
18-25,Yes,Hindu,86.42892550334473,-3.90127737064803,E,-35.96929898124726,C,24.959077422192383,1
51-65,Mental,None,-77.42867646107845,-167.3728390146144,C,76.8088390413562,A,116.10953031590665,1
26-35,No,Buddhist,4.010779123023733,-128.1514110291463,D,-15.885232472176048,D,92.43396388065432,1
18-25,No,Buddhist,-95.27360992832212,72.44243084099432,A,26.236074112473144,C,108.78509736043694,1
51-65,None,Hindu,60.296694177388346,116.98296724030506,D,-46.15096008888146,C,20.720690528290692,0
51-65,Physical,Christian,-42.865154925504115,18.057609943412583,A,30.63879791738377,D,3.9105849930759002,0
65+,Mental,Other,-13.658003941471344,89.69448734223408,E,76.91393031709651,C,-19.549846762818596,1
