handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Both,E,E,C,-34.41526470100987,E,127.02702295295896,C,38.470891613566884,-7.7268864649466655,D,89.70744316299194,-38.6939421146311,E,E,-87.48760120435746,D,69.97871274846503,B,-57.93336431848284,0
No,B,A,A,148.67423953748627,C,-21.08083420281706,A,-116.67784796841154,98.59939093277667,B,-62.57003935859743,-235.23388641563508,D,A,107.84711505531568,D,108.65484191610535,E,-35.88295134682679,1
Mental,C,E,D,30.405817821512283,A,-22.287303197375614,E,142.8442540084731,208.94932517880082,D,-50.02405718099324,-79.43358771024836,E,C,-46.19945995546447,B,-177.08613772725005,B,110.09880831787666,1
Yes,E,E,C,-53.07058425512818,B,75.31341585869306,B,-83.24306497891541,141.74003564757834,A,80.24494428756523,-149.6822092067618,E,A,-88.34667722714558,C,-54.46576208083326,E,-73.81148943827031,1
Both,D,C,A,-66.5819786509671,E,-281.0992743290225,E,-86.87867712010203,25.610230182017453,E,50.56876070164722,-226.04040018558385,A,E,15.292574022503661,D,-28.126071825272085,C,88.85297554512962,1
Yes,B,D,C,52.96455712729755,C,-93.07865715568376,E,85.57926572970409,-35.861979518852145,B,-46.55595734015363,-22.697185806411095,E,D,182.83023582802835,A,111.45090509236081,A,6.284093234093429,0
No,E,C,B,-105.04341497629544,D,-119.6007138327587,C,91.00408544064625,-89.246659980343,B,-131.67802972271693,-67.43985060467978,B,C,66.34597533130412,D,-49.54606083938678,E,-114.51668388122611,0
Mental,A,B,B,-8.60412425269313,E,97.17168125149765,D,2.898860887228557,-11.658546749999571,C,29.157380932884536,-71.74854613785901,A,E,36.573223043561754,B,-46.24473876030321,E,-32.58197382257756,0
None,C,B,B,28.6096758403911,C,26.422883049082674,B,15.901604428363658,14.584260414215791,E,-12.772241086007776,-37.80536365239847,A,D,73.28572035702474,D,56.45732511745278,A,-21.725642092626245,0
None,A,D,B,-11.267055081387452,D,39.93482555958599,E,96.86061385472078,57.06545217802462,E,158.11630077144318,88.3671737090598,E,B,117.33725971750131,E,126.8959792211002,A,-63.309986978859975,1
No,A,A,B,-28.521307788269723,B,83.6775241762989,A,-184.69733387147556,-3.6260302434283327,E,58.39917953429421,29.2709494364564,D,A,186.70216509728522,B,-111.32204789801463,C,30.937603071514097,1
None,E,E,A,17.453412461249172,B,-66.30661496499671,A,-68.49354896262344,29.74686817536379,B,219.98521060075294,21.609982150230323,E,E,20.92445165691674,B,-2.9141057612612595,B,-20.310022726353324,0
Yes,B,C,D,-24.771877961416696,E,-11.266574948821004,E,59.69770276821661,93.03898544000762,D,87.14795213002321,44.074184312645976,B,C,26.087736760922713,C,91.78509160532015,A,-47.5637775065709,1
Both,D,D,E,173.99009659858459,D,49.77256843457765,C,-55.89316871824759,160.97250762731912,A,-95.30014806485305,3.1593055905667633,D,D,-2.8568203387411706,D,200.71899359845978,A,-42.372105475707315,0
Yes,A,B,E,104.4708175853981,B,-44.78935251008551,B,41.37410685960617,74.4763250852406,B,-39.00837320549495,-56.94530211523937,A,C,20.25298630689457,E,-20.946811547924796,D,15.121762078471718,0
Mental,B,C,A,-46.922008512215235,D,151.98968031052334,B,95.22366840174912,26.14303789807513,E,-6.802898622105751,-104.18293219696744,A,D,-21.521578343906814,A,138.08908097916824,C,-74.20918667367864,0
None,A,C,A,-183.933438190271,E,-164.8662904673849,D,77.81036834401631,150.74890938071312,B,14.083261235676714,-112.08904602370295,B,C,-140.09163976238224,A,7.0826991496517095,B,-75.82064140091211,0
None,A,D,A,22.637980223167876,B,166.40552680570715,A,-81.29491422524438,-69.79888826842443,D,34.57384987972009,30.328457361978277,E,B,55.63253838889496,E,43.24764224809001,C,28.7259627657063,1
Physical,A,A,E,-16.26587465364327,B,6.390955656612765,E,-1.9692274183942198,33.61330725450551,E,65.06652138953274,168.7587186697859,A,B,-22.668960168853612,B,-8.073141232087275,A,-46.9339985346444,0
Mental,C,C,D,186.0505345988878,D,65.09420527491193,B,-28.461941549084123,-242.03602559278661,C,10.280715473446007,71.9380834549568,E,D,282.5186129088234,B,-46.340780648683015,D,44.38708102243372,0
Mental,D,D,D,13.195479030722138,A,184.6200839455556,A,73.81345476601967,117.5427318493897,A,-48.513359824665265,-67.40832023464166,D,B,5.1088587403481,A,-19.44869420834244,E,0.2937428140711454,1
Mental,B,E,A,159.8034355131871,E,-33.180068667320946,A,69.23351561826917,-86.14845031421535,A,-72.45085682648353,-50.35427767151441,E,E,128.59450219833533,E,-33.347838236750334,C,-179.916466975996,1
None,A,C,D,9.909837832281221,C,3.5836934142791,B,-152.27043542760669,48.98871040099893,B,-101.63700791175576,-96.50161871041068,A,B,-202.61535114414414,A,48.694405451847686,C,-38.59103200710177,0
Both,C,C,E,-101.68326401063152,A,-69.71023395051986,B,61.47132766323733,67.85750224180356,B,-10.694668892011375,6.2715751435711065,A,B,-104.2620657288647,B,45.45331484029109,E,-26.21777586504084,1
Both,B,C,A,-237.98590026531105,D,13.296817237362484,C,-94.90563868774134,-7.013710707201216,D,42.68368169606895,17.11093763872874,C,E,-4.259095578777945,C,-24.156197505392694,D,-37.701943807064644,1
No,C,A,D,-222.2742238895398,C,115.80447693879366,E,-241.5648456388015,107.564948431539,B,-3.5515042554241663,-29.56176261440101,A,A,28.263526728044962,C,-47.06885906630422,D,-81.35044724260698,1
Yes,A,D,C,-40.72971231391819,D,-96.22481679135485,B,-14.583757345005113,13.908207137992473,E,-45.86878519970784,116.94780442225799,D,D,95.69420949343417,D,-75.38309391458397,E,-23.35695034847455,1
No,D,A,E,-48.92343338790761,D,87.42758642771268,E,46.072692981511956,-59.9063250594806,C,25.570807549399632,-14.569399253843843,C,B,62.16821543076632,E,61.376016473075076,A,-40.9238714347435,0
No,C,D,D,10.495481375301058,D,94.65758792117477,E,124.68268161039579,14.606732635880693,C,30.186852068687465,-14.083597401332856,A,C,117.67450293352888,A,24.001515892827825,D,-66.53845184365937,1
Physical,B,D,A,-116.17693666091678,C,170.98983315682926,B,-152.54951453884274,38.9950277751807,A,-68.57039746283975,-151.86830228700552,C,E,-44.73204456926231,B,136.50882365582095,C,43.76900482512366,0
None,C,C,A,-30.907116209876918,C,87.13082389535293,D,6.828688941918784,148.78493663186012,A,163.86148838568076,-169.2438831719064,C,B,133.7169185646919,C,-216.11266600378022,A,187.92618780592025,0
Physical,C,B,E,-239.71704593313981,E,-173.9488070735808,C,-53.01448539148168,31.44534665838471,E,111.34048797409302,174.80650054436336,E,E,65.98394827706669,D,25.024779094690242,E,-202.71838518529196,1
Physical,A,B,C,93.45899876828915,D,-84.38124755325822,A,-37.34996729757898,-53.48238762046472,A,-83.91898799170856,-199.68585586140298,E,A,-57.15347203184996,B,55.89827387762462,B,3.7959237779123254,1
Physical,D,A,E,-82.52883608748657,C,-117.1997355005883,B,-124.26385737727944,43.723733963582475,E,-47.488725062205525,-51.18743618236743,B,D,18.778537064801366,A,93.98172395698376,D,25.439262601370142,1
Yes,C,A,D,6.591111174424884,C,55.64715399938104,B,120.43107849781694,-144.1780443345477,D,101.99834809304087,-40.215069793558534,B,A,-104.1454431894112,D,-28.77582159088807,C,-174.2731241144371,1
Mental,A,C,D,-86.39908361365872,E,124.54894345004013,A,-0.20096608613646266,111.08347991273837,E,-132.44481960683243,-47.33267828253064,E,B,83.6091756614142,C,112.64200261643515,D,123.3979512282144,1
None,B,C,B,-28.882888685266067,E,-64.20376307779611,E,-139.233712402208,21.06324162930633,B,8.280384274858266,-33.40623650256528,B,D,92.74232606374304,A,48.15940818331105,B,-55.08512025599188,1
Yes,E,D,C,-110.36736005511587,E,68.02139224999205,B,-17.66884099029791,60.08068989349417,A,67.56224555516924,16.039057320523277,A,E,50.25419241000786,B,-173.35259114705488,D,-19.107507570047623,1
Physical,E,C,C,-57.234471091055426,A,52.13029148601473,B,-16.69777499572163,-9.723700548299524,B,40.83468928087736,95.09931205078819,E,E,138.10947780323028,D,132.10615007771395,C,158.25861932506393,1
No,E,D,B,-135.36297652560972,B,-73.68911640175567,E,-28.061229630051166,24.35817687151346,E,-120.26120659278116,73.28472841715802,D,A,-103.37856350418858,A,-6.9250770262975605,A,-104.1967447643023,1
Yes,B,D,A,73.99979708760094,E,6.851534108683071,D,-95.63325285212476,-29.84517895012792,D,-106.4566843204273,-148.97291387255288,C,B,-142.31159802932484,B,116.07569067824583,B,80.02000447629378,1
Both,D,D,E,126.39312141107473,A,100.4333415400817,C,152.80186876996922,167.11142270441968,E,-89.77671293328952,-199.7434483423556,B,B,184.02984173105745,E,-11.047052428637452,E,-66.76447597254926,1
None,D,D,A,10.599663306931978,C,-131.16469806902103,E,-73.57313551758976,1.4286153904827268,C,-117.75967886287428,183.3003135589092,B,A,225.39956771331177,C,-15.492376029104099,B,-16.27262792909284,0
No,C,D,E,134.05059256326396,C,67.58675834263674,E,-112.10035520808621,-5.946717133127086,C,19.67684869519514,77.47117526580146,A,D,-61.59863579077557,B,-42.344865853457314,A,177.19237826088118,0
Yes,C,D,C,-15.65752562882958,A,98.96558099970123,B,-27.766198918366285,58.503343934080476,C,-136.30505412993537,-174.90896823903444,D,C,16.865695055747697,E,73.5592546280568,E,126.19040130259663,1
Yes,A,C,A,206.06858800355843,B,88.94843223056182,A,-32.7476106750567,60.71848367726628,A,127.2264085983045,-37.973468759456274,E,B,-92.32506183561436,A,84.01945844888459,A,213.89968868296663,1
Mental,D,B,C,62.185956888327986,A,-177.49508467051314,A,69.44108411896525,73.7675855507363,E,-17.93310611762035,-162.68535539171413,B,D,-103.36122060345392,E,-132.8022124192143,B,66.25474096058231,0
Both,A,E,A,52.8813539722224,D,-55.02604530049942,C,-195.82155742183073,-48.32679214562209,B,46.55879627955824,-34.53406689599596,D,D,42.34501456002626,D,20.473032528026554,C,48.37931727271125,0
Both,E,E,E,165.73305830861685,A,-80.9971726195473,A,-75.32324195075356,-36.463530446073115,E,-257.6667017387666,-18.998425157159108,B,C,109.62266984987072,C,8.756062423775122,D,-30.717245311495127,0
Yes,C,B,B,96.08878129200973,E,-87.37958780920204,D,155.97532913872953,171.34954687974613,B,71.54261135026002,66.1622543333731,D,E,65.91419511270996,E,-203.72845467025166,D,-115.54300018209457,1
No,B,C,A,107.43779580241366,E,54.364591634596536,D,-3.6600504477192555,-79.50020366884559,D,56.744520070136616,-49.44612445165165,D,E,55.40949915020885,C,-48.652106081501294,D,-71.3236339641189,0
Mental,E,D,E,-81.85012587734592,C,-96.08903570659726,D,110.96894656124776,-109.51332378792252,C,-38.81347056411174,-7.131334513792957,E,C,8.123412236596762,E,-30.955518192808455,B,232.24051978445547,0
Physical,E,D,A,149.11348478412071,B,-150.82902712711405,A,-24.151623227272463,-59.28765304195862,D,-68.61000519435466,21.867641651828926,A,A,-114.08212972833611,D,41.67761349889094,A,24.06141655400034,0
None,D,C,A,59.42114628108956,C,-50.94460238415189,C,-122.85000172962121,18.442183119290814,B,-84.72364086053783,-234.13160194651388,B,C,254.40203267206832,C,131.22882177156512,C,6.459647327046718,0
Both,B,D,B,-24.80403414298923,D,168.98601333025073,B,-250.9634098077488,23.219003554720004,B,-136.38219669286684,31.771004444778487,C,D,-63.676540632857794,C,244.60011569507918,E,-23.333568495042197,1
Yes,E,B,E,-122.96495194957413,B,-34.155329886847596,D,-86.78169687644956,-67.65124998471873,A,163.82676420206704,134.7315388898458,A,C,62.975603853445506,E,8.162971765910239,A,-25.39213884228215,0
Physical,A,A,C,-41.154154458876484,A,-8.839705179265444,B,-83.92141557046567,29.854212798880496,C,-110.92223684544157,38.52563774902496,B,D,19.71340650161883,C,55.336104635094784,D,-59.85922094360618,0
No,E,E,E,25.93704570074122,A,183.71538667889547,D,73.05323214196434,-32.88428089943808,D,-29.149839295276998,-51.44171652654506,A,E,106.26313408586863,B,99.68818042757579,E,51.521132421432405,1
Both,C,C,A,-86.79134734751975,C,-341.3108126662332,A,-62.60887859724329,-94.24181093014936,C,16.37740314139307,-43.11712469739703,B,E,61.5528293462762,C,72.93998009875492,B,-23.509799910895758,1
Physical,D,B,A,59.86402334648277,E,-13.436175346873098,A,-146.83844509087513,-135.02651467279466,E,-119.04321077335554,50.573448714815015,E,D,8.3311073947908,C,-145.8719689475111,B,117.7484074419581,0
Both,A,A,E,-183.51731405968852,B,46.961915710747235,B,-85.9350935186468,-105.00182322513547,B,-29.538757550829086,-59.528127151571056,C,C,132.85850671247206,D,-39.77470830709437,A,101.69623116687451,0
Yes,C,A,C,48.440099687312596,D,30.176624332922596,D,-77.8762070837166,100.91769624608165,C,-31.538683442276184,-40.685535299954864,E,E,162.5251721798481,D,-31.790777728530216,C,-55.20555555643043,1
Mental,E,E,A,33.8021189635821,D,75.5614683553141,B,-233.09518175249164,8.649788634059128,B,10.520750835141564,-25.160882404886188,C,D,-202.85087801299704,C,-40.833370938042684,B,185.45484062368178,0
Yes,D,A,E,42.50968154556809,A,-143.68148385373885,D,38.41667592937848,79.72303789182278,B,-82.61909842023681,-17.823986797270823,B,E,-36.3391576856719,C,128.40905367638854,D,51.859825357773396,0
None,E,B,B,-161.10454368905428,B,248.5948743582937,A,-126.59975933696286,32.078498872336226,C,-125.85791822104939,-21.049014681582246,B,C,-14.903930170637352,B,43.97916708065517,B,10.467753634319914,1
Yes,C,C,D,16.21792429698686,E,-64.51622473040572,A,30.277099472041417,30.282953689393544,E,-184.49178067171584,37.50213709057594,B,C,-51.90746561225394,A,91.04074661132545,D,-41.43737595313026,1
No,A,A,E,-90.49818832994856,B,40.402298406541604,A,-73.38877344330676,-8.140848284183148,E,105.47769579519648,100.71909471030965,A,B,-68.41376390845801,D,190.39120834259654,B,29.737827557494757,0
Both,B,A,E,57.66499497093669,A,-18.610466935173754,D,16.784451353717888,61.58699550137106,A,66.05481818052439,-11.613693343240604,B,E,-52.62569562486027,D,78.06654339718553,C,-101.1653201725262,1
No,B,A,B,98.98103052325803,A,147.842411170948,E,-149.57501582657198,-120.18307344353194,A,-141.72064135550636,-47.37290684546249,E,A,-136.82206438432905,E,-155.03253080526093,C,11.140821145299743,0
Mental,A,E,E,-45.34379838451885,D,201.79046661188315,A,29.50371970684122,-35.58887965790145,C,-30.346341225535927,-114.43666704853494,D,D,-113.08498138297078,D,-98.12743337698458,D,-115.90622456327037,0
None,B,A,A,-54.55082517176799,A,31.095617666323644,C,6.460861357512522,231.57846649038078,E,-40.563879400683646,102.83010847089864,E,A,15.627895347392856,B,-136.1596656025567,E,-104.72909891720461,1
Both,A,C,A,-28.43525186963699,D,168.78050064459674,A,-53.48935571713683,-198.04300326441287,C,-46.890693823036294,39.51222328266268,D,A,-91.24867016320736,A,-79.51152719078506,D,236.8058552059928,0
Both,D,A,A,-103.64895032039716,E,-192.7267308903779,B,-29.012802412989856,-25.99493810639728,E,41.61508457442852,87.27443547282888,A,C,125.06222152716875,B,-72.95668032211303,B,46.104721650679494,1
No,B,A,C,62.03446795365279,A,2.9072794098450463,B,43.95307179918028,55.86208424537362,C,-227.3892363703685,-6.431558516112308,E,E,32.39752108256148,D,-65.99405653342578,D,142.0959403473509,0
Both,E,D,D,81.2562188837886,E,-40.26986117411269,E,112.78926950715532,102.71790129855161,E,-13.518971193060219,110.73377208435656,D,B,-15.983278437223502,A,59.89339543791964,E,-205.93049085003722,1
Mental,B,A,B,132.66761634239884,E,117.18920152792718,A,-4.377315125776562,-170.7588191000467,B,-10.788686053326964,47.119041703657096,A,C,-2.014766130166903,E,-29.56779726023061,C,-78.5908505949839,1
Both,E,B,C,-82.18337716421655,E,63.748215817186704,A,-41.91218764686451,120.08323445337852,B,2.5245943171884035,88.9554246804731,A,C,-61.612950614990645,A,91.24464717242566,C,-40.04061399487002,1
Both,E,D,A,-99.66814164059585,A,-84.791043834697,E,158.2195495547055,9.89666734105427,B,48.29112338507934,105.31933550796,D,E,92.23284003654196,E,198.4520228451919,E,-43.41208595505493,1
Mental,D,C,B,-72.75264632207463,A,49.718834537680074,B,17.172728934189312,114.07201146981281,D,54.50010975489737,68.7335675615128,B,A,36.26379781789836,B,27.77068981465544,E,-0.47807780320821436,0
No,D,D,B,-61.47551612673679,B,34.684567605882435,D,4.026992458384569,156.37096314762164,E,21.446069585019615,49.00571737338293,C,A,-12.517667437835685,B,87.40844349545675,D,29.06306262352904,0
Physical,E,C,A,23.383417939719564,E,-21.676157962714765,D,-56.622518383985145,-83.13901048437047,D,26.786470830465305,28.875078490022123,A,E,-14.764767366802545,A,20.27410913606758,E,10.03445095412749,0
Mental,B,E,C,-164.7402352090345,E,164.52456214065373,B,-198.8418346137034,193.84741583424352,B,-6.556266877622266,41.45686373251072,C,D,-42.861174562668616,C,3.8368605968675604,A,-16.47926079829315,0
No,B,C,C,131.0296612750855,A,-63.69183967270106,B,-16.550333659395662,61.79740754090177,B,11.496444314426963,101.49766708750711,D,D,-23.737910270515872,C,9.55185041849566,B,58.59397347526616,0
Mental,A,B,A,24.23899191569254,D,-2.722613096934916,A,77.86486955679676,-132.4647630731264,A,10.491150201712797,-232.35363142552922,A,C,148.6143222553845,C,19.250649965980937,E,165.22057812751265,1
None,E,C,D,-11.872898766369856,C,22.07503306838863,C,-85.04189624199428,-144.0833108370334,D,-66.88529647490327,115.25796205917476,C,C,-88.40622506844481,C,66.54228061038451,E,61.86439219598171,1
Both,E,C,C,-87.34710796833049,E,-41.55052531372698,D,118.88423647794477,-44.39293201744416,E,54.1158137443308,-9.282136504534968,C,A,13.944414293128496,E,-94.63224475810048,E,-56.35421164790325,1
No,D,E,D,-21.277437345046092,A,17.202759642319798,B,-213.98574436122354,-5.683138834067299,C,93.11560862018064,-103.57337586557034,E,E,-9.886930672307834,A,107.99704788937825,B,173.53843777532003,1
Mental,A,D,D,71.70273784401007,D,89.53218853866053,E,44.988534529441125,104.28472526140283,E,-134.3740471473467,48.75208917660093,B,B,-48.99155322463828,A,6.258883745493467,E,101.84860790409611,0
No,E,A,E,-26.188254130344475,B,296.36861956680656,D,51.411899179238375,-138.04627793308765,C,-132.49724592021434,-51.28892926460503,B,D,-78.2143118577907,A,-69.5422028840272,D,17.148508789513887,1
Physical,A,A,B,11.622734276684776,B,-157.77673713807891,E,20.099684134684285,-130.14480168660995,B,194.24746694665325,87.51893906199824,A,A,-61.65027531180649,A,21.048008208640663,B,-128.11648791751475,0
Yes,B,D,B,-1.7649764970955009,E,73.34298010430304,C,29.035835571137415,45.217267200000116,A,-129.2878510188168,147.33341387137452,A,C,31.16968144370694,C,-37.123300440944455,E,96.99926964674857,0
No,E,D,A,-5.321436309262563,C,-146.62427853827342,D,57.44106978511474,85.79839941500269,D,71.82875811311192,-63.80288818725845,B,D,-186.25544339595285,A,60.581403532415244,D,72.32185582222522,0
Yes,C,E,B,14.36373735875993,A,18.71322858358102,C,-144.74480021697232,57.17614515663293,A,-9.317484791312065,-100.94048800975293,A,E,89.87993387782281,E,13.054338838050434,C,-46.35194716395487,1
Physical,B,B,B,0.2675142280376936,D,-4.789320756916434,C,-41.16627949156892,-265.7882847461049,A,-181.89666477953696,0.38895104945960074,C,C,45.370768688148324,A,161.39772982470532,B,89.74572883533978,1
Both,B,D,A,-71.82280635233596,E,25.939278902618913,C,54.534026993108476,-103.08117074102591,A,4.407596710702796,-88.90599732624604,E,B,7.503002546644513,B,-99.41508493470495,C,201.57348799372014,1
Both,B,C,B,109.68578437543147,D,-49.32660560345241,A,-92.29771248115523,196.28245323303082,C,14.943155410209663,31.957282389008558,D,B,79.74262806390684,E,62.99656494464233,A,-110.45853570071895,1
No,C,A,E,-34.0450755007661,D,-59.91074643833178,E,139.02138891574978,-129.61099502607766,B,-65.68243804082637,101.18457237395877,D,C,194.8725591065779,E,135.47966650676108,B,103.70815426084428,1
No,B,E,B,-73.19575472209647,D,177.21482795669283,D,41.1344606333506,-75.74518548426687,E,-52.42147642128001,69.20780631932878,B,B,-18.612445737421936,C,35.569010564845755,C,-20.03265912698561,0
Mental,B,E,A,-104.72365385038715,E,76.12431842143901,E,108.616238453397,-86.53299398835637,E,248.53283185853354,-40.40423251310641,A,B,-35.360646669195106,B,5.370093215627573,C,223.55201955211476,1
Both,A,D,A,-48.01247590640452,B,14.045656767770714,B,-53.789063793068934,-69.03297493557565,E,-78.45060264166294,-58.47961127319382,B,E,-126.12198046602778,B,60.71940214536002,C,-64.02199112385179,1
Mental,D,C,B,-76.31257892755087,E,204.8962408887121,B,110.67826129406413,-38.03567842896149,B,165.9576424184047,-284.59368377109865,E,A,35.01171838404003,D,87.28084489174137,C,-95.5936309715308,1
Yes,A,C,A,-82.56778976162971,A,-28.83960815279917,C,-7.654779999705272,64.13776155532648,A,-106.21791284115594,119.45542619737614,E,A,-43.893426307662914,B,-34.76231725688025,A,-141.1360675788543,1
Physical,B,D,B,118.64437408975765,B,77.4685363289253,E,-145.0777198697053,117.13394671699085,B,-249.6803704479274,-39.9475171497366,E,D,149.1844460310566,B,-289.03148718958846,A,57.26674978046896,0
Both,D,D,C,23.59434435962965,A,118.66933855784177,D,-31.591152992201454,6.061596536006567,A,-158.71451048525427,-102.41516008488783,D,E,-105.51901521093863,A,110.54278006336848,B,-53.274232063535834,0
Both,C,C,A,179.50836806083691,A,107.1170743443032,B,-9.69277197909376,-5.785335612149118,B,-38.685799265207756,35.88611776591621,D,E,123.30049102823617,E,-100.06540771704763,E,-23.89750039437059,0
Physical,A,B,A,-37.522233386259806,B,65.6444869616119,A,-66.66915519841139,-51.06326014013385,D,19.002517614341226,2.233519087167921,B,E,24.30487447950705,E,-5.84441105624213,D,-39.55086583533697,0
