Race,age_range,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,51-65,Other,75.9956812602093,158.5147087834033,-28.13040173674014,-119.36551570960667,D,0
Asian,36-50,Non-binary,56.88401551746477,-108.4636516655295,166.78710351241025,88.99378825558482,A,0
African American,18-25,Male,-84.75124846104833,-51.999750104237044,50.71010768439237,-9.51188454401432,A,0
Other,65+,Other,150.47863721949867,-43.65390546917466,-65.8157739647927,24.634789678657324,B,1
White,18-25,Other,125.61127191991501,-23.738865130247337,-4.481229463595072,-5.326920291025235,D,1
Black,36-50,Non-binary,109.94699236950731,88.38434930437361,-78.49633056628137,55.43482128466219,A,0
Black,26-35,Non-binary,-114.12975883733607,-17.49574608062825,-78.3521358537883,46.342772472298876,A,0
African American,36-50,Non-binary,85.1873855840969,-87.1329765784967,-41.636230114585175,52.68740634457962,A,1
Asian,51-65,Male,179.077086021052,2.2644967317135043,43.66531968093977,-125.2974213950504,D,0
White,26-35,M,78.22586747626113,-122.26856728753641,-99.72679976792087,98.46020780480433,E,1
Hispanic,65+,Non-binary,-50.77562945937875,-92.46670396867248,-53.86742932492993,-140.53250067617634,B,1
Black,65+,Female,56.35364936660747,-8.195723151100436,55.55276157563296,-33.790790804117755,E,1
Asian,18-25,Female,-41.063003123514676,-137.39992414516587,19.696994180830163,-247.99779909586354,D,1
African American,26-35,M,18.430388535440574,124.98114636151519,0.7344152741915301,238.02483872999701,C,0
Other,36-50,Other,18.48159192309304,-8.547082774791495,175.2668916610639,111.96591899221451,B,1
Hispanic,26-35,M,204.037299998474,253.20080863007308,-66.2111743679104,-39.16724727510987,D,1
White,51-65,F,-153.72673745681317,-199.59043321360713,-14.46631909147714,-15.776537949455848,E,0
Asian,65+,Male,-53.74638888103511,-77.96405383870214,-63.30280076986453,80.68793700191856,B,0
Other,36-50,M,-38.99142826015068,-15.896254543017632,-104.97133648442063,62.42648121061991,A,1
Black,36-50,Other,93.21094566107848,-131.1704758525436,40.1507349161285,97.83673146790343,E,1
African American,36-50,F,-190.26574205627261,-69.75946401711795,71.92894475789869,-4.839048140809971,C,1
Other,65+,Female,-115.13840271143188,89.76158740591586,-53.43525219022182,66.13738637302914,A,1
Other,18-25,Non-binary,34.50447376087949,-6.186974643196268,94.24688000982432,39.23653168110274,B,0
African American,51-65,Non-binary,-47.333362979219444,-87.5651351093451,4.20524475933544,-157.58153405550283,A,1
White,51-65,Male,-27.625978217983604,-69.63774599761678,119.91265203591364,17.106970418939703,B,0
Hispanic,51-65,Male,-43.37392616290063,14.343281895264754,-4.284729890344132,-101.16958648784382,E,0
African American,65+,F,-1.6398784568167648,-74.33136160935548,-75.77311757037621,123.17008484984902,D,1
Hispanic,26-35,Female,-59.71936142066302,-18.10674291511867,119.9708566996688,-65.828095366305,A,0
Black,51-65,Non-binary,126.08786448452418,-72.62536263998014,26.319613591867686,24.0734494991943,D,0
Hispanic,36-50,Non-binary,-8.1621889313009,-72.72111282260697,-203.59974412569332,-68.98392414316027,E,0
White,36-50,F,-218.2616335463602,-20.937107036873684,84.37240093647596,35.60410977560393,E,1
White,65+,Male,-10.661832629006271,-146.28940209648007,133.67037126295506,56.437937213822856,E,1
Asian,36-50,F,98.00904272803767,-70.2424020858832,-23.574695349329165,88.54642468273275,B,1
African American,36-50,Female,23.32099736134862,110.08483887448244,14.129950473473505,13.317730462434993,D,0
Other,26-35,Non-binary,14.12859045857792,97.16848004175732,-62.86767480899047,124.76670921348187,C,0
African American,65+,F,44.58442116524379,-198.1784575881982,68.63763515363262,113.9205324886402,D,1
African American,18-25,F,-54.22744113474665,-69.47950167737396,201.9595117548528,73.8188367181151,C,0
Asian,51-65,Other,6.9952196115795475,54.957939814394805,-130.2692513968718,57.05936064082101,A,0
Asian,51-65,Non-binary,-69.85891388052214,146.94998236183864,-60.81987944086623,-123.98243359972292,E,1
Other,18-25,Other,-131.01680882107735,-16.39575504878807,-74.44642697623188,37.38597646293169,D,0
African American,36-50,F,88.51082011977591,-7.0456623612651,-57.88006177274402,9.859486909563051,C,0
Hispanic,18-25,M,-6.37634439506697,18.298349822944978,218.2975272386736,27.769443418751493,A,0
Other,51-65,Male,245.3893847614633,116.7639611345042,5.511019508458856,198.12225327563303,B,0
African American,36-50,Female,-121.45559061290862,-11.437810094169285,69.42518390951453,162.06066612327373,D,1
Black,18-25,Non-binary,-185.89785397128406,-35.07673671717887,62.28250121580808,108.15142126376938,E,1
African American,65+,Other,-16.817156290204764,-95.77433005149247,-8.460048742288793,137.97281725193182,B,1
Hispanic,51-65,Other,19.447441745226023,120.46183859994875,18.411685712850076,-159.0283894253954,B,1
White,51-65,Male,-117.44931583376183,77.71361494441797,-61.728872088046515,-55.5219226972121,D,1
Black,51-65,Male,112.65461713272917,33.648271458810946,-68.73078929919212,-117.26719450235838,A,0
Other,18-25,M,45.41962303641158,0.7653771035793864,-0.009286331716232634,-66.79560798032765,C,1
Hispanic,18-25,F,9.483243558137136,69.0442907760616,137.9125120163029,-52.52288669771231,D,0
Other,51-65,Non-binary,-273.77520877482266,-102.81792376165227,-195.98081483041383,-173.59417258488855,B,0
Asian,26-35,Other,20.986444095639083,-13.524486514683499,-18.51550524489581,-1.3602758049759751,C,1
Asian,51-65,M,34.78129791751671,-9.549163696998729,-70.311678648375,-37.1751935330275,D,0
White,18-25,Non-binary,151.36797460520563,41.98123943931458,43.76559282566204,101.86311158375855,D,0
Black,51-65,Male,77.00481266730792,-8.265177496648665,-16.85593945087133,91.71890268764623,B,1
African American,36-50,Female,-31.917778146634152,-71.53297596877873,110.4955455367548,-114.50076866894989,A,1
Other,18-25,Male,-111.32758098215972,7.480366423838189,-91.02018354218949,-26.049772860257033,E,1
Other,26-35,Non-binary,128.92422918992952,229.9053291820598,-45.39409366609383,99.16939201625506,C,0
Hispanic,26-35,Female,-148.45738630200924,-110.93641433448076,3.145179841763955,1.7903936537913139,B,0
Asian,18-25,Other,-9.249999600968502,45.70692460838952,101.42341512304824,-31.608536115609432,E,0
Hispanic,65+,Other,-108.06611432001559,-107.8927886874167,1.0380975370557126,119.86943985807778,A,0
Black,18-25,Male,225.84516700371736,117.1085351717083,-73.6972240584421,-72.8232699855953,E,1
African American,18-25,F,-1.8152713222645107,-73.5162344023567,-31.526140248108963,59.53886466066612,C,1
Hispanic,65+,Male,131.18603813515924,-232.16019662934556,-30.412311931022685,-90.5641477173823,C,1
Black,36-50,Male,-118.4644004332512,184.301588960952,-155.61182260868463,17.150151948433113,C,1
Black,51-65,Female,-41.60552908670406,-26.632904342097184,3.9308076656285107,0.7519618659582454,C,1
White,36-50,M,-178.4351344795168,83.50138224623181,-67.29901386507528,172.55267696267484,A,1
White,65+,Male,-110.5150711029645,-33.080371394153914,-97.3641530855756,-33.762701042453195,C,1
Other,51-65,Other,137.21615432674417,-39.303037952162455,46.98041815233162,-57.99262803590577,B,1
Hispanic,36-50,Male,-102.45666043091464,10.320339137128425,76.93244506036271,-96.97092597213157,E,1
Black,65+,F,83.37145630291589,-49.06763145425824,-232.8995030440808,131.4919599592937,D,1
African American,18-25,Non-binary,121.47214054555451,-47.118457929742014,-118.80053196546851,25.056032081772088,E,0
African American,36-50,Non-binary,-33.178489904500175,19.98773113779727,-57.3435217403931,85.50556284729585,E,1
African American,36-50,M,18.519182174165902,62.663049498677225,39.31613757063908,-94.77122501755143,E,1
Other,18-25,Non-binary,141.80214664046767,25.278759573975616,142.53910013107657,89.033518128555,A,0
Asian,26-35,Female,96.23348331302256,-114.6053438531114,57.145927709199086,-146.01663556440596,D,1
Asian,36-50,Non-binary,45.762097153467714,-93.82868576134832,-16.208645785296934,35.42204043166776,B,1
Asian,51-65,Other,-75.32692322059518,13.25432603284947,73.09682221497681,-112.361317271082,D,1
Hispanic,36-50,Non-binary,-246.92231697862414,8.795246354661543,33.50325036530041,49.99933125613191,C,1
Hispanic,18-25,Female,-57.762071144894676,-139.65215666683088,43.770574161307415,24.947270228090673,C,1
African American,36-50,Female,-86.74328403007777,51.68661013381759,-6.349158918055156,16.859593606372894,A,1
African American,26-35,M,-62.22844132580742,18.21002509562716,89.86004520873078,99.79977682976016,C,1
Asian,65+,Male,211.38692524654292,59.871901359968746,58.291633042434256,66.46581120988105,A,1
Other,65+,Male,129.66472816067073,113.21674255869829,-37.42421922574734,-60.504326098330566,B,0
Black,26-35,Male,-102.69290744971211,6.757458821905062,-66.44138338414714,58.62143127791902,B,1
African American,36-50,Non-binary,-77.22761774638975,-101.60951428871874,182.12992019263976,-112.06847442350885,D,0
African American,18-25,Male,-9.337655548789375,210.49878421607008,2.2585347965607054,-0.4755107298011337,B,1
African American,65+,Other,14.174626534233006,-169.43969975050882,-31.76696583251796,100.62125489244995,E,0
Asian,51-65,Female,10.160352269051312,-166.48129908734788,-44.201156075554735,95.51343444233258,B,1
Other,65+,Male,111.12338462775261,27.906786502405783,1.20874535767417,57.96872172628991,D,0
African American,26-35,Female,136.81429980428751,6.231609913057156,66.53889435223742,20.667769995010083,A,1
Asian,51-65,Male,-53.02881598171144,118.39317015502357,186.94626015186412,138.77198493128674,A,1
Hispanic,51-65,M,68.56444882865733,-0.7040025911209119,155.19406069246585,-63.210957165157126,B,1
Hispanic,65+,M,18.714689452224246,-77.7445814107034,-152.38500667084202,104.24037381596104,A,1
Asian,26-35,M,-191.5599007237758,-103.97971845378453,-130.5852491235727,-33.76919283597653,D,1
Asian,65+,Other,-107.89057341174792,-6.408546841687033,28.70325695100379,-133.1905686081917,B,0
White,18-25,Non-binary,11.178040071526116,-45.02104042773577,-105.24305275134567,70.55143698086754,E,1
Other,26-35,Non-binary,82.94267966838575,10.530382128172493,-53.192708849611506,89.01815393967507,A,1
Black,65+,F,77.40705357436313,7.738155938935548,-230.0268892163722,-31.620915442451263,B,1
Black,36-50,Other,69.38599061832062,117.75655688306522,-127.34999230692969,-122.17180749178904,B,0
White,18-25,M,1.3591390548986038,21.22229926276046,-107.76032352648176,-227.5790369810456,E,0
Other,65+,Non-binary,68.60404164479806,-144.51698051759487,80.54184750838363,13.383040092005045,C,0
Black,26-35,M,-46.59616493699624,-167.80388374755674,7.482975282050644,78.10737668890451,B,1
Asian,36-50,Other,-41.999791719862905,51.166393897019034,78.85366537624996,-34.64194297252575,C,0
African American,51-65,Female,-21.34205122910128,-161.5395724808876,191.83531055262856,13.310557095284869,B,1
Hispanic,26-35,F,-25.67838097575286,81.37840824863417,7.467334387333019,-212.75865261667568,E,1
Hispanic,65+,Male,-66.06826665195321,-148.11549056115592,-123.25813571819569,-116.31581484665396,B,0
Other,36-50,Non-binary,-105.71542789638706,-77.73535698701465,-90.03158729302194,-78.88480557049344,D,1
Asian,36-50,Other,-22.437276713178605,67.61384009370413,-85.48384652433441,-82.57430906676443,C,1
Asian,51-65,F,97.27126292822506,-49.54576561602563,38.745367699034894,20.61452703714505,A,0
Other,65+,Female,105.25526781180604,-102.85667141534407,31.69807896646176,-206.7110624208957,B,0
Asian,51-65,M,-129.56648257460154,-112.64349703855396,-38.19627461453841,-90.62247750742767,D,0
Black,36-50,M,-34.57675945467102,3.531998252066932,-65.09533728137131,78.02774881391181,D,0
African American,51-65,Male,109.91430712884495,-140.89800193726137,-48.34938657355406,60.595502500458586,A,0
Hispanic,18-25,F,127.38768970333123,4.925884742989689,154.23131231602346,95.17192342059492,B,0
White,65+,Male,64.35265114914442,114.27489383173975,-95.00371654212337,-31.154924034331007,B,1
African American,26-35,Male,-15.24254570671178,-80.90428046913095,-157.5785003625405,118.29618343569696,E,1
Asian,51-65,Non-binary,-18.322498560418182,86.67405955264567,8.855478348341393,49.340734540945434,B,0
White,65+,F,-131.62670201990863,30.98224418039707,-84.59156074254122,94.83418220774,C,1
Asian,18-25,M,-27.781030429056848,81.91174403788204,19.146088568156465,42.053199350256506,D,0
Black,26-35,Female,243.017769469792,158.88404201347873,179.8765585067244,-30.204352613522857,D,0
White,36-50,M,-185.4677666680853,68.18419134784423,19.874054577044717,17.8256100648881,B,0
Asian,65+,Female,218.74462575628598,102.28911397974913,78.96892654460511,-13.79931631115808,E,0
Other,65+,F,-75.44631339431217,-86.92829323212456,-81.4236144758047,-55.36028075628629,E,0
Hispanic,65+,Non-binary,-3.054469780314765,44.77442926747622,-18.639244607424672,8.802058103200388,E,0
Hispanic,18-25,Non-binary,65.35734152957056,-88.46940747102722,197.4317312261099,-24.681184819172948,C,0
Other,36-50,M,203.31131011921048,14.838974785991322,-187.28728801236144,-122.288318244857,D,0
White,26-35,Male,-179.8746077039065,132.89205434070288,-3.702474106274826,21.857285592464464,B,1
Black,65+,Male,-167.57980346422116,-38.38167594947476,-209.28755845987789,29.179548936775873,E,0
Asian,18-25,M,-64.93265805455546,13.056060495052051,-60.59171807725392,106.71492456018284,E,0
African American,18-25,Other,-4.298404440664918,-5.381124235203689,-72.8997037469946,-114.177732724865,C,1
White,65+,Non-binary,-62.329634275462574,164.64199896400095,50.08459058429475,-1.204022028883748,D,0
White,18-25,M,-32.153946301134,-83.26526371646035,72.78060619035128,105.46328641113631,A,0
African American,26-35,F,221.278199129,-34.85977554424174,145.72268420487293,15.111845508903214,E,0
African American,26-35,Male,-235.782374360448,-85.19653197117756,21.68399210472496,62.27793405009251,E,1
Hispanic,65+,M,76.20835830867922,145.7858568395609,-3.2291119194217033,-4.379707565884297,E,0
Other,65+,M,156.9663984098909,-60.44458368705803,-34.68553837721473,-144.98552134845505,C,1
White,36-50,Non-binary,117.76122606825632,104.22251339060722,43.84026539318213,-51.248010819406694,B,0
African American,26-35,Female,-40.55120770101763,-154.1797309604112,-72.0174553866611,88.59814166109253,E,0
Other,51-65,Other,233.6716668860737,21.31967588276244,-5.700120091340233,74.7402477919058,C,0
Other,26-35,M,178.60971638091178,71.58851256184307,-89.30867497612554,-15.731078076039582,C,0
Hispanic,18-25,F,46.621843497072284,161.10375183622062,-36.80899377883182,77.47988739090736,D,1
Asian,51-65,F,107.02464228520097,-96.22385805070859,-96.83017332493549,-6.786507785119367,C,1
Hispanic,51-65,Non-binary,-7.127055822038722,59.44104210543698,150.53561361392002,-75.36942260366585,E,1
African American,36-50,M,-156.2902766844519,154.17634688621501,-39.2070376191313,123.71780276811745,D,0
Other,18-25,Other,-13.688429732436111,114.17031510031454,125.18894748241485,-1.6815711331756529,A,0
Other,51-65,Other,1.5839075715437831,-133.1780307445662,81.48633917666913,27.404226688135324,E,0
Asian,26-35,Non-binary,-25.059803154569927,-151.9545048399407,-41.03942024475855,-34.462858237871444,E,0
White,18-25,Other,167.66835262840502,-14.381937681774467,-33.16402655999128,65.11366873083037,A,0
African American,51-65,Non-binary,75.41491901054233,49.09730408010056,49.4958705144309,-39.06746236313801,B,0
Hispanic,65+,M,-39.02505529719954,-188.31068102100653,33.82258353985332,-62.28489525958084,A,1
Black,26-35,M,-74.50701332809322,-97.2906857722189,-10.683590261802427,114.02790441940081,D,0
Other,36-50,Other,-35.609445029987555,-63.625372460806815,-5.464912762377312,-8.63947992508313,E,1
Black,26-35,Other,71.050770052498,-155.11235644831464,-182.80272496984645,-110.81340539215165,E,1
African American,65+,Female,26.036972476620008,-4.369075069007205,-81.99935954373323,47.83494851501068,E,1
Black,26-35,Other,-101.67823177593176,120.04672008698152,-203.5842009599573,-50.15551284680885,B,1
Other,65+,F,-15.58036459004965,-67.13561192126207,3.313722774561942,47.40432688878688,C,0
Hispanic,36-50,Female,-24.321420363622355,168.7438449430263,8.788785196253258,-35.135697952807185,A,1
Black,36-50,Non-binary,-123.27785322771616,62.725562142479205,-0.49851642241137956,-154.35525267454264,C,0
Asian,18-25,Female,-206.48599109514186,77.48886040677368,-24.732719298971983,28.793300158203287,A,1
Other,36-50,M,60.64811342092619,79.07049095444982,80.96332894287043,-7.33440064389751,E,1
Other,65+,Non-binary,-104.2639014704089,84.88172798968534,-65.11386984999105,-23.671731889444057,D,1
Other,65+,M,291.34631975689507,49.27618559661894,-25.055072210238965,153.9637605518108,A,0
African American,26-35,F,64.86540647987017,-151.84627351459278,73.44774086397739,-5.430944886564453,C,1
Asian,36-50,F,-176.07946417008029,-147.66396129137033,120.10583701496023,70.11487210220028,E,1
Black,18-25,Male,-137.4987081613531,-154.7581403994075,157.62543045264502,-108.56700860523792,D,1
Black,51-65,Female,53.405404314819904,11.086994474235064,56.355129264130575,88.97566136176583,E,0
Asian,36-50,Non-binary,-32.49815384010755,-129.5035884583998,-28.127629452981168,-13.055086461834165,D,0
Hispanic,36-50,Male,86.74358211460392,97.29978846917345,-130.43495333384703,-71.20012418347291,C,0
Asian,65+,Other,138.0605096611798,58.51748212614078,-4.649224888821682,102.4643290143529,C,1
African American,65+,F,-97.75727662437284,-162.64967123180017,-43.18788321017818,-49.128411117777176,C,0
Black,36-50,M,45.91720945211436,107.64268061744448,-59.1645873517532,-35.995328152806074,E,0
Black,51-65,Other,-54.391316100646605,106.2964025896461,63.5959540291467,-9.906005601980274,E,1
Black,51-65,F,182.2200455505484,226.4412560398991,-4.468036801271368,-85.45490971650992,E,0
Asian,18-25,M,82.91646554600672,-23.1302884590908,-71.32920474447447,-50.76718140010269,C,1
Black,18-25,Non-binary,95.34013001543437,-116.0129689830937,160.6708934332649,-234.30793868275055,E,0
Asian,18-25,Male,38.169031308982625,-10.912529381180779,-70.46072284233081,151.32784056599243,C,1
Other,36-50,Male,49.07403092493845,16.763223845276816,-18.966075751787162,-129.14731120523714,D,1
African American,26-35,M,20.58082150164908,-189.017961529361,-36.331486175348445,4.604461389498205,B,0
African American,65+,M,15.102149107348295,85.84534127161405,33.34283081057792,21.243122174551203,B,1
Other,65+,Non-binary,-40.83487707336049,-36.50098182353608,35.78050934538934,-112.70828546270877,B,1
Hispanic,18-25,Female,-93.96286443107995,123.31001153040543,200.79187536735213,9.84869674582222,B,0
Black,18-25,F,50.88422627089276,117.35598685549175,41.461397531038216,109.41901419197946,B,1
Other,18-25,M,-102.17781547662898,56.66230709624632,25.479062521924874,39.303029173230954,C,0
Black,51-65,F,34.79799530073645,3.902483017221291,-169.0217015135762,135.22758306035266,A,0
White,51-65,Female,-13.887905975196535,-72.09538297877516,254.7286116257816,113.00875993837758,E,0
White,36-50,Male,1.9841434798274045,33.60600058174484,-13.874905795501432,185.00833313898238,E,0
Hispanic,26-35,Other,-114.97691088509876,24.910812949049564,-189.43912411515677,87.91038212660499,A,0
White,26-35,F,-110.26011718512083,37.827088360373644,-107.04748528918002,124.33112457828193,E,0
Hispanic,36-50,Male,-44.170013955193795,-136.25551258886824,41.63732596961866,73.09339684142414,B,1
Hispanic,36-50,Female,39.436807588690755,4.692292170190422,-100.3529812624536,162.03324423572786,A,1
African American,51-65,Male,-33.580594198785754,-9.022443272713392,224.89784935467574,-5.611238967559842,A,1
Asian,36-50,Other,-92.24274368820481,-31.354959611316367,106.71923028857269,9.655362967616695,A,1
Other,51-65,Non-binary,177.89635825054845,-150.8851656492897,-71.62760631385822,52.10021347808673,E,0
African American,26-35,Other,53.699995214628075,99.65847463933048,-103.89045543628272,-15.974708735567663,D,0
Asian,65+,Female,2.8372054223328593,-0.10460878788895787,-27.686907277153157,-53.094940347560126,B,1
Black,51-65,Female,-132.55239688750692,-79.8664707970038,177.38133107099506,-74.66033902286108,C,0
Black,26-35,Non-binary,-26.02903231764365,-138.88288396245144,39.12163248729449,31.69075575601298,B,1
Hispanic,36-50,Female,-31.968723918583013,-1.033794525971779,-97.9840682330716,6.813281094178536,E,0
Asian,51-65,Female,-187.91776600492872,-22.446055888766438,-9.211684549923186,24.976699871104287,B,1
White,36-50,Female,80.48952986655505,-102.43040904936014,190.28776265569317,112.5087546772024,B,0
White,18-25,F,-19.600926592664997,47.69166659958486,-55.481209532503264,118.81952372789544,A,1
Black,26-35,Male,-131.1293879331866,-24.734350918251806,-169.5436211940865,177.8276516737116,A,1
White,18-25,F,129.48276264339788,-0.4629345141869112,-171.11799160600597,149.13238418954444,C,1
White,36-50,Other,91.00965376878808,-87.94255162392346,17.720080671696877,-9.122329174575263,E,0
White,65+,Non-binary,72.92793189735849,44.0230100777487,-113.9000980582371,-67.6634389256504,E,0
Black,26-35,Male,-54.6221679030838,-6.710429674851342,-30.168790459027043,46.37634177861993,A,1
Other,18-25,F,55.36101665188692,68.75949240149947,12.241388096766794,127.91646198102333,A,1
Asian,65+,Other,0.7428010248532384,35.09062418241685,29.045078723480582,24.79520613130478,A,0
African American,26-35,M,-153.41232986135833,62.31241625154587,-39.43176758040167,152.53060548139678,C,1
Asian,18-25,F,44.91200918329259,106.28759577347249,-214.8787588591234,118.4207202308917,A,0
African American,18-25,Non-binary,43.36437513899273,-123.8617002125206,197.34730317094227,135.33686568885298,E,0
Black,18-25,Female,-62.813059052557755,13.265652140208923,115.41886196660467,-190.52929453140618,B,0
Hispanic,18-25,F,6.440046695301348,-111.45948486079345,-29.075571529685295,120.23606884387685,D,0
Hispanic,65+,Female,86.4526889586343,-76.06742084341221,-94.94607619671241,-10.573182157379799,C,0
Hispanic,51-65,M,83.81159661561888,-86.96650462943425,-110.48663672672507,9.254229178581602,B,0
Black,36-50,F,-137.71820051656223,58.627242301635604,118.51514487870114,20.5386236597291,D,1
Other,26-35,Female,-31.3516227728023,246.36951651757016,-53.976496950338024,33.224834591757855,C,0
Hispanic,65+,Female,7.311393054695732,95.80676839680044,212.3819817068925,191.82190832731825,D,1
White,65+,F,74.45144044498775,50.24257260972996,-276.99396829945437,10.732307749943546,A,0
Asian,51-65,M,88.60545092523701,54.281615238212524,116.67989581801403,97.6102381404126,D,1
Hispanic,18-25,Female,-13.672348786057551,5.549978389431312,78.52177804982031,177.3737838036909,A,1
African American,26-35,M,167.482472529203,-76.32989117644007,59.914928754551376,78.877682052,D,0
Other,26-35,F,-137.40862190134243,-1.0109037935623606,114.22682474122962,-64.24084265776241,B,1
Black,18-25,Non-binary,-18.51954671664363,14.775942000667817,-130.8692115133375,-212.99831560429845,B,0
Other,18-25,Other,-60.871969102051224,-41.41266695320755,-40.26314601647098,-136.75457826845144,B,0
Black,18-25,Non-binary,-56.05760363160693,54.42333716851792,-27.67257437134508,-73.9493204575529,A,1
African American,18-25,Female,-15.4853042317432,47.20413793291389,98.41500248267756,-55.35890070662733,A,0
Other,36-50,Non-binary,-120.33676308549242,-14.489011750218713,-2.2448790046959433,49.718679406100186,E,1
Asian,51-65,Female,-6.440662192128965,-290.3327610097304,-109.30186521063219,137.26581366712915,B,1
Hispanic,65+,M,-69.79869569355918,13.717056272995409,-100.87822644458788,-14.39058819829368,B,1
White,36-50,Female,11.245727477451128,-66.6033042427437,259.3043707118941,72.29264737883882,C,1
Other,18-25,Other,92.1158933987875,5.268771530624476,18.118196368188286,-31.20675842366482,B,1
Hispanic,36-50,Non-binary,71.12506358285479,129.16935340219538,145.59111888040627,92.89305572248165,D,1
African American,36-50,Female,80.4855157089248,-35.231883440619036,46.306926116201765,-0.24688948305076652,E,1
Asian,51-65,Other,139.95261183908266,91.78605836616931,-45.76088646752566,15.11629782632534,A,1
White,65+,Female,19.18322666840974,87.86035860070122,-26.87465510563667,80.3284151247913,B,0
Other,36-50,Female,-48.53820477044151,103.25610907206932,-127.229851482657,156.46808759878675,D,1
African American,18-25,Male,60.33809629711335,63.24264951614818,-3.8783689547274696,-28.91346518525248,A,0
Asian,51-65,Male,109.30753997494197,-53.37324022278093,20.26794853452106,-122.09438714246544,C,1
Asian,51-65,Female,-176.61066704130545,127.01598466955035,-163.89441739786838,15.892214951526174,B,1
Asian,18-25,Female,-119.27769635369134,36.87791485890006,-74.80517306320927,168.62352227256804,C,0
African American,26-35,M,-21.131972923414704,-4.951783291971971,69.0093064969126,-93.03402423348395,B,1
Asian,36-50,Other,6.744396671458448,-53.9172800735445,59.08334694136184,-144.5097822875792,C,1
White,26-35,F,-271.69181695771607,7.749940763304182,-136.52908596159406,-9.59972666606006,B,0
