Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Yes,Other,C,-216.7541708702227,-20.475015085108446,0.03618446693568319,C,A,B,C,A,E,137.74947164855547,D,-37.119200705955194,A,E,-101.16390864946166,1
Yes,UK,A,19.63900450911656,96.38296019253937,46.25584926759277,D,A,D,D,C,B,187.03791143761222,D,-68.04226917970787,B,A,-134.25346906427333,1
Yes,Brazil,C,-13.50091293981999,-114.08430853916829,-99.89281963291772,C,E,C,D,E,A,84.92751858124277,A,-16.840382814305293,B,C,-40.44148152752145,1
Veteran,Other,D,-89.39497360576891,149.63998762270427,-2.130052885825445,E,A,A,B,C,D,-61.98292190379414,D,-151.75301628437012,A,E,-43.37661712602091,1
Yes,Brazil,A,-161.9099140254032,-180.07236409948365,40.73807744532928,D,A,E,B,B,E,-61.464181541695204,D,89.97181977136388,C,C,32.450275670821355,1
Veteran,UK,C,145.55397223452803,66.21578901594279,-3.2865914914296046,D,D,E,E,A,C,-126.08517432680925,C,-82.11607739488016,A,C,-3.820559540626968,0
Non-Veteran,Germany,A,153.50282954855675,-80.39213925422257,115.80485863557877,A,A,B,D,C,A,325.6973086805144,C,52.13416045143053,E,D,77.71937139355902,0
No,China,E,6.01017246727904,-91.54340857196742,136.5364780008773,B,B,C,A,A,A,136.62807543802535,B,26.525283715837865,D,B,211.16306294655107,0
Veteran,Brazil,A,-76.8924360547863,-64.14701065640142,18.147845320771825,C,C,E,A,A,A,-155.44617534205995,A,-121.06592970610875,C,C,44.809734075640925,1
No,Germany,A,76.52957656368862,170.7689572014117,26.084524467154857,E,D,C,B,B,D,75.2785026498402,E,69.1116529081805,E,C,-172.74889763661326,0
Veteran,Other,B,-35.881698557221256,12.921775312810063,-17.31009032344514,E,C,B,A,C,A,184.8636780022838,A,22.362564681253225,E,A,90.24491859375644,1
Veteran,Other,C,-33.49943879312296,191.10280032874093,24.666854089515063,E,B,A,E,E,B,216.1574477307101,C,16.86429580529197,E,B,-12.127026371731692,0
No,US,D,-31.4409906901297,20.24897492383345,50.23362530980915,C,B,E,E,C,B,-74.78442844980552,A,60.11077754276312,A,B,-209.08520450460887,1
Non-Veteran,US,A,70.49028724611152,3.235896071213203,165.11743227766294,B,A,A,E,C,D,-120.13571090416997,C,57.68866382911169,B,B,-120.47620949064046,0
Yes,India,B,99.3963146445725,-234.5981405130073,24.073343629565223,C,E,C,E,B,C,207.11034906819833,D,140.79681038390257,E,E,-80.08034754801517,0
Veteran,India,E,-25.082340033278044,-4.385861637454325,-254.59318809598847,E,D,E,D,C,B,-72.5514776235976,B,17.86425340094428,D,A,-93.63763006355255,1
No,US,B,13.913906629522687,-35.33740687692738,116.45159972741668,A,C,D,B,D,B,-122.96284377227205,A,-75.1789353973052,B,C,-66.09721681039223,0
Veteran,Mexico,C,70.34293547269381,-6.515744989223989,-279.7803718808464,C,B,A,A,A,D,90.23154356480724,C,80.27338756348381,E,C,56.02687561484516,1
Yes,China,A,9.71862134644838,21.55750609150637,67.80598803811587,A,D,C,D,B,A,-32.2146471231671,E,-69.4935821019261,E,D,27.429264913876484,1
Non-Veteran,Mexico,E,9.668193831108262,-217.14868704551088,-123.999897826705,D,B,C,E,C,D,144.31109161698282,C,53.3248120849277,E,E,-47.77312532842281,0
Veteran,Germany,B,-137.74681676783794,10.148249173595483,104.49220897233683,C,A,D,A,A,E,-11.787994910927846,D,208.21373014738768,D,A,101.0643164745681,1
No,UK,E,-95.27387496790735,123.65917755027984,-63.033299853580516,C,A,D,B,C,C,-72.09500221039539,D,19.084352273239666,A,A,-86.34402817691081,1
Veteran,US,A,-28.18123250600105,-208.7698695010112,28.22643573053937,D,C,A,A,B,A,-18.297481342207472,D,-27.46234963204192,D,D,84.29186686689725,1
Veteran,Mexico,C,74.56398067508718,-13.663114023648959,-0.1703326751742848,D,A,D,D,C,E,-133.9986097587427,D,-97.6039128116706,A,D,7.6103620792596525,1
Non-Veteran,Brazil,C,-198.41815527907966,99.63728925633616,-100.20653685178729,D,B,C,E,E,B,55.467674238283024,E,-234.84171534610317,D,E,-38.90367108946135,0
No,Other,C,63.05095311765528,77.14298566530216,-220.82260377646946,B,D,C,B,E,D,54.33176423286093,B,7.148173186970862,E,E,-29.779267925072432,0
Veteran,US,C,-37.0365851340048,41.78942688678437,-0.1079850074773357,A,E,E,E,A,A,99.3955031779609,C,-113.05589772588237,E,B,184.44476821043543,1
No,Other,C,-189.03975405938056,8.811042882435169,-227.06533798600165,B,B,D,C,D,D,265.5064314606788,C,244.89312147149354,B,C,7.8758330839286055,0
Veteran,Mexico,C,-24.203923032945898,123.51887556453718,-80.37295565565309,B,D,D,C,A,B,78.39269729780153,A,-43.8313488080117,D,C,-53.86877591477251,0
Yes,Brazil,C,122.81342762476282,-1.9855877186159288,-10.011005959957409,A,A,C,D,B,B,-125.94863147925777,D,-72.7388238469057,B,A,-15.56443842703594,0
No,Other,B,85.81440800033123,57.704693791815096,-93.9971562739879,C,E,A,A,D,E,124.19484241738814,A,153.3857923285169,C,A,-78.90085706764694,1
No,US,A,70.9240178641535,209.83680946315332,60.79126016325738,B,C,A,C,C,B,21.36687900107426,E,-91.12751329063371,E,B,27.686867184610225,0
Non-Veteran,Mexico,D,-62.79263576194284,-183.89404142918292,8.153219030457235,E,A,A,C,B,E,-93.20307529632022,B,36.493757554370056,E,B,-96.6558988118536,0
Non-Veteran,Germany,B,204.91747619586567,-77.92389800645932,101.05711525739973,D,C,D,D,E,B,90.67224133995155,C,-59.59151598676091,D,E,-266.5573078565746,0
Veteran,China,D,-170.64541379176822,5.196476394854323,-143.42128944790352,B,A,B,C,D,B,-60.094337110898444,E,-140.54013036144534,A,E,116.51086008761098,1
Non-Veteran,India,A,-45.52699073637019,29.650085602760335,-82.73057322810695,E,C,B,E,A,B,219.34673307128568,A,-8.726526156544706,E,C,96.81758025218645,0
Veteran,China,E,234.02356736650592,-206.20883395858206,138.7491182079335,A,E,A,B,D,C,56.93062123357087,C,-177.41281278926962,B,A,-62.396431191299904,0
Veteran,Other,D,48.34721511216172,-100.53343826790977,50.9129362407285,B,C,D,A,B,D,-25.659794183381678,A,52.5582905868948,A,A,78.68731314726666,1
Yes,US,C,150.61854546651605,167.17500119207708,20.402500199723335,B,D,D,B,A,E,116.56753269377052,C,18.13350417041095,D,D,166.83339198638282,0
Veteran,China,E,169.0748290660407,-87.00386981782641,-55.94550712898627,D,E,E,A,A,E,-110.2981029419203,D,16.715673081248934,E,E,-83.15930676092805,0
Yes,China,A,-107.65811320841993,109.45419855073439,-45.65558824482015,A,C,E,A,D,B,137.57762726859622,E,102.35839023305296,A,B,52.85022526080104,1
No,Other,D,115.6503143510014,-111.22686828436699,120.57223311125202,D,E,B,C,E,B,51.760411723782475,E,-94.78528310791296,B,C,81.70689809481708,1
Non-Veteran,US,B,93.3904251329184,29.139390151743637,127.84711031970444,C,A,A,D,A,B,10.026151183747704,A,-113.20128671958105,A,D,214.18174926234474,0
No,Mexico,A,-58.87510525700785,200.3158753822274,39.9851106818077,A,C,A,E,E,E,-115.25318950369237,E,10.973645418663292,E,B,43.84713082698036,0
Yes,Brazil,B,12.250331377543965,-88.86828929658681,44.6087711458759,B,B,E,A,B,D,-137.71063267392435,C,95.79620877816384,D,D,-92.92267064294654,0
Yes,US,B,137.72514323328184,33.58247567539984,-0.9357202595833145,A,B,A,C,E,D,-175.55580337775572,A,30.44584671252305,E,A,-25.805464107407953,1
Veteran,US,A,-132.85914238586784,54.310596332335024,-85.4559957967168,D,C,C,C,A,E,-93.04648931135138,C,-53.41384174567231,A,A,-1.1966639846213791,1
Veteran,India,A,80.39855411233468,-109.34604859910495,70.10708353087244,B,E,D,A,E,E,-199.08440933929379,B,11.443642325653718,C,B,-41.35515499340739,1
No,Germany,D,105.15453309998111,-81.43678306613403,102.17739254716692,E,E,D,B,A,E,85.76701431416372,D,-18.05097299918857,C,D,105.11144381858051,1
Non-Veteran,Mexico,D,-87.22675668690692,-126.5583572282251,67.89521226120488,B,A,A,D,D,C,-68.9736641862459,B,85.31320737640674,D,B,-222.48790501907635,0
No,Other,B,151.67884434640752,-130.74798851326557,-21.4391943440077,E,D,A,B,C,B,-72.87077498422939,B,-192.87870750855356,E,A,135.79393506735377,1
Yes,Mexico,C,84.50368566842292,-54.146371651764326,35.957548384127705,B,B,B,E,E,A,101.37015188356378,E,22.861276844816533,E,A,50.6965792720486,1
Non-Veteran,UK,D,-58.49576956094924,-97.58305417086972,187.54398523792239,D,E,D,B,A,D,-64.43731409782637,B,-57.78705468540731,C,C,-166.5421986176719,0
No,India,C,-22.538582858036584,-62.999911832398794,-13.521181123594705,E,A,C,B,E,A,13.932974572462816,D,50.09069016190405,D,B,12.486546216180823,1
Yes,Germany,A,-112.80256890106361,72.22869186772172,-78.71799737241683,B,E,D,A,B,B,-100.36520761764125,A,-118.04393962274344,E,D,-53.39206812271454,1
Yes,Brazil,D,154.45757735429518,5.850638516550219,-13.744420336536175,A,E,C,A,E,E,-109.63852651905457,B,-197.23934792430455,B,B,51.41764236816131,1
Veteran,China,E,37.29065907502947,66.91403389182085,-218.09832761905054,C,B,C,A,B,C,111.03301231128148,C,80.69149684895245,C,D,-81.85448483035658,1
No,UK,E,77.75773291180298,-20.356478662959283,119.31589669936248,E,E,B,A,C,B,-3.823474385566784,C,33.873051966478485,E,E,67.8291534815329,0
Non-Veteran,Brazil,A,19.911498644647395,98.42038623593393,-54.839912655379706,C,E,B,B,A,A,-9.319755390072356,E,141.9737266692432,A,A,-148.48557987125307,1
Veteran,Other,A,-98.69230021955487,-76.05045170579284,-208.33252728435951,E,B,A,D,E,A,-212.62846043096778,A,-31.336966320625738,B,C,28.06477752569127,0
No,Mexico,B,28.215003685100037,173.470106855225,17.383454754169513,C,E,B,D,D,B,-105.10132502498965,D,-78.36360057641842,C,D,44.560648872868896,0
Yes,Other,B,-137.55318572173059,-266.9149539005255,-54.68116427324593,C,E,B,D,A,C,2.2292450231227026,B,-181.58269481346773,C,B,152.24910722133058,1
Yes,UK,B,126.09104724000073,-52.44575403315919,-9.949367004316043,E,C,E,A,B,B,14.181761908065244,A,-24.661470898195788,B,A,35.99274845979784,0
Non-Veteran,India,D,162.41402289752256,120.41954180987551,-176.52542462318797,A,E,A,A,E,C,-42.46845938707675,E,233.12341313084778,B,E,36.96757421688654,0
Non-Veteran,Other,C,-63.42630718105807,41.58274968834884,31.31061664813984,B,B,B,B,B,E,199.01574233928665,C,-51.973160077633466,D,A,15.297557991417307,1
Non-Veteran,Other,B,13.85475196959468,119.63707252908631,-19.382794074130917,E,A,B,D,B,C,-293.18444910608173,C,-27.12705715854536,D,E,-86.78684452585424,0
Yes,Germany,A,-168.7873164938877,-227.7133162157806,164.90947770904395,D,E,D,D,C,C,-18.295132163548324,A,64.40139354396563,B,C,10.81912857066139,0
Veteran,China,E,64.30960262339316,262.5399419553373,-76.66366928711768,C,C,D,A,A,D,-140.28775897190093,A,140.95364385835023,D,B,-89.1851157250132,1
Yes,Germany,A,66.09236818430799,-20.27472558309209,5.33197214292304,E,B,A,D,C,A,80.8370088553893,A,17.503631101793687,A,C,24.408398204386312,0
No,Other,B,60.66448922296357,67.52726733367503,-29.556314735934702,A,D,C,C,A,C,128.34860090917027,D,-228.6266788051916,B,E,-24.269244020802677,0
Non-Veteran,Germany,A,69.76760602112357,-76.6416033913664,76.89089541977519,B,C,C,D,C,D,103.50637760694721,D,110.60020596995805,C,B,47.424246233312616,0
Non-Veteran,India,C,-126.76264802813142,-18.529780423369203,-14.226520912697588,E,A,A,A,E,C,-2.6559247605432406,B,-22.349514428787153,D,B,-60.09077203543887,0
Yes,UK,C,105.79519344939689,53.117170295947844,65.76859324408704,D,D,E,C,C,A,-37.28616262556517,C,106.78674669003753,C,A,13.571126746660436,0
Yes,Brazil,A,77.3926998898099,21.27900357831741,24.776996751375066,C,D,D,D,A,B,-33.502172296722215,E,-121.58768668119092,B,D,295.34525227917,1
Non-Veteran,India,B,266.29276461939935,-28.96130150804907,-36.00968510662981,B,E,D,A,E,D,-37.07354256433293,C,-126.54290412038318,B,A,-148.80905855351446,1
No,US,A,-130.99527798039296,-84.99810774002724,-211.65518742002214,E,D,D,D,D,E,-31.973647184354025,A,-8.654903827980855,D,D,-78.40892199019295,0
Veteran,Germany,B,70.92493405315508,49.126369107933286,96.99010513785012,D,B,B,A,D,E,23.958997541521455,D,-7.024960482429189,E,A,-243.81689308739976,1
No,Brazil,E,-105.865901414767,33.88099419827063,103.17593380828288,E,A,B,E,A,D,-6.430411357056336,B,-13.305537961901969,E,D,190.87515220274494,1
Yes,Mexico,A,75.47492382485785,-71.63783827649284,-65.95680335067021,A,E,A,C,C,D,-24.193639378051206,A,88.57123994617895,D,A,-54.052735939714466,0
No,UK,A,103.62906596388315,-74.53051963197835,-24.774533256197888,E,A,C,D,D,B,-39.18273530830058,A,-219.97771636017163,E,C,62.69356257574481,1
Veteran,China,A,-161.47581852710505,-120.7200870794465,-28.597466962895425,A,B,D,A,C,E,-205.86117038980504,A,157.10572719708134,A,C,-127.88830932203736,0
Yes,China,E,119.92386223758696,-5.416472408018412,-68.0723863962821,D,E,D,B,E,C,-5.935920059782042,E,-59.669299945327694,B,C,84.4552313428986,0
No,UK,C,-72.3008638766517,-85.88347116213164,-44.378510227018445,D,A,C,B,C,A,-27.962017012708113,E,-57.465241855931204,C,B,-28.414946257479006,0
Non-Veteran,China,B,30.484919786179365,-62.443081405912835,129.66506372831418,E,C,D,D,A,E,23.585600790426028,C,-60.15032917404972,B,D,-96.74565599974915,0
Yes,India,B,-99.460652833683,-31.620798711359278,-37.791152545116674,A,B,D,D,A,E,29.353129280612762,B,-264.49671979270687,A,A,3.6465973128972635,1
No,Other,E,50.341905401320986,38.55326497834962,153.34158903731304,D,B,B,B,D,E,97.70030913484672,E,91.86446940152149,B,C,3.9272703991410953,0
No,Mexico,E,-85.06680898574285,25.892807737035227,11.451705641936266,D,A,D,C,E,A,49.16360248728095,B,-0.30172629224728925,C,D,77.52767367697719,0
No,Germany,A,7.99533035171522,38.699541329394414,50.78833007878902,D,E,D,E,E,D,-100.73396541608916,C,122.8943505284023,A,C,-255.76242507481112,1
Non-Veteran,India,E,47.60456689711327,-141.26499451170545,-25.81026209347438,B,D,E,A,E,C,269.5566592590428,D,163.67444032309183,B,C,39.39569384442474,1
Veteran,US,B,-20.745814234647106,-23.46991120559718,15.370125034540719,C,B,B,C,C,C,-80.12667272355813,E,-27.20116006610094,A,B,-3.459582849295126,0
Yes,India,D,67.4627846306577,2.217061419046917,-28.773153364501496,C,E,D,D,C,C,136.12183646674433,B,64.45345806502056,A,D,65.43290823605237,1
No,Mexico,B,-159.62751735172483,-168.19582987544456,29.909436865410882,E,B,E,E,C,C,194.8003997011372,D,-95.84181486928256,B,B,1.9671486795800115,1
No,Other,B,3.7212162200265344,27.966454904137706,31.245645228933842,E,C,D,C,B,E,92.03796671271719,A,94.31481735764771,B,C,95.53442681007589,1
Yes,China,C,-78.99766439689951,-77.20093253044962,-75.53452499101704,D,D,C,D,A,A,-88.13272338696667,C,-42.07083474045431,A,C,-77.75873541332065,1
No,Other,B,-18.64111569453227,203.36066353229793,-9.324536491412418,E,C,A,E,C,E,0.7309385992177484,D,72.90125933010945,A,A,-185.284532529571,0
Non-Veteran,Brazil,E,126.11260555804688,-21.829860379935557,12.475094371976098,B,C,D,D,E,A,-28.70167527142904,C,-99.42738818522679,C,E,33.11454747189813,0
Veteran,Mexico,C,-3.814708873579992,-119.20386668438651,-107.71352040652,C,A,B,A,B,B,111.6893269485421,B,-104.23395402297075,B,C,-275.13750871914743,1
Yes,Other,D,36.27412934006817,-15.632929162638733,131.4816025798476,A,D,D,C,E,D,-59.78281925399821,B,-113.12466572651327,C,A,-256.6347453902382,0
Non-Veteran,Brazil,A,10.056331827058715,-69.48930677985098,88.56958698157537,D,D,A,D,D,A,16.104651478243653,D,100.0635831339878,C,A,232.027989129659,1
No,China,A,-22.51764780341708,46.40725083089599,-90.21527741288229,A,C,C,B,B,A,-287.23923329375583,A,-20.77149228570878,E,D,-104.32054300510822,0
Veteran,Mexico,C,56.9585753702598,-62.7486650074038,0.17103565142876861,B,D,E,B,D,E,-116.71622931141867,C,168.2966385533647,A,C,17.44002472567847,0
Non-Veteran,Other,C,-120.34529080079264,-78.0117673405318,6.879070594820498,D,B,C,D,D,B,40.68787648464838,D,-103.07976329600666,D,D,-33.42108598934809,0
Yes,Mexico,D,-24.311865052016103,10.8903115847078,119.15298188343586,A,D,E,C,A,D,78.8466735894365,C,36.83108352193985,C,B,84.265964895903,1
No,Mexico,E,-47.106267122330806,27.059788983485117,128.35419185639174,C,A,C,C,A,C,21.26947636282665,E,-65.27258698041445,E,E,110.66029841479101,0
Non-Veteran,Germany,B,1.9991790095738267,83.72708196631696,-12.716947608835524,B,C,C,C,B,B,39.20040469991994,C,-65.66812740106886,D,A,-62.81046509179748,0
No,Brazil,C,110.46861734055172,-45.597305366041056,43.191524920679264,B,C,B,E,B,D,33.106541329761505,B,-59.30832204097808,A,A,65.69314927721175,0
Yes,Germany,A,138.12928720991573,1.4204215780860925,28.744177295337746,E,E,D,E,B,D,-73.97587428764673,C,90.44140296249421,A,E,87.48002092597498,1
No,Brazil,B,-116.68700117449387,54.419301272331,16.19047934724138,B,E,E,B,B,B,-54.549418044701014,B,20.182521976308113,C,A,1.4826647809321813,0
Non-Veteran,Mexico,C,-44.88858330819963,9.416132640484049,84.54316765488691,C,D,C,D,D,D,-95.00939340959292,C,-143.95760236568373,A,A,80.2763196929019,1
Yes,India,A,-0.5959459814696676,48.74649273578847,7.5871353659585985,E,A,D,D,A,A,105.44034935468025,D,-103.17401678190414,E,A,-87.78277565304263,0
Veteran,US,A,-45.656459348167694,60.90253555043989,92.86012381304913,E,B,D,C,B,E,-1.4651053141109784,C,136.8961864428521,B,C,-19.79184860286425,1
Yes,India,C,134.20278093353386,-42.56455290206761,-125.71703012182998,B,C,C,C,A,B,-220.74161995680637,A,33.80807197754723,C,B,37.606194856584004,1
No,Mexico,B,55.84901571770976,49.27967167847121,78.73374460361585,A,B,B,A,B,C,-27.80615521912373,A,-28.715100387417564,C,E,-15.272944452965953,1
Veteran,China,E,39.94444247594181,-153.2112190638914,105.4557138496014,B,B,D,D,D,C,102.77285976185793,C,44.33497093599201,E,D,54.139296853700145,0
Veteran,UK,A,-50.7503579116494,-141.48405811738402,222.111026855394,D,B,A,A,A,D,-97.15943692680634,D,27.19873745644686,E,A,-191.41844234736672,0
No,Germany,B,47.831196000410195,-19.99505346799713,25.37177977764887,D,D,C,D,E,C,118.48289645636095,D,74.38215927798569,D,E,76.71506164473968,1
Non-Veteran,Brazil,C,199.16506168350747,-115.8536104004007,-15.71635216928606,D,B,C,E,B,C,-27.68478775558781,A,-32.18921647458687,E,D,-89.75564992921538,1
No,Other,B,42.42857221704823,51.39691883221567,-10.563192509486713,D,A,E,E,C,E,116.12486330181937,B,17.856538339135717,C,E,105.56854178402384,0
Yes,India,A,-197.98400022382367,35.49770651489194,61.04201740238747,C,A,E,C,E,D,-157.8664673608343,E,-59.84115795642487,D,E,137.65428080538553,0
Non-Veteran,Mexico,D,-90.9601531266655,-20.267058473886443,4.727551075611261,C,B,E,E,D,C,-81.43026928173383,B,55.931559478963955,B,C,12.690537914478483,1
Non-Veteran,UK,D,57.41742546795353,12.026315849190679,-111.15167410645444,D,C,E,D,A,C,-3.8937689430208846,D,56.24359441173652,D,C,52.39351932746401,0
Veteran,India,B,2.628562585276023,-46.585199134042504,186.7116344250207,D,B,D,D,E,A,-113.8222569158009,A,118.43619626202455,D,A,-31.3723331642136,1
Veteran,UK,C,75.26599603592616,77.03856193020378,-8.242498002801433,C,D,E,D,E,D,14.086928519770115,D,-90.00106840282302,D,E,148.97524523360102,0
No,Brazil,E,81.43034105958932,75.33954988443634,-6.574187696891425,B,B,A,D,C,A,-27.24243242374954,E,8.622404467265504,D,E,62.544285739729666,0
No,UK,D,-101.89471647209626,45.99393769453759,164.49882336670157,D,A,D,C,D,C,-159.11454900063785,A,-32.796941328923985,D,B,56.66846961719505,0
Non-Veteran,US,D,231.03283058413072,80.37513010221635,-9.565175579332424,B,A,D,C,C,C,-197.38173066847676,D,-90.63478795387385,D,D,79.45383693511937,1
Veteran,UK,C,-96.5205465566756,51.63497273360884,1.2814442826517458,C,B,B,C,B,C,-270.8693296874737,B,98.93279595165302,B,E,-88.45920201271127,0
Yes,UK,B,-46.216820285475386,-132.0837402414844,123.7555175465373,C,A,C,E,A,D,81.27399703839255,A,44.27694115089075,A,D,40.4653663309713,1
No,Other,E,-54.57048414810409,-13.291179395989271,112.743814752042,A,A,A,A,D,E,156.59247625182215,E,-104.83447835541836,A,B,100.96019617420737,1
No,China,A,-76.64355759132317,-183.1700100882234,-90.10208496934257,C,D,E,D,D,E,-2.611899369803412,C,-0.6300377242493337,A,C,-180.29163567762532,0
Yes,UK,B,107.9064242201166,97.13450820089153,-86.28229672073459,A,D,E,D,E,E,-22.711878295464686,D,62.3205526811612,B,E,62.58227617993185,0
Veteran,India,E,-53.63189967608763,-32.58193509985963,34.521960188768404,C,C,C,D,B,C,7.171282021780516,C,-162.23604018771965,C,D,-24.26680550583932,0
Yes,India,D,19.406328545035137,121.47291389848174,-91.55838596548836,E,A,E,E,B,C,16.564338672852834,E,-73.23990561216296,D,E,4.708909811821167,0
Veteran,Mexico,B,46.36512114381999,7.253676728029755,-110.07297727103402,D,C,C,C,C,B,11.413570179120502,B,-42.111033306590166,D,E,-34.15307535874321,1
Non-Veteran,Brazil,E,140.1564075019101,-40.731457681336266,-189.04751277438803,C,B,A,E,B,B,134.15970946316028,C,-3.154504071200269,C,E,112.39767124331053,1
