disability,Race,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
No,Hispanic,Widowed,B,C,C,C,D,E,E,75.4921671414934,B,-73.03084902108247,A,D,E,125.31548278466875,27.236778583997793,B,1
Yes,Black,Single,B,B,C,A,D,A,A,-99.5304844371233,A,-161.08199486612378,A,B,D,-89.34918842057127,78.22375837716937,C,1
Physical,African American,Divorced,B,D,E,C,D,D,D,16.271314354098383,B,129.25735558247618,D,B,A,54.87554837723964,35.50707221393715,D,0
Physical,Black,Married,A,A,D,B,B,D,D,-15.664207078119844,D,23.215090165551878,E,E,B,120.89547939633572,-294.59931678590306,C,0
Both,Black,Married,C,B,C,A,B,A,C,-8.078927479918791,E,34.25823393963584,B,C,D,65.65609001508878,5.715718836113642,C,1
No,Black,Single,A,E,D,E,E,D,C,177.74743125625685,C,41.27978290626261,A,D,B,-103.34397719194075,51.025534815347285,C,0
No,Black,Single,A,C,E,B,B,C,C,117.64339469040101,D,-37.657895103954694,B,A,E,-13.373954169021921,45.763298131211286,A,1
None,Asian,Married,D,B,D,E,E,D,C,71.74298825829113,C,-44.45313441853223,A,E,A,-18.938057966945184,76.7638413093871,C,1
Mental,Black,Married,C,E,E,D,A,C,A,174.3488109399572,D,-80.16008927239899,D,A,D,220.52542029962382,205.12230859180178,B,0
Yes,Asian,Single,B,B,E,D,E,D,C,66.73777864592205,B,-3.149286720373505,B,E,C,-109.56259461252968,-22.941647872519766,E,1
Yes,Hispanic,Married,E,A,C,E,A,A,E,-79.92263673385206,D,-72.36949955592775,A,B,B,-42.16365931315465,12.210497200374155,D,1
Both,Hispanic,Married,D,D,D,B,D,E,E,27.605516386796015,D,49.415654377404024,B,D,C,-77.83389874211967,-8.3573191349177,E,1
Physical,Asian,Single,E,A,B,D,D,A,E,-91.23737033996292,E,18.409877440293037,E,E,C,105.443530299033,-11.716502961395282,B,1
Yes,African American,Married,B,A,E,D,A,C,D,-22.676460317926818,B,-204.67166331241265,B,A,E,27.74478591383247,-105.87809637370506,C,0
Both,Black,Widowed,E,E,A,E,D,D,C,-20.165501924781697,E,8.016587880737639,A,B,E,-6.823629776045214,-44.63210979219082,C,1
Both,African American,Widowed,D,C,D,A,B,B,C,-32.71281629514887,A,-140.99144646028472,D,E,B,-83.59770764024151,41.553302553735435,C,0
Yes,White,Widowed,D,A,D,B,E,C,D,81.58188655924158,E,-24.9091251786598,E,B,C,65.4804042211649,192.25692320508782,B,0
Physical,White,Single,A,E,A,D,C,A,E,80.97987367162057,B,94.26808330245802,A,D,D,-0.9558772410930845,8.284112611588174,B,0
Physical,Other,Divorced,E,B,C,B,D,D,A,-157.6410491032953,C,152.47845312047957,E,A,B,38.53495622220181,-168.08518194893284,D,1
Physical,Other,Married,E,B,D,D,E,A,C,-2.871721655548258,D,127.42085459223067,E,E,E,-74.10951696816454,-149.34266340455864,B,0
Physical,Hispanic,Single,B,C,E,D,B,E,A,113.22303511728917,C,133.37818587614652,D,A,B,16.73220289968843,83.29295489461812,B,0
None,White,Widowed,A,C,B,C,E,C,A,1.295683160460797,A,78.71167595452116,E,E,D,10.548211744563012,142.54020589744752,A,1
Mental,White,Married,D,B,E,D,E,A,E,-57.738810916112605,D,-85.925535349101,B,B,E,-9.952532495961636,-66.02401120658189,E,0
Mental,Asian,Divorced,C,C,E,D,A,A,D,-50.2697872984502,B,16.439971942136356,E,C,C,206.1849292889172,141.86978628025815,D,0
Yes,White,Divorced,D,C,A,D,A,D,B,-126.66113490347813,B,-73.8647336255909,D,D,A,-81.42416972002326,-101.94167918383653,C,0
No,White,Single,A,E,D,C,A,A,E,21.196128876420527,C,-36.93841752439268,C,C,B,-23.397144678885248,-30.3739750203653,E,1
None,Black,Single,C,E,C,E,A,E,E,-103.67598910771132,E,-112.33370725993011,E,A,E,-55.32023896231492,-37.053975457349765,B,0
Yes,Asian,Divorced,C,C,C,E,E,C,E,54.07456488890209,A,206.21119555783832,B,D,A,-105.05736335458546,-53.50122005086476,A,0
Mental,Asian,Divorced,A,C,D,A,C,E,C,258.9019662297818,C,144.191844098409,B,D,D,-23.771612980042605,-36.80579703859661,B,1
No,Asian,Married,D,D,D,A,C,C,D,-255.86593097613454,A,36.72229551468495,A,E,A,-269.718065178751,-193.22993128310625,E,1
Mental,African American,Divorced,D,A,C,A,C,A,A,47.42202945229938,D,-108.42619767627968,C,D,D,23.92108050377043,-58.34798516230998,A,0
Both,Black,Divorced,C,B,C,C,C,D,A,83.91012311184237,C,-69.80451951395649,C,E,E,51.894976239054145,153.62989855980692,A,0
Yes,White,Single,E,D,D,B,C,D,C,7.793934979122693,D,-181.10230776308322,D,E,D,-21.34754316064906,51.22006041471129,D,1
Physical,Asian,Divorced,E,C,D,A,E,B,D,74.36873389988897,A,-44.49868394571476,E,E,C,50.75434286101381,-37.95335078130152,A,0
Mental,Asian,Single,B,B,C,A,E,C,C,-75.96103770162912,B,-14.746899415462389,B,E,B,-53.82718332419311,78.26963334214618,E,1
None,African American,Married,B,D,E,A,C,D,D,-141.31687017315596,A,-79.43318402135871,B,A,E,-115.7407814535742,-131.54117843442924,D,0
Both,Other,Married,A,B,A,C,E,D,A,-31.664644897927413,D,81.35274970405952,E,D,D,-118.64530556201525,-25.193072095809626,C,1
Both,Asian,Married,E,C,D,B,C,B,A,-140.20956318554838,E,25.705171539846155,E,A,E,-144.67943759899813,22.484018084718144,B,0
Both,African American,Single,D,D,D,E,C,B,C,-39.28722000313156,B,-153.74975560412636,B,C,E,-39.72541953528867,2.4308067665362327,A,0
Physical,Asian,Single,B,E,D,C,C,D,B,64.99687571293009,E,150.91235957486674,D,E,A,-14.884606825832329,110.22933932612686,E,0
None,Other,Married,D,B,B,A,B,D,B,-88.98851392975308,E,-99.50108356876727,C,D,A,-124.71308617016987,-117.57500242336832,D,1
None,Other,Married,C,E,B,A,A,D,A,-36.81754590103296,C,-45.929677573043215,C,C,E,-102.80393772218521,118.862840021308,C,0
None,Black,Widowed,A,E,C,A,D,B,A,87.33765038420846,C,-27.376823059305277,E,E,A,112.60298819756882,-3.822144924703663,B,1
None,Other,Married,B,E,A,A,A,C,B,198.85712284761902,B,-73.81370667083654,C,D,B,206.89628260578124,-213.3984055248501,A,0
Yes,African American,Married,D,E,D,E,A,C,A,108.66037023111276,C,-13.47394908434464,D,B,B,-94.35122563324659,-13.05152189047399,C,0
Mental,Black,Single,D,C,B,A,D,C,C,168.69868620976112,A,116.89542869680322,C,B,B,-108.75681770858334,-67.23008508419281,D,0
No,Asian,Single,B,A,A,D,E,A,D,-80.21512351263722,E,-72.61567286170188,C,E,C,71.66620818309988,195.25206623706615,E,1
Both,African American,Single,B,B,E,A,C,B,E,63.78116560582669,B,-109.72949278189401,B,E,A,270.28039655609996,-202.2324740674273,B,0
None,Hispanic,Married,C,D,C,C,C,A,B,-148.2640712993499,C,-43.66751817527027,E,C,A,108.69588334446163,-174.2530683045107,D,1
Yes,African American,Single,B,C,E,A,C,E,C,-32.076345446125906,B,-41.545646880593694,B,A,C,-14.048997601360536,-40.8211955626819,C,0
Yes,Other,Married,E,D,D,B,C,A,D,121.20146518879878,C,-87.96272998980106,A,A,C,90.19128901971595,41.48006181540728,D,1
Physical,Other,Single,E,B,E,E,B,C,D,-168.5929198208769,C,15.97346140145638,C,B,D,-9.882056317116465,-51.26007413015223,A,0
No,Asian,Married,B,C,B,D,A,B,C,78.07014452846728,A,-36.86922425873875,B,B,E,271.83228762246233,44.37141953914166,B,1
Physical,Black,Single,A,C,C,D,E,E,B,68.28636482024262,B,-83.01467610288213,D,B,A,-74.77396812693978,-8.553726328093182,E,0
Physical,African American,Single,E,A,D,E,E,E,A,145.04444170423724,E,76.8586177963191,B,E,A,-121.24083418332616,124.90628680707434,C,0
None,Asian,Divorced,C,D,C,A,C,B,A,50.9589316679581,E,-189.2813819776505,A,D,A,170.99194281100793,11.042539765929844,C,1
None,Black,Divorced,B,C,A,B,C,D,A,-102.56229847767784,B,60.69373569771359,B,A,B,148.7077955463808,-7.6962779002837545,E,1
None,Hispanic,Divorced,A,E,A,A,E,C,B,66.0244860453155,C,-60.45928040175723,D,E,A,38.09729069942958,-35.758250586326405,E,0
Both,White,Widowed,E,C,A,A,C,A,B,-133.99398701010114,A,-3.535088084682296,C,A,B,-40.255296180235966,-60.12212023908994,B,1
Yes,Hispanic,Married,A,C,A,E,A,C,A,104.90792235837279,D,-87.61998025150362,C,B,E,102.31246092738377,-26.19105659723474,E,0
Mental,Hispanic,Married,E,E,A,D,B,E,D,109.83968577519863,D,145.15735586593647,B,C,A,124.36303490640286,141.306838623079,C,1
Physical,White,Divorced,E,B,C,D,C,B,D,34.52544100205742,E,46.862907195460444,D,D,C,13.879481130615783,-114.85522561862797,A,0
Both,African American,Divorced,A,D,A,B,B,D,D,-19.734987172568356,B,-20.243057616914093,D,D,D,102.64043697751144,-96.5696856521536,B,1
None,Black,Married,C,E,E,A,B,B,B,135.516133013317,A,-102.37069191328703,A,E,B,-84.72741166231894,55.158809996075355,C,0
No,Other,Single,E,E,A,D,D,E,A,-146.91170355989357,B,-13.552090402958989,D,A,A,-49.008851435552245,76.43510567488612,D,1
No,African American,Married,C,B,E,E,C,D,C,6.045022401013492,E,-64.00936472206256,A,D,C,-63.33072337454833,35.01212822165501,E,0
Mental,Other,Widowed,A,E,E,B,E,B,A,212.8702542869496,D,25.773511671032367,E,E,E,-103.01232061677226,-171.03431009154633,D,0
None,White,Widowed,E,B,E,B,C,A,D,68.56243489668043,D,51.20053124774668,D,A,D,32.515001538161634,84.76376579100739,A,1
None,African American,Married,A,B,A,E,E,D,A,79.91114670690776,B,-137.1352632203204,D,A,D,-30.918477679912094,176.97035855105014,D,0
No,Hispanic,Single,E,E,C,A,E,D,C,172.72424850103943,E,-85.64696588716794,A,D,E,87.72554944398512,97.30652957778221,A,0
Yes,African American,Married,E,C,A,B,D,D,B,-131.5992187078071,B,72.28199993841139,D,C,E,-172.58204359563615,-66.6703054569789,A,0
Physical,Hispanic,Married,A,C,C,D,A,B,C,-2.589592800455724,D,-135.6058131515969,C,E,D,-148.63429091316803,121.13159567720825,E,0
Both,Hispanic,Divorced,A,C,C,C,B,D,B,-129.67005887494904,C,48.42803623541296,C,B,E,-36.20197009222386,-87.46240573258282,E,1
Physical,Other,Single,A,C,A,D,A,D,B,1.2279827936790033,C,149.56213458557562,E,A,E,-9.64694709575151,21.78020972088719,B,0
Mental,Black,Single,C,E,E,B,D,C,B,47.38676662987077,C,-82.14887875737537,E,A,E,87.3910479463841,-45.32122664767782,E,1
Mental,Hispanic,Divorced,A,C,C,A,A,E,D,67.27800450146259,D,-59.82108417252236,B,A,C,257.13127333978343,-64.15106776962321,E,1
Yes,Hispanic,Widowed,B,C,D,C,A,E,A,119.61434585266599,D,-18.610043623875953,A,B,D,-55.41086442221087,-11.185140395704277,A,1
Both,African American,Widowed,E,B,D,C,D,E,C,-13.552187235115317,C,114.12460759208697,E,C,A,60.63495251713946,-8.432188575918136,E,0
Mental,Hispanic,Widowed,E,D,E,A,D,C,B,-8.377304860028499,B,45.59828579475316,D,E,A,-117.68767294879848,-21.448556374230364,C,0
Both,Asian,Married,B,E,B,B,D,B,B,211.21409178046187,A,8.993089894061994,C,E,E,-95.16725428249345,-16.75998521057576,A,1
Mental,Other,Widowed,E,C,B,E,A,E,D,2.409627406046296,E,-41.22325396065483,A,D,B,-52.17832255177382,22.052305715955654,D,0
Mental,Hispanic,Divorced,E,A,D,C,A,A,D,13.813281985955292,D,-92.83539365605994,C,B,E,-63.77537764892451,-111.74933399417559,D,1
Yes,Asian,Single,A,A,B,B,E,D,B,-77.60190494357109,B,17.554041063482806,C,B,E,-47.699284004382456,-2.2161677460153286,D,1
No,Asian,Divorced,B,A,E,D,A,C,D,48.99630773001245,C,-186.13730019978976,E,D,C,-100.08500172451737,56.96794848650525,B,1
Physical,Other,Married,C,C,B,C,B,C,D,187.35664376898453,D,42.34979810969548,B,E,E,14.537648786547674,-53.162245118364126,A,1
Physical,Asian,Single,C,D,E,B,C,C,C,-4.5884163758166,E,-26.77899266046819,C,D,C,13.913923783979113,-3.788328961581871,B,1
Yes,African American,Divorced,A,B,B,C,B,B,D,-29.397559144353835,C,4.640034275971941,B,C,B,22.608946540679213,36.96313811632439,B,0
Yes,Other,Single,A,A,C,E,C,C,B,-118.24994546221825,C,-98.79758956059621,B,D,C,-6.026624203828682,209.39464816649522,A,0
Physical,African American,Married,E,C,C,D,D,C,C,-93.5431689943352,B,54.80995097051895,D,A,E,34.64759973228786,218.52753290517933,C,0
Physical,Black,Single,E,C,C,B,B,E,E,99.42613008493169,E,82.43959634519136,E,B,D,73.97195683057917,-140.8627419875337,A,1
Mental,Hispanic,Single,E,A,B,E,E,D,C,-182.2885220051194,E,-47.8856442666096,A,B,B,88.48347176332649,-138.90098915285552,A,1
Mental,White,Married,C,E,C,B,D,C,A,40.80719231307078,C,41.37017936014826,B,E,E,-14.237301738067657,-27.797706366692136,B,0
Physical,White,Single,D,D,A,C,B,E,E,2.197929608042176,E,33.920872506259265,E,D,C,79.28451033585931,-35.34982939833444,A,0
Physical,African American,Divorced,B,D,A,E,B,D,C,-25.10803868038569,E,-113.62109512316923,A,E,C,18.513796437178016,-160.74264989361288,D,1
Physical,Black,Married,B,D,C,C,C,D,B,-93.70327077933224,E,13.888050698719454,B,C,A,-81.76850482772556,-178.67664408988608,A,1
None,African American,Single,B,A,E,B,C,D,A,134.72838064879463,E,-19.005123381917365,D,E,B,71.87120655976797,-24.861767883446788,E,1
Mental,Black,Married,B,C,C,D,D,D,C,-172.33265057866979,D,97.40878432508873,D,E,E,-171.56687416519281,4.3887437721869125,D,1
Yes,Other,Divorced,E,A,A,E,B,A,C,-20.08865841277256,E,-11.711882804839933,D,E,B,-83.25049245187431,192.64267181655936,B,1
Mental,Hispanic,Widowed,B,B,D,B,E,D,E,-114.51399315128519,D,-82.11973035681763,C,E,B,-102.17475822924634,-12.818348433871938,E,1
No,Hispanic,Divorced,E,B,C,D,A,D,D,-259.1391960452341,D,173.57564338447105,C,C,B,38.25233403091497,52.59502144032952,D,1
No,Black,Divorced,D,E,A,E,C,C,C,-11.519412712370288,E,-81.42283122866321,D,D,E,105.7731640431937,0.32469747828089945,B,1
Yes,Black,Single,B,B,E,B,E,A,B,-32.32093176417972,C,62.45605573672219,A,A,A,-125.57315014477692,-142.22758214600088,A,1
Yes,Hispanic,Divorced,B,C,A,D,E,B,A,-37.101219168950806,B,-120.4608912754231,C,C,D,189.47724979014072,-79.63164895081447,E,0
Yes,Black,Widowed,D,A,D,A,B,D,D,119.12730092541828,A,-64.91769634656099,C,D,D,-27.419808422841633,-132.68345306333376,E,1
No,Hispanic,Divorced,A,C,A,C,D,B,D,109.01943021088121,E,63.94809328852096,D,A,B,-29.755817499648664,60.16371275110658,C,0
Mental,Hispanic,Divorced,C,E,B,E,A,C,E,-59.03766512100964,A,13.495653944940914,C,A,B,24.38580283701615,46.25693291674573,D,1
Yes,African American,Married,A,C,A,B,D,B,E,-176.21032576962355,A,109.94529420391281,C,E,C,-112.79287933797806,97.81673904930865,D,0
None,African American,Widowed,D,A,A,E,E,E,B,-88.63373317458992,A,-103.31385796217893,E,A,A,-9.293185511227255,-151.62244424022307,A,0
No,Black,Widowed,E,C,A,B,D,D,A,-59.45569254918882,C,-15.670397058117072,D,A,E,198.5925771224463,233.11095429667836,A,1
No,White,Divorced,B,D,D,C,B,B,D,55.87763349361467,E,-255.95369183568297,D,D,A,-27.159895034936383,-6.049656768157601,A,0
Both,Asian,Divorced,D,A,D,D,A,C,A,138.63767117454944,A,47.179047108461305,A,E,A,-22.549159241039284,-126.18409619084163,C,0
Mental,White,Married,D,B,D,D,E,E,B,-48.86610998681864,E,3.354351870236588,D,A,D,28.732245497586828,-54.24213876073879,B,1
Yes,White,Divorced,E,C,C,D,A,A,A,-103.92315883601684,C,23.966441915308167,C,B,A,42.3142984242043,-24.991077690185552,E,0
None,Other,Divorced,A,D,E,C,C,B,A,-21.9151367595992,B,-157.7121792866684,B,B,A,-214.26601007912524,-96.30450414836521,D,0
Yes,Other,Divorced,D,B,C,A,E,E,A,77.03125118205519,B,-38.470662637711776,D,B,C,13.526788220811598,75.60898428743448,A,1
Mental,Hispanic,Married,B,D,A,C,D,E,A,29.076932899407403,D,38.35615486763121,B,B,C,42.82904012693889,214.850447658145,E,1
No,Asian,Married,E,D,B,D,D,E,E,-42.23097301324501,A,-15.850026431408052,D,E,C,-86.01086077114721,-28.965403539359606,C,0
Yes,Asian,Single,B,A,A,D,B,C,D,83.11069691913605,D,-86.88353006523441,B,B,E,42.776115707257055,-97.166439018474,B,0
Both,African American,Widowed,A,C,B,A,D,E,A,-111.30293731248224,D,-50.76241391470888,C,C,A,12.090232988904098,1.2335421027644706,B,0
None,Black,Single,B,A,E,C,D,C,B,-88.29522632322843,D,18.27229317758979,C,B,E,-98.5296739242547,-42.24370224218668,B,0
Both,Black,Single,B,C,B,E,D,D,D,-10.100621655976212,D,19.614379666449516,B,C,A,6.104353173915164,-12.7328468621414,D,0
Yes,Hispanic,Divorced,C,C,A,C,C,E,B,70.07453436543196,C,-93.3769309228973,E,B,D,40.78453965788675,51.410548107828525,B,0
No,African American,Widowed,E,E,D,D,C,B,A,304.09355849801057,B,301.12228609239844,B,A,B,-92.58682727343808,-22.002489865771484,E,1
Mental,Black,Married,A,C,C,E,E,A,D,155.4448492234978,A,-61.407552064782045,C,E,A,-18.12090318788712,66.20897764839489,B,1
Mental,African American,Widowed,C,D,C,D,D,D,D,87.42546050754957,A,152.15301164780536,B,E,E,-57.963946807640696,-25.71197125752888,A,1
No,African American,Married,E,C,D,B,B,D,C,-152.85763622608076,A,-13.717783265598651,D,B,A,3.0125651727323914,-190.91698889506966,B,0
None,Asian,Married,D,D,A,C,C,C,D,-114.22129000103256,C,-166.4697983620655,C,C,B,11.827749598039915,26.857251318441044,D,0
No,White,Divorced,C,B,E,C,D,A,D,96.22303785824778,A,-247.0034503500838,A,B,E,-49.769199189037465,-88.87585248593395,D,1
Both,African American,Married,C,A,B,D,A,D,A,-52.4178149079653,C,-9.038784987788102,E,C,B,-104.77242045649258,76.06109411820054,E,1
No,Black,Divorced,D,B,B,B,B,E,D,-25.620820603497783,A,-137.98676017017087,B,C,E,-76.45478105861163,66.80690073966755,B,0
No,Hispanic,Divorced,A,C,C,A,D,B,E,-71.33751841438824,D,107.39566576434339,D,E,E,-4.6772308174253645,69.51707944976067,E,1
Physical,White,Divorced,E,C,D,C,C,E,B,-38.773013031865936,B,140.4812851108653,C,D,D,-123.41070758083714,125.44356336585753,A,0
Mental,Other,Single,A,C,C,E,A,A,E,19.400238448638945,D,39.426756196009386,C,B,D,35.0842083669996,-91.99259927476757,A,1
Yes,White,Divorced,E,B,C,E,A,B,A,70.63080521719044,E,126.07869210491585,D,B,E,8.734254521103022,-23.119857097060496,B,0
Both,Black,Divorced,E,E,D,C,B,B,B,18.922779421570286,E,-14.363872960711182,A,D,C,-123.59335417309332,-55.53842485566701,D,1
Yes,White,Single,C,A,C,E,A,C,A,17.856441686341608,E,-60.1417004846704,C,C,C,-27.062898676648338,40.62940487425013,A,0
No,African American,Married,C,E,B,C,B,D,A,-76.17327760157605,B,-41.54765586230308,A,B,A,31.347300485112008,-157.3316371855694,B,1
Yes,Other,Married,D,A,D,B,C,E,E,-156.68432253175482,A,-201.49982843733395,C,B,D,90.5018590547944,-69.69772010929445,E,0
Mental,Black,Single,C,E,A,A,B,E,A,-60.361826863667446,D,-35.38639040469508,E,A,A,-128.0649618217077,121.01902311356645,D,0
Physical,Other,Single,E,B,E,D,C,D,D,-86.68868924489375,D,23.7283631606668,A,A,B,-209.8217205037594,-168.12920062717146,E,0
Mental,Asian,Divorced,E,D,D,C,E,E,A,1.292156051183337,C,-40.45415090541321,C,C,D,68.36202393940383,130.2804787915298,C,1
No,Hispanic,Widowed,E,E,C,B,E,C,D,-201.22128780525435,A,42.791126287363014,E,D,C,143.64754453016923,-39.37966330457567,D,1
No,Black,Married,C,D,A,A,B,E,D,-5.12997286089689,E,124.20925800268505,D,A,C,103.58584222757463,-86.29436052612607,B,0
Both,White,Single,C,D,D,B,D,A,A,5.348293983580317,A,77.21207687817704,E,B,B,-32.85329057639184,-121.02821954693891,D,1
Both,Black,Widowed,C,A,B,D,A,C,A,-85.5614438323554,B,-53.31610401396383,D,E,B,-123.92971997738368,-149.7917545726297,D,0
No,Black,Single,D,A,B,B,D,C,C,99.74234104011597,D,-104.7677376958102,E,E,E,-83.31385323953016,43.24848355440356,A,1
