handicap,RACE,sexuality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
No,Other,Bisexual,Veteran,C,-6.4576207412837805,D,78.99270332851377,B,E,36.25798318574737,-121.79653366603809,E,0
Yes,Other,Homosexual,No,C,77.35261121072021,E,133.35064445610726,A,C,11.226976563926494,143.5018314891331,B,0
None,Asian,Homosexual,Veteran,A,86.50971831206175,C,-87.06096562033326,E,E,-56.89180466295352,96.51006553562024,D,0
Physical,Hispanic,Other,Yes,A,45.00825690558502,A,107.23592985613513,E,C,-65.84794268000202,-62.31889243307977,E,0
Mental,Other,Homosexual,Non-Veteran,A,19.48889844175224,C,125.95401304564132,D,D,17.54726350126761,-272.1364249182973,A,1
Yes,Black,Heterosexual,No,D,-33.67923002504209,A,3.166528765010694,B,E,-5.841652919724821,13.826114974027082,E,0
None,African American,Homosexual,Yes,A,210.41686649972507,E,51.336562434148746,C,C,93.06412254737953,-131.82145276930285,D,1
None,African American,Homosexual,Veteran,E,97.73239714107946,B,18.83045578679494,D,B,54.73093868486182,105.69912144853353,D,1
Both,Asian,Other,Non-Veteran,A,51.07472713781201,A,-42.82585308272891,C,C,-50.49716855312425,-0.812435252961749,E,0
Physical,Hispanic,Heterosexual,Yes,B,-116.87507057514148,B,18.700758975010572,A,B,-37.44527977951337,224.5524845595319,C,0
Mental,Hispanic,Heterosexual,Veteran,D,97.05702527215797,D,143.96281826768964,E,C,114.82014546619797,45.14459930818797,D,0
Physical,Black,Other,Non-Veteran,C,-92.54304866892666,C,-32.063011023484265,E,B,126.58935006456082,-34.66137668347772,D,0
No,Hispanic,Other,No,D,-68.67130739922345,A,124.34433920662227,C,C,-222.70423328515676,-47.33787613888712,A,0
Physical,African American,Homosexual,No,C,-2.2412404098009615,C,20.211607713601776,E,D,95.14377905878305,86.81852381885946,A,1
None,Asian,Heterosexual,Non-Veteran,C,96.63950690884701,A,21.247539620708906,B,A,-74.83924475584442,69.25308145331894,B,1
Yes,Asian,Heterosexual,Yes,B,-107.70378397607128,B,-338.29521054495666,D,B,-50.00261165483973,-35.94122533695884,A,0
Mental,Black,Bisexual,No,C,-87.6009555958945,A,132.80936451886666,E,B,-96.36068345942364,-24.086250752671265,E,0
Physical,Other,Bisexual,Yes,D,-88.61113430027109,E,-30.73560329670449,E,A,-8.837226740312762,-78.30854784020865,C,0
No,White,Heterosexual,Veteran,E,-40.446508349661734,D,-1.5250305677320823,A,B,-137.3586891267597,94.2190900590205,C,0
Physical,White,Other,Veteran,D,20.724178991442766,C,-95.7619661227332,D,B,21.389992306763496,-48.15425698065608,B,1
Yes,White,Homosexual,Veteran,B,-48.38432477845663,E,-78.45196906358225,A,D,104.08134205274064,55.263764702822925,C,1
Mental,Hispanic,Heterosexual,Yes,D,17.187802827158315,C,-77.21561372990719,C,E,-28.127254489208415,43.86446879983708,C,1
Yes,Hispanic,Homosexual,Non-Veteran,E,17.590089296326834,B,-6.0030737502604365,D,C,9.844506693979213,36.72502817869807,B,1
Yes,Black,Other,Yes,C,-19.066755559827993,E,65.11612845189994,C,E,3.6995104359613133,-12.678979589462683,A,0
Both,Asian,Heterosexual,Yes,C,-82.98486789727913,C,-104.90020338270645,E,D,-14.503738084185299,-172.11184050945926,A,0
No,African American,Bisexual,No,A,-76.96934078536543,E,-72.09437609675324,B,B,152.4024150076088,23.829209435907035,C,0
Physical,White,Homosexual,No,A,-1.9516162645674522,D,-253.31492974973452,A,B,-79.51568808220303,-120.48253641861821,D,1
No,White,Bisexual,Yes,A,129.76697730075176,E,19.03335574001409,C,D,-36.453639763562066,160.20994510833677,C,0
None,Hispanic,Heterosexual,Yes,C,33.63190513511729,D,42.726009874483,B,A,34.36756547604957,-165.54674939433062,C,1
None,Hispanic,Bisexual,Non-Veteran,B,74.33363335568602,C,-76.2681048585559,B,A,36.67309056235464,-111.95249760906796,A,1
Mental,African American,Bisexual,Veteran,C,63.21707461958867,B,8.489403783733536,D,C,-21.198616517083956,-42.499243881608564,D,0
Both,Other,Other,Yes,C,-148.19292267992498,E,10.492982188537018,E,D,-38.364688347847434,-266.95224694641195,B,1
None,Hispanic,Other,Yes,A,32.7571287020541,E,34.16818558636639,D,D,-215.53863397196463,-40.509048222978564,C,0
Physical,Other,Homosexual,Non-Veteran,A,67.15247983893936,B,3.352094339341402,D,A,-40.9766025637875,55.35696333294888,E,1
Both,African American,Heterosexual,No,B,-85.05610385489217,D,3.5397336417808303,A,A,-174.06534378178722,-108.1249927913299,E,1
None,African American,Homosexual,No,C,-72.88662406645746,D,-9.852945280699796,A,C,126.62095486527029,16.190196258165184,B,0
None,Asian,Bisexual,No,A,-81.35122430972172,C,-186.90468051142344,C,A,-122.95111806632639,-1.2551505036517736,E,0
None,Black,Other,Yes,A,59.54029906655367,A,-54.29880073538423,D,B,99.91824236861166,44.271151537589105,B,0
Mental,Black,Other,No,A,88.68301661544305,A,41.14459472096801,A,D,-92.24846122461342,-105.18760825894195,D,0
None,White,Bisexual,No,B,105.12068259072018,E,-129.62658154345885,E,A,3.6099789339872035,-186.75544842184317,E,0
Both,White,Heterosexual,Veteran,C,-131.8545527682528,C,9.150314508062548,D,B,-6.728441570127833,97.84179157965147,D,1
Physical,Other,Homosexual,No,B,99.89348061903841,D,79.7047291244856,A,D,34.44662702391584,-221.15573475784873,A,1
Mental,Hispanic,Bisexual,Veteran,D,116.66926062421896,A,-84.46808774243965,C,C,-0.1496547278803549,108.09331526223886,B,0
No,Black,Bisexual,Veteran,C,-7.858914862186663,D,37.6414502853453,D,B,-34.282255243270285,142.42204182790934,B,1
Mental,Asian,Other,Non-Veteran,C,-49.93633000954845,B,-59.89306748332919,C,E,-12.058464943722806,142.77214139936777,A,1
No,Asian,Bisexual,Veteran,A,15.389849945027562,E,-97.59694534331857,A,E,104.00709186421584,88.17697300351999,E,0
Yes,Hispanic,Heterosexual,Non-Veteran,A,155.8550774960761,D,6.863712652133329,E,B,-32.506528018045586,28.512524844478165,A,0
Yes,Black,Bisexual,Veteran,C,115.14244015099852,A,-79.51614444437021,A,E,55.70302412301915,-40.49926144734279,D,1
Mental,Other,Homosexual,No,E,-39.19622818348502,E,28.482923151693107,E,A,-91.40905751472953,26.534537040968015,A,0
Yes,African American,Heterosexual,Veteran,D,87.02277090603681,E,26.4553834810187,B,E,109.67270873345743,1.4883425982722343,E,1
Physical,Hispanic,Homosexual,No,A,1.555276856861112,E,-98.18052606133266,D,A,63.516899476677814,-64.53227857190484,C,1
Both,White,Other,Yes,A,0.009833243486004808,C,108.05900066664992,B,C,-45.213500574723675,28.124303766585037,E,0
Mental,Black,Bisexual,No,B,52.65050483387304,B,-29.430739189771298,E,E,16.872345855969538,99.92582014259054,A,0
Mental,White,Homosexual,Yes,D,-141.81922237234994,E,7.103291275286386,C,E,63.48858044704523,-92.58471184016362,B,0
None,Black,Homosexual,No,E,-134.1173547292567,D,199.53087882332676,A,B,-89.79103099444276,-196.55709606530644,E,0
Both,Other,Homosexual,No,A,-104.03990497419625,D,74.05412132088644,E,D,-153.18551807476857,58.56548633312554,D,0
Mental,Asian,Heterosexual,Veteran,D,163.95862521903163,B,-237.975974913462,D,A,8.84590244996727,83.99796125791202,E,0
Mental,Hispanic,Bisexual,Non-Veteran,A,-60.62163862947708,D,65.84124136131828,A,A,132.62903440921838,50.93550317546802,E,0
None,Black,Homosexual,Yes,E,-59.08150753564113,C,-114.3958273507846,B,D,83.71889852267181,121.48781842263988,A,0
Mental,African American,Other,Yes,D,33.66013179376455,D,-34.555342096522,C,D,49.37500270377347,76.0264703610652,A,1
Both,White,Bisexual,No,C,30.56673959285258,E,-225.13058431746163,A,A,219.3713516586874,-74.00582697857969,B,0
Mental,White,Bisexual,Non-Veteran,C,-2.9118384114923237,A,94.87581827976965,E,B,16.262958791380953,87.2280873891401,B,0
No,White,Heterosexual,No,C,-171.3003689481465,E,143.69413825182096,E,A,19.640221933549064,345.09822323070154,A,0
Yes,Hispanic,Homosexual,Veteran,A,-171.42124682533336,E,48.471917356791124,D,E,26.079760092296905,-185.1790477001721,A,0
None,Asian,Bisexual,Yes,A,-50.536078499871486,A,134.14340819567005,A,D,-24.755920768334974,-27.736085905454576,D,0
Both,White,Homosexual,No,B,-205.24366752407525,E,-62.38514699417147,B,B,-192.77213571809222,4.291909042445811,A,0
None,Asian,Heterosexual,Veteran,E,155.99040382937184,C,-137.02528579017968,A,C,31.189662378195194,-98.07203824658117,D,1
No,Other,Bisexual,No,E,48.61834776556978,D,-26.907950499725857,B,B,121.71436352243362,-14.32057623127988,B,0
None,White,Other,No,A,134.24524450740634,A,64.26354076727004,C,D,60.007113069977144,10.322395567618882,A,0
Yes,Hispanic,Other,Non-Veteran,C,-102.59980859070367,A,-70.86353288823514,B,C,126.49539328542203,-90.58444110116267,A,1
Both,African American,Homosexual,Veteran,A,-120.40999010975244,C,88.57586253611738,D,E,144.2668067118472,-96.46348525316061,E,0
Mental,Other,Bisexual,Non-Veteran,B,-51.082228278657816,C,-147.4663233974885,E,A,14.004140944058621,20.04883145816914,E,1
Yes,African American,Homosexual,Non-Veteran,B,-46.95990487827851,C,-93.35458868829782,A,B,-230.04724052788484,84.16200072236505,B,1
No,Hispanic,Bisexual,No,E,-69.62345179552023,A,18.3066049917516,A,E,-51.17247382468958,19.99388578416749,E,1
Physical,White,Bisexual,Veteran,A,130.87588956710545,C,32.62835357114788,E,A,78.7573390978951,19.99212491683003,E,1
Mental,Asian,Heterosexual,No,E,71.96193617144834,A,44.84942969790508,B,B,124.92379178720792,142.16695093252667,A,1
Yes,Asian,Homosexual,Yes,E,73.50535235070053,B,-22.721974673137442,C,D,228.06465042661063,109.53236957555868,C,1
No,Other,Heterosexual,Veteran,A,-104.8456552661268,A,38.627007303413116,D,D,14.172677168873458,-62.15031546428455,D,1
No,Other,Other,No,A,-148.41179290523263,B,-144.71967644973503,A,B,-28.109022937469874,34.58505376395763,B,1
No,Hispanic,Homosexual,No,D,163.60430465625552,A,93.12808619515326,B,C,30.222048278273622,52.7101565430344,D,0
Physical,White,Other,Veteran,D,-167.127498984538,D,91.27955866211525,C,B,109.21044132262791,-72.37529453596602,A,1
Both,White,Heterosexual,Veteran,B,94.82908894799733,E,46.6816892685675,C,A,-135.3690626159873,32.924003730713345,C,1
Yes,Asian,Homosexual,Yes,C,-135.2339711101533,B,-57.17621502078083,B,A,173.2401496288395,-85.08496809981861,E,0
Yes,White,Heterosexual,Non-Veteran,C,48.62001712765943,B,-144.32792276750448,D,A,13.146161192397972,-77.65442869815796,E,0
Mental,White,Heterosexual,No,A,-154.20726481088278,D,-68.28349262062254,C,C,86.40078931659284,-27.79362897391373,E,0
Mental,Black,Bisexual,Yes,E,65.15874657963283,D,86.50990680061369,A,D,37.578722834513016,75.31538473478724,C,0
No,African American,Heterosexual,Yes,A,-99.38734358053057,C,19.953816567711115,A,B,16.69713819576198,89.03206289986844,D,0
Both,African American,Bisexual,Veteran,A,-130.06675224426212,E,4.974655073487897,D,D,93.75220287749052,59.53757374278308,A,1
Mental,Hispanic,Bisexual,Veteran,B,29.145761914158676,B,33.60056616414892,B,B,0.2533756642745445,118.24779088114266,A,1
No,African American,Homosexual,Veteran,A,122.30887079277639,D,28.18070969118888,D,A,-91.18934197755446,203.4883404445647,E,1
Both,Hispanic,Homosexual,No,E,76.02881915241419,E,-33.92207815513052,B,C,-18.614649166568576,-23.141392584386107,C,0
Physical,White,Other,Yes,E,-71.15050205361034,B,93.55493397922493,A,A,34.1909168679565,-69.59480224311831,E,0
No,Other,Homosexual,Veteran,C,-49.455005438823015,A,116.8944625124794,C,C,-41.134550572694,-47.61945534301866,D,0
Both,Other,Heterosexual,Veteran,B,146.42524794018846,E,-42.46156610768064,B,E,-155.74564612333623,29.294941363804533,E,0
Physical,Black,Other,No,D,-85.60745343492945,E,60.30596330318353,E,A,-103.37038740740829,-10.114710178674285,C,0
Both,Asian,Other,Non-Veteran,E,150.19094663112585,D,-12.483703984167033,D,D,27.851428985639842,-13.262513080401334,C,0
Both,Hispanic,Bisexual,Yes,A,186.36624852865975,C,148.0594775684714,D,C,67.10631832292209,103.4514000344261,C,1
Yes,White,Other,Yes,D,191.50029090763917,D,188.57458900624343,B,C,84.66354158422085,-1.3844942388674266,B,0
Mental,Black,Bisexual,Non-Veteran,E,123.67347590112767,A,-87.98607340758039,E,E,-49.38939287594395,-63.33225263985677,C,0
Yes,Hispanic,Other,Yes,C,-91.91183108567347,B,-37.16776936897539,E,C,154.65772831999226,84.63258292406624,A,0
Mental,Other,Homosexual,No,D,-24.75256380985142,E,-53.83849464138471,C,B,45.36067678196082,89.96510196447406,C,1
Mental,Black,Bisexual,Veteran,D,-0.14012870841485497,E,167.6001989769114,B,A,12.1326410909224,126.09238952557176,C,0
Physical,White,Other,Non-Veteran,E,-159.4075015496248,B,-14.71776812373739,B,E,-150.5002904373835,-102.16398390404873,A,0
Yes,Asian,Homosexual,No,C,-54.72587940476399,E,61.91998362959921,D,A,-54.54757909703412,-136.86016529612627,A,0
Yes,Black,Homosexual,Non-Veteran,A,-110.81863949240558,E,-14.703998185714976,B,C,11.875798543311404,10.045191667215914,E,1
Mental,Asian,Bisexual,Yes,C,77.62351947509475,B,92.9396534112859,E,B,30.112862077864616,90.23670233031379,C,1
No,Asian,Heterosexual,Veteran,E,-64.53697062867664,B,136.78300752057478,C,B,240.27180965894206,-105.57258438788341,C,0
Mental,White,Bisexual,Yes,A,64.7771435382207,E,36.78599493031053,E,D,175.28484451889523,1.3407346468509787,B,1
None,Hispanic,Bisexual,Veteran,C,40.74656529819978,D,-84.35936064970532,A,C,-29.832014967473174,33.71386643660289,B,1
Yes,Other,Other,Veteran,E,-95.8021487045661,A,83.02690086657661,B,E,-20.522408154824344,-73.08592569367337,D,0
Physical,White,Bisexual,Yes,B,118.32809991476813,C,46.74377945966955,B,B,-71.35088735162863,22.10331688793556,E,1
Yes,Hispanic,Other,Veteran,C,45.666135612076,D,37.93399024976202,E,E,17.595253539284027,208.74794733513335,C,0
No,Black,Bisexual,Veteran,A,53.31557213009596,C,-12.056266522476514,D,D,67.56693157367354,-36.978787881508865,A,0
Physical,African American,Homosexual,Non-Veteran,A,47.66748098998803,E,66.38448305819065,B,B,40.666735378444606,-107.34032203299839,D,1
No,African American,Bisexual,No,C,5.0625999785586,A,56.89370973688781,C,B,-158.8879789752968,-96.55224941917963,D,0
Physical,Black,Bisexual,Non-Veteran,B,-126.37471086044314,D,-76.01854436823614,A,D,113.68949965352093,-59.744130407979846,D,0
Both,White,Bisexual,Yes,D,110.23651853020024,C,120.45926180671542,C,A,35.191707877594084,-13.335708734516412,A,0
Both,Asian,Homosexual,Veteran,B,18.538226781425823,C,54.490133467419156,B,E,-164.29694194085764,75.75471974954732,B,1
Yes,Hispanic,Bisexual,Yes,D,46.94045533875049,D,-30.12457031291097,E,A,-87.38258521152139,26.696088710957234,C,1
Both,Other,Homosexual,Yes,A,-58.26841019651944,A,-32.110630070909615,A,E,-66.07627742802329,-74.74684332863085,C,1
Both,African American,Other,Non-Veteran,C,-53.44418210588704,D,-102.53725569368477,D,B,28.857458411962572,144.60812863982548,A,1
Mental,Other,Bisexual,Veteran,C,56.214296156035104,D,-216.627969950085,D,D,97.53175257789002,10.3487529247144,D,1
Physical,Hispanic,Heterosexual,Non-Veteran,B,-33.075509125658506,B,-29.20243012008774,B,B,-7.527589211718793,68.84681346976852,B,1
Mental,Black,Other,No,C,17.267823103221634,E,-29.67781471171051,E,E,-69.23125816646004,-99.14476574745608,B,1
Both,Hispanic,Bisexual,No,B,58.38735114973185,B,-56.336692375805185,A,E,-127.50193302948081,99.05666966057434,A,1
Yes,Hispanic,Heterosexual,Yes,C,-44.85066411949024,A,-15.243786308249513,B,D,-9.739755823021817,144.64564592432976,B,1
None,Asian,Bisexual,No,D,64.1378666281531,D,-41.07403662173885,A,C,-18.975120572344252,7.146780092747472,A,0
Both,Hispanic,Bisexual,No,B,-20.11895442119036,A,114.15055989844535,A,E,-154.12759259144661,-56.90896930313728,D,0
Mental,Black,Bisexual,Yes,E,29.094008285594025,B,77.11917129315586,E,E,-111.76180937237794,-85.26968181072758,D,1
Both,White,Bisexual,Non-Veteran,C,-17.74605882551382,C,91.72670303118518,B,A,-75.21617526834402,13.34659936342951,A,0
No,Other,Bisexual,No,B,-37.553196033861404,C,-83.17117923795989,B,C,-89.19096511297394,15.935811113341297,A,1
Yes,White,Other,No,E,6.195539716198836,C,-136.34051987803778,C,B,-33.05460444260308,-84.84044308485082,B,1
Physical,Asian,Other,Veteran,E,62.76327787905649,D,-66.48288420516386,E,E,-54.38444880045829,60.240284231266415,D,1
Yes,Black,Other,Veteran,D,-43.68278588557443,E,21.694610393194544,A,E,92.7451351321532,40.0066099521516,D,0
Both,Asian,Homosexual,No,D,89.65373507806996,A,9.897992731269795,C,C,54.90850460698846,29.747060698656785,C,1
Both,Asian,Other,Non-Veteran,A,152.31015671341308,B,26.281810773434827,A,E,-40.47903975719079,-115.22599508938862,B,0
Mental,Asian,Homosexual,Non-Veteran,B,72.09286037090959,C,-125.15607974618459,A,E,-119.92883032549233,93.03967720377302,D,1
Both,African American,Heterosexual,Veteran,B,-19.464811790545188,D,23.484558051683102,D,E,-31.362253504206155,120.36111428953933,C,0
Yes,Hispanic,Bisexual,Yes,A,-54.45209245030787,D,-8.212835513086054,A,D,291.2731969424845,-184.64512936908474,A,0
None,African American,Bisexual,No,E,-195.51728441307142,C,27.291167972856073,C,A,290.50017271606265,-65.31188762439601,E,0
Both,Hispanic,Heterosexual,No,D,156.74526925131812,A,48.12275555617317,B,C,-68.02864374628341,34.39388766948524,B,0
None,African American,Homosexual,Yes,C,-42.85558301679492,D,79.27512639583283,C,E,-183.26047889744112,-64.95917953989964,E,1
Yes,Other,Homosexual,No,E,95.0524871957905,B,-116.3586357767173,C,E,-17.223600922325613,-213.38669535780463,D,0
Mental,Hispanic,Heterosexual,Veteran,E,47.500957944203954,C,94.73942396430436,B,C,-20.691027127421652,19.190432222267667,B,0
Both,Other,Homosexual,Veteran,C,99.98519278679994,A,11.683502690755969,B,D,155.19202319712932,140.72555141611232,B,0
None,Hispanic,Heterosexual,Yes,E,61.97301696664258,D,-248.88656633477842,D,A,100.95982741060776,-28.91510517249667,C,1
Yes,African American,Homosexual,Veteran,C,-170.18480076030002,C,-95.70985640100699,A,E,-145.00952524765017,270.33308275817103,C,0
No,Other,Other,Yes,A,-55.284008757493275,B,55.700588724479,B,E,-32.71153806754,305.54411378780463,E,0
Yes,Hispanic,Bisexual,Yes,E,-6.039909429941303,E,44.2580188108395,C,E,25.476111581470544,33.485305921085974,D,1
Mental,Other,Homosexual,Yes,E,-94.04509962636287,A,73.96507201060673,C,C,152.44139321372015,-114.31009592796903,C,0
Physical,Asian,Homosexual,Veteran,B,18.86580151239369,C,-223.73294192480589,C,E,39.74197312064926,2.6121868010620624,A,0
Mental,Asian,Heterosexual,Non-Veteran,D,-23.194812333208244,C,192.76276867099995,A,A,56.78916349542907,-141.93520198817455,C,0
No,Other,Heterosexual,Veteran,C,-55.47225045033204,E,-123.1472411882133,B,A,-63.26838435705909,58.28756505883484,B,1
No,Hispanic,Homosexual,Veteran,C,-85.08245082133186,A,24.223894350510573,A,B,-44.43415222407287,-8.334101644050278,A,1
None,Black,Heterosexual,No,B,-84.49678591414646,C,32.18386548559383,D,C,-137.53153879868904,5.124843098325938,A,1
No,African American,Homosexual,Veteran,A,9.988327254175996,D,49.786849664874104,B,D,-82.6550397923731,87.07118668316454,C,1
None,Other,Heterosexual,No,E,231.77939980191024,A,-60.34385940245455,A,D,115.66769226525165,164.7513965631646,C,1
No,Hispanic,Heterosexual,Yes,C,75.5047160883015,E,6.013469794847409,D,B,-63.46232235442459,21.14679475709208,E,0
Mental,Black,Heterosexual,No,B,-207.06713696333878,D,-166.56349465091586,A,A,139.29972049249787,-51.05618709891612,A,0
None,White,Other,Non-Veteran,A,101.3144425271093,B,-6.351991822798972,E,A,143.90552121091568,85.9297279406585,E,1
Physical,White,Heterosexual,No,C,-11.922898771546176,E,136.13408057277576,D,A,65.12931209198078,-35.13170494367882,D,0
No,Other,Homosexual,Yes,B,6.845399364984542,C,-128.59571090143027,A,C,85.50091525216587,162.38187838896002,A,1
No,Hispanic,Bisexual,Yes,B,84.69202233966342,E,-16.5390899079379,A,B,69.3748215785766,-96.6271350574329,C,1
Physical,Other,Other,No,E,18.009094308947628,E,-6.758187730035958,C,B,-141.93993465702937,7.549650133897521,C,1
Physical,Black,Heterosexual,Veteran,B,87.40843163623072,A,63.232094296552575,C,E,-42.062982789308336,-1.3968239634694195,B,0
None,Hispanic,Homosexual,Veteran,B,53.132242157883944,C,-10.9433812194851,B,E,-21.79662651924178,92.39281521597619,D,1
Physical,White,Heterosexual,Veteran,A,-110.6638271951927,B,-65.64297353416428,D,A,104.21429905868965,-246.60808226914125,C,1
Both,Other,Other,Veteran,C,-32.56828805500629,C,115.01863144839506,A,E,55.997418697852055,-54.978688628513694,A,1
Mental,Black,Homosexual,Veteran,E,139.4937421971219,C,-182.05221060252634,E,D,59.31137837854858,7.218804437935747,B,0
Both,Other,Heterosexual,No,E,47.7942804715662,E,84.41101093918036,B,D,-73.62595228895685,133.56237398628625,D,1
Yes,Asian,Homosexual,Veteran,A,-128.29679935888902,D,-29.25591394287808,E,E,45.12227858775234,109.39207182240071,C,1
None,Black,Other,Veteran,B,7.923536476989465,B,19.84237130035307,C,B,-52.610414680177776,81.31524870410868,C,0
Mental,Asian,Heterosexual,No,C,-74.25810175077076,D,-18.829932444653743,D,B,90.49440487692132,149.46985211975064,C,0
None,Asian,Other,Veteran,A,-71.10184310236764,A,-73.42906816869827,A,B,4.763105475162147,83.95564306790713,A,0
None,Other,Heterosexual,No,E,59.92481430124449,B,-191.72200106498258,C,C,123.90416521598272,116.90388367030391,D,1
Yes,African American,Bisexual,No,A,2.240910457224005,A,16.931844415560853,E,D,171.07566620050062,-20.43072708400672,E,1
Yes,Black,Homosexual,Veteran,D,14.70323307733896,E,-64.0360587751253,C,B,84.02635391433822,-46.365073497418045,A,1
Physical,Hispanic,Other,Non-Veteran,D,138.80740608592964,D,-159.38613809432448,C,C,-297.1524813683739,57.61102100043891,D,1
Physical,Other,Bisexual,Non-Veteran,A,93.05710332600107,D,-89.5047695957118,E,B,156.80846463859783,-57.03716494168303,C,1
Both,Hispanic,Other,No,A,-70.11969815290271,D,98.5047841705987,E,A,61.49322751248626,86.24105935454938,C,0
Mental,White,Homosexual,Yes,C,15.736561336850668,B,50.59790590648711,A,D,-139.89211347761133,-32.80039571386197,B,0
Both,Other,Other,Non-Veteran,B,-1.7550395893087685,A,-9.582918424119814,B,A,122.33508404143522,-98.47688977626673,A,0
Yes,White,Heterosexual,Non-Veteran,C,-22.456274517437087,C,133.89470694807494,C,D,-286.62144298228293,10.170141963485587,B,1
None,African American,Other,Yes,C,-170.6765864688147,C,40.66068294409015,D,B,35.954009425698764,38.51232116314933,D,1
No,Hispanic,Heterosexual,No,A,-148.2251989934613,A,-17.21611068745943,B,B,-46.4844480782421,-90.23920842341896,D,0
No,Black,Homosexual,Non-Veteran,C,118.11124274697968,B,-25.33477209928124,E,A,-176.65552781508345,13.76639071285056,D,0
Physical,Other,Homosexual,Veteran,B,114.93203989983643,B,-14.21190874062129,C,C,21.520757909709467,-124.73223620438148,C,1
Mental,White,Bisexual,No,E,51.53667355954249,B,162.80606755880947,A,B,-136.6078303209506,38.603782023454016,B,0
