military,civil_status,race,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Veteran,Married,Black,18,D,-11.91803498487576,124.25795835754214,C,B,-25.341374338981375,D,0
Yes,Divorced,Hispanic,31,C,-170.45708471058379,-237.61114899365526,C,A,39.32915527372612,B,1
Veteran,Single,African American,72,C,-46.719495056543295,-9.877881027427145,C,B,-28.399153862565935,A,1
No,Single,Other,79,D,23.96491612098,-47.40253176755459,A,B,97.3949350769285,B,0
No,Single,Other,24,E,24.22295291122237,141.7114641257324,D,E,-43.90257009933223,E,1
Non-Veteran,Single,Other,42,E,-152.52002733527337,11.818057949296852,C,C,-113.64994640917683,E,0
Yes,Married,Hispanic,80,A,-202.15418608232252,13.911783781196242,C,D,161.30289098880553,C,1
Yes,Married,Asian,68,C,-161.41689670260183,132.91819696837536,C,E,-66.95893826014976,C,1
Non-Veteran,Widowed,Black,95,B,-73.23803143689929,-84.40673738470814,D,A,-174.8922843586959,A,1
Veteran,Single,Hispanic,62,C,-27.61788457719029,-172.42837704086114,B,A,74.25674150208393,B,1
No,Single,Other,70,A,147.31081111292409,347.05852010678404,D,A,-46.73032712165854,B,0
Non-Veteran,Widowed,Black,37,E,-87.66248919906803,34.313953828593675,D,B,-111.95137146403921,E,0
No,Divorced,Hispanic,28,A,-115.92154851269984,-173.4068480281791,E,A,-70.79366963687283,C,1
Yes,Married,African American,46,E,79.1658086323376,-56.86362441648958,C,C,65.11394561683527,E,0
No,Widowed,African American,29,E,54.77755503928824,51.17157590786642,A,B,-3.4223627061425,A,0
Veteran,Widowed,Asian,77,B,-121.35801672069246,5.832774703393411,D,B,-6.60086361438038,C,0
Veteran,Divorced,Other,67,A,-11.623269071861884,16.379431233660068,A,B,113.07194058791703,A,0
Yes,Married,African American,26,B,188.28987750897994,-205.9575308369419,D,D,-35.02011926768097,A,1
No,Single,African American,93,D,92.17930401080866,8.35480449643662,E,D,53.2616132632049,A,1
Yes,Widowed,Other,98,C,-160.2555243369508,-69.53705170896059,C,D,198.39468831843814,B,0
Veteran,Widowed,African American,29,D,4.799101143442735,-80.3514531258163,E,D,43.74126194363369,E,0
Yes,Single,Other,49,C,103.07641532745508,-81.65988163302731,E,B,-54.98516983882323,B,1
No,Married,Black,29,A,-28.968489684764236,167.3818646058417,B,C,21.245048909364574,E,0
Yes,Widowed,Asian,36,A,192.68752386904694,29.081107167975066,B,C,1.7314083146489685,B,1
Veteran,Widowed,Other,73,C,-69.12364988688857,113.53675867296809,D,B,158.49136028370975,E,0
Yes,Widowed,Other,73,E,13.123289719473346,70.74337235989134,B,B,8.482778435089974,E,0
No,Single,African American,86,A,228.27340560410465,-91.02289098877824,D,D,-7.758576449582394,D,1
No,Divorced,Black,56,C,67.51870485520413,4.544557794157374,C,B,-18.125114933148172,E,0
Non-Veteran,Divorced,Asian,96,B,-26.799792392757972,-9.787207882313066,E,C,-71.60873235594971,D,1
Yes,Widowed,African American,74,D,-29.038341079777464,-181.71173306645653,B,D,83.8764623248175,E,0
Yes,Widowed,African American,24,D,64.26962226806164,27.611247812439405,D,E,-40.365175366550524,A,0
Veteran,Widowed,Asian,42,A,6.256629832842106,20.940260352090597,C,B,-80.71152955517782,D,0
Yes,Married,African American,34,D,4.072615971668904,191.28504319591352,A,D,-121.52149807753993,B,1
Non-Veteran,Married,Other,40,A,104.16502036408828,62.800888449861844,B,B,-0.9115724461620014,E,0
Non-Veteran,Widowed,Black,81,D,52.822521663781906,-24.10173510254575,A,A,-74.48401551882584,E,1
Yes,Married,Black,33,B,-39.29065998563723,-26.475938979608436,D,E,-73.29913657655969,D,0
No,Married,Asian,61,C,187.99195156675458,88.17627298924563,B,A,103.65535675755746,E,1
Yes,Single,African American,91,C,-31.841102519278053,-257.84454430123384,C,D,234.14941183167102,C,1
Non-Veteran,Divorced,Hispanic,52,E,21.934042725645185,-86.12639014162372,B,D,71.25610835293907,C,1
Yes,Divorced,Hispanic,78,E,-285.1203742571211,-122.02987906342,E,B,-252.3074032865377,A,1
Yes,Single,Hispanic,19,D,15.203046996726224,-55.34121337213632,A,E,25.348770821141738,B,0
Yes,Single,Other,61,B,50.68573564879202,-72.38821274736974,C,A,113.14918471886426,A,0
Non-Veteran,Widowed,Asian,60,D,-70.18842556079214,-39.57505044601193,E,B,-110.65153367477285,E,1
No,Married,African American,20,B,-249.70168977461995,186.2522077937448,C,C,132.18525012399644,D,1
No,Divorced,Other,77,A,-32.621620863088246,-131.64601612710928,D,C,-53.682011159447065,E,0
Veteran,Widowed,White,60,B,-42.43093884210096,-176.93363605945405,C,C,274.0543541172878,E,1
Veteran,Single,Black,25,E,29.366164230074325,-43.36198764971253,A,D,140.6885428784775,D,0
No,Married,Asian,87,D,162.4038559084351,137.0117197858556,A,B,71.10313581841248,B,0
Non-Veteran,Married,Black,75,E,-8.588850458061152,112.94756718233802,D,A,17.97498721377909,A,1
Veteran,Widowed,White,56,C,59.13828492284547,-147.99915899290258,E,C,-62.74769646613113,C,1
Veteran,Divorced,White,45,B,83.45206505982017,72.8709209336409,C,E,59.02567801239697,E,0
No,Single,Hispanic,65,B,-1.5108903358751828,-40.676002398475106,C,A,-130.88686142926517,E,1
Veteran,Divorced,Hispanic,90,C,101.12013567726568,80.72838019223646,A,A,-101.74245153023844,C,0
Veteran,Single,Asian,26,B,123.32005719269827,6.109781701014031,D,B,-124.71715441110803,E,0
Veteran,Married,Other,88,E,-140.12698487631147,-137.21726031554184,B,E,98.50317406312524,A,0
Yes,Married,Hispanic,65,C,96.16719846457272,1.5651781707574874,E,C,20.69916991979467,C,1
Veteran,Divorced,White,76,E,256.3806739094041,-39.04586350203662,E,C,48.392513100073494,B,0
Non-Veteran,Widowed,Asian,80,B,21.39353369892737,2.0722263749347576,A,E,15.132611712587476,C,0
Yes,Single,Other,94,B,-204.7039538538463,144.4472454689266,B,B,134.9373738955106,D,1
Non-Veteran,Married,Asian,54,E,20.4280296156602,101.91418659214048,A,D,-84.84382990472811,E,1
Veteran,Widowed,Asian,80,C,16.79803266816885,-84.00496558279504,D,E,-52.35488211809619,B,0
No,Widowed,Hispanic,69,A,-172.85676984899914,118.40345769599455,E,D,-55.87167211313522,D,1
No,Married,Other,51,A,-60.4269680126024,-122.49996584395365,D,D,47.41981414384227,E,0
Non-Veteran,Married,Hispanic,95,D,-204.8768601701161,-10.200769485586614,D,D,-29.398689478983776,D,0
Veteran,Widowed,Black,94,E,-27.359330520349562,-301.1733323382157,D,E,-38.184007492543806,D,1
No,Married,Other,68,A,-45.785602707415634,-67.93182374254918,B,E,127.97140420582723,E,1
Non-Veteran,Widowed,Black,57,E,-48.0110028051097,-10.779663953008223,B,D,-7.672224250927077,C,0
Veteran,Widowed,African American,99,D,11.882849831886354,160.88632422719203,B,A,79.87481338036588,A,1
No,Married,Other,39,D,-95.15588376443263,33.96049453874914,E,B,84.35034469610427,A,0
No,Single,White,36,E,67.81959886442274,-21.99724109005576,C,D,-189.6877109984151,D,0
Yes,Widowed,African American,23,C,19.887047165493467,-162.26693398483678,C,A,98.09898150734335,C,0
Veteran,Divorced,Other,32,A,-149.9303390352955,88.98699707283363,E,B,-120.60976426806238,A,0
Veteran,Divorced,African American,41,B,12.94774079277132,-1.1927484036374572,D,A,-45.57487661307515,D,1
Yes,Single,Black,42,E,21.334249351808626,-3.630130185516825,A,C,151.49138508724377,E,0
No,Divorced,Asian,29,D,242.54836748415278,-76.95533351075868,E,D,-57.60500091739681,C,0
Non-Veteran,Single,Other,60,C,-122.90471496631739,3.381982677866106,B,E,-119.28489328308056,C,0
Veteran,Married,Asian,30,E,48.56539407678624,43.88881233532943,E,A,-33.11902616481529,E,1
Non-Veteran,Married,White,27,A,264.4408549162383,169.94839220940818,B,E,-123.2432720405694,B,0
Non-Veteran,Widowed,Other,82,C,76.32171006883618,-21.662630760246813,A,C,-284.2910368150556,C,0
No,Single,Black,53,D,139.72836047207804,-37.67211272981436,B,B,60.10101995537372,A,0
Non-Veteran,Divorced,Asian,28,B,-111.14294072119222,-35.294015850051885,E,C,-64.21443750754136,B,1
Yes,Widowed,Hispanic,65,B,-83.0916924280401,7.536787754172702,D,D,71.2683956613534,C,0
No,Divorced,Other,47,E,-59.21770125525032,94.22852693947867,E,C,-7.288648805580795,A,1
Veteran,Married,Asian,54,D,-177.7762053297993,-255.94763009260308,C,A,242.9281455992915,E,1
Veteran,Divorced,Asian,51,A,-54.413563674012835,-94.96496154650481,D,A,51.0188051269502,A,0
Veteran,Widowed,Black,40,E,-71.24713258204896,-83.5264124598425,D,E,99.79878073580034,A,1
Veteran,Widowed,Hispanic,69,C,-17.180006215049406,75.227370942815,E,D,-182.66623413733674,C,1
Veteran,Married,African American,21,B,-28.346686244414116,-248.7888081897547,C,E,-160.7240802818083,E,1
Veteran,Widowed,African American,38,B,47.50029860042895,-3.102927857673984,D,C,68.61381227725963,D,1
No,Widowed,White,76,D,67.46224076741589,-88.14191100413797,C,D,50.23454297950164,C,1
Yes,Single,Black,32,B,-26.435066790801613,-8.50664998783207,B,D,27.691850774879356,E,0
Yes,Single,African American,24,B,-55.813737308842384,246.2116832534476,E,A,-127.4573112203574,B,1
Non-Veteran,Widowed,Hispanic,66,E,-55.27812880535542,94.39849163625823,D,E,105.07856806654064,D,1
Veteran,Married,Asian,91,B,65.06358764639721,-116.49165880629432,E,A,31.326530211427155,E,1
Non-Veteran,Single,Black,73,D,-71.8245199546041,103.02112400170309,D,E,-53.989364894693736,A,1
Non-Veteran,Widowed,Other,50,D,46.31910787124992,-200.08897563418705,E,E,-181.32889273507158,B,0
Veteran,Single,White,90,C,7.484047394085974,42.96348686653664,D,B,41.06223763494593,D,1
Yes,Single,Hispanic,52,B,-114.20251952758447,218.02407879348272,E,B,20.54387427614165,E,0
Yes,Widowed,Hispanic,40,E,39.54998823727182,150.1716341302196,D,A,133.2404496311033,B,1
No,Single,White,59,E,162.93280678658027,-83.46335179579073,D,B,-71.92759283584942,D,1
No,Divorced,Asian,48,D,-57.17046199646,203.1498150705437,C,C,-36.211737316012155,D,0
Veteran,Married,Black,40,A,56.765720024015486,-129.77005754104968,E,D,-118.82172081212036,D,0
Veteran,Single,Other,76,A,-36.77800664981501,39.34141322171921,C,B,90.15165322148735,E,0
Non-Veteran,Married,White,23,A,94.31515542481634,99.23231224776575,C,C,30.470006162336265,E,0
No,Married,Asian,91,E,-17.098317570451087,52.263438746394264,D,D,156.2382449562938,E,1
Non-Veteran,Single,Black,96,D,-3.624947854489074,-5.519699580396159,D,A,-60.28351382847447,B,0
Yes,Single,Other,68,B,-214.17478093934875,22.4862575153931,C,D,-25.94045649192061,D,1
Yes,Divorced,Other,37,A,-49.204637493908656,28.97840081911204,E,E,-83.15555310653778,D,0
Veteran,Single,African American,96,E,-91.46046871225472,38.05131589272582,C,C,-189.11322863336096,C,0
No,Single,Black,81,A,-103.55378782192071,106.94114035061048,A,D,-106.8142967943596,D,0
Veteran,Widowed,Asian,45,A,29.533620914404203,95.74790823063088,E,B,8.05080027540296,E,1
No,Divorced,White,21,B,-69.20106636443741,4.068646229414754,A,B,-92.85217370080093,B,1
Yes,Widowed,Other,22,D,-161.1019525842623,64.91265392791496,C,D,190.2053175077001,B,0
Veteran,Single,Black,91,C,-45.01923096726769,33.45285068459191,D,E,42.86033149484339,C,0
Veteran,Married,Asian,32,A,-91.98105955485113,123.04746751219247,C,B,-90.29586490395506,B,0
Yes,Divorced,Asian,65,A,-63.43370768636929,65.91237640781762,D,E,72.62748557384646,C,1
Veteran,Divorced,Hispanic,49,E,-80.53039236738098,11.293840085922618,D,C,-105.10507496598929,B,0
Veteran,Single,Hispanic,67,A,77.29397679131988,104.80311769505595,E,A,-51.36796847951801,D,1
Yes,Married,Hispanic,21,A,64.2722636876305,190.78576282141358,C,C,-40.394836030464006,C,0
Veteran,Divorced,Hispanic,90,D,-61.43113976294533,17.052259993082032,D,A,159.08347315596149,D,0
Yes,Single,Asian,55,C,8.529426002036695,48.67244744208158,E,E,1.590349585401452,A,0
Yes,Single,Black,20,D,-22.55701572234323,-71.34116092267288,A,C,-52.50911206285894,A,0
Non-Veteran,Widowed,Asian,47,E,-8.96106128271857,12.098480035823506,B,D,-63.5947056974936,C,0
No,Divorced,White,58,A,-4.052813755089198,138.03936071462607,D,C,-41.51181228936711,B,1
Non-Veteran,Married,Other,28,A,-192.81670088811055,-47.681212114967956,E,A,-14.824905028600654,A,0
Yes,Divorced,Asian,43,B,77.65761024421207,52.840870775523754,E,D,69.35697949983044,D,0
No,Single,Asian,41,D,-64.00834031135972,78.7585966872507,D,A,-48.19462442503471,E,1
No,Single,Other,27,A,111.39286471226578,98.36469496029183,E,C,37.731110540760916,E,0
Non-Veteran,Widowed,Hispanic,21,B,-82.81727944230413,-136.06442720745125,B,B,-41.079697662980315,D,0
Non-Veteran,Single,African American,33,C,-166.15366018325756,-95.82535606272748,E,D,-16.815169625723577,C,0
No,Widowed,African American,94,A,-165.04003011509323,15.676509584437278,A,A,-9.767643435229617,B,0
Yes,Married,Black,35,A,63.153672088910064,-5.3029297970077085,B,E,-49.17029672397889,C,1
Yes,Widowed,White,88,B,3.2381181612253442,47.14536370844831,B,A,90.3663189522754,D,0
Veteran,Single,Hispanic,41,A,198.6693122857048,-166.53239314072272,C,D,193.01470056786113,B,1
Yes,Married,White,93,B,66.20680658096273,-75.7132934300888,D,E,-70.34294648419225,A,0
Non-Veteran,Widowed,White,94,C,-159.56360422080203,-101.44589824962722,B,E,121.1148167295813,B,1
Veteran,Single,Hispanic,66,B,-8.649933520187448,-190.24272691740157,E,E,-13.496095921780974,C,1
Non-Veteran,Divorced,Asian,87,C,37.07738983169485,-197.91145199496515,B,A,-5.083631034859229,E,1
Non-Veteran,Married,White,61,A,-49.09018110312307,-31.12247664999348,A,D,62.43502090468328,B,1
No,Single,African American,24,E,100.15904386050445,39.646354811721686,A,C,-42.74301174659661,C,1
Yes,Married,African American,90,A,113.00637857964722,22.92151172579268,C,B,21.944565338350788,B,1
Yes,Widowed,Black,44,A,-97.62185391931051,22.98572959668111,B,C,120.48786560986673,A,0
Veteran,Single,Other,55,A,-147.97723426323125,14.77079046822882,D,B,-48.259882610328944,C,0
Non-Veteran,Divorced,White,23,A,19.09995429475519,-132.7213687801209,D,C,182.32555137909193,A,0
Veteran,Married,African American,53,A,-105.62998357290255,-32.165509087920924,C,A,66.54389009789602,C,1
Non-Veteran,Widowed,Hispanic,70,D,100.36381043015407,-237.59861605218467,D,E,63.678084202986796,B,1
Non-Veteran,Widowed,Asian,62,B,-131.4982418345461,-65.65000509573372,A,B,-29.801797227301485,A,1
Non-Veteran,Married,Black,76,E,-56.38119415327952,70.98424016012814,C,D,3.6203864142201505,B,1
