disability,AgeGroup,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Both,51-65,80,C,-119.93091248244644,47.85171191342155,B,-93.21791992978171,43.370155955005224,16.639233507124317,-20.093606047602037,-67.37693646079947,0.28585226020467036,A,B,E,13.563940408151803,85.78712626703819,D,E,3.4324496181728543,1
No,65+,22,B,60.383990029737866,-172.43219298959062,C,-4.417052432126326,-162.50645633222126,103.14238589054148,-221.63695042720786,-51.456951806282916,58.660691039404966,C,E,D,113.66060640309112,-92.27367901214649,D,B,100.40128856056256,0
No,36-50,30,B,130.23150743214248,-100.57011811540309,A,54.42184384782327,66.17638271941587,167.6696876745015,-167.537470871247,-47.84244634090354,66.2802081357365,E,C,B,-70.1192961413985,71.85625682494867,A,E,-32.25929544681534,1
Mental,18-25,71,D,3.579862492196152,118.99628920853891,B,14.605647592323766,-41.70078021427264,-171.17744500462226,-114.50394528420395,-47.40928026928455,-297.2008365025831,D,D,B,75.89568956247795,83.98660879375147,A,A,-33.65140096244427,0
Physical,26-35,83,A,231.58587397921747,-92.15410415098317,B,-187.93105401765195,223.8548137009124,-217.91685934733266,-47.47781071348896,-48.06228043094924,-79.2752744746393,E,B,C,83.55504414888738,-45.006102245326204,D,E,-11.118541494833796,0
Both,65+,46,C,247.55467765835576,-44.1785253322028,E,-88.88868494293139,142.38817685627376,-32.80626392850362,-87.40111156512398,-184.12016925445099,-60.33534313943346,C,B,B,-68.11954025836721,-157.1653959276774,A,D,-233.86637415423615,0
None,18-25,37,E,7.180883999190127,-115.847159650761,E,0.7143901843858707,76.38189162546631,-4.424639778882523,-126.0273428726679,-17.070755969630202,105.51068977171415,B,A,D,36.79674133822464,-26.454629169066934,C,C,-60.48445616141003,0
No,18-25,26,C,43.90695436518365,15.626229589078747,B,-66.98318614802126,-247.64141793188216,-105.51487053459438,-12.536629492091464,-55.928294482108896,203.1277614534952,B,D,C,108.53996762173446,69.84161127993525,A,B,22.864655315851724,1
Yes,51-65,19,A,-10.072223404560384,-7.936946686421356,C,29.410112670833797,9.580159149193312,-191.25737365581904,-23.208840852375303,62.48685128921332,-43.85016467507993,D,A,D,-168.31222072263512,-25.694918261771903,C,C,91.45636811160833,1
None,26-35,61,B,56.642776166180575,-67.80489664556225,D,-130.5498480966805,-60.9283274719552,15.609427415216034,-210.83224664300957,35.24146941881526,109.27206688330328,E,B,A,-37.87293357277685,127.15168554205944,A,E,-29.097334943718067,1
Mental,36-50,93,D,30.414652428811145,120.81712646968228,A,-159.40931349226102,22.76346961390602,127.68494575375647,-114.76318247785706,-185.30695657477804,103.31906438046106,C,E,A,102.94257941915654,-13.92510730406846,D,B,-61.89309435294178,0
Both,51-65,54,E,-20.886487810222988,24.35493099787836,B,135.21756236324788,68.62547448720748,16.884679311775447,63.28914475693853,277.63236026888893,144.16786898557655,B,E,D,57.993840843289604,3.391700505924687,A,B,37.636504533868134,0
Both,18-25,82,E,-75.20197574258947,-40.15856958299758,E,-135.08150740931276,85.90443291228175,-125.64115522068471,-112.41253510602309,41.63938888327865,-18.83768291473565,B,B,A,72.68387889816526,42.025609143209216,C,D,-66.74345292225823,0
Physical,18-25,55,C,-91.74371912349555,112.09967125143774,A,135.2574216650071,56.99659656708388,-57.163377840137585,128.85184279303544,-0.534632369473496,-22.87421893337342,C,E,B,73.94337302858392,84.90838317992754,D,D,39.80448184901239,0
No,26-35,86,E,118.89265109584433,-16.53800011117362,E,51.8383626262447,-135.7998343250504,136.06486414758464,-97.72213188689649,219.69590477387914,155.21368566978683,B,A,E,4.1150737347764155,110.21713972799323,B,E,107.0817019573039,0
None,26-35,59,D,115.14478296279054,165.02925457983784,B,-25.627747479214047,-79.95338798614996,56.097815208921034,47.94427367960499,-2.63259838123962,-62.2752332814403,B,D,A,-169.60082857665884,-70.71638412971105,D,E,-75.7931287508117,1
Physical,18-25,96,E,67.19290921215496,29.778223963983883,C,20.598811987347215,-33.60444390948153,-5.373580084280464,-44.60034322301908,-125.17486076389699,-227.8342913396092,E,A,A,68.4571376725157,-60.61531273263391,E,A,8.737290282514303,1
Both,51-65,18,B,79.13446485158954,105.95946429806405,C,-2.698157904851507,-119.44645075589182,115.73737949675088,6.6625148688896445,10.687341000127844,-65.44540782319041,C,A,C,-6.47004371478008,-25.180190387712496,E,C,44.21504576174659,0
Mental,36-50,85,B,89.877268989089,45.76235831116291,E,47.1584388173729,150.35330207512192,12.602740921824257,88.61003368955114,81.5602448227885,-82.1101450216471,B,C,C,96.97635441854628,-119.98476381763861,C,D,26.312848341144,0
Both,18-25,22,A,-58.82536879250034,24.47205697942075,A,-160.30248717182374,211.8950793774768,-140.9700400910537,-160.58800636489246,-60.63348448425714,58.395185619346016,E,C,C,92.63025869260107,-132.62523568978585,A,C,-76.57955301901103,0
No,65+,99,D,-20.07482745103624,-136.44420388907454,D,30.216424737019636,54.61942790077068,-141.5310911927191,1.5747059300191903,31.560403313866548,110.25798255048753,A,D,C,51.90982397624173,6.970877464903784,B,E,77.7488414466102,0
Yes,51-65,63,A,-33.69981518241592,-43.2320782355533,A,-149.8614460742346,57.109725049074676,22.582093672649403,-107.39232324424954,-2.060004351634563,-111.83400922351856,C,A,A,-65.21182058027291,-102.72446391083365,B,A,-48.295148612720205,0
Both,51-65,82,C,43.322534908423265,73.04353145618643,D,78.66881832877007,33.36667968969223,3.006915106342251,-88.8244437464851,58.57868634725744,-7.630577384547306,C,E,E,13.688674580607385,-19.482793951983016,C,D,102.68271349570956,0
Both,65+,70,A,170.95152334354958,26.07397268636137,E,-153.43417360613384,-33.33116462220514,65.41677608071242,-42.16361734684982,-13.202767044611388,-109.01424555355237,E,C,E,-83.61426548339733,-105.77067072917583,E,D,-15.849225832240249,0
No,65+,67,C,-31.160350246417224,33.38744676279614,D,-57.01770574113508,-70.851427938007,43.916667458405,-177.12554917538702,-30.27812851717353,58.684065013066366,B,C,B,-59.49575873119397,-88.54824456302732,B,B,105.72906547470151,1
No,18-25,55,B,-137.88053216119332,167.2743931475405,D,89.62389051759095,-73.07262634699853,-281.48672760629483,-232.6358840135056,65.83211645843946,-48.37206664293142,C,E,C,-29.32839432010735,57.80800026936526,C,D,113.33397092388495,1
Yes,51-65,47,E,-19.954744702846263,166.86443557583812,C,-2.608731406960611,-235.0634302016573,95.98508311701596,4.812601859135652,79.35491557381972,-52.35781172527516,B,E,E,-113.89763502504732,78.83075765002751,C,E,-24.40919341300633,1
No,65+,48,A,-120.98146303666395,-11.232933790168136,A,104.48817798918881,-99.65763256606972,57.24795256479444,76.80448923447098,21.87865825888493,99.84301120019529,C,B,A,-59.99824512445907,100.44173662190717,E,D,3.9297675615737138,1
Physical,18-25,44,B,41.463362052334354,-137.04285876663667,C,88.6566122342487,23.26970285489013,80.4651017038409,5.9152143414761325,-33.2329619991813,81.3958822692417,E,D,E,-17.73132350969149,29.224528376561302,B,C,-53.73417273054366,1
Both,18-25,87,C,-164.92752388626252,100.6387415480895,E,-72.32235133943279,8.807484951777072,-101.24409830873593,-72.84811030680306,235.97533838222895,32.77893331046899,B,A,C,-75.1918762854566,-272.99932317194015,B,B,-82.99653000817561,1
Both,18-25,32,D,109.88407257278206,78.13884851316332,B,-11.579014543877548,84.22770147755732,85.10393950647848,-222.88949350318674,17.832662850913273,-102.0463579653718,C,E,E,-49.328108367483516,-12.947470914578805,C,C,119.28175453571268,1
Both,65+,75,C,-4.857009201109774,-78.18714960100455,A,-90.3124980790049,-8.576622386050452,-17.00370392632866,0.26192534995879624,40.26983904346123,-39.7011434101406,D,B,B,150.8350476114537,-160.73225238779355,B,E,-30.175124658507286,1
None,36-50,37,A,34.4493001130707,-47.97684305886032,A,109.97849963396791,-111.15534357528054,121.26192125372602,88.29443743618798,60.02469434047192,-13.233998582595309,A,C,D,11.60473679728808,-68.45122380267306,E,C,-75.92412089851793,0
Physical,65+,96,D,-52.65532964648689,101.36894687177991,D,116.91722272178929,-160.02750362980848,86.96969307383138,95.19827482441224,-34.14471725604713,-35.434278418054014,A,C,B,196.68449782050214,-113.78203252046863,A,C,39.298087047562404,0
Yes,18-25,26,B,144.9614502863406,-81.88294454491198,E,-49.74895952464261,-133.93891710736864,-184.71169244698478,-107.00180561641395,-129.30449652695674,-73.06794244057531,D,E,B,3.2287308662933007,-111.10313583863575,C,D,-189.6882042645417,0
No,26-35,19,B,-259.4691572419959,-27.6417419357253,B,182.87297906372925,-66.07724862615324,64.36986705898774,-3.6633361013850103,32.562451718768656,-17.250544011350545,D,E,E,87.66268871952039,126.69705325620096,D,E,-197.07542342866589,1
None,65+,19,D,-88.03368834365979,76.39867770349656,B,-41.69133418412495,230.85883985461325,-20.15220969478411,165.93532061237403,-75.91427175292714,80.11397431362478,A,E,C,-145.54944223472793,222.80363194303558,A,A,3.686717412682963,0
None,26-35,79,C,-103.79997116519174,89.76872675795063,B,-49.03953351125464,20.562689031073152,-186.70240992525325,-89.3534570900386,19.012211120095294,17.725068115783195,D,E,C,136.4515270591753,-90.29621572959459,E,E,20.163314152557483,0
None,18-25,81,C,43.974509856030686,6.804370409134113,B,107.37161748679334,49.4387951360715,5.5325962130910655,-33.88116755556666,-154.31966770254968,-94.15486162046614,C,D,C,-12.651260870165606,-39.75256444283952,E,E,-155.12663310533017,1
Physical,51-65,36,D,-32.364548430072105,111.24772833138785,D,3.467113289994524,10.76297592974603,102.27779016682337,22.173881838385903,-70.38775362242878,40.36870230864344,A,E,B,60.550491342140575,30.93352647235612,C,C,27.595266368489135,0
Physical,51-65,99,B,-50.63162603564787,70.29581031722947,C,117.73592274560897,17.838215892628906,12.958389648683902,111.61925006451652,67.2617082402615,35.47164253683868,A,E,E,16.60664999574688,-18.979886583371883,E,B,-28.774974489844478,0
None,51-65,76,D,107.22292892582863,-50.61321487928446,B,-285.4520259191863,96.24158322520098,43.06646244505548,1.9131586882093359,176.10410983307605,-1.309315682866075,D,D,A,52.19876572962858,-13.624554636059013,A,A,-29.492393876810745,1
Physical,65+,42,D,-138.2326565675971,20.7472600547588,C,26.324773394318225,-88.49708238877663,29.819492006405028,80.77940745068585,15.358363130748721,-135.43638741001263,E,C,A,-1.9925342989031096,62.26625452615334,E,B,27.385712475990324,0
Mental,18-25,85,E,59.813828468504596,50.421273856727254,B,-122.46248726226499,-44.50985272274281,-98.10297612983682,12.928195931889213,56.33465808777088,79.0856272725539,E,B,E,113.18063174379557,-70.50470800180494,D,E,156.63282246690127,1
Physical,18-25,21,D,-173.04733477757733,164.49627260463777,A,48.62627326507545,-202.75887262164622,3.9305244704407176,-194.8925982927651,13.752584104415256,136.2819043189277,E,B,A,46.00122395417361,-7.89719739876659,B,A,3.9052609101954947,1
None,36-50,41,B,31.33982865023327,41.3196643676474,E,86.94680913541828,-162.76275904360298,-34.318631165602675,46.416900312362955,-75.25331247663527,2.0920688245091688,A,A,E,6.254584779570559,12.858669823047759,E,D,-30.098786524468334,0
Physical,51-65,90,E,-226.63661159463174,50.52152073406793,E,-13.665700590046315,-20.783345439049704,18.144587762265406,110.2037817643264,-55.84497888924345,40.61192411079272,E,E,C,-39.80768700586285,1.7544805348153982,C,D,96.55643205580222,1
No,65+,28,B,81.78715965696831,-29.09332650219906,A,47.09821379208245,-142.0546426429912,-22.273602550370622,-8.880867001717167,-88.43408969782803,87.98952386811955,C,C,D,-55.28863142146431,94.40840052314444,B,A,68.39891188325295,1
Both,26-35,67,D,-50.32697287833246,155.33002076553964,D,-61.89615113249166,38.09620237576735,21.768604978078493,229.53839706983396,-129.32150825851977,58.81333635302969,D,C,E,-68.74545650983592,59.278768607182975,D,E,107.8574947738227,1
None,51-65,84,C,104.02908335882015,-103.23295638570467,B,-114.4950900049303,-262.2626386720497,-145.27263601039485,76.23503652821697,-54.576345531125746,9.022247184860852,E,E,E,48.01626715772755,-212.7431208626097,B,E,98.55560237236857,0
No,26-35,70,E,-176.93234505406818,98.20897954950534,C,121.22386999774358,-118.81508748039002,-27.406970368882217,65.53115000427593,-196.42071314516315,44.80575108565015,E,E,D,141.1776823081029,-231.21127890687694,D,D,-67.73187721260469,1
Both,65+,19,E,-115.32769379022929,15.233365042769215,B,-93.56474770554628,-140.6133654513513,15.650669873101533,148.74266461410767,-31.36718890016344,29.490577247123213,E,E,E,3.623995758175566,146.43118984000432,D,B,58.577251511240334,0
Physical,51-65,48,D,173.03253510878744,-54.22638766204001,A,-43.565450040770855,38.51532098204584,-62.59162902664793,48.340392688309706,124.77489457227024,142.74805314951152,A,A,D,-66.99078993789827,-214.53807221271765,C,C,-21.282380716341052,1
Mental,51-65,99,B,32.17129456585484,30.989738770515757,A,-69.40955766730393,21.324396182641912,59.40904082970337,-44.06826166060681,-190.24814079368892,51.08915924041087,A,A,D,43.58473168590456,-47.41823843827231,A,E,20.67967048578413,1
Mental,36-50,66,B,-310.69242856295307,58.29507953427291,E,-96.73080820889753,162.26672073140097,-53.335151935671846,-85.4916692078572,-63.64548578647861,-64.99676523605422,D,A,A,-14.076181045845521,-68.48950216988734,D,D,-63.27243772489752,1
Mental,36-50,20,E,190.35219744184602,-114.97344462643765,E,-134.26661618637175,93.8855024586001,91.9782678894743,-173.20612550418474,-48.79487210114032,-154.25468209572844,E,E,B,130.8261352074625,-135.72818001499303,A,D,68.50203095655488,1
No,51-65,54,D,7.166267248293205,-44.3189639454675,E,40.80743389027323,41.7980436766133,-3.426835676740917,-29.73825912350494,48.612459578851904,-23.92332908221363,A,E,C,101.55336759468227,-33.40643965441699,E,A,-45.57396277935559,0
No,65+,54,D,-101.58203330477305,-105.54307168017208,D,-97.71561141298507,109.52217836619711,21.937622619092455,24.038242107597423,-116.5284901402855,-163.00398303481117,B,E,D,-33.3522065387869,-48.1625565221779,D,C,54.590766267928956,0
No,51-65,79,E,-38.013717887250706,-43.866509798670954,D,-62.26832342399159,89.79039588638962,-92.52202723123746,-14.713956842992253,7.598875371673241,151.49361317872453,A,A,D,161.6836417536464,98.55073937819719,B,E,81.94724552680928,1
Physical,65+,90,E,61.89599809070748,6.237822633260444,B,126.32173511756378,-19.233611369984473,-81.9565179657889,-65.53265544676744,127.64261648496982,-97.95771127706854,B,B,B,59.82996567568984,15.686964861778272,A,D,50.899346530879605,0
No,51-65,76,A,146.67382550526682,-123.56022447562896,B,169.39408379167594,12.407639972125535,-63.03296836780442,-89.13309228744711,57.26563671500898,-68.39808467072116,C,A,C,153.51575649851233,57.47259792775935,B,A,-110.81864810166704,1
No,26-35,55,D,82.10644821310773,-24.121915431179662,C,91.76231490292376,-51.53828540509884,-2.163981303989722,-12.056547404478932,171.69752021266805,-94.43274038406686,D,B,B,-111.41413774979543,-70.67495336583853,E,D,-2.899410102817056,1
Both,36-50,50,D,-137.9278155155648,259.24485728464634,D,35.955389814128914,-251.57194493742713,33.42603344255249,-2.903621822300572,-4.200137870763193,-56.433042379744016,D,B,E,-74.99303333811879,46.56453963323559,D,E,-112.9865455427784,1
Physical,18-25,79,E,119.87301420067762,-84.85268467817133,E,-88.70443263357896,-176.37644725744659,44.75325036964891,88.30941926750637,-154.184912026421,-208.0223590519179,B,C,A,1.67862607517847,-8.80268382437271,A,B,275.74601190428376,1
None,26-35,54,B,112.2317774043907,141.55577003358613,A,63.431449225926514,19.81787289860785,58.46757379998328,80.08558857396105,-93.11332697479527,-52.98272397056151,E,A,E,-154.8719156018808,-154.3103266757941,D,A,1.413833263685378,1
Both,51-65,91,B,65.36739681731645,-168.80197377739051,B,147.9359240546347,-190.66132875061723,2.2152531878639516,-1.0328215487272951,-132.42078036314075,-130.61182527677312,C,D,D,-30.760947434863606,-95.56298875388445,A,E,147.3724951671227,0
Physical,51-65,86,C,-283.386757256866,-82.58404154992952,A,-87.20681416572876,105.1259820247437,-49.61652220282885,28.309431739607216,73.81497267528951,142.89850974946268,D,B,E,126.04005110373502,-29.914654676184277,B,B,84.2574985597602,0
Both,51-65,98,A,-125.04985667968486,-226.93026352096103,B,8.552326558338342,75.74546155287946,-12.229898219739265,239.0659338911642,-229.3483530626025,135.6105138433305,C,A,E,98.91909460572259,54.854851586096686,B,B,104.25063615413688,1
No,18-25,95,B,-27.48709981941129,31.210747692198964,C,-37.222422902731374,128.6086733926081,15.520885185877054,48.25233130038762,-78.3662408799346,69.03188174515952,E,E,B,-15.992600909611888,-85.34946533478653,A,A,-17.68869132051136,1
Mental,26-35,50,B,41.44493597205417,-24.47335371410345,E,-145.53613317085765,66.92078061175353,-58.9867437682572,75.73727739244217,17.21503011177176,55.16486834785338,C,B,A,-0.050305064020897045,245.20039712931109,A,C,-33.24687619150934,1
Physical,36-50,56,C,-25.850148246070937,48.061950985886284,C,-33.499028355178346,67.24771450073558,94.2735238969417,32.64828700404162,58.05764283196487,-110.12751038579121,C,E,B,154.83704174904207,-90.6852934984405,B,E,-91.71989474843608,1
Mental,51-65,46,C,-99.65504244412247,157.84447031183126,E,62.38854634912136,73.88815704974606,185.7635616617571,46.91847627931167,22.69776503857609,-55.47553819617086,A,B,C,118.50913673127938,-3.047300567221081,D,E,307.2891491409988,0
No,18-25,65,A,46.291979262842275,-57.11132245462181,C,-96.11963462467918,-19.57934399051301,109.22110848504273,143.06217708310237,124.29151542633679,109.6974761442979,E,E,B,-19.750044680349305,-77.05669329173436,D,C,58.5507594215495,1
Physical,51-65,50,D,-79.35136063736265,-35.86882196192545,B,-184.9460917474185,101.49711457312918,5.835165689630728,-2.0660898169041464,-58.96966568835258,-75.1014732135896,C,B,C,-35.235303212782284,-40.61830721227162,C,E,1.397406375113729,0
Both,51-65,42,C,34.83818619895275,171.5788106138453,B,-30.05580957501187,-38.753672461761326,-124.16969823552064,4.077422836778197,164.55565151277648,-84.48925237481588,B,E,A,-21.516434452790115,-198.67565187103483,E,A,-32.045179013194144,1
None,26-35,82,D,139.97897359244246,76.40766770903853,C,-42.08883857209519,43.60841217434738,20.55177233910477,75.81410664780721,154.53288316293893,-46.295109042722686,D,C,E,162.40657988885044,65.7671550168657,D,B,61.87404076818507,0
Yes,26-35,74,B,-24.70110584721153,-26.265751641093804,C,-84.11101259497171,-124.6561479361873,10.807241082772084,-23.5963966373213,47.115635998822725,58.58263012510545,D,C,E,-101.2955815230115,97.73694142739579,B,A,-135.35239606743977,1
Yes,26-35,85,B,142.74214858642068,20.957132106056868,B,114.25327988460911,70.28505181520256,10.914082194399127,29.660555687557945,-42.43937702760023,-5.773568722992191,A,D,D,-12.468927331486094,46.49719291592731,E,A,-214.6771914168045,0
Yes,26-35,57,B,136.37551181756817,61.04931451996654,B,76.74173651810024,6.075901038724091,74.7056505354433,-54.92702420687062,-35.34352854497204,32.66879249969883,E,A,C,-150.3248877089308,-64.70068290398551,D,A,109.92592624954045,0
Yes,65+,95,D,81.24120206018985,209.88069352877326,E,165.00419302485693,-76.88240779006205,-114.91198142694192,-22.989159306192313,-6.959939020087375,-135.89496414896368,E,D,A,-59.930801038308644,-90.59685846602494,E,A,-200.52762791868872,0
Physical,65+,52,A,155.11364818446776,83.23480250843387,C,-66.4827752986545,-98.47254379057216,209.807892466419,-18.69390612939052,-103.95843101905035,28.454819686516018,D,B,A,177.25495657873043,85.2372949188002,C,D,8.736649329054023,1
Mental,26-35,48,A,-108.52139664213183,-41.73658635060398,D,-98.68583204848403,6.03375745430085,11.874688876068031,-42.40824031314986,242.1767606027105,23.370220982449496,E,A,D,-98.40910360256862,-7.832241977276958,D,A,-44.41102901746843,1
Mental,36-50,68,D,115.85938966820454,105.77218254022081,A,-20.220309326950748,-165.82176017320268,-57.59130948704212,-81.55368557762203,40.202151928392986,90.09012982495945,D,D,A,-160.86252448989683,-8.487464212690693,B,D,77.48079296448076,0
None,26-35,69,B,-15.633299379440965,99.40300555349776,A,102.12156601608318,-43.59451849463732,-28.226269700840856,183.4603189196318,13.177666870970983,-29.9487412181068,C,E,A,-38.97822277624336,-226.58815225243916,D,C,253.9614837467258,0
Both,65+,58,B,150.26331708634444,97.6187170387352,C,-192.95221561843644,-17.084504536279095,-46.26540287195174,5.519679483696326,-135.40683389609234,33.78635488372214,E,B,B,100.8997520137495,-130.59485621119288,A,D,112.51124783357056,0
No,18-25,34,E,-24.315661992034627,-143.81069107870138,E,-70.8634964129985,-69.07799403267151,20.9722829303768,42.09872116296099,31.902627812738494,-99.86940786706768,C,A,D,-205.89353702695976,-98.61773935376628,D,E,8.524342132073876,0
Both,18-25,74,C,-97.78134071349164,71.90415104686465,B,-24.63492042927216,-62.24703062909172,58.47869984309657,8.731852054992869,121.78437013292822,-131.56602020187322,D,D,B,-88.57147987080708,-27.635777511077308,D,B,16.831389151122075,1
Yes,65+,99,D,110.61223102730725,-87.1711416988278,B,35.23962860857535,-83.77419617271823,2.1653247513024443,184.72605828119825,24.799434604655247,-81.53450711672137,B,B,E,142.81737423236652,4.818131990263667,D,B,38.416377049478925,1
None,65+,40,A,48.126281498893,-145.21225769598962,C,-58.50533639276306,-43.552190526381246,-160.64688858188563,-119.93786836423493,-102.7344746601796,-27.69330316727706,B,D,A,11.731582459163178,158.9945126723388,A,C,-64.71657816569825,1
No,26-35,72,A,33.02171044341484,82.51543418276358,E,58.080553082613186,88.96626392891008,99.64599134011205,63.47573780241768,148.86275647219807,-81.39864806485117,B,D,B,130.96273190916182,-84.79439088465905,C,D,84.47259057697264,1
No,51-65,81,D,-94.47697499220146,28.64650732436394,D,63.855061159722226,-25.278595828052524,-320.8702381484492,-15.142966088146977,-29.37072456206665,-132.66283114350932,C,E,D,-27.410837100778924,-94.10177857415731,C,A,-23.997224962745335,1
Yes,26-35,68,C,75.99125486754836,246.04564097292183,A,-117.21635987414439,-32.847542759968746,132.61213791532518,-2.503854906183014,-5.55093443615698,-9.27049656880322,E,A,D,-45.91072741260106,88.9452443073599,D,A,-71.16522126749196,1
Mental,65+,22,E,-57.587497383657016,-7.833458586877706,A,-198.39094729678513,-114.27716726908696,-162.75568827167777,-94.22314140213062,45.33836764467192,104.22877223038543,A,E,D,164.21990944176895,-317.7738435825819,B,E,10.034294492054885,1
No,26-35,77,C,71.72703564227722,-59.07906764311092,E,28.19990277378365,107.85202848769255,-62.80717720305348,67.74955642853,-94.93316864256869,14.164431908766689,A,D,E,111.44113289387658,-19.47561364124558,C,B,-181.3465107222005,1
No,18-25,27,E,37.3975641976678,173.299943954825,A,60.682971554442524,-107.24719192382406,-33.26513392608719,-68.87543246571997,144.17843255624692,-93.99661641142873,E,B,B,1.2780346005516316,132.9760275403826,E,C,-58.42113741520934,0
Physical,36-50,52,B,0.7273890120256312,104.06059408988897,B,142.01442866498525,146.19066872670356,49.3904208544949,-165.81950671387767,-212.50925283650525,224.05515901164227,A,B,A,64.07830022953644,91.70961794635909,B,B,-135.1836880858978,1
Yes,26-35,60,E,233.79539757724382,0.3261768944161241,C,-26.95783487312512,21.15476196560007,201.32363661219222,8.424855595779396,15.347232321776952,97.20801788706707,D,E,A,-80.6926616610087,-26.546092218193817,D,D,-84.54706109873399,1
Physical,18-25,29,C,32.906566766624856,35.379279021898036,E,15.032653878360602,-38.18967174884384,-141.30708166568024,49.459471161125435,53.424701545451846,-122.39306848040434,B,C,A,79.01911273584368,60.257891520845256,D,A,63.199128252910455,1
