age_group,SEX,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
18-25,Non-binary,Divorced,A,E,B,-38.18221890358208,E,B,-102.44632810115377,1
51-65,Female,Married,D,D,D,42.33794555746487,B,E,72.38872089919084,0
36-50,M,Divorced,A,B,D,-9.333669832392863,C,E,-84.48061004091394,0
65+,Female,Divorced,D,D,C,22.15875227001981,E,B,65.07907306705147,0
65+,Female,Single,E,A,E,-55.99498223676319,B,A,-27.401344640352427,0
26-35,F,Divorced,B,E,D,119.36905775954816,D,D,69.7306741046182,0
26-35,Female,Single,A,D,C,-344.4581104041716,A,B,-140.35714170000838,1
18-25,Female,Single,A,B,D,-198.62130797146767,D,D,-59.26937178788793,1
36-50,M,Divorced,A,A,D,28.110713865522367,D,E,-64.3596702372648,1
26-35,Male,Married,C,A,E,8.249233719230983,A,B,-55.45608886783264,0
51-65,M,Divorced,D,E,A,-64.88881365556998,C,A,60.31260177345631,1
36-50,Male,Single,A,C,C,32.00486470953529,C,C,-144.86417880795557,0
26-35,Male,Divorced,C,A,B,131.07430485794188,C,E,-157.50214350879165,0
51-65,Other,Married,A,B,A,-84.94833022721188,D,E,-46.40403094812399,0
51-65,Non-binary,Married,D,C,D,138.7166983099974,A,B,27.015865898790825,1
26-35,Female,Divorced,E,D,A,42.11029880614347,E,B,120.69972878814939,1
36-50,M,Married,D,E,B,-156.0213654754951,C,D,-68.66446786318366,0
36-50,Male,Single,E,A,C,-84.90683609174842,B,D,3.3432612874234566,1
36-50,M,Divorced,E,A,D,-98.24809945971654,B,C,13.086213593881885,1
36-50,M,Widowed,B,B,C,3.0528810562283755,C,E,-61.83913439592017,0
26-35,Non-binary,Divorced,D,B,D,6.99034033034491,E,D,-60.32814553174985,1
51-65,M,Married,D,E,B,118.22348215459886,C,A,17.27330418942318,0
65+,M,Widowed,C,B,C,6.610633784443872,B,C,-157.77361843937055,0
26-35,M,Divorced,D,A,C,71.02307567624567,C,B,136.9603702731969,1
36-50,F,Widowed,D,A,C,217.36605516906508,D,D,-176.59744691361064,1
26-35,M,Widowed,D,A,B,-31.39313133740434,C,D,44.37063222660116,1
18-25,Female,Widowed,B,B,A,132.96918023864367,D,B,-140.80735036046988,1
51-65,Non-binary,Divorced,D,C,B,123.30140119468413,D,E,-119.23244043765312,1
51-65,F,Single,D,C,C,7.0059485015453395,C,E,255.81540855148953,0
51-65,Non-binary,Married,D,A,E,155.2063527536351,E,A,-152.07753087399476,1
51-65,Non-binary,Widowed,B,E,E,20.966156632465342,B,D,-49.49781120139792,1
65+,F,Widowed,B,A,A,-23.513304668037115,A,D,6.145858219415479,1
18-25,F,Divorced,E,A,D,-53.1083662257308,C,E,25.219406750824646,1
51-65,M,Single,A,B,A,88.6241102847553,B,C,145.26317616807881,1
51-65,M,Divorced,C,A,E,-69.67395188674388,E,B,29.355629651041376,0
26-35,Non-binary,Married,A,E,B,-124.08377956536629,E,E,132.76824055532134,1
26-35,Non-binary,Married,A,A,E,57.04954116805118,E,E,11.470611339752802,1
18-25,Non-binary,Single,E,C,E,85.91312083442179,D,A,-178.11137891952217,0
18-25,Non-binary,Single,E,A,D,32.95936030363957,E,B,-98.55398200551735,0
26-35,F,Widowed,B,E,D,-119.68753746834236,A,C,24.571764477220395,1
26-35,M,Married,C,B,B,-122.43917624954929,C,C,37.02625022321023,1
18-25,Non-binary,Married,E,C,C,146.04690385736097,A,B,107.07368077213894,0
65+,Non-binary,Single,B,E,D,5.547954475915336,E,A,64.73247396634841,0
65+,Other,Single,E,E,C,6.5835366147595,D,D,-8.11776554807861,1
65+,Male,Widowed,A,A,D,107.84432758786824,E,D,-31.845368810428624,0
26-35,Male,Single,C,D,D,-9.961808753980419,C,E,50.07019610271123,0
36-50,Other,Widowed,A,E,B,-55.55964672724966,D,C,-51.08662502890717,1
65+,Male,Widowed,D,C,D,1.6238419519688054,E,D,-34.23776863510518,0
65+,Male,Divorced,A,B,C,-225.42533021956962,A,D,-5.08531499045916,0
36-50,M,Single,C,A,B,-292.57744847737126,B,D,80.11019413473934,1
18-25,Other,Single,C,C,C,-74.21912863046475,C,E,218.91504723575633,1
36-50,Female,Divorced,C,D,E,69.3457153128268,A,D,-156.35670061296233,0
36-50,Non-binary,Widowed,A,E,C,-14.247123679557887,E,C,-175.50278417147493,0
51-65,Male,Widowed,A,E,A,132.72410138044484,E,E,62.54499547054534,0
18-25,Female,Single,A,A,E,111.68690045895518,D,C,-138.16414056631342,0
51-65,F,Widowed,E,A,B,-47.69136066199043,A,B,-162.32133932787477,0
18-25,Male,Single,B,A,D,96.53384254749943,E,D,-29.99906884332261,0
51-65,M,Divorced,D,A,E,-77.40220957741246,B,D,-86.42677734485528,0
65+,Other,Single,A,B,E,-20.457351797574034,C,A,-90.4513842197763,1
26-35,Other,Single,C,C,C,0.379756071849679,B,D,200.979680687959,1
51-65,Male,Single,B,E,A,15.093372057701743,A,A,-153.0074633955109,0
26-35,M,Divorced,D,C,D,162.7987333426721,E,E,182.2361047118444,1
65+,Other,Divorced,C,B,A,-4.59391288860972,B,C,36.99258079791646,0
36-50,Male,Single,A,B,A,-64.29946458028554,A,E,-69.11945759233868,1
18-25,Female,Married,A,D,B,55.69085507602431,B,D,56.322415136535334,0
51-65,Female,Single,D,C,C,-20.81418838701213,E,B,54.32927224801816,1
51-65,Male,Single,C,E,E,115.77569338468139,B,D,27.446066193132733,0
65+,M,Divorced,B,C,D,160.69060469262783,C,D,33.78943908140622,0
51-65,M,Divorced,B,E,B,101.88910738299997,D,A,-3.8031889210541237,0
18-25,Other,Widowed,B,E,E,84.63821893891009,A,A,55.51997855780657,0
18-25,F,Married,C,E,C,215.27602375694465,E,A,16.94687126928841,0
18-25,F,Married,D,B,A,-135.90607401990533,E,C,157.40689900794075,0
65+,M,Divorced,A,B,A,-110.99337164541532,D,C,-54.04308490371692,0
51-65,M,Widowed,B,E,C,50.673146157319934,C,C,131.42498018460861,0
26-35,M,Widowed,B,E,A,-40.75836197287101,D,C,-79.35047812225025,0
36-50,M,Divorced,A,D,E,18.974934208328655,E,E,83.00730085446335,0
26-35,Male,Widowed,B,A,D,64.2779608649059,D,B,-110.18232614111396,1
36-50,Female,Divorced,D,B,A,34.082861735080314,C,C,18.93727415752847,1
51-65,F,Single,D,C,D,-18.953622895058405,C,E,182.42914417622077,1
18-25,Non-binary,Widowed,B,C,D,37.93961555240225,B,E,-77.96840137672825,1
51-65,M,Married,E,C,C,22.310525086771463,C,E,-42.79703975280994,0
65+,Non-binary,Widowed,B,E,C,48.35433293387194,B,A,20.192560409275696,1
36-50,M,Single,E,B,E,-38.17994428586006,A,D,183.1486736204287,0
51-65,Male,Widowed,E,B,A,-30.40470175115529,C,A,-100.30832637955216,1
36-50,Male,Divorced,B,A,B,-10.728734255035176,D,A,-13.326298642187803,0
51-65,Non-binary,Divorced,E,D,B,-68.56918014517191,E,E,95.50007210487098,1
36-50,Male,Divorced,D,E,A,-105.99976779543616,A,A,127.14896581826464,1
51-65,Other,Single,B,A,C,-39.88835482196507,C,C,82.26235126867475,1
26-35,Non-binary,Widowed,A,E,B,-52.88384981202054,E,A,113.49908133032433,1
18-25,M,Married,A,A,A,93.55687788107569,A,D,-46.702577505470614,0
26-35,Male,Divorced,D,B,C,166.26334917950643,A,A,-162.31342362448024,1
18-25,Female,Widowed,E,B,E,-20.830478675316577,E,E,-95.38968899951277,1
18-25,Non-binary,Widowed,C,A,E,0.7085166918501582,D,C,0.014729120871452112,0
26-35,Non-binary,Widowed,D,C,D,-84.63446791284171,B,E,-86.50598193457797,1
36-50,Female,Single,A,A,B,192.32822937540902,D,C,103.73091280241556,0
65+,F,Divorced,C,E,A,207.83483834460262,B,A,-46.142021310446225,0
65+,Other,Married,E,E,E,-36.244232087330666,D,E,-40.89861678055759,1
18-25,Male,Married,A,C,B,129.81650405237468,B,A,36.443798696206095,1
36-50,M,Widowed,B,B,B,-117.80863937235114,C,D,-86.65688603484344,1
51-65,Other,Single,A,A,E,16.53542539695915,A,B,-84.82491516489462,0
51-65,Non-binary,Married,B,D,A,-22.382441122169954,B,E,-41.875031790922954,0
26-35,M,Single,D,A,D,2.2055799332555,B,E,67.98859818345146,1
36-50,Non-binary,Divorced,A,C,E,-22.483362153910793,A,D,-206.02677190803828,0
51-65,Other,Divorced,A,D,D,-43.82410773588614,D,E,-130.34189916578808,1
51-65,Female,Divorced,A,A,D,73.5273533614111,B,C,-193.04563205185838,1
65+,M,Single,B,B,B,-178.96742870536323,D,A,73.44648426889525,1
51-65,F,Married,D,C,B,-30.11650170660695,E,C,-133.82483967251747,0
26-35,Non-binary,Married,C,D,C,-136.37232914361888,C,E,-17.047798197532906,1
65+,F,Single,A,B,E,3.3356925998479454,E,A,75.42857418549272,0
65+,M,Single,E,E,A,101.913318792679,E,C,-112.83606977469904,0
26-35,Non-binary,Divorced,A,C,E,60.80303154269904,D,E,48.90663282414879,1
26-35,Non-binary,Married,A,A,D,-8.294569577893881,A,C,58.21781098660232,0
18-25,Male,Single,E,A,C,-18.006050084609917,D,A,124.57243193920186,0
51-65,Other,Married,C,B,C,85.10839758508848,A,C,-168.5039098991911,1
26-35,Female,Widowed,B,A,B,-229.6914752207739,A,A,-100.5938819216331,0
51-65,Male,Married,E,C,E,57.73225625804034,D,E,-187.84078988362504,1
65+,Other,Widowed,E,A,B,-18.865979045375525,B,E,174.4345642876111,1
18-25,Female,Divorced,C,C,B,-46.58521903623794,D,C,86.3502804059545,0
18-25,M,Married,A,E,B,52.88882659588513,C,A,-16.052692057129065,1
26-35,Female,Widowed,B,E,D,129.214016982067,A,B,-26.24972483524064,1
18-25,M,Divorced,C,E,A,102.68398864950963,A,B,158.1500945748859,1
65+,Male,Divorced,C,E,A,18.851614107878934,D,C,45.64049031996932,0
26-35,Female,Single,A,D,D,45.37860911357871,B,C,-31.04969747248672,0
26-35,Other,Married,B,B,B,-148.67737945013707,B,E,211.86241327863428,0
51-65,Female,Single,C,D,B,43.6982311483036,B,E,53.37595218738328,0
26-35,Male,Widowed,A,D,C,-84.82651058173683,E,E,100.25578641798873,1
36-50,F,Widowed,E,B,C,39.57273710144931,B,D,-7.697286233440558,1
51-65,Other,Single,A,E,E,90.78910405787887,D,C,195.30144886247177,0
51-65,Female,Divorced,A,C,E,28.59241731226419,D,A,79.37852875859251,0
65+,Male,Married,C,C,D,-35.71967978479972,A,C,-14.817208061751547,0
26-35,Other,Widowed,C,C,B,13.663698696724639,E,C,-24.433018132745012,1
36-50,Female,Divorced,C,E,E,118.59929948676636,D,A,158.52357838733568,0
51-65,Male,Widowed,C,E,A,121.76065009838047,A,E,-49.525107580560025,1
36-50,M,Divorced,D,A,E,-51.62829577831198,D,D,-35.87318799153955,1
51-65,Non-binary,Married,B,D,B,15.42754538483774,D,A,-162.5353383919267,1
26-35,Male,Single,D,B,D,97.68466945476851,A,C,118.5581709132687,1
51-65,Female,Single,C,E,B,159.48460348753332,E,E,44.073791817882686,0
36-50,M,Divorced,C,D,C,17.27322129169121,E,B,101.13563469947913,0
51-65,F,Single,C,E,D,106.63411554507552,D,E,-33.213973093141234,1
18-25,Male,Single,C,B,C,98.81282862861988,A,A,39.114233622365546,1
65+,Non-binary,Single,C,D,E,3.774699905923387,C,B,234.37099077285194,0
51-65,Non-binary,Widowed,A,C,B,161.10110897306294,A,A,78.97477418585626,0
36-50,Other,Widowed,E,D,E,43.37491870961346,D,C,102.23374835233858,0
18-25,Male,Divorced,A,B,E,84.61263506411024,C,A,-136.49511433425698,0
18-25,Male,Married,C,C,A,106.06654783488185,D,C,171.32221104692636,1
18-25,F,Single,E,A,D,41.79889869230979,C,C,32.18981887262121,0
18-25,Male,Single,A,E,D,-54.43683809690596,D,C,-73.12733963752403,0
26-35,Other,Divorced,E,B,A,29.450871076545848,C,D,89.41673428691773,0
26-35,Male,Divorced,A,A,E,65.96632188047796,C,D,-127.04876230872668,1
36-50,Male,Divorced,A,D,C,0.04534886211853436,C,C,6.438806326961581,0
36-50,F,Widowed,E,C,D,138.98549825365433,D,C,-54.72578687145736,0
51-65,Female,Divorced,B,A,B,56.105740207330925,A,A,67.28251865666873,0
65+,F,Single,D,E,B,-31.114439875213723,B,B,-66.83633488184012,0
51-65,Non-binary,Divorced,E,D,C,-6.2912546013568145,E,B,15.630430523952876,1
51-65,Other,Married,C,D,B,-37.53956989424237,B,C,-94.3550140530953,0
26-35,Male,Single,E,C,C,-155.2935864732793,A,A,-195.42708844129888,0
36-50,Male,Single,D,E,B,-59.438582115821724,E,B,232.74519333017426,0
26-35,Female,Widowed,D,B,E,83.88796957074625,A,E,-21.09483151123066,0
36-50,Male,Single,E,A,A,66.20558244938651,B,D,-173.00938073249793,0
36-50,Non-binary,Widowed,A,D,C,38.90062845368069,E,B,35.9835418510531,0
26-35,Male,Married,C,E,E,-198.91743277439642,C,D,86.29738510820619,1
51-65,Other,Divorced,E,E,D,94.0998944373328,A,D,5.4929270163271875,1
65+,Other,Widowed,D,D,B,-188.4135636667568,D,C,21.299313340317315,0
51-65,F,Single,D,C,B,-57.193328708386915,C,C,-113.61703768091715,0
26-35,M,Married,B,E,B,-41.77980122113454,C,E,31.8386364744988,0
51-65,Male,Single,E,A,D,110.69397714525158,D,E,-193.9748000932092,0
18-25,M,Married,E,D,E,9.743321522171748,E,A,80.80339892586125,0
26-35,F,Single,A,E,D,91.41717211806773,B,A,88.43956905531712,1
65+,M,Single,E,C,A,-97.45229606773788,E,B,23.66598421664007,0
36-50,Other,Married,C,D,A,159.6108976836692,B,B,21.089663026294414,0
51-65,Other,Married,A,C,D,21.690360292261108,E,E,-8.947708050178473,0
65+,Other,Single,E,A,C,61.58970777107904,E,D,-1.232538181421745,1
51-65,F,Widowed,B,C,C,172.7652054551557,B,C,34.935241755981714,1
36-50,Female,Divorced,C,C,C,53.06032660510531,B,C,-27.82643671300999,1
18-25,Non-binary,Single,E,C,D,213.72471353118945,B,D,-17.623516284298336,1
36-50,Male,Married,C,C,A,138.5733005778001,B,A,-34.29780863882946,0
36-50,Non-binary,Widowed,B,A,C,55.912103058152816,B,C,-8.190106915491596,0
26-35,M,Single,B,E,C,-106.84866482015212,A,A,-104.7748580109473,0
51-65,M,Widowed,A,B,E,-22.675283898642707,E,D,-117.74566699846483,0
65+,Non-binary,Married,B,A,A,36.813179638096614,E,E,79.6275749013297,0
26-35,Other,Widowed,A,B,B,12.915355939672985,B,A,65.6673962706173,0
51-65,Non-binary,Widowed,D,A,A,226.48375050192692,A,C,65.42519663864333,0
36-50,M,Single,C,E,B,-110.07365926237496,D,C,-91.0559378347939,1
51-65,F,Divorced,D,A,A,231.4602673769273,B,E,42.30310991568,1
18-25,Female,Single,A,E,D,-53.66925029884543,D,D,-14.34198486043971,1
18-25,Male,Single,A,D,C,-168.10679436962005,C,A,-108.67348303122083,0
65+,Non-binary,Widowed,D,D,C,139.8718401092553,D,C,112.14144214393926,1
51-65,F,Widowed,B,E,A,-85.65523257482953,D,E,-94.71936951891705,0
26-35,Female,Widowed,B,C,D,163.38624685912418,A,B,93.73413848201224,1
26-35,Non-binary,Single,A,C,C,64.16816273580356,B,C,64.3073644807133,1
65+,Non-binary,Married,B,B,A,52.0612493020225,D,C,-136.5140748403239,1
26-35,Female,Divorced,C,A,A,-36.8494006607684,C,C,-133.20731473253173,0
18-25,Male,Single,A,B,C,35.04888036098301,B,E,-9.248008960711083,1
51-65,M,Widowed,A,E,E,178.33240450891512,D,A,83.81249084989565,0
26-35,M,Widowed,E,D,B,76.49339851115369,C,D,-112.12107996801954,1
51-65,Other,Single,C,A,A,40.937121790486195,E,E,76.08653359619316,0
65+,F,Divorced,B,A,D,95.00533986402071,E,B,12.434012255639487,1
18-25,M,Single,C,C,D,54.784336782951584,A,C,14.373910813925352,0
65+,M,Divorced,E,D,A,62.97489202537416,D,B,-63.50441861109093,0
36-50,M,Married,D,B,A,81.65731590912245,D,B,-142.15210373260555,0
36-50,Non-binary,Single,A,A,B,-44.411335812379676,B,D,86.3479982760738,0
51-65,Other,Divorced,A,B,E,-2.042039039423131,C,C,0.9132969335934478,0
51-65,Non-binary,Widowed,D,B,B,100.60580323746224,D,C,-16.215357497292153,0
65+,Male,Single,A,B,D,15.878565512631445,D,E,95.91892597121998,0
26-35,M,Widowed,D,A,D,-26.433847139767636,B,A,-92.86815198150362,1
18-25,Other,Divorced,D,B,B,253.6499674413036,C,C,30.548471473205442,1
65+,Male,Divorced,C,A,A,165.0207089492869,D,B,73.27552778634947,1
