orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Bisexual,C,6.302318903907002,-83.235112534671,26.124294810973055,B,113.38975446143903,A,50.560818730762136,A,C,-68.1832827187625,D,B,-21.012812294027032,-43.84250884653608,92.09240768687948,-70.67385599893838,111.2555828222498,D,1
Other,E,-24.209552188364142,142.97240541435858,-29.889336459519043,B,10.375748478027463,E,123.74486111839728,B,B,-25.92394786596558,D,A,52.9424615664016,-110.57913456441241,-52.37885628762184,-141.54419381907405,-85.08427160869468,C,0
Heterosexual,B,7.068113543468934,-32.593115738549926,-60.701753339449425,D,67.40079566702568,B,-67.74627844282232,E,C,-144.28137653205096,A,C,-160.57461790211013,115.77476130191286,-58.54474277150754,-59.744940035538484,33.49901298291265,A,1
Heterosexual,D,150.4004710114937,8.668879480350556,97.47739157030529,A,99.19494838802781,A,70.89448872189031,C,B,68.21630301719775,B,C,-4.567647059748543,-112.39690924521734,61.37842274382871,-44.9736719637199,-14.574857960479907,A,1
Other,C,-74.8432049155965,114.33166438673115,-109.30236374893806,E,95.55769890835266,C,-73.56208634321642,E,D,-16.000238962919365,D,C,-108.73420595869977,44.20453986502489,78.31135527400652,-32.88761823300448,112.43648012485296,A,1
Bisexual,C,-159.64237659297842,137.4223057155349,-129.98747264724085,C,-58.287666902756385,D,-73.73025276501085,D,C,-11.985633614491466,A,E,-112.57561067466484,63.527578648115245,91.40442029343355,-4.24369188701633,144.8924749842705,B,0
Other,A,-68.2001620570098,1.9498027092744656,1.057121000070911,D,-171.69485018629177,C,-68.51757899976924,E,A,74.67322275047582,D,D,21.01626381220746,-31.621448397617435,-74.7324389809437,-79.62084214878308,40.747188701193586,D,1
Other,D,-71.73698608540757,44.63819951419765,-94.17127385544761,A,-21.441819097146546,A,231.59144443163,E,B,-235.42515593526468,E,D,-78.50914925765015,-13.759748789227706,-63.07527707334174,-27.37835791288773,83.45111853047449,E,0
Other,A,166.8229215926865,87.58938164310925,146.08679933844857,C,13.082669122983074,B,-109.09445096094326,A,B,-71.40571271964552,D,A,13.844134375761094,-22.01032239002858,41.092894448699056,15.732568991425651,26.784111577259416,D,1
Heterosexual,B,-64.56132000193556,26.65510370705877,22.0209077207354,D,-142.42308577352526,B,-42.834638744425284,D,C,-148.2902509754072,C,C,144.60995052788897,-213.6843152539472,-53.44797673571673,-54.340541417650186,130.69622770629215,E,0
Other,B,-201.35947028383973,87.09137586698257,65.0918344683364,D,-95.0837925371653,C,-134.29091289705076,C,E,42.765819759724515,C,B,86.15536240631025,-110.54014192174573,-117.63396285995162,80.84253371698524,73.49388944359055,B,0
Heterosexual,A,-106.13073700026251,-62.38096164568747,35.34032910973082,E,227.39397700884396,A,-52.256140018417476,D,D,-143.99879431275335,E,E,-131.09032575909617,-91.58410087819561,2.1973970103337694,-94.47964865036633,-48.04149979532069,D,1
Bisexual,D,-42.215758972612235,-68.02870505388141,-53.58400186294262,B,-126.46582929318988,C,6.848476330018604,A,D,-58.00825978770533,B,C,47.89509120270441,79.00999610647233,-11.193153212152259,-92.21471734148898,-4.022439633063563,D,1
Other,B,-69.92719214218894,-39.85908358114589,-55.263396340000504,A,40.150148165009455,D,37.86413316404951,B,E,-244.6505429103829,D,C,62.51839296969192,96.77297965816432,-124.97468515341686,22.90731524807115,78.0450466432102,C,0
Other,C,-45.18790566050572,-23.923703209770082,200.61133144221404,B,55.06134168895169,B,-130.61849109640303,A,A,154.04209091924034,A,D,-15.812168803007692,-27.953989912452858,90.64624581667205,-55.46328823918726,-131.00103047231144,B,1
Homosexual,A,-12.877012309422446,85.69161283506892,-301.54470726612016,A,169.8542803615547,A,-68.66980674606395,C,A,-122.1054238389259,E,B,148.13164251046206,46.00268699439348,20.364393825478157,42.15133555855374,126.06261202412105,B,1
Other,B,27.43161851190241,164.72916378674768,-20.220115581179765,D,63.50646638697428,A,163.32091394856448,D,D,-8.276441346432833,C,E,-79.87344673753273,-229.09716205572747,-84.3745884581143,-119.59657156691637,-69.91518336080848,C,1
Bisexual,B,0.1685360800773386,102.11895372329562,142.85481470650922,E,84.6173812365483,B,-3.840057704774116,A,B,31.895547126602107,B,E,-54.83693543145446,43.16779807570562,-258.8986062191128,-1.1630988093324903,84.55806445011116,D,1
Other,D,-3.573189591291964,-32.39511558263456,-76.41167694678278,B,124.06642238285141,E,-101.15238660449761,C,B,-134.87445087971244,D,B,82.86000912286057,68.70461884081219,10.14504859906966,-16.734749730228973,35.96270326614354,E,0
Heterosexual,D,-6.221481693502285,-143.3875037783392,-19.23321035393496,D,-46.942967686951896,A,97.75482517492519,B,B,-121.63161514405883,D,C,-35.41477390532734,88.3523729769162,194.04201121471533,14.673690074421788,31.179846669293376,A,0
Other,E,92.46135610312568,165.3311629540695,142.40104200417235,C,10.189393902753901,D,-42.888999477721086,A,E,-94.60867600760953,E,E,59.42346765265021,8.142300059953994,12.550743992240825,21.438455987582433,39.75761174992874,D,1
Other,C,190.23485249242455,192.64987308682174,-29.392647912557955,B,-59.56820320247465,A,196.71623561315258,A,E,208.3198107568152,E,C,31.294543436505613,95.80157515444125,8.647708254470993,62.09890907782517,78.55011633311481,C,0
Bisexual,B,-14.312748119166747,-68.72583825084665,72.76029398207055,E,223.13096837022064,B,32.60121199877599,D,C,6.241429971971399,B,E,25.202901580240788,-121.15831607708397,167.3326780529811,71.6412210434091,66.7609444552259,B,1
Heterosexual,D,-56.49553684369405,-10.489418764270107,36.06467552474798,B,57.780287485140356,B,-10.68314034874214,C,A,63.8756403343602,B,A,76.49001184500517,-42.74854956940754,48.21846480707697,-59.54717013420836,-118.68123224589637,B,0
Homosexual,D,95.9408635629906,20.227835263483442,147.6149439571709,B,18.46484029033721,E,-112.85578821888672,B,B,-50.18014806617317,E,B,-282.3008537561505,-57.29378101846545,-106.11879944049574,-96.23003317835817,-188.42599260830707,B,0
Heterosexual,D,-32.768282072079614,25.540167291966014,-12.692036137614476,E,80.76686879462366,B,163.47044583282525,E,B,0.4030716424064608,A,E,18.9564710061481,84.06191836024236,130.7836266467731,-17.37191981099775,67.2536559142503,E,1
Other,E,15.463955434315213,38.96679830748228,-46.56661536545864,B,-57.43094064106873,B,68.58101970489844,E,D,30.73346411068157,D,A,-21.795191759407786,169.75379025703944,-80.9745708194544,8.222072145910928,-22.262689935188863,B,0
Homosexual,C,44.21188676182839,25.46589933952705,-10.220125050826033,B,-138.17919823477303,B,64.52924673128615,A,C,18.278082554958356,A,D,-74.21272211548292,112.48856965298219,64.86648215307925,193.64354118850778,51.850891213696805,D,0
Homosexual,E,-258.4743329239703,-51.519745578237064,-2.4203947853279275,A,28.588257319623438,E,59.89097926733861,E,D,34.656445835287656,D,B,-46.638822785691126,-104.83288530041482,153.30727590438477,-50.863393782380584,-80.9377847832915,A,0
Other,D,-4.592356999098584,6.020727892860581,-13.816374882741062,E,-78.38505433650302,B,-48.28286810531918,E,C,36.15008470670665,B,D,109.92010808272248,-51.318580499949675,19.676471725880518,130.19117495165352,70.21186168985841,B,1
Bisexual,E,72.06634584732025,187.97133866615553,176.22294614970687,D,-187.84391952386096,C,23.31907441867838,A,C,137.7528441672875,B,C,-41.560225124623976,15.772746125710643,28.999973536599704,243.90894235525656,-209.31925479214377,D,0
Homosexual,A,52.65260601401567,28.74284810955216,-46.154092112344884,C,-87.48267515291245,E,-106.66432023323793,C,B,-7.664914851138787,D,D,-134.7958610012924,-30.18120286475794,-9.331862656517167,180.563805736081,-98.08858885001584,A,0
Other,C,-173.84167669684183,-25.780675610478426,21.777357257448426,A,14.44223577252226,C,-58.96183716252048,D,B,30.348489632960625,E,A,99.65190502748185,-102.42715905674089,-94.44701295031085,-77.28160291073073,-40.86771260300722,E,0
Other,D,25.576825692625167,-21.22340799590946,-131.4431367745914,B,-9.67973904198729,B,146.4973370640879,B,A,-26.54813697364679,E,B,95.87428917620066,-73.17201047694479,-96.53898397868812,-26.287232429323314,69.57310813787254,E,1
Homosexual,A,-26.68308125459812,2.758558295099157,-63.099061311843506,D,-11.060619425555728,E,-14.791451586488085,E,E,47.688615777501134,D,C,-25.008609950729905,-50.320640847408725,-23.37427160449549,13.14707051406788,-103.06568678054064,E,1
Bisexual,E,-28.502959485285622,52.30550728544786,14.226959467607845,B,-18.20869099760955,E,-0.03978227400526803,A,C,-125.16594049126869,B,D,-248.38092841964738,-79.49180544566839,22.713550034100617,-15.082677088738967,-10.637708491243222,A,0
Bisexual,C,-0.803410551163441,61.31346172562555,27.020908343747614,E,5.603985410274856,C,-103.0612759360466,A,C,90.30975925443138,C,A,215.01215176844627,108.25792711178043,3.1121690931828025,-140.12966013421155,14.46237848898829,B,1
Bisexual,A,-141.48158781554224,-20.381508689779167,95.30948110703005,D,174.2055746127865,E,-32.81391495166808,D,E,-77.45253522231151,C,D,92.18875825439996,-92.76040680749685,189.3771465592375,-179.05981553364364,84.70897831536686,E,1
Bisexual,E,-25.41494477286695,130.57927112295778,5.570350252420393,B,22.041963808462935,E,-123.43374106708809,B,E,19.984815538994283,D,B,-200.8237247421682,-174.5830759078527,80.68491752558681,-30.27275661173354,-107.76147890209877,D,0
Bisexual,D,243.20396170903854,-33.85840504167207,23.26551299466566,C,61.41824687497384,C,0.7830548095855806,B,E,78.27982859686325,D,B,175.1515962541906,52.282611389955456,-35.50637330242408,43.99343082197783,69.28473629459285,E,1
Homosexual,E,134.30783369009202,-26.056364710275115,186.03126177227676,C,9.739187926384808,E,-114.21075943236447,D,D,47.2141172812878,D,E,7.901031182750081,107.1297833823093,-79.02995726433369,97.42623145494278,-145.57487853936476,A,0
Other,E,-63.081145589320386,122.60667135517036,-102.01231196919905,E,60.88536381947135,A,25.69876600168114,E,D,-66.9564438630829,A,D,58.04891171841169,-8.242343745413464,46.58989129022162,32.4894580964615,-221.41145094924158,B,0
Other,E,-31.516580106032766,32.44529565416652,-12.156007790925596,B,-165.66439020906972,C,-48.144569865974,E,A,17.018360123853,B,A,-107.36669998005961,-164.2239877954068,-67.45915186221384,2.9075636749570375,112.0388762019751,E,0
Bisexual,C,215.28483866090502,-52.96705300743998,-71.3554396251498,B,125.58213156587232,B,27.312084840875283,A,C,149.6888675538718,C,B,-175.56617275862538,-63.11585795832847,55.11822164715284,109.69745743151722,-90.8013190670925,D,1
Other,A,-53.056625685633904,20.607692370521136,-7.105593273053859,E,-80.25272545309544,E,-68.48555706861512,C,E,34.57011388403626,E,C,50.48321057958569,-189.55275094633146,-33.71505497010014,-8.4897288042891,-86.52313239761025,D,0
Heterosexual,A,-103.9006600268089,-25.82748737636511,-74.25827944082563,C,158.5639718246039,C,39.578322447864885,B,C,-220.19668058717755,A,E,179.36865164740715,-9.228855019231611,-28.501878263495357,35.42566073316987,17.314745152201617,D,0
Homosexual,E,-203.9384729614402,231.07323945357163,-11.35093554870198,D,-50.57562610528043,B,47.80444140618441,D,A,39.1027306128715,A,A,-109.83463864669156,116.60345670518406,116.72282796940856,-70.61725370953951,68.33342971144866,C,1
Homosexual,B,158.71879956467555,-148.04305683082345,-150.79887457925406,B,63.357079089539425,A,-5.403859000440489,D,C,-50.47720584944668,D,B,-0.5030117542998618,-16.98480795544503,-276.12907818314125,1.838580859237493,31.392860432640074,B,0
Other,C,136.70560433474856,-57.55220754280258,-0.7349899469613027,B,-62.452131347073234,C,-155.03308690072637,E,A,3.6779217196937593,E,D,-100.10576985413057,-48.641994284961285,70.05833441515689,78.49671640236402,37.48092776591066,D,0
Bisexual,E,-29.67137765326268,-78.41884600858856,-255.26516471218147,C,143.71872746533828,A,-39.80928189399503,B,C,52.9916565319674,C,A,25.775141098192258,-42.2819763953078,-139.47981688369157,-154.63472519445276,97.3203320287498,C,1
Heterosexual,E,-142.56521783688268,83.11715481122557,55.38970805828638,C,-61.718962040118576,B,-197.7058931136376,C,C,34.957756250533905,B,E,-15.390614759421775,5.790697674717873,-35.52606073155483,-58.13374188140501,-30.232896260494968,E,0
Other,B,-55.77588387186832,-179.17454127011442,-30.1413357385755,B,80.8992591058981,A,-229.01733969567601,B,C,-149.38296174451503,D,C,18.172315989406805,-80.60378883881492,20.165358663146467,-10.17837731023001,-37.15413732824865,D,1
Other,E,-59.47047924007444,-145.53485187254583,-51.15216363091572,A,-27.518175859016687,D,133.25799684603027,D,B,46.951374423139,E,E,-36.546719328606315,166.9513556683499,128.6462744306045,-41.58804853931153,-55.93287223847141,A,0
Bisexual,A,-89.13617237987128,150.87256770751492,147.31650850065054,B,-151.43894207988575,C,-238.30711020713778,E,C,-3.1000522555163954,A,C,187.48848964039377,132.26045475716447,83.35579967541902,107.25917517067384,-140.76313230272063,C,0
Heterosexual,E,122.56185645340577,-5.221476931228706,-24.648947029823105,D,-193.0252712083953,C,-73.56412781881302,D,D,96.38976145850948,E,C,-19.888515574564895,-154.6823394162209,84.54519149604756,77.68343119072472,-70.60930304431918,B,1
Heterosexual,C,208.93758390539494,-41.49128671995252,60.54740331703956,B,52.25502300364682,B,-109.32041590172325,C,D,-41.68992709845944,B,E,-134.24803919631864,-11.815812135609795,-95.36944114965561,-15.978801098344178,-9.470116346264383,B,0
Homosexual,E,117.09069520637429,9.114111026528468,55.22185592104619,A,-68.42335395330508,B,47.120548647958074,C,E,-170.81870735000405,E,A,62.774203249103266,-30.120120680988656,11.062438286293427,10.74956517751449,23.072916439080696,B,1
Homosexual,E,8.787462655712472,-121.25757476687842,106.5088206251277,C,205.04228094210353,E,66.82781789595764,E,D,82.87897554077406,A,A,-212.70616299256423,-178.0731025782814,-44.7012096996617,-147.60867669951077,-145.10880216934692,A,1
Homosexual,E,-69.75423457759042,-38.09007798429536,-74.09162093722449,B,12.442673030303594,E,-11.102790305582442,A,A,-15.80769455516842,A,C,-59.9839484530544,61.404047933853775,94.19008564837114,-235.44857835747516,-185.73368193615738,E,1
Heterosexual,E,-65.01911575185883,38.13395772393819,-60.68133573106329,D,96.04194153877607,D,-67.21214879421423,B,C,-48.065171646684746,C,E,-16.63608934631143,104.03436414370933,86.6132184020769,116.38595995962578,-5.507947134028563,B,1
Other,B,134.8038944320502,35.699539619910645,-93.46750633385696,E,-43.20018223212402,B,-45.530272032995065,A,E,-56.834384183001106,E,A,141.40028152959957,103.42611403108133,-91.25048679928234,-44.5483242411169,-99.81180748450869,B,1
Other,A,-212.3857218320043,149.3047021114649,110.87919556728474,B,-2.859338533339772,B,-72.850933440016,D,E,-90.360946464417,B,A,54.36144946260995,-28.091908057223776,21.844515559829926,67.83697465086114,16.009389833916686,E,1
Other,D,-42.1991653468965,-173.14941845302704,-44.354867238086314,E,109.55885939498506,B,-105.22374683094739,E,A,98.12014122889062,A,E,-23.364326298270775,128.1286851222486,23.481252891166438,-71.74708194340137,5.203767347263142,A,1
Other,C,-8.570361443770267,-115.49206244739354,-73.32378621713951,C,-96.3740552429973,D,65.05820240672229,E,C,67.67544999431219,D,B,-7.097736076881576,140.08789164054622,37.71587222247803,-10.281226888868204,163.09119741574548,D,0
Heterosexual,E,-5.997821012051554,103.89424012976127,-124.64428502421482,D,130.68953645827918,D,-59.96236852640631,D,A,-124.70496402236031,B,A,13.547586580609863,-22.46676067860318,49.685325082361985,-151.35790370571854,92.73580914878097,A,1
Homosexual,A,64.15693638592036,28.272981242557616,92.51064289032266,B,26.211460983578995,B,82.15227073887105,E,D,-2.189174399218468,B,C,-145.7240657754664,-198.97697482321743,128.7385124229824,92.52681945538937,136.83919071087826,C,1
Heterosexual,E,-58.807188746017935,-119.48445652686968,29.9747661878556,E,118.909710084231,A,-0.9111844505788655,B,A,-23.218155118950374,B,D,-142.76050012242604,-0.9834225483215991,145.57326984218983,-93.97482896029966,7.329766157609842,E,1
Homosexual,D,-2.040408719110837,53.07431831891682,-134.8210491906498,D,-63.60040718117421,C,-36.767702902924164,C,E,-82.1836468319865,A,D,67.14771850901853,36.936504414692024,75.68701717947668,-75.90723222937744,124.90296539524583,C,0
Other,B,143.97654791504215,-110.14865555989606,-23.962341763206563,A,-73.54102259146677,E,59.45099708513207,C,E,3.0995393937932993,E,A,-165.4760852700004,-131.50959651530457,73.52673215816371,-190.35586313395748,22.9399076359426,A,0
Bisexual,D,-113.91731437273451,105.6727424993233,89.97616600618153,E,-81.7533794306779,A,-9.848564640619255,B,B,-35.46609759895279,C,A,58.92503986638915,-37.59792547101096,62.306599620930704,1.9834295152571586,108.58489614908433,A,1
Bisexual,E,-47.063502269284015,-71.16386076783634,16.193722062420115,B,2.4349984187603604,D,-98.64468106132061,E,C,-161.22229251750224,E,C,121.12989059679413,11.701503670162044,87.43825159475375,151.94867806121044,78.33207310098467,E,0
