age_range,Veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
26-35,No,Hindu,D,E,D,-58.54040873345452,-159.11974068195616,-0.7799733255025779,29.91526792032357,-76.85182927784679,B,C,B,0
65+,Veteran,None,E,E,C,-31.13109888616286,89.57441857943948,45.469165786256845,125.39841223736646,138.28394794574243,D,B,A,1
36-50,No,Other,B,B,C,175.19977375016765,14.046927137329465,99.9607106773152,-72.86854345370001,115.80255686959038,D,A,B,0
51-65,Non-Veteran,Hindu,A,C,A,-52.91319598523854,109.83449208471976,-129.52177527844867,-13.569405646627185,-1.2198909932560702,E,D,C,0
36-50,Non-Veteran,Other,B,C,D,84.12978261296995,108.16414327460424,70.71530124063901,-168.76511859535663,-45.663843386699774,E,C,A,1
26-35,No,Other,A,B,E,116.44251633108817,-28.812649441806688,54.338770860431474,66.4298158092991,-7.972930783873562,C,E,A,0
18-25,Veteran,Christian,A,B,B,117.39259479023201,-159.36937853150727,23.980305827829312,84.17805534566209,-27.359365454257194,B,B,C,1
36-50,Yes,Jewish,A,E,B,-133.8092059945469,-78.04243457259668,-51.87754675879933,147.2489669869399,41.68702807412906,A,D,D,0
26-35,No,Buddhist,E,B,B,54.01408407016539,-45.94690945071573,47.21134997015765,53.808724675153584,-50.40154975171494,D,E,C,0
18-25,Non-Veteran,Other,A,A,B,-128.61952464382026,73.43620456869068,91.56008994619856,-57.22439809186257,32.6714421685069,A,D,C,0
51-65,No,Muslim,D,D,B,-80.86243502709988,-246.64054189249563,-129.66079127864384,87.74076565030371,54.36230918637786,D,D,B,1
36-50,Yes,Muslim,E,C,E,24.656051572179134,-88.05421776530272,59.59650741803082,55.19999857400724,-90.41101087941111,B,E,D,0
26-35,Yes,Christian,A,A,C,34.80779150579485,0.142827295407036,103.88715304756613,-12.424326565580595,114.85477842090923,E,A,B,1
51-65,Non-Veteran,Christian,A,D,B,-42.45793517408541,150.62938291712368,-11.977150489138614,74.25404731471563,119.775140871478,D,A,C,1
65+,Non-Veteran,None,D,C,D,-21.087385647089548,78.12077804976627,31.106252951030978,87.754214451789,-125.88691147060551,A,A,E,0
26-35,Veteran,None,D,D,A,-72.62110022338025,5.097012133440939,78.81411058817181,12.32867855084134,11.041019345149445,C,E,D,0
26-35,No,Muslim,E,B,C,-49.28844705460145,-48.779089335287566,30.522468392818876,-49.30285516797502,-48.55993324182977,A,A,B,1
51-65,Non-Veteran,Other,C,A,D,218.52778308961538,3.736036289437863,-60.696921383205236,53.14147137504961,29.247264027852516,E,A,C,0
26-35,Veteran,Jewish,B,E,D,-131.57481198345803,-118.89731714252585,-151.28946215669419,-176.005557715551,18.87293361372646,A,A,A,1
51-65,No,Buddhist,B,E,A,-4.683881966715755,75.78556668680422,-7.498325753705484,188.9889578496219,113.35514635715657,D,C,A,0
36-50,No,None,C,A,A,-30.019765594923303,-63.69655099728796,-52.87559014585608,17.503732313871506,-10.279051582876793,A,B,A,0
65+,No,Christian,B,E,C,-17.136810908939303,5.713756368478287,163.74074505849376,38.19824980897221,-54.32023695504063,B,A,B,0
36-50,No,None,A,C,D,53.72643565089156,-24.475314458602522,-215.31833276014592,45.88535731678601,112.61818124486749,B,B,B,0
26-35,Non-Veteran,Other,A,D,A,0.8628245526572766,62.07706547801782,85.91556025836043,18.895386445531358,136.04700886018978,E,B,A,1
36-50,Veteran,None,A,E,B,30.485269670338326,155.4136357735308,79.51835522523473,-106.18108078797226,-162.6996388240187,C,B,B,0
65+,Non-Veteran,Muslim,C,D,A,64.34212047998031,3.293781046029245,168.9625581069709,37.67120695329658,-9.124960215049665,C,E,C,1
18-25,Veteran,Christian,A,C,C,-19.845404986042652,12.528931201699606,10.876731221997892,50.384926230139,-63.834761960011164,A,C,C,0
65+,Non-Veteran,Buddhist,D,A,A,45.31720556352319,-35.32294289861028,-80.38738287692428,-166.36739663214752,-291.874700014319,A,E,E,1
65+,No,Jewish,C,D,A,-72.09863156049875,60.42257430168478,133.1125349253577,85.68627885404157,-54.881365148129014,C,D,B,0
26-35,Non-Veteran,Christian,E,E,C,59.64429566011958,16.265218085770645,57.66706782771448,-19.722245421132417,-28.635459680599624,C,C,A,1
26-35,Yes,Other,C,D,C,91.32186255221973,-10.993042594192291,109.31044061681962,-110.40147170929424,-32.00108067394922,E,A,E,1
51-65,Non-Veteran,Jewish,A,C,E,-71.72347276496993,-209.87305647139678,-140.90940560067597,36.65940701577117,-88.17576891887326,D,E,C,1
18-25,Yes,Hindu,C,A,E,16.0500762434813,-11.833589876564321,71.56909665399166,142.30500869876514,99.28061542776655,B,B,B,0
36-50,Non-Veteran,Muslim,C,C,D,-30.18310710564487,-22.63790673158227,-37.504124228225,-32.73323813714757,67.30025825773853,D,C,D,0
18-25,Yes,Christian,C,D,C,24.141715099859244,-6.641382820047388,-156.68777396885955,-116.39737814960378,31.5774455309274,E,E,D,0
36-50,Veteran,Hindu,B,A,B,-98.0374844839939,-127.06886166132878,-4.508215775302206,277.7475904900705,-98.67036607039579,D,D,A,1
36-50,Veteran,None,B,A,D,-45.19614023877904,-4.396684734644209,-33.99020260524627,121.02717532648572,-63.92994347003417,A,E,A,1
65+,Veteran,Hindu,C,A,E,-144.98680138311758,-71.2496140774974,-7.599663388531288,5.233985127865987,16.184914496359607,B,A,A,0
51-65,No,Hindu,D,D,E,-78.83840868796001,-51.6349568214621,-37.18829974858556,-61.07748897546276,72.17089738804826,C,C,E,0
36-50,No,Other,C,C,D,-27.64811721670447,-179.07969219588566,19.57465792933046,-112.69042600868467,-5.394979128697534,C,B,C,1
26-35,No,Hindu,A,D,E,199.13517275229708,-82.88493605961558,-121.29554177982055,117.97646539621141,106.79420995101185,E,A,D,0
18-25,Veteran,None,B,D,E,261.63508276888365,58.438023912800375,-123.32157000357076,-168.15273312290708,-1.275098235131064,C,E,D,0
26-35,Veteran,None,D,C,E,-196.35715955475325,-89.7050868149751,52.86298346902195,199.06563982419107,-1.1767834923436895,E,C,B,0
51-65,No,Buddhist,E,A,C,-283.93477244800977,-93.036281125728,-78.72797887731565,-101.31360194745535,-46.80431677987505,A,B,C,1
18-25,Non-Veteran,Hindu,D,D,A,52.527934172122116,126.5522925931031,188.7847953478476,-43.76562376058051,43.77589898946386,E,A,E,1
26-35,Veteran,Buddhist,E,B,D,33.85802145323799,-70.39822848534773,104.09660700595991,-103.6389644197033,-11.189354911956805,E,E,D,1
51-65,Veteran,Hindu,E,E,B,119.77299819236913,87.22922347219288,-113.27671184394022,44.22318973590266,18.99213363083778,E,D,D,0
51-65,Yes,None,D,E,D,12.717875424470193,-30.45669309528692,275.9141391875284,60.26919606859421,-178.84494587331864,E,E,B,0
36-50,Yes,Other,D,D,E,55.91086117911564,27.745926057388786,-57.44850525997984,30.198724091015254,127.81227661543426,A,D,A,1
26-35,Veteran,Hindu,B,D,C,-193.2401246566947,-143.4866649549391,48.99180835910198,-102.6555826615037,-156.56119724455573,A,C,C,0
65+,No,None,A,D,D,99.21371803118453,11.066819731129197,30.950213973654968,-18.522116743783588,-43.46122037552766,C,C,B,1
18-25,Veteran,Muslim,C,D,D,59.272759853979466,-72.13611869434034,-102.99708566064376,-95.60621515594156,5.39355783951519,D,A,A,0
18-25,Veteran,Christian,A,B,B,144.27835527410147,-55.30568641401692,117.91535129162767,-42.2881610633392,-106.35502380515463,A,E,C,1
65+,Veteran,Christian,E,C,A,64.14869347306916,79.02389096925559,6.321586036374822,-31.700885532328897,72.7597270652869,E,A,A,0
51-65,Yes,Hindu,C,D,E,-160.04080117871956,-7.022635671524507,-24.594788882244696,112.7193404035933,111.34799866038459,B,E,B,1
51-65,Yes,Muslim,B,D,A,-2.151585153145969,66.50010486860329,-80.27346615281077,-47.235362380005974,37.65545308665461,C,E,E,0
36-50,Yes,Jewish,B,E,D,-106.98147330323187,-2.9220526371045814,-34.94910671537554,-101.48715634487509,-11.52991647317588,E,E,D,0
36-50,Non-Veteran,None,A,A,B,-88.31896105288708,-118.65880107160429,90.4063932688987,132.19274851592712,-82.50816439608568,E,A,E,0
18-25,No,Christian,D,A,B,76.90872437236962,91.60017163676308,-31.193241387762672,-136.8386576039777,-9.677230166508132,A,A,A,0
65+,Non-Veteran,None,D,C,B,101.2320245695399,128.5105332344601,-84.18144357616333,56.256082381708794,-7.373152774957015,E,C,B,1
26-35,No,Jewish,C,A,B,-114.1865942556093,-28.879311623986727,81.82544376280866,124.28762251006921,-140.8699709458823,C,C,A,0
26-35,Non-Veteran,Jewish,A,E,D,-213.80889796302665,7.946263092540253,-30.314199708725177,66.11744632486453,41.661196013648116,E,C,B,0
51-65,Yes,Buddhist,E,C,C,8.033994345424478,68.71581400324803,153.62882647671668,65.10494668175241,-200.94627776521992,D,B,D,0
36-50,Yes,Jewish,C,C,D,75.83681135520388,-41.870079573626214,-40.644834361600935,-87.42604362063548,-57.48912945619921,C,A,C,0
65+,Yes,None,A,B,A,84.86067014729807,-40.13547405826434,-94.17221371729752,35.25789406635303,76.167804811506,B,A,E,1
26-35,No,Other,C,A,A,21.82301051528407,142.14591756605589,-56.226511765227194,96.71696671905191,-120.18258994927736,A,B,D,0
26-35,Veteran,Muslim,C,D,C,-127.57939708523924,91.36276889568472,-155.74418996068232,-1.2226482777115137,-62.214149421775,A,B,A,0
36-50,Yes,None,C,A,E,-149.3777127831548,-4.426687219071894,-136.25121994584353,-46.21465395234925,54.672752732300786,D,C,C,0
65+,Yes,Christian,E,E,C,-223.54832038496167,-26.028289776710732,27.109342269674453,77.61637168856382,-47.32184243255841,A,E,A,1
51-65,No,Muslim,C,E,C,25.157646788702305,-159.613468940819,80.54446891903721,-34.47627949058918,90.88209015005656,A,D,D,1
65+,Yes,Muslim,D,E,C,9.49837063727868,-16.497047382794772,-176.08182096886654,156.77863354069783,-95.10116901985138,B,C,B,0
51-65,Veteran,Muslim,E,E,C,36.60241706657607,-68.00082584250099,42.13140027914138,26.07397496133928,-162.90078619691747,C,B,B,0
36-50,Yes,Muslim,C,D,E,33.12252838366948,-103.37350295472191,-55.63164217721936,-130.5670183098496,-179.1656170693061,B,C,B,0
65+,Non-Veteran,Buddhist,C,B,C,15.459979556251755,-92.07368081802697,165.10652405700915,38.424907156153196,-240.5689562010136,B,B,D,0
36-50,Non-Veteran,Christian,C,A,C,36.58996459031832,15.200114972847556,-91.62563792568919,-82.60200109994139,-37.98377120216954,C,B,B,1
18-25,Veteran,Muslim,C,B,C,122.62301446152557,-182.39879985112339,-68.43588265550127,110.49822917779053,145.1950630137017,A,A,B,1
26-35,Yes,None,D,E,E,161.3389117531877,-55.451800029669144,138.4454163640103,103.85516127930785,132.75216841901283,D,C,C,1
51-65,No,Muslim,E,A,C,-112.62805316761944,-54.7122719611739,23.157321030340867,30.238738981638107,-62.56035019669076,B,E,D,1
36-50,Non-Veteran,Muslim,A,A,C,28.380211091161023,-68.95630611008741,59.88626207161529,207.68153918993568,64.47740726509174,A,A,B,1
26-35,No,Buddhist,B,A,D,174.6337176804182,44.415383482926764,-37.38535999449489,-111.22930810541347,-132.4224871656848,B,A,C,0
36-50,Veteran,Other,B,B,E,-69.38116591114586,159.56786920388396,169.93026655515612,157.75040116582178,-159.64458610535118,C,D,E,1
51-65,Veteran,Buddhist,B,D,E,-6.829996798963414,-165.345956671132,-148.00442287544158,-39.22795166913791,-5.251921917085677,D,B,E,1
26-35,Non-Veteran,Christian,A,B,C,74.2268017077911,26.86176209983927,49.41813613169938,-52.95690719788696,107.3210716123023,C,B,D,0
65+,Yes,Other,A,B,C,-184.76012893868003,-42.73249820163237,64.84665379662067,60.36449265498249,-75.83270247035479,C,A,B,1
36-50,Yes,Muslim,B,E,B,-70.90743748820293,100.4142098358171,113.65650771706181,80.44245427459391,25.994980329691703,E,C,E,0
36-50,Yes,Jewish,E,A,D,-87.10649678623821,18.30815513440247,89.6448412731422,-32.49897674651422,-55.297126052397985,B,B,E,0
65+,Veteran,Muslim,A,D,A,-137.90705808242797,-38.773470824932424,35.545963218741726,51.809560015987685,-65.49253439245099,C,D,E,0
36-50,Veteran,Jewish,D,B,A,-286.7308940304215,73.3011736142484,-77.60878656282829,-28.23911510414632,10.363785774938522,C,D,C,0
18-25,Non-Veteran,Christian,B,A,C,-196.796014855508,-139.6536597951581,-139.0354931560277,23.244134687140768,-26.706088420445322,A,E,C,0
36-50,No,Christian,D,D,C,86.41578711094483,204.47878361979807,-37.44372095226674,-65.95787738522178,-84.61856716020678,C,C,B,1
51-65,No,Buddhist,B,E,B,-0.1779307666824226,109.47173843488002,144.74011179514397,11.357140268292227,161.76924566044957,D,E,B,0
51-65,Non-Veteran,Muslim,E,A,E,178.50030137688958,-188.98719412762497,-0.06229603129982497,-77.90241486037444,12.460626268707866,A,A,C,1
26-35,Yes,Hindu,A,E,D,-42.48140870546172,-21.97432508711493,-179.10268445746487,167.9929975782971,65.03455669208697,E,A,C,1
51-65,Veteran,Muslim,B,E,A,-93.33963287078542,-59.93119350316681,2.4226986524461576,10.372515910898885,11.061792136506373,A,D,E,0
26-35,Non-Veteran,Hindu,B,E,C,144.913448012802,-0.5979142964085801,-15.68148885348297,49.174109463200836,-109.79600140659167,C,C,E,0
18-25,Non-Veteran,Hindu,C,D,C,2.5853412380907193,164.30408388478935,49.32122104906065,65.32546626692859,-11.16841976318154,D,E,D,0
36-50,Veteran,Other,D,A,C,167.1838477310285,44.58775651952037,-37.76384507980365,-20.71015046500807,-108.18301772641365,D,E,D,0
51-65,Non-Veteran,Hindu,D,A,B,-116.04384670753296,-37.56158045269638,-16.321047639230503,-139.44845274983777,-24.93051477637045,E,D,C,0
18-25,Veteran,Other,E,A,D,-110.38378394620472,-93.79166618912916,170.69318444683566,115.73925631031182,-69.80778861244943,A,C,D,1
65+,Non-Veteran,None,E,C,E,-80.77647894871247,124.85549170539447,286.23348057766805,139.93797132789194,42.26658843931444,D,B,E,0
26-35,No,Hindu,D,B,D,102.26739244529448,179.18370211713128,25.79216456747772,35.96346017562799,133.3741410078902,E,C,C,1
36-50,Yes,Buddhist,D,C,A,52.916954440533495,-65.74891135072491,-49.55430683743345,-4.561726261309656,5.080976095681403,D,A,B,0
51-65,Non-Veteran,Christian,E,C,B,8.63251479023508,-10.872217168307168,195.05010249897526,-113.0381621985026,96.57334521196417,A,C,B,0
65+,Veteran,Buddhist,A,C,A,35.78512202452599,59.36886558410638,118.38325881229106,72.42440388174832,187.7189953503468,E,C,E,0
65+,No,Muslim,C,D,A,-50.6371188415032,126.42881165386241,239.2711336828897,112.75668906963222,32.850731224367735,A,E,B,0
36-50,No,Muslim,A,C,C,160.6042037089522,41.886823858042106,-85.2520271660357,-111.09986556407566,81.34286854988812,E,A,B,0
65+,No,Buddhist,D,A,A,-107.90691993474641,150.33045729221345,129.25411645219276,-19.034371022491843,-51.79727504265743,B,C,D,0
51-65,Non-Veteran,None,E,C,E,-49.16749081074261,-4.541077652026517,-3.610184036812008,24.684501934419735,66.92202218147516,D,C,C,0
65+,Veteran,None,E,A,B,-50.22611713025973,32.10006824149909,-110.7915038998355,13.878716414131897,-78.52005675699911,A,D,D,1
18-25,No,Christian,A,A,C,82.82792326906406,-115.39345152090137,50.51757994329501,98.20518111472013,259.39396833067406,C,A,A,1
65+,Non-Veteran,Hindu,C,B,D,-160.03189798986037,177.1401683148884,-157.2667182748604,79.8928732449933,-100.77079102673834,A,D,C,0
65+,No,Hindu,E,E,E,-45.26985834608042,-33.573913227980896,-87.78448791987303,-73.54962438581403,35.19483885940613,E,B,B,0
18-25,Veteran,Jewish,A,E,C,7.683736044646794,22.509546830397387,-9.257853195571647,206.96122621715995,16.35920380738041,A,B,D,1
26-35,Veteran,Buddhist,B,E,C,-57.977069961661265,88.06238321796586,-147.53307638884618,-54.13007152222368,13.720329232394624,B,B,A,1
18-25,Non-Veteran,None,E,D,B,-67.82690477708164,32.54025664651973,-22.164346337762243,9.721129986017928,-5.852193668026958,B,A,E,1
18-25,Veteran,Buddhist,D,D,C,-165.70962906058242,92.35690711125764,-30.968629495807953,-76.90763585706546,-40.035869748722334,D,B,C,1
18-25,Veteran,Hindu,D,B,A,-147.94370086242603,-7.050827882235631,14.896966592065539,-16.878442910060247,146.1055849446519,B,B,A,0
36-50,Yes,Muslim,D,E,A,-43.38707298913814,-7.8909582681044625,147.4951819959353,-32.535707298319494,98.56152033772273,C,C,D,1
51-65,Yes,Buddhist,D,C,A,76.54220618386434,-78.00417800382537,-14.489740326498685,-45.45443290239114,-1.6904482859518726,C,D,C,0
51-65,Yes,Christian,D,A,D,-84.75996290616004,5.125119617153814,-100.8108677859176,75.28178653857604,-36.191050583655205,C,A,D,0
18-25,Yes,Hindu,C,A,B,-137.45784061368292,-89.52914834699425,-47.40023024127502,-7.181454145429454,-120.49253214294036,C,D,B,0
18-25,No,Christian,E,B,C,3.206744872123351,-131.88052936646244,166.32277077860863,71.61871476737872,-135.75191850838638,C,A,D,0
36-50,Veteran,Jewish,A,D,A,-21.056938112921063,25.082114727184702,144.3074736914725,171.44962790584182,-203.5641131378218,B,B,B,0
51-65,Yes,Buddhist,A,E,B,87.15163474674812,-60.61356608787738,-73.38535313288263,-21.644294717984298,-42.955379634942595,A,B,A,0
65+,No,Other,A,D,A,32.42255109848751,-60.55260607023325,43.921228232172425,168.46210445154125,63.88108647664094,C,D,E,0
18-25,Yes,None,D,B,C,226.8308416072014,69.99856804410337,-65.6172006218358,-39.28731011935191,50.90803064018537,E,A,E,0
18-25,Yes,Hindu,C,B,C,34.09209250886454,-39.054742028420485,-147.09715133896694,-137.10663187160264,-94.65893393227496,C,C,C,0
65+,No,Christian,C,B,E,86.00345260116114,73.81330996947099,60.76434375456215,-18.403145295791468,-98.8814694057921,C,A,A,0
36-50,Veteran,Muslim,E,D,E,83.4435421395366,-33.18372301443651,170.63519482909143,77.13433183169569,132.1050736012611,A,B,E,1
65+,No,Jewish,A,A,A,-69.24388193321016,199.6440679708612,-120.22279028923839,-6.23843607579317,100.22491325651903,D,B,B,0
65+,Yes,Christian,C,D,E,64.83516951453252,9.951919243958985,274.7822432279428,136.80362109198762,-117.81536836669267,A,B,C,1
65+,Veteran,None,B,D,D,-75.72825224660093,-25.587348575320778,55.4308201842583,122.8147294278401,6.138031230578324,C,E,B,0
18-25,Yes,Hindu,E,C,B,112.28671527603797,92.28480650295654,-54.59727257565732,80.07291104033168,-54.97369685807513,E,D,C,1
36-50,No,Hindu,D,D,B,83.48994369124566,223.19596520378738,97.88935290467383,-165.27625028954716,74.71675143576859,D,D,E,0
51-65,Yes,Hindu,A,D,E,46.54559937123171,49.98526453202794,233.31446882971187,-69.22626490434868,1.0030303668636362,A,A,B,1
26-35,No,Jewish,A,C,C,-188.8090912727192,60.50495989076794,-68.72979122527084,66.24653978618372,-31.415643139878043,B,D,B,0
36-50,Non-Veteran,Muslim,E,E,B,70.20602246891217,-47.23695977394544,-0.7803069757239087,177.0163163611541,44.71899891506983,C,E,A,0
65+,No,Muslim,B,A,B,203.5910753240354,-114.0486120800087,-277.0251514470616,12.705215879031732,-162.8804329243577,B,D,D,1
51-65,No,None,D,B,A,-15.81837814649583,107.38006981570831,10.335700569404743,105.03430059514885,182.66965014686102,E,A,A,0
51-65,Non-Veteran,Muslim,A,A,C,-0.3807197672546093,-3.1742264814036107,61.45491674086675,111.47486068548176,-115.73692508688913,A,A,E,0
36-50,Non-Veteran,Hindu,C,D,A,-11.139598610021691,-35.652173147976704,-193.80096107259095,32.496594703151736,-12.890479926260909,A,E,A,1
18-25,Veteran,Other,D,B,E,87.80374410393622,181.14137774655154,31.933893099408543,27.215818765338945,-104.35387219386149,C,A,C,1
36-50,Veteran,None,D,C,A,47.41419640642965,-9.232437525746166,-118.44233726546764,11.696537567412738,36.566729668514206,E,A,B,1
36-50,Veteran,Jewish,A,E,E,-72.93780076980457,-8.753281501395742,-3.9359478600448825,80.24754128716715,-53.17826856005998,B,B,D,0
51-65,No,Christian,D,D,A,115.91310777736314,9.101210404680177,-107.14950707140036,-36.873570977865505,-200.80861288906937,D,C,B,1
26-35,Yes,Muslim,B,B,B,-39.895517888187975,-66.85802646905323,-33.50482146504108,102.81698746687447,31.781826346350716,C,A,D,0
51-65,Non-Veteran,Hindu,C,B,E,143.66387166784781,-4.8199760838236685,-48.76407924330823,-50.18228680415741,-90.05621478732368,D,E,E,0
65+,Veteran,Other,A,E,D,51.94855492016741,-102.7224455266776,-49.09943369674297,14.70963333997733,-201.34202679564535,A,B,A,0
18-25,Non-Veteran,Buddhist,E,A,C,167.10373183770693,-86.99541609903211,-50.25927922660773,-61.25657185246571,-133.60780438948424,A,B,D,0
18-25,No,Hindu,C,E,A,-26.356737864908887,123.80124371638045,-116.9857738147005,-65.54026588711625,-156.0828977249617,B,E,C,0
18-25,No,Buddhist,B,B,D,-260.4784180233426,233.7813791145864,64.34725953749043,-188.96920677440573,144.33263557063734,B,B,E,1
51-65,Non-Veteran,Muslim,B,D,E,-4.618022211667668,60.87258541291003,-136.91790438137656,15.375593385187846,-65.13012467309376,D,C,C,0
18-25,Yes,Muslim,D,D,B,-85.3222157315185,-88.36880549337396,-130.81446503080855,152.42782983047775,-25.526826326981777,D,C,E,1
26-35,Non-Veteran,Muslim,E,E,A,145.07909452561435,132.28197556685674,-149.87048135388784,195.5775391331632,-73.25319558000784,C,C,B,0
18-25,Non-Veteran,None,D,E,D,46.14796596051141,-66.7905349308864,10.906072460960136,63.84165404270357,107.85649832181214,D,C,D,1
18-25,Yes,Christian,B,C,C,-30.121468868934038,7.436451867241431,92.69584340183445,-164.39983428654708,129.18368045556562,E,A,C,0
18-25,No,Hindu,B,C,D,4.103740267404985,105.84346910294198,-94.86739047592711,-14.608172084952933,-13.503883616966602,C,D,A,0
26-35,No,Christian,D,B,E,-105.29027326883566,217.70215596409605,11.046080420472846,-120.83284556978202,164.40575645361025,E,E,C,1
18-25,Yes,None,D,A,C,76.53538292756679,-76.45704756270597,98.40762399339903,-9.015246030771907,24.230245530255868,B,E,B,1
26-35,Non-Veteran,Jewish,C,B,A,174.70223479505762,-74.99450019970762,-68.03743002083469,-10.738522313294181,104.49490015064913,E,C,B,0
18-25,Non-Veteran,Buddhist,E,C,A,31.719099407914076,-69.46693984135833,66.32437712215442,-24.338491623424687,-48.003957894121044,A,D,D,1
36-50,Yes,Hindu,D,E,D,-14.102775282609217,1.536330266456678,-5.648586844935977,70.88464230627518,-133.12482966737576,B,C,D,1
26-35,No,None,D,E,D,-104.30187332805383,-150.18708778237388,-63.37750340502865,-45.82273036553576,318.2414945750114,B,E,E,0
18-25,Veteran,Other,C,A,C,11.761522694326057,-108.14193979695337,12.996193250925497,163.34571838217556,16.351654407638115,A,A,D,1
18-25,No,Muslim,C,A,A,-19.556217846805353,24.466569516028265,-155.12917384945737,62.11800475211818,64.58826768114287,D,B,A,1
65+,No,Other,D,B,C,150.17258683330704,-117.96637146069237,-114.0883512265115,-332.13421090451993,0.7137368133667384,B,C,A,1
36-50,No,Buddhist,A,E,B,48.074381152869286,84.2092608315782,115.38247910293595,149.91368346960013,85.90852911904634,C,D,D,1
26-35,No,Other,E,C,A,13.455005923008626,-264.0700804802024,-72.66267834847527,-30.219454972853843,127.06653638786267,D,E,A,1
26-35,Yes,None,B,A,E,28.691604720780674,-55.27450878572978,7.3158545982833685,-36.855990533099444,75.46877861694466,C,D,A,1
26-35,Non-Veteran,Jewish,D,D,A,153.19270237927364,187.74752109890576,54.75155260849209,197.72791960661704,-131.6698526749363,A,C,C,1
65+,Yes,Christian,E,B,B,179.2761595908218,16.36567190717714,-63.36433376759503,-187.24722765739304,-101.9584121425281,C,C,E,1
36-50,Veteran,Buddhist,E,A,E,-113.012356641368,63.01504819421022,70.94200921466089,-111.03268208721724,12.749974630920654,C,D,B,1
51-65,Non-Veteran,None,C,C,C,-32.48682176788337,-111.19906995018003,-8.960365619374441,-184.55027112962625,48.2942876991429,A,C,B,1
65+,No,Christian,C,A,B,-54.889628511473056,-21.645206345449463,-42.57469745396931,-5.690546969579195,13.867982764808929,A,C,D,0
36-50,No,Other,A,A,E,-133.9860192289425,4.276002352436163,-102.2580490421676,6.797568568038481,178.16511513167126,D,A,E,1
26-35,Veteran,Christian,B,D,D,10.209945876206488,21.274975146092903,-171.63370206862572,171.27075936651553,-58.973635113922704,C,A,E,1
65+,Yes,Muslim,B,B,B,-93.74019686683384,137.98074916977683,82.95959218047541,-61.547630309310996,-38.80583019103979,D,B,D,0
36-50,No,Jewish,C,B,A,77.96690796560426,109.7824877035876,-71.59031407548923,-22.99662510585565,170.97361669563594,A,A,B,1
36-50,Yes,Christian,D,D,B,180.96104993186114,-59.893227700298056,-33.872761701043274,-14.568599695439364,-39.47928078870498,D,E,C,0
65+,Non-Veteran,Jewish,E,D,C,5.585804283555543,4.572878312901462,-104.08670701035301,-14.465382559974904,-53.86391693173933,B,C,E,0
26-35,No,Other,A,C,C,-100.74412918593845,6.423977931834121,-39.11212086361867,-29.544205801247887,-73.75268624239469,B,A,C,1
26-35,Yes,Muslim,E,B,A,-36.46779352897799,-151.30346844773644,-170.61073871356072,-75.98058962378812,-38.27704598517275,E,C,A,0
