SEX,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
M,Hispanic,-6.273849523906037,A,224.02842865819386,C,73.4165302683206,-134.20048499035778,12.560857671636896,-55.71870323864538,D,C,-6.618916168489683,-102.57942217477789,-68.71641872832423,-23.22518397597747,E,E,1
Male,Asian,93.66462339389453,D,16.29460196972219,C,-124.97273028254936,-118.9064797808784,22.49266056991346,35.13224985221139,E,A,-144.77722190713828,-47.19488992059257,-148.35015331009072,34.00532470390361,C,A,1
Non-binary,African American,-52.22201453561791,B,65.27596967461162,B,-44.782024887019325,-28.634686982725533,-131.50590947611636,-94.52547643707886,D,A,57.88171801982131,72.5686457872981,26.36838358344859,24.14585316930254,A,A,1
Female,Black,-101.1210089704182,C,-10.760988275643738,E,-141.46881276040713,94.88261541942597,179.35935639817103,24.497311469251656,A,C,-234.99666825897242,24.31008058125377,88.64457882094744,-140.7480907524916,D,A,1
F,African American,60.827400010770546,D,-27.475175540042194,D,181.08881855200457,160.74499660982735,4.985791290945894,-54.57343775263467,A,E,-64.13299037565267,-49.61493336386246,162.7005124070633,110.8000674990551,B,E,1
Non-binary,Black,-53.24754789716326,A,-103.22920537500686,C,80.16539545627397,67.42136231168601,-199.39464095883451,83.44090899090249,E,B,-2.260845416780086,36.81013852531977,-104.85068177974375,20.369729059475773,B,E,0
M,Other,-69.60812572844361,C,-27.46747984403154,D,-203.60286453450223,138.9584542907393,56.15848978512247,101.00265723601704,A,E,-64.99526892832588,4.002819894368025,-62.70607540843475,41.87341482412816,E,D,0
Non-binary,Other,-86.44827028935653,A,292.47568299398336,A,55.27874649140651,-221.63676608070872,-340.81232996990616,-257.3868269456594,E,D,3.0289498126814345,-39.864531052645276,-84.88407648081574,18.532776512264576,E,E,0
Male,African American,-217.28812895530135,D,-142.1481503954759,A,47.1206106607644,-7.59262876281277,-150.84251859217252,-210.80777575309665,A,D,-49.17897246105191,133.6315493511446,68.16197465708966,83.82639951570002,A,B,1
Non-binary,African American,-9.407712688376806,B,71.74276780614292,C,-52.058674514034756,160.0879313316115,30.90166206149502,-58.34647295682992,C,E,-138.61799312747058,47.042665861105476,-88.74783469585252,-52.383889576047025,E,B,1
Male,African American,-59.80560989961039,E,-87.23980492561732,D,3.5986123052424768,127.92988955516948,42.47942032438798,-80.83306730674394,C,E,-26.772094558241832,211.36642675520284,13.781708471334293,41.74262057964272,B,D,1
Non-binary,Hispanic,-136.24281103170273,D,11.593186919084602,C,-37.65643456536665,-1.7371102307486195,-49.43435580590315,-175.3814499575502,E,B,29.867835614846864,172.37023569557414,166.48370430013452,61.23108043234944,C,A,0
Other,African American,60.1026259946069,D,173.52199516483006,B,98.85468010230477,29.211018158446706,85.362462223334,10.622156523277555,C,D,138.70019926985475,65.2230717664011,89.50102791514949,-43.50769260690285,A,D,1
Male,Hispanic,-125.16618023320434,B,90.69149486913003,A,-183.5074762434773,205.39238627040334,-98.44222712991024,103.43966421701889,B,B,-172.6260131587419,70.87092527244671,-90.50978972311184,-3.9286795315456335,D,E,0
Female,Black,-44.4118045825994,B,-4.852092188570847,B,-248.99960573084118,61.07207353467474,-22.521349426829882,-91.57453196315561,B,A,34.10418476281471,-171.65394299243553,104.61530897752272,-49.10710541957706,D,E,1
M,Other,15.73088864349828,E,74.16573535907646,E,-105.53967183098214,-3.9431972746019075,-127.82615156145904,-63.435120592709524,C,B,16.308441826060232,-35.435733376967725,-146.121169352786,109.83689652844109,E,C,0
F,Hispanic,-137.1558382543302,B,-45.764294376670534,B,-139.39154884196958,-21.865898677748724,-22.2326820177566,165.83386267701573,D,A,132.10524023077326,-98.57239083175206,31.040792812417067,-52.92892744353552,B,A,1
Other,Other,-15.922495623806398,A,-165.82206100385704,A,62.43596555757575,-29.44271965788754,-68.6193348965791,62.75247487400249,D,D,-0.6887170486139705,39.06778132025714,23.380744103667865,7.30345186283677,C,D,0
F,Asian,57.28859720027607,B,-111.34431693969647,A,41.70884859675507,-109.86825945336145,38.17562044216066,75.8598585187186,B,B,7.153438170128166,-33.52699904288842,36.79422310896378,-73.72806342635218,A,D,1
M,Other,-60.00191850204434,C,49.212199896688325,A,17.969271285153134,66.84018221133103,-63.741091367356326,127.02862495691664,C,E,-224.154355084758,-49.47937935262591,-11.547476376708934,74.69194982467918,B,D,1
F,Asian,-155.82871991498246,C,90.0256542712197,B,-121.30754689677413,-31.746751331911543,-31.671304832599407,-117.25677728429815,C,E,-162.56609261663303,-135.07120649618545,20.548049616603016,55.381352622577374,C,D,0
M,White,-134.75174359968779,D,-148.7955153582385,C,-81.25493086675229,-56.0552233991564,-78.02709973081188,30.846056280577788,A,B,-301.06624909636935,-1.7204619627355593,88.24419632534804,-14.465055112561426,D,D,0
F,Other,43.30937170017911,A,189.67261065472684,A,-108.01428440746415,186.92144805768982,-25.369280662542938,-86.86506572927966,B,A,9.352692903158724,93.27464526229384,-26.65344083522536,-113.29170067234928,D,C,0
F,White,-88.09628227933402,A,-268.02318746353586,D,-95.95285140557009,158.3810119444184,47.129162178890994,-54.413765059277175,C,E,-22.41175795939091,-55.01789456521503,-23.97947600961198,-17.73836222105529,A,A,1
Female,Other,-46.801427717549586,B,-16.863232089961226,B,24.28197326976661,-36.43471693969676,-7.464250452358587,12.493339081045248,D,B,-17.596110576540667,84.27344942523992,42.44014890821439,-126.98155157845821,C,B,1
Female,African American,-68.20468576357716,D,-116.94004207397481,A,-66.95651541701007,-54.597974879925474,65.21136068549266,-88.27157445381945,E,C,-48.55264107596942,-142.53835788906562,7.60993405121371,5.657753387537925,D,A,1
Other,White,87.89534877915034,D,-4.078630897500496,C,23.151334751943676,31.258929271981728,148.37311921143262,-176.50797942548607,D,C,-79.92303787806246,-93.08003062849367,87.55323244334811,172.73622121226282,C,B,0
Non-binary,Asian,17.303106885403725,A,-3.104781602579999,E,-53.2053576093389,-119.92619883156708,-53.06203728610994,58.71942097729119,A,E,-106.65184739438178,111.1063453113387,153.2663434723225,-68.64926732858527,B,B,0
F,Hispanic,-65.89627339154602,C,9.685427315895833,E,52.80796518356878,-104.20266911277874,-36.04306121233346,47.81872561867351,D,B,88.89380539474782,-95.59119916124641,131.67874593596477,-103.9228368876947,B,B,0
Other,African American,27.66594844786153,E,111.56757843972342,E,-74.96773057681469,55.787083233187175,-53.118821549770715,-222.77397917355958,E,E,7.4394185745568775,12.849426888434909,-180.98492380661827,-37.23460011779215,E,E,0
Male,Asian,114.22904495758604,D,-25.76498905953097,D,-177.7889953911843,-95.57933094720113,-9.477916250919018,-58.12277048226537,D,D,1.8875566997028514,-24.08531512652624,-0.4943667562873292,-60.33945637380115,A,D,0
Other,Hispanic,59.308465493343554,B,161.7106241376853,E,-56.971137575417586,112.0068894266103,-34.85251564740272,-88.9983178934935,A,E,94.43871824275608,-64.38335010125282,80.83141748835547,32.735459448762,A,C,0
M,Hispanic,-121.45392453533192,A,17.303414292877783,A,77.71071124995602,-33.44195935779703,-86.73889766023221,237.47668417950925,E,B,-71.38161280831352,-9.098235724371701,-54.95702686175197,-48.75489586492373,E,A,0
Other,Hispanic,-59.00287004210835,D,-127.15438519865951,C,-3.6906378969054896,155.66019053368333,9.135386950256782,3.1338788181643524,B,D,-99.29356512972778,57.75171301680039,30.914128581385103,-57.60613318515123,C,A,0
M,Black,-23.945022078873695,C,8.224048410301089,E,17.85845865788343,-73.3683251062803,98.28338271828865,69.90699007821023,E,B,-46.853052102188755,121.46462012049788,73.23916500818837,-133.33982679248916,A,E,0
Female,Hispanic,-21.384640742435778,A,-135.03692210388317,C,-29.79057217167335,104.45043029629724,128.46053349934888,25.42764986302673,B,A,-77.58954857995191,-92.71890898927583,-156.82196900523795,-49.11226099763851,B,D,0
Non-binary,Other,-45.048730722550836,D,133.06677105717586,B,50.72314347597513,131.12695128960505,-206.67856692671225,40.41592272372756,A,D,-36.22311242383558,145.58665546259004,14.046736601211515,-44.868277920115816,D,A,0
Female,Black,-281.08789977872607,C,-88.49008181798767,C,-105.43019369570352,-173.93872540216577,-18.59668992648594,28.537041610715956,D,B,50.30997972061786,-114.59775758566025,-134.3386569966648,-88.06197690592334,A,B,1
Other,Black,92.98992703156792,D,132.7599465811014,B,62.051889704417974,163.97139405854108,-130.2820318405082,-64.0075635280337,D,E,-5.325890418014722,145.87596342027015,-59.06033537396057,-3.370163088018606,A,D,0
M,Asian,50.5710838245744,B,-105.05503282510512,E,-10.434633262675959,92.54073696491287,-7.722235682843394,-166.5710477728787,D,A,-1.5300868024649388,-31.72058388966793,-80.95792399478758,65.42881618644984,B,E,0
M,African American,2.519993151097473,C,19.43458752359159,E,23.076522892741302,-159.82079521904836,55.387049120979306,98.70474956969024,A,B,121.94420279462324,-91.1433173852677,-55.7665955366111,-39.759900652275995,A,E,0
Non-binary,Other,52.86813685735626,D,12.475015487575089,C,-38.364813025330285,29.65706610869559,-57.537275303164606,-7.561421237779407,A,D,20.563169565510872,9.009152376693832,-86.76917590625253,189.07132789374222,E,B,1
Female,White,107.68745319714508,C,26.91462116444294,D,-80.83948314777668,115.11590913272236,217.40931443971218,18.15369145424865,E,E,165.31808324144842,-4.526457146089279,-39.89787329493954,47.84678971842731,D,A,1
Male,Black,-87.05119270376468,E,-69.00354180612851,B,46.75743141460506,-120.11862357415473,-58.961277225267025,-57.3541335468373,A,D,-110.25129783629328,-63.67790991129779,-27.097067229040633,-132.8479576734812,A,B,1
Non-binary,Black,-21.10982622720671,D,-62.231437925586896,D,-2.200009214933597,59.18648459286614,114.84232129823589,-92.4705292252064,D,C,137.3528251677791,110.77422066186496,-13.735646646331512,-118.97314197935509,C,B,1
F,African American,13.155917778943166,D,25.806613402104954,A,119.9484141684249,-159.64880791270403,130.98177845600068,-156.79109747150218,C,A,-146.57625329152464,-62.07193285434439,133.5074321399199,24.139822118247427,D,A,0
F,Other,-279.7846298511414,B,144.37402487851762,C,67.27170966709267,119.98116447370133,-137.64641243472272,-17.079296559554905,E,A,58.78427513593682,-130.85241517628268,40.10151114325198,-4.075678925802727,B,D,0
M,White,90.18226088109037,A,43.4699886482799,A,28.805133507411927,1.2722496855859744,141.38567971923993,38.5428443358846,D,D,20.900249320416886,-34.70694887746709,-189.21368269024848,-0.634929406439783,A,C,0
Male,Other,-60.72043927501176,B,-19.533313584658345,E,-37.6507630738089,33.2330638996579,-41.77636452962529,30.167948587376834,E,C,15.98200712924745,-75.55323615743052,-121.80572717184384,-41.33262701422452,B,E,1
F,Black,-17.20503551666231,C,17.681003712418487,C,55.176116974199,34.475288213774,-66.9829169894858,15.484102845381681,B,D,-2.067342448491398,23.759374979464788,-24.91183769318632,97.2015988665013,C,B,0
Non-binary,White,54.28227351818513,E,284.3540633698531,A,186.4528418242322,-67.00346393503254,-2.564367427484494,2.2187747059645764,E,D,30.37362392717992,-178.40824900595538,53.24292751763853,-58.05691327935985,B,C,1
M,Asian,156.5901599457445,D,34.07653250580715,B,-114.4923556672154,-4.3514526893816585,-189.99754565429342,-52.033844996629476,A,B,-161.86516977563835,94.23658391018459,-121.37769575720965,-160.44285944100568,D,B,0
M,White,124.18539997981969,D,-71.3759264186809,D,-10.697785541261368,129.57105175456283,45.922296332178504,80.39830630211628,B,E,31.480839233488616,-17.910125014903848,-61.33909944203372,-54.94697707539421,A,E,1
Non-binary,Hispanic,44.51189977202682,B,109.20204917326785,A,45.41680031779697,134.22697911404143,121.9789725866109,-186.74089538818123,A,E,5.510342139149003,-128.89595874961807,169.5167106482769,-91.34237858195871,C,A,0
Non-binary,African American,-131.4263782159916,A,-26.200856909249996,C,-210.22425381184857,105.48851097366256,-65.33024513267624,9.175348283621094,A,B,-66.9184174415015,-62.52747241520308,-58.01073124481433,-168.1172274891691,C,E,1
Non-binary,Other,32.11521438304385,A,69.58668961347131,A,43.59476501085038,23.47330601294248,48.34769372008217,-167.72989965920428,B,B,59.16979902084343,-41.41398826496302,92.61097184770128,-65.50447383096784,D,E,1
Non-binary,Black,115.25587518956921,C,26.20410944085028,E,-58.94992881039087,49.16907376503923,-200.47793250663526,6.362587317980392,E,C,3.905403052231842,-32.5880037217699,44.64264835268736,87.80389854447027,A,B,1
Female,Black,-94.88220003747399,A,139.82708213090967,E,39.80084238259884,-80.93829106873758,-125.4172974580332,84.70200985845484,C,C,-63.99933418981386,-7.776439343862811,-5.205754346649895,-57.987926903411555,D,B,0
F,Asian,54.35933340931096,C,-82.43413279637689,E,189.5773404414693,-10.480857165072283,40.81749389315162,-64.84110919723697,B,E,-107.76993523101441,222.45079831404377,87.60500412883957,22.270686235378335,C,C,0
Other,Asian,-28.075894911842497,D,149.06262702069057,D,93.72677340793645,-185.5910599195383,-231.8037440800675,-94.39736466924033,E,E,-48.30181519738295,81.1552431066802,-53.28580426823684,-50.863328473925925,A,C,1
Other,Other,-153.420088247737,C,237.23008025456673,B,-17.140309794964807,81.03670600514195,-26.147084852110464,-85.09117044745625,B,B,156.2384257272836,-128.03567381459712,-104.26697711870605,39.4428940310808,E,B,0
Female,Black,-61.73629308054382,B,-23.758700929793765,B,73.5769506279267,-71.4275951158601,-101.69171997302497,-151.86930535561564,A,D,-87.534422384801,-66.3814871346905,-77.19362407640516,51.95104114859086,A,E,1
Non-binary,Black,-93.1716007038756,E,-35.0349871858062,E,109.43121371955058,105.84873071649538,67.26727905393152,288.0961123041998,D,A,82.89407374118838,-141.32231352854507,-141.159828991808,126.08810025896831,D,A,1
Other,White,-54.2417930616508,A,-180.5965872690993,E,-69.49773805824357,21.94465836541614,-58.13427317909279,115.40775254575316,D,B,89.99538994110537,-66.29104024775586,-87.31418133015019,-72.18069002720662,B,E,0
M,White,57.60137002743227,E,-96.31451985158228,B,-118.73915249081648,-15.042646884751248,101.42510039013762,114.34823467357987,D,B,-42.282683104801684,-131.1328130596554,105.78950061625079,87.5082974395805,D,B,0
Non-binary,Other,-128.1801134700621,E,31.670007503176645,E,-26.476239114756865,84.87375796255422,40.65906793619666,-78.85912939240889,C,D,-107.65777115888358,-19.276071023742148,86.3951640105904,-109.74803949335138,A,C,1
F,Asian,-0.2437414182026065,B,-49.38873036310811,C,198.8272601954536,14.279913441119485,46.583627459977855,102.51932365864998,C,B,-36.09673321874611,231.3327286802784,22.89653468075428,-65.39623548375191,B,B,0
Non-binary,Other,-34.247143326371635,D,10.332539038786955,B,218.03046432442218,-36.03609818880179,-61.08224482815379,-160.40330453349364,A,A,-158.18836188308694,-123.51526104748636,-57.80548067178347,-2.3078715333706765,A,A,0
F,White,76.40339959909898,D,8.440156890109392,D,86.15893732947508,-126.27867494819655,42.55714175773842,113.02006477585704,E,E,45.80505772223753,33.95541153985872,-88.6843647558719,-56.45266989512356,A,A,1
M,White,40.737450163345834,E,161.3876823966822,A,-70.59921694690038,26.299354568385567,143.7922557392816,-91.45705849726743,E,D,-57.673225607668414,87.52812504281229,-2.381373051936268,-137.7822825560944,A,D,0
Non-binary,African American,40.25315486281224,D,-92.51294090215457,B,30.40730387424017,85.64461469342339,86.39258493996746,126.88203527262054,A,E,96.20501512129836,23.938162105148823,35.69346046999546,-7.240552051140306,C,D,0
M,Asian,-17.83969319693443,A,-10.935269753325134,C,9.31567873682344,-17.881020434938,-30.27775242270424,-44.141381816789185,D,D,105.55213754624246,-118.47393076668963,-31.700314020585946,-120.0623381399286,B,B,0
Other,African American,130.52370777202106,A,71.09294667880019,D,-40.716545030467834,-99.70800142016981,-156.33437989979672,23.307696931227106,D,C,-17.64190533292842,-67.47698921162592,-63.97469448533437,-19.38040905029499,C,B,1
Male,Black,99.44951245261024,C,122.88034392912547,B,45.905695104492,-51.68210951144474,-57.85867147445721,0.173545815712353,B,A,-118.88424998210367,43.671817171690115,-25.611917259934224,70.07562694378949,E,A,0
M,Asian,34.18279530014849,E,-88.79939480087782,E,-81.04662165570592,-202.66113117982997,-86.87652565770325,31.989177275332004,A,B,13.773171449080271,59.69283173960061,73.2825687608474,26.367702223704992,A,C,1
Other,Other,109.03009211442453,C,-43.90882859099893,E,-56.86091926951215,-137.86569482082822,-109.42089763841349,-48.439737082522896,B,D,-201.57708717023243,-97.8195450303665,22.933392603650677,-192.97426709590894,D,C,0
Female,White,85.96667689648363,A,75.60750019802005,C,12.045120854176206,-86.24143185813512,-77.5748399189325,-99.674890917827,D,C,-90.1101878748404,90.29437321041863,92.49323471064648,-63.957276229430015,C,C,1
Male,Asian,75.95052679783672,E,51.31064207811092,A,-122.63154560625307,108.67264978829816,-180.94835252582448,152.557292931645,A,E,144.1414951003798,100.47119232871835,47.45804171186405,32.53060284333107,D,E,0
Other,Other,-56.927483119075184,E,-95.58244802549196,D,19.660756730450636,52.42638227313533,-7.866269214572181,-131.25618242297833,D,E,-10.502995871590173,4.6935029947952245,43.00822272031206,-124.38244497826875,C,D,0
Female,Other,150.9409879480412,C,-94.57519479413364,A,114.70314863961295,80.82863284702772,-25.72035097711461,138.56317641556015,B,A,23.94109686217968,44.6054180538142,-164.43218338404958,160.03203416048143,E,C,0
M,Other,56.88956464427149,D,141.85503933623863,D,44.44053503995637,-265.73444074268025,47.86011923386801,95.77010069757551,D,C,66.70354102854662,40.11452801680179,89.85555702911742,27.33174409029418,E,E,0
Other,Hispanic,7.974190789650454,C,-10.640331595865254,A,-12.194129143720511,-89.03728084951905,54.62137134852977,-99.90161313855769,D,D,-49.22606486800497,22.83104781485975,-148.8956274065842,167.26253668634777,A,B,0
Non-binary,Asian,-227.34196633139345,E,-239.12468028624835,B,47.28215367044663,-78.838823278305,39.644597508291255,16.441191882439522,E,D,-6.871849139609528,-29.52365501158652,154.8413426654315,69.4392559308096,C,D,0
Non-binary,Black,287.27306267725703,A,-24.411228673109537,D,0.34528966849951626,-14.325323753112396,112.65832080880878,147.38796863121584,C,A,-239.00331129613818,45.03818291528202,32.37510406769649,-32.468383489515176,E,D,0
F,Asian,174.78978525008878,E,-55.97928146526828,E,-81.15270721951853,-134.57522881316658,30.329798562417903,-42.51582235713633,B,C,-55.49448021457014,17.26520160178017,37.063481335847634,-45.230052510516,E,C,0
Other,Asian,104.59398087831514,A,95.9604698133985,C,41.986412663565794,-108.76567681093472,31.412009326939344,-137.05347702244504,C,A,209.93261252828307,28.857215264479485,70.4799921219297,-42.093780375381876,D,D,1
F,White,-52.514439291992154,E,-89.20435928614062,D,44.52409524922689,88.96684194990691,189.00960961314235,-135.0185845554732,C,E,35.8070893255989,100.49539389969067,-9.75656082353402,182.36382174499045,D,D,0
F,Hispanic,12.557248187545216,B,61.34257880058372,C,1.8825976878272792,82.88492483916447,6.448393393826174,-87.31876202371521,C,C,8.636466375118944,171.6344094255713,-37.32107237549074,71.89018519086757,C,A,1
Other,Hispanic,-60.61288807338507,E,20.74876051833704,E,-3.768375648315398,-136.64486575047275,17.491918615328526,-57.52235927338709,D,A,26.20432641082567,33.68470352633076,-34.57482085011423,-88.5353290740899,A,A,1
M,Other,-79.63171704716999,D,-33.09101082358765,C,3.7201823672548375,151.10347315624318,-87.43710222242974,123.93765041055815,C,D,39.28323200579372,-1.025797075331159,28.75840805993603,-65.92883212838476,D,E,1
Other,Hispanic,-34.78380948981066,B,3.955210746669134,D,142.2404171489204,4.304547573442325,61.10906119973232,128.70332230982316,E,D,2.2670912435595296,-111.08197082301525,-116.69830282009201,-84.58323530001866,D,B,1
F,Other,-33.62267022972578,E,68.5433110717806,D,-12.601549309652682,69.79506199530442,140.37699591249873,-63.7065239522391,C,E,-36.57497829731761,-205.17090812108577,-80.90963972768063,-75.57625713124389,A,A,1
Male,Other,43.47018733516573,E,107.91854613493636,A,-68.56523287308136,-95.91733516310642,-85.23876949395667,-104.3321110017091,E,A,16.607412250524877,-1.124791199944995,101.83252139369345,50.00837030140099,A,B,0
F,Hispanic,48.447561870779964,D,93.78396055347773,B,-166.80345568414253,40.61199535070641,121.26487807357256,79.06690939008294,A,E,163.45121468687688,127.49482805126502,76.3534111223957,-166.46674437336816,D,E,0
Other,African American,-87.7269166093943,B,196.02670202833175,E,163.1107856339916,-31.9060130600256,-48.875650837165814,126.92321896190816,A,E,-51.54210448221422,12.067211466921748,-80.01637143248831,-50.38478344278361,D,C,1
M,African American,-164.65718909848238,C,-22.00806946495706,D,-72.79212715776764,-184.75385326512256,19.185300451942357,81.6767458712176,E,A,-106.79410502388849,-40.03599184904146,134.00297728003864,137.18762002786343,B,D,1
Male,Other,66.13929060107561,B,105.42728757359517,E,-5.094234073713102,-14.113221855759194,-17.670876864329895,-176.09501356878644,D,B,-87.07727017958584,3.071018454767491,-111.14121458234348,-119.92709622516674,D,A,1
Male,Hispanic,106.30359933454847,D,284.8684118659258,C,-14.723125590033817,-76.99091541356013,-42.68023651776798,-53.55546140194467,D,B,-38.6525838880162,10.94488631230878,-65.66821524474072,120.53765470607642,C,E,1
Female,Asian,-12.189066637555355,A,-50.25533029146063,E,33.91017568759963,108.06571562376159,66.09305024889896,-46.61052388400378,E,A,58.7933355106837,45.55530022689778,227.19848486507362,-80.38865591620171,C,E,0
M,Other,140.39114647237207,E,-69.72447641172991,B,-62.11306889866031,64.56100382453607,28.310670390829866,-140.08555734766455,D,C,-113.32534213057828,-125.87698952058336,118.03930895465335,184.64303015442349,E,D,0
Non-binary,Other,61.66289451728845,C,24.66554125630318,D,72.78408874012811,-48.58059091939761,-52.25142829815434,-143.44187912600972,A,E,7.410452372574676,-203.19000759300096,-43.93049820234386,-42.71417003525888,B,C,1
Male,Other,-29.058861886827902,A,125.29494890776955,A,-116.0650428344128,4.249715738835793,192.38543732866194,-86.0129199880863,E,A,-188.5390697535087,-15.574595674770961,-114.77911472060225,-67.49195252031059,E,E,0
F,Other,-176.20631801669055,D,-241.7407596750524,A,-1.4482747237553921,75.35013426057269,31.90281873071759,-112.13788185451354,C,B,-277.44517207399235,52.57627723082708,100.75631758281382,57.57418057512393,D,B,1
M,Hispanic,-243.02893770818636,A,21.866540360907972,B,114.6190875594814,-19.17201159472906,-13.032442392302485,-86.39604848909252,C,B,-42.139438361619845,-34.25905253917889,-28.538483712627905,-63.02463154023224,B,C,0
Male,Black,-58.83146619163433,E,-101.9221872863973,E,-205.38026990514945,-230.6624421867699,-136.88423992549934,-103.64961685017676,C,C,277.865411810121,18.260082810681986,-16.93821467108605,59.15667723924176,A,C,0
Female,African American,17.057840007168267,B,3.2639606234614393,C,29.013182853975124,-32.67646027978445,-34.56606881980792,-238.37803004989402,E,C,-127.46953891973081,-8.768524704748213,4.097482362079402,72.85517190321423,B,B,0
Other,White,-65.27110302640071,E,80.79275714164696,B,-139.31108521877806,-35.0693015864621,150.52760429688573,119.32864178186291,B,A,-140.16884879030295,-31.85004189596347,-116.13779476612602,31.78577802307393,A,B,0
Male,White,-8.467396506705652,E,76.32120039954442,D,107.89570072577797,-3.940492183866239,-30.62616634500769,49.42758214574348,E,A,-94.68898934541801,78.9265634596139,19.610059555830027,-50.19079534990154,D,B,1
F,Asian,-64.03069763174663,A,-17.368224772516736,D,-6.9544251434381605,169.6640716012809,126.43625297744101,36.66281026450091,B,C,34.36930963546098,-121.66704299284046,42.66834207799346,18.102894598530852,C,B,1
F,African American,19.60627268548579,C,-22.78434369351579,A,-119.40766564981476,-121.20153411668515,-7.1657090317961165,-148.91687091417452,C,D,57.945618052379075,56.28745200569936,142.02606793558138,-29.220021623071446,A,E,0
Non-binary,Hispanic,18.45090433246715,C,-144.06727813519998,C,-1.7937242505248725,-17.396359326068094,32.44831475418592,-164.46252450960824,E,C,198.17296462141317,103.05241478441312,-117.95961058659114,6.0148665197246975,C,B,1
