military,country,sexuality,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Veteran,China,Bisexual,Non-binary,-225.02176122944883,A,-102.7378527529697,-74.59655256827963,-18.921161907431372,E,C,1
No,UK,Bisexual,F,34.322068717024145,D,-145.95428525957007,12.8112321909231,103.03062035777411,C,B,1
No,UK,Heterosexual,Male,-46.40323324299942,C,-157.48081857103816,132.05903709797312,76.1688137110401,C,A,1
Veteran,UK,Heterosexual,Other,108.59107012843975,C,-125.04366650169064,-68.58773116385419,142.76010691899185,B,D,1
Non-Veteran,Germany,Heterosexual,Non-binary,34.709115101945414,A,-53.121152346193035,142.07619953369158,186.45195082092067,C,D,0
Veteran,Brazil,Homosexual,Other,62.9818853583089,B,42.94971039063611,122.82685950836417,50.819356109743005,C,E,1
No,Germany,Other,Other,139.45340581825923,C,-122.64946153662406,-32.453519610221285,-124.97902327937686,E,B,0
Veteran,Brazil,Other,Male,171.40026842927557,E,33.14773488934748,-77.42111607516486,-100.88663188760103,B,C,1
Veteran,Mexico,Heterosexual,Other,-5.642741500078797,C,-52.763835375445055,-12.834048812939056,-38.19640935993229,D,A,1
Non-Veteran,Other,Other,F,57.94753002783821,A,108.65101836186244,-95.67514021845537,208.7500923888288,B,E,0
Yes,Other,Homosexual,Male,30.75260539320754,D,78.87459411867488,-135.53566205970935,115.5287658630268,D,D,0
No,Germany,Heterosexual,F,114.9597670663691,C,-11.999119333959388,91.97411708533474,125.24809334276767,E,A,0
Veteran,Brazil,Homosexual,Male,-3.150702912397671,C,4.454706848980906,-46.94402094784566,5.321142020469918,E,C,1
Non-Veteran,Germany,Homosexual,Non-binary,-31.814487993881762,E,90.60171029728164,31.320367002462717,-82.35705011080968,B,D,0
Veteran,Brazil,Heterosexual,Female,-0.8155088501916483,A,40.46875899119787,-119.12089447018306,126.29377479153203,C,C,0
Non-Veteran,UK,Heterosexual,M,-45.96437386590293,E,-90.87132109982315,78.293704220289,46.64018743845048,E,A,1
No,India,Bisexual,Other,-54.483646367031035,D,-17.46882646691138,-166.98973424076937,-30.686207234545776,A,A,0
Yes,Brazil,Bisexual,Other,41.27014387506174,B,-2.3911870475572177,34.635930668617334,113.36286542160198,B,C,1
Yes,UK,Bisexual,Non-binary,31.95976822904684,C,-21.510248658796197,-78.23617912248943,102.55298351307411,B,B,1
No,Germany,Other,Male,-25.390481069114735,C,-48.875061523998895,30.768210720666822,88.92229535023138,B,B,0
Yes,China,Homosexual,F,-20.22285800657627,B,-52.60250092657072,95.10284212093684,-123.08185650234387,D,B,1
Yes,India,Homosexual,F,-21.748254400336062,A,-17.610832360132754,-66.07182088537638,31.59839933610934,C,E,1
Veteran,Germany,Other,F,-38.50106271478321,D,113.95692407627465,-12.588265742751037,-11.330932431508316,E,D,0
No,Other,Bisexual,M,145.71968468752382,A,-209.55337971347436,104.50408519947614,-20.978842463271512,D,B,0
No,US,Homosexual,F,66.27982834176302,A,-27.475071933778732,224.47089002730527,66.77960610769276,B,E,0
Veteran,Germany,Other,Non-binary,-16.75541194931826,C,-103.35311436445703,-70.61244870470414,-70.167420227912,A,E,1
Yes,US,Bisexual,F,-152.3996520650871,C,126.72953477144088,151.4308470988647,56.668357533405725,D,A,1
Non-Veteran,Other,Heterosexual,Non-binary,13.750652132008307,C,15.849859018393971,51.28423619082086,-20.558168672773476,E,E,0
Non-Veteran,India,Homosexual,F,-219.10401577761314,C,-79.67600852591525,41.4403450535792,-16.474346197991665,E,B,1
Yes,China,Homosexual,Female,63.07821597487398,B,74.59064575510766,-48.04275707741685,-87.31552473051075,A,D,0
Yes,Other,Homosexual,F,41.789097780847264,B,67.24902246039294,-66.95155555425033,68.8732206612307,E,B,1
Veteran,Other,Homosexual,Non-binary,-168.60812332122646,A,1.5565224574399306,-79.39639950819354,-58.0603989279921,E,A,0
Veteran,India,Heterosexual,Male,106.94734524673935,A,2.255146582001993,-84.46714351365249,6.6065525989836,B,B,0
Non-Veteran,Other,Heterosexual,M,114.93670851892976,B,-31.674133580714738,46.67036809857491,144.14902239307997,B,C,1
Non-Veteran,Other,Heterosexual,Non-binary,51.90029625069068,D,-8.453318438095653,-69.0364217696424,62.935844431411844,B,D,0
Veteran,Germany,Homosexual,M,-57.79113444092865,A,90.0335366700356,29.54183286558763,-15.623960402181147,D,A,1
Yes,US,Homosexual,Male,82.46927063392027,E,19.085510631091164,-57.047680654403564,9.308841207730547,C,A,0
No,Mexico,Heterosexual,M,-4.637667799891769,E,-96.42823997873303,67.11899731940832,-47.136595237597966,D,A,0
Non-Veteran,Germany,Heterosexual,Male,-204.66837714093705,E,-7.454563691648125,-63.2021254588455,76.80058601108121,E,C,1
No,Mexico,Bisexual,F,-79.01578216586468,C,-90.37544994894603,-142.04139948998375,-19.677574699053242,D,A,0
Yes,UK,Bisexual,Male,-57.925274807238395,B,-92.99309241784725,-98.54383789756905,-90.19143372490986,C,C,0
Yes,UK,Heterosexual,M,-19.857110584999933,C,-12.049259991289718,106.43493826062245,-6.397281473709902,D,C,1
Non-Veteran,Germany,Bisexual,Non-binary,195.16453795815022,E,-63.06501504934862,64.03881248463836,25.897065226820093,A,D,1
Non-Veteran,Mexico,Bisexual,F,-5.291036495742246,E,-181.8047735890615,-167.24732269949263,3.798081184403211,C,E,0
Veteran,US,Other,F,-58.18601247482809,B,128.81290219218604,-56.988842747822375,66.86674229099808,E,E,1
Non-Veteran,US,Homosexual,Other,68.57821849412161,E,-3.527879699633866,-136.93322663709543,-168.44370785143542,D,E,1
Non-Veteran,Other,Homosexual,Male,-176.421578224477,D,108.45276812251163,13.596035434629547,200.7372443814884,C,B,0
Veteran,Mexico,Homosexual,Female,31.935764614565816,D,88.08669404998004,-93.10551306760065,-8.715587217419388,A,B,1
Veteran,Mexico,Homosexual,F,-249.01093377339532,A,-74.17516988582294,-51.179401992852334,-8.310354207703671,A,B,0
Non-Veteran,Mexico,Heterosexual,Non-binary,-109.78044418967659,C,-168.52272541003163,288.36044301143113,-57.852793872247524,B,B,0
Non-Veteran,Brazil,Other,Other,156.0881958937853,A,-89.0027525595319,-17.19086569466904,27.25562971689575,E,E,0
No,China,Bisexual,Non-binary,-157.79351361692005,A,-106.77299594919253,-23.542208915343394,136.43721102647743,A,A,1
Non-Veteran,China,Homosexual,F,-60.10877965843709,D,11.316969561745106,255.30744673445597,1.7930834632911836,C,C,1
Veteran,UK,Homosexual,Male,-41.344120352459775,A,-102.91219115573158,-155.29452889783323,-0.18720993753755397,B,C,1
Veteran,Other,Bisexual,Non-binary,-101.79985957018364,B,-191.39425990729217,-268.31222050410236,-95.95448375146869,B,E,0
Non-Veteran,Brazil,Other,Non-binary,-149.12241363608248,E,118.45101862875529,19.714746075551933,68.90473561115293,B,C,0
Veteran,Other,Heterosexual,Other,103.58652578648216,E,68.03979186381808,-223.71571531592323,15.834225475483127,B,E,1
No,India,Homosexual,Female,71.95552715409632,B,127.99388330102359,98.1749118089645,20.40511164363312,A,C,0
No,UK,Heterosexual,F,-176.63835112742504,D,100.34004160164376,-183.42474390806353,74.58251977966454,E,D,0
Non-Veteran,Other,Homosexual,M,94.4112059600081,B,1.1200614273896565,91.33866929105575,48.536597593255145,E,C,1
Non-Veteran,Mexico,Heterosexual,F,-89.19423326813381,B,6.331336157825221,217.86302247128523,-85.67037899282356,C,C,1
Veteran,Germany,Other,Non-binary,54.68974419256676,E,12.557931502086598,51.130372671337945,7.738479087485175,E,E,1
Non-Veteran,Mexico,Heterosexual,M,-15.952349163986316,B,-26.049734384507296,-78.86867633527098,49.54869111561561,D,B,1
Yes,China,Other,F,67.47573611771955,D,-130.15441027204923,77.45597835732885,29.342134173917433,A,E,0
Veteran,India,Bisexual,Male,-108.86905579184022,E,-107.86214867731192,-38.52221580453954,22.014052004134705,A,D,1
No,India,Heterosexual,M,-8.435203930315996,B,-18.379500764416115,-15.670293343955425,78.0555554916719,C,B,0
Non-Veteran,Mexico,Heterosexual,Female,141.20376133901968,C,-152.18866211822203,-127.16563601741714,78.15654208399208,E,A,0
Yes,Mexico,Bisexual,Non-binary,25.954929433571934,A,-15.457343906270356,33.4385426244451,-104.70880452109353,E,D,0
No,Mexico,Other,Non-binary,26.649660313969868,D,94.15768919453397,46.05492862288909,141.32365367808,D,C,0
No,UK,Other,Non-binary,-137.02093125581314,E,13.12376087802134,15.781160045500911,-158.39406021076763,D,C,0
Veteran,Mexico,Heterosexual,Male,232.35720138910426,E,-23.98986239961294,-0.330663870090595,-144.8378898331617,E,E,1
Veteran,Other,Homosexual,Other,-100.09729800193885,E,106.81095056695678,83.68116758639697,18.38085550008229,E,C,1
Non-Veteran,Brazil,Homosexual,Male,173.9553509351049,A,-170.9240785447584,-80.32753310514957,139.77776884323507,B,A,1
No,UK,Homosexual,Non-binary,279.16244021942697,C,-123.57948641081306,-8.920293053034548,88.7595570129724,A,D,0
Veteran,UK,Other,F,-139.4380079551609,B,-39.70503590648794,77.17611386020491,-40.61561706453028,E,A,0
Non-Veteran,Germany,Heterosexual,Other,-121.93143839056637,B,248.34476492138327,39.341312540541814,90.97033163394823,B,B,0
No,Germany,Homosexual,Non-binary,169.86854184010141,A,-23.667950817397053,29.382673749686006,134.163352408916,A,D,0
No,US,Heterosexual,Male,-45.08020259739679,D,-99.66909187090674,-5.742112064753705,-213.84739302549974,A,A,1
Yes,Other,Other,F,-22.447653463609203,C,-32.83889969348069,124.50796883600196,105.88519441964877,C,C,1
Veteran,US,Other,F,-18.554196754361296,E,-3.205681707771967,-89.07701130008827,-150.37156779768802,C,E,0
Yes,US,Heterosexual,Female,-21.72138917215228,D,-26.01473451890872,-117.57035652201897,65.57039068998029,A,C,1
Non-Veteran,Germany,Other,F,109.77160816220295,B,86.07993715792237,102.60994181712755,15.392081462983743,E,D,1
No,UK,Other,F,110.77643802548045,C,-52.39367582143196,64.58279845958684,146.3524402556107,C,B,0
Veteran,China,Homosexual,Non-binary,-1.0466859493401581,B,-88.47457786855198,-250.38098469378048,-46.935778690156305,C,A,1
Non-Veteran,Germany,Heterosexual,Male,-116.1921826452333,A,67.40795282336963,20.226208213437747,-160.00509108531557,E,D,1
Non-Veteran,Mexico,Other,Male,-29.332630720730506,C,-86.35123150982422,55.54270444796545,-62.7217730703292,C,E,1
Veteran,Germany,Bisexual,F,16.457831189437737,A,98.59736838607228,-29.80739801530271,-149.14411431278023,B,C,1
Veteran,Germany,Heterosexual,F,-4.446161523890643,E,164.24632622416405,-5.817469049573147,-38.89931952787697,B,D,0
Yes,China,Heterosexual,Other,42.950804999633796,C,-51.40393017553421,-64.90093081299432,85.3281255971318,B,B,0
Non-Veteran,UK,Bisexual,M,3.995710788871266,C,-73.12300415155768,56.10733796078484,9.95376540330899,D,B,1
Veteran,US,Other,Male,-16.289071934823,E,11.55472522552315,-41.81437014944088,-108.70086021841684,B,A,0
Veteran,UK,Other,Non-binary,36.682923898782015,B,-120.8410563377912,-44.20919022223845,-49.90157825161923,B,B,1
Veteran,US,Other,M,127.1022378254386,D,114.83596998043927,110.89473609513117,114.69677213233891,C,D,1
Yes,Other,Other,Male,98.86317070513057,C,-2.9577983760429034,-135.3382134913524,233.38348797232683,C,D,0
Veteran,Other,Heterosexual,Male,122.29776299672699,E,-37.74660748555764,-5.596410363652096,-95.82679057945916,A,A,1
Veteran,India,Bisexual,M,20.45005447467669,C,105.21145778347535,-62.64614532237115,8.035940490870729,D,D,0
Non-Veteran,China,Other,F,-147.7087214127394,B,70.72165639804354,-4.140701100013568,-170.37583110439212,D,D,1
Veteran,Other,Other,M,-2.33575318056884,E,169.46437036923788,-67.03263429004033,-37.70624785455193,E,A,0
No,China,Bisexual,Non-binary,200.44783270317131,A,-169.03285990536892,-16.977204010384785,121.84753927481364,C,B,0
Yes,Mexico,Other,M,90.16073157433341,A,45.82361955625917,190.40675651914117,148.1982904882429,A,D,0
Yes,Brazil,Bisexual,Other,16.933364536267124,E,-25.547905327723893,-72.74528329674,-89.04093578355534,C,C,1
Non-Veteran,Germany,Homosexual,F,27.929048298772592,C,-101.82103694139037,145.3080136362322,-23.3912423760677,D,D,1
Non-Veteran,UK,Other,M,127.76664599071243,D,66.01293048960127,-54.60927272811582,125.80934017016084,D,B,0
No,Other,Homosexual,F,-2.1871329700790123,D,31.491396681065154,-125.3587811726805,-19.10313279118025,A,B,0
Non-Veteran,Mexico,Bisexual,Non-binary,175.11950991156635,B,-59.861378916729,-4.040708323890852,69.83368980011134,D,A,1
Non-Veteran,Brazil,Homosexual,Other,-28.626603205854444,B,-130.67450647961962,-77.04146158116114,-5.748448432335478,B,B,0
Non-Veteran,UK,Homosexual,Other,7.975770343496304,E,-126.8896320551836,-174.5432515353077,-32.31367048451078,B,B,1
Yes,India,Other,Male,29.17647578439679,A,76.22991760859983,127.28777049399935,-12.620514223114471,D,A,0
No,UK,Heterosexual,Non-binary,123.98514878712506,C,-80.03281411622908,-57.40507859584636,-11.730269599953559,B,D,1
Yes,Other,Bisexual,M,-20.92411379941172,E,-19.658143796034864,-67.96753392756288,14.743122785196059,E,C,1
Veteran,UK,Bisexual,Other,-193.7976340254437,D,103.78870135322606,-27.93418761841134,-30.205002758390993,E,B,0
No,Other,Homosexual,M,162.3478613066063,E,-35.255391922583996,-36.41418133777095,-83.10656577128412,B,B,0
Non-Veteran,Other,Bisexual,M,-6.29912154718478,B,-11.451768312015396,-131.22912971631402,21.696596968340693,D,A,0
No,China,Homosexual,Male,-146.91283379451065,D,-97.74922327784563,83.92294921487662,-40.4109419045608,B,E,1
No,China,Other,Non-binary,-54.62644221488077,C,64.29646412858796,107.40629772939745,77.08417312776963,C,A,0
Non-Veteran,UK,Other,Non-binary,-75.06301331032333,D,64.92706333222218,-48.56355976669596,63.75023550372148,E,B,0
Non-Veteran,China,Other,Male,-189.0528419325661,D,-34.9177473128719,-187.8675123450108,5.400624728741716,C,D,0
Veteran,Mexico,Other,Male,290.23276511117615,D,48.81199026235962,91.77566758636523,15.395991099769372,A,B,1
Non-Veteran,Brazil,Bisexual,F,133.8164669254685,A,76.994951646858,21.63843207169494,0.8532149146002846,E,B,0
Yes,UK,Other,M,37.735820116372835,B,62.03319347896069,158.43874083579954,-46.7275923243344,D,D,0
No,Other,Bisexual,Female,-59.51618689059508,C,-112.62316938433861,-104.11847812238501,-200.14339372992768,D,C,1
Non-Veteran,China,Other,Other,78.8387163018781,E,-98.15732112853954,-77.53961784189148,34.96369815309552,E,E,0
Veteran,US,Homosexual,Male,-60.689872649404286,C,92.23279120424922,111.07420709651552,144.11644196091154,A,A,0
Yes,Germany,Homosexual,Female,-160.5049941758737,E,-22.897999503632686,-82.32870460962512,64.37245682599531,A,C,1
Non-Veteran,UK,Heterosexual,Other,209.44802118638464,B,7.444686506904128,61.74357075342548,-103.49388704796371,C,E,1
Non-Veteran,Germany,Bisexual,Male,143.61911250706757,B,56.50889690849655,-4.6320803928350776,-62.79414780932695,A,E,1
Non-Veteran,Germany,Heterosexual,F,-109.42620360722832,A,111.31778343563425,-157.04342770878773,-13.794896675042501,E,B,0
Veteran,US,Homosexual,Other,40.231968259047754,D,-73.68424639631871,163.16769727502552,-63.26278869868974,E,E,0
Yes,Germany,Other,F,224.88542537796397,B,95.52037046027002,-138.67442881824564,-73.31752374526636,E,D,0
Non-Veteran,Mexico,Bisexual,Non-binary,-134.8613105949041,B,65.91699212901926,-107.98402232653184,-69.24902202269571,B,B,1
No,UK,Other,Non-binary,143.02648039186735,D,-134.37648513530254,-133.2134444081042,49.45865869105765,C,B,0
Yes,China,Other,Non-binary,-40.53404495754789,A,-4.955418716090905,117.1050060757864,30.809955996746336,D,E,1
Non-Veteran,US,Heterosexual,Male,-132.2159935734327,C,132.77978035986487,245.47374918541425,-296.02609022166234,A,D,0
Non-Veteran,US,Bisexual,F,29.543276268500858,B,27.400799277939424,-243.50853987073978,106.84349881539586,A,B,0
Veteran,China,Heterosexual,M,-75.74124193954495,C,-36.60836717771963,85.68765378287792,25.188466304575385,C,C,0
Non-Veteran,US,Homosexual,M,74.88747661064897,E,127.27228402053656,-166.27692560697818,-12.088360693810628,A,E,0
Non-Veteran,UK,Heterosexual,F,-4.575099189967466,C,-77.03995618186762,-4.026559357187289,110.1429449576744,A,C,1
Non-Veteran,UK,Heterosexual,M,-43.88108781875884,A,108.53258669228461,15.816060238157236,49.061034154548835,E,C,0
No,China,Other,M,-148.23270812532968,E,-68.99494404825379,-17.032831503323827,-1.9718633565428065,C,A,0
Non-Veteran,Germany,Homosexual,M,-42.76531369976406,B,-40.95232569569919,-57.12549740589819,144.5513113507367,E,C,0
No,Mexico,Other,Non-binary,26.559200863214926,B,-4.543630464111923,-127.05150434593308,10.24262069763857,D,E,1
No,Other,Heterosexual,Non-binary,-83.40174149925022,B,62.54137814065933,138.88308767855858,-23.47467596231512,E,C,1
Veteran,China,Other,Female,96.12281786729429,E,-163.6156115323966,61.20676232324862,-11.257124023570734,A,E,1
No,Brazil,Other,F,43.06117091942268,C,136.19280001106594,98.16167978279253,71.68787685951911,B,C,1
No,Other,Other,Male,45.79397051376465,D,-27.160166080085357,83.46945667139875,-8.62825271805929,A,C,0
Non-Veteran,India,Homosexual,F,91.28306647300555,C,196.46821312593164,61.58161013778113,62.746309160158006,A,B,1
No,China,Heterosexual,Other,-0.022190570716981505,D,-0.1094682905314581,-77.87449321700764,-19.252199308458437,D,C,0
Veteran,India,Bisexual,Non-binary,1.177281301364615,A,19.80336658538017,-30.373017098056543,45.03809539885755,C,A,0
No,Mexico,Other,Male,-177.6227238047192,C,24.971520759475887,-6.753684614060516,159.97639112247452,B,C,0
Yes,India,Heterosexual,F,-21.495349818357404,C,12.304936401683053,-147.97193574420905,-85.91969803478011,C,E,0
Non-Veteran,US,Homosexual,M,20.673331267062217,E,-106.99556181118659,-26.364327162872627,165.51385206304346,C,C,1
Veteran,Other,Other,Male,106.67570466388723,D,-77.06869254434416,96.89203642519911,-213.1626108268827,A,B,0
Veteran,India,Homosexual,F,-11.771112754715315,A,44.82233685510407,79.20986125862734,29.220769170037347,A,E,1
No,Mexico,Bisexual,Male,-57.360598629162126,C,151.7030160727831,18.445132103956734,154.39117094213915,E,D,0
Non-Veteran,Germany,Heterosexual,M,-206.21497401115104,B,-171.69862113876016,-84.57629741308685,57.61336263118153,B,B,1
Veteran,Other,Homosexual,Male,84.05382525556895,D,-269.5303260181917,-10.407407191302132,-33.15527635105538,E,B,1
Non-Veteran,Brazil,Homosexual,Non-binary,131.61226578285877,B,-30.273569412854854,-46.63177447263788,-212.33318323502735,C,D,1
Yes,India,Homosexual,Non-binary,-129.60134801849634,D,-202.379801720881,33.08776339296964,38.81654906534471,A,B,1
Yes,China,Bisexual,Female,141.31925096635567,E,-155.0227889894443,105.95494366756961,103.90168360097172,D,C,0
Veteran,Mexico,Homosexual,F,-33.80984727220694,B,10.967551844118315,62.45015803309555,-109.07408700100991,A,C,1
Yes,US,Other,M,-137.57663174025373,C,26.138349114437325,-13.56211967726634,-46.66792626742583,E,B,0
No,China,Homosexual,Male,92.41955953950131,C,20.058560165841303,-31.6258474636328,7.299096468130951,C,C,1
Veteran,Other,Heterosexual,F,52.236430291698454,C,152.8808601340289,-166.9740056280395,-127.92140882402774,A,E,1
Veteran,India,Homosexual,Non-binary,-41.8477704145318,D,-6.305623349737196,137.88990037426512,-29.163857614854305,E,E,0
No,Mexico,Bisexual,Non-binary,113.16497064025022,A,14.449387420854459,273.1907030751678,39.81824119066613,D,B,1
Non-Veteran,Brazil,Heterosexual,Other,39.67881470696266,B,-17.356017264527267,-74.86236655293355,-41.90454420508574,C,B,0
Yes,Other,Bisexual,Non-binary,-9.849758393969644,C,-131.16356194746464,63.36676024598644,31.991367760656033,C,D,1
Veteran,China,Heterosexual,Other,54.06887555099429,D,-164.83157030618335,-48.44309984523639,112.43304199285511,A,D,0
No,US,Bisexual,Other,128.45726404246972,C,144.0128899184555,39.57086680386324,15.817262812051169,C,C,0
Yes,US,Bisexual,F,104.00206414656698,C,-27.49373930395888,94.08557812694784,29.138099531928397,B,C,1
No,India,Other,Other,74.17151767884631,B,176.97463158343797,-81.83175842285394,93.43054838219999,E,D,0
Yes,Mexico,Bisexual,Other,152.4219223332111,D,74.2174492051946,-22.545785456367735,-87.19951065253596,A,B,0
Yes,Other,Homosexual,Male,-193.1471184343422,C,341.3979755402238,157.41655274406799,-29.394110893613117,A,A,0
No,UK,Bisexual,F,137.71345157066224,E,39.821324375710084,-38.40949242619169,-28.075139227567707,E,B,1
Veteran,Mexico,Other,Male,108.72770876660987,A,21.919995871742024,-193.26529061997363,-104.04913316023409,A,C,1
Non-Veteran,Germany,Bisexual,Female,186.27824076486678,C,8.555846089337155,40.37147184368473,265.3328458614387,D,C,0
Non-Veteran,UK,Bisexual,Male,2.9397939199842287,B,23.4376305833306,187.76307634809874,-131.78933982323971,E,E,1
Veteran,Brazil,Homosexual,F,-59.987846382205426,D,132.89866319563725,-37.57057438492232,-277.61417310109584,A,C,1
Non-Veteran,US,Heterosexual,Female,93.1217032715904,E,57.21190278358969,-121.75948692556003,39.496276666156724,B,C,1
Non-Veteran,UK,Homosexual,Male,54.6930527286602,A,57.06249278450052,-26.55207970614841,16.604522428970107,A,B,0
Veteran,China,Other,Male,33.68618218181236,D,52.27065665931169,46.68914076135113,75.90034407900885,E,E,1
No,Other,Bisexual,Female,29.95913622904239,E,1.2966843341716272,205.9410147954356,69.8057087045813,C,B,0
Yes,UK,Heterosexual,Non-binary,-15.18723073919071,B,57.0388221262721,-147.61883483238753,38.21052059242085,D,C,0
Veteran,UK,Bisexual,F,0.2538738824820323,E,-122.79615204477341,-129.528228635879,-36.76586901390069,D,B,1
Yes,Brazil,Heterosexual,Male,-91.67994345676854,C,121.35067323321289,-205.5243668552949,-74.95286631865386,A,E,1
Veteran,China,Bisexual,Other,-53.88367888311405,C,38.408555254299614,-109.24425939458067,-165.19164982372376,C,E,0
Non-Veteran,Brazil,Homosexual,Non-binary,-22.608916975568796,A,67.9033750676813,106.99493960249242,0.9147181886221623,B,D,1
No,China,Heterosexual,F,45.63515490752315,B,364.87161286873265,-157.18822175524238,-165.40115381665555,E,C,1
No,Brazil,Bisexual,Other,126.48397013139794,D,-104.23331560539705,-272.78606960107317,-117.99255480962172,C,E,0
No,US,Other,M,75.45522419874558,D,167.19179116427242,-171.1497933505048,216.0960030718634,C,C,0
No,Mexico,Homosexual,Female,43.69359638977197,C,-98.1511272140194,2.276608124295781,-124.18411499823682,A,E,0
Veteran,Other,Homosexual,Other,-126.72915749876283,D,-235.28294491933656,-172.72796158059504,-76.6933431265344,B,A,1
Yes,Other,Other,F,-40.387613167417115,E,122.6141337593519,98.03377472665024,96.62300835944008,C,B,1
