sex,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Male,UK,-95.02107384446728,6.433726401884051,-249.38092666008137,121.16656169847644,-239.71207545734376,A,B,B,C,A,C,-127.34529391474297,B,C,100.90276772980246,0
Other,India,22.670431484859073,-126.23109950572953,-24.864350821897638,-141.62843357575886,-93.93167994171102,B,E,B,C,C,E,-77.58650684408214,A,B,80.95909319055644,0
Female,China,11.283494831950186,-14.711337849203899,9.474277457099982,-71.2584039686697,-170.77925366017436,C,A,A,B,A,C,-25.88901016679028,E,D,161.7360192188404,0
Male,Other,-87.87087011578161,130.661205396694,203.85623232895696,-64.93272388765617,98.74165688566072,B,D,B,D,E,B,90.55456747592672,B,E,55.68560826712757,1
Other,UK,20.507917174638276,92.09480624117498,-91.95520246173162,28.284204499688663,21.61414216531107,E,C,D,D,E,E,-126.42928709381644,E,C,-122.71727377767077,0
Male,US,26.414768282992128,40.00633293171252,76.33609506868662,-11.582116216101864,-91.49542558316604,E,B,E,D,C,E,30.64240207049783,D,A,-34.94155137857,1
F,Mexico,-67.26351271955546,44.3874769792606,55.89076006837023,56.01302382271732,63.2309344016343,C,C,E,D,E,C,-42.35400876451319,E,D,-84.16444425694976,0
Female,China,41.271702827616764,109.88722757072658,40.45492557010561,16.106528063121843,164.53812461235117,C,E,B,C,B,B,97.39072359911461,D,C,-12.629292746978182,1
Other,Brazil,8.883550668636953,6.1357897713206375,-2.2101758471927724,22.292401691574774,39.38460261699044,A,D,E,C,D,E,0.5808288673379712,C,A,-131.03937524693788,1
Other,US,140.50194522354147,-166.2236630449475,136.05558355750526,-83.12007202628547,-237.2234877050622,B,B,C,E,A,B,-181.85085169242933,E,A,-13.163003403228482,0
Female,Brazil,-87.26998784689141,-97.13166370365506,-68.5382384118775,177.49142352464148,-22.230983609944335,E,C,E,B,C,E,64.6944950775926,C,E,-183.11837152093565,1
Other,Other,30.54855737872295,13.423410452655338,79.18678506598529,140.65611415335633,-36.48535432249493,D,E,C,C,D,A,30.512264584533227,C,C,25.073700087918425,0
Male,Germany,52.472761584073744,-34.44384082570867,35.02838870168591,8.717681338470708,-224.12730884903667,C,C,B,B,D,E,60.75633616278226,E,B,23.63069310513565,0
Other,Mexico,202.67674854768595,36.40882701493658,-105.26366306831554,-199.10133919178256,-158.08454099739222,C,E,D,B,E,B,-105.47638398252532,B,E,10.950557274519742,0
Other,China,79.34833502587647,-109.59523766420331,67.55241425463274,107.02891659679219,-54.632065396857264,C,B,D,E,A,B,33.50369019425459,D,A,85.2636767211633,1
Male,India,-102.62557377236436,182.8831107868759,-256.72792112161653,-47.59117988966978,109.66197268666447,B,C,B,A,A,D,107.52476156546085,A,D,-72.15936779382618,0
F,UK,-33.15145378451143,73.94048119295051,96.95155912502771,-104.10629230159579,71.56233471563093,E,B,C,B,E,D,-97.55276519459444,B,A,5.442941791666822,0
Other,Other,24.268944695893666,14.028949381017105,210.3822049784157,74.2458134996954,125.65579309050162,C,A,D,B,E,E,-56.813293152957854,E,A,-65.31155448205172,0
M,US,107.13788818665535,123.68739132633873,-97.04446459639374,76.16267920935695,-7.8447279766472295,D,C,B,A,E,A,-131.82755115926653,C,E,79.5502770036077,0
F,India,-157.99987325170915,72.20359326545139,174.51632422105095,-157.50086552545523,-85.29508705245479,E,D,B,A,C,B,-43.95033154343789,A,D,-5.298662791040468,1
Male,China,-257.3584595461496,-227.21379476630625,-231.47445519665317,13.968415219656222,-195.60360990465367,A,D,A,C,E,C,179.9631162175426,C,C,-150.67475201916056,1
M,US,-99.21817765903569,69.83796874079468,-28.674236900450595,17.41019095722533,-74.64974398434909,D,A,D,E,C,A,-128.75185887664432,C,A,-25.913863921494595,0
Female,Mexico,12.733927040637036,214.5134872532231,81.96110202420742,-58.38905125401131,14.887405425594588,B,D,E,E,B,C,-294.45884730529934,A,A,-115.44630880083389,1
F,UK,3.877988624131295,117.81822629494798,29.37346572305965,35.43286598965921,127.81525317903129,B,C,A,C,C,C,-140.36459335546613,B,A,39.587620522386565,1
Male,Other,-190.5526155953075,-106.19096567724186,56.999286384965885,-25.83040544431747,156.82182982841093,A,E,D,B,E,D,84.79611243047427,B,A,-126.16439074495193,1
M,US,-165.633049288861,-56.13362719125201,46.92670979001467,-76.27062357597237,159.27634718629767,B,E,B,D,C,D,-29.247898138119687,B,A,-51.49486802179245,0
M,China,57.48950680543216,-72.58286458748043,42.94872586354161,20.74537257166539,-110.53086101204426,B,A,B,C,E,B,48.36534383101302,B,C,-19.011445877994795,1
Male,UK,56.14648098227721,-160.93280459484203,10.570310319758361,-104.91631129690542,243.2289614306186,C,B,E,D,B,D,-51.985011432508024,C,A,-52.82189702975785,0
Non-binary,India,140.66780779627535,21.730495829488742,-158.93786410326427,-220.09404081389246,62.541868148484994,B,D,D,B,A,C,5.514707895648711,C,C,108.81519773822421,1
Male,US,61.39792394635313,-74.85860148822124,-218.3648443757768,168.87261301983355,11.791528421646357,A,D,A,C,B,D,7.491165302743365,A,D,-123.59249028538602,1
Non-binary,Other,64.49487423316765,-88.70661761918184,-5.14694363036887,-6.687543512954619,31.22518670328258,E,E,B,D,E,E,-242.3553061160741,E,B,23.446084681657688,0
Other,US,-73.07301054857305,52.367973097706475,-77.31368403561709,-25.053210191112164,103.3570403280403,E,D,C,C,D,A,-65.97425654884287,C,D,77.2382243122005,0
Female,China,121.60471724749993,-36.157959338926815,-33.47992878604992,9.673511562236547,-46.3542258968897,D,E,A,D,E,D,6.404660652561745,A,B,4.096285034157597,0
Male,UK,63.82196115713885,-58.98080772124551,107.53160632975889,-3.881398033552023,-145.20995369828617,D,E,C,B,A,D,-63.98885838445941,D,D,55.71365081667095,0
Other,Germany,-4.784399779979894,5.779429650723616,-127.63750065612803,16.66895139711653,-98.86402089806874,D,A,B,D,E,A,-13.555825241894778,B,C,-264.7251716756548,0
Female,UK,-137.07146586640675,-22.531639194852957,79.95226927347085,-48.55481533723985,54.64706404433098,D,A,E,B,D,B,-14.713320683352874,A,A,-45.752777324057554,1
Other,Other,-157.5910433127686,118.54031409384531,97.37360064907614,-178.43065550859777,246.11803564068146,A,B,A,A,D,B,-166.0086275863707,E,A,31.706925578567752,1
Other,UK,-107.34617041191498,152.63406825801803,138.78812217374127,-21.57648554353765,0.9401979602068596,C,D,C,E,B,B,-98.06766646629154,A,C,-104.18909850368433,0
Male,China,-160.88873216535592,22.359024005413435,-13.052566493888978,-221.801650494534,-206.29685932255714,E,A,C,D,A,A,-92.30885221065547,E,D,134.23480416140958,1
Non-binary,Mexico,94.53141216208903,55.54311179863224,34.85778760322026,-292.7743633474067,-36.99623493527685,B,E,A,B,C,C,88.65450252138032,B,E,144.81678875798383,0
Male,Germany,-24.26110606909799,9.41406635950392,163.51137866574385,63.0670201357206,-24.578698773402873,C,C,D,E,D,D,-16.629460247455405,D,D,-31.911997813784037,0
Non-binary,US,34.36392219451262,106.15981508600146,194.70635848383876,-28.552388744182778,-141.79943212104072,E,E,C,E,A,D,181.49096606083762,B,A,-57.12350729759038,1
M,India,34.11464535807659,-144.17005100720465,84.85188551954397,116.93373939234803,39.79580307744224,A,D,C,C,B,B,9.707791884190666,B,E,64.71366615112782,0
Non-binary,UK,-112.82185096851296,-33.30753826512545,38.674237211605984,2.1605407174102,-213.81042605035296,D,D,C,B,D,A,-19.45685480158156,A,A,138.08528888591894,1
F,Other,-71.14088822968553,-71.62099344659451,92.45385207621318,-24.048742433181943,-235.82280955342685,B,A,B,A,B,C,-124.70311919101972,B,E,96.11753150579278,1
Other,US,87.15184020344452,-76.37002293058313,60.66711265599035,109.09988791147163,-114.65218080640844,E,E,D,E,E,A,-77.80041504645347,A,C,69.76251484285126,0
M,UK,-4.307770045245823,-60.742419116040914,-74.89538578303726,234.38341397797538,-7.925949883259525,C,E,E,B,E,C,86.9858400406503,D,C,146.76664152649627,0
Other,India,40.717363339699695,113.28706702275717,57.19268535478186,104.2161943255787,1.2827800022458589,D,C,E,D,B,E,47.31257528685564,C,E,-125.64343401677536,1
Other,UK,-73.11331922338236,-181.17175193149052,75.14686530338986,34.365730443367525,71.9876974454385,C,A,C,D,D,D,218.45110068167065,A,D,-149.29334656662655,1
Non-binary,Other,-95.8133934248475,-146.54134061785948,-99.97447561822209,251.65679544359932,13.697657335788788,E,A,D,B,A,C,88.79448876641625,A,A,-9.102533130787677,1
F,Germany,-21.63216608735205,94.46443701324579,288.5190498810308,51.686508135882626,70.58082350378176,A,B,B,C,B,E,-167.55317561775632,A,D,-137.24053063714368,0
Female,India,43.36961254583818,-41.191002692488645,-31.535690699647606,-49.64621047134668,56.94810070401712,C,A,A,C,B,B,4.008239048995219,D,D,71.73011852014528,0
M,Other,-84.27359277694656,-17.43061651098932,-70.80853449104853,-89.28262647213603,39.78105552702752,D,C,E,D,D,B,30.542764080977662,C,B,2.6080097315464066,1
Female,US,45.12465473194232,-36.292876038846494,112.6980797673931,29.79086820215336,8.45563548712881,D,A,D,D,D,E,64.2586178704865,A,C,186.72256538863402,1
M,China,38.29234522183438,-84.35994798916595,-83.2746958649468,-0.18110733467221965,109.97604474962448,C,C,D,A,E,E,-55.138439231454406,E,E,-127.67239612416779,0
F,UK,101.02467963682177,92.0142221088623,33.81283394047189,101.1950821521544,-44.46862377976545,A,C,E,C,E,E,-141.81168880753305,E,C,22.511364570544988,1
M,US,-64.60500252740965,-60.916359421864875,102.1700195369361,-124.18533677110979,48.468753695458915,D,A,B,E,B,E,-8.891997700407563,A,B,106.80834594865686,1
Other,US,166.74317198885137,81.26151326472593,-9.789593765384243,-44.65641924866315,71.99101820944917,A,B,C,C,D,E,12.185735017722171,B,B,-7.123403196649258,1
F,US,63.404527777254806,152.34416991561162,31.28247723914997,-187.22443592797737,-28.280278679262093,C,D,E,B,D,B,57.475525651651196,C,B,76.62616489020692,0
F,India,97.67661892538264,47.26788219261583,-10.141670735763327,24.83267163330643,-213.14698560712029,E,D,B,B,A,A,-221.44484826027093,B,B,37.485849880667985,1
Other,Other,-3.829224307558076,27.059813590306582,-37.13633205005895,134.3499568372905,-72.27025117869417,C,B,D,D,D,B,-113.36477715841558,E,D,-205.01374264118945,1
M,Brazil,-51.27244665431555,-43.95260239361128,160.85782172312716,-124.1915579293757,-15.868450117722762,B,A,D,B,E,E,35.329182191968286,A,B,70.58306266872856,0
Male,US,-51.23608855812202,-46.652674629564395,-7.7382445538812,-19.83473428772607,73.1902195855755,D,C,D,B,A,A,-96.57712054398404,E,C,-20.99217873842282,0
M,UK,45.68101449223091,167.6374683266912,90.15558955548043,-53.20031140414444,69.67472380418268,C,C,D,B,A,A,-86.21773496264761,D,C,-139.8738079386672,1
M,US,-161.05053527869475,171.1517221505235,1.2817206452603376,-68.39848866895181,-120.50634392096026,A,D,E,C,E,E,-64.5862464654642,E,B,-120.75657618536957,1
M,UK,-62.69152192878047,-87.13022611245952,51.36077465101607,25.074739429212872,-6.24105099792877,D,E,B,C,A,B,48.29377377096725,C,D,47.1958055638877,1
Male,Mexico,-190.6502162268563,30.702117050309802,47.07828574963686,-23.031596032377173,102.53007374443264,C,C,A,B,C,E,181.4088264170347,C,A,1.4486611307562087,1
Non-binary,Other,36.23079698279222,-104.00194554483926,185.2098744014072,81.51674102766498,155.73645328974374,C,A,B,D,D,E,51.52305142261389,A,B,-118.44079345665386,1
Other,Other,114.30707290441404,-44.05076831151174,-46.32966337663282,-86.03959407526601,120.54476021823524,D,C,D,A,C,A,-24.08422573320579,B,E,-19.01282604492545,0
Non-binary,US,17.032885767086896,36.896743225072555,-51.900742996118886,108.99693560992422,-40.4260519005472,D,D,E,E,E,B,-62.643490490287824,A,A,8.648870523568181,1
Other,Other,54.349999789959455,87.85790189272414,-57.41759161415669,-142.7556988712125,-14.938980703711474,C,E,D,C,A,C,-161.23638787729251,E,E,-71.14820181153124,0
Female,China,-42.008594211160165,168.15187283998054,4.318952104007265,-161.88236477657324,23.15529838827942,E,C,A,C,A,B,136.71521952339316,D,D,-59.80245699257788,0
F,Mexico,-158.20847404589944,-163.5432013284496,-168.35366120913267,-64.58268891050491,-26.920809647002226,A,C,D,C,A,A,-24.828453387082238,C,E,83.09690027005581,0
Male,Germany,-25.08499611484016,34.389748883467085,-111.4457933595139,-212.58890230358344,-53.1252195980353,D,C,D,C,E,B,113.67256355751938,A,B,-34.085831030737104,1
Male,Mexico,48.20997760232565,114.5411887018734,-36.190730532184126,189.32835208380325,-10.169066697029889,B,A,D,E,C,B,88.05848650538059,C,C,-34.32579160670321,0
Female,China,-120.37625457357028,-19.434716840482018,-81.36831446797636,146.35335126540534,48.00367176796456,B,D,D,C,D,C,93.62434195844853,E,B,-106.06308449123453,0
Non-binary,Germany,71.31027251731562,-72.77859312647016,31.140940917844013,-80.0372302828423,-56.18747642689126,C,D,A,C,E,E,20.62677806868033,D,C,32.78614282256288,1
F,Germany,19.846412090410627,-19.314982193403363,50.60250936293278,186.7917004464074,-138.55267603280194,A,D,E,E,C,A,6.744873195374376,D,A,16.07988013130672,0
Non-binary,India,-139.45642487771246,108.59855563358668,-56.34105933365446,181.10186593761077,-25.491259941559445,E,E,E,B,B,D,-64.5589407051847,B,D,102.20609330737898,1
Male,Germany,-74.50276633628677,47.3175988076621,26.535714384149163,-200.40880865633432,85.34350711417889,B,E,E,E,C,E,132.3549515968217,B,D,103.15585677599715,1
F,Mexico,183.27263290088075,-94.7120987915722,1.640299051935324,70.11190858055247,-1.0365168223833197,E,B,A,B,B,D,-32.243456419313176,E,A,-44.03260867308447,0
Male,Mexico,71.88197535618369,-79.55101693354052,31.115917219170374,4.68838272364914,122.16474236238895,B,A,D,C,B,A,-175.24726915600007,C,E,-83.05764640373397,1
Male,Mexico,69.90032856409293,4.1863056513774435,-163.83718655001326,-142.93083681202177,-122.36489507557442,E,D,B,E,E,B,-117.4430807983444,B,D,-159.30318366828863,1
Non-binary,Other,-120.50493644637879,-163.35178139548333,18.380793306712352,-35.012711115376746,-127.28498695970568,D,D,C,D,A,D,273.5789475483114,C,C,18.367163733252834,1
M,UK,-95.37020443854082,153.20829758092236,22.99833337824282,110.84376323857488,-56.62784799291576,E,E,E,C,D,A,-3.9375225414618296,A,C,-33.34503709658787,1
Other,Germany,-104.04658136544127,-41.78385701294296,138.61597379175635,104.32505578136791,-68.2312008147465,D,B,C,A,A,E,97.06412057174416,E,C,-20.842433828258937,1
Other,Brazil,85.18226125782748,157.70806951525077,94.07291619699724,-87.20785015824096,-50.5522633647988,A,E,A,C,C,A,69.11391147193633,A,E,-149.66935950001547,0
Male,US,54.51230191708264,28.536826826140278,54.795346631274825,-99.57420594860119,56.39656115508357,C,B,B,D,A,A,62.97321049094483,A,E,12.489644083184913,0
M,UK,165.47381868327378,-62.38621217017729,-25.6892556942311,53.79865615213585,208.74365735151454,C,C,E,B,E,E,-88.831390523332,A,B,-14.844804024995618,0
Female,Mexico,88.10280514852491,-172.95940030101193,-3.0105266730900615,3.126030657607842,-151.36823333243333,E,E,E,B,D,E,37.15115702568675,E,E,36.5326979897677,1
Non-binary,Brazil,23.20899733879156,-49.96583306359566,40.68412547201121,-41.714598920572904,37.31671306005467,D,A,E,A,D,C,22.155988408618793,B,C,55.58797833135789,0
Other,UK,116.94539383577556,19.347488461627027,42.4959831079206,41.97786202502034,-117.5061998668802,C,C,E,A,D,E,23.236770445543474,B,E,-5.1308368481427875,0
M,Mexico,-3.6488533483930934,80.24367699062125,100.51102713092142,-38.76279625748173,-81.20908706332736,E,B,B,B,A,A,-12.094576290855006,B,A,123.9929847220345,0
Male,US,-85.8843996695048,20.15755855773521,-41.05800647230875,-145.6040886095898,-57.93661994592769,C,C,B,C,B,D,40.90103181517118,E,D,-66.78682936498443,1
Female,China,-169.68830779682247,-109.93050950933625,39.30225254915277,203.33648514181823,-24.99803636620762,B,C,B,C,A,C,-193.682500278551,B,E,-20.94273702341285,1
Non-binary,India,77.54559102299139,200.5635129402942,-89.35287217067847,-44.608900152058034,81.16825166110134,E,A,B,D,D,C,-40.77333349608823,C,C,238.68611200524188,0
M,Mexico,39.31007073579481,-121.34663827941397,41.530716268203285,88.98761396633311,-112.55345261073349,E,E,A,D,D,E,51.00786628023827,A,B,95.19663943017768,0
Male,Brazil,121.78020896850228,5.909578152305292,152.247783898676,-18.816890668959,105.98323841131432,A,D,C,E,A,C,59.318090713735984,E,A,-61.83689049158869,0
F,Other,117.86056304651954,-2.7546132835869503,55.151554948360385,55.320291780833074,-133.95521429732037,E,C,E,B,E,D,30.392238180137433,B,A,-45.99673714079061,0
Male,UK,-5.459830713989873,65.98204632417529,-187.87386683042726,-46.016055624886846,-44.38456930055409,E,D,C,B,E,A,-26.735877949951238,E,C,105.3451136693494,1
F,Other,-164.7809826976458,50.68892772852023,33.12817614544576,157.6561620920418,-60.115249990851524,A,A,A,A,E,E,10.856493395333336,C,B,-56.2958808757495,0
F,Other,-66.6358217620359,-196.52863415827045,145.71428889022496,-68.89498159318833,-29.21850025280644,D,D,A,A,C,D,-56.003078895109596,B,A,13.818133034414288,1
Male,UK,7.945350317712764,-54.827339742142335,-48.42145924102403,290.0084905502594,-18.08683652830273,D,D,B,A,C,A,212.36519427933752,B,E,61.08968344911997,1
Female,Brazil,73.12548388444355,10.324138513572354,80.75216286039854,173.6751258829664,-68.0086110591853,E,E,C,D,E,E,-94.5619307262881,C,E,-1.8336118766545704,0
Male,UK,-134.71440480470787,80.0205546571691,-111.27571481838179,168.46484247326404,-5.946325837455388,C,C,A,E,B,E,-11.780096609575974,B,B,75.71758254769547,1
Other,Mexico,-64.23133643678273,-148.7220585121849,-7.250861341891192,-105.756484833232,-46.417703500327015,D,C,E,D,B,E,-73.0364785213658,E,E,16.803356111229334,0
Non-binary,Germany,-185.42539845731164,-57.86135596598611,74.01126040567382,-16.877918751212555,-2.988653119333408,B,B,E,A,E,B,133.7804581656072,C,E,112.48128815940608,1
Other,India,-73.74332669386685,26.41721623663045,-107.29467568336482,69.74127324721631,-88.0707765541312,D,B,C,D,D,D,69.5898501830765,D,C,-154.7082607991193,0
Male,Mexico,-141.23235049791606,21.128284638523258,252.7904229471404,43.96002929889513,-46.309209153752036,C,A,D,C,C,B,90.19001460144256,A,C,-66.35926168681148,0
Female,Mexico,-221.75644548698682,-23.998824359320185,82.24761125669116,-96.68497178895448,-23.83458891106198,B,C,B,A,A,E,25.999845448347354,D,E,-2.5312962595679087,1
F,US,65.94580855615219,-60.160094104350414,-231.20550324996407,60.159509523595375,-68.75252975976669,D,C,D,D,D,E,-20.98418629397162,B,E,79.01051060910353,1
Other,India,-152.58968233762852,25.54176979306047,-118.68777452723731,122.39902329069481,-13.32803391929859,D,D,A,C,A,D,-110.18049932132263,B,D,-1.4468312455379124,1
Female,Other,17.531053243365964,29.947791773990534,-6.007324311600963,85.18664100409381,44.12476604651067,B,B,C,D,D,E,22.442911360734538,C,E,-28.17871789310648,0
F,Other,-56.62220392741154,-6.306065830453488,2.175749796510257,116.14636744764076,-237.59203621832293,B,B,E,C,A,B,24.129887193991863,B,A,-18.57931029696421,0
Male,Brazil,-92.32724904822737,-60.25719791588124,-55.36940861337786,159.47283053090806,106.3083211837338,D,D,D,A,D,A,-3.001863917440735,C,D,63.7225477258745,1
M,US,-67.92154467084708,-14.461732075299338,-58.61789863884852,29.780463939216762,-50.78558407797512,A,A,D,C,A,E,-95.08393972552238,C,C,116.97214574514109,1
M,Mexico,203.2137893649723,-77.39138008611289,58.578259951321684,-142.7799211898228,92.82820986334691,A,D,B,B,D,D,83.70113434835972,D,B,-17.770629238832115,0
Female,Brazil,16.212092600619414,-71.70395217312507,149.82255640054862,0.6226719656547379,60.31117607794706,B,A,B,B,D,B,44.42027676386581,B,E,19.48973214252675,1
Other,India,191.04307662021026,2.6600060999999364,-5.884852117806613,-22.544013550190062,-34.18412321661031,A,D,A,A,B,B,-167.44772396160164,B,E,-36.684948799591126,0
Female,UK,-130.20458949075297,-237.77477907430335,-64.65580996024785,-91.5482058438196,27.96447663250593,A,C,C,E,D,D,-67.49969487524879,B,A,141.56918487720935,0
F,Brazil,53.712680520026325,14.197345343973067,-5.843749824603194,20.533650411763357,-211.99769557025414,D,D,E,D,B,B,-70.4209128953964,C,B,-127.043407564619,0
M,Brazil,93.20591821476587,49.14272550171676,-156.5470497725841,235.76661619222992,25.27714460649716,A,C,E,D,D,A,53.486774913583446,D,B,58.013700541515675,1
F,US,-77.58874156211974,25.37360979072837,83.41452464774483,-30.6092603299179,71.43782175618725,C,D,A,C,B,A,108.05498546297758,A,A,140.82760019201388,1
Non-binary,Other,168.4222721128014,-37.819403698341844,37.1010596056511,-54.06653240867271,-92.46935743191833,D,E,B,E,C,E,4.938091342450731,C,E,-8.280511762834978,0
Male,UK,-155.29234770150575,-80.14454506602875,-61.95059494001007,106.69417922952019,29.420342141367602,D,D,E,C,B,D,-72.18152459652816,E,A,-75.74836278972626,1
Other,China,-98.50050459873295,207.8147661965328,144.80248188864465,127.06739907316549,-47.0515408437245,B,E,A,E,A,D,23.32954208223195,E,A,-68.31223531068743,0
