Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,C,B,-170.44725614763115,B,-72.33433789891805,C,D,0
UK,B,E,15.366503153047862,D,97.51265336572892,E,A,1
US,C,A,117.472472813528,E,-50.425083875100896,A,B,1
UK,E,D,99.67844313096721,E,23.515560773681006,A,C,0
Other,A,E,214.529068116226,E,-103.75005046002832,E,C,1
US,C,D,68.16391925427291,A,-20.395986870070935,B,B,0
Mexico,B,D,-18.371160515096115,A,-94.9573586058986,C,B,0
Brazil,D,A,-80.7555583428433,D,-58.56123785371299,C,E,0
UK,A,A,7.82535680267326,D,60.39132008466714,C,A,0
US,E,D,133.37729444701864,B,-37.55055984014245,E,B,1
China,A,B,347.87601202892074,D,29.373375023069425,C,A,0
India,D,B,31.88985860151803,A,22.13965029070852,D,B,1
US,C,B,76.86872949854452,D,-76.39454923884269,B,D,0
Mexico,C,B,134.46820486197544,E,36.588022020126594,D,D,0
Other,D,E,-121.51776078296521,B,-42.72118926017271,D,D,0
UK,C,D,36.91426222901671,C,156.8088064270728,E,B,0
UK,D,D,-144.2080121422505,B,110.65860075997892,B,D,1
UK,C,D,-85.89371935478451,A,-31.90083948169571,A,C,1
UK,B,E,31.688727408304267,A,-11.154877530157663,E,E,1
Brazil,D,B,79.7075690046555,E,-177.4952957035698,E,B,0
Germany,E,C,63.530265329233934,C,-189.79665000032801,D,D,0
Brazil,D,D,92.30289112223726,E,8.867802708188387,D,E,1
Mexico,E,A,56.68980347191077,D,-15.957171188186248,B,A,0
Other,D,A,-57.73183495810157,A,87.1105622118853,C,D,0
Germany,C,C,50.27047871694712,E,-126.08021088227719,C,D,0
Germany,E,C,-140.2918188747609,C,1.583666576909808,B,B,0
Brazil,D,E,32.995340704575035,E,42.76167189430383,B,E,1
UK,C,D,11.339111199668764,D,163.34359960037023,B,D,1
China,A,D,-83.59096271430941,B,-44.82222376708004,A,C,0
UK,A,D,-35.1791502152627,B,-50.34295422872306,E,E,1
India,D,C,52.05624383654638,B,-54.641137947782525,E,A,0
Other,E,E,74.01395714655298,A,26.606547976504853,C,C,1
China,C,D,32.53707600910299,D,32.27966214115479,A,D,0
India,C,A,79.76961881304061,E,-104.1731751720278,A,B,1
India,E,C,-4.509350082655287,D,-42.75399959299286,E,D,0
Germany,A,B,62.774529114473054,B,-66.81108820688677,E,E,1
Mexico,D,C,-114.98156743164097,C,-20.165221987291574,D,B,1
Other,B,B,-103.50521738873726,D,274.2623424540799,C,D,0
India,B,C,12.479946834000177,C,72.94772651481006,B,C,0
India,E,C,67.5736569261186,B,-7.318757616667875,B,D,1
Mexico,A,D,-19.8783820469029,C,-26.53747150963206,D,B,1
US,A,C,-186.61130387345574,A,68.94950503293266,C,B,0
UK,B,C,-108.96600108241267,E,-11.200592568811638,B,C,0
Germany,C,C,44.95460996673658,A,120.3572669721062,D,E,0
India,E,A,17.66922089895813,C,-24.03818935180108,B,B,1
China,D,D,48.03151297381017,C,75.48543150160617,A,A,1
US,C,D,-160.66766398389015,A,-91.76882923165152,B,C,1
China,D,B,8.20657352869903,A,-154.29132715589995,D,C,1
Other,A,A,55.54445305793727,E,-104.74873827489111,A,E,0
UK,B,E,105.47334163793552,A,-48.3559403222913,E,D,0
Germany,D,E,47.13780674003179,A,101.419734843721,E,B,0
US,E,A,151.77040529158504,A,-107.33101546157744,E,D,1
Brazil,C,E,-163.03969795179907,E,-108.30834971645072,D,A,0
Other,D,D,51.758618108943345,E,-155.25716634936146,C,D,1
US,B,D,-123.67758309102426,B,-149.45105589418884,E,E,1
Other,C,C,-77.56152683587506,C,-149.5025752864758,D,E,0
UK,A,E,-48.12295030903528,E,4.862238905779426,E,C,1
Germany,B,A,33.59275417060428,C,165.80755451458614,A,E,1
India,D,B,-65.60582134372167,D,6.207641152339416,C,A,1
Germany,C,A,-30.82161584814298,E,-197.34148753291387,C,A,0
India,D,E,163.82263004962587,D,29.681882455847347,B,B,1
India,C,D,208.42299626303492,B,-122.43111501618549,A,B,0
India,C,A,-122.79356268924344,C,-42.61837784870445,D,E,0
China,B,E,-74.44080245230188,D,149.026054445832,D,C,0
China,E,B,-147.65180385406265,A,70.55633519284724,C,C,0
Brazil,A,C,0.35487464206563607,B,71.38525366777249,C,E,0
India,A,D,11.959905639252868,C,-151.94447041851856,E,C,1
Other,A,C,107.6718589263173,D,-204.08140801338334,A,E,0
Mexico,A,B,123.24300095893517,C,-94.2474801345378,A,E,0
US,C,B,19.384730242045595,B,10.471462474227163,D,D,1
UK,D,C,-30.513140255676735,E,-107.69824252997857,D,C,1
Mexico,D,B,11.60205687264874,B,-104.26374968301681,C,B,0
UK,C,E,6.614564216050206,B,93.52634639023148,E,A,1
Mexico,E,A,184.56447243217085,B,63.120008935725934,E,E,1
Germany,A,D,-94.88665519043333,E,-38.188237865664526,B,A,1
Brazil,C,E,23.351372650432296,E,-199.31542776409682,E,B,1
Germany,A,A,6.5657935582340805,E,-107.08924107965284,C,A,0
Other,E,A,-75.5196570406826,A,101.30804349527945,D,D,0
Germany,B,E,14.761768702436907,C,-294.85973928991757,E,A,0
China,D,D,-134.04959994405215,B,-85.01106960901274,C,C,0
India,C,A,113.39290450801911,A,-129.86756042216814,C,E,0
Germany,A,D,-83.25484101014708,B,32.138023092031695,D,E,0
India,D,E,-8.24346065915003,C,80.62484344138282,C,D,1
US,A,C,35.82460490475899,C,-57.07497825934765,E,E,0
Other,E,A,172.81228201161784,D,-88.60640923477872,C,B,0
UK,B,E,-111.59124558470346,B,10.800882990632024,E,E,0
India,D,A,-7.4443523127429145,B,55.298915905481685,C,D,1
UK,E,D,113.42715366977838,C,-24.110234839541484,C,C,1
China,B,B,138.40931356698155,C,-50.156208967643835,C,A,0
Mexico,A,A,129.87846264368537,B,-27.495488348322354,E,C,1
Other,A,A,155.31051705789181,C,25.56321788131116,D,E,0
China,C,A,-35.82985779465862,C,-5.294504430636331,A,B,1
China,A,C,97.97638413218267,B,-84.92628253083606,A,B,0
US,B,D,41.019837746116444,B,-4.074805830390481,D,B,1
Germany,D,B,-172.00568009558225,B,107.25895630756523,B,D,1
Brazil,D,C,-66.1116478284673,D,-178.8470782248853,C,E,0
China,C,E,23.006846456991738,D,34.486600878219505,E,A,1
India,C,B,134.16243127217655,B,-166.59045257245438,B,B,0
Brazil,E,D,89.22812585654437,B,-149.64268132548904,A,B,1
China,C,B,-99.52021236386574,C,-219.70051686157,A,A,1
Other,D,E,-74.17863526901878,B,58.99483963584221,C,B,0
Brazil,D,C,56.29850204469443,B,229.67138570415796,A,A,0
Mexico,E,B,39.54321398118918,B,21.326989255405106,C,D,0
China,B,E,-70.76301449307954,E,-89.09421573623374,C,A,1
Other,E,B,-83.59499795779514,D,31.028060467405528,D,A,0
Germany,D,D,90.87783153462851,B,72.74965364103242,B,C,1
UK,A,B,-67.99276899474233,C,1.5462171253150163,C,D,1
Other,D,B,-67.07020533657467,B,-41.03466920751278,D,A,0
UK,D,D,-83.65648569800611,B,-155.17022692801038,B,B,0
Other,A,A,-144.61066976672072,A,-35.329941773968606,A,E,1
India,B,B,-3.805506904087097,B,-18.914423842706398,A,B,1
Brazil,C,A,58.25637276989632,D,119.81988979537266,C,C,0
India,D,C,-362.93580136940403,A,49.47926930313526,E,A,0
Other,A,E,-101.82467982302754,C,75.63054432204663,B,A,1
Mexico,E,A,38.6201431392647,A,-46.363394786850776,D,E,1
India,E,E,64.98600623923706,B,-103.02572799307121,C,A,0
US,D,E,-182.77888097661682,E,91.5370978181863,D,B,0
Brazil,E,D,105.61740609052426,C,-37.966926976158916,C,E,1
China,A,C,95.70493406374452,D,-86.68179775329105,B,B,0
Brazil,A,B,30.21672032154038,E,-22.011494693928142,E,A,1
Brazil,B,C,-64.42488933076564,E,172.92929124965949,E,A,1
Brazil,C,E,-47.910841051675305,A,-27.29667722197483,E,A,1
US,D,B,104.63794375218937,A,-14.716811937558283,B,B,1
India,A,D,-0.493905154361397,B,-28.80219853349743,A,D,1
Mexico,A,C,-104.61048445833845,A,54.362983934029664,B,E,0
UK,E,C,15.122259683511864,D,9.847496831387243,B,A,1
Other,B,D,54.42024671300166,D,29.856845983418367,C,B,1
Mexico,B,D,57.87279913937139,E,134.44269108702633,D,D,0
Other,E,B,-8.882155656548488,B,131.67437540810826,A,C,1
India,B,B,-78.85464677807332,A,171.53546585635314,A,C,0
Mexico,B,C,12.641829420005827,A,50.501746080321695,B,D,1
Germany,D,B,-165.09192840627702,C,14.853425618221912,E,B,1
India,B,B,70.19787084768795,B,101.03658400597959,B,B,1
Mexico,A,E,-19.496692869887838,B,103.7148490119517,E,E,0
Brazil,C,E,-71.34013936416022,E,-112.34555954636463,C,B,0
US,C,A,111.5495272762888,D,14.980739281180982,B,A,0
China,C,E,7.228457517303273,C,74.22925201055396,C,A,1
Brazil,A,D,79.89518456521742,A,91.16259998411918,C,D,0
UK,A,C,-193.87104509287224,A,53.153152300352446,C,B,1
Brazil,A,C,-43.3856236565521,E,-75.69994487053478,E,E,1
Germany,E,E,22.247610589103182,D,41.42646885509308,D,B,1
Mexico,D,A,23.45494329811954,E,-32.20573521113448,E,B,0
India,E,D,205.3249518199921,D,-95.61376163561641,E,A,0
Brazil,A,A,-54.37697857280632,D,144.64520555268584,D,B,1
India,B,B,2.200223824139508,E,-20.485023356420847,D,C,1
Mexico,D,B,39.95481509467431,D,20.8913444697016,E,A,0
Germany,A,A,95.53605862452237,D,-177.47143382988432,B,A,0
Mexico,E,E,200.95277270265822,C,126.01002077387287,D,D,1
China,C,B,-127.14452530251974,E,20.9431997576995,A,E,0
Mexico,C,D,27.907334847113958,B,-38.92420969434711,D,D,1
Mexico,E,A,-59.27176782326317,D,58.281351953914125,C,B,1
China,A,D,-33.45411619318406,A,-177.35078869776711,E,E,1
UK,B,C,87.28676690898742,C,-123.91507532774249,B,E,0
Germany,D,B,-193.60889286245845,E,-86.27033688938576,C,D,0
Brazil,D,A,-14.499811802677876,D,-16.180497823953253,C,A,1
Mexico,C,E,-227.29477085599137,B,73.74317812035423,A,E,1
Brazil,D,B,20.923177030920385,D,12.001032310023012,E,D,0
Brazil,E,E,66.49725304582338,A,-87.59418343738815,E,D,0
US,D,E,125.71977109716681,B,17.34835335959579,A,B,0
China,B,D,-119.86373536969859,C,49.07325623544496,E,D,0
US,E,E,-15.987929406546991,D,73.08659257916551,C,E,0
US,D,E,179.4075873646409,E,-290.98477907719985,A,D,0
Germany,D,E,-73.1501817290633,E,41.96938242448551,E,D,1
Mexico,C,D,170.62471931943784,A,-58.44990331547487,A,B,0
Mexico,A,C,159.13990426473947,B,-19.54651110063922,E,A,0
China,D,E,-83.04888609129146,A,83.4081810420387,B,A,0
Mexico,A,C,132.57153174361721,C,264.3837615589995,C,E,0
Other,A,C,-64.96587016044097,C,-6.014427931695251,E,C,1
UK,D,D,-122.676266716904,A,74.1271228123029,D,E,0
India,B,C,43.18196500963186,B,46.343112779814255,B,C,1
Brazil,D,C,151.14398319458985,D,93.41825327175627,A,E,0
UK,A,B,187.00803221060832,B,-5.15377284223166,E,E,0
UK,D,E,-6.8805447783413065,E,99.24792067390449,E,C,1
China,C,B,-30.959539833732336,C,-101.67122214241742,A,E,1
Other,B,B,-93.3350011421756,B,113.61043447955585,B,C,0
US,E,A,23.403704567938913,E,-15.666917540652037,B,B,0
India,E,E,-59.32917495935982,B,-52.061285380165344,A,A,1
India,A,C,-55.48762663361574,D,6.108914521073918,C,A,0
Brazil,C,E,-95.17024427892666,B,32.251398903153905,D,A,1
Germany,A,D,-172.2634942884984,B,-32.194294837691224,B,C,1
Brazil,D,D,3.889236548766701,A,-77.36952615463724,A,C,1
Brazil,C,E,123.04898092151231,B,122.42410735581227,A,A,1
Brazil,D,C,-100.24818670777813,E,-7.418894069735776,D,E,0
China,A,A,82.56946091743121,C,-98.04756972639413,B,A,1
US,A,D,92.60537426455411,B,-159.81169766990934,C,A,1
US,A,D,30.323243241459235,D,-45.74117946263841,A,E,0
China,B,A,-27.52788518566618,B,-197.88768640382435,E,A,0
Other,A,A,115.90369207799922,A,-75.1154047916773,D,B,1
UK,C,C,-18.5938130229662,A,92.4848228627002,D,A,1
Mexico,E,C,-37.99045193997646,B,-23.309829783932315,E,B,0
US,D,E,113.95055498353344,D,-54.80669714438656,C,E,1
Other,C,E,74.57495253744058,D,86.47965888515465,E,C,0
Germany,C,A,-53.41516859865278,D,22.271628876760907,C,A,1
Mexico,C,B,131.83860262505672,B,43.03730921323644,D,A,1
Other,C,E,129.24520924377464,E,57.447586057135766,D,B,0
Other,A,D,-46.30805929064049,E,-25.007757084132386,B,D,0
UK,D,A,198.58134474376223,D,-32.74223546806036,A,E,0
UK,E,E,33.965565207920044,C,129.53499865375275,A,B,1
China,A,C,52.82277153905147,A,-127.81178594106963,C,D,0
Mexico,E,B,-189.64541874130475,A,-190.16796650542474,E,B,1
India,A,B,-55.10114141781476,E,-24.757187592938973,C,B,1
Brazil,A,C,-88.10181197115236,E,-37.80674447657187,A,E,1
Brazil,E,B,41.80706709885195,D,-25.434955016140005,E,C,0
US,E,E,96.34127515734204,B,26.264329446443053,B,A,1
US,A,D,-177.04604671216663,A,-98.02513675148458,A,A,0
UK,B,A,-49.39711308149457,E,13.94797424452627,E,C,0
UK,C,E,-108.2352210291198,B,-234.7969800507375,D,D,0
Other,D,C,-72.7815807688812,D,61.081784742449926,E,E,1
India,E,A,-82.1930959968213,B,126.1732073683392,E,B,1
China,A,E,-169.19131301975213,D,136.50793640370057,B,C,0
Mexico,B,A,133.38021981550582,A,15.638412718166759,A,E,0
Germany,B,E,-159.0936107054819,E,77.71262079232181,E,A,0
US,C,B,89.55647034443284,A,-38.21098870676667,C,C,0
Brazil,C,E,0.010150051273730984,B,215.69371564662993,B,C,0
US,C,E,-0.05043518961282537,A,130.283542505832,E,C,1
Other,E,E,32.43622131826073,A,-115.08422691831835,C,B,0
Mexico,D,E,26.10877948971823,A,-44.8393576242896,E,C,0
India,D,B,-56.753561273707035,D,51.98757032626232,D,C,1
India,E,A,-136.49818852184526,A,89.51230229598788,A,C,1
Mexico,A,D,-180.015655824464,E,-183.813903381731,D,B,0
UK,A,D,-46.6732737626504,C,101.87795110668425,D,E,0
Germany,D,A,-8.887785134234907,A,38.48844545824224,C,A,1
Brazil,A,C,117.469024291737,D,66.94847721917652,C,D,1
India,C,D,-98.61445364078907,B,10.218472277751935,D,C,0
Other,D,A,-174.85004086968934,D,-59.524458552534185,C,D,1
Brazil,C,D,82.23269693677831,C,-1.399751074707188,B,C,1
China,A,D,46.922747029917986,C,-36.46862177478171,B,C,0
Mexico,E,D,7.824097472070631,D,-134.79113249513736,E,E,1
UK,C,C,-14.876881740125691,E,26.25793059783281,B,E,0
Germany,E,A,183.83693510243356,C,79.39731196275561,E,A,0
China,C,C,20.460740930002284,D,101.87339930202594,D,B,1
India,D,A,-53.81302457137732,B,63.68137545546924,A,B,1
Germany,A,E,15.889232417399818,B,52.7818686303679,B,E,1
India,C,D,56.31085070937706,A,38.56662996829336,C,E,0
Brazil,C,D,20.513076194344528,D,117.5783790832108,E,C,1
Other,A,A,-13.140919824498354,C,114.79204036211068,D,B,1
UK,B,D,44.39704253988298,C,4.203101093611911,B,D,0
China,A,C,-28.476501228109647,C,-111.05047717981356,E,A,0
UK,D,A,156.19507427969498,E,-36.702284006172334,E,B,1
US,C,A,18.912924906423893,E,109.80451418111062,D,A,1
Brazil,B,C,-172.81868991672476,C,-14.664690429545576,B,C,0
US,E,E,-47.82861181488121,C,127.59045703885292,A,A,0
UK,B,B,-136.06233438297255,B,-93.59399873106055,B,A,1
India,E,B,-92.57928525233712,B,-21.32759830161278,A,A,0
Germany,A,D,-18.797593288981478,D,-146.85179784197302,B,E,0
Other,B,D,79.10675484690984,A,-62.872628396079165,E,C,1
Other,D,A,-14.264484039777964,C,169.849598227976,C,E,1
US,B,B,12.78596930593128,A,233.537220431763,D,B,1
Mexico,E,E,-130.39472739533426,E,-108.86754514331155,B,D,0
Other,C,A,66.29477394073045,D,5.005056849489873,B,A,0
China,E,B,78.54532213889811,E,-116.124334805314,E,E,0
Mexico,A,D,-80.04361020624185,E,-45.96270418886548,B,B,0
Brazil,E,D,-37.70527705112923,D,-103.52638152985045,E,E,0
India,D,B,-61.803092505894064,A,24.731942078631526,B,B,1
India,B,B,-83.20867635503042,B,18.28839854712149,B,D,0
US,D,A,-177.00064790949855,C,-45.17635413459488,A,D,1
Brazil,B,C,-10.087898931657127,E,-161.1017091148148,B,E,0
Other,C,B,-36.58906386632172,B,131.87482966753595,B,C,0
Mexico,C,E,-9.811751290554103,E,43.388851951760536,B,A,0
Germany,C,D,53.204946029546804,A,-204.8022149363046,C,E,0
US,D,B,-36.04041285353712,D,97.56442384446488,B,E,1
UK,B,B,97.19184357374363,B,9.234340360069982,D,D,0
India,A,C,90.57102702109187,A,161.31106018458624,C,E,0
Other,E,B,111.36998533086614,E,-117.07173673705711,A,B,0
Brazil,A,C,-117.24519675841849,E,236.33887485427795,D,A,0
Brazil,D,E,-21.408396591992567,E,158.49843452864235,B,D,0
Brazil,D,C,46.31959133041077,E,242.43993983621652,A,D,1
UK,D,E,148.0261712498054,A,-14.301819059610196,B,B,0
China,D,A,-186.9691175927094,D,12.227038011478554,D,A,1
Mexico,C,A,120.56766857675775,E,26.1635440853719,A,B,0
Other,E,A,24.329473389452776,A,-146.17623489894476,A,D,0
Other,E,D,-3.429419876488845,C,188.4836803378619,D,A,1
China,C,E,-145.41646235661102,D,19.455356880132328,E,C,1
Germany,A,A,25.473826191730403,C,-71.39890315154717,B,C,0
US,C,A,104.48087658391565,A,63.47111400517076,A,E,0
Other,B,C,-15.147866802710027,E,64.25203650195496,D,D,0
Other,D,E,6.997622238245403,A,76.16921183188353,B,B,1
China,E,C,34.38269450825777,C,-63.36979043270842,C,B,1
India,E,B,139.33671269250087,C,183.33621829024585,C,D,0
India,C,D,-194.3428715250388,A,16.215723645306888,E,E,0
US,C,D,-16.560513397178802,D,-14.337899100797188,C,B,1
UK,B,A,-124.47229255235055,C,174.6387995108664,C,D,1
UK,B,C,-33.898284758015265,D,137.8745384454266,C,A,0
India,D,B,-17.846117507247662,C,-50.22226812142303,E,D,0
UK,B,C,42.93200132842242,D,-31.903196719015103,B,E,1
China,C,E,-72.8354230103584,D,234.0264256509647,B,C,0
US,B,A,-41.8280173117046,E,93.1848039432635,B,B,1
India,D,B,43.711988746408394,E,248.74596408446573,D,D,1
India,E,C,-155.16498464525358,D,-70.68472888367165,D,E,1
Brazil,A,E,-15.236550112794237,A,-162.29514831434236,C,B,1
India,D,D,11.555801593685471,C,8.816735304139298,D,C,0
UK,B,B,-9.453898138943204,E,-85.25979289628205,E,E,1
Brazil,E,B,43.97392346163622,B,132.17576453938747,C,D,1
Other,B,B,-14.874412967444659,D,6.46719405527183,C,D,1
Mexico,E,B,151.3160917286988,C,-115.16578168220968,C,C,0
Brazil,B,C,-25.103590433358864,B,-67.83865467483979,A,C,1
Brazil,D,A,-28.158684709875143,D,57.800070658478276,B,A,0
China,D,B,37.85036189272662,C,-373.60164463422245,A,D,0
US,A,A,-179.35779603676318,D,144.9788368117493,D,A,1
US,D,B,80.38882882522424,A,-28.503981491041834,E,C,0
Mexico,A,D,13.07330094304217,A,-14.820005972562472,D,A,0
India,D,A,91.02596795684896,A,102.8517167045455,E,A,0
Germany,E,C,209.87145998239097,B,-175.0694358576146,E,C,0
India,E,A,-96.36597175194538,A,37.58152008607233,B,C,0
Other,C,D,73.34158264536434,C,81.60883653958757,E,E,0
India,E,B,82.34290794151043,E,106.38651030126027,D,B,1
UK,E,E,53.36068740696466,E,-170.54090372369785,E,E,1
China,C,E,-38.70240082587442,A,-49.28301750144295,D,D,1
Germany,A,D,-85.49030200537965,D,-37.78262355353078,A,D,0
Mexico,D,C,168.0327544772256,E,-56.14300177700766,A,A,0
Brazil,D,A,5.109682588585575,D,-113.97139902288089,A,C,1
Mexico,C,C,86.31654677116869,E,-9.702859409645665,C,C,0
Brazil,C,B,-128.06631641331526,A,-46.899243757717336,B,C,1
India,B,E,-66.83951551445159,B,-14.193010999777389,C,E,1
UK,A,D,57.20423700894324,D,49.23722563574476,A,C,0
Mexico,C,A,-216.10910459121152,A,150.30183965318543,A,A,1
India,D,E,61.543661623254096,B,15.0184601937316,E,A,1
Other,C,B,70.43271314681908,A,-176.3512090018392,C,C,0
Mexico,C,B,-31.113043432735278,C,-91.70020132034303,A,E,1
Germany,D,A,-49.18596213990408,D,38.46805283706618,B,B,1
Mexico,D,C,-123.98310165930275,A,169.1396954624811,B,E,1
India,C,B,-158.1944505652806,E,-146.53484370147174,A,A,0
India,C,B,-9.47572490793455,A,133.4421694324377,D,C,1
Brazil,D,E,-168.88572703753476,C,138.5567309941184,B,E,1
India,A,E,-27.69426653768914,E,65.04787759739524,A,C,1
India,C,A,-110.86214320472718,D,6.802076880682985,B,E,1
India,A,E,95.2797764545715,D,-49.61119610942963,B,B,1
Brazil,A,E,152.76133229210043,C,98.87172342934807,E,D,0
Mexico,A,D,-45.84633379063945,A,211.4143477329916,D,D,0
US,D,C,-25.742683994903164,E,-17.58920035389592,B,A,0
UK,A,B,-26.4430875911073,D,110.63196257923953,A,E,1
Brazil,D,E,-49.53115529892835,A,40.83069325099293,C,C,1
China,B,E,-9.34520020857762,D,-81.61697900454514,A,D,0
Germany,E,A,-226.26980482390172,C,30.236500456143073,A,B,1
Other,D,B,13.288195583229538,D,3.232547709352128,B,B,0
US,E,E,58.10180852755563,A,30.367634094221575,A,B,1
Brazil,C,B,-59.57487868812087,B,32.57907232564007,E,D,1
Mexico,B,B,-119.43281296554005,A,-164.0276538489656,A,E,1
Brazil,B,A,-22.489697385339465,A,-53.892501921853565,A,C,0
India,D,C,34.55944046373377,C,-12.402885877333556,A,B,1
China,D,E,81.62952661791259,D,32.92151522419416,E,B,1
India,A,C,-103.04078906785512,C,4.639202012614762,E,A,0
Brazil,E,A,7.5740621466543505,C,-50.83940111469679,C,A,0
Other,C,B,-38.86852817062997,A,-14.908851279582416,C,C,0
Mexico,B,D,138.74242666094,D,-115.87073438148694,D,D,1
US,A,C,-109.17098418016977,A,-116.25626435929448,D,A,0
UK,A,E,-112.19995714003805,D,-39.809230522017394,D,D,1
Other,A,A,167.21669579897323,E,145.2032915437621,C,D,1
India,B,A,-23.796797248003912,D,44.60927476040348,D,D,0
Mexico,B,B,-3.012001110604422,A,-24.640511416950446,C,B,0
India,C,C,45.151366699839066,D,-48.496096587531476,E,C,1
Brazil,D,E,14.330705183799616,C,73.53586821333022,B,E,1
US,B,B,339.885748449245,B,126.84431110865795,D,A,1
UK,D,C,-210.8938797884462,E,117.67611090832489,A,A,1
US,E,A,-31.094265655905946,B,84.1340590927694,C,D,0
Other,C,E,-68.90347735447756,D,-0.22242455598412342,C,A,1
China,D,E,84.59053279484918,E,54.95076876662892,E,C,0
Brazil,B,C,-39.44987276288851,E,-32.23827797644668,A,B,0
Mexico,A,D,-81.19380743449632,C,5.354950809539613,A,A,1
Germany,C,C,231.65375648098507,B,184.7437256123926,A,B,0
India,C,C,-94.81721370284265,E,-240.51917005685118,C,D,0
Mexico,D,D,-155.36047328259951,A,78.17554200507537,A,D,1
UK,B,D,81.60425685674603,D,75.48676276027541,D,E,0
India,E,D,-23.901667944634102,D,-88.61719620955988,C,B,1
US,A,C,-193.72983969013896,A,-228.29206892490123,B,B,0
Mexico,C,C,-187.53358154360765,B,-48.34081056021487,C,C,1
Mexico,D,E,-71.52254511522801,E,9.337462858428704,C,A,0
India,B,A,46.6021122708207,C,82.70194175993137,E,A,1
Brazil,E,B,-138.30899703673563,B,-71.47500306592279,C,B,0
China,A,D,-50.25800107330964,B,-118.53486979181542,C,B,0
US,E,A,82.47653423070996,E,159.8140914912239,D,E,0
China,B,B,-92.62131303510691,D,66.38544426274545,B,D,1
India,C,E,-46.36552418616509,D,-114.10515150800006,A,D,0
US,C,B,-20.52731690193645,D,92.22087953472588,D,E,0
Germany,B,A,2.5131802148023183,D,-79.57913496091012,B,B,1
Mexico,D,D,-44.089771027366936,D,15.632103535029163,C,C,0
India,C,D,-122.07924122149298,D,-121.7521126364608,C,E,1
India,B,C,79.32079489639382,E,60.38606075357333,E,B,1
Mexico,B,D,48.578728580844974,E,-122.36361991633981,B,C,0
China,E,D,-120.40095115145648,E,34.78561231286002,B,B,1
Germany,E,D,-138.8535818578325,B,8.978177764585686,A,C,1
Germany,E,D,10.841218717536364,C,-11.989466433364372,C,D,0
Germany,C,C,13.801311580283942,D,181.55651346226486,E,C,0
Brazil,A,E,-2.7615275005830804,A,-85.14129166321128,E,D,1
China,C,D,78.44444630406434,E,3.6343524493881043,E,C,0
UK,B,E,-113.19335588391881,D,-38.88606786259645,E,A,0
India,C,C,-38.440157788740045,C,58.15275862209397,E,D,1
India,C,B,237.94598205673717,B,-16.333205599694153,C,B,0
US,C,B,-11.96003474471408,D,272.78540108846306,C,D,1
Mexico,D,E,23.418910734103353,D,-119.24754750570179,E,C,0
Brazil,B,C,37.926001958006985,C,102.11041322283288,B,C,1
Mexico,E,E,-27.279104128372623,D,42.604077433758874,B,E,0
India,A,C,56.77179213537793,E,-63.491884169493304,E,A,1
