RACE,age_range,sexuality,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Hispanic,65+,Bisexual,71,8.644734146531905,-23.532667570455697,100.78134139501233,0.23866720373281716,C,C,-19.718430952644425,-14.619526873140112,18.940982121878193,B,68.55111751046537,62.374492923448365,D,E,108.40465564287582,-16.148481704366485,19.110963227361104,1
African American,36-50,Other,51,135.64505142852724,21.804540803564613,130.68417194714007,-55.29484321310002,B,C,-151.1765226792455,-158.9579470594541,-138.4858100777969,D,-58.60031549362431,-15.609336128619475,D,A,179.53370537572405,-53.49397499368818,-35.69335206629462,0
Black,26-35,Other,68,143.46352890823323,-228.44786766649102,-250.339065270078,-44.47872755546417,C,D,-26.917816135325296,60.3135974537653,-69.22231896672598,A,53.50663802333787,25.297917304206923,C,C,81.23691855251703,86.88683417283217,38.31014968807915,0
Black,26-35,Homosexual,58,-3.9423969083776016,-57.488836963709055,103.50982349920031,-167.85676000618204,A,A,48.795049678400524,46.7136038744689,128.7372976858232,C,-52.1385591972204,14.847691169838246,E,B,-87.7560931449716,-215.29359200977942,-102.53218974677942,1
Other,18-25,Other,51,-56.93245654767919,51.30837304768722,16.963249722978404,-66.90843756735445,A,A,-62.969826460832,-25.7126263870349,-135.8456428587833,B,114.07904553145116,-27.657631636337705,B,A,-148.54250742306462,-12.093914170617499,21.181211052288656,1
Other,26-35,Heterosexual,76,-141.88201986501215,-85.58964074512869,-113.10213760815004,120.36458178436193,A,C,55.028457298291315,-47.61249292129241,145.08177241526403,B,244.99626163366833,118.37125068511874,D,B,86.84604617810753,101.23526008953763,15.791766488972181,1
Hispanic,18-25,Homosexual,48,135.88527785042197,-131.70225184529474,-55.46477019249198,108.60621310037386,A,B,4.303116413151318,30.671007241863137,75.50636392119509,D,-0.898221660259732,146.84652334784175,A,B,-114.5052984270929,-22.482758711555775,49.66371041832902,0
Other,26-35,Homosexual,31,-21.80922586665865,-14.925483553458518,-58.1142402256346,32.34455940932276,A,D,-46.37695418948303,0.4320138917572415,-124.23864410620371,E,109.13041014141358,-39.9063367354367,A,A,65.40628629183959,102.77282339712164,60.005304141336765,0
Asian,26-35,Other,56,-144.26031285715752,-79.37776258022534,-45.11623769511752,-179.8370090575339,C,D,-90.5283608081132,-116.59810961653265,-87.48449864850708,D,-57.97833195417334,185.25533204110576,C,D,62.992475216023145,173.71164409447832,-30.36476061254092,0
White,51-65,Other,35,-78.78558062459715,55.24729139791498,-68.64753704994173,32.513591438866044,A,D,-40.12803542276278,-35.67302135777007,-199.8405014615646,A,-35.00582442129906,-124.60518561182448,C,E,-153.55580553990663,-63.37377411867352,-56.597523678069926,1
Other,51-65,Bisexual,61,-97.22903747804426,87.19607597250533,-102.71076252713254,2.2513192745841284,A,E,-56.302766260485726,-102.88953937127074,-10.388503038329707,A,-113.21550720763184,-37.08264942540785,B,B,203.57708184390435,148.8414448794625,-12.996662386265696,1
Black,51-65,Bisexual,50,-14.460029395021435,43.47591541618999,378.0165334593156,-4.0120297524519755,A,E,158.4445468003309,-101.38175385962695,138.70370628712726,A,-70.56950216974712,52.929562680672746,E,A,-120.18862559030015,-68.38945833860154,215.78030703967426,0
African American,65+,Homosexual,34,36.13055618744,91.22978050963685,-87.95270066809212,215.94121141833728,E,D,-124.25947057059412,-20.086301219551757,-19.80311652997944,B,-18.38953472649641,22.020777310009702,E,E,50.30972245932788,103.84900561359187,107.48113322812966,0
Black,26-35,Bisexual,76,-123.24858706928383,-26.084263737230074,38.62918863565029,79.6445903202564,B,C,-234.79171250336228,82.92015997946383,-102.52175185562481,C,-118.44685691377678,-80.21277256026188,D,D,147.659224619644,-77.25459463877193,-32.77066302373402,0
Asian,65+,Homosexual,33,73.6833243912577,-7.8923451432953025,7.070246097025803,-76.89021432846542,D,D,-83.28548700375815,-111.41543510167855,-72.34898998934281,C,34.03315274321598,-56.07317524584414,C,D,76.53779903026553,-27.183498170607635,157.0686104114023,1
White,51-65,Heterosexual,70,-64.8410172937549,-22.612785605392688,-92.72146253110948,1.193740314710124,B,E,-12.682009087790671,53.78277126430972,90.453993847305,E,-60.43340044472208,-152.32783845113082,E,B,31.276538623673538,126.74241692930326,27.719100166084182,1
Black,65+,Heterosexual,52,86.47155158981008,-122.23118269337078,46.81666832115858,-230.90677380819108,B,A,-19.41702461117257,119.61875905678745,-21.199931521316923,E,-12.488381442115676,104.28855571276756,E,A,-10.94347455082848,153.06326019033426,-56.7262619094527,0
African American,36-50,Heterosexual,24,158.61443009406673,50.88807766800747,4.7369615218296435,49.438704864143574,D,B,77.15661230721821,71.71371214792114,205.67994659120413,A,-6.122725117554566,14.463393269144516,B,A,54.76178823434543,166.05581122180317,134.13907183330733,0
Hispanic,65+,Bisexual,41,39.49070363631126,129.48951200908988,140.30455710589465,28.236862821988762,B,D,197.3968053666911,85.39979976442878,-32.86653425390421,B,100.95241076382675,-72.45288348008191,E,C,-44.082545609773824,209.00740130437504,-1.0801677453026102,0
Hispanic,65+,Bisexual,29,118.991480478076,195.04724135634,33.00836649826394,-80.86367421112006,E,C,-152.14833428545325,25.065040663839255,14.638900625728777,E,54.704704150628245,-74.34531863388997,A,E,83.97568101253805,32.4693074673151,142.70711739568605,0
Asian,36-50,Other,60,-50.140811144568154,-97.52614843359328,28.047034277830473,-109.94024043338601,A,E,-79.72401066077659,-74.7803816032252,211.6987088530153,B,32.19611837787769,54.314250523164965,C,B,-133.94200668271304,45.54380091515375,14.436766056354406,1
White,51-65,Homosexual,36,-120.49570172386869,-169.31874175400225,-37.5745228699323,-112.7626604726204,D,A,24.144845558487464,46.229262728242134,-62.68173952311932,B,-92.19425856967506,-75.01237743017285,D,D,-55.48456412325318,-80.5234054031613,310.5451060248845,1
Hispanic,26-35,Heterosexual,60,83.27992989265908,-37.71043194963947,-12.051612227917689,-25.237519967717446,E,C,139.12211453779977,-15.550004003024029,139.8541874189135,C,-185.014828449637,-95.74001215730006,A,D,76.94209729098374,178.04200658137367,52.415088904493636,0
White,36-50,Bisexual,62,39.31551677839697,10.717729196839693,-25.49957851696917,-53.01059592698218,A,E,87.8884744119743,147.38202671393464,-98.57462618237898,B,130.88838428274582,-116.95308952549908,B,E,-96.43160257748895,172.79594697276963,-3.315701917796421,1
Other,51-65,Other,63,-65.99124199632563,170.14945286328475,3.2264080507723594,-40.293547888930995,E,A,24.491119384899854,-32.8775494436518,-70.49479807594776,C,91.75903416350415,41.502505849741475,E,E,50.75389035506607,57.66456097695668,236.9786831696659,1
Asian,18-25,Homosexual,61,42.23757873574754,-34.76317437594352,95.51127075971945,-127.1780859141667,D,C,111.40273370812528,-46.623575444815984,54.587490539268366,E,54.88834538850551,82.02876809152811,E,A,163.93505890160864,7.752354514248896,-7.491810027251892,1
Hispanic,18-25,Homosexual,58,-56.588351146858976,30.207758511906924,75.1212393626433,-21.914732750891996,A,A,-34.47559348671276,-87.86857922884145,-50.519324693388,B,68.06463298897071,-60.159745681924726,E,D,-12.990625881118953,-54.63445903379881,-119.0820511985462,0
Black,36-50,Heterosexual,24,-25.712002609807598,-101.26046853973358,52.38817006590435,-16.08391899431269,A,C,-67.57492499473247,-96.63676932698279,54.740404767801024,A,167.24026377423277,-107.73041593813417,A,C,20.90526298374547,131.6312977625839,91.61294621579624,0
African American,51-65,Homosexual,77,-56.43209656246696,-201.17860000711437,-165.46356198452358,-75.52011156527897,B,B,47.15026399191128,0.03476755148776514,-143.56903941217794,D,-61.714303231251556,-109.27702932981367,D,D,11.46655010910458,104.32978429649253,-131.3803610586922,0
White,18-25,Heterosexual,41,76.4012734221556,44.66943524398273,3.06548496464344,-56.249067889115125,A,C,50.24065821330631,-40.67423752211381,246.48823622498023,B,-123.74672642846343,-73.80471881132345,A,E,73.02261503272818,5.989154250348349,30.14154167391855,0
African American,36-50,Homosexual,68,-3.449248297572151,28.809044109542477,9.653780915740676,134.67448076798186,C,C,38.7557289431438,-144.90842091961514,76.96082092746977,A,114.734931627798,85.25816872972572,A,C,-163.6783388006287,127.6443229868142,176.85288537753806,1
Black,26-35,Other,67,32.81643396347846,-81.22600286925135,-42.29968205513389,71.68882433928687,E,C,-94.23416205436236,9.019952077951846,-9.392722138104611,A,33.01627474886242,70.56823526156776,C,E,141.5474581227639,-26.778377089216637,-148.8225146102979,0
White,36-50,Other,77,-18.19081105278991,79.83021571404443,-130.86072182788087,-111.37939907745564,D,B,-13.827635912968978,-90.15263368546033,27.97121423726738,D,-164.44147233183978,-44.88099950141169,D,D,-67.72281207746784,50.817459165262335,4.790774946269757,1
White,18-25,Bisexual,25,-71.17958582344889,112.56727060981835,-3.852282531958484,67.3198733054764,E,B,-20.783651233362797,60.50294381394315,136.9667509751037,E,45.932792309005734,-47.82099670022146,A,A,59.957324132640025,141.7650609770522,20.351583700296114,0
White,18-25,Homosexual,32,85.85758786544773,12.762298018533174,40.39420592768726,-28.768738736065146,B,E,37.93287585075038,-131.12542987575304,-140.78431205373346,D,187.22510440174023,-45.649037417655016,A,E,166.44630913954185,-37.255984948484375,88.65475675441843,0
Hispanic,26-35,Bisexual,55,120.97620535395752,-39.999771102729156,84.89965755175298,44.15790927856648,B,C,14.979005053810054,37.34735013299846,109.81973304668948,E,60.33877645583956,-165.6995592192026,B,C,17.17633544454577,-261.7976978317235,-35.45920752746129,1
Black,51-65,Other,41,-85.3257032914589,-45.56678117214099,-84.11902465893239,47.694248250810524,C,B,-12.45677440535785,-46.966706665753286,-64.32489282051007,E,-181.4091979430142,-1.297066309506309,A,B,3.62150685046247,-1.454730251797914,34.00210026357329,1
Black,18-25,Homosexual,43,5.788559191202499,-17.407733671962156,-79.03248663506471,56.18925466728217,E,D,-7.172376535321864,-13.075015712475732,-218.37279970207484,B,261.81087472351055,-11.063485454041407,C,D,-74.32026895419672,-35.2123330740776,243.8471497731252,0
Asian,36-50,Heterosexual,62,-3.243501649768364,-26.133029965315213,92.00353273315585,-33.709980361532544,C,B,84.83747363731273,72.24823947117898,-20.562571948718933,D,43.788095020500066,-45.30379209577757,E,D,55.755031547433774,-10.257174133116372,11.276542471952762,0
Hispanic,26-35,Other,44,30.703090973159192,-59.82280141340236,-23.581665601010926,65.65282205764245,B,D,-80.43268443614413,-46.318643087356634,22.127923186321315,E,50.51322234122853,45.70937163552099,E,B,-41.24130704455982,36.68058256391532,81.72351915898547,0
Hispanic,26-35,Homosexual,34,15.125787087335308,78.31333285707386,-103.07093657890931,132.2336794916163,A,A,-37.83228212431117,14.302957731449661,185.83852487202324,B,-59.62986606308134,110.93712356961862,B,C,12.030981109808854,227.88245122700368,-3.406199151589356,1
Hispanic,65+,Homosexual,51,48.604924176453466,-22.745738578949005,-18.481814003134673,6.840475016692594,A,E,1.7275549232601963,76.47674543875193,70.59075520681458,A,33.680200172184435,-37.82672257321882,E,B,-77.93679597610033,175.98785228921145,57.41879318640273,0
Other,51-65,Other,49,25.859403515778546,-111.86538202312181,51.02748211563042,-239.68571133150175,B,C,108.88269903115378,-32.06970060748375,-6.435516323591218,C,146.8784494721767,-48.47832366652466,E,B,22.049221407963074,-33.64004771524271,-78.1620578048351,1
Asian,36-50,Other,60,35.36637255388888,-126.52169802946898,-146.66772043371785,-85.82821139675197,A,A,60.701284410067245,66.61016141352869,-50.872950662852546,E,251.80428521166425,56.78414087926391,C,E,93.52223535590821,-91.13869339519528,160.99136298400666,1
Other,51-65,Heterosexual,36,-56.53417516229372,196.0858172877124,78.07701638293813,79.15498489881995,A,A,-44.89711655457229,112.51065063660361,-144.36950689103497,D,-7.78551506434466,83.98964028116366,D,E,124.44299643771942,28.396989429409402,-57.46972808363234,1
Black,18-25,Homosexual,33,114.38515923827882,209.149338919258,48.080438843327386,-32.94753326563596,E,B,153.77273829154706,89.6281116026515,137.35279309188894,B,27.689510392914062,-172.82426363091082,D,E,224.41072006932185,65.62435986443063,236.4263461068818,0
Asian,18-25,Homosexual,28,-54.67761572545663,-94.36378365375649,-171.69978713808732,-3.6150767331135607,A,D,67.88531985918596,-83.3559024387689,44.150179430836104,E,-51.905800938585585,-76.29764802677941,E,B,55.07635102128749,2.6057054139102567,-33.29768293311383,1
Hispanic,26-35,Homosexual,64,113.36338073102536,97.75566434794837,-7.738807192816139,38.12362300827675,C,B,-21.211296565100284,-20.970965954168324,11.79114669021946,D,120.40653212271046,146.8968696473674,D,B,90.7000259288604,-71.28189344546692,35.49868563658108,1
Hispanic,36-50,Heterosexual,69,17.560214607307618,32.37100926284719,35.097050493948046,11.007808149436189,D,C,211.76436033094853,140.8290783792621,-89.03253920385967,D,43.274891104787706,3.367557835099881,A,B,257.68952540693584,44.35693877072344,-38.16248283437197,1
White,36-50,Bisexual,52,131.14334657718229,-0.9977281639587596,263.9326156982207,-83.44116832748023,B,C,136.41348415435354,104.81309394583688,115.38490118668541,D,214.51680745369836,-7.899774819441872,D,B,-101.22824057717507,91.53941167380498,130.56852279483897,0
Hispanic,65+,Bisexual,69,-8.026373194097323,102.46631852700376,150.58148307960687,-77.02475361264766,B,C,-31.198802491900558,179.94211262984692,-43.12643578137651,D,-97.7614980496106,92.97042142978947,A,B,56.39553712798254,175.80451294532034,13.02913247551484,0
African American,26-35,Bisexual,67,19.013383518739577,1.9382209045536305,-114.02229374300407,34.85338317015817,D,C,-82.21832149160493,62.7928936194351,112.12106640871073,A,-15.534106755512497,119.52207342139131,C,B,-60.983398711198554,-8.601282376502652,-9.664095863263448,1
Asian,18-25,Bisexual,70,53.05340339575187,209.66581508997248,16.23867257578104,-93.8242079288147,D,A,150.06762410036092,65.52099485768233,-78.20026365483056,D,127.35946338019923,18.118196665835114,D,A,105.30932753333539,132.16552759946748,-1.8097181726718776,1
Black,18-25,Heterosexual,69,25.79115715378607,-130.69765535363393,77.6953443166884,55.61126504331675,B,A,-107.05289177500961,57.86386311530768,138.55858029669676,A,-179.91949069400874,-194.2133348690407,D,B,-15.473302001833336,9.581125096750105,100.43055441639905,1
Asian,65+,Other,37,11.772121668674759,93.25676308413904,16.41657955390403,-45.499389400789944,E,A,-5.548153606413333,-28.40750856373383,-1.3157016878307957,C,-110.98788322390318,144.88302922530386,D,C,0.44207887541704555,35.501757354488674,-42.146576064115926,1
White,65+,Heterosexual,60,-41.95722604168984,15.023295481116833,148.11438385181162,94.40085191065512,D,B,-42.80511290926709,-1.334605504395145,75.07698887425265,C,-18.024909281104584,-74.76546521743951,D,A,58.43990036350093,-178.6860131528868,129.4280374405311,0
White,18-25,Bisexual,73,-58.209575289358725,-108.53145591322144,71.98197767304649,-72.27903910260751,E,E,11.723900339293387,66.92363032545434,-204.23145618452364,A,10.678765194918919,100.34425164564198,A,B,-58.731365952636175,18.4466774276411,-191.87055942149553,0
African American,51-65,Homosexual,39,-8.754564566558392,1.1642948655911483,23.924834078679325,-82.59928812231689,A,B,-299.64418275879024,86.24216847500162,7.345698971121626,E,213.0525128724178,-57.747167132970226,E,A,0.0034170418652356123,-26.407371663813677,-58.83537983962556,1
White,18-25,Bisexual,65,-57.4415734451583,33.60152517400496,-87.32454500396018,-86.77748015402727,C,E,-23.20780068865836,190.27559585431823,40.07477273191601,C,-2.9500887367645374,95.42207545121965,A,B,124.25652500405849,-29.871891850474157,-163.31572007397816,0
Other,51-65,Bisexual,18,230.21037569297985,-127.41715362861386,32.86638529212447,132.02334292473466,D,E,52.07078996296338,31.371574856348943,92.43362766384487,C,-82.1622527656649,99.23727232378502,D,D,-133.14309990232422,-172.34941582682129,107.36638127667062,0
Other,26-35,Homosexual,40,136.4037666446743,-5.70115668271262,93.10190561108078,-2.2185831024591494,B,D,61.58434876001634,-28.893245119074717,0.8853568727150078,A,-248.48308688948975,-9.08140744617016,C,C,68.42957260658163,-88.73520281116754,46.73491105494274,1
African American,18-25,Bisexual,77,130.7140597337127,6.876201413935982,-11.725007604308573,-161.49296933122156,A,D,49.56866734437626,-111.02389276456852,21.039248481654173,A,17.98276157198968,-91.57709262574157,E,E,-36.94971520684276,111.11505093693899,-174.4257098334839,0
Hispanic,26-35,Other,38,122.64027932092843,109.77931886559918,195.57778577277622,-209.6974059237032,E,E,16.8300973764964,44.950843879452954,-43.662907713615944,E,-50.98381093226797,-160.24541655592822,C,E,-12.046144307630726,-120.63392680560526,38.056696310359364,0
Other,51-65,Heterosexual,54,-247.2216783640873,37.23180770933456,-126.94157296145559,52.85753364215445,A,C,154.39192890262188,130.59316535609904,-163.99157177308865,C,51.64689217840025,-66.46981348401845,D,C,-95.57998209426533,20.415254521510388,-42.16382038310588,0
Hispanic,18-25,Bisexual,37,-158.1557579212508,37.44175176804286,78.46626304682631,-7.76694005318874,E,B,-198.9246172488791,82.67739555116012,-92.14849567053112,E,-137.97917074232467,48.71042193462427,D,B,-65.41702010761301,143.99548611247656,174.19697108807028,1
African American,51-65,Bisexual,77,-84.61643864003247,-193.90850471116423,3.786286074817629,49.05074413347255,A,E,28.234947215124645,98.774038795958,-91.66450377949175,E,-6.87029696345238,-73.6057410413942,E,D,-13.380184819517934,23.576725966981417,40.03271051529165,1
Asian,26-35,Other,47,91.95411114862137,41.160124070258995,3.5771958519890923,71.65465928852622,E,E,-42.14458812695937,152.52443498521657,141.74233010072467,B,-101.75642936240085,-100.81163643184343,E,E,52.207955956127805,-158.86969901797622,-96.5063438704639,1
Hispanic,65+,Heterosexual,54,-80.0168773678177,16.57539305100473,-120.46520689077596,17.20729012846536,A,B,-22.45575153710095,35.34133929925845,39.81860552813265,E,39.15525009620561,173.40295618817828,E,C,-168.05209829573033,133.82400504769936,-122.38545479236791,0
Asian,36-50,Heterosexual,42,73.98767191159217,-94.74057095752939,20.47148308097606,-62.67909988449305,B,A,-103.34560143439695,137.01492591834872,-15.586519028811418,E,167.94181329915233,74.35972208363867,A,A,31.78534876455595,-8.439652308483444,-47.13204851564082,1
Hispanic,18-25,Other,76,-88.50572658591278,147.42635131469467,-279.08016725453,76.9082470130584,D,C,95.9649089284623,312.59743053852753,100.3376059733788,A,108.3485865430482,13.820745241051306,A,B,73.9056748434239,-108.08337586900731,-29.921094463276955,1
Asian,18-25,Heterosexual,46,44.09548811569239,-41.0569881237315,-100.45658427895164,-27.35081347739833,D,C,-60.75283359199035,-44.71316495084138,82.77433518728584,B,-29.612717415572575,-9.590350565583575,B,D,-30.66046386396877,-35.68894783934288,-91.79132878458381,0
Other,18-25,Other,79,-61.730696609065305,-116.18933022376807,57.757148777364556,-13.424446999539875,E,C,80.2163204193079,124.83949203860175,230.15606926744866,C,-37.12399971186997,-30.299824804844523,D,C,172.34644044258837,-47.80183986091543,-27.765970550821663,0
Black,65+,Other,47,-31.46328474967106,-37.296797977015,166.9216276095928,101.73520655602732,C,A,51.11070883242815,-162.71268211820035,126.39509566263148,B,95.91034667033088,-67.28220478096411,C,E,-28.368401904579628,-27.536469283762155,-4.862672198325354,0
White,51-65,Other,71,-38.76415847393095,-152.23620710201342,-105.80391612521535,11.874203491233677,A,B,-185.01563550478372,-79.03965410170785,113.97530007906767,D,-6.149447898528773,-119.25825292300705,C,C,-9.466178850434833,-27.33336607227216,-115.3840797428886,0
