age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
18-25,A,-47.73674662118117,-89.68973974579917,17.908108146530623,-9.124389074362112,-172.43796095799792,A,C,-133.9718265030032,B,C,D,D,C,1
18-25,B,84.6427699792531,23.368490818210816,25.243205224545797,75.34465135742919,-2.5013840965405376,A,E,-75.88348935999525,E,B,D,C,C,1
26-35,A,105.42436708180946,63.28222857676864,-21.061290529626895,77.48530051551265,-124.03085406686051,E,B,-104.07731372491371,A,B,D,E,E,1
26-35,A,-97.78324756496978,25.79954201353005,143.64015648998364,-108.97990520985476,-94.75180330349927,E,A,-16.10408852297788,B,C,E,B,D,1
51-65,C,9.334563037280235,37.100951691165456,-82.92300794400848,46.56326591028811,-29.917481360947235,B,B,-132.805675825383,A,C,C,A,E,0
51-65,E,47.002821656588125,24.14083424792634,-165.53806615482705,-152.4454664817288,72.64080063088464,D,B,139.44171277848042,E,C,E,C,B,0
65+,D,177.08493756407995,-125.34485085350826,-133.904999550248,128.23352996268554,-52.379581390427695,A,B,-24.692890457983008,A,E,D,C,C,0
65+,E,-26.414330261423384,-212.3201685917128,-29.464749731738177,25.663749397750312,-63.51674955353413,E,E,-82.96904231372821,C,D,B,A,E,0
26-35,B,-7.621781608218084,-101.53305393041995,148.70279904909523,-2.897610871071958,141.49445969941178,E,D,111.19260043544,C,D,D,B,A,1
51-65,D,164.64456767938583,72.88621228226768,-198.7262450463929,130.24234651225672,9.853920238038437,E,E,-33.13085139640512,D,D,E,C,C,1
36-50,E,52.25581994994434,-4.967604284858507,98.70501785597098,-31.98234640645914,121.55490837456809,A,D,-151.3232105514898,B,B,E,A,B,1
36-50,B,2.9790490737309874,135.38818448262217,54.72231193837206,-38.899284205828664,99.51342690305577,A,D,202.55821421313897,B,C,B,B,D,1
51-65,C,-174.27898516778984,250.2004543165564,-83.5916830748876,143.1272346183574,-57.63781808347803,B,E,-56.72458876351201,E,D,B,A,B,1
18-25,E,100.33345006505219,128.462484195586,-24.715185884976588,-40.93373619471639,46.56895772197796,E,E,46.23580514838793,D,C,C,E,B,0
36-50,D,39.37949379157636,-110.45746492727942,112.46497041398472,30.113010637551657,94.4231892573104,E,D,104.95325244915873,C,E,A,E,A,0
26-35,C,-108.87754291847538,-7.210071439196322,-113.39099580848588,-138.30294354422767,186.40147441207245,C,E,25.22534220500237,A,B,D,A,E,1
51-65,C,199.04405257446817,-189.9071871504832,-18.65977407782127,187.11181140992989,-11.38905449720318,C,A,-56.19882626490814,E,B,C,C,B,0
36-50,A,-7.806694815897032,30.482536982085573,120.80356434434137,-65.32748202176104,-46.898525796985744,A,A,-140.3549284113501,B,D,A,C,A,1
36-50,A,175.99297636836323,-110.94249327957719,-45.25576351338109,25.197602922603718,41.66583303151718,D,D,-8.519563857520073,A,C,E,C,A,1
36-50,A,-9.69235195078284,-59.31512242391652,-144.5843204307398,21.36434816802109,-124.77206512951027,C,A,147.77867109338302,C,B,A,B,D,1
65+,D,116.53526906565016,34.37368561325931,-69.3312217452735,131.080034337297,-1.373696637825986,A,A,-57.11268511651307,D,E,C,E,A,1
36-50,A,117.14929558990805,-28.32889732808384,-42.139251342287785,-95.24782121278753,79.65825430248726,E,E,6.363410297392644,E,B,B,E,D,0
51-65,D,-25.550435809727773,-117.65564365156224,50.688568834251356,125.75693889265109,92.83697713405994,A,B,-6.2370227806911345,D,C,E,E,E,0
51-65,B,-57.25263003361303,51.682899773173006,-206.37582063713484,5.678687763370249,-53.68683734002967,E,C,-60.544803274634475,C,C,A,B,B,1
18-25,C,47.97273979994599,58.78458421211098,5.6645429716329,46.900723907900584,147.02778554486758,A,D,28.785296156686442,C,B,C,D,D,1
65+,E,-34.51847447069294,-185.29882239227712,-167.47915306825718,130.78418725877543,-122.47961359732207,D,B,206.7763002792241,C,A,E,B,D,0
18-25,A,13.58530825549229,-243.19049871815886,-29.6951790563588,-26.00101409733881,45.638961803086616,E,C,-81.34411199763639,D,B,C,C,E,1
26-35,A,69.3676411466937,56.408848553282965,32.24056916964449,-122.89920987168328,-165.95459250060506,D,B,-276.1836850017572,C,C,D,A,A,1
65+,B,156.18790716425815,102.18236848703003,109.92849924356514,20.58928503976452,43.293628182507256,D,E,-163.89856884885728,A,C,A,E,B,1
51-65,C,97.04568954546558,98.85690880861475,-4.684882698842588,-2.932263684472568,-135.11290928566,C,E,61.764015883266666,B,A,C,D,B,0
36-50,C,190.0735986301823,24.562107134689512,22.494961286167058,-89.80982980522774,-12.789293854662926,D,A,-121.05563325340596,C,D,E,D,A,0
65+,E,-52.68856966483276,5.50344672420376,166.44133371945827,-62.15114734678537,-22.227351295987436,C,B,67.26003062375867,E,D,C,B,A,0
51-65,B,54.38504439067317,-51.43423541391998,-24.38750262491654,20.609229432714514,-87.17887418866272,D,B,77.307139148505,E,D,D,D,C,0
51-65,A,-119.58559433527263,117.86828157484437,-135.83413396841362,77.40706971760662,56.08199386070589,E,D,-226.26841505242945,E,E,B,A,E,1
26-35,A,167.0234202126832,-53.9955145464185,-72.4359215231239,142.7865817206464,-36.42785234800751,E,E,111.23832105140036,D,C,C,E,A,1
18-25,C,-21.530089720250107,248.07407136936973,-57.10424080214105,55.25596418165124,33.42631172687135,B,B,33.9242471314724,D,A,E,D,C,0
36-50,E,211.26580770287276,46.275832263509784,48.97911602865088,-124.91234790432306,-33.52139720196522,E,D,-50.65781676366288,C,D,C,D,D,1
18-25,A,-78.02084458650276,-4.6544156325678525,-79.53494804992593,-166.72921159264095,-274.93730870533,C,B,123.8869900180843,E,C,C,B,E,0
18-25,A,-108.19742611179166,-62.29568419899655,5.674506877093695,-128.0623063019137,-85.09171917907801,C,D,27.46439284725443,E,A,A,B,D,0
51-65,A,134.89363285313033,-136.09499594672275,-84.27962631281396,-157.84213259463255,125.03027421084496,D,B,42.4241429673453,A,D,D,E,D,0
18-25,E,-143.95320897380688,32.315378509098544,99.13944045171509,-16.85783970357318,-81.55046410203116,E,D,8.332337793948472,A,E,E,A,B,1
51-65,C,15.030546660779788,112.64902717169886,89.55260793769774,-135.40279931668272,-242.55452321790335,C,D,33.482546402916704,B,B,B,B,E,1
51-65,E,54.50714328222922,43.79900401680665,-154.28139667087734,35.734334553284604,232.00992290059966,D,A,110.53917249114109,A,B,A,B,E,0
36-50,D,-170.31636626665045,-247.96599627561645,-86.96106186887282,-164.02432573492453,-58.55082965269287,C,C,7.954461741112773,D,C,D,C,C,0
51-65,A,88.58019626731813,53.746138245922445,-96.73330503141378,-75.7481050905712,-22.875568146796514,E,D,-46.48587012000387,E,D,E,B,B,0
26-35,D,13.942490366488828,5.020986958169734,5.217707567059345,46.217006517085,-11.182535463667149,D,D,-223.79911776331355,E,D,D,C,B,0
36-50,A,-21.68849654678214,47.45896641855868,17.97406350608045,-57.28419387062821,-96.95760681688762,E,E,81.66634079906291,B,A,C,E,C,0
26-35,B,-115.99895706693242,81.33818285738478,-116.93597114235507,255.35269019265806,69.36046220220202,A,C,-28.484121567847865,C,D,A,D,E,1
51-65,E,86.14687994515992,-39.33891594850948,-189.40761188411147,70.1338938960311,-12.986075382295232,C,A,14.7329368697665,B,B,D,D,E,1
36-50,C,-0.04463030240623361,-53.923666387708124,-8.55716835987239,3.4372100810881734,5.936096213011504,B,E,-14.312117451953075,D,D,C,E,B,1
18-25,A,97.69532215221408,5.639049800344011,-15.35741730025312,-11.678117299351534,-47.25478388516595,E,D,116.77190625004619,E,C,E,A,A,0
65+,B,33.28374773854221,-20.462218470356234,-4.844581436455108,65.04778149625604,164.17213725917892,D,A,-9.44025512895369,E,A,C,C,B,0
18-25,E,221.46052173883626,33.43114236295076,-37.88229362755322,110.04342071694349,3.715179039445518,C,C,14.376746669622047,E,B,B,C,D,0
51-65,E,32.520633511523016,98.65764040635959,23.79040449551218,171.95121858572423,-13.199441675912055,D,A,23.088824026466092,B,A,B,B,B,1
18-25,B,15.60046751476383,253.17640935684275,-53.332213666969565,-55.974468028523525,132.97487713717854,A,D,-213.214397318583,C,D,E,A,A,0
65+,B,93.37047363477411,113.15478923243624,-35.3546839280263,-158.92111065987052,127.46238205808626,E,D,12.435997726395152,E,E,C,E,B,0
51-65,D,45.988488323914,214.46804579647784,-44.51749691408375,76.07946434490793,192.76235216778994,E,A,-7.994494757697493,E,E,C,C,C,0
26-35,B,-83.21432961754418,-76.02481312086809,155.42297194216735,51.092503510681716,3.067606402512469,A,E,17.513099337940247,A,E,A,B,C,1
51-65,E,-140.6690188254673,104.50881088447137,-41.467596222229346,-23.918002247069868,21.140678580019078,E,E,73.27544395859863,C,E,E,E,D,1
26-35,E,118.93053756965706,-80.54574001330205,-56.968488136643266,107.06291336413058,93.9959444580208,B,E,187.1412051874249,A,C,C,C,B,0
51-65,E,-168.10556734502774,147.42849917797608,-105.3139598134269,23.149062503496705,-127.01190345263818,D,A,-130.02579314959516,B,A,E,E,C,0
26-35,E,1.6972603979351224,40.85163041749522,-86.24860399457943,186.50109779050644,-3.036007783663374,C,C,-101.20112733681779,D,D,C,C,A,0
65+,B,20.39721758430791,-38.529450336316984,-208.7696485067949,61.216083713206956,80.93494165404472,B,D,124.16073279655402,D,D,E,D,A,1
18-25,A,-80.0532760668549,-65.48337403624241,73.71714723258394,-100.01068664478392,162.01262686589604,D,E,42.86726747627721,E,B,C,A,B,1
18-25,B,-71.06972887336325,-0.4756990800045113,67.47288320734654,-41.42790282387476,-117.04922649123513,E,D,-131.2253888375922,B,B,D,B,B,1
18-25,B,95.32116357587552,1.110404008438784,86.99562099985481,-93.6948618270371,151.7149724314175,C,A,69.51694246586318,A,D,D,C,D,1
65+,E,-58.78522038679864,79.13006475144206,-142.80650658290267,20.508332034526404,-63.22260157739809,B,D,-30.64046475591558,C,D,B,E,E,1
18-25,A,62.57307738774522,-45.11458140616609,-85.57648524417638,-55.13910495844105,-83.93186882401889,E,E,-102.03898040077884,E,A,A,A,D,0
36-50,D,157.30059146663612,10.328853095283508,89.80779766194617,-122.97949821918179,-6.290831006566679,A,E,-3.7849136943096844,E,B,C,E,A,1
65+,B,-16.566369711677602,-86.25786469324524,49.18535794131603,25.840389474562148,77.7017325739789,B,E,67.11346277528315,E,C,B,E,A,1
65+,A,-111.56500882225555,214.07946394933012,-18.913964206657965,125.28563877574229,33.53096565182356,E,A,119.43362415794132,C,A,E,B,A,1
36-50,D,185.9305402518817,120.83982873480122,-171.84382159375028,29.334107305844377,126.97574011382042,E,C,-149.51947776635387,D,B,A,D,B,1
26-35,B,18.129814563459938,-28.498190326242934,-124.46124708897197,-98.77770413353467,-51.76864325854098,A,D,-79.81355704095668,E,B,C,A,A,0
36-50,D,-136.07799474901597,-86.91469810611459,-29.50957905095435,-64.86882390627706,-187.40015971084313,B,C,-51.01262354000398,D,C,A,D,B,0
51-65,D,-248.56172280711638,-60.42318065312643,81.40047237616088,-13.238470252500075,63.17160388097438,C,C,-46.67967592399707,D,B,E,C,C,1
26-35,D,86.92589232588888,-76.56607462013103,89.71477859080763,-35.5442420366382,-32.97166653951103,E,B,-72.53931014573772,B,D,C,D,B,0
26-35,D,-12.418008682421593,95.1414069030996,12.005615638813538,-67.03103743540265,28.063091136315517,C,D,-164.70233554932838,B,B,A,E,A,0
51-65,C,-120.26449248273015,99.09020939123934,-30.88235042337782,11.558477558671278,222.89568916618956,D,A,-24.22732145900083,A,E,A,A,D,0
36-50,D,44.29170241041466,48.55587269612538,165.7962152969299,2.738721836661534,22.161492476430087,D,B,145.38931147041086,C,D,A,A,C,0
36-50,B,-196.97079181178248,13.921140817162888,-0.30833416705475236,-193.25214981694674,132.49830393083437,B,E,-34.1801515719416,C,D,C,E,E,0
18-25,E,4.747073783902551,-1.1926973349001435,79.19344474000944,-175.04906753558316,19.592663772505816,C,C,57.91333215351001,A,B,B,A,D,1
26-35,B,83.61792956982615,45.23525090966256,-225.5641683052426,-95.81832425520726,9.939271681626147,E,A,134.39519652401543,B,C,A,E,C,1
51-65,E,-65.38549248603003,46.78975202046145,-0.2851059006548048,-27.20442419075703,-23.15813766196541,D,D,-57.235093282619744,A,A,A,D,D,1
18-25,E,-17.437886513618412,41.60090328102258,70.6205595256924,-15.295075737573722,-106.95019737913354,C,A,100.47589276162671,D,E,C,B,E,0
51-65,A,16.74323869026656,-148.93370867958126,-39.51040172724149,75.81761018799747,-87.83026121882668,E,E,16.027105743190507,B,C,B,C,E,0
65+,D,-121.1539372070479,48.02893718938923,4.93553583660936,-5.494976150885119,-167.03899654009675,E,E,150.12047390435154,A,E,A,D,C,1
51-65,E,263.32988573663346,-65.06732645081128,-20.87382028231595,126.69315411339852,-41.568640494904294,C,C,-159.869565792131,B,A,D,B,C,1
65+,B,-104.28593972193214,-59.67238576351836,302.54405754685337,-15.893469849334446,56.48112997971925,B,D,-44.45731004509966,D,B,B,C,A,0
26-35,C,-69.14797312526623,66.03858073998123,-86.95841923413006,-39.02390319607428,-119.50759014783361,B,A,97.97228126142274,B,E,B,D,B,0
26-35,C,-68.90011250464767,-46.270582558584834,-56.14224319840064,165.13363522321876,25.007776914783825,A,E,65.79378457453167,B,B,B,B,A,1
65+,B,-53.95952774595941,-75.55000598615096,-44.63917653261992,-84.69436711720333,-70.24545051360268,E,A,75.02056142972424,B,B,C,B,C,1
51-65,C,-144.09995874660632,-27.58097350805391,-26.039365918890006,-36.98804387774801,-24.461610521197656,D,E,27.622331498692443,B,A,C,C,A,1
36-50,B,-129.37290755023076,-17.49850812064148,36.974196853621315,93.55222632490742,85.78809832152604,C,A,-44.95167283267881,E,C,B,B,B,1
65+,B,24.13902694682028,111.33298206221608,-219.15452464778375,56.38569517991435,151.8587477995407,D,E,-5.877975463385511,D,C,D,A,A,1
65+,C,23.399725854094942,-46.82237792921367,31.918689171549698,88.23172375411315,-111.88789609975782,D,E,82.84062690362246,A,D,E,A,B,0
51-65,A,32.56952007489987,95.80656865047182,-7.998406211623889,-164.7866864444746,81.01477538573847,E,B,8.737901379100295,B,C,E,C,A,0
26-35,C,-27.064933314951045,-32.19629313421408,-55.06338679576874,211.67740679774337,250.4731154193872,B,D,-57.33047581217205,B,E,D,B,C,1
36-50,E,88.73400731094323,46.4790170189912,-43.77888112375674,-28.115313525040325,-113.130803650029,E,E,66.49017468767522,D,E,E,A,A,1
65+,A,80.01071956477877,-41.399104332675805,-121.91296209551209,41.16417033948994,-40.759026967819324,E,E,-151.70871373673117,A,A,D,D,A,1
26-35,B,101.72907627380008,-55.49517064308503,-119.74005566706975,65.0666493761761,-132.9477771373084,D,C,-150.04495248363312,E,E,C,B,A,1
51-65,A,-49.88193069765127,19.327856005924936,-41.009611806399015,-95.43263181135009,-4.573412771304505,D,E,-194.5784779050654,E,E,A,E,C,1
36-50,B,-80.03643351587165,154.7310976505669,-83.18280664689993,308.5197950039089,-205.35297801837467,C,C,29.329454510507315,D,A,B,E,B,0
18-25,B,-76.3028104403166,-82.57751643764382,13.017396491530686,-30.38763999668642,-75.29772720208689,C,B,-27.486905116192222,A,B,B,D,D,1
51-65,E,65.17874124362287,16.67535769425751,37.47219965617256,-175.6495894290829,77.06996431982493,B,B,122.63614354030265,C,E,B,B,C,1
36-50,D,-43.53343563185662,-94.68333376555704,89.23200165612542,-4.576799319645389,-56.18377548220772,D,A,-105.82023161595644,C,B,D,C,B,0
26-35,E,-58.24093197417456,8.028358477167293,75.12080079737403,-19.34113946147894,23.04237665882041,D,A,-128.90056152759865,E,A,D,C,C,1
65+,B,123.31461682884954,-42.91674662537313,119.16176134518955,75.1534190477749,-50.10286690532254,D,C,-4.824915290710894,E,A,A,C,B,0
51-65,A,46.45004554687182,82.63707467756088,86.87317774472034,20.083992260768945,-101.79352340875963,B,D,124.74413997647325,E,A,A,E,E,1
51-65,D,88.71434286435289,-25.997796673520916,-221.14020863267157,66.61699917145559,-130.68140420624715,D,C,21.23512823654893,D,D,C,C,D,0
51-65,B,258.45480802658113,-85.47294650633266,-68.3380859968687,113.092117610983,-173.6292568363133,D,A,-94.87242937065665,D,B,C,E,D,0
51-65,C,1.9996014780065585,20.44188407305744,-201.0990370621605,69.84084363654254,60.968947965860345,B,A,13.723069254520714,A,C,C,C,C,0
65+,C,-29.09131312204864,0.08265678279721017,6.743916236057543,25.76570689824037,-129.31660230847967,A,C,-13.38161281638746,E,D,A,B,E,1
65+,A,-25.136464989721375,31.014486894271155,144.82846322880673,76.50805981018372,-74.88307654744492,D,B,-11.748626483158073,E,A,C,B,E,0
18-25,A,-48.46674192864811,-70.0608152813271,18.98493785302589,72.47852084288725,-53.07756021279889,A,B,-2.641247214682809,B,B,A,C,B,1
51-65,B,62.97538668611398,19.862751802949855,-231.35045928856434,-20.062355692151755,67.41784840587955,B,D,16.040000039730327,A,D,D,B,D,1
18-25,E,-29.591437589369367,-24.62359442382104,-112.39352828599051,93.26329215404223,-100.25387459417774,A,A,106.20708939275747,C,A,E,B,B,1
36-50,D,-72.2603157131959,-57.78708445011078,-85.35568526243422,67.77609016748734,-16.380798400140183,B,E,-68.64382404921137,A,D,C,A,C,0
18-25,B,-66.8194086781187,-52.73857927960061,-96.97951997018343,38.21062715337752,-56.52789058208647,D,D,0.04362912029380338,C,A,D,C,A,0
65+,D,-24.54628226102139,-49.394624225703424,212.32938416493198,26.648090023045334,77.98837617314011,E,D,139.44737237023682,E,A,D,D,D,1
36-50,C,44.33782991579915,-45.677201546830524,261.8664550496744,-80.95403461800281,-93.36616629318684,B,B,32.13330134115502,C,D,E,C,C,0
65+,D,-72.24445623890735,15.486941799356915,5.0575043458247215,-13.219531219008388,8.687362153941105,E,D,-75.52150349631567,D,E,B,A,A,0
26-35,E,-171.49893330152648,-66.47864950434294,93.70024882913795,-6.989011386150443,-304.6006282145402,E,D,-96.79063452725714,E,A,B,C,A,0
26-35,A,27.00298337440626,98.67652718190902,-69.63332986450584,19.506692862440108,-61.19600309867943,E,E,-1.8436153976765044,C,C,A,A,D,1
18-25,A,91.07612350701899,-98.0327512318564,71.87252465127723,-13.127950220482726,108.34459360972684,E,D,33.35459655526586,C,A,A,A,C,1
51-65,C,-70.9822691318752,-82.58036107818377,98.1939859219492,111.01421250643197,-31.959431728716147,C,C,53.44549846287118,E,E,D,D,E,1
26-35,A,-112.35671564195606,-128.2427821360472,126.37829148507174,119.09816975419554,18.189611206349262,D,C,-14.15756253370164,D,E,C,C,A,1
51-65,C,114.70839280487644,84.76008421854509,-8.795821993431503,30.896695198900876,-137.95283042111558,D,E,8.404508483547957,E,D,C,D,D,1
36-50,C,35.932709847167175,13.207084131141663,102.95665396588156,46.039675372190345,43.78378936377235,B,E,101.21096946559251,E,C,E,B,C,0
18-25,E,41.00326574179969,-214.07048148848568,41.8926683664462,147.87786359073874,-53.869188956917036,E,B,208.63244162212303,D,B,C,B,B,1
26-35,A,13.115980376848407,2.14697417665855,-85.00329237354603,-50.47231688728475,-62.31822245679235,C,A,117.44147402818427,D,B,B,A,E,0
26-35,D,173.98214438112365,19.612308658675154,-11.144962743681527,67.31065663466441,-110.38656271988671,B,A,-95.11479154853298,E,E,E,E,B,0
65+,D,-21.49779768362219,15.043106836677383,121.72972760133575,80.58778636279241,-141.35805276665323,D,D,242.32626213317255,B,A,E,A,C,1
18-25,D,-6.34779999826069,66.58465947307728,6.2738914218629445,-110.05233381601425,-205.75174230860574,A,B,78.32474397519371,A,C,E,A,D,0
18-25,B,34.58836233866526,56.93913280500234,92.70714677979839,-14.386921365692013,39.93842088317797,B,B,45.17765082411459,D,E,E,E,C,1
18-25,A,-109.38237895614166,92.14333931052914,-114.16424804842504,20.10283901958574,17.858111845957072,E,A,-52.113925673957226,C,C,A,E,E,1
26-35,C,-173.30961183414072,5.61791388707488,-91.96547256436475,-14.82654897322396,-111.537205850192,C,E,-10.350375216237504,A,C,C,D,D,1
51-65,A,24.793193262729158,-58.6421829905736,-30.827697844619205,26.07170415100814,22.49426442430084,C,C,33.948657468915194,D,A,D,C,E,1
51-65,D,65.11954849890103,-89.86885602180219,75.80222356026309,142.8160255748918,8.554449084590017,D,D,77.93689437433754,A,B,E,A,B,1
51-65,D,-157.3211904781789,10.93965270197956,-17.63726641744146,204.40908883583563,-13.086085668951696,C,A,-129.67578656728483,C,C,A,A,C,1
26-35,A,18.014805062272835,19.662049597057266,46.390392387811715,-23.705520258236255,1.361054193692356,E,A,154.65031599280252,C,E,D,C,C,0
18-25,B,47.470346937403384,29.263414128413757,-29.021585714523706,103.08742226567873,29.269609778995527,D,D,29.91571697420919,A,E,C,E,A,0
51-65,E,-27.049307141336982,-38.32256214405677,42.64280651623079,-101.56893917379657,69.2075989123347,C,D,185.63942866636174,B,E,A,A,E,1
51-65,B,-17.419366035040355,128.03041115159937,117.74437184568754,-132.8482100251084,110.27250391875272,E,E,-259.4204339285439,B,B,C,C,B,1
18-25,C,-46.654435552054494,99.78130071347489,-78.55899621124976,53.541759299239985,-45.8418594678142,A,E,-32.7706065574634,C,C,D,C,A,1
26-35,C,-104.6608185841076,117.01265554916363,121.1267522175587,86.40902472601451,-92.99354275229118,E,B,73.33401767385801,A,B,B,E,E,0
