Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Germany,A,D,A,A,D,79.17964420604198,E,147.44560522685202,57.05721844857824,D,-161.2671325774182,-96.02472538573855,1.1242559402728725,168.26717459366367,E,A,119.25674137173313,E,E,1
Other,D,E,D,B,D,-108.42299026028614,B,-181.5048413635937,-129.91657244317557,E,57.86109745304624,48.59363723491333,41.93738181044282,46.28489987895403,D,A,-71.2616181918866,C,A,1
US,A,D,D,C,C,116.38999117891385,E,-175.98739078014393,-29.615347567578226,A,-76.83661786714748,13.099590581320756,69.52120293653645,33.417229378788804,D,E,-70.84721111297628,B,E,1
UK,B,B,D,A,D,-37.56334024100216,D,207.85538168567248,47.54702924945421,D,15.03755013403196,-75.11035862436212,-244.37363887537646,46.63142604130698,C,D,36.98651473689523,A,D,1
India,E,B,B,D,D,-229.54127548891407,B,-9.320190864838244,127.60437414102785,E,8.409604470911423,30.023095818848322,118.35959112363985,-73.55368352400163,C,A,-25.19287141773624,B,D,1
Mexico,C,C,D,E,A,-54.3060748092263,D,35.87533459269866,50.44807630140138,A,-81.4229714824288,33.96332566550126,-68.74391533533287,-29.248142689132795,C,C,-108.44831688981718,C,A,1
India,E,B,B,B,C,25.872243992189127,A,-11.715608058703019,-51.89949300961053,C,14.706705888873605,63.62687688225394,-202.04890256784736,60.89590503181436,D,B,-14.36887878990195,D,C,1
Other,C,D,D,E,C,190.77652529807125,B,-100.21741850177189,81.66036344608408,E,19.174317776421614,-55.280163884308756,4.466302046753024,0.8196744716044844,C,B,-232.71883739933875,E,A,1
India,C,A,B,C,A,167.2790298388754,D,-256.73960648501793,79.18968819172693,A,-46.020782895885745,-187.39270961349476,76.85389593555921,61.851227620829555,E,E,-112.05561823946223,D,D,0
Brazil,B,B,D,C,C,17.271979132893573,B,3.565109884901216,-62.88378398578169,A,3.0509020234451447,-52.619781960460834,2.982561558884299,-139.30840038212668,D,A,-53.96812290491302,E,E,0
Other,C,B,C,B,D,-8.40717878552589,A,101.8221563578998,129.03339816856325,A,56.762563951103736,38.12116998347596,-254.38194276300408,126.53836357445157,D,C,9.89034866112063,E,D,0
Germany,C,B,C,E,C,9.781302801023937,C,-71.45869165473455,-45.26929751373655,C,-79.62214559027049,-50.890051461566024,-49.71140560517967,44.081548224856896,C,E,-81.3405633636086,B,D,0
China,B,B,D,A,A,235.98404387154122,E,167.8457066147462,-53.75088545086463,A,-56.03336246133816,-46.54120350042583,141.46081917211185,152.0518300049733,A,E,20.902025023727536,A,C,0
US,B,E,A,C,D,85.30562284520057,E,231.05829689718925,-49.89985258348123,A,119.04383334065776,28.74901348507809,-178.04053406246584,27.19687302535207,A,E,33.74486827639571,B,D,1
Brazil,D,A,B,D,A,-2.2677265315312853,A,-59.8010872148586,-95.21357114236531,D,83.07758541285985,102.82206827775988,-138.63920847377847,-76.09984532395544,C,A,-52.50551268749047,E,E,0
Germany,B,E,A,D,E,76.44134160038209,B,-114.96005787500872,-63.634395566144,A,12.836781619189445,52.32108119025612,162.9947186725121,70.3394030682795,E,D,-107.25146610623608,A,A,1
China,A,C,B,B,A,59.266554889185215,E,-40.66396004125703,-333.397134285212,E,35.28673306611128,39.13733541886716,-102.18957525036944,-61.288400119108175,D,E,35.03194780477818,A,C,1
UK,C,C,B,C,A,-7.177932031527788,A,-115.25479754243516,129.21198201484387,C,95.01411934057982,-26.513783444485355,40.141054037895074,6.3877124836701284,E,E,-70.8171520061588,D,C,0
India,E,A,D,E,C,-294.0463769690932,B,-122.10906017005337,11.226953976230632,E,100.1847565221991,-36.86276177254826,67.93848524032103,-77.31751176583296,D,D,-70.12988517668546,E,B,0
India,A,A,B,A,B,-27.688484636788836,A,-113.6769318532895,27.39457238716321,E,38.843651315044845,55.4676516634568,-114.04798478513072,72.86868422729147,D,B,-68.60831325333898,A,D,1
Other,C,B,B,C,B,-10.501024872764512,C,75.82068252911198,-151.4746403916843,E,-36.20747707762882,34.671851233592605,212.26348396042988,-135.59752156363987,D,A,153.45652917481118,D,A,1
Mexico,B,D,D,D,B,-138.53862259374856,A,106.97333251695382,-125.94400395983514,C,135.0630203854136,-50.04862192658756,200.36467109101866,-233.97375054464354,B,B,50.184296736393975,A,A,0
UK,C,B,C,C,A,205.98500126224423,C,-135.62327150384218,267.7239304213175,C,-137.80843363918885,68.71617762024115,-90.77516463463328,-33.9084606184604,C,D,-95.16381230880953,E,C,0
Brazil,B,C,B,A,E,57.42196558458041,D,-81.60274555033278,138.1536571663573,D,71.23410720617497,-165.13024565198756,179.64564371210844,121.65198117923057,C,D,68.02673833014344,C,C,0
US,B,D,A,D,A,176.09973202917948,E,-170.7590592353102,40.07683712693616,C,97.23694288420484,-29.676329449376215,-14.130860381798968,97.68410763044405,A,A,144.5518843706943,E,D,1
US,B,E,C,E,B,128.90913476551654,A,-16.856576888253006,13.238939549347622,E,-70.6743868111915,-68.35331368322326,-19.79642353363932,77.54961481830517,B,A,-80.68506903213914,D,E,0
India,A,C,B,D,E,-9.126348232259303,C,-179.67476757305855,-211.8389417982477,D,-45.932735082155084,-41.934320270482445,110.58252903729256,150.36847535208295,D,E,95.78775627947094,E,D,0
Mexico,B,B,B,D,C,-34.42288229532068,D,-135.21174303505873,-90.84103481135874,C,38.64225502245661,-129.8202753954488,-15.751821995999988,49.83956026879848,C,C,20.293493924355484,B,D,0
UK,A,B,D,D,C,37.064340663532555,C,-81.0404359033812,-57.05387165458317,D,-33.833201962736084,-91.75962714548879,9.864413865303877,74.82802583750417,C,C,145.00886890119796,D,A,0
Other,E,E,A,E,D,-162.7467077339807,E,105.53819593846758,73.5997988295486,A,107.10381393360484,48.28131016413062,118.52648979354998,-224.6784982946666,B,A,-153.45413236556794,C,C,1
Germany,D,D,C,B,A,-67.08108080840776,B,60.107525029911315,-78.82733495771544,E,-78.541208128043,102.95664213326219,-82.98424077146288,-33.540324462588536,A,B,-10.88482186859541,C,A,1
UK,E,E,E,C,D,131.97410523345434,D,-55.39997555124616,-98.04323666352332,D,-169.73787025937563,87.6620122063165,9.61617902038034,16.953910045612318,C,E,244.5295369900501,B,B,1
Other,E,D,C,E,C,-17.416939183991406,E,19.978805516283813,-52.94187001453072,A,-19.540501255179937,-25.58347337690212,-47.08249649794888,-111.3740095621569,C,B,72.66133056476865,D,A,0
India,E,A,D,B,D,99.96669203010154,C,-53.31884425033152,25.97204024497335,D,45.29074175434021,10.003493158307448,7.12292975101364,-48.820445332182786,A,E,123.2158218743869,B,E,0
US,A,A,A,B,A,-66.87951467324508,A,96.87480714308009,109.06135162993652,C,-60.87190084932202,-5.111122575852748,-45.882042430816036,-20.280780978869824,B,D,-46.01368281543117,C,D,0
India,C,D,E,D,B,-33.18130655429661,E,114.44344615106434,-78.46521501299925,E,3.989923677543038,-98.92693828089098,-26.87819385539355,14.010437850771465,B,B,164.32405671945256,D,C,1
China,E,B,E,A,E,14.58269713408866,D,-50.49949859749901,-157.2135691988012,A,34.72711855961626,-1.5452040375147853,67.7025544047338,-151.69550557040884,E,B,-56.66817491661305,C,E,1
India,E,E,C,C,E,36.68747564068438,E,39.002032600122874,-54.51032418330024,E,-8.670374121597154,-119.08218044819527,212.17991177825303,103.46585100156824,B,A,-33.55843146052745,C,C,1
Mexico,D,B,C,D,A,-52.67938679636634,E,-92.57528872547691,64.13789715198506,C,43.664663599046094,56.602981115703024,-180.29558750626015,105.79457640338923,B,E,-105.92849676820258,A,A,1
India,B,A,D,E,E,86.51235699799436,A,45.65998993537362,-1.8453437717103436,E,98.39560396047737,-38.51498706894474,64.69147523801352,60.108375442188844,C,E,137.07018587573995,D,D,1
US,E,E,B,A,E,52.700801676410826,B,-36.898893049370685,-97.82575501316842,A,39.542093830851776,-52.37005210528586,-77.49776280070606,-37.41025512687482,E,A,-24.928292103381466,A,E,0
Other,E,D,E,E,D,-94.75342776848528,A,48.75920896685646,41.729655714193676,B,41.35338639989234,145.71599411679267,47.04065754866197,-54.13755245965628,D,E,23.699102128795296,D,B,0
India,E,A,B,B,C,-267.2854209196098,C,33.67489482707641,90.51773431853246,A,-176.9008966399075,-59.31239286926965,-175.9753305795654,34.839858268716,A,E,-114.13926000777144,D,A,0
India,C,E,B,D,E,5.590601948300276,E,145.1149791549493,-135.38031748820902,E,126.86699462142703,-38.525958779418495,155.16388480274787,97.12283981506742,D,D,-13.826358406719546,A,C,1
Mexico,C,E,D,B,D,28.612961061677023,B,-111.44677910128607,-68.29510991796559,E,-36.93016319001788,8.318318205458533,44.944619049720146,-15.399267936531624,C,B,42.50453425028823,B,D,0
US,E,E,C,A,D,120.31469765041673,D,-118.96462804218646,-139.9118306691765,E,-188.17306195808948,-112.0758546186393,-40.91872769740675,161.8326524049238,B,D,-169.32107643871288,D,B,1
Mexico,D,E,E,A,B,-111.6650439894856,B,188.53453768961765,-33.82432108576342,C,193.9428643071781,79.27615409012847,37.62711186761603,-96.09206413385192,A,A,-119.60985224551514,E,A,0
China,A,B,B,D,B,141.41140618876017,C,-119.76071910131942,-51.52402088229585,A,23.52466852371383,19.95471874038334,-100.33675605516727,-33.140898290233174,B,C,120.3739125734749,A,E,1
UK,B,B,D,B,B,-138.16309573431386,D,98.22253955253942,152.19271256589982,E,40.104701194451074,-50.102331361859065,-102.76154511595838,-85.83018953727304,E,E,-48.959132690218816,E,D,0
Germany,B,C,D,B,D,-231.49082662786756,B,93.50836366432051,-32.73247700453569,E,-47.950646004068496,-81.84407133097186,78.86792931105107,10.03603887304581,A,C,15.137960381316153,B,B,0
India,B,E,E,C,B,4.880993807801018,D,-119.66124646623122,87.62377566251094,B,-7.452506270673146,-110.44901336074014,-86.48329884377213,-64.86995616358575,D,D,-12.253596140747183,A,D,1
China,E,D,A,D,A,16.139515323715187,C,94.78787550059033,-46.086729411243425,E,89.68359371270341,-148.44783022157992,-119.84342915370311,41.32168009067645,C,D,-49.58606025593053,E,D,1
UK,B,B,A,E,E,-41.25396140954624,E,-28.115720641711178,-36.25061375874497,A,50.83174849487763,25.284726383178267,-22.874096479745422,-161.3196886271509,E,C,64.9213677676284,B,B,1
Germany,D,E,B,B,D,68.72066638651673,A,9.547377596272229,105.86785349534362,E,-101.35815481016495,23.915769591080785,-91.5431364662809,33.71628724262293,E,B,162.19686199415298,E,C,1
UK,A,E,C,B,C,99.38203298330605,D,78.34984751083373,-116.87995717799222,E,-10.598419264088815,-151.44482792614883,-124.03753285891864,65.27231825772128,A,C,13.537463754621474,D,C,1
Mexico,E,A,A,C,D,-83.12477163951357,C,-42.73908840787386,9.048208162065237,E,21.644036078572498,147.11660957719994,66.24523585719614,-70.96311329535254,B,B,7.126994554570403,E,B,1
China,D,E,C,A,C,-7.092169979660021,A,-216.95469386119944,54.677807305787205,B,85.88951735167171,-81.58544840698411,-181.91054666227993,-32.32486478456454,A,C,166.09346602107595,A,A,1
Mexico,D,C,C,C,A,-71.75566871334294,E,112.34859161069717,-29.1747923314929,C,-62.45285646257269,-101.82771424078285,76.3657678247257,94.85529020756253,E,E,48.804247551883016,D,C,0
China,E,B,E,B,C,-63.74864053532002,D,-141.75104697423052,-100.20237559641372,A,14.26800016117408,170.8096548633675,79.53553405235219,30.887369676404596,A,C,52.98086969630005,D,E,0
US,E,B,E,D,C,-37.60154595018934,E,-120.86280542899428,-5.191365137354188,E,-128.72476326276643,-5.075327345072581,54.395811754596416,-204.57011623398168,E,C,37.08695932208214,E,E,1
India,B,C,D,B,E,-44.09112620771474,C,269.0475664677733,99.66592870762993,B,68.4720314171688,48.347368992204984,-81.29889695792627,-33.83610748639114,C,E,206.54518739292897,A,A,1
China,D,D,A,C,B,-21.8517249128323,E,57.73075773055315,8.972595606340771,E,29.586015463671806,-31.63711359877316,-18.02781163392501,-84.40841835258544,E,B,245.04898281702032,E,D,0
UK,C,E,C,B,B,-61.6975577054381,A,-69.95119572113744,52.67065632381976,C,139.88155595200342,93.31513133206627,156.53144164360603,87.58755181508106,C,E,125.49201723931516,B,B,1
India,C,A,C,E,E,-32.69740043278977,E,48.134416599426174,110.04994267639418,E,33.604274956741016,43.95492285465543,28.007274109775544,-55.87015936223981,B,E,50.23281321571081,B,C,0
UK,E,C,B,A,D,-52.551566693951216,D,-38.0104718167759,-153.7495837917267,C,113.13602377545185,79.8595740843626,145.37495136798185,-153.2118331879413,B,C,-112.55251834628899,A,D,1
UK,C,E,C,D,B,120.03759976285828,D,123.69738082874137,69.84653322170877,A,-60.909807265404645,62.38986191061217,-1.343498363116641,-21.82155317020196,A,C,104.38913780082035,E,A,1
Mexico,D,B,A,A,C,-39.69835608945506,A,85.8174323310848,-30.03992997668876,A,-73.43932047922716,-84.78880548136672,-43.81949837740924,50.04897710598826,E,C,-1.0853284941763006,E,D,1
US,C,A,B,C,A,107.90663550717663,B,2.8179209182210134,9.331594042388817,D,40.17220500777748,23.5648710273724,-171.74107408835124,-37.775531134568396,A,C,30.251293713686845,A,B,0
Brazil,B,B,A,C,D,3.727776743088545,A,-16.968491804815,-60.870486875960076,A,144.65861084186713,-58.683577445555656,50.397419755407434,-52.597327674123065,E,B,133.66207485302832,D,E,0
Mexico,B,E,D,E,C,205.82283126897906,D,37.271028572737485,-116.34356318543897,B,-73.38430040197807,-72.6047491901889,279.52447692458486,18.44148432355909,D,B,-53.24145002605015,E,A,1
Brazil,A,C,C,E,E,53.63328754791726,D,-43.067916243510616,-226.92817857628197,E,-159.75298974225757,-22.87534196990226,-5.760540106868165,33.26349218667346,A,B,-81.71163019509939,A,C,0
India,B,E,E,C,E,-177.07419812294617,A,-28.73072259997091,-41.86611477397836,C,-72.70110325773678,67.59170626714298,-19.461850360268116,-57.3908028498632,A,B,-105.62570478454822,A,B,0
Brazil,A,E,B,C,B,-135.3031132065628,D,82.74294347478734,-29.66138216730142,D,39.03197636834432,134.84163128076474,86.06361089713302,36.40256789871022,B,B,5.431700561748084,C,D,0
Germany,D,A,E,D,E,-27.30818608158939,E,74.29063179367942,52.3909700208374,C,-45.87181716688751,25.989961469650275,-9.332340682328915,-31.55754385215127,C,A,-29.120130888191337,A,A,0
Other,E,D,E,B,A,73.94227325119864,E,82.69704137206531,16.61982900263739,D,-70.59510216301706,-40.821161127073566,1.556042843325748,-261.869853991011,B,D,-8.0384569560436,E,A,1
India,C,B,B,A,D,-11.150516021971182,A,14.364444396376491,48.54946726475139,C,-177.93554457859403,-45.74869294500095,-86.9470065231447,-19.74900881153495,D,B,-1.4087770272856242,E,D,0
China,E,C,E,A,B,24.320038638232845,D,-103.03770863045199,-36.99367693412307,B,38.24585495530627,165.3622998103798,46.28087843439723,-78.87316952829228,A,E,-4.726410107636064,C,B,1
UK,D,A,A,A,E,-53.29203242431815,B,-52.29665511754939,-111.36989967908583,A,59.71677689445386,5.343003704754045,37.43243534108303,-247.53584171486605,C,A,-97.12529588557028,D,A,1
Other,C,A,D,D,E,-11.02839675590035,A,-23.11801376127185,-45.138956297182176,C,90.85168260435753,41.782457127491114,-116.4640070812056,69.42679032611835,E,D,116.80737558542278,A,D,0
Germany,A,B,D,D,B,-81.44215174212995,A,-90.86697399755279,46.68507131126211,B,15.509266567467156,18.63867738729161,106.76531592358276,73.23446285424973,D,D,-26.037453592115845,E,C,0
Mexico,D,D,E,A,C,100.15859155424305,A,-34.852702811888314,26.720954836492854,C,-96.379954648054,4.887991661267816,163.8996978436784,120.23451047957401,E,B,-124.0415857903286,B,B,0
Brazil,B,A,B,B,A,145.56621468565785,A,84.21620663215978,-13.28336879129616,B,55.187321580059,35.58145725620065,-26.543320615435828,-51.51287105416095,C,B,130.93640912645824,C,C,1
Brazil,A,B,A,A,E,-58.04776079173958,E,191.00542887662334,35.10407616732248,A,14.290021224571655,71.95809763293676,45.55041801374009,-83.81482444554484,A,C,57.38287770458231,B,C,0
Germany,B,D,E,D,D,-43.27117649109271,B,-46.28661335923501,111.19209271919233,D,-121.92825111232064,-169.88995079533123,-238.09458424211397,38.565547157078186,A,B,58.035453977885645,C,A,0
India,E,C,E,B,E,-101.5065703846367,C,47.409178122480434,99.62239539647241,E,-6.67213864779347,-103.64269654406229,218.34515635259294,-84.49226165121976,A,D,237.0712912987286,B,D,0
Germany,A,B,C,B,A,-5.06774089030603,D,63.4485865896243,42.20446687181551,C,205.6625071548086,40.82495793292855,56.95065705810386,-297.2595905078056,B,A,-111.20831744998536,C,D,1
Mexico,B,D,D,A,D,10.963526543276812,D,-102.38997626662496,84.53866347518037,A,26.889187096843248,47.359682818202224,-71.17909167658043,-52.01646589387375,C,A,-15.91862702641959,A,D,0
US,E,A,E,B,E,13.859627128363904,D,149.87933108758955,74.31394806056167,D,-108.55610807800302,84.0144574680222,213.04518447113304,-58.489207097713226,A,D,-7.91905481201937,A,C,1
Mexico,D,E,A,E,C,-38.899437841064035,B,-32.90841464951343,-244.90700785724565,E,-70.85916430603602,-14.05448780136431,-120.61782201618489,-74.06900810092493,A,C,16.83694026520069,D,C,1
India,B,E,E,E,E,56.78584449343925,A,-120.43514656954628,-77.4631585165884,E,100.15983787752398,-59.853384550066444,-42.87534952214677,42.474745637660355,A,D,-156.5523807916545,B,C,1
Other,C,A,D,A,D,55.73086329384935,C,-145.90610358160095,20.31145511446357,E,-30.361141840854323,-21.568984098883234,129.749548923092,-9.034454035314667,E,C,-264.7689712260387,C,C,0
Germany,D,C,D,D,B,14.974648325263912,B,47.85634154899635,-31.250665224218142,C,113.1626565346536,40.60675590181955,-220.42621680482503,43.19135847931153,E,A,-104.7316229766593,D,C,0
US,E,A,C,A,E,-123.13183880469694,D,146.7572928568208,-20.810181477844974,E,8.334393885782115,-165.8415349234714,68.62505971834213,57.93716573007324,E,A,-20.024710389004056,B,C,1
Mexico,E,B,B,E,B,28.67694242463323,A,74.58159854532317,16.323469949079392,C,58.27555803629502,131.10594850085357,24.940617073549383,-50.81940431470298,A,C,-32.072776429629904,D,B,1
Mexico,C,A,E,A,C,111.67549049442631,A,-107.78856157219445,-28.420771479226804,E,-59.72512271670982,24.546471292839385,-239.82080262481188,6.941212334264245,A,B,4.70429815837979,C,A,1
Mexico,A,E,A,D,A,29.474633173362463,E,-41.257168387422276,39.520899525701736,E,76.68993451683828,6.7824504155088645,-21.31873858214713,-206.8940209416466,A,B,223.1241578029125,D,D,0
US,E,D,C,E,D,-184.07196304551988,B,-0.7009129660754689,-32.22307007703725,A,66.7223889983359,-55.61689046660878,222.97481656714427,-42.95338747056405,E,A,-11.21047363362495,A,B,0
US,A,C,B,B,D,-67.04663666429013,E,-25.649201375920377,7.036278109536427,C,-142.68333651434185,193.9819579829888,93.25146952800046,-225.87229635720468,D,D,8.995740294766371,A,A,1
China,B,A,C,D,D,-35.04777454821403,B,-101.93959139563434,87.67320805761378,B,16.459037096155033,191.69364410854257,-33.00223796437744,16.50985168469881,A,C,-140.37920290357974,A,C,1
Mexico,E,E,B,E,A,72.48302565924968,C,84.60705302414205,-27.38345205381393,A,-152.34847492469177,13.368807562009314,-34.82854885986521,-21.00922222317879,D,A,9.456116450667267,C,B,1
Brazil,A,C,C,B,B,49.03708738801898,B,-89.51323125705038,-97.62851248285604,B,-47.56297643071737,-96.76067181645209,-8.359847823720926,29.50169413839326,A,E,57.00289528826838,A,A,0
US,C,B,C,E,B,-89.6892745875268,D,66.07585451674277,34.241919963764104,A,-49.01182017396472,180.63090095442024,-55.44301775231726,14.004752767659562,A,E,-103.39604404307823,B,D,1
China,C,A,E,B,C,-11.601950109706097,E,-22.80103891870514,177.10440200582656,A,31.62850139492171,-103.05031358555095,55.431729602960175,6.178054743642842,B,D,41.14277172743702,A,A,0
Mexico,E,D,B,C,E,99.49389334704347,B,204.65077716959934,-3.650020569853904,B,56.866120233199524,77.42015409949403,-92.63643891602409,39.05811620693997,E,D,-58.61232792954546,A,E,0
Germany,D,C,A,E,A,-77.00834936655593,A,-38.558583636262256,-57.26192444344803,D,123.7939859896022,-54.3917600012358,127.65689581541997,22.13394280703701,E,D,-23.583276729881756,B,A,0
Brazil,E,A,A,D,B,-70.12611046015004,B,211.73838836829347,205.2531644764899,E,-64.44156543156193,-106.06172807412987,-89.29285055761635,149.57103725769264,E,B,-20.501270011784683,E,B,0
Brazil,D,C,E,B,C,19.722224487531548,C,105.55584655709256,-58.009168814601196,A,-124.6309955484606,-66.25233859578898,-18.11199050159962,-7.119959325252877,B,B,74.10960424878635,B,A,0
UK,E,C,C,D,A,158.46624407005487,D,119.94117998260145,-116.84513035088868,D,58.649548735502044,11.000058172563842,208.01506878441006,-105.4750673333772,B,A,-50.80222211809466,D,C,1
Brazil,D,E,D,E,C,-109.21727070443517,A,89.01572556205917,-17.18828270248925,B,-37.221840389898205,21.534541873468736,59.743658297506165,-201.2562516409485,C,D,180.45394453985242,A,C,1
US,E,B,D,D,D,-143.83114021869542,E,-51.56875734477795,81.49606613795231,D,8.258480623604218,-48.95360695108435,32.703247829712545,-68.88967295064298,D,D,70.02213676807268,A,A,1
UK,D,A,E,D,D,9.349833985687518,E,-40.78471218995446,-95.92041403885803,E,8.217451612981781,-259.2068482508604,200.40041422651592,-239.56612482469245,B,E,145.5180837847272,E,B,1
Mexico,C,C,D,C,E,34.50510592721813,D,145.68272899413518,6.574004969789671,B,98.15983943992316,48.95583066732378,22.890050980800048,166.19135954279884,D,B,178.56536011509127,D,C,1
US,D,B,C,A,C,91.83284128714052,D,7.41165899618674,49.936330264585266,E,-284.664211025987,-4.726187164697455,198.87100868271003,-92.48601841897126,B,C,121.17187098362139,A,C,0
Mexico,B,B,D,E,A,37.50710825671765,E,-115.44196694217517,243.32711888574127,C,68.51879095963089,151.78334730468885,196.28406343072183,80.34471533197471,A,E,3.253507945095449,A,A,0
Mexico,E,B,C,A,D,110.03242420922676,D,56.556697643652775,117.13064397578373,E,141.8084129660743,55.828503379679184,-125.82518020521847,-40.86897086692425,B,B,0.7824924396100654,A,B,0
China,C,E,B,C,D,-54.210797614962125,A,-132.93366825166225,-66.33345815483315,D,-56.96565759188002,24.568129434662282,-45.52986351826539,-16.77822707027187,D,B,25.598891972951858,C,B,1
US,C,D,B,B,D,212.52202584403886,E,-91.84802919583079,96.38640136143624,E,68.98213263040344,-21.670316886717615,45.19359003723769,-109.79531478980427,E,C,87.43887284273241,A,C,1
Mexico,E,A,E,A,A,-91.50003659994668,A,-148.68235489668754,-55.584653556908805,C,246.59601449576348,40.377930268973216,-157.8487617464324,16.41151364698864,B,B,61.41784249334067,A,E,1
China,D,C,C,E,B,1.059866760146289,A,-38.23538397644222,53.20069237311288,A,-192.32743895270352,-54.31574168430961,-107.1250338544762,123.39320997090593,B,B,97.28605482586367,A,C,0
India,B,D,C,E,D,66.07792165300485,B,-78.80639580466242,71.28792239748783,E,-73.08543909369658,-50.172536209765624,34.62675182873699,-88.42185085741228,C,E,9.426059566465849,B,A,0
Other,B,C,D,B,C,-85.54231048595126,C,32.00869967206774,218.27549334507557,E,-59.71024365716955,281.26980627015723,-44.6964389096493,-5.998567080133981,B,C,-34.77220895226634,B,B,1
Germany,A,A,B,B,A,17.028452086919458,C,-159.4165829552702,-114.68506096522002,B,-64.61804748217912,166.78824406468308,102.3054443574807,-15.462568432258339,D,C,55.78783694311914,A,D,1
Germany,C,C,C,C,C,-100.88274661005019,E,-138.36833712492918,7.439625032819993,B,113.89242790443879,100.05028229148022,33.680418310597176,2.5570987035115564,D,C,-15.487919334598649,B,D,0
Germany,E,D,B,C,E,22.27512035915124,A,-92.4111104532818,67.1404799961595,A,61.807258699197774,-167.83373249534682,88.37329357926227,40.354879962845864,C,D,-106.87231181937442,B,D,0
Brazil,B,A,B,E,B,87.7406122652449,E,10.444970237318572,-6.4214237710882855,D,109.45829008230092,-115.00606679431627,78.87095532430268,45.51699449249648,B,E,60.05319360691209,E,B,0
US,C,A,C,C,E,-59.34875123405191,C,30.95798259921644,-41.64540653132342,D,66.18101355726803,-31.867064816166156,-72.44054994491312,-143.02297776505085,E,B,-140.44452385537355,A,D,1
Mexico,E,D,D,A,E,-48.47886729238448,A,-7.1062626774313715,78.22771423015365,A,45.89743190017489,-117.33083551686052,35.38633333501296,-5.954547125511034,D,C,-133.26526400072353,E,A,1
UK,A,E,B,B,A,-83.30860268788074,B,67.13301498776987,-43.08908284004131,D,-88.88032936145902,-155.07654230407005,71.83572984338092,-37.965471073459085,E,A,156.0248026176611,B,A,1
