Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Muslim,C,C,C,B,A,A,84.69216758458195,-19.536739587176484,130.8055497249825,C,0
None,E,E,E,E,B,A,-100.34528588654841,-119.00724373333496,104.6190520637301,A,1
Christian,B,A,A,C,D,E,-119.75429005135084,90.34109565642024,-24.58019513738789,C,1
None,B,A,E,D,B,B,70.25251416044898,55.691950281975856,9.523102559317989,D,0
None,E,C,C,A,B,C,-34.41798403937947,69.71292917675038,186.91600865465898,D,0
Buddhist,C,E,A,D,E,C,-3.5197779757829153,9.777547799260981,13.674343165545569,B,0
Other,D,D,C,D,E,E,-155.1964328778053,-2.7422134942442584,155.63836099896795,B,1
Muslim,D,D,E,D,A,A,-84.70751594889225,121.80269807775477,27.39014875540184,E,1
Other,A,A,D,E,B,B,126.58625125454206,-60.33785422290639,70.61047225847527,D,1
Buddhist,E,D,D,A,A,A,148.90020280213997,-12.468442755941911,-1.628170491683302,E,0
Hindu,D,A,E,A,D,A,-133.59432588048054,-10.142338772134773,-37.058523054194744,E,1
Hindu,A,E,D,D,A,E,146.07145290254903,-52.43769218197731,-51.09033142470629,D,1
Jewish,A,E,B,D,E,B,-12.326295730423984,65.9628143051667,-24.27280266697231,C,1
Jewish,C,A,A,B,E,A,130.69650374874243,17.640657398545613,71.66108556753558,D,0
Jewish,A,E,E,B,C,A,211.84587504152213,-69.79954649066133,-51.12561253200675,B,1
Christian,B,A,C,C,E,B,195.76077725963535,-143.47719273244437,21.485372811308796,C,0
Other,B,D,C,B,B,E,145.09385860069094,123.58645342609465,-44.977497193193045,D,1
Christian,A,D,E,E,C,D,42.421131834782976,-155.42631111927307,-87.48559321798335,C,0
Jewish,E,A,C,B,E,E,157.30393349495753,-76.7270539745545,116.38070791934885,A,0
Muslim,A,E,B,E,C,D,32.503969987853424,78.6625185210305,-45.76093464583224,B,1
Hindu,D,C,B,A,C,E,84.57737236186492,121.48535864447602,117.63739739778572,E,0
Other,B,C,A,D,C,C,-130.40878015191845,21.6461161059049,164.55553200874203,B,0
None,C,E,E,D,E,A,248.44168774846275,-153.84286745711472,-64.3457106945309,D,1
Buddhist,E,C,A,A,C,A,62.28766066871969,12.110265917218879,224.54086916923023,D,1
Jewish,A,E,D,C,D,A,95.27054834733038,99.99274105718737,-40.6851829019983,A,0
Buddhist,B,B,C,A,A,C,104.61918318701518,-17.987228617315036,228.23901337933927,A,1
Christian,B,E,D,B,A,E,35.66900463710266,-6.260518608002302,-3.3546345909817767,A,1
Christian,A,C,E,A,D,A,165.1898953912327,26.84999296645133,-92.8020985102996,A,0
Hindu,E,A,D,A,A,A,-31.62360589950727,52.150722131363366,-104.57532099207853,B,0
Buddhist,D,B,E,B,B,C,-28.116225422949697,-70.50007561773116,65.80345047423222,E,0
Christian,C,B,A,C,E,A,-111.64402342719745,6.745212127642319,-168.71041437306963,C,1
None,B,D,E,E,A,C,22.56924497768559,-55.29474241417923,234.71283824732046,B,1
Hindu,C,D,E,B,D,E,-26.205368218565933,-27.918583230631278,69.9587358220799,E,0
Jewish,A,A,D,E,A,A,90.11638530927634,43.74400062739256,96.9261560525834,D,1
Muslim,E,D,A,B,D,D,52.568391735028875,-190.41952079636275,-143.27194808242302,D,1
Jewish,E,D,B,A,E,E,143.49844086153064,-5.189338400200265,-134.2519041275325,A,1
Christian,D,E,D,B,C,D,66.41306497629168,-72.52033423937169,156.50539270609744,D,1
None,D,C,C,A,C,E,213.97996712427621,-58.56833354939869,38.028508901006205,C,1
Jewish,C,D,B,B,B,D,188.15359433942965,-66.70260451038044,-126.56650300549852,D,0
Hindu,D,A,E,A,D,A,-212.2529875580602,-207.350192285362,12.34898683438521,C,1
Muslim,C,B,E,B,B,D,89.05601260766893,185.4614024067309,123.2630043273083,C,1
Christian,D,C,A,A,B,E,0.027209726802661642,31.346911333489896,155.99961909965643,E,1
Other,B,A,A,A,B,D,-125.25402765304389,-104.14397456731047,50.556743156972715,E,0
Other,C,E,E,C,A,E,-104.2421840184778,187.21483816311832,23.49160870173148,D,0
Muslim,D,A,D,D,E,A,-43.070462106788696,-83.52403233229025,138.74629581626186,D,0
None,A,C,B,B,A,D,-55.468041029551806,-26.146961912165303,-0.4895869512248898,A,0
Jewish,C,E,A,D,E,A,52.21355931564682,197.1372414164599,37.74931355315789,D,1
None,E,B,D,E,E,C,-141.6673289700427,-0.8392114526387549,100.82079367505872,D,1
Other,E,B,C,C,E,B,-54.069096762616006,-119.52659360786579,155.04139855667898,B,1
None,E,C,A,B,C,E,-6.348803510809326,55.41196149690396,-50.05217376849544,E,0
Muslim,C,B,D,A,D,B,104.9673836266184,41.159684177262726,-83.19519260444638,E,1
Christian,D,D,E,E,D,C,-100.64186888756251,-83.72002696729248,10.208377572377243,B,1
Muslim,C,D,E,C,A,C,-125.18689643722594,-262.7544901924319,-88.73060558248783,A,0
Christian,A,B,E,D,A,B,23.971314262075065,27.002107875972335,162.11251644310036,D,1
Jewish,C,B,C,E,B,A,16.321596240520247,-3.6422280221319214,1.5593061948950226,E,0
Hindu,D,A,E,A,B,B,81.85453947557937,89.62757889288486,-60.40715552624425,E,1
None,D,C,E,C,A,C,112.08038538759995,50.60283059872761,169.28932766195442,B,0
Hindu,C,A,C,D,D,D,174.54951074772035,-146.87671942148046,154.72054865032587,D,1
None,B,C,B,C,E,C,-4.5531030887625255,126.05763509869192,143.68259900505504,E,0
None,C,D,A,B,D,A,0.031479040285704446,-23.444537763990915,-234.7875424754151,D,0
Jewish,E,E,A,A,E,E,-154.25767830663523,14.76315871004955,45.00829598255961,E,0
Jewish,B,C,C,D,A,A,107.69375605405611,-192.994245100232,137.47033456734897,B,1
None,A,D,B,A,B,B,-57.57760621983853,131.36684842533091,71.87664588462187,C,1
Christian,B,D,E,B,B,D,169.323111501213,-63.44627474815208,39.37585543093192,A,1
Hindu,A,D,E,B,C,C,-49.984165479817506,54.887849230375565,157.11532920021395,D,1
Jewish,B,B,D,B,B,E,-171.12760300475648,67.72745817502464,110.45950867206493,D,1
None,E,C,B,A,A,E,-55.28935668254683,-25.819359099016832,-48.95000118314894,B,1
Hindu,B,D,D,E,D,D,92.48268694230615,101.78180758487345,-102.15944277316677,B,1
None,C,A,A,B,D,B,-123.97315244971811,74.44739700674182,82.12601336385703,C,1
Hindu,B,C,B,A,D,A,-31.982611076501467,53.485181364302626,132.87410011965156,A,1
Other,A,A,D,B,C,D,-193.41888223069648,38.79428940260632,76.15311408479837,B,1
Buddhist,B,B,E,C,C,D,26.56905999489418,110.41338581768257,-15.447126475627842,B,0
Muslim,D,E,A,E,E,D,38.1630596471385,-64.28840844616818,-142.0481323155781,A,0
Hindu,A,E,B,C,E,C,-84.52287797071713,89.23003535986155,74.5078156672521,A,1
Muslim,D,E,B,B,C,B,-19.285285021681926,-29.6230096240285,132.25330577175308,B,0
Muslim,D,C,A,E,D,C,13.333766883570158,-60.07122116181355,133.7072052213185,D,1
Muslim,D,D,E,A,A,D,300.1406013919627,-27.766271956512185,19.382251844641956,A,1
Other,E,B,B,D,A,D,103.99806802239256,-5.221576065360447,80.10587816846034,A,1
Muslim,D,A,E,B,E,D,202.5362942045515,64.86140944434024,49.963290314589095,D,0
Muslim,C,A,A,E,C,C,77.35408107310653,111.24778414497798,67.05841873024093,A,0
Muslim,E,D,B,D,B,D,-63.950076486124566,2.593680650404445,85.63771492779382,D,0
Hindu,A,B,D,E,E,A,-27.450035048974396,5.813171308885718,59.64582993185221,A,1
Jewish,C,E,B,E,C,D,-146.7064424813814,-113.62123580959877,-10.8894459697268,B,0
Christian,C,A,C,A,E,C,175.4346514736685,66.6787726550207,-36.972071400294176,A,0
Muslim,C,C,E,D,B,D,-7.370700883513585,-16.266308867843186,211.38887859491513,A,1
Jewish,D,D,C,A,E,B,53.5722685798373,-60.64012739921756,90.79255682391614,E,1
Other,E,B,D,A,B,E,-70.52481579759908,36.99403241100157,122.82917418565877,C,1
None,D,E,D,D,E,E,-22.53319371108337,45.76735408611417,-78.24465896021866,B,1
None,E,B,B,A,B,A,-176.5307212127378,-144.72942412612943,-0.9615007696885648,E,1
Christian,A,D,A,A,B,B,1.3645035805670562,-4.161087868056796,166.72577673848394,D,1
Buddhist,D,D,C,B,E,E,77.65434464997644,-125.03417158131846,160.90318548267064,C,1
Christian,C,C,E,D,A,B,42.681578257926475,-46.62252044859371,-134.17855602251683,C,1
Jewish,E,C,B,A,D,D,-133.64572246151337,-11.500135636192244,-78.36590970332298,D,0
Hindu,A,E,B,B,E,C,-89.65529820236337,121.71860638335754,-79.8370265955683,C,1
Buddhist,E,B,C,C,E,A,-144.76619580894285,45.54589487015717,-9.398450054304016,C,1
Christian,C,E,C,A,B,B,-247.49346979738363,22.738882756509618,-110.41824112450978,B,1
Hindu,E,C,A,D,E,C,100.86074489538225,-157.03125122055627,22.061791824317787,E,1
Other,E,D,B,B,E,C,-41.256101280865195,-32.99098201004453,-21.68130162014922,D,0
Hindu,A,D,E,D,B,E,-94.80047090628194,-104.22133471645108,46.43025276474122,C,0
Buddhist,E,C,D,B,C,B,132.28485934267937,-136.04006567424074,-87.53928771276821,A,0
Jewish,E,B,B,C,E,E,-6.697544960085912,-3.998407853181659,7.666611675608406,C,0
Christian,A,D,B,D,E,A,22.024971000142944,48.2528885292515,-152.2402736410199,D,0
Buddhist,D,D,E,C,B,C,-59.984692604022584,-110.97911000193199,23.541285745288576,A,1
Jewish,C,D,C,B,D,C,189.12331208017187,77.34466018006331,9.602341643929883,E,0
Other,C,D,E,B,B,E,236.5433638001502,95.54473903654018,-41.54226973277223,E,0
Muslim,B,C,B,B,D,E,-36.178035526328145,52.18576280809868,0.9233670194893585,B,0
None,E,A,D,A,D,C,252.88985497722112,154.51514597571904,-28.775183956886657,A,1
Other,D,C,D,D,A,A,-44.29619457496855,-156.2473919501399,-193.93447210089627,B,1
Buddhist,C,A,D,B,C,D,-136.5995818044937,179.25081276624758,2.3700780606697003,E,1
Buddhist,C,B,B,B,E,E,-25.535209964108148,-78.62670807804906,-121.28592232799393,E,0
Muslim,E,B,A,E,C,D,-33.77262672214716,18.647062327687077,-22.12703648511461,D,1
None,A,A,B,C,C,A,72.02264258283594,4.804109384274311,11.066108784059224,E,0
Jewish,C,D,C,E,A,C,63.34358598448225,-40.70692169573619,61.78133619042671,E,0
Christian,A,A,B,C,B,C,3.135391949864225,-181.78262605318395,40.4345394247898,D,1
Other,C,C,C,B,D,D,54.05351281569126,121.98442394708322,9.407412255583246,C,0
Muslim,D,D,D,A,C,A,35.20755758873856,114.1968329471583,-29.411151916331118,B,0
Hindu,B,C,C,D,A,D,-58.66305104986248,-95.62142003909587,-96.80471538498362,E,0
Other,C,D,A,A,D,E,-18.099850391163223,16.436960781936566,-218.75657409576638,B,0
Hindu,D,E,E,E,D,B,-24.29251118386604,134.6528197032871,-122.28305127629982,D,1
Jewish,B,B,D,E,A,D,-38.74231535568841,136.15600864428734,-29.810747167989405,B,0
Other,D,B,B,B,C,D,104.15272792060956,53.0831817840256,-0.27383475706157145,A,1
Jewish,B,C,A,B,D,D,71.29953324336194,80.12490536569894,84.44876267884308,E,0
Muslim,D,E,D,B,C,A,83.27549431222981,-50.720625652915075,-143.31713803630873,D,1
Hindu,C,A,D,B,D,C,-11.791813501119067,-29.86142318073518,43.73061615750481,E,1
Other,A,C,A,A,E,D,-116.15784875445878,-307.8584320943199,138.25310634673738,A,0
Jewish,A,C,A,C,D,C,-119.18444425280623,83.56218469279024,-102.06976891974703,E,1
Other,C,E,A,B,A,D,-5.2022677818765235,103.07446219992742,-156.2407042746369,C,1
Other,B,E,A,A,A,B,63.39474471886219,-59.840298869926755,93.15277770488854,D,1
Buddhist,B,E,B,C,D,A,79.88410635802065,-135.1693772639696,-13.348855068899862,B,1
Muslim,B,A,E,A,B,A,-40.84329440205409,-28.913553740417836,-39.03146676561397,E,1
Buddhist,B,D,B,A,B,C,-10.44627391256284,79.11553006857427,-152.24518537344613,E,1
Christian,B,D,B,C,E,B,-184.9034141915068,11.378678012872982,68.48773061975302,D,1
None,C,C,B,B,B,E,41.015635472929546,-229.58912000824455,50.49333832073346,C,1
Jewish,A,C,A,A,E,A,-105.9381873680418,-36.954697187364445,-147.37598960239217,D,0
None,B,B,B,C,C,B,-6.281519569396433,-125.00054616616052,11.245442718741492,E,0
Christian,A,A,A,B,E,D,-173.96422033332058,-32.64977281227029,15.070018331424043,E,0
Buddhist,D,B,D,B,E,D,-45.303106783709794,33.41380437919758,79.33709183196585,D,0
None,D,C,C,D,C,E,41.595781730522376,163.43874307989884,-107.33757077817071,A,1
Jewish,E,A,B,A,D,A,26.67520396839576,-96.53056973560706,100.96727109340871,C,0
Muslim,C,B,B,C,C,A,-240.17223339210133,-318.50760646658784,74.8672470902566,C,0
None,A,A,C,A,C,A,-371.3945580675797,178.66650996631387,174.93095334523008,E,0
Other,B,C,A,D,C,B,26.14881338902013,-180.94994464738718,-74.91293625840159,A,1
Hindu,E,E,E,C,D,C,-132.31054804473948,-160.26046926962402,-2.4627088972011912,E,1
Hindu,A,E,E,C,C,E,50.320022264710275,-45.13610471271143,97.83269336930486,D,0
Jewish,D,A,C,B,C,D,-61.96702567523842,-43.36848206177575,226.443605570233,E,0
Hindu,A,E,C,D,E,E,-175.5712317448288,-98.00639564823203,324.3604378675418,A,0
Jewish,D,A,C,D,A,E,-86.53387875039597,73.1395235905111,97.99065086919936,A,1
None,E,A,C,D,A,A,101.31657393483371,-101.51042514863342,-39.32741474578013,E,0
Christian,E,E,E,B,A,D,-48.81564605309443,313.3412256989868,-10.650611597440708,E,0
Jewish,A,B,B,C,E,E,-16.725220784885167,23.7578033322167,-8.712447959636764,E,0
Hindu,A,D,B,A,E,C,225.520704309678,78.86144391194098,227.2102956803436,B,0
None,C,E,D,D,B,A,75.59358532236436,-127.14243532881046,124.4862105582546,C,0
Buddhist,A,B,B,A,C,B,60.318206689169266,-80.0795441641357,76.49784524248105,B,0
Other,A,E,B,A,C,D,-64.6257620151145,21.336064764628716,99.2633994924703,B,1
Jewish,E,E,A,A,A,C,4.608662371962776,-19.87669728313248,173.70141190631014,E,1
Hindu,E,C,B,E,E,E,-192.90206579079705,-77.92240365090262,-70.14836050253004,E,1
None,E,D,B,A,A,E,-201.80528407631022,234.1232746132738,190.99518311146318,E,0
Hindu,D,E,A,B,A,B,-161.3807121112779,164.5267948928785,48.69087085742557,C,1
Muslim,A,B,D,E,C,C,-141.64619389314265,126.40642629300838,-53.79980940347453,D,1
Buddhist,B,E,D,A,A,C,-86.24685256145489,121.84415269453312,-28.210027446285796,C,0
None,C,E,A,D,A,C,-162.41515434355594,82.84595825216023,-93.94898661652633,E,0
Hindu,C,D,A,C,D,A,86.66371917697656,45.16215863786353,31.473901268694267,D,1
Other,A,B,A,D,C,D,96.55817395924757,38.38075376575497,77.69018130265945,D,1
Christian,E,D,C,A,A,D,35.08437477439016,-74.65719029369923,-11.407871447926317,C,1
Jewish,B,A,E,A,D,E,37.53095643940239,-64.67006454158155,-10.128209967649191,A,1
Hindu,A,B,C,E,A,D,13.0820957525143,-30.25029683540954,77.14291477680439,B,1
None,B,D,C,E,E,B,43.04409762472073,-156.00107095394614,-16.25576282160321,D,0
Other,D,C,C,A,B,D,147.0546358754211,67.01372255005674,111.59736477749158,D,0
Christian,D,A,B,C,B,D,-56.05802686516977,-97.97918347521843,-14.66270983735477,D,0
Buddhist,B,C,D,B,A,D,9.301917513616132,13.281767604264635,-33.79129108671146,C,1
Jewish,A,B,B,D,E,D,-12.934871755031782,64.51690861936206,139.98162449305144,B,1
Other,E,E,A,A,D,B,165.15765437727205,3.7584439072524547,104.28473102991747,B,1
Buddhist,C,A,E,C,E,E,-207.13470648558592,34.775101973958826,-62.76165670475713,E,1
Muslim,C,E,E,A,A,B,-112.24074677439906,9.731179821100486,63.03018856128841,D,0
Christian,E,C,B,A,A,C,125.5191493869239,-24.577884979368594,91.92367487962349,D,1
Buddhist,B,D,B,C,D,D,3.3287188386333004,-81.07368174131207,90.21365317280943,B,1
Jewish,B,D,C,D,A,A,-109.84642361174564,125.15018942710914,15.546371725683697,E,0
Muslim,B,E,B,B,A,B,-77.86001311851214,-67.37689929095312,-111.17742278985763,A,1
None,D,E,E,C,E,D,56.081108476602836,-62.727631059402746,78.6542705502924,B,0
Christian,E,C,C,D,B,B,-75.44767362782727,117.06569309969012,143.51963608364628,D,0
Other,D,A,B,D,B,A,26.1015958611678,110.51978843276015,83.35048296705325,A,1
Other,E,A,C,C,A,E,2.2807598086522463,16.343161854003963,56.68557711400405,B,0
Jewish,E,C,D,B,E,D,128.60987318801432,-163.39727614964892,119.19336160438966,D,0
Jewish,E,B,B,E,A,D,134.89983739306132,153.90970195881656,111.06143423719797,A,0
Jewish,D,E,C,A,C,B,8.323440391185509,80.11914528336655,21.827493230005608,C,1
Christian,A,E,B,A,A,D,26.742737053813826,-38.96417787661343,-196.09770901808085,A,0
Jewish,A,E,A,C,E,E,-16.640227772914443,-46.07264783022262,-56.88770987091859,D,0
Hindu,A,B,E,C,B,E,62.58208884334196,66.08076143432216,3.5688209336157315,E,0
Muslim,A,E,D,B,E,D,-64.85868595587615,-62.603888029173696,164.62447055256519,B,1
Jewish,D,A,A,E,D,D,-68.84069673976958,-116.38439396029024,115.30486686923696,B,1
Other,C,E,D,E,D,C,-74.27101963457433,3.221335257111656,109.69523047544342,E,0
Buddhist,B,B,E,D,E,C,140.29959284560215,-147.2486117040774,38.582416065135675,D,0
None,E,E,D,E,B,D,-6.20141556032021,20.214019159713896,-35.4969786485609,A,1
Hindu,A,B,C,E,A,C,6.205169976849578,26.904383168574764,-46.513459712616935,B,1
Other,A,B,A,B,E,E,-86.03227102713754,67.80239945136407,-24.01371944170407,E,1
Other,D,C,E,D,D,E,16.437578498667552,-56.99881759333776,-165.83084132498627,E,1
Christian,D,A,B,E,D,B,-14.23455248650963,-52.47491179489708,172.08672342181538,D,0
Other,B,C,C,D,A,E,-57.15019008548728,144.16117100366256,-117.16502599569176,C,0
Hindu,A,E,A,C,A,E,28.60346146103188,-111.6332239254383,-158.35487262868156,E,0
Muslim,B,E,E,D,B,D,104.57000901895042,-25.491043414936627,39.84623719275076,D,0
Hindu,A,C,E,D,C,A,15.538030552897078,77.00115942404786,40.443479118921964,A,1
Muslim,A,E,B,B,A,D,-55.73898211876782,-178.8980602298624,-25.98350607136145,E,0
None,D,D,B,E,A,B,-9.25127271965058,-172.42728700547835,-156.79179082559673,D,0
Buddhist,D,D,E,C,D,C,-20.548441074679,-154.63226979029398,156.3593039689257,B,1
Christian,C,E,A,D,D,A,43.624192384366914,100.29563833312207,-80.18596534307925,C,1
Christian,C,C,E,A,C,A,-129.29503534047672,124.09364538459535,151.06671503780493,E,0
Muslim,E,B,B,C,D,B,-131.75076893990683,-198.9330146432486,170.97123157905781,C,0
Buddhist,C,C,C,E,B,C,-65.22867888617681,-224.1774503043827,100.48247453413069,E,0
Other,E,E,D,D,A,E,117.57760705456523,-183.24935675132213,-32.39953095959505,A,1
Hindu,D,D,B,C,B,C,79.56975233749776,3.2444472817752312,-180.60424234965242,A,0
Christian,E,A,E,C,B,B,59.23080149488307,134.10249384601067,-13.990656389350855,E,0
Other,A,B,D,C,B,E,124.01980903857091,-84.75229545057044,-46.840260196937095,E,0
Other,E,D,D,D,C,D,-0.7646535379207288,-145.24289856943312,-65.65123509546534,D,1
Buddhist,A,D,D,A,C,E,-17.613231832655842,51.3709738388652,68.19098749075407,D,1
Other,E,B,E,D,D,C,4.84275119175649,-49.62763900898011,-102.89297126271208,B,1
Christian,C,C,D,C,C,A,5.895632228671024,-150.27398004133073,124.25871989743624,B,1
Christian,B,E,C,E,D,B,-21.74561293767187,-5.282872323355056,-43.73844043277374,E,0
Buddhist,D,D,E,D,C,E,-37.99817756548612,24.976119339754867,28.170537463248447,D,0
None,A,A,E,B,D,D,33.83015346516197,-25.198070171012453,-47.801916505867005,C,0
Hindu,C,D,B,C,E,D,-9.596453489264679,-32.57732488844805,4.235442118058801,B,1
Buddhist,D,B,C,C,B,D,-102.20675419127639,76.1789844522959,8.945752319386333,C,0
Hindu,A,E,E,A,D,D,164.71368076061694,12.053545857921048,48.532111775900205,E,1
Christian,D,C,E,D,C,A,-99.69251861568239,-99.37964389003882,58.20734774890512,B,0
Christian,B,C,E,E,E,D,-21.320476039187916,-101.77406295222204,53.85300802287982,B,0
Other,E,E,D,D,A,C,-40.381183698579385,-33.791763576562914,-165.7758617293059,C,1
Buddhist,E,B,A,B,E,B,-73.47487397760888,-35.91761961251364,86.90930451624658,E,1
Hindu,E,B,C,E,B,D,-52.72831560648177,68.32015176830029,199.61241565544282,D,1
None,E,E,D,A,B,E,77.9276724669134,117.2836546496922,103.04696964639135,A,1
Buddhist,A,E,C,D,A,A,125.84624348990263,243.22657475010217,-16.982532141703626,C,0
Buddhist,B,C,C,D,E,B,-111.35668571250399,-85.44631285997755,-146.21873017134757,B,0
Christian,B,C,D,C,E,A,-11.995974390697201,62.94540571081295,182.2666641566305,B,0
Hindu,D,E,E,A,A,D,-96.76430510206735,3.0287748826504224,9.901808430314938,C,0
Jewish,A,E,B,D,B,C,37.48200296680818,5.748826206057803,-70.00722868273978,C,0
None,E,E,D,D,D,C,190.69472783025947,138.52557625924484,64.59470297881418,D,0
Christian,D,D,E,E,E,D,-50.600045766570865,-20.859222131309526,43.93437984638452,E,1
Christian,E,B,B,E,B,A,60.59135491557279,115.75424309988571,-6.75328399070836,A,1
Muslim,D,A,D,C,E,C,-152.9695391118404,40.40701033585828,36.56737623595391,E,0
None,E,E,C,D,E,C,3.7834023865620665,38.59322127439961,-1.4268602474382517,D,1
None,C,D,B,C,D,E,105.93173736528492,-149.14695430570268,113.4926966822403,D,0
Jewish,D,C,A,E,B,A,160.0513400720227,-56.10647065694741,-98.78478802351604,E,1
Other,E,B,C,E,A,C,-19.597032229579597,-5.734483438290931,-98.3308135503257,C,0
Jewish,E,C,A,D,B,A,-177.81015272042876,193.18447872844968,-95.48387758791833,D,1
Buddhist,D,B,A,E,B,B,-17.769696926425897,-1.5235866340017066,-16.83697784580651,E,1
Christian,D,B,C,E,B,B,-223.75486939180448,-49.612419599608174,130.33893360531914,D,0
Buddhist,B,C,C,A,A,C,34.5153792134598,-58.50413774605927,-228.68211273167307,B,1
Other,D,E,C,B,A,E,-34.93250564910544,48.43034265166807,-132.43358854234245,C,0
Other,A,E,C,D,E,B,-102.53461084865027,120.50948036017401,-144.00300495064366,C,0
Christian,D,B,D,C,E,E,-81.33548114037575,-74.37482781377085,-22.80556777139133,B,0
Hindu,D,E,B,A,D,D,59.930123103518525,29.831347166278277,12.843298470770065,A,0
Other,D,D,B,D,E,C,-271.3144920363725,-153.642929686559,33.525510407131215,D,0
None,B,B,A,C,A,D,76.09054156933149,-193.21262207315672,-131.28889140095384,B,0
Jewish,E,D,C,A,D,D,18.913888918512985,62.21954577896851,56.92817957817222,B,0
None,E,C,C,B,C,E,19.653149338194492,1.8093325757989598,-46.150978808296095,A,0
Other,E,E,E,A,E,D,88.95287291775345,163.71188852593502,-20.472559699128663,A,1
Muslim,B,C,C,B,B,D,-136.09056575500637,-27.160857311014492,101.73625928581416,A,0
Jewish,E,A,A,A,C,A,-28.283775230100368,27.698940554473594,-135.89124742496838,C,0
Other,D,E,B,A,D,C,43.68788556027153,-108.18427366952233,102.75930709833298,E,0
Muslim,B,C,D,D,B,D,128.2835012291214,57.497137426222636,148.49420303037314,A,0
Christian,A,E,E,C,A,B,-17.220214522016832,-91.30908385135899,38.97455542601687,E,0
Muslim,E,C,C,D,D,E,-122.75510415529006,-93.80520323519815,4.657534681250553,B,1
Muslim,C,A,B,C,D,C,-85.1088464548651,12.889341933312073,3.3297462031459792,E,1
Muslim,D,E,C,C,E,C,-122.57624349657526,166.12390409320705,-126.33316110469922,B,1
Hindu,D,E,B,B,B,B,51.142662929570506,28.892949661730448,-41.22407433499733,A,1
Jewish,B,C,A,B,D,C,36.239319940454614,-97.22177771074865,-0.4231827035194764,A,0
Hindu,C,C,B,C,D,D,25.87576092053186,-159.30610914915786,-68.72098035880649,D,0
Jewish,C,A,C,C,E,A,99.1182215893327,-45.64280730869527,-133.5978590187087,D,1
Muslim,B,B,E,D,E,E,-149.70130550983058,-107.94389847806403,92.48160768147461,D,0
Christian,E,E,C,E,A,C,1.0733087751319017,-238.49341752621766,193.27127891764977,B,1
Hindu,E,E,E,A,E,D,25.098887336381566,-151.70741864811222,71.11058714585194,D,1
Christian,D,E,C,B,A,C,-42.432036344575565,183.53172530936445,-95.75517166003313,E,1
Christian,D,D,B,A,D,D,129.31001592624068,162.68012173690386,6.510510612027108,E,0
None,A,C,E,A,E,D,136.45725752814656,-57.3192915959516,168.9587190444736,D,1
Muslim,B,E,D,C,D,C,15.418587018634494,139.11675646136518,110.27292093011494,B,1
Hindu,A,E,E,B,E,C,-103.98071142353209,-111.87953499121275,68.80803388816979,B,1
Buddhist,C,E,E,C,B,B,-125.04884149619112,-151.6375641474937,-10.510215004119237,A,1
Other,C,B,E,D,B,B,194.02086143018707,266.3360271441678,-331.60831140454314,B,1
None,C,A,D,A,C,C,-158.8455135426412,-67.39750439231423,-44.69107752183701,D,1
