Veteran,Religion,age,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Veteran,Other,78,Divorced,-116.11897831930646,39.85674329998717,151.2759077327264,C,-89.60383379695662,E,E,6.778972327423335,-195.9234602507441,31.024581184757977,-50.999305292244415,53.46870871990651,-194.092313995352,E,44.70586555400752,-128.6191329366162,0
Yes,Other,21,Widowed,16.323074074898543,155.43068204032923,8.108224982991755,E,-93.41293936420963,D,B,-85.68054383655446,231.29106089141098,149.64389804263584,56.17687965621443,56.42429916261086,16.14712660574656,D,150.98897980279708,-48.32699380629847,1
Veteran,Other,44,Widowed,7.723059667690281,86.36545905392539,-95.63598346171257,E,-101.50935290297278,A,B,-15.754729514556892,37.432688560335585,-53.20958837277756,-59.157135493396204,104.35791396874134,-6.569435277810677,D,97.92926890083665,-95.19506367247885,0
Yes,Other,27,Married,63.09798162919361,-198.4070566217677,-63.558491031088394,A,-141.8376745550074,B,E,-62.957265631841885,-21.904199430823127,-7.49731311749048,-49.399793136689134,142.51170497571982,44.54618319378048,A,140.18682853815923,-4.840465187004135,1
Veteran,Hindu,50,Married,-76.86773547473298,-202.1646763738504,-49.62722796185675,B,39.87915574500834,E,C,-106.63131622286626,54.775706836938944,-35.82722315215206,-174.54768705879263,47.273732196047916,158.84111034643374,C,68.33205249799215,-56.575671362006666,0
No,Hindu,28,Single,-2.735628625167807,-35.669131745373676,23.37495264808465,C,132.02569271317554,E,A,81.63494472402469,-19.05142902460235,124.42327908890731,-30.3230789103949,121.30680743575486,-113.10532680894075,B,72.79252918234889,245.46845753127008,1
No,Christian,76,Single,-9.134329589138781,-148.7448742432382,-117.63499375915947,D,198.619756784641,E,D,128.18269261421798,-114.62219807272014,28.75224591016655,87.31285903493274,-47.48585448419856,-127.63524213415162,C,-61.96024937554342,-9.556658935712992,0
Yes,Buddhist,38,Married,-7.310473545735643,-12.262100231121716,-71.97392393179256,B,53.05113841757044,B,A,17.10508463820314,155.10259682408636,113.86567778533747,102.4661570868086,212.24208271396603,-100.04896719584389,B,32.97337699259291,21.777748937005025,1
Yes,Hindu,77,Divorced,34.85882615502194,25.83182484079015,-10.373873524098194,B,154.7470486507906,B,B,-23.465941899117755,172.1176844581783,122.76335842523838,-3.584972705691375,2.949190261163611,89.86610554320255,A,-113.79583907954812,66.65655487392509,1
Non-Veteran,Hindu,58,Divorced,76.70077775836653,-126.98212190052675,-98.92095753247642,A,18.473977412002384,B,A,-45.91624150968477,35.745360238469125,29.760420314723525,-132.98532831828118,8.044060139190544,5.958810935504415,D,-121.28257950512784,56.0749639727986,0
No,Hindu,32,Widowed,94.07567834211584,20.787843162388253,196.34937591276943,C,47.60233971680606,C,A,86.87714586396415,72.05886374481885,155.37061266257962,7.784405386659274,-191.26116625161904,-47.462580989512034,C,173.1382145124955,-65.86367220882273,0
Yes,Christian,62,Single,28.468825312656932,82.86242511334476,-29.998937004962258,D,99.48732210818231,D,A,-147.66305060620024,-106.25859234472517,-106.35436676494842,66.68382623013743,-145.16901659730124,52.087985198264775,C,-25.80278774862294,-19.682278050088613,0
Yes,Muslim,70,Widowed,38.95607872046041,-88.95296850171067,-77.10625068017882,A,-3.823855591548517,A,D,254.76964207058276,64.46764989563603,213.938405763649,-3.5710634784226674,59.250397872749474,-54.346676868287844,C,-153.7921050230511,139.49447776732458,1
Yes,Other,64,Widowed,0.3820915190944211,-80.4920630942366,7.4231658335872766,A,-58.1624948027589,C,B,-258.3466482656471,-51.83609308133285,-100.35372559717557,55.10380817757533,-129.68952721228231,-2.3321112999386164,D,159.28825876326013,38.19280677391109,0
Yes,Hindu,64,Single,-61.36795406406622,-79.7016326598826,-145.69528226156382,E,50.989425022306456,B,B,151.70488104437644,32.66970289604576,178.66042199042386,58.30946932132185,-187.18868062847534,76.60481556275751,B,160.19685566636187,-58.59601086669086,1
No,Hindu,53,Divorced,-83.88836668990774,-49.639738709267164,120.27047508634723,C,42.65186657085631,A,C,-36.934933341037315,132.41732738661761,-201.87594568523562,38.48835456922177,-205.70511800649908,-44.21987928330458,E,18.71376492436405,-22.15757366851091,0
Veteran,Other,76,Single,-209.87622996503674,-55.03983061043872,77.28605529213009,A,114.0263298470515,D,C,104.29950097771076,-43.741621080268054,-34.086332144890896,146.5812916479065,88.92397844231388,-243.70894632175646,C,-154.83346787449554,-121.71409631748713,1
Yes,Muslim,63,Widowed,199.2402489871084,0.8412646150342666,-185.2439173042296,A,-64.15807893814126,D,D,-158.88937442178536,333.9146342929224,-64.15997546396706,131.3089983509056,55.599727833075086,45.49840124673825,C,36.29001500549683,13.383640247669899,0
Veteran,None,51,Single,26.754985304553564,-132.33276839838697,-140.4383038151908,C,22.362556298584032,E,B,-13.79646158856497,115.18836545624282,-180.25333840839224,24.104328970916193,-60.61774868108857,-62.740298574366214,B,44.08204033915888,103.91947946208107,0
Non-Veteran,Muslim,78,Widowed,132.89383173888402,-17.59243996669222,34.9046023623426,B,-112.9636839876547,D,B,-99.11978617291058,-110.78603438439956,71.08522415524645,-36.14462198922036,-53.6751760872251,-94.63633432932465,D,8.653843604627362,50.671327621017134,1
Veteran,Jewish,28,Divorced,141.59453825351346,-38.55370108895339,-83.89897548508685,B,-57.306181172082546,E,A,-43.74140150560974,128.7932734833592,-100.9438900554992,111.72955292072363,40.93331441616224,25.6017098027788,E,-150.04454988679925,85.20165962066255,0
Veteran,Muslim,71,Widowed,-69.73066182955122,-81.23767553865014,214.70737808891175,D,-63.144775191867616,C,E,-19.62745665304138,-53.49451059647049,115.27286322079617,136.18828440748007,64.05646403428597,69.08016953246,E,213.38019049963864,52.41053971108859,0
No,Muslim,76,Married,91.44772344528216,-118.65971701907274,-44.21795295325443,E,-1.5946138442258857,C,B,-82.00058660872621,53.9560730523162,123.5303533651817,-30.41028577341185,-20.164642754129776,-243.38874668376832,E,122.97395151698838,-16.984086107912738,1
Non-Veteran,Other,35,Single,-3.2517052172149854,77.93154433951156,33.04210421507185,E,-39.55872897133583,E,D,95.29986279706114,-144.92174496970748,-215.2307261330395,-115.62573448174358,5.064951945140204,-58.34958027778436,C,-23.531835485251175,-49.42448677149319,0
Veteran,Hindu,39,Widowed,141.31779364913828,74.99379010764679,-151.56530605292303,B,-92.26643351496713,B,A,-18.2273864336517,136.04387967047379,-145.85758599163287,-38.12093228140142,-155.9850556208088,191.85352949677835,C,231.80393941133653,-30.442992594024247,1
Yes,Buddhist,51,Divorced,-93.75403090807964,114.94666267208851,40.47526383899578,E,-55.33195334334658,B,D,2.927556061925012,55.226791146019224,33.05153674353331,-33.89334891290359,-70.63815747319434,-140.89239237885494,B,132.8860638725053,-4.506195545371796,1
No,None,73,Divorced,-92.33810666513736,-83.0600644407966,123.63518859852454,A,168.02420781579175,E,E,-142.83174570073965,24.405187566844745,-96.89510548196296,-45.82035816218895,193.26478746516776,-22.372676264246895,A,144.04276285887465,-78.4049127082966,0
Yes,Christian,58,Widowed,-12.009851005969665,91.71992938831546,67.91608800860683,D,169.60373183140516,A,A,-39.6137470276332,57.74331736105651,82.77418207384211,200.44412328351285,7.3678362226028264,160.67984322615052,A,-194.84581287717225,63.43321330607542,1
No,Hindu,65,Divorced,-117.92116895476934,-10.234321687645757,10.761436008161269,E,44.935200748576506,B,E,138.7100748546606,-75.28096521654314,113.18773016767048,-230.88470392896772,37.41374774146063,16.944393358811087,D,-20.709545627265552,-5.6161315496497615,1
Veteran,Jewish,39,Widowed,-31.284743593203956,8.986676731591354,-19.662057193188385,B,-81.34999515807682,A,B,63.000546266973146,265.8620393282844,-51.414211949993614,-69.06852790280591,130.83317144404984,60.069510555442626,C,30.760542120009653,150.79906444844838,1
No,Jewish,58,Divorced,-18.915294614585036,-8.854141787028334,30.86855701381467,D,37.5234348423791,E,E,-25.12825134262226,-13.286022008608592,-130.1766907814057,-21.135260426295222,21.253588885749327,-121.03390357822927,C,-9.014886526645018,-262.76078199136055,0
Yes,Other,46,Widowed,-114.69818651058068,-168.01651403293502,-17.86847641846325,C,-80.90461586246657,B,B,244.2449977670325,71.5673909456932,38.21190387781603,-176.53559894518222,-82.9716597616852,-20.300339438997096,D,116.95807374115117,4.706012812012653,0
No,Muslim,57,Single,31.04925583939064,-12.006041794580554,169.93418875495595,D,-33.06352232486718,B,C,-25.50842814449863,2.949465831225367,137.09648017830705,25.730773740941952,90.10513819466479,12.659743160915903,D,28.009677778860524,-4.800221097210062,0
Veteran,Muslim,23,Widowed,24.910286668539584,-145.2321521102211,58.03362295574448,B,39.093995818356625,D,C,-61.14114607916943,68.06846960265983,-45.67205259433711,-55.280593619184955,152.98781281746042,78.63687266471118,E,-1.093143897791132,-202.76357620931154,0
No,Buddhist,50,Widowed,-1.4284408514252085,83.17071865187974,-95.84197556055385,C,212.460480377095,E,E,-58.414495028766346,-53.6706743079693,114.28167590682217,-1.7833124804175844,37.34239056277291,105.98021476389535,D,143.7965206842001,12.046611140769043,1
Non-Veteran,Buddhist,41,Married,-11.813289367722742,3.0412835174570634,-11.292140779243455,B,85.71163751204574,C,E,-71.02198917622515,-108.75031381825626,-40.05970287680945,-137.1801385732686,22.334032399005878,-75.7335210643781,E,152.42541901991018,134.169448396429,0
Veteran,Jewish,28,Divorced,12.73996307900167,-4.137502290038507,-188.07006828028238,A,-43.7026088467807,E,A,157.92966627272526,94.38788257092244,-50.85514198117214,-14.398675420672232,-2.482935699205022,142.70746275204388,C,9.487357984712627,10.577905164521777,0
No,Christian,48,Divorced,-60.105973306035885,-47.99913641229634,-154.82159525442606,C,153.60068160705185,E,D,50.650088965767324,-225.119559240496,164.01349696719535,-95.979541404775,213.8357952145031,-190.65350987845875,B,106.37550188418868,-58.62992451178073,1
No,None,78,Divorced,128.0709935801755,128.4401113515796,-17.793498658737068,C,34.6633662671574,C,A,138.19940345147648,4.058762020412635,158.1170971212866,9.060673297142593,64.02382256154033,102.38119424950011,C,-139.94204159026125,4.326692848106106,1
Veteran,Jewish,30,Widowed,-156.44724128852215,-60.37978406227722,193.94999191408013,C,269.74429101015954,C,A,-72.81598324271597,146.32703411900525,45.63577770212803,187.729369079509,-3.8820714106537855,27.667135750495603,C,-108.36330472671234,-151.5002686425841,0
Non-Veteran,None,44,Single,79.25040672574654,36.814896434496156,-104.69083011240667,D,-79.10751717010852,C,A,9.362470764414647,-21.074705899747702,-136.34976429532838,-44.63025866754363,-6.532551236336799,4.109569070960407,D,-32.626312399363336,43.35505583533185,1
Non-Veteran,Muslim,64,Single,35.815906432572376,-79.65108487726893,-146.45569130847437,C,12.209853836983442,E,B,81.66171157185353,70.15531768953838,153.25108161101332,204.12657434359596,-17.923987186567327,98.04667484123091,B,18.403082812756963,118.69696209496175,0
No,None,27,Single,14.911884042067634,13.841555460453522,8.047085737008317,E,102.34469729385276,D,A,-56.74867087719222,-8.642902888475371,-40.993333235413445,-84.00790448111243,87.3475530248029,40.79230453667633,D,47.97205022884231,58.19318476034947,1
Veteran,Buddhist,31,Single,226.0271748666499,-5.315566400898831,-63.19254959153717,C,65.38674900794972,D,D,-97.58540324761178,-36.60270694473823,33.5488436258281,-185.78786908800262,186.06366797378985,-72.96299280821394,C,-52.53730798973149,110.71696034280025,1
Yes,Hindu,58,Widowed,-79.4071991655208,108.05249513910715,-116.74340432803423,E,-64.86654782638706,E,D,23.454927506767444,-210.9838770135863,20.53865633848173,-194.1373209315363,53.157434870228435,-5.079273689866913,A,31.54161803997397,-74.09197749528128,1
No,Hindu,77,Widowed,-90.53730831178052,-36.71970802138878,-209.2154908946717,D,84.9090015799668,D,D,69.61417967881461,55.28621272352353,-50.2671329663593,-82.47149402764714,-45.802844100474424,14.755769074332287,D,-5.103191072299156,100.92103181402557,1
Yes,Christian,24,Married,-28.1952646640512,-32.74945858286184,101.50963435351501,B,-90.70912272753544,D,C,8.837800291416837,169.68587232288021,67.06104331327315,76.61044693930734,-11.784761256173057,-18.374161529314616,D,182.55288438594098,44.08611709296555,1
Veteran,Christian,28,Divorced,-111.44632524680667,4.6790584681206555,-101.27008417746346,B,-101.20890085022873,D,B,-43.564203678756094,139.63517839756517,-28.94145283097447,51.40088047660548,136.391562728745,154.65326167786588,D,-59.43680393882468,-21.99472592381195,1
Non-Veteran,Muslim,46,Married,52.038313742270546,35.72767717380013,-39.480160162087266,E,-9.108601524941912,D,B,-29.549713217428465,33.34478821079778,4.769358424484085,61.83331304645062,-32.56659776143786,-31.95661380412221,B,-58.73979237817728,-282.0614381680274,1
Non-Veteran,None,26,Married,91.47739996090347,31.66348579626785,-133.14806077005025,B,-177.29085905292024,B,B,147.0747198460313,-8.854094631494993,88.7637336567235,-15.782906099418925,59.654399150920376,47.90434494045732,A,-173.32066401442324,38.89852141442863,0
Veteran,None,36,Single,34.304638979433534,-113.911283720431,35.95938423969048,D,-10.8707680466117,E,E,135.13570678675097,-46.987487729919394,195.8247106091023,2.074867013769408,-161.22209260808077,62.78143243837108,A,122.06219439696665,43.05261048016951,1
Non-Veteran,None,34,Married,136.26946530130462,35.85444298925995,-92.03866291600673,D,73.67851977025047,C,E,65.3566057177576,-101.25316457421472,-31.149274482651183,19.33102764172566,47.884191559316136,-110.46586246909362,B,-126.48510027463915,136.69192603215976,1
Non-Veteran,Christian,33,Divorced,-119.90178585722593,-33.5216161455306,-62.2114357033204,B,267.9764585557748,B,C,123.60111960404248,-34.84901097331384,-28.636763927414925,-39.31956363676633,-203.623710068043,-31.94568600131045,B,-15.126670536084507,7.12528520919319,1
Non-Veteran,Hindu,59,Widowed,116.70230506869802,39.951493465880226,52.242491901131096,D,-105.84292085827163,A,B,-163.80587230993,135.31849268171646,97.49536960590946,103.89526903669035,-120.37771756646522,51.4956269122963,E,-143.202142835155,62.16066481619764,1
No,None,61,Divorced,93.00585086044562,-21.006754422402825,-166.81432668383076,B,-162.38531431861952,B,A,-56.8503168971743,-29.686809014691466,195.72684141028387,-148.32481833176558,-209.90119258971603,-46.68272505073952,A,46.93056588274555,34.18094344397504,0
No,Christian,22,Married,-97.41285331012463,36.51280167044987,180.20052845385646,D,-72.68897916038654,E,E,-140.5706856354749,-30.901408450960098,-142.89014239265703,-143.03806934846907,-29.62854225537235,92.87155807373952,C,19.007456095436222,-40.31396682660079,0
Veteran,Hindu,40,Divorced,45.59872182921752,40.88121495940385,-135.07727710700118,C,20.5918816201146,A,A,2.7945420806671013,-112.13957925060704,-44.06574319057627,68.70154816184449,-80.71566976514903,-12.80589562891106,E,52.105679224314336,-71.27789736089133,1
Yes,Buddhist,56,Widowed,18.020206715459377,-75.04434501071697,-168.1126452090774,D,-172.16254051605338,C,D,106.05376852665944,21.606202675762944,-20.935571028311372,-75.31655903947119,-107.43114041219259,-133.6654526247272,C,83.231960900696,10.347230212794969,1
Non-Veteran,Jewish,36,Married,-3.4666545266770608,80.2296434733811,0.3270510644336992,C,-19.075795082944918,E,D,-81.41420876074298,25.30997903765125,78.999136244095,-42.43809407366361,28.444101152906125,44.86500113311428,B,-19.730280456818075,19.053723156622134,0
Veteran,Muslim,55,Widowed,115.73385962478912,-90.28580929738428,-98.93991262108999,B,-77.66091467027486,B,B,35.43366969981857,20.923708242164757,-8.350863810669356,-68.37368916378081,117.92639953160233,-120.89986635527038,C,-139.64710401503385,69.38739165621627,1
Yes,Jewish,45,Divorced,193.96171306664172,44.39632418521036,-94.37571410333274,A,120.05314563620308,D,A,-123.5224308538894,-103.93503533976065,-101.99077310151725,-139.13029605156842,54.077396851040206,0.7409419323907233,B,9.818178597573592,-110.53054776931566,0
Veteran,None,37,Single,-110.76952081506603,-1.4156618574227886,40.47762606934761,A,18.017609402329605,D,C,-124.53321243253303,20.696989147376062,26.217706175111292,-108.31292719147851,108.30345087214224,56.763303808078255,D,46.906435806925266,-179.99353285980771,1
Non-Veteran,Jewish,63,Married,85.59265090851915,81.87893732977466,-193.8616581030829,A,14.362924146016223,C,E,-76.28226609147848,-141.74143127217295,-53.3689685806074,-76.65263974416531,148.78799196073706,182.99002877295698,C,23.203382143381845,-4.109964749932826,0
Veteran,Hindu,70,Single,32.2974415306399,-94.16631652872661,236.1162606444742,B,-159.67739461611103,C,C,99.13221054246414,104.37894528269915,-19.005082304867845,-158.94491026917584,-182.24585627460627,287.442290859151,D,33.079342027687105,-26.549007575984675,0
No,Other,61,Married,44.7571736826513,-65.66179932766792,-99.82340386668736,A,-38.480646792222736,A,C,-17.174977639450002,-191.78740964978547,93.71514735227957,-88.15632912721763,45.81126901042366,-25.29341898212515,E,-89.69377286248815,167.04843638666307,1
Yes,Buddhist,25,Single,137.68663665010942,-7.441051547720308,-122.14145027984232,E,-58.46577284380723,E,A,33.06935915235216,-74.2521221048062,89.323012050644,24.355728634959366,-34.38929581642918,-106.05589358003387,E,-29.19358208414139,-43.120849721265145,0
Non-Veteran,Buddhist,56,Single,-52.171647203821394,152.99583474261487,55.23015818091581,D,-141.2176757529676,B,D,77.36275256979957,182.28891768531133,-104.4981268870155,-80.56139484705818,-67.02710041346755,-172.55390545182317,A,116.20124521789224,-39.297136886846005,0
No,Hindu,54,Divorced,-68.99571322744768,37.06875267920343,41.05201249304913,A,26.91617804910021,C,D,112.46703778356601,153.24652769116835,-250.9560082506793,54.185350728503124,-66.99936725167686,-162.98592331087406,C,-33.850267891803924,-88.5563072089682,1
No,Jewish,77,Married,29.145762751422144,14.322937311108758,42.24631753486652,D,-42.01072611455667,D,A,-124.72094282850836,79.93887781867708,19.012204615891385,-124.05377251120831,49.52695104839921,53.040589612348455,D,-23.125684301832454,69.15570002602534,0
Non-Veteran,None,34,Divorced,-134.826283530954,-13.778286849702406,24.234445813253867,A,1.7606082748454674,B,E,-89.19373390523042,25.575464559224493,-37.99524653689884,-137.8655292601192,92.07988042950888,-76.4923007441851,E,144.6038947841528,-109.12892665447207,0
Non-Veteran,None,39,Single,27.193364746533454,-134.6806003702305,147.2445511522799,C,-31.759794962390792,D,E,-123.51553881990259,-13.006922850387248,64.83435849679753,52.75780949908761,-71.39989467009894,-102.55469827848654,B,-52.54348842961173,2.3590264349085786,1
No,None,45,Married,-121.46792892290301,0.46723536853285524,-100.59795369981168,C,21.707946898108585,A,C,7.255956837152978,75.51408843521065,-50.425287026761175,-81.0008928228832,110.80384797473548,-0.9869136256674493,A,53.56855135439812,118.44995698502427,1
Veteran,Muslim,37,Single,-18.54248081556495,60.372523726294894,31.02559775155886,E,-65.17724561702424,A,D,118.3827654049634,134.269967286914,114.97094037602167,-135.95486254646514,96.14638697520299,-174.62569064589175,E,121.51183357118491,87.03012511951913,1
Veteran,None,37,Widowed,113.50992489531855,-55.58942995163161,-81.21320863581825,D,148.4056335429078,E,B,82.90096627321397,-29.923059844485383,38.830720184803866,58.152730865684774,5.133751481247354,165.88903135008272,A,11.596716421214593,-48.89741906915434,1
Yes,Jewish,24,Married,-106.6561561842158,-45.86372626982765,-27.786335054959682,A,-194.54154753499031,C,B,-213.50357765570976,159.0761855526594,180.81132020412244,-39.359719917010054,-48.533726230881385,47.715406104312294,E,-30.415961955614502,-58.62845699902148,1
Non-Veteran,Jewish,43,Divorced,69.66479510961501,-27.86469183472012,-4.235381669048278,E,165.72865266425188,D,D,-5.191726457567592,24.34780193410571,73.6974919193545,126.5150046352177,71.32863737851922,-31.363997098099528,D,12.95365242475593,-80.64757358558687,1
Veteran,Buddhist,29,Divorced,16.96909107417622,91.43395775192378,20.92274836168655,E,145.5876451416621,B,D,30.480344094625238,-65.9988875126234,22.340865080284345,146.38933282042143,71.64401686696488,-9.775971356023954,B,-107.07373506199438,4.72275213337905,0
No,None,62,Divorced,-67.56316706950565,-14.213998038793408,-17.516936804275282,D,-110.29173735682977,B,C,206.25426344924514,-104.95704927399811,181.23667388527437,75.38159035261596,-43.92837060149181,64.42020927409624,A,0.18253317794044735,-24.9583031281218,0
Veteran,Other,67,Single,180.9929599823545,-92.93850533359854,-111.22638723432459,C,32.99160360028346,A,D,-57.19066751214776,7.7563374495431425,-13.584187405380794,5.052611744621127,-65.76165704416421,144.1203844199022,C,-157.78055369482223,-41.361252170784965,0
Non-Veteran,Christian,71,Widowed,-31.3959326742776,-32.15947194964267,-125.80053111391398,B,159.35841888642668,A,C,85.19381066549418,-169.0300458854333,80.7226134309223,125.18619610002517,-1.2973725109755812,-195.03949829169088,D,47.45490853288855,33.83161413728724,1
Veteran,Christian,24,Widowed,110.09045571855454,-60.67700349044426,74.49301430739594,E,-215.9360957715204,B,C,-157.97288384432284,-20.486958570719732,-62.4496705028304,121.97338118462788,-153.55158529359002,97.10523827968754,E,16.13468226411046,2.0938109663993667,1
No,None,36,Married,-25.748761213379588,180.09789696106571,-44.319890463515435,E,13.306275405159251,C,B,5.885612390166641,8.422538551519818,-31.429268629466577,85.836432997461,-75.75632073211978,35.50464089311768,B,79.37925364585277,-104.69747475449182,1
Yes,Buddhist,41,Divorced,-172.25704341690013,16.45115684137908,-14.132156511470425,E,-196.6595184614421,B,C,-76.76804958075198,40.41759712545355,59.36986268151606,-23.13680209076039,19.165537743147805,163.8485342570934,E,-112.44133760626183,37.1655493280989,1
No,Buddhist,77,Single,-31.771286363908473,-34.919059621735784,-65.84881478730115,D,-17.264357857461228,C,B,6.388585895013911,-95.01045278110499,-32.76128184244582,17.982625174762564,-134.32284575347774,-99.04429707558393,D,-153.56432110745558,-141.14155493439816,1
Veteran,None,30,Widowed,21.879458698454112,14.37241418389164,35.982118165823614,E,-141.87159950158116,E,C,21.98770825008793,-162.79591961584563,132.96377412307137,-27.506245475192685,41.17374680944215,-102.94680194757721,D,195.09540777862023,-27.892474262946493,1
Yes,Other,54,Divorced,136.6250003675814,-47.14875122596195,-218.5203297130845,E,15.01984005484172,D,A,39.18401889071886,-35.40999155358714,20.587361469303982,-102.13514917180872,-20.092829207963806,-106.93767537654952,C,-94.15312643489968,69.64497895355812,0
Veteran,Jewish,26,Married,15.602055011069835,-14.493131856190244,1.5227875637685993,D,35.23920481280375,D,C,246.41680052443894,52.160843777672326,-102.62139821509632,204.08914021806197,27.11362771041158,-36.161502889879806,B,-143.69673645906096,-64.32219355775378,1
Veteran,Jewish,51,Single,24.93467019537999,20.895170402480243,185.35815351975248,C,-120.19451780565377,E,C,53.86550834535533,-9.073552550980223,-180.72470667924983,-176.4450254067115,-5.667149083624447,-97.1509131440915,D,-27.341812090981854,-27.7720452792199,0
Veteran,None,68,Married,-79.58719201097237,-34.740395992260595,-45.242343153762455,D,-61.967750308194724,B,A,-104.0816043659448,10.805916356299214,177.04059097279097,61.263210905904344,-179.89542381734665,76.91479802920489,B,89.75659474679075,36.15530216984993,1
Veteran,Jewish,19,Single,83.4316300290046,16.389025888224474,-11.369323367767423,D,-13.629238723216572,D,E,184.28170588913758,35.41898991493608,56.68900414114761,65.35413908366007,6.55282134983224,63.984600012602556,B,-126.03100581092512,-43.88811138460015,0
Yes,Hindu,34,Single,-18.12640361707838,58.975253718982515,81.17894144786057,E,-4.563262316408649,D,C,59.5660395597841,-119.38231182405397,-0.7758887228046625,0.6391139028608639,-55.34398339185642,66.57496832736432,A,-8.912819778247846,62.71917682442114,1
Veteran,Muslim,46,Single,86.15444123574174,-43.68417360646541,29.54419354526153,C,-70.206503179709,A,C,94.58939423782797,238.23749908274831,-31.328902312298943,-43.35986370392717,-1.2886405386847155,18.988963977644367,D,87.22793059062431,118.94395533487847,0
Non-Veteran,Buddhist,79,Widowed,32.2008258428711,41.29982206050282,-3.928692704884155,E,9.367985338798311,A,B,126.34016983793595,210.42431140204835,-142.5754175572243,70.3926267191519,10.521938232649983,40.76842764216623,E,0.9819643408315145,-60.16069735001389,1
Non-Veteran,Other,70,Divorced,-149.8164213117737,77.00235522051821,149.0606645525846,B,31.51139841489882,C,B,51.635197298700206,16.839145157862408,12.914974736528537,-79.42252625812051,-35.756471793020154,113.07828351258975,C,152.3113733142751,176.99130265409806,1
Non-Veteran,Other,25,Widowed,53.51590732449111,-50.495823549382614,-0.615056790572122,E,-54.31042143137993,A,C,23.19644846691781,82.13887231203265,103.85876062191394,-125.4619927587719,8.708444138131519,-82.3509330049316,B,163.14345765433885,-186.67983317103645,1
No,Christian,50,Married,26.665109860019005,73.2070921196874,-92.74600319506784,B,-75.70808182772528,B,E,-146.8044277471519,-81.57516322531771,-29.300965637823346,21.682038904329936,162.61215719561946,-34.67164812940856,B,58.69620577795482,-121.9301230836628,1
Veteran,Christian,52,Widowed,99.68733338842559,112.3392239641344,110.31429257727387,D,-122.41597875848838,E,D,8.51289835242883,-37.95232048668228,-14.02412463280793,126.23149639881197,-35.56016990225821,31.991817556046094,C,-30.22746496599528,-50.80153074525683,1
Veteran,None,64,Married,9.634301163061433,-52.57174862221721,-103.72348623141183,C,45.984747769260714,A,B,-134.12834752112505,-185.85170671543784,-67.6556979154524,-49.56881114018184,-160.39003079522922,-391.88592705508603,B,-109.81247391866722,27.9479504997643,1
