nation,civil_status,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Germany,Widowed,22,C,-13.816183931284076,B,-87.69382077759148,E,-127.39850698317005,D,-170.18592252098864,E,C,-29.845300947091392,0
Other,Single,18,E,-17.564140550328407,D,-17.31007589549707,B,58.15560331112629,E,6.414461944663878,E,E,8.19535606136714,1
Germany,Widowed,62,A,-204.6902643512616,E,33.9846781318416,B,-66.50406826609475,E,-26.177928098146282,C,D,-79.79768993780179,0
UK,Single,57,D,-11.866993838354546,D,-90.8733280523358,E,-254.01162732044665,C,-85.0951711130663,E,C,-76.5940311179025,1
US,Divorced,32,C,22.531062317980734,E,-84.93329108979326,E,17.96628838080837,D,-48.520353308931774,B,C,235.07674301231424,1
Mexico,Single,82,E,46.773156493782096,A,-97.59144479068269,E,2.17687203686738,B,-17.00431655601216,C,C,-91.57261375035785,0
China,Widowed,67,D,-153.69794052540792,E,233.29636305995777,D,-55.215305830773346,E,78.47216260428253,D,B,-93.4588903007748,1
Germany,Widowed,77,E,-49.407322096820636,D,88.09085723125409,C,-31.95323304480449,B,-101.51993762800808,E,E,188.29271992795722,1
China,Divorced,94,A,-2.910442543526511,E,-55.51282166763344,A,-30.512519209344426,A,-184.34485929745787,B,B,-39.0320342631585,1
China,Married,78,A,-167.1742959825059,D,23.119493852595106,E,-18.529240835098822,D,-39.9144368549323,A,A,-150.5199520548474,0
Other,Married,27,A,84.00395876022439,E,-147.20278524271922,D,8.415335057610502,E,-92.58203607825946,D,D,-100.89670796009702,1
UK,Single,19,A,-6.400964415645793,E,-10.625650012228462,A,-22.33385472586744,B,16.85620477560688,D,D,-54.46185117213501,0
Mexico,Married,24,D,130.37117002872748,A,2.049092030797691,B,67.98635664265214,D,86.66399237937897,C,E,-52.8993689999119,0
US,Single,40,A,30.054292481865648,D,-82.48427192861043,B,-181.74659473778954,B,48.9356007440321,D,B,56.272000654747245,1
Germany,Married,70,E,123.79812463677924,E,36.998519404587206,E,-102.26775101574432,B,-0.15730422904447486,B,C,-226.21176339437304,0
India,Divorced,45,E,28.127228413117862,C,92.94678013319732,B,30.058772541526128,C,64.76314762573149,E,A,-179.98383871618063,1
China,Married,28,D,36.69380891772528,A,-59.95640607794783,A,-110.3313121859184,B,-35.6954570031709,A,C,-93.1815254870175,0
Mexico,Single,58,E,14.22926972017754,B,92.20019288185964,B,-28.58590609451882,A,-62.23864506562747,B,E,56.70584990611918,0
US,Married,38,D,-33.929253966641255,E,84.8628891896661,C,-17.74757633347659,B,-62.08794296483177,D,A,111.21382281973875,0
Other,Married,98,D,-10.08759003790683,B,-25.05975599684365,D,-179.02916133805627,E,174.57238041376337,E,A,-111.72475241867032,1
UK,Married,32,C,-16.05860261510681,A,-91.4176507109909,B,-14.42560442342431,B,-67.04512759123641,C,C,279.9779545712993,1
US,Divorced,82,E,-10.824690013225027,A,39.72945129496827,E,-3.513027103992303,B,96.39303081935334,D,C,56.715128676478166,0
India,Widowed,60,A,176.6149898162088,A,89.82989029354633,A,198.55439276442547,D,-170.67163494623404,C,C,21.891185667377158,1
Mexico,Single,36,E,240.53269174556328,B,-41.95554457868477,A,71.2549023181886,B,-72.57816327880462,B,D,-65.04032701787717,0
US,Widowed,96,E,17.57909995588083,C,20.048957018049567,E,-45.304467171628474,B,83.37685411592697,C,A,46.660671709913345,1
China,Divorced,26,B,219.54076244384106,B,-18.24549858981505,E,-70.42481221725704,C,55.908018596983624,C,A,-128.66358551760294,0
Germany,Single,25,D,-95.8449374988565,B,92.63625328071208,A,-53.82218730079419,B,-96.80919959902414,C,C,19.88684188771633,1
China,Married,29,D,78.37815371770958,B,-63.27559352891239,E,2.486294337513447,E,42.62410367904776,D,E,-100.51857478563619,1
Germany,Widowed,81,C,-127.62375623204933,A,43.65153848451264,D,135.38327839915007,A,114.6206841744402,E,C,-53.4881120174453,1
India,Married,62,A,7.407850488186939,B,143.72347348163206,C,123.76251224932733,B,52.201859299748,C,D,126.24762896387634,1
China,Single,63,B,-197.65007230565087,E,-74.66049157652137,B,75.59948140116308,A,-18.599848706639488,E,B,-1.8661461275923754,0
Other,Married,62,C,39.41855067568607,D,-121.11843412424423,E,-120.99288454233343,A,79.5578215094612,B,D,7.025915371609671,1
UK,Single,71,D,145.61462881015933,D,-197.35696976571558,D,86.1344464755064,D,-14.853337280860895,D,D,72.82358168216115,1
Other,Widowed,89,B,32.08215616632892,A,-136.99949144662747,C,-102.53779150309495,C,-118.07947046717919,D,C,14.597721323512506,0
Other,Single,22,B,63.964623761584896,D,110.8160473292026,A,-209.89758922155258,E,124.21116752236429,A,C,-17.78537023360058,1
UK,Widowed,48,A,101.95566009842925,D,-112.63708346214578,B,77.56302771997102,D,117.33942909420844,D,A,-148.36432796648248,0
UK,Single,52,A,-120.16187497660944,E,-63.45024477564131,C,-88.43830340305574,C,-150.14345288380682,B,E,-55.11836333817707,1
India,Married,77,E,-13.734725157080385,B,-74.27159850147979,B,68.47069228132258,C,-34.692755668452804,E,E,179.2841135803311,1
China,Single,45,D,-54.038989833301365,B,-32.44500438297514,B,112.60290844228543,B,84.65424241168068,A,A,30.124403460086413,1
India,Married,55,D,22.61318891801923,E,-2.869048243883228,C,-97.20884450616516,C,-44.007050441886975,A,D,0.647904491721294,0
US,Married,42,D,-114.99841511862239,D,134.2818083971938,D,-45.532792592269274,C,129.7561843641584,C,B,85.18717762599682,0
Mexico,Widowed,92,E,96.39609104588995,B,22.969489046525997,A,-48.30055613049866,B,137.3685203190115,A,D,-98.1635176958339,0
Brazil,Married,91,B,-103.16161049794317,D,37.77623600526467,C,-112.82373682291605,C,-62.11384562501495,E,C,-73.41941241823275,1
Other,Divorced,19,D,-177.24936771373655,E,110.48118679429639,D,-58.08980061351038,B,44.490951599761644,E,E,13.628417500490073,0
Germany,Single,37,C,7.979485028743097,A,163.29177279331748,A,58.181117963722265,C,-100.14895790731606,B,B,25.08370062866173,1
Mexico,Married,46,B,0.32967678304764225,C,87.4697704855711,B,96.30342058784109,E,85.54510850800773,B,D,-37.83373748099592,1
China,Widowed,34,D,121.95315508089834,B,17.66881640356603,A,-2.690355867683259,E,-32.28900040839066,C,E,-182.4649584460915,1
Brazil,Widowed,40,B,-168.91508179058852,A,-26.969879102310667,D,-95.96221687754016,B,-157.66678464939997,E,E,-73.78110733571327,1
UK,Divorced,64,D,-6.090068064350943,D,-198.15803866758023,A,88.81367122094784,D,98.09895728677573,C,A,139.75640563807235,1
Brazil,Married,90,D,25.124031224297777,A,179.1677611084258,E,-114.52845918191463,B,-99.5242491452313,E,B,117.83415870402145,0
Mexico,Divorced,90,C,128.26510360223276,A,4.930592272034179,C,127.77992648840097,D,-131.19110485899625,C,B,-239.47007610165213,1
Mexico,Married,82,C,210.43628354437746,D,72.03770517460136,A,186.44062702487926,C,136.3495866894937,A,B,-86.7420601336431,1
Mexico,Married,50,E,-90.94847484740849,D,131.50081187951736,A,-141.64339817667368,E,79.13650156000507,B,D,-75.5724942808705,1
UK,Divorced,82,D,-31.26768738063614,C,-18.342285465296094,D,-45.433959042348164,A,-135.72961410392205,A,A,89.74882250423568,1
China,Married,96,A,14.478248181960069,D,-78.12369544817629,C,-0.9119761834249325,E,-36.567547561127014,C,C,-105.55512564490952,0
US,Single,95,E,-104.34439373771963,A,44.21255968071709,E,159.52867241787658,E,-196.12744971879934,A,D,-154.78113208744287,0
Mexico,Widowed,25,A,164.1836049455194,E,77.8028611109822,D,11.806580204506064,D,-1.2309602211138977,E,C,-1.761813763116946,1
Brazil,Single,54,E,68.28461000910202,E,-138.58222644185568,C,-110.16160464533971,A,-42.68414954719908,D,D,-128.25627416590072,1
UK,Divorced,24,C,29.572718405994703,E,44.89403937649553,C,-42.93226475314236,C,-64.1898275828926,C,E,-24.776982055574656,1
Brazil,Married,81,B,16.62595696401654,E,167.91109791835933,A,34.86644041506112,B,-20.39491021194659,D,A,9.255201574503698,1
Brazil,Single,51,E,-215.98997676710025,D,-35.647071280980704,D,58.30074783690744,D,-131.62602109184408,D,D,-31.550175184891398,1
Mexico,Single,95,A,-36.467535822878396,E,32.67823776017529,A,30.478940573229774,C,-26.660496305648362,A,D,45.37748442452652,1
India,Divorced,65,B,-169.03345633899326,E,37.35237872172559,D,-177.7569198149032,C,113.93364083301245,A,A,94.7615535856418,1
US,Married,85,C,74.08042059828381,A,145.18841043468024,C,-55.91520783098978,A,-24.056235487436997,D,B,-38.81148408125952,0
Mexico,Widowed,30,A,49.54570563249212,B,-43.48048454699838,C,54.257600325347354,D,-100.96786420586376,D,A,-4.904952477417222,0
Brazil,Married,86,D,-45.871393945752395,C,147.98193966889357,C,216.2009030945345,E,148.43436924581303,B,B,4.684365216912061,0
US,Married,38,C,-94.81354894588215,E,70.46180987239093,C,-70.98934196235548,C,29.611229315532594,B,C,-130.2867154790463,1
India,Single,36,C,148.87192181806597,C,12.970086524000793,C,55.75492920711845,D,-192.06748939066193,C,B,110.40011689729769,1
Germany,Single,99,A,-38.403678962406055,B,-51.090783764758385,C,89.53440972380989,E,-4.056239675945834,E,A,-3.478376005625187,0
US,Married,48,A,90.14974493696408,A,149.5458501696693,C,-165.5560989802287,E,155.9604496644716,D,D,-41.07779464593097,1
Brazil,Divorced,69,B,112.8032688218279,E,-124.91443027899562,D,57.868980313804364,A,7.79678853822713,E,D,-127.30800225888783,1
Other,Married,35,D,27.658361835079347,C,20.57589127420799,E,121.32458111076672,E,103.92454268150611,E,D,10.72522669744014,1
Germany,Single,82,B,-79.78845301365601,E,129.84600363598483,A,-99.80259386029184,C,-131.41347889166462,A,C,-243.8209382298576,0
UK,Divorced,70,A,193.8611195479475,B,65.8811796478242,B,-41.32704246539276,C,178.9269970526071,D,A,-104.87939803121138,1
India,Widowed,43,D,97.06398307098102,D,-53.3939058978099,B,17.930452677805228,D,84.80050155109396,E,A,-106.04236318143256,0
Brazil,Married,89,E,110.44973310194806,D,50.95543492692195,A,-176.25700999631613,B,313.8486027494465,C,D,-66.37327044204416,1
India,Widowed,25,A,-230.38594940823708,B,22.999285594387793,A,62.73614738734706,A,-100.87001559544153,C,B,-23.9690624492406,1
Germany,Married,55,E,-62.90751717702342,C,154.2807641251429,E,-126.33530951403584,B,-133.8637708682248,E,C,-79.36808017841061,0
US,Married,28,C,-23.396418080639915,C,76.52354386235247,C,162.14013103401538,C,4.961400602483288,B,E,108.0526329332403,1
Mexico,Divorced,19,A,-99.00317705769865,C,80.9950737406942,C,-199.69637156779692,D,24.644898942073866,B,B,-199.647736915796,1
Other,Widowed,83,D,32.58837877990183,D,-135.5612859869782,A,41.506026256970955,D,-38.63134728315654,B,E,50.25030453600501,1
Germany,Divorced,75,D,-75.07381654737526,B,-52.957343500541946,E,185.76595271945195,E,144.25158976331272,A,C,-51.35727443517531,1
US,Widowed,72,E,37.660587717615506,C,14.89048342590852,D,-68.4764796154,C,2.152836633882656,D,E,105.34388197435023,1
India,Married,84,C,-170.17782789381414,E,4.2547561101250615,C,1.4703584494417972,D,-101.20980908019787,C,B,47.57851631604974,1
Other,Widowed,35,D,-43.52896663702238,A,-85.82174194306185,B,-125.18314488103539,C,46.18056263333493,A,E,-59.25542933621703,1
China,Single,30,E,-169.73626639522774,E,-80.56268948780925,D,-30.105444576176517,B,97.86107867370643,A,D,-122.44474358795041,1
India,Widowed,24,B,-199.0793777308941,D,35.7409054692688,A,-277.79485608830134,C,-11.134577088386862,A,B,-145.9384015047641,0
UK,Divorced,87,C,-113.39418732250324,A,-92.82691412295054,A,-245.26223345874106,B,-61.20889138212861,A,C,97.80070131947151,1
China,Divorced,83,D,-78.68996886295804,C,134.36442083919772,A,25.67145137610085,C,-11.895705531545401,B,C,29.710251529502845,1
China,Divorced,37,C,43.819139633203406,D,80.57009919708331,D,10.308915715465785,E,275.79602677412527,A,D,132.36706904878935,0
Other,Single,26,E,-75.44123712242072,D,11.179447761272442,B,-23.50471687269465,E,42.85936576910008,B,C,-135.39476855885226,1
Other,Divorced,23,E,118.41837203453342,C,-93.71766140227025,D,-66.14208088426794,B,56.168369607188474,B,D,129.65538354255997,1
UK,Divorced,22,B,21.532874409333033,D,-103.3901745002778,B,-176.52154801878066,D,20.388592694972544,C,D,-137.2734416544544,1
China,Divorced,78,C,39.2807090466819,A,-189.52681215341858,D,36.371789198533676,C,40.70230401995779,C,B,-118.11662477711727,0
Other,Divorced,22,E,49.83856006094282,A,222.6828069278462,B,93.70633369329168,E,267.1655972616334,E,A,23.130106370923762,0
Brazil,Widowed,18,B,-145.68440624263332,E,-149.24212381088864,D,121.03495709861214,D,13.871511538800982,D,D,159.66882075561793,0
China,Widowed,18,D,29.148247794412523,C,-153.24091680183471,E,-4.906117762675035,A,196.33551180978327,E,C,-78.7681941232815,0
China,Married,45,A,88.45899608907715,B,-84.45923313113121,B,-33.28499533579684,C,207.24089275599633,B,E,-162.48105119800235,0
India,Widowed,50,C,-240.80549516750094,E,187.033544721185,D,55.56613201477754,B,35.550554100236525,E,C,-71.73115865316639,0
China,Widowed,98,D,-38.093831403546716,C,41.05326127406071,E,110.49070460195789,C,83.7139419928133,B,A,-61.43397078389176,1
Other,Divorced,48,E,40.145542986460484,B,159.86748669902676,A,118.2796950992692,D,-132.34984421671888,A,C,20.786619261018117,1
Brazil,Divorced,64,D,6.570828813637995,D,-280.3327732155151,B,192.32179745217556,C,36.388790290053166,E,E,-12.249508301549886,0
China,Divorced,65,D,175.20474509841316,C,110.6989522991245,E,60.53637016355632,E,-49.924667711973356,A,E,-91.26600899108325,0
US,Married,54,B,-69.08597768734698,A,90.59301445291406,D,-136.19184959502428,C,86.62552408177743,D,B,143.22030953240954,0
China,Widowed,66,A,-29.388578915689767,E,-20.651815931142682,C,-49.715657037831285,B,-136.64385556957507,B,D,-118.52227917067297,0
Brazil,Single,36,D,7.875532843827352,D,88.82051455884768,D,64.42555706416599,E,108.1214244622297,B,D,-219.83594705745756,1
US,Divorced,22,A,-23.3732406724068,B,-102.44246086165431,E,4.045579684830091,D,36.40119829989942,E,B,66.12792612419592,0
Germany,Widowed,39,A,177.59752228691386,B,-174.83803475598978,E,-199.03210373380028,C,18.804333147308117,A,A,41.71638249742054,1
Germany,Married,18,B,16.094303979746762,D,4.35923166948401,E,22.375031267884207,E,-242.67411834548108,D,D,55.1656372929145,1
China,Divorced,59,B,-76.99612334940944,B,31.284483929343033,E,49.176472613451935,C,-34.82222499254905,E,A,27.110694157314697,1
Germany,Widowed,40,A,-3.4607021932000026,E,-64.12701966565868,E,130.34650816141468,C,-177.24842970896725,D,D,25.606794016608514,0
Brazil,Widowed,52,E,-174.27225594542986,D,79.551102119523,D,163.64619564955552,A,-70.83660574019476,B,C,175.77226152914866,0
US,Single,58,D,72.95390479543761,C,-25.254818293012583,B,-64.62078984308572,D,8.919626177773038,D,E,166.5382425892356,1
China,Married,35,D,93.58171124882666,C,21.510629002857012,B,19.027943721541632,C,27.98811798665116,A,D,-91.92625800858217,0
Germany,Widowed,21,C,36.01482587661691,D,73.06019352072201,B,-9.390719713372233,D,64.43747172383847,B,C,-40.09318798555558,0
China,Married,72,E,37.01898589448117,E,-25.4481535909422,D,-114.36360316408066,C,75.81436363772838,E,B,42.607462924216186,1
US,Married,26,E,48.38077430913805,C,210.83882652468762,E,-81.27647685588117,D,32.31584576878371,A,B,-32.66029273861778,0
Other,Married,35,B,-60.97218047843512,B,12.449380401794716,B,-50.3137224824992,E,-98.70640418396611,E,B,-188.1760099276296,0
Other,Single,47,B,-55.489835842048585,E,-50.96356421571524,D,29.392411728921168,C,-86.80680012210222,A,E,-0.941139228056962,0
India,Single,97,C,22.966993370772173,C,-131.4115917248087,A,-74.2399331956061,C,-69.89322768614842,E,E,187.55074818023627,1
Brazil,Single,75,D,-7.604186914870711,B,-91.84290390447134,D,-125.22573514245346,E,31.072291172129468,B,A,7.632212113482967,0
Other,Divorced,35,C,36.86745483598738,B,-46.113115772337096,C,-89.83255249203597,D,56.09558566364199,E,D,-12.119724751908564,1
Other,Married,23,A,-94.55360079420123,A,-71.38171826476695,E,69.72556557085349,E,-181.97725898927592,C,A,-78.55172792902022,0
UK,Divorced,29,E,66.47878529182385,A,-153.24624372882306,D,197.13624761676547,B,-88.18413542582063,E,B,1.4765184406496357,1
US,Widowed,49,A,173.77160791801074,A,46.2549562265049,B,-101.39227588133164,D,-54.253582512902994,D,C,112.15509442716278,1
China,Married,80,B,21.837673962393996,D,-176.22320739377565,D,-111.18458198569847,C,84.29827138529939,B,D,75.61077171095747,0
UK,Single,21,B,-9.970725526078247,D,-152.86882491788046,E,13.478805142425148,C,100.17029715227275,C,B,155.24600499324396,0
Mexico,Single,41,E,-78.91116609581718,E,-220.13433927425373,D,124.43771398147301,D,60.88138368451607,A,C,81.76967904905345,0
US,Single,21,D,101.24742936451652,E,94.98366605417063,D,139.77338045816882,E,-94.39133520624206,E,E,105.88557747233662,0
