ethnic_group,country,Age,feature_0,feature_1,feature_2,feature_3,feature_4,target
Asian,Other,65,A,A,39.12741587244897,D,A,1
Hispanic,US,59,C,E,1.481561712260745,E,C,1
Asian,Germany,54,B,C,-11.210992524994406,B,E,0
White,India,64,B,C,71.42541493239466,A,A,1
Hispanic,India,31,A,D,81.26395684071842,D,B,1
Asian,India,63,B,D,65.67528615300652,C,B,1
African American,India,33,B,C,-119.21638331378458,C,B,0
Asian,Mexico,49,B,C,-2.4685275382984067,D,B,1
African American,Germany,39,A,A,-152.54299432060736,E,E,1
Black,China,70,D,B,-78.16656706499245,C,B,0
Asian,Other,79,A,E,67.1298573107433,A,D,0
Black,Brazil,59,C,E,-77.24344448727459,C,B,0
Other,Germany,66,A,C,210.8392312688442,B,E,1
Hispanic,US,45,E,D,-152.19862052703363,A,A,0
Asian,Mexico,52,B,A,29.36401996400031,A,D,1
Black,US,46,D,D,-1.4080551406227961,A,B,0
African American,Germany,25,A,D,-14.22232154762247,D,E,0
African American,US,24,C,C,-18.52435239364217,B,E,1
Other,India,36,E,C,5.886347119727917,D,C,1
Black,US,45,A,C,63.4552021875296,D,E,1
Asian,US,70,A,E,-38.610173168549245,B,E,1
Black,Other,50,A,C,-117.56571092458184,E,C,0
Asian,Mexico,24,B,C,-72.14896541449002,A,D,1
White,Germany,35,E,D,-82.12939942143109,D,C,1
African American,US,36,C,D,11.304776397115832,A,B,0
Black,Brazil,43,C,D,-14.913533889260162,A,D,0
Hispanic,UK,27,D,E,135.42281483427354,A,C,1
Asian,Other,73,D,B,33.01150304059712,A,C,1
Black,Mexico,28,E,C,-160.35552911726134,A,A,1
Black,UK,53,C,A,-138.42592096543495,E,B,1
Hispanic,India,21,C,A,-177.57247289416458,B,D,1
Hispanic,Brazil,76,D,C,-111.9355875744215,B,B,0
African American,Brazil,65,B,D,-169.05636956640095,A,A,1
Other,UK,72,D,B,-6.7467125415408615,B,A,0
Hispanic,UK,41,D,C,-146.0508578625936,D,C,0
White,Brazil,75,B,E,-16.31872624600072,B,A,1
Other,India,53,E,D,19.0831321423479,E,A,1
Asian,UK,36,B,C,26.570293963062642,D,E,0
Black,Mexico,58,D,E,98.95744533385844,D,D,0
Black,Other,72,D,C,-3.398893012667809,E,D,0
White,Mexico,43,A,D,133.1415484935571,C,C,0
Black,Brazil,59,E,C,-77.64137724667134,B,E,1
Other,US,19,C,B,-41.88109713468344,B,D,0
African American,US,29,A,E,24.24815874393842,A,C,1
Other,India,41,A,E,3.3497674034945577,D,C,0
Asian,China,34,B,B,128.42670287998,E,C,0
Asian,India,40,A,B,114.1120027199703,D,B,1
White,Brazil,43,A,C,153.7939957762173,B,B,1
Other,Germany,39,B,A,71.14427821647895,C,D,0
White,China,47,D,C,61.70231282902123,C,E,0
White,Mexico,20,C,E,132.4037238003097,B,B,0
African American,US,73,C,D,-64.96786097715945,E,C,0
Other,Mexico,58,D,C,118.71993779776861,C,E,0
African American,China,40,C,E,-38.09660961914662,B,E,0
Hispanic,Other,65,D,C,-36.66202981795044,E,C,0
Asian,US,38,C,C,-70.25285535875295,E,A,1
Hispanic,India,28,E,E,35.70090452971035,B,D,0
White,Mexico,66,E,A,-97.27183273581083,E,C,1
Black,US,61,E,E,19.949219201063055,D,D,1
White,India,50,D,D,81.96655844229078,C,B,0
African American,Brazil,51,D,D,-12.622901547509608,B,D,0
Hispanic,Brazil,30,B,D,-14.66362107869228,A,E,1
Black,Germany,43,E,B,157.17149317689612,A,A,1
White,Other,36,C,B,35.75034224820436,C,B,0
Black,UK,68,D,A,206.00312673625697,B,E,0
Asian,China,38,D,D,1.1407792403126038,C,E,0
Other,Brazil,58,C,D,-158.9510325489771,B,D,1
Hispanic,UK,24,D,B,70.39709925003548,D,D,1
African American,US,78,E,B,141.5921301295209,D,D,0
Black,Germany,78,E,B,-183.85362361468736,C,E,1
Other,Brazil,47,B,D,87.89081720525027,D,E,0
Black,US,79,B,A,47.52933871407124,B,E,0
Asian,UK,35,B,B,-63.608080900990174,A,C,0
White,Mexico,74,B,B,-205.24191033673347,A,E,1
Black,China,72,B,D,40.611351194646,E,D,1
Hispanic,Brazil,54,A,C,-66.81250342405323,B,C,1
Hispanic,Mexico,19,C,B,17.242182986938552,E,D,0
White,UK,47,A,C,63.52299609675438,A,D,1
African American,China,65,C,A,103.00051834463191,C,D,1
Other,US,39,A,C,83.66408637331358,B,B,1
Hispanic,UK,72,E,A,91.14418227575695,A,C,0
White,Mexico,40,E,D,-50.56523860053578,A,A,0
African American,China,24,D,E,12.0284404218528,E,B,0
African American,US,47,C,D,-85.58771274664308,B,A,1
African American,Mexico,40,B,E,143.6449093403515,E,B,0
Black,Other,51,A,C,58.36707145918395,D,B,0
Hispanic,Other,24,D,B,-35.34622101928013,E,B,0
Asian,China,53,A,E,147.67132364625047,C,C,1
White,Mexico,24,A,C,104.00740065075169,C,E,1
Hispanic,Germany,26,C,E,-28.454326582092314,B,B,0
Asian,US,30,C,C,138.78680326242102,C,C,1
Black,Germany,38,B,A,-158.9485087261565,E,C,1
Hispanic,Other,72,C,E,-3.3132770313401325,A,A,1
African American,UK,41,B,E,-97.44953752753977,C,D,0
Other,Germany,36,A,A,-80.34185321975656,C,E,1
African American,Brazil,66,C,B,269.1786363490775,C,E,1
Black,US,64,D,B,30.926160284765487,B,D,1
Other,Germany,67,A,E,-6.2454169916513065,C,B,0
White,China,51,C,C,0.7058209656769107,D,B,0
African American,Mexico,24,B,B,-78.22231409197953,E,D,0
African American,Germany,75,D,D,73.37853518590585,B,D,1
Black,US,62,A,A,94.10867118969283,E,C,1
Asian,Other,18,B,B,-73.31984995401118,D,C,0
Black,China,33,C,A,28.572357548919864,C,A,1
Hispanic,Germany,56,C,E,114.23318441748648,B,B,1
Other,Mexico,56,A,A,60.057335113459864,A,D,1
Other,US,50,B,E,125.19991834046127,C,A,1
Asian,China,73,B,B,83.06019663141586,D,B,0
Black,Brazil,74,E,E,33.20545434938469,A,E,0
Black,US,47,A,E,195.9470336133178,A,B,0
African American,Mexico,75,B,B,22.64830162589368,D,A,1
African American,China,25,E,C,186.79606242535465,D,D,0
White,US,68,B,D,257.6751739787524,C,B,0
Asian,Mexico,29,E,D,16.33209826425408,A,B,0
White,UK,37,E,A,330.8126662313637,A,A,0
Hispanic,China,46,D,E,-40.53262174292033,B,E,1
White,UK,46,C,A,-121.60084170025173,C,D,1
African American,Mexico,70,D,D,61.44532288879869,D,E,1
African American,Germany,52,D,B,55.36498868633137,C,B,0
Other,US,19,A,D,100.8247470784295,B,C,0
White,Germany,62,E,E,-209.70735586023937,B,D,0
Other,India,48,B,E,243.49527539981995,C,E,1
Hispanic,UK,20,E,E,-71.52232617107543,A,B,1
African American,India,30,A,D,61.450373459951614,C,C,1
Other,Mexico,49,A,E,41.20339439489239,E,B,0
African American,Mexico,30,C,E,-53.03535524724923,B,C,1
Asian,UK,60,A,A,-241.60159925154562,A,D,1
African American,China,53,A,D,96.24612329384072,B,D,1
Asian,Germany,19,C,A,-7.327519203441259,C,C,1
African American,Brazil,24,E,D,99.63853006628787,D,A,0
Black,UK,38,D,B,119.62622483404222,A,C,0
Hispanic,Germany,55,B,C,-49.158128876357594,D,C,1
Asian,Mexico,79,C,E,-82.459670896363,A,D,0
Hispanic,Other,43,E,E,-59.019088099726794,C,B,1
White,China,72,C,B,206.51915228484447,E,B,0
Asian,Germany,25,E,B,-41.89167184799345,C,A,0
Hispanic,Brazil,73,C,E,104.63349786423237,A,B,1
White,Germany,23,C,D,52.773314634236925,D,A,0
Black,Brazil,40,E,D,-36.79103988207835,C,B,1
Black,India,31,C,B,163.41470437281868,C,E,1
Hispanic,Brazil,36,D,B,-11.181912333653205,C,C,1
African American,Germany,63,D,D,-111.6356670209852,A,E,1
White,Mexico,61,A,E,39.949141744378316,B,B,0
White,UK,40,D,E,48.762639403391326,A,E,0
Hispanic,Mexico,44,A,D,-174.28927826592812,B,E,0
Other,India,77,A,C,-119.59638324576991,B,C,1
African American,China,38,D,E,-22.59240943867868,E,A,0
African American,Mexico,56,C,C,-133.01665022102262,E,A,0
Other,China,44,C,D,-98.85093025580424,E,C,1
African American,India,28,E,D,15.731837731865236,C,D,0
Asian,UK,63,A,D,128.50902003288795,C,C,1
White,India,68,E,C,8.47610344689073,B,B,1
White,China,26,E,C,91.92404655474384,D,D,1
Asian,UK,52,E,A,-85.93138272900985,B,D,1
Hispanic,US,24,C,E,157.99714131363834,B,B,1
African American,China,43,E,D,-190.46616795501234,E,D,0
Asian,China,75,E,E,43.17742200263047,A,B,0
White,China,63,E,E,44.838587230281206,A,B,0
African American,India,79,A,C,50.1014332359648,B,C,1
Black,China,57,E,D,155.02095821813248,E,E,0
African American,Other,31,D,C,-90.26762789953273,C,A,0
Hispanic,India,27,D,A,-29.137931563599466,B,D,0
Other,Other,61,E,A,-14.59517490361735,D,B,0
White,Other,55,B,B,32.101765022894874,C,A,1
Black,India,22,E,D,165.54833885855936,B,D,0
African American,Other,44,D,D,-78.78241020760751,B,E,0
Asian,Germany,23,E,C,237.6799579103725,E,B,1
Hispanic,India,49,B,C,-25.10604088972528,E,D,1
Black,Germany,30,D,A,-61.57215691184531,C,E,0
Hispanic,UK,21,D,D,278.1382223683848,A,C,0
Other,Mexico,22,D,C,17.656540763089318,D,B,1
White,UK,53,E,D,-38.89076961981595,A,C,0
African American,Other,47,C,A,-1.3098074591154907,B,D,0
Black,Other,72,A,C,-175.65056582378512,E,B,1
Asian,Germany,54,B,D,101.75116655797139,E,C,0
Black,Other,55,D,E,9.821607098232485,B,D,0
White,UK,58,A,D,146.56060165410406,B,B,1
Black,Germany,31,C,C,-17.16723556024623,E,A,1
White,Other,20,A,E,72.39172823134375,E,D,0
Asian,UK,60,C,E,30.09443651324605,D,C,1
Black,Mexico,77,D,D,-41.90818889492426,A,C,1
Other,UK,78,D,A,221.0197153951162,A,E,1
Asian,Brazil,44,E,B,162.10888005442513,C,A,1
White,Other,38,A,E,64.4957296468487,D,A,1
Asian,UK,59,A,A,-11.374375121019149,E,B,1
Hispanic,Germany,22,C,E,96.58777989288778,B,D,0
White,UK,72,E,D,-103.78896904534733,A,D,1
Black,Mexico,79,D,E,114.10151857952083,D,D,1
White,US,41,B,D,-15.668386839619966,E,E,0
Asian,China,42,B,D,31.14784248089388,D,B,0
Other,Other,29,E,A,107.81587549704001,E,D,1
Other,Germany,35,A,A,-85.93296304391967,E,E,0
African American,US,27,E,E,-26.30945909648603,C,B,1
White,Mexico,28,B,A,35.21170796991247,D,E,0
Hispanic,Mexico,77,B,D,-42.137119068807614,C,B,1
African American,India,74,C,B,-69.82799687916,A,E,0
White,Other,51,C,E,146.88947290869712,B,C,1
White,US,20,A,A,-42.71639606686338,C,A,1
Other,India,69,A,D,-73.73153096816914,D,C,0
Asian,India,41,B,D,-22.57438987088459,D,A,1
Asian,Other,61,D,B,-11.04654247775895,A,C,1
White,UK,44,B,B,-149.30770563971478,B,E,0
Hispanic,Germany,37,A,A,147.51609826736268,E,B,1
Hispanic,UK,20,A,A,-34.24621607944784,A,C,0
Other,Mexico,65,A,D,246.35976279162523,B,D,1
African American,China,70,B,C,65.98193809017536,D,D,0
Black,Germany,79,A,C,-110.18962366740736,D,A,1
Other,UK,61,D,A,102.68171159093917,B,B,1
Asian,Mexico,56,E,B,284.58214275808893,E,C,1
White,India,70,A,C,56.28407353230623,C,E,0
Black,Germany,33,D,E,239.71894479273232,D,E,0
Black,Brazil,51,E,C,82.37007404639006,C,B,0
African American,Brazil,53,D,B,-55.71343142959208,E,A,0
White,Germany,62,B,C,-43.39735692737514,B,B,0
White,China,58,A,A,48.04380206542705,D,C,1
Black,India,38,B,D,-22.464696217888946,B,E,1
Other,Germany,23,B,A,-132.45122889358265,A,E,1
Asian,UK,27,E,E,-51.23654151552325,B,E,0
Asian,China,32,B,B,85.4472489530756,B,E,1
Asian,Brazil,43,A,B,-159.4913818635597,D,D,0
Asian,India,77,C,E,3.8627351477017235,A,D,1
Other,China,23,C,E,-37.025289577661276,E,E,1
Other,Germany,23,A,A,22.44074757820945,A,E,1
Other,UK,28,B,D,-142.8655705125321,A,A,0
Asian,India,69,A,C,106.8036283361565,A,E,0
Black,India,79,D,A,126.4272357526937,D,A,0
Other,China,66,D,C,37.919189258117925,B,A,1
African American,India,37,C,D,-37.19472218797776,D,A,1
White,Germany,32,B,D,65.30424091393172,B,C,0
Other,Brazil,29,B,D,-161.22105052161533,D,E,0
Asian,Germany,74,B,E,-141.00625200590198,D,D,1
Other,Mexico,22,C,D,20.110082746166537,E,A,0
Hispanic,Other,69,E,B,34.229538708059806,C,A,0
Hispanic,Germany,20,A,C,-24.659607964370366,C,A,1
White,Mexico,36,E,A,175.6307445339955,A,C,0
Other,US,74,D,B,-96.31905365515698,B,D,1
African American,UK,58,A,A,73.51274965022237,D,A,1
Hispanic,US,69,E,D,-25.653178316856817,C,A,1
Hispanic,Other,52,C,A,-9.54131164069312,C,E,0
Other,UK,41,D,B,-20.44732634172614,B,D,1
Black,Germany,60,D,B,-56.4927094826774,A,B,0
Hispanic,UK,28,C,E,40.97980398544236,B,A,0
White,UK,21,D,C,89.77965954228199,C,A,1
Asian,Mexico,77,D,B,57.24156000324169,B,E,0
Other,Mexico,65,E,B,-15.477590208722697,C,E,0
Black,Other,18,A,D,95.55130973383089,D,B,0
Other,Mexico,78,C,E,34.4399795444582,E,D,0
Black,India,69,E,C,-59.31574736769034,E,C,0
White,Mexico,53,C,A,20.656977402377187,B,E,1
Other,Germany,70,E,C,-35.76964523280871,B,D,0
Asian,India,25,A,D,-35.286386461474386,D,C,0
African American,Other,27,E,A,-3.9943591932829987,A,E,0
Other,UK,42,C,A,23.565253910169886,A,B,0
Hispanic,India,67,C,D,-105.98398214925373,D,B,1
Hispanic,China,26,C,A,50.90669606082149,B,E,1
Black,Other,77,E,C,127.96296164915728,D,D,1
Asian,Germany,72,E,D,-139.58651582618512,B,D,1
African American,Mexico,25,A,A,88.21854338504966,A,D,1
Black,Brazil,59,D,B,-90.24822780234956,E,C,0
Hispanic,UK,59,C,B,-31.605443116838728,B,D,0
Black,US,60,B,E,-110.54570674846967,E,D,0
Black,Germany,71,A,C,-43.95371949635352,D,B,0
Asian,Germany,77,B,C,-24.83527007938952,D,D,0
Asian,India,65,A,E,-83.61492785392734,B,C,0
Asian,UK,36,C,C,87.15394239382658,E,C,1
White,Brazil,35,E,D,99.95861524346769,B,B,1
White,Mexico,30,E,B,66.84504038245375,E,A,1
Asian,China,40,E,C,-30.539961553390256,D,A,1
Hispanic,Mexico,75,D,E,-113.62957435015653,A,A,1
Other,UK,43,A,C,-93.06222453006401,B,A,1
White,UK,62,C,E,151.1920484921444,D,B,1
White,Other,37,E,D,-129.2582133571704,D,B,0
African American,Germany,64,A,D,66.80250446432514,B,D,1
Asian,Other,79,E,B,-110.28634947254885,B,C,1
Asian,Brazil,43,A,C,-46.44007441523638,C,B,0
African American,Other,26,E,C,-27.971112641729118,C,D,1
African American,Other,51,B,C,-70.49950679830917,B,B,1
Other,Other,57,B,A,-4.998251699784519,C,D,1
Black,Brazil,36,C,C,47.36997178988599,D,D,1
White,Other,77,B,B,147.89268132341914,D,D,1
Hispanic,Mexico,28,D,B,125.57629661353059,C,A,0
African American,US,35,E,B,256.35350497281644,C,D,0
Other,China,26,D,C,-135.4111069542377,A,B,0
African American,Germany,43,A,E,30.58776880760214,B,A,1
African American,Germany,66,A,E,-90.07302521936269,A,A,0
Asian,Germany,51,E,A,49.41146218460065,C,C,1
White,India,24,D,E,-212.51794898812958,C,E,1
African American,Brazil,36,B,C,-17.421385289419625,A,B,1
Black,Brazil,30,B,B,51.450639517480035,E,C,0
Other,US,65,B,E,-60.34623593850343,C,B,0
African American,Other,60,C,E,-23.620621248394244,E,D,0
Black,Germany,64,A,B,211.70607059569502,D,C,1
African American,US,42,C,B,22.632870430947317,D,A,0
Hispanic,Brazil,53,B,A,7.654228756611549,C,E,0
White,China,79,A,D,-125.72195105212434,D,E,1
White,Brazil,18,D,D,19.105521896305763,E,D,1
Hispanic,Germany,24,D,C,-24.526419606433702,B,B,0
Asian,Brazil,60,B,C,-43.89308234428557,D,D,1
Hispanic,UK,69,E,C,-13.657343847760059,C,B,1
White,Germany,58,C,E,222.0255242817665,B,A,0
Other,India,56,E,A,68.18253999457914,D,B,0
Asian,Germany,54,A,A,-9.74806034528429,E,E,0
Other,UK,25,B,D,-46.07145659315868,B,B,1
Hispanic,Mexico,76,D,D,248.38675185305496,A,C,1
Other,India,55,D,B,-108.16963421023833,C,B,0
Black,Germany,68,C,E,-80.57558706878145,D,D,0
African American,US,41,B,A,-117.49339229007496,B,D,1
African American,Brazil,31,E,B,40.67806928599257,A,A,1
Asian,China,50,C,D,-64.09207657265003,D,A,0
Hispanic,China,39,A,E,-13.958973057930121,E,D,1
Hispanic,India,77,C,D,191.94712184903307,B,A,1
Other,Germany,32,E,D,92.17469641497463,A,C,1
White,Mexico,68,D,C,-122.73804501137742,A,C,1
Asian,US,57,D,A,113.80790149861994,D,D,0
Asian,Mexico,42,E,D,173.42139401094417,D,D,1
Hispanic,Other,39,C,B,129.7522338256531,A,B,1
Other,Germany,23,B,A,-102.65135782042303,E,C,0
Hispanic,Other,49,E,D,-101.07877630052859,C,D,0
Hispanic,Germany,79,D,A,78.54644528926352,E,C,1
Asian,Germany,46,E,D,-1.0305004195588259,A,E,1
Black,Other,75,A,D,59.959248309872216,C,E,1
Hispanic,China,44,D,A,-41.84692328133065,B,B,0
White,US,50,A,C,-23.93664810530677,B,C,1
Black,Germany,53,D,A,-110.48219517644316,C,E,0
Black,China,61,A,B,74.65129312732365,A,E,0
Other,Brazil,45,D,A,-148.43910604790295,D,B,0
Other,India,57,A,C,-75.51145828481096,C,C,0
Hispanic,UK,59,A,D,-29.66013034833975,D,B,0
White,UK,48,C,C,-32.23561525007485,B,E,0
Black,US,72,A,B,85.70310413138347,B,E,0
White,Other,22,D,D,-168.1694860377494,A,A,1
Other,Other,51,A,A,-132.60654470189348,C,C,1
Black,Brazil,41,E,D,-193.4207602447073,D,C,1
Hispanic,Germany,75,E,C,43.08527651522195,D,A,0
Asian,Germany,50,B,A,-1.2178362721583949,A,D,0
Black,Germany,20,B,B,120.46941434453046,B,E,0
African American,China,65,A,A,-100.07888038622812,C,D,0
Asian,US,66,D,A,85.36969096010289,A,C,1
Hispanic,Other,25,B,B,-114.31347993798717,D,A,1
African American,China,30,A,D,-100.85224457787243,C,D,1
Black,China,26,B,D,-2.4515959822752507,D,B,0
Asian,India,51,E,B,-65.7361848212399,C,A,0
Hispanic,China,57,E,E,-9.687022206312234,D,B,0
White,UK,75,E,C,100.18841654366844,D,A,0
Hispanic,Mexico,72,E,E,-101.48730768060538,C,C,0
Black,US,53,E,C,152.47220686805574,A,E,1
White,Brazil,73,E,A,-72.30658284198783,A,A,0
White,UK,40,A,D,-24.510194176534785,A,B,0
Other,China,38,E,C,-112.94681491720526,A,B,1
White,Brazil,35,B,C,53.80529876293774,C,E,1
Other,China,36,A,C,-104.67334104791426,D,C,1
White,Brazil,33,A,C,10.681851701333446,C,D,1
Asian,Germany,36,E,B,-177.02998819374739,D,E,0
White,US,57,A,E,9.13470703659648,B,C,1
Black,Germany,46,B,D,74.52185203836045,C,B,1
Hispanic,Brazil,34,E,A,181.65250066275573,E,A,0
Other,Brazil,75,D,A,-37.922017872152246,D,E,0
Other,Germany,55,E,B,-12.492851975255169,B,E,1
Hispanic,UK,63,E,D,29.760601088461225,B,E,1
Asian,Germany,37,E,A,129.77322930754204,C,A,1
Other,China,60,A,E,38.7588819194384,A,B,1
Hispanic,India,48,C,D,114.81307840034667,B,B,1
White,Other,71,D,E,42.89539805452694,E,E,0
African American,Brazil,25,E,B,-142.83420071865177,B,E,0
Other,Brazil,57,C,A,246.09576694557978,B,C,1
Hispanic,China,30,B,C,46.75613849658027,C,D,1
Black,China,61,D,D,2.339679366434061,C,B,0
Asian,Germany,46,B,A,-125.5674587422785,B,D,0
White,Germany,65,A,A,45.483956260948496,A,A,1
Asian,China,79,E,B,-140.35398274775338,E,C,0
Hispanic,Germany,28,C,E,-89.96928614281386,B,E,0
Black,Brazil,41,E,B,358.3298468797666,D,B,0
Hispanic,Germany,45,E,E,-17.97177432121983,E,B,0
Black,Brazil,18,D,B,6.589028028709287,A,A,0
Hispanic,India,37,C,E,-167.99219551066133,D,A,0
Asian,Mexico,75,D,C,237.80475338694794,A,B,0
African American,Other,21,E,B,33.87709906942597,C,C,0
Other,India,32,B,D,199.72419416366316,E,B,0
Hispanic,Mexico,26,A,E,-150.33238240477579,A,B,1
Other,India,60,A,A,-115.47971769148324,A,D,0
Other,Other,21,B,D,14.400946882855282,E,D,0
Asian,India,40,A,B,-37.6253953636235,E,A,1
African American,US,76,A,C,9.39061979486336,E,B,0
Hispanic,India,72,E,A,36.79924215955535,B,E,1
Hispanic,India,46,D,A,-5.959945771666929,E,B,1
African American,Other,40,E,C,8.91634491731623,E,E,1
Black,Other,47,C,C,27.716504445758726,C,B,1
Other,Brazil,20,D,C,-107.90222708195817,E,D,1
Asian,US,67,A,D,-113.17599468448168,E,E,1
Black,India,53,C,C,81.12611678106482,C,D,1
Hispanic,US,47,D,E,55.88374239636408,B,C,1
African American,Brazil,62,A,A,-11.899502219802926,B,A,1
Other,Brazil,38,E,A,-33.178361114244545,E,E,0
Asian,US,25,D,B,96.47915793536025,A,D,1
Other,Mexico,73,D,C,12.78229633253442,B,D,0
African American,China,33,E,C,20.92718813240629,D,C,0
White,US,19,E,A,183.60245816705591,D,B,1
White,US,68,A,D,84.27271941678192,E,B,0
Black,Germany,74,D,E,111.44168570613967,D,C,1
Asian,Germany,53,B,C,75.50995175264791,A,C,0
African American,Other,41,D,A,-62.41875454660205,A,E,0
Black,UK,59,A,C,-80.54900502089941,A,E,0
Asian,China,41,B,A,-16.946699391726604,D,A,0
Hispanic,Other,48,B,B,94.40505014501689,C,E,0
Other,Other,72,D,A,-31.73797867323061,C,C,0
White,China,79,C,E,57.65352524639393,B,A,1
Hispanic,India,33,A,E,98.68387517271483,E,A,0
White,Mexico,31,D,A,141.94605466574822,D,B,0
Hispanic,Other,36,B,A,-87.6228534017635,E,C,0
Black,India,64,B,B,73.58026944625702,B,C,0
White,Germany,36,E,B,-64.92862652006065,E,C,1
Black,Germany,72,A,D,-56.62562586591452,B,A,1
Other,Mexico,22,C,C,37.756997352867,E,E,0
African American,Brazil,18,A,D,68.10807205960586,A,A,1
Black,US,48,C,E,77.1608258151031,C,A,1
African American,Brazil,58,C,A,229.69250361074512,E,B,1
Hispanic,US,19,A,D,79.30367394840138,B,E,0
Asian,Brazil,36,B,B,-174.82558615231687,A,C,0
White,Other,29,C,E,135.51849136317085,A,A,0
White,India,32,E,B,59.62952290957419,A,D,1
African American,India,63,D,A,27.938979659246655,B,B,0
White,Other,24,D,D,83.2748511135047,E,C,1
Hispanic,Mexico,38,C,A,60.10579509017606,E,C,0
Hispanic,Mexico,32,C,D,128.82808849937072,E,B,1
Hispanic,Germany,36,C,D,58.390396243600684,B,C,1
White,Mexico,43,B,C,-84.3732857835486,C,B,1
African American,Other,73,D,C,51.724536789168006,C,C,1
Other,Brazil,47,E,E,-29.433404559764014,B,E,0
African American,Brazil,26,C,B,-84.25435999280853,D,E,1
Other,Germany,40,A,C,-39.50012918853098,D,D,0
Hispanic,Other,42,B,A,-13.611040017547655,B,C,1
Hispanic,Germany,54,A,D,138.51113947622736,E,C,1
African American,Germany,19,A,B,48.355389221559555,D,A,1
Black,Other,65,D,D,-70.37350375751306,E,A,1
White,Germany,21,D,C,2.430333148954775,C,D,0
African American,Brazil,37,E,E,76.11156198270754,B,E,1
Asian,Other,65,C,C,-142.58132718396737,E,C,1
Other,Other,67,E,E,-6.315237484042578,A,E,0
African American,US,33,E,E,164.6978291103582,B,A,0
Black,India,46,C,B,-143.80088833775017,A,A,0
White,US,28,E,A,23.164469982562757,A,D,0
Other,Brazil,49,D,D,114.47737693348701,D,A,0
African American,China,39,A,E,58.04270953687363,A,A,1
African American,China,19,B,D,11.543960258184947,A,B,0
Asian,Germany,57,E,E,6.769684758819151,D,E,0
Hispanic,Germany,68,B,B,9.817894558742623,C,A,0
Hispanic,India,32,D,E,247.87172710891255,B,C,0
Other,China,52,A,B,-11.557149405567928,D,D,0
Black,Brazil,51,B,A,-26.58363519003816,B,B,0
African American,China,79,D,E,-36.65540835157943,C,D,0
Hispanic,Other,57,E,A,106.7561517255025,E,B,0
Asian,Other,22,D,C,-46.23265964170042,C,E,1
White,Other,19,C,E,-3.4848118343956727,E,B,1
Asian,UK,32,A,C,58.96899855227944,C,E,0
Asian,China,75,B,A,-159.26209651313712,D,A,0
Black,Other,79,C,C,-142.0118629214922,E,C,1
Other,India,23,D,A,115.8515678092756,E,B,0
Black,UK,56,E,D,132.42984820053155,C,D,1
Other,Germany,38,C,D,107.66460300246167,C,E,0
African American,US,54,C,B,38.065266838850825,A,A,1
White,UK,65,D,C,-91.76308238665719,A,D,0
White,UK,66,A,B,32.29939174651713,D,A,1
White,India,62,E,D,-14.69657876542736,E,B,1
Other,US,38,E,B,95.77439262935913,B,B,1
Other,US,22,A,A,24.57670186669531,C,A,0
African American,China,67,A,D,99.98274204441854,D,B,1
