veteran,gender,nation,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Yes,Female,Germany,70,C,-180.2984124903854,E,D,-57.167565081497386,-77.44191039585951,-2.8813797303499133,D,B,1
Veteran,Other,India,23,B,59.96937643273385,E,B,26.554344927465866,81.48388223172203,-80.04600499651472,A,D,0
Veteran,Non-binary,Germany,54,A,-18.071203371932313,B,B,133.99168680342726,81.89073925428738,41.760598913550936,A,A,0
Non-Veteran,Other,UK,77,A,68.700256691663,C,A,99.73997019144429,138.489440665779,64.13587276487314,D,A,1
Non-Veteran,Female,Mexico,25,B,89.17471160204688,E,C,112.2860586259167,116.98735512332614,67.11393398955661,D,D,1
Veteran,Female,US,60,A,-14.695199018986822,D,E,44.615071967757764,34.774435288493144,72.96587397624663,D,B,0
Yes,Non-binary,India,69,C,174.2111040982607,E,B,-28.856766282461084,-28.12874822621792,-114.21281516876185,E,D,1
Non-Veteran,Other,Brazil,43,B,95.9677021101601,D,E,33.28826923680573,33.554626932805654,116.71314434805777,A,E,1
No,Male,Brazil,27,D,-51.22897394933095,A,D,100.02485830183187,-18.62128274297111,-18.938611926050527,C,B,1
No,Male,UK,78,B,29.945784471576708,C,E,-51.43420394830971,-116.84491965237629,132.89646782949578,E,B,1
No,Non-binary,Other,21,B,-58.70534112500712,D,C,12.823870896007403,-22.712531940183528,11.867081084362566,C,A,0
No,Female,Mexico,30,A,235.99034048460754,B,A,59.083933007806436,-52.09344000684572,-243.1469172365057,E,C,1
Yes,M,Other,24,D,27.149786046551043,A,A,-105.73759809874596,-132.30305993926643,-154.95809420681337,E,E,1
Yes,Other,India,41,C,-33.722141604093395,B,E,97.5619281601077,3.655988330759885,42.7420516953111,A,D,1
No,Female,India,55,A,-23.119364258165703,A,B,18.683236170120143,-4.91433421573122,-85.87909466535285,C,E,0
Veteran,M,US,79,E,-26.622562067838924,D,C,-100.18586561175418,17.714457685716027,-21.339954489002324,B,C,1
Veteran,Other,Germany,59,D,166.5440636995096,B,A,-58.43270165736214,211.18157726531064,68.52727347099454,D,D,1
Non-Veteran,Female,Brazil,72,D,-141.17958642592885,D,B,-76.97454551099601,-113.26983347731895,-8.147538069811269,A,C,0
Veteran,Non-binary,Mexico,32,B,9.428683589795897,C,C,-9.6987960435908,24.725180738692757,-36.72631356664472,A,D,1
Yes,F,UK,49,D,-32.28335453582456,D,D,109.67120839743869,58.098415942717295,135.07309293864301,A,E,1
Non-Veteran,Other,US,55,C,72.62463693025698,E,D,119.71266906284998,-3.278435137949877,-114.21967641301227,E,A,1
No,F,UK,67,D,-42.192279784306855,B,A,2.096969671139816,153.965340066451,-105.74456886290452,E,E,1
No,Male,Germany,41,C,-76.56283663708903,B,A,-208.82753048547653,110.13598370627837,-49.918689771186855,E,B,0
Yes,Male,India,43,B,-29.542881886871648,A,D,-87.57835087602032,-72.1988722780959,57.457939080531574,D,E,1
Veteran,F,Mexico,22,D,-83.62585856349946,E,A,206.3558384670857,-198.43130133792314,47.12866695905325,E,B,0
Veteran,Non-binary,China,62,A,-171.95810301155333,B,C,59.78089091028382,50.06098616626124,264.6160157482359,D,E,0
No,Other,US,18,C,44.84953538902356,A,C,-111.70789469382632,317.7687167736862,-268.4823889538862,A,B,0
Non-Veteran,Other,India,53,D,-62.90595150539884,D,D,76.22990961391514,-24.91910654168704,-60.56869458173723,C,E,0
Non-Veteran,Male,India,50,B,30.689264446902726,B,A,-11.835142424010026,63.537860006367644,14.943637548643188,A,D,0
Non-Veteran,Male,China,32,B,55.164242177372614,D,E,-15.570996029811685,17.9199149733217,-101.44165182266323,A,C,1
Veteran,Non-binary,Brazil,41,D,-89.81589041843353,A,D,-113.72028237465044,48.684927911618196,112.26929898670572,C,A,0
Non-Veteran,F,US,42,E,-95.60456034883991,D,C,-113.64161107473771,338.76281125877824,-83.51315209283447,B,B,1
No,Female,Mexico,46,E,59.96560707177565,E,B,-41.53616525848809,-97.48145989973037,-113.47245451132446,C,E,1
Veteran,Female,India,77,B,-39.35126870900481,E,D,191.5464733731557,31.063947207894348,81.30593271983828,C,D,1
No,Non-binary,US,47,B,38.78177387867652,C,A,191.78829471572897,87.22384272965672,-222.19113299211875,D,D,0
Non-Veteran,Non-binary,India,32,A,-81.8638025677342,D,D,-255.08729691641489,18.270944723802444,-114.22003582835059,C,E,1
No,M,Germany,40,D,-156.48185039218123,D,B,-244.96852047346223,-90.81919502990583,-28.297965784028506,E,A,1
Veteran,Non-binary,UK,68,C,81.49857727458367,B,A,76.79807525664911,2.0940884439033356,88.08433261531717,C,E,1
No,M,Germany,43,E,46.80320217848932,C,E,140.62809009189573,54.71701251881706,-133.1883338182265,C,B,1
No,F,China,30,A,-21.57239478259239,E,C,107.35339409016684,8.669414530469064,122.08818499272796,C,C,0
Veteran,Male,India,55,D,132.44417600286081,C,B,31.255463245411747,75.27074566326907,-188.28164441202577,C,C,0
Veteran,Other,US,20,B,16.171157304479785,E,C,-174.07054849476606,-18.67101381045715,-131.75973648166357,A,B,1
Yes,F,India,29,D,73.13011569178413,C,C,-74.62538213332263,-98.77060147214316,98.09591457041222,E,D,0
Yes,F,US,56,D,-69.83441117969392,B,A,-36.53079703275704,-51.602080161557474,-105.84112588986767,C,E,1
No,F,Other,79,D,-27.507558135059153,D,A,-71.1496256396423,-19.92919536289165,-128.82480906924684,D,A,0
No,Other,US,44,C,41.7440727472987,D,A,25.513228980934333,165.05325981452418,-34.60234200951075,B,A,1
Yes,Non-binary,India,27,A,89.27911471227561,A,A,-80.93905454630568,167.95970795078114,83.4790277685993,E,C,1
No,M,India,41,A,107.79023555411338,C,C,116.63201177370597,96.71673856864368,-113.90524792909626,B,D,1
Non-Veteran,Other,Germany,23,C,33.30409640253553,D,E,-58.02554769961198,194.34103960328338,-5.358507069636119,C,B,1
Non-Veteran,Other,Mexico,54,D,141.5444806557036,B,A,146.51930993748218,71.89158134846303,-196.51381511573683,D,E,0
Non-Veteran,F,Other,56,A,60.68526044720396,B,C,-65.74879683054016,-260.80461348106724,-67.88726870710622,D,E,1
Yes,F,UK,62,D,39.46877269454897,C,B,-103.88541098362367,1.5923417480335982,-93.99328135856717,B,A,1
No,F,UK,79,B,15.093297087386365,A,C,-29.94561554004269,-105.8987767946911,-108.47408426273321,B,E,1
Veteran,M,UK,53,A,-105.76241050945075,B,A,70.81325382162362,109.46166822469068,85.95841110052339,E,E,1
No,Male,UK,32,D,-60.1692410143265,A,D,69.92653796193645,-95.15638283208469,-103.1949847049353,D,E,1
Yes,Other,US,58,B,-178.54739198201466,E,D,118.40002876676046,103.82750230674951,64.76830628037182,E,E,1
No,Male,China,26,D,-153.3561400760836,A,A,-0.009827140809956355,127.8361254690436,85.92483026845753,A,D,1
Yes,Female,Germany,63,E,56.392838971893354,C,A,-24.730422092328027,61.99200217171281,12.41301310575476,B,E,1
Veteran,M,India,19,D,-95.99029741977562,D,E,-69.1429262100924,67.45343919756186,71.1837237459273,E,C,1
Veteran,Male,China,56,D,-46.98798194977423,A,D,123.32011826905229,94.12906304399986,152.70336130621263,B,C,1
Veteran,Non-binary,China,18,C,-20.652075626046756,E,D,-214.3394750378479,-154.5117970166196,-62.06072926821714,E,A,1
Non-Veteran,M,UK,49,B,-43.61815609961738,A,D,-26.028275666836215,112.26071739095022,104.99570194774121,B,C,1
Yes,F,Germany,68,B,-97.38369790661814,E,B,-32.00689961118011,154.70470780831357,-93.00602029824867,B,E,1
No,Non-binary,China,25,D,3.6335931801976273,B,C,99.1513589386145,-85.73106169769356,-189.07541192979915,E,A,0
No,Male,UK,75,C,-3.610396096506278,A,B,-76.37458061046895,-169.99745466506212,105.38577885902896,E,B,0
Yes,Other,Brazil,55,D,68.80665133879184,A,A,-113.2941918814485,-64.11588029432815,43.812137725334686,D,A,1
Yes,M,UK,72,B,-92.79039821438721,A,D,-134.46592198160553,-41.352362549288394,152.18170827988007,A,E,1
Non-Veteran,Male,UK,40,B,114.16556051392719,E,B,32.91179821622418,136.94741659490333,46.815423067831944,E,E,0
Yes,Female,UK,34,D,253.44511437188598,C,C,-115.07467938549777,-58.59136587803862,139.10454824834056,B,D,0
Yes,Male,China,38,D,48.49138247520552,D,A,-42.78601685729059,0.41258039352892273,18.196844571331887,B,A,1
Yes,F,UK,54,D,58.20678208638699,A,A,198.8149044013589,-99.46321499748711,101.1829807092352,E,B,0
No,Male,China,65,C,35.84610764419768,B,E,115.25440353395733,-198.67546510173077,-31.017963028887213,A,A,1
Yes,Male,UK,38,D,-139.3445147769009,E,E,54.58387231924024,-153.6820739310563,-2.381195284314172,A,A,1
No,M,Brazil,42,B,-87.3400495446754,A,C,17.741383196612592,-14.302032987029165,-272.07936326491205,B,D,1
No,M,Other,27,B,176.83395858816812,B,E,-74.37103762196283,130.68440270199,26.18136322528162,C,D,1
Veteran,Other,UK,63,E,46.09904693547808,E,E,88.18573383378946,-93.54958872523324,-37.868674122222004,B,D,0
Non-Veteran,F,Germany,24,B,124.710558097184,A,B,-108.83427412655831,61.66575511946694,95.79006148364235,A,E,1
Non-Veteran,Non-binary,Brazil,63,D,-65.85979889141419,C,E,53.441643381566806,-117.0231326235099,-100.39156464407708,C,B,0
Non-Veteran,Non-binary,US,49,E,-1.0298181616396356,E,A,-6.96114845728808,56.48267016401138,-7.227154889656556,E,B,0
Veteran,Non-binary,Other,39,B,19.06078874250316,B,C,-106.60104340904566,90.23989621236663,-75.93603447345971,B,E,1
Veteran,F,US,29,A,77.80349839709476,A,B,7.251773133823552,146.39778734212996,-74.5736131692422,B,B,0
Veteran,F,Other,20,B,-204.7634593897842,A,B,118.66917060038998,247.85651352431051,51.12332373828777,B,E,1
No,F,UK,32,C,28.053625835997714,B,A,32.10953828836512,61.0658139530635,101.00510441779925,D,A,0
No,Female,Germany,25,E,23.036056950902278,D,A,115.91188399899504,24.288958853954547,121.13462461981132,C,E,0
Yes,F,Germany,53,D,-59.46102388453164,E,C,21.634873922020574,-105.48275125738735,101.08656179654145,D,C,0
No,M,Other,22,D,-53.65955064336853,B,D,132.71391713698887,21.26946642639175,112.58951718324768,E,A,1
Veteran,Female,Other,22,A,-61.29500545466172,A,B,-35.29788657386054,46.40178717668362,61.051884245463306,D,E,1
Yes,F,UK,60,A,198.7902641067765,B,B,22.072531447838767,48.75331777982215,-185.48272856350107,D,E,0
Veteran,F,UK,67,E,27.514470485513105,D,E,66.22634601205625,-166.88568327125813,54.46423217174977,A,B,0
No,F,US,70,A,88.53175158533733,D,D,-28.91382488719789,-25.896012368912114,-41.54807550722528,E,D,0
Veteran,Male,Brazil,30,E,16.81380811815176,E,A,-64.40014211429246,2.547477727447917,-20.287270175400558,A,C,1
Veteran,M,China,22,A,-101.23413999531525,B,E,82.96664337428939,135.2572511783266,-51.90787273769419,C,E,1
Veteran,F,India,30,A,20.861116077028573,D,A,-220.15188433027143,11.041448451607593,53.6939056794897,C,A,0
Non-Veteran,Non-binary,US,47,D,124.10265730648165,E,C,-45.614264158770254,147.07026390056785,106.47922598767501,B,A,1
Veteran,M,US,20,D,127.03755206148386,E,C,76.08275344277918,-82.54253761735607,-42.15192591609423,E,D,1
Veteran,Female,China,66,E,-11.866314369521788,C,E,135.5273632243159,-24.65666392556029,-15.623705084429865,E,D,0
Veteran,M,Brazil,61,D,82.65623399354375,B,D,51.89384648422687,11.550969267530881,79.36913775304588,C,D,0
Veteran,Female,Germany,40,B,125.27054933124472,A,D,47.35464905069467,-90.2076308232394,105.07058270861538,E,A,1
Veteran,M,Germany,24,D,40.80631520653101,D,A,16.41914130729877,-104.17039570672324,222.04804629194962,B,E,1
Yes,Other,US,66,B,86.19400601594171,E,E,53.32197103534286,71.8171135172244,87.4486773569241,E,D,1
Yes,M,Germany,59,D,-11.173612922631715,E,D,24.149304732107332,166.82303198722065,94.00065034548616,D,C,1
Yes,F,China,45,A,-2.730754709425356,B,C,-53.978134399563295,4.528779431174621,-41.385846148159885,C,A,0
Veteran,Male,Other,41,C,225.11047622548813,D,D,46.744354204519276,-105.91573711808286,108.3809030527081,B,C,0
Yes,Non-binary,Brazil,72,D,21.32510167215715,E,C,132.42244718874997,-18.235730940510024,124.0836158366995,C,B,1
Yes,F,Germany,29,D,40.45371339149989,C,D,-187.0728592097898,118.87921832255176,91.60463508219094,B,E,0
Veteran,M,Brazil,58,E,-169.12706617984946,C,E,-38.9080924094945,-88.96329078035863,-13.498223250683852,D,B,1
No,Other,UK,75,B,152.3414137607511,E,C,89.1728708560103,15.972579700698628,-58.411773553391164,C,C,1
No,Female,Germany,32,E,123.53507535161816,C,D,185.48451018425655,106.14260899573173,79.4595400487161,D,A,0
Veteran,Male,India,64,C,29.012162759652043,C,E,103.63313170526737,137.5464593417151,42.43598039153129,C,E,0
No,Female,Brazil,19,E,153.51820833622486,D,E,-18.770129431299473,64.41855002306957,154.78020865205605,A,C,1
Yes,Other,Other,33,C,20.96301362611509,E,D,66.12859751025387,-218.42756504298927,43.91544884775288,C,A,1
Non-Veteran,M,China,47,E,-42.92616165735683,A,B,-107.90350883228965,43.21370365306788,58.12502911739307,B,E,1
Veteran,F,US,65,B,167.08676222434312,B,D,-66.76112240939294,-34.31458030199458,86.44673214289875,D,A,1
No,M,Germany,53,C,87.03772758572605,A,B,117.02611813264674,-90.86914175173611,26.951534263964167,B,E,0
Yes,Other,Other,35,C,-46.67617802076267,C,D,-141.5347213240163,50.42070640983243,-177.13879138793885,C,A,0
No,Female,China,44,C,112.11082407574492,D,D,79.65770917007869,134.9098812581523,-129.0557090601159,B,B,0
Non-Veteran,Male,India,63,A,-62.27552283180662,E,E,115.11774294736117,56.30692594436708,-23.853491122366624,C,B,0
Veteran,F,Brazil,63,C,-87.23755450572351,B,A,-45.800760396654994,-23.12924946229584,21.786514989304266,D,C,0
Veteran,Other,US,65,C,-34.46846454289441,C,D,37.49958235067449,-57.98936502396062,-8.605632518827708,C,A,1
No,Female,China,47,A,-182.8666004499587,B,E,131.14937163304688,-56.184080431989905,26.82501247940961,B,B,0
No,M,China,35,E,35.12217103629626,C,A,-25.472789111099704,-76.91633904607116,135.26977760101698,D,A,0
No,M,India,49,B,-45.28672938092994,D,B,31.93117991895408,-120.92305530949581,-185.89430702195534,B,A,1
Non-Veteran,Male,UK,47,C,213.6943236992815,D,A,28.76650067227166,-89.70087018713191,153.16525045007063,A,A,0
Veteran,F,US,30,E,-12.009138742519813,B,C,-105.72293889509751,-97.34235273206066,75.18962766955917,C,E,1
Yes,Male,Mexico,40,D,168.05377631714265,C,D,-21.449112262972253,-6.216987977640538,-69.94851717744322,C,B,1
Yes,Female,Mexico,38,D,-35.36144125648085,B,D,56.56848573116173,13.125637957838357,-129.68591126982145,C,D,0
No,Male,US,52,D,-101.08811469221443,A,E,-211.30542135134016,-10.823479446284079,-64.6156902839029,B,C,0
Non-Veteran,Female,Other,30,B,-121.56568507453231,C,E,-64.95416334426872,-75.19932147650546,124.06415532610941,E,B,0
Yes,Female,India,63,A,-17.783278905165734,D,C,3.800941973605564,27.588248293659706,153.9641562791102,C,D,1
Yes,Other,Germany,50,D,284.7333512120079,D,A,98.20115571457089,21.34168410862686,-130.5598754730297,C,E,0
Yes,Non-binary,Mexico,37,E,55.09093311561423,C,E,-72.58077197767884,-177.73142123384815,-207.51648279281153,C,C,1
Veteran,Male,India,64,E,58.26718637943746,A,E,19.702044554858485,-13.704260401040772,-360.0430732773616,E,B,0
Yes,M,China,79,C,41.19422499334637,B,B,-26.561430370909633,45.57484432349343,41.70055825256982,B,C,0
Non-Veteran,Other,China,20,C,73.44792870942433,C,A,-46.35302257173877,143.4413100509983,167.41020276378302,E,B,1
Non-Veteran,Other,UK,73,B,76.15533067485902,E,C,68.4204171134018,-69.65429603546926,18.82693910116778,A,E,0
Yes,M,Brazil,29,E,59.33736281574221,E,B,74.66049566136381,26.119522918932358,-39.92645219481655,A,B,1
Non-Veteran,F,Mexico,27,B,-135.36482516791523,D,A,-210.4648838862938,187.93390348316504,85.88351839358083,B,A,0
Veteran,F,Mexico,70,B,-117.48792112939843,C,C,-128.3699797752574,93.42586037230429,35.9896173866254,D,D,1
Non-Veteran,Male,Other,77,C,28.07746955632525,B,D,169.66564747743814,-7.2781132880551604,113.2259460376738,B,A,0
Veteran,Female,Brazil,30,A,117.06922152847432,E,B,-227.54590568435597,3.3730420721767658,73.32244703017757,C,B,0
Non-Veteran,Male,Germany,40,A,-55.19632942914379,E,C,137.92044851528985,91.42741451382426,-99.06655227527936,D,B,0
Veteran,Male,Germany,25,D,-220.02661611603446,E,E,1.1169779023488202,-47.755961685891755,9.561088975300908,A,B,0
Veteran,M,US,55,A,14.336543862694743,A,E,47.63198970114929,86.33993040273383,99.76774151354968,C,A,0
Veteran,M,Other,56,E,2.147648619854611,D,A,-80.89371002859752,-61.50373159638761,25.152097995042183,E,C,1
Veteran,Male,Mexico,51,B,102.04797476816813,C,D,-107.65980986554801,-31.942302275936424,1.3996031878932207,E,D,1
Yes,M,Other,33,D,-12.327579296848983,D,A,-42.41146571865082,242.80883654859386,-8.044696427504515,B,D,0
Yes,F,China,24,E,14.775938550096543,C,E,49.50187759225802,-69.30613671258413,-132.81614133107286,E,E,1
Non-Veteran,Non-binary,Mexico,23,E,47.05188792438473,A,C,54.36652445365409,-32.26625185945874,-92.64322682167511,A,B,1
No,Other,Brazil,22,A,112.92412778430541,B,E,-2.8333229150581554,-59.320233917144904,70.32629270962974,C,C,0
Non-Veteran,Non-binary,US,51,E,-51.65086655920581,E,C,-157.89875068983653,150.5672997450745,26.11212546965867,A,E,0
Yes,Non-binary,US,55,B,-42.60699751167266,E,A,-29.482206090962194,-147.74827283488793,-2.440353894560713,B,C,0
No,M,Germany,65,B,-46.05595218884767,E,B,152.71376323247725,-59.278911944539246,72.88658131168421,A,C,0
Yes,Female,Mexico,20,B,85.5745154883509,B,A,-127.52109285119653,196.09052841639667,2.887733795584564,A,B,1
Non-Veteran,Other,Brazil,45,A,-187.52135364815925,E,A,-153.9671701563886,-30.802674870025214,2.6678614632308637,D,E,1
Yes,Non-binary,India,63,D,-271.7897211193811,D,B,81.9410848861951,-141.85371734640202,123.48933749277846,D,A,0
Veteran,Other,China,36,D,-67.6351049004507,E,B,-133.94567043980484,32.36653457788183,29.76702653547536,B,A,0
No,Other,Brazil,62,A,9.12032820326586,C,A,18.839677811501225,-161.12736089957937,-81.30212024445662,E,C,1
Non-Veteran,Non-binary,Other,46,A,99.29925411781053,D,C,-27.103234738014436,117.37000967513896,-105.8205246736459,B,A,0
No,F,UK,22,E,-5.291095499491558,C,D,-125.74431764759899,-47.58451447620962,124.73719359579387,C,C,1
Veteran,Female,US,38,E,-37.57561732973534,C,E,62.2506582276933,-46.29649993907825,117.44866825354312,B,A,1
Veteran,Male,Other,59,D,7.779311313206834,E,A,36.78903741836902,-47.743617245705664,-34.87528497388679,A,A,0
Veteran,Male,UK,68,C,-27.343646114143706,B,D,70.44004467816545,-27.437614237041252,92.8871853582108,E,E,0
Yes,Male,Brazil,79,E,89.27369266006353,E,C,167.2797775840759,-9.732579313776297,103.8531288621559,A,A,0
Yes,Female,Brazil,76,D,-25.94094498558882,C,C,-73.79507586453964,-110.42000003646726,64.64397486317503,B,E,0
No,Non-binary,US,34,A,-1.5454593926897444,C,E,-156.33822201497762,61.91586379065437,251.0556695733291,B,D,1
Veteran,Male,China,38,E,-70.35097653028762,E,A,-18.094799062622453,45.89314347528868,-160.28499505483657,C,D,0
No,Male,China,30,D,-138.3686661232291,E,A,-109.13083463293063,-35.507110435254184,-204.8256535530336,C,A,1
No,Male,China,44,E,67.04042978274809,E,B,-156.70148192161835,32.48915161852068,-62.82435976393638,D,B,1
Veteran,Male,UK,19,C,-74.86377802258642,B,C,130.9803327275418,-91.90084223120391,-139.36622522835324,D,C,0
No,F,Mexico,50,E,-141.02620361753344,C,D,-71.8965229625532,56.634771186267976,-264.2924590042932,D,E,1
No,F,US,62,E,155.53440132280699,D,D,-251.25100708853364,-25.686562467709408,10.091782605058825,D,D,0
Yes,M,China,72,E,140.30969400208738,C,B,119.8531113252321,-7.023428295609134,97.40310311870421,D,D,0
No,F,US,52,C,94.1043295815096,C,E,105.58751020523252,59.72261231787325,-42.215433466646076,A,E,1
No,Other,US,21,D,47.90509755888145,C,D,96.10274664624153,-81.6218108495884,140.85361536477575,B,E,0
Non-Veteran,Other,Brazil,71,C,15.477642282283611,E,C,-119.02752062072307,9.235385340687952,-143.72990162726694,B,E,0
No,Other,China,56,E,27.38816283647121,B,C,-132.73203907454945,-38.194702799447036,-48.24729657571651,C,E,1
Non-Veteran,F,India,52,B,-66.96024172527166,C,A,-29.31124724471143,-187.77476598788178,47.12059033324868,B,A,1
Non-Veteran,Other,Brazil,65,A,39.627966293294506,A,D,-99.28990496534337,146.20165875032646,12.094316673114237,E,A,0
Non-Veteran,F,Brazil,74,A,94.03728490355118,B,C,145.61604168460397,14.900157126297925,-18.375890922960647,D,A,1
No,Non-binary,US,54,C,34.12827349814317,C,D,215.16776659526235,-52.69353567578191,-124.84629641213141,C,B,0
No,Non-binary,UK,20,D,55.11308454023642,B,A,-93.59318703181398,96.86579872254164,-46.05648062386729,A,D,0
No,F,Mexico,28,C,-87.63187482342427,D,A,-8.787352192006086,9.621083816187161,30.21578516643033,D,C,1
No,Male,Mexico,53,D,54.31015739344341,D,C,51.093229491159775,-54.21889397641485,64.91469751609907,E,E,1
Yes,Other,US,37,C,79.69817253931124,A,D,123.74251321526077,43.906014947908915,11.521315333720649,E,A,1
Yes,F,UK,40,D,-49.51805992894607,C,B,17.793663620538812,68.8289133462529,-63.128713230151845,B,B,1
Veteran,Female,Mexico,65,C,-20.936141568491465,B,E,35.290153520123816,-73.00162001442709,188.0340466889878,E,B,1
Non-Veteran,Male,Mexico,71,C,-90.09910301993317,B,C,-54.81913333155347,130.16944687381962,-7.371812656688208,A,C,1
Veteran,Female,India,18,D,-87.11503638199572,A,A,13.945757774823916,-79.74343362152224,-84.25602125720395,E,D,1
No,F,US,52,C,-61.21054631872751,E,D,19.927362941139005,-146.9057205601497,-164.37403997484142,B,E,1
No,Male,Mexico,22,A,22.763056912660897,C,B,149.0693961719338,7.451713239195039,-36.24775351433402,E,B,1
Non-Veteran,M,China,35,E,59.379441915502326,A,E,-207.62599594991903,119.00949358734198,110.60855321244179,A,D,0
Yes,F,Other,52,A,-245.33949185421994,D,C,137.18238000481634,88.47467732531408,107.80490350309174,A,C,0
Non-Veteran,Male,US,25,D,89.1450941888557,C,A,-144.35733286817737,-100.24502997947695,130.21951140748445,B,C,0
Veteran,Other,India,19,E,-10.170260635484025,C,E,-10.771446502964297,-47.87390359560077,71.55332097553554,A,B,1
Veteran,Male,Germany,54,E,14.024584459980824,C,C,-48.83731894987081,37.88800488270606,-97.37995510138231,D,C,1
Veteran,Female,US,72,C,166.3372948334138,E,B,-83.42843119299968,-104.42247818624102,53.01170099946114,E,C,1
No,M,India,24,A,17.80722471382667,B,A,89.01486368896953,-50.460217964162155,19.3783200289785,A,A,1
Veteran,Female,Germany,72,A,63.769860321050196,D,B,181.9997813229683,41.61117134630215,35.341123439066294,D,E,0
Veteran,Female,Germany,66,C,144.95689956071672,E,A,111.0796242177321,65.51981012811063,-214.818192469182,D,D,1
Veteran,F,Germany,57,C,68.16542423223692,B,E,3.6799582672102926,-58.300293645017035,-129.60413957760275,D,D,0
Yes,F,Germany,28,A,-97.25743417084362,C,A,-47.85928034611956,-278.40123584756356,220.92174291272838,D,C,0
Yes,M,Mexico,40,C,39.4680956929221,B,A,-13.872369636456453,67.56201934865263,-69.92459533790573,A,E,1
No,M,Other,28,D,91.66497696476603,D,B,-36.49185653064914,-53.783554473610884,25.39048601055734,E,A,1
Non-Veteran,Male,Germany,56,E,10.681930726053364,B,E,-72.74396884806133,-64.59117772442472,-218.8613433037741,B,C,1
Yes,F,US,48,D,171.43252531384044,A,D,20.922715087397993,-10.604799037911942,306.1552004267263,E,D,0
No,Non-binary,Germany,49,D,-124.0663806312329,E,A,-122.89207516950593,-40.88906425268671,140.77340994373648,B,A,0
No,Non-binary,Mexico,45,E,37.054202396294656,E,C,-59.24229228636094,224.9314996684542,14.324815748664152,E,C,1
Non-Veteran,Female,China,24,D,-100.02382860352537,A,E,-96.99902839862747,145.62684942914612,29.36346870953313,A,E,0
Non-Veteran,Male,China,76,E,-65.23046435366781,A,D,-42.32580081977305,-108.83467995906966,-58.04177102024656,D,D,1
No,Female,China,62,D,21.291667369754943,E,E,13.949434989779688,6.227109348491156,-38.13087268713082,A,C,0
Yes,Male,Germany,78,E,94.52299642866979,E,E,-39.83075869087381,-126.81674433515691,9.741707961188457,D,E,1
Non-Veteran,Non-binary,Brazil,61,A,30.25323815393401,B,B,9.910909112831458,-10.711663719494142,-135.45741935431167,B,C,0
No,F,Germany,39,E,104.15409571587324,B,D,-76.74247654832041,-113.0667989763326,-31.516038409862585,C,C,1
Yes,F,US,76,B,106.97378286898436,B,A,165.91940632886872,-23.76772598335482,-112.89824813543731,C,A,0
No,Non-binary,Germany,44,C,123.575315558837,D,B,31.93456163070415,-61.016689248398336,-148.4903616166755,E,B,0
Yes,Male,Mexico,75,A,-58.19104054859464,D,C,-143.907577323208,42.95260843568808,28.73262622019682,C,C,1
Veteran,M,China,79,E,-52.9132311038312,D,D,82.93221724245548,57.08869629861157,40.62866421700762,B,A,1
No,M,Other,35,C,29.228241329185106,E,D,-83.54928292456908,-125.18232387149986,94.2068360901822,B,D,0
No,Other,UK,33,A,11.204068597298624,D,D,-79.9495416993058,127.3636781244021,31.353647389456263,D,A,0
