religion,Veteran,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Jewish,Veteran,Married,-77.42690704137625,B,71.45223160226503,D,19.796707896846854,E,E,E,B,102.0608631568825,D,0
Buddhist,Non-Veteran,Divorced,-121.32804844654234,E,-80.55905254053933,C,73.98530258484844,B,C,C,B,0.08874106403802619,D,1
Other,No,Married,-51.81732805528072,D,-229.87191578572902,C,93.68258993920402,C,D,C,C,-138.72318932968744,E,1
Muslim,Yes,Widowed,238.26205696717807,B,68.31081517175845,B,-191.92846573578888,D,B,D,A,32.34986874637565,B,0
Muslim,Non-Veteran,Divorced,-112.15391271766867,E,13.420839660784429,C,38.54948859213601,C,D,D,D,314.1082713657551,C,1
Christian,Veteran,Widowed,165.1693196806872,B,-17.018324544616846,A,274.6828016169572,E,C,D,B,-176.71337257180969,D,1
Hindu,No,Divorced,67.4562934466553,A,171.78718265829704,B,154.39733713069438,B,D,C,B,-88.94045288202886,E,1
Hindu,Veteran,Single,129.78139922989817,A,-113.74635049221257,D,78.67741541341731,B,D,B,E,-51.88151377270195,A,0
Other,No,Divorced,-28.93896349211188,E,-197.6022486758347,B,71.68763966873162,C,C,B,C,96.09867398695583,E,1
Buddhist,No,Divorced,27.177735633365597,A,-32.17345662440734,A,188.75805724424436,B,A,B,B,252.16592280395363,E,1
Jewish,Veteran,Married,-176.16415681836116,E,9.96238704031032,C,-47.9268128962173,E,A,A,A,101.88293766616854,B,1
Christian,No,Widowed,46.349588105347586,E,36.51951116896957,C,46.75060111937606,E,B,B,A,-2.32045548893669,C,0
Christian,No,Widowed,-189.71192774601315,A,-48.532487965212376,C,-102.61791649381482,D,D,B,B,145.23470215954032,A,0
Buddhist,Veteran,Widowed,218.28724566148554,C,40.10676156398764,D,-26.370664663775102,E,D,E,C,-72.48284069366396,D,1
None,No,Divorced,-9.103647773733478,C,64.64857547009593,B,34.476926380383844,A,E,B,D,-81.98190793668299,E,1
Buddhist,Yes,Single,-38.38497209497105,A,48.95891884298618,D,-3.8507664931843646,D,E,B,E,-4.516656032408797,A,0
Jewish,No,Married,-16.346661039703,E,-29.578318709250418,D,-73.85356322536614,E,E,C,B,-40.144949910829666,B,0
None,Veteran,Divorced,-22.20296862395093,B,-76.61032524624638,D,1.1717016512467253,C,E,B,E,393.03526292064277,D,1
None,No,Widowed,30.139456472680493,B,-68.3079910318569,C,28.725190077263434,C,C,E,B,-42.65584401128292,E,1
Christian,Yes,Divorced,-106.20453450112595,A,121.03818514462614,E,-116.25483416540474,E,A,E,D,203.83945008193177,E,1
None,Veteran,Divorced,88.26416553101481,E,33.542671186655134,D,28.98797243673597,E,E,A,C,-48.64010634060501,B,1
Other,No,Single,138.0751081532759,E,125.12540258069176,C,77.24385261357983,A,D,C,D,-4.976837204055435,A,0
Jewish,Veteran,Divorced,34.50254805938798,E,-77.3113183300089,C,-44.83678602989421,C,E,E,D,144.54251784848634,B,0
Hindu,Yes,Married,-142.4835535034801,C,78.58832738253915,D,-21.219040475788987,B,B,B,E,-130.41810761343987,B,1
Jewish,Yes,Married,-59.275541781126485,C,20.707641413437685,A,-137.64113937395294,C,E,A,D,127.47004257731356,A,0
Jewish,Veteran,Divorced,-112.2492032123082,D,-49.907048032715615,C,52.94984205387656,E,D,B,C,67.80125581995551,C,0
Hindu,Non-Veteran,Married,-84.4624669783322,B,-11.448482224586302,E,21.630412602887862,C,D,D,B,-9.165230528176327,D,0
Muslim,Veteran,Widowed,13.776361852133212,B,162.2778544542844,B,65.2607484920274,E,B,A,D,6.618708647580708,D,0
Hindu,No,Divorced,-149.0885485943977,B,-72.40584337423762,C,-10.014349606457593,E,C,D,A,-62.94769443910465,C,0
None,Yes,Divorced,-61.59762573387923,D,186.20926550215816,A,69.3753251550706,B,A,E,C,-79.08807939714613,E,0
Buddhist,Yes,Married,-99.78248753776215,A,-65.93722496807344,C,131.49397112840643,B,A,C,B,-47.259221735355844,D,1
None,No,Single,3.297951063166586,E,26.838863379559058,A,16.986463626219454,A,E,E,E,-36.28270293014896,D,1
Buddhist,Non-Veteran,Single,-89.99875155971728,A,116.45117431906029,A,104.02486004424658,C,C,C,B,26.866885272353535,D,1
Christian,Veteran,Divorced,74.44760109596585,D,-89.4446213898401,D,9.410625395734193,D,B,D,D,62.288615927015435,B,0
Other,No,Married,-171.96842084903656,B,-95.12280463109455,A,50.10238095226443,D,E,A,D,226.4745145620647,A,1
None,No,Divorced,53.7400967594111,C,112.69532183399534,E,-60.93963088250405,A,D,D,A,-80.0991005456267,B,1
Other,Veteran,Widowed,55.17409248337087,D,-96.15906380081233,B,-145.36987139942576,D,E,B,C,130.09482970665053,E,1
None,Non-Veteran,Divorced,-155.94762756655277,A,12.066288514219629,C,89.46783850957111,B,C,C,D,-73.33640493789136,A,1
Christian,No,Divorced,-93.32210542887931,D,-33.71836548177812,E,159.10846071093934,A,C,E,A,-5.758294880044799,E,1
Buddhist,No,Widowed,-85.06987025439678,D,-284.60128168551336,A,-54.29175619263591,A,C,C,C,19.273139138601458,A,1
Jewish,No,Divorced,-0.7166218965688773,C,-107.46851980287597,E,152.2073218656058,D,D,E,D,-91.81399602378755,D,1
Other,Veteran,Divorced,-62.956264790661265,E,41.111941174195245,A,114.24605433812177,A,D,B,B,14.920702923886703,C,1
Other,No,Married,217.740186366941,D,-3.6470209839921623,C,-11.084886208956453,C,A,A,A,-185.05580221823536,B,0
None,Non-Veteran,Single,-213.98686063755292,D,64.04805591256245,E,64.13007414918191,E,B,C,A,-8.36547307847689,E,0
Muslim,No,Divorced,8.690617567930193,B,-29.59553603144479,A,196.34602683836818,C,D,D,E,51.98466894925395,E,1
