religion,sexual_orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
None,Homosexual,Both,65.87882800933696,D,C,E,-90.03323514115964,179.98122898665906,D,E,-72.94455363540963,-103.64268321857165,B,B,D,0
Muslim,Heterosexual,No,14.164404676817286,E,D,C,-92.54734712414401,29.795225225853905,C,B,188.35277320205017,-88.95023059147793,C,A,E,0
None,Bisexual,Yes,89.45569344124465,D,B,A,139.173571082204,137.30416522545005,A,C,103.55490993134143,88.95960799781587,D,D,B,0
Muslim,Heterosexual,Yes,-80.88582974293126,B,D,C,-22.242306356318345,15.63985058297786,A,C,-90.3149763658235,167.43533622731778,A,A,E,0
Christian,Heterosexual,Both,-63.11435491416867,E,E,D,-29.479711088502263,-9.945520340186901,D,E,-44.421992232402445,-143.70513726963853,C,C,A,1
Jewish,Bisexual,Yes,-112.23763657915016,A,D,A,122.88886213593557,103.66094038147497,A,C,65.3628051939287,77.34952211250454,E,B,B,0
Muslim,Homosexual,Both,77.20812146615782,B,B,A,-21.15383920106394,35.09983362237759,E,C,43.58137674388176,35.62819471527032,D,D,B,0
Hindu,Homosexual,None,-62.34138663613841,C,D,C,107.78393084702329,-4.522824006818157,E,B,66.2913784166584,124.03037276949318,E,B,B,1
Other,Other,Physical,35.85738209901103,E,A,E,-199.8894447306205,-114.62555766951941,B,D,30.85465871532585,8.767323265745228,D,E,A,1
Muslim,Heterosexual,No,11.491122290427066,B,A,A,-47.5861041664008,17.510296183448496,C,B,-122.2574084409032,-154.8157376127591,E,B,C,0
Muslim,Other,No,-67.09394403054576,D,C,A,158.78070489944264,-138.72316220826482,B,C,-38.83736757067495,-51.24943551944761,E,D,B,1
Jewish,Heterosexual,No,146.34504764451557,E,E,C,116.2361390399421,50.49537505681009,D,B,66.29080596175444,197.2209860066458,A,C,A,0
Christian,Other,No,-180.6134149016303,C,D,D,6.092313434024653,50.86982480618616,B,B,127.49808965111222,-103.18358173508413,A,A,E,0
Muslim,Homosexual,Yes,103.31736239317743,B,A,B,38.604600675260606,185.53789540052958,B,B,-169.31795951167413,52.672149408646185,C,A,D,1
Jewish,Bisexual,Physical,-84.21168197156987,C,E,E,-44.634385912403054,73.37827842523416,D,A,9.993987843041507,100.79829038965649,D,B,D,0
Muslim,Other,Yes,-91.96543066092657,B,B,D,-67.96891022966322,-80.46537457616712,A,A,12.537616577207288,-49.18254573974171,E,A,B,1
Jewish,Other,Yes,-1.5580323708852104,A,D,A,108.14677095559064,12.076368290389471,E,B,-80.08233056867304,-1.2726339696623865,C,C,A,0
Muslim,Heterosexual,Mental,-68.88723105935372,D,A,E,60.25042475128404,17.53081281909031,B,B,141.7158591000178,-18.182817563181622,C,D,D,0
Other,Bisexual,Mental,223.04083877185684,C,B,D,-93.6036906282377,104.54347752322997,C,B,36.486607622076114,51.886741206367674,C,E,E,0
Jewish,Heterosexual,Both,20.96202848275202,C,C,D,-104.2309041094884,75.09749710457915,C,B,-114.70217258975497,74.97933156886768,D,D,C,0
Muslim,Heterosexual,No,-7.227694023554003,D,B,C,-144.77676744582013,-101.17869265723208,C,D,115.56191396503921,92.06307270560077,B,C,B,1
Hindu,Other,None,-98.6324687084516,E,C,C,128.0112855438637,-99.61076748356273,C,D,115.08256481558503,-154.16619621566747,E,E,C,0
Muslim,Heterosexual,Yes,-179.21090218034,A,B,A,119.78626678733868,-262.2885736858216,D,C,-10.31785879725179,11.33530413292901,C,D,C,1
Hindu,Other,Yes,218.2561613573237,C,D,A,-7.688780066402401,211.06024139471083,A,E,-80.53067049203968,-53.655346809588536,E,A,B,1
Hindu,Heterosexual,No,49.79563274972571,E,D,D,3.9238453038329584,-11.026119752365677,D,D,-40.956689706779656,-86.22155071336928,C,C,E,1
Hindu,Bisexual,Yes,-125.89704128966679,A,A,A,-50.719433578178005,47.03893279748489,D,E,96.68438298247287,-147.95141196039495,C,A,C,1
Hindu,Bisexual,Mental,31.6591469042987,E,D,E,-37.93811857772385,74.37003253545501,B,C,137.47122013331142,69.85704196594253,D,B,A,1
Muslim,Bisexual,Physical,-110.1532255036245,A,D,E,78.37077153679795,123.83653032345423,A,E,-132.41250847627853,-121.00469350682881,B,D,D,0
Jewish,Other,None,-73.78564651687422,A,E,B,-212.36147857733184,-153.4222087448812,B,A,18.628570989046178,69.32786435592394,A,E,E,1
Christian,Other,No,129.19906507168216,E,B,C,-64.19019959965017,13.580888499416893,B,C,-133.95913712838728,-61.80847898789668,A,D,A,1
Buddhist,Other,Both,37.47356220621858,A,E,D,102.36493845567982,185.31893268956367,D,E,89.12519087093342,88.31573344443458,B,D,E,0
None,Heterosexual,Yes,69.00624686343166,B,B,E,50.46659530699332,8.693281239438797,B,B,122.32912847660866,-100.92740148010175,C,D,B,0
Muslim,Bisexual,Both,0.06705639025194773,C,D,C,-121.09138073340024,4.59935222942816,E,A,-199.35713713556044,64.45398553892467,C,C,B,1
None,Bisexual,Both,-60.166193769340545,B,E,E,-256.1368475877478,-83.05235391192048,E,E,-34.69983273616183,204.25020184290025,E,E,A,1
Hindu,Heterosexual,Mental,-32.46836756938124,A,B,D,-23.84059632305848,-27.026137903023912,A,A,-111.00926996359712,-48.527903815663606,D,B,D,0
None,Bisexual,Mental,7.1681201436072355,D,E,E,-53.163256350019296,95.87869168978123,E,D,39.046109670805414,-95.33560981665893,D,B,A,0
None,Bisexual,Both,-286.6831235051403,C,D,E,180.90737323818348,-24.91622975618589,B,C,-71.36888582952288,-37.87908179772149,B,C,C,0
Other,Homosexual,Mental,70.28687137097917,E,C,B,46.49994669713451,89.64155154619094,C,A,27.923807349360636,96.63203508044505,A,C,C,1
Christian,Homosexual,Both,-1.930640999585684,B,D,D,65.76122310383614,-80.98707395628814,E,D,59.79863531866192,-173.50209829654224,D,E,A,0
Other,Other,None,-92.11894734221121,E,B,B,-143.45184368347043,-42.52419040171141,B,E,68.61637951847264,-173.5561877116847,A,E,A,0
Muslim,Homosexual,Both,64.92919254241687,D,C,D,9.992059216596266,-125.08911088514299,B,B,-169.07170522553034,85.2972778215923,C,C,D,0
Jewish,Other,Physical,57.806691533952346,C,C,E,-139.80337597328398,-20.39863130005542,C,C,-58.650802495471865,-80.8815266151156,A,D,A,0
Christian,Homosexual,Physical,-9.872656673265817,E,E,B,152.30467993967343,-0.7015895780038545,E,C,-86.68632184684202,-120.4034511854526,A,A,C,0
Other,Other,Yes,-139.29506849991995,E,C,C,-212.7152156376365,-19.90896626232353,B,E,16.14426352526514,-4.478542420860402,E,A,C,0
Jewish,Heterosexual,None,111.5412968746069,C,E,E,-120.7044397204708,-215.78956535377642,C,E,24.52313052691783,-125.56131629608849,A,A,C,1
Other,Bisexual,Mental,93.26385746408864,B,C,B,-3.002227293862631,17.639230601065517,D,D,153.35921781991303,25.868483108307583,B,C,E,1
Hindu,Bisexual,None,21.28309236379044,C,C,D,194.43743092158735,78.43959388263312,D,B,-90.314145962786,-118.99851344983325,D,D,A,1
Christian,Bisexual,Physical,16.64655503391862,B,A,D,106.69669450775035,95.0015122364282,E,D,206.4516244573103,-17.77310013527996,A,C,B,0
Other,Bisexual,No,99.62698281446892,D,B,A,56.07417125398347,77.49012894271233,B,D,84.46382125268825,-16.05507895261229,A,C,A,0
Other,Bisexual,No,246.56513824524845,A,B,E,64.69910571976723,-1.6394554704346962,E,B,-1.0724131559293795,6.814502273909337,D,E,C,0
Other,Other,Both,45.14332057497465,D,C,A,-46.55173734361434,54.024834827050086,C,B,51.135205316364186,-71.61199983701047,B,C,B,1
Other,Bisexual,No,136.28724355822555,B,B,D,-36.49021170782545,3.348120303841172,A,E,-68.17183057341414,-19.98982105638474,B,D,A,0
Jewish,Heterosexual,None,68.50321644896583,E,B,E,3.2955492890442812,3.840830532407334,D,B,-51.44492198682229,178.05224051997996,E,C,A,0
Muslim,Other,None,124.74435667957957,C,A,E,-59.6347767512979,-41.32094233722103,A,B,-23.287594943194357,16.63620932263431,D,A,A,1
Muslim,Heterosexual,Mental,-28.575473744749434,E,A,C,-61.122494927740064,91.5360610887601,A,A,-86.80860951316723,-95.5873980469952,C,C,B,0
Muslim,Homosexual,Physical,90.69563850312227,D,E,A,-68.97627335563075,-28.38891782256366,C,C,-131.94251019799893,80.48641949680434,A,D,C,0
Christian,Heterosexual,No,2.9426994870456182,B,A,D,50.684460295913034,97.80780401091916,B,D,34.99578619131691,-51.759070425357024,E,A,A,1
None,Heterosexual,Both,103.25691995774015,D,E,C,-43.18056472726056,76.18167522718389,C,D,-12.46479146658286,-141.0122907437854,C,C,B,1
Muslim,Other,Yes,-211.83816265822722,C,B,E,173.2743891894515,85.34373864934926,B,E,-5.80602621283453,79.61258594291964,A,C,C,1
Hindu,Bisexual,No,-10.48373734541467,D,E,E,-117.25236469903126,-79.72662647789303,B,E,3.3177861622418168,-154.2790002728185,B,C,A,0
Jewish,Homosexual,No,7.445910046582058,C,B,A,31.859755655823424,-139.56434733960364,C,B,-111.58379695425764,-27.962915719905517,E,D,D,1
Hindu,Bisexual,No,-88.286481526734,A,C,E,-3.798061288625123,-58.67041010932653,C,A,0.787322923877854,-190.1328488226365,A,C,C,0
Jewish,Heterosexual,None,176.00283997809655,B,D,D,193.77970300518913,21.842460885653324,D,C,-29.047540930242743,-73.87697816143182,A,D,C,0
Other,Other,Yes,-270.1547762547809,E,C,B,128.53165851427397,89.31101203906319,E,E,178.82761015215817,-51.868494826077985,E,A,E,1
Other,Other,Yes,94.6268775530511,A,B,C,-153.38315353783355,-142.06437314113452,D,E,-212.00814783998402,-33.88476649811387,D,E,A,0
Jewish,Homosexual,Both,71.22016788002496,A,B,B,-5.499880151747591,-78.76628397235905,E,A,21.372233778838577,86.61013981779502,E,E,E,0
Christian,Heterosexual,No,113.24180380462595,C,A,D,-119.96558338368295,126.69461081256132,A,A,11.872097148148516,-35.306575131144925,B,D,B,1
Hindu,Heterosexual,Yes,-54.291906521975555,D,D,E,-59.61619623714901,-51.206367814547015,A,D,-147.17932615062202,-49.137011158714635,E,C,C,1
Muslim,Bisexual,Physical,6.216372092691251,E,C,B,-105.27405064494926,-43.740573298703474,E,B,105.51833859051271,-10.164942415137602,A,A,E,0
Buddhist,Bisexual,Physical,-59.50669055271882,A,C,A,-96.59542173662243,30.925466932022317,C,E,-94.9802265192439,87.85943749097464,D,A,B,1
None,Bisexual,Yes,-35.03666744957617,C,D,E,32.869999711700025,-2.4406846278428778,C,A,-162.49695840176582,-120.9765441538624,C,C,C,0
Jewish,Other,Mental,-17.487962177956927,D,C,A,-119.74064069336589,110.51161130462029,A,E,46.622120952053756,-5.2147077764773915,E,E,D,1
None,Bisexual,Mental,134.6944666651442,C,D,A,305.7223070296734,-41.10731009454429,E,E,-32.83977222538368,0.023427280375165317,D,B,E,1
Jewish,Homosexual,None,70.78617913157697,C,D,D,-18.349131975867287,-30.724174438576803,B,C,4.5622232786798165,-121.6074982472525,B,A,E,1
Hindu,Homosexual,No,-140.5755118085169,E,D,E,-183.94257030065967,95.6527624589749,B,E,-194.62605656426365,-187.95151046885942,D,D,B,1
Muslim,Homosexual,Mental,-72.14197433768413,D,E,D,-38.38421630707267,29.964830764040627,E,E,2.0081608601191387,47.060891693378075,A,C,D,0
Other,Bisexual,Mental,67.58852466315017,A,E,B,29.1789396251944,93.73918091248898,A,D,68.03671329453728,80.9562983360402,B,C,B,1
Other,Other,Both,-119.47480602492541,B,A,D,16.787672351734667,81.23284453575731,B,D,108.20248819379788,-54.80026216235757,C,E,C,0
Christian,Other,Physical,-48.03677246053806,A,D,B,-171.0772011900248,265.5532842493295,E,D,44.3439266876155,-222.62748332483108,E,E,A,1
Other,Homosexual,Yes,95.27273462355673,A,E,B,-94.04578641915205,-43.18178200268156,E,D,119.10244355250367,-45.27884327815255,E,C,A,0
None,Heterosexual,Yes,97.46428754430451,B,D,C,-125.72089756079001,97.37578448995741,C,A,-100.29448980674422,165.00601058758355,C,C,D,1
Jewish,Bisexual,None,-82.48580037020199,C,E,D,-42.318810501563924,138.43965417105764,C,B,173.91017691872784,-173.46155204173553,D,A,B,0
Christian,Heterosexual,Mental,-37.54786534755355,B,C,A,-23.561428123473746,146.4579738662982,C,E,-126.57324773434982,-140.97041694199964,D,E,B,1
Christian,Homosexual,Physical,-94.2601092554229,E,E,E,79.34705119330717,100.36970046210305,A,A,43.10637860925425,120.33303977019563,C,C,A,0
Hindu,Bisexual,No,187.3761472775697,D,D,D,7.305013869496629,47.66259235006978,B,E,9.858327924378425,-32.48052777861298,D,A,A,0
Muslim,Bisexual,None,18.46544011993614,E,A,D,-35.72493947557272,55.502611271984904,B,E,-191.21635870981248,90.2002704031679,E,A,D,0
Jewish,Bisexual,Physical,103.21820931079051,A,A,A,-145.0195010215493,157.62732062427278,B,C,-0.8193659929346423,-87.82552947448168,B,B,E,1
Christian,Other,None,6.888315307552949,C,B,E,23.727483820076962,32.38556455303675,D,A,28.978350096818506,30.06421529593444,E,E,A,1
Other,Homosexual,No,16.51156078457069,B,A,A,-42.77416137365416,-133.6447294673333,E,B,-85.14695141191562,-72.44377852032456,D,B,A,0
None,Homosexual,Both,113.02361236766542,A,A,A,135.17870961749762,40.7995515792637,E,B,56.168875629731176,-60.74894316235393,A,B,E,1
Buddhist,Other,Physical,122.56329182740097,B,E,A,100.34755976687286,-101.49781452679618,C,C,-21.159210610449755,-27.044380291559595,D,B,C,1
Buddhist,Homosexual,Both,-84.29273770866487,B,E,C,20.45871524975197,55.464150615655875,B,E,1.9082964656376835,-180.79470480652816,C,B,B,0
Jewish,Other,No,26.51945351268457,E,A,D,189.37805722595692,52.23469930112816,D,E,-41.32756927333801,52.14560605704652,E,D,B,1
Other,Heterosexual,Both,110.91159205354961,B,E,A,-173.4695483521323,-267.53978677360465,A,E,39.26292663657717,-78.7555521992517,C,D,A,0
None,Bisexual,No,-87.78430341286627,A,C,E,232.33304299750066,36.110205955293544,E,C,11.000779554537614,142.12961155055436,B,B,B,0
Christian,Bisexual,Mental,-65.68939161753123,B,A,D,21.2288216090858,35.21443324424969,C,C,-85.55875257509894,63.07661466109874,B,E,D,1
None,Heterosexual,Yes,-66.00200028727014,E,D,B,-6.904711288289864,-7.939205964148342,E,C,-64.73571152303145,-33.651376933253886,B,C,D,0
Buddhist,Bisexual,No,98.25838018828304,D,E,B,-16.70468060181614,8.784896993678402,C,E,-117.10594681445126,120.6839720876574,E,A,B,0
Hindu,Heterosexual,None,170.89205526374633,B,E,C,-41.33410818097762,57.5673670925012,E,B,73.84019383851772,-97.11753603304238,C,B,B,0
Hindu,Other,Both,6.083255882556818,E,E,A,-0.5478250085750678,-67.53927509148293,C,B,86.7842691130815,0.7463548888940993,B,B,C,0
Christian,Other,Yes,106.89461981613239,C,C,C,-175.0347598394998,-37.69471588461758,E,C,76.169138734914,83.73495279377808,D,C,A,1
Other,Other,Both,98.38690951233463,B,E,E,161.4648151726241,243.90491206430806,A,E,-21.958032535460802,-78.24757217558393,B,E,D,1
Other,Other,No,101.04015048934221,D,E,C,26.11587730921577,107.73183311592433,D,D,-102.88984567967914,54.00637235336665,E,C,A,1
Hindu,Heterosexual,Yes,45.442041746111734,C,C,D,-13.971307084731615,-168.66226570423373,B,A,-90.37131910808122,98.7280975407469,B,A,B,1
Hindu,Homosexual,Both,66.8555454455956,E,B,B,78.6215615752804,12.654461560744663,D,C,87.81242000308913,-123.10534105722812,C,D,A,0
Hindu,Other,None,10.374052103602702,E,E,A,-32.51633222508216,-29.072415542913806,C,D,44.29640804218729,71.74944488657295,B,E,C,1
Christian,Bisexual,Yes,-71.2785897807334,B,C,B,167.47523966260397,92.23885877930392,A,B,39.59112360251993,49.72921479836087,B,B,B,0
Hindu,Heterosexual,Mental,113.15126614703057,D,D,E,142.5985235991783,-129.49816696850826,E,D,-98.66286875772948,-39.15017256475387,B,B,E,1
Christian,Other,Mental,115.15364667548911,D,B,E,-123.34346032910875,56.96526114157066,A,D,-97.76468742741214,-58.05331697466979,A,B,B,1
Hindu,Other,Both,-150.39026932119137,D,C,C,25.74121223010945,-3.8369228165958926,D,A,31.287185293976087,-171.76685424121015,C,C,A,1
Muslim,Bisexual,Yes,44.1434395610371,C,E,E,-7.515892811874143,5.258035650833187,E,A,36.92675879307978,95.77206617081849,C,B,C,0
Buddhist,Homosexual,None,-30.81064381275632,A,B,A,24.594350925787868,-49.48959851367153,E,B,108.32467379964359,-38.880565965083505,C,C,C,0
Other,Homosexual,Physical,-14.195647754280364,A,C,C,-27.662795910205134,95.50685108932193,E,E,19.00829427096069,259.2018166606212,C,A,B,0
Buddhist,Bisexual,Yes,-121.36084066356554,B,C,C,-147.6168442456889,-37.98275689040516,A,E,-49.827747548189066,-40.40544212139261,E,E,A,1
Christian,Homosexual,Mental,23.843775381437908,D,B,A,-32.55198979279449,-94.99150963152357,D,A,-55.800636136816784,57.27174345711011,B,D,A,1
Other,Other,Physical,44.314467818004886,A,C,E,69.55185226084635,17.756687301053216,A,D,93.25218588126768,38.80663210408254,E,E,E,0
Buddhist,Bisexual,Mental,2.0482375718073573,D,E,B,32.283502991077015,75.90510107600379,E,E,-41.663929363458585,-130.72802001586453,A,B,A,0
None,Heterosexual,Mental,134.77700190257863,D,D,D,-133.2247149101737,-23.185874057193203,E,D,-157.19048659961987,98.49307822037785,D,D,D,1
Buddhist,Heterosexual,Yes,11.47875715037097,D,D,D,13.287366636349374,22.639030868744523,A,A,-74.04796004375785,218.279740898362,E,D,C,0
Hindu,Other,No,59.124424730120005,C,D,A,33.875837983945786,-176.92895989385917,E,D,-26.25624696051502,35.40513225419571,C,C,A,1
Jewish,Heterosexual,Mental,-21.330952825630977,E,B,E,64.47587055269187,-13.797065883220203,B,B,83.78268628550094,22.212992993361617,B,C,D,0
Hindu,Heterosexual,None,178.76534625380648,B,A,A,-51.36439599292959,201.0264805076674,A,D,118.27925571863874,-70.45848731700288,B,C,D,1
Muslim,Heterosexual,Both,-74.88488307074897,B,B,D,-32.92035861950602,27.861524847483278,B,D,-59.848854427815,-15.228002004097807,A,C,D,1
Christian,Heterosexual,None,-116.67255934124807,B,A,A,-64.6623776423906,141.39681537877854,A,E,70.96296542746352,-37.40251969856169,B,E,C,1
Buddhist,Bisexual,None,56.838684012722936,D,A,C,-99.20924766364332,98.82145991646524,C,D,-40.80514896381329,57.604725709776424,E,D,B,1
Jewish,Bisexual,No,-188.39199400789934,C,B,C,-112.81648318393785,75.13719839487453,D,C,177.68532434734774,60.315191434757786,D,B,A,0
None,Bisexual,Mental,28.75697068291852,B,C,D,25.007536738201257,-202.87023150623025,B,C,-30.305210334376554,-1.346862433878772,B,E,E,1
Other,Heterosexual,No,205.30799625586346,E,B,A,48.913397934780654,-45.49113948022452,B,D,-99.10443078692526,-162.14239927309328,C,D,C,1
None,Heterosexual,None,69.44557767848096,D,D,E,-66.44738307684422,-68.11660894452328,D,C,-45.295556762759574,72.24615943261753,C,A,B,1
None,Other,Yes,-76.0998407536444,D,D,E,-6.577561573160319,183.22037260634994,C,E,155.458141478665,-244.95238629613004,B,B,E,1
Christian,Other,Both,37.03581677757335,D,E,E,68.21228302301768,86.51692799881965,B,A,-70.70543258897824,-124.74743626209535,A,B,B,1
Other,Heterosexual,None,78.41125402609242,B,E,B,-30.394350303275274,-38.45301002552738,E,C,14.674797207788684,61.15013320306551,B,D,C,0
None,Heterosexual,Physical,9.255866278882552,E,B,C,-25.250718705040136,99.58109979191062,E,A,9.03106692092422,119.2324568594696,D,B,C,0
Hindu,Heterosexual,Physical,49.80212037090331,A,D,E,-174.12166216627853,-106.80418180267736,D,A,76.88631415591925,-24.91065119414474,B,D,B,1
None,Other,Yes,44.182368484577694,A,E,B,-120.24475506241453,-80.36451484750023,B,C,-75.46321567187087,93.86590339928604,C,B,D,0
Other,Bisexual,Physical,-95.21072495758291,A,A,C,64.31156558120132,-6.146504447795622,A,B,110.66172354231276,-32.95849911080911,B,A,B,0
Buddhist,Homosexual,Yes,-51.63756264814934,C,A,D,-46.126566818665246,-188.50208640729076,E,B,143.2146791743848,-20.03737705909516,E,B,D,0
None,Heterosexual,None,-107.18885064477128,B,A,B,-78.80918224830019,-75.53351724597175,E,D,-72.8880682711253,139.260408549115,E,D,B,0
Jewish,Other,Both,-121.92910879145293,B,A,A,-18.0434657074836,-192.79493760121372,D,D,-124.00882845728634,-59.41402657291782,A,E,A,1
Other,Homosexual,Yes,83.54464336022026,B,D,E,-87.90638869141522,113.89459402106756,B,A,-45.97003193225872,-65.26081493790133,E,C,C,1
Buddhist,Other,Physical,95.3649162924142,E,E,C,-3.35294475715458,-205.8778917952401,E,D,51.74535184521862,77.49481332701907,B,B,D,1
Jewish,Heterosexual,Both,133.2733133238373,C,C,D,-125.28400890523035,27.41105679870645,D,E,295.82459937816674,26.13578596368864,D,A,D,0
Buddhist,Homosexual,None,164.1170515923446,B,B,E,65.81876064817281,99.24464187200613,E,D,-167.6236543814383,196.75580339025018,E,D,A,0
Jewish,Other,None,41.079192142570236,A,B,E,120.5387398211891,2.0187642465073594,B,B,61.01916687448834,-202.51367671971653,A,A,B,1
Christian,Homosexual,Yes,84.65178379529038,A,C,A,13.286779426635983,-234.91080836569756,E,E,16.453720958375413,93.6172475223828,B,E,D,0
Other,Heterosexual,Yes,-15.958358085023876,B,C,D,125.14113874435564,-15.805459981455963,B,B,-27.554006405917224,-75.60045683099831,A,D,E,0
None,Homosexual,Yes,74.86372166585255,D,A,D,16.207992492505614,-77.84096023372616,B,B,28.077083785908986,87.10218176371252,A,C,D,1
Muslim,Bisexual,Physical,31.539673205240998,E,B,A,116.96115929929117,-13.428446582565098,C,D,-146.00772601336556,-10.491986479199175,E,A,B,0
Christian,Heterosexual,Both,-32.96686589658383,C,D,D,-60.46940887423221,141.0956606648403,C,E,-101.01472347868108,159.83168001284363,B,B,C,1
Buddhist,Bisexual,No,-48.71498465299642,B,A,E,-107.7882496196658,-28.179650998026652,D,B,-38.14420687210763,-130.34954173500878,D,D,B,0
Jewish,Bisexual,Physical,-35.146713090006884,C,B,A,94.82251109439846,-3.399693751245313,D,D,-45.60891655297744,-120.84169852079458,E,B,B,0
Christian,Bisexual,Yes,13.094540868533725,E,A,E,51.54649571996831,-11.835997042512618,C,E,-33.423095127843254,49.33339273543024,A,B,A,1
Muslim,Homosexual,Mental,191.97376396484324,E,A,B,2.750647051099522,-59.43682726237116,B,B,156.389505784747,51.70197502457442,C,B,D,1
Muslim,Heterosexual,Yes,34.50461326009214,D,D,B,125.24122976324767,-12.860862755189856,C,A,71.38407004218648,158.73541613442342,A,E,B,0
Hindu,Homosexual,Physical,54.42723633024469,C,C,D,-30.09695343969156,142.75598775371745,E,E,-80.43594842352533,126.26005425184104,E,C,C,0
Muslim,Bisexual,Both,-86.42426123965738,D,E,A,-98.78645484069061,-32.3208750511354,A,B,8.817487052604047,36.808176987296825,D,E,B,1
Jewish,Bisexual,Physical,150.3771380851348,C,C,A,202.22506253783797,-52.99421354043893,C,C,85.73143592433343,2.945609254749015,A,D,B,0
Muslim,Homosexual,No,-81.09659768093286,E,A,C,68.76218128960468,165.94590662698172,B,A,78.95937356119677,-29.084271850503107,B,A,C,0
