Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Veteran,A,D,B,-85.55732034638812,A,92.84210460516685,4.053559322828453,9.492597157554068,-125.96645275139619,-0.9083439210643859,94.28675684244446,D,B,76.30990746587324,E,1
Yes,B,A,C,21.37164789558237,A,49.096619621728955,-64.87289051400364,29.886534037971014,76.39768231136259,41.5047280831341,200.26383000006663,B,E,-21.72632747275149,E,0
Yes,E,A,C,35.792937567212626,E,-121.98557931021992,249.13397747004834,167.291615352757,8.369080245852281,-64.52841266573411,-4.990325098798616,A,C,33.7719215150291,A,0
Veteran,B,D,A,-29.20968664387416,A,65.14036738465761,182.83286616875338,-33.23478457030629,-34.03485980281109,-22.265433842279407,142.52067188739701,B,E,-125.35661074111233,E,1
No,B,B,D,22.609826978588217,E,100.27519463998618,1.4990785875689705,317.39869186245096,-3.857882801973834,-11.64100477438651,-50.939505291177014,D,A,60.65170460441628,C,1
Yes,A,B,C,-86.1450001552808,D,-45.84805050683096,-126.97629673573796,-112.65543119817696,-156.1217405948475,-26.189752587099917,70.2020483705266,B,A,112.04599363221767,C,0
Non-Veteran,C,A,C,105.16916968524615,E,-30.507047676090814,63.17175482285523,-7.412413402451162,-85.77653364122769,-166.72596182851248,-95.72038456537956,C,A,-12.33595178388884,B,0
No,E,C,C,-37.729916688264964,D,91.1603461213232,-52.08683342869478,8.39686537362101,-18.93533290694219,90.02189690697624,-70.26955041774258,C,A,-53.83102723411943,E,1
No,B,A,A,-138.80364315667498,E,-9.566481368944144,-46.83244366928853,129.65893943479608,201.62002171866672,35.552669876218815,1.3968109211650435,A,C,155.1641698685818,A,1
Non-Veteran,E,A,A,206.01188964467693,A,35.02130396420662,10.411041697190335,39.46397042008504,-28.524083023598273,146.8973822651494,6.149966359726584,D,E,138.61655038702992,E,1
Yes,E,B,D,-149.5804675801002,C,-22.49341071217785,46.83872773806117,-13.64457295101975,-12.877121193306248,-60.6463390853834,108.31289324717144,E,A,36.50633196358834,B,1
Veteran,D,E,B,-59.2559516699824,A,-5.420571728106298,-131.4591685774855,-25.71543975956993,-133.7232379962537,255.8794828003695,123.58456478722883,B,E,-71.68619277199912,B,1
No,B,E,E,49.84108973260126,A,-166.86639089373648,14.216501059081807,-143.4262454159348,-21.628668428987098,71.00486835330888,-100.65628437182083,B,E,232.95120080476738,B,0
Yes,C,A,E,-219.9565352790892,A,50.71772848187855,-8.987801755128933,145.00177730261223,-87.41279725222032,115.67535524236159,235.3651482735425,D,D,37.15638322300961,E,1
Yes,B,C,C,154.17702810373177,C,61.22853476438201,36.544001346567946,159.69268558153613,-63.53473074412681,36.32805865647996,154.60029586000482,A,D,62.50287215920955,A,0
Non-Veteran,D,E,D,36.93289925486374,D,57.798070200879195,70.66303104981715,18.241260327719175,-30.215171899287764,29.85655971641257,329.1275544865752,C,A,-44.50365016001741,C,1
Veteran,E,E,E,-1.654522309850973,E,99.61825226716678,27.747815131529208,-193.11062349057713,-108.15058492130069,62.29794932224224,54.75268429926895,E,B,29.919517863644312,B,1
Yes,E,C,C,36.311780402275204,D,84.32285351902856,131.77712267156545,162.85073669507938,-35.05760756005745,73.16785509883186,-11.097880374121713,E,C,109.46510523731668,A,0
Non-Veteran,A,B,B,-31.132069689174457,D,-111.6661870686017,-23.64788310924906,-10.631680935551818,45.730096983358386,0.927642919178859,-102.1666565235728,E,B,-109.73274395521182,B,0
No,A,A,D,-5.111671433223532,A,-145.51227041676586,106.70893557201595,15.942595593107214,118.32070627170049,-197.07735828468222,42.513477952065635,C,D,88.86463091315969,C,1
Veteran,A,E,B,-167.46844666465128,A,-4.033426753189701,37.653034494153715,168.44673938292246,37.24683487435402,46.145328797794306,-96.60794183086246,E,D,-126.58892766986303,A,1
Non-Veteran,D,C,E,56.59823637510007,D,-80.14857894240488,96.98943303672404,-50.72335070722976,-74.85302037801937,125.23262427998453,-223.215699253899,E,B,-91.0325752198832,E,0
Veteran,B,C,D,50.11439997907778,D,147.52495373703778,-93.2021273148574,-98.44525184908584,-39.884075811339656,-5.662911538407113,99.2032172567084,D,C,-8.095220474515676,D,1
Veteran,E,A,D,6.756406743769607,A,72.82022920983738,-2.9808574760499025,38.6934951264345,-17.274041947123887,104.1892744220619,-213.2571420627119,E,A,6.799585071500847,E,1
Yes,A,C,C,65.63834018742094,A,-36.10580732307387,101.26807839788145,-202.5124056813661,267.13682111480097,4.721948560100421,133.4453273311492,A,E,-55.09776305265144,A,1
No,C,B,C,-104.15264574941749,C,-152.41023927795385,60.795821400133796,95.12628439841777,-31.68683403575536,-188.23434080619367,44.5668583610136,B,B,-107.46795111786062,B,1
Non-Veteran,C,A,C,2.339558432280557,E,303.14735987484363,48.470783595450044,223.5725465935515,36.52743353229292,-128.4097567764526,-122.4193304975686,C,D,27.97852203641965,D,1
No,C,B,D,71.2134017667841,E,-59.539280822616966,212.87381444979943,91.20052810893307,35.74905611228457,53.64029364395475,-133.65977191510788,D,A,84.25035768336629,B,0
No,D,C,D,49.62167634762608,B,43.05574243754145,42.689967924522634,32.47846860374929,-68.58646716973446,11.146200902521418,128.10552616696484,E,E,99.58541116376531,D,1
Yes,A,A,D,-206.88412061324607,A,-24.27515104160433,50.76634213115652,40.75957794753333,27.24322343556407,-123.74824290992021,25.043272842249397,E,B,107.75625797096342,B,0
Veteran,A,E,C,16.813706174136374,E,32.35469850688853,-41.55747744585113,69.22241439520626,-166.51398151998023,-83.91203362976182,-13.853515961053361,C,A,-231.13501013839647,B,1
Non-Veteran,D,D,C,129.82660070732183,B,189.50861224288846,24.471063920674524,110.23874173217476,-50.144354776713826,-69.98196713017448,-40.3295052991245,A,A,47.20806881646748,C,0
Yes,D,B,C,-115.41241512401794,D,-7.222406385572251,121.10516911681388,108.42722244879906,-46.18511646125369,57.933881260645556,0.589303732463356,C,A,7.861812438594794,E,1
Non-Veteran,D,B,B,-22.650876036430304,A,134.51288387528152,-254.47695184658468,-111.96350473765904,-57.59229965952141,-71.66402107901295,20.92898426523365,A,A,78.57069372937417,E,0
Veteran,B,E,B,-76.65542203220423,B,-14.255725117071961,-155.46217813494133,133.99298727230993,-89.20480517881356,-42.45742968122062,28.41562100063185,B,B,-174.7707968868035,D,1
Veteran,C,E,E,-89.23814738601376,B,-20.746550318287422,70.7999197449112,40.03008759145624,91.67823910296343,44.945732156056344,205.58495805359226,E,D,-38.05487003635265,E,1
Yes,D,E,C,19.3106604831351,E,130.4361811185795,-21.477039174119405,56.655160545675045,128.18660305133835,-46.805964930199906,29.696639866123547,A,C,145.95788767531798,A,1
Non-Veteran,C,B,D,-94.500608928775,E,-99.55408337797253,-177.8747471852537,25.21539136124094,-4.3230803816304215,-75.76168107285649,116.45955021721113,C,E,116.08037378943763,D,0
Non-Veteran,C,A,E,-51.91664057469991,D,56.69513650267737,322.32323827956435,-42.579839891181464,19.51108887168115,131.96124810026564,-24.831764515810423,C,C,91.54752418515352,A,0
Yes,E,D,A,-16.217633574499622,C,-69.47396759003203,97.72306978697694,32.62126849323307,37.35945394948841,31.940809539117716,-19.61602363036576,D,A,138.626026102803,D,0
Yes,C,D,E,-178.5822913011018,D,-24.443569048308262,-158.03054141408467,98.01403198348184,75.37010855720942,41.65469787630052,-2.677412256265172,A,B,132.5726906501371,E,1
Non-Veteran,E,B,C,-121.9898293560851,B,-81.60993994924648,-64.39535497695583,69.5950745128588,-143.8951391431623,-120.79058425168373,-46.79676994210556,C,A,74.84656026508227,E,0
Yes,A,C,E,39.8381543456734,B,-51.661530967459626,-272.9883222755823,65.70347735781404,-35.2888576418294,-37.11122008168913,-52.776485693826345,C,C,71.99087888492144,A,0
Non-Veteran,D,E,E,75.16599557969528,B,140.31038538358186,17.28176599680282,-70.34332923398439,-43.467622690666154,-87.56626957317263,-46.30063838761908,D,A,192.5732893263347,E,0
Veteran,C,C,B,2.5109536430727224,D,46.93464200634335,-105.64693264910028,39.565188095891344,100.4029601726698,40.89770999851455,-43.64774517770614,B,B,-105.30666192528957,D,0
Yes,D,B,D,16.33945943816252,A,12.249253850089081,-7.725411809557589,151.87924724950298,3.400525206887222,92.19730211733818,-40.612667059746876,C,C,55.04239308189954,C,0
Yes,B,D,E,57.676598576449024,C,-7.776112164714438,117.2433950047074,-60.63347099611895,218.25705581000872,-151.0981991673708,-70.97226299370332,A,D,-84.20164862764204,D,1
Non-Veteran,C,D,B,-83.48736015726507,B,-131.05665416386728,30.572712604850388,-131.2131561372867,-71.77788875085544,5.23659960335532,-21.991677665595173,E,D,-217.42669783436236,C,0
Yes,D,A,D,97.48444725413349,A,-46.32120745494458,128.7665123235885,-52.90447385280319,-75.52402487716775,-165.8789360535207,38.519132153277226,A,A,0.4254934658362012,B,1
Veteran,B,C,A,-33.68143591690247,D,-49.47036894144709,13.261479053187072,-111.55221510922854,17.589291888132163,127.43300257066224,113.52517920966574,C,E,68.49815670687671,E,1
Non-Veteran,A,B,C,57.67877918566595,A,-141.790326984687,148.5865250625937,-19.510157964994523,39.28840736864313,-145.78147128856443,62.42353002164995,B,A,77.42664872064702,E,0
Non-Veteran,D,A,A,-74.82342191654197,A,130.99309718870308,-49.435442447281865,28.405671381605647,41.06638855450807,17.328444176326048,69.01592991089379,A,B,54.67386458543929,D,0
Yes,E,D,C,211.1557126821657,D,20.71129695166971,-62.639009544735494,28.382430587237888,-9.363258781328948,43.613270377387025,-88.43648952607576,B,B,-73.62386771733698,E,1
Yes,B,E,B,38.502270790907936,B,29.472131528382356,-75.62208421502152,31.94399435354052,38.650035164560876,80.42386672057242,45.38229360596308,A,E,72.6408464173136,D,0
Veteran,D,B,A,-137.0706115196872,B,-92.05978371729819,-7.131843783807261,13.944371921998574,29.17835564169014,32.45227161302398,167.08050983384516,A,A,290.7886907482053,E,0
Yes,A,C,A,115.00297256115263,C,-19.808710330367013,6.965440658346346,268.8070316517862,150.89960481494725,226.289331183933,48.53502464310696,C,E,38.159924810179405,E,0
Veteran,E,D,B,42.95384547111715,A,-83.00473616949459,-33.3258409378306,98.49745451491711,108.18724357952831,-33.92873201950657,10.53596103728812,C,C,-97.16117980066058,C,0
No,D,C,D,19.08691048783544,C,151.7356066294258,-45.092106969696026,-98.1704887359817,-51.47453551070843,83.62719070019543,5.9287897570723,A,D,81.86317849751609,E,1
No,A,C,D,57.78417579741858,D,60.622505216123535,115.63487187379306,106.28710221835095,2.30446347952161,67.25642269960854,-37.97441387515891,C,D,-25.96299049678268,C,0
Non-Veteran,A,A,B,45.42617268923759,C,33.13759180709229,79.89571639874684,-224.7501243094554,61.822890229426505,-20.58449095454042,-11.610919188663377,E,C,101.66861207298341,C,1
No,E,B,A,135.1094412451411,E,-50.79778155552053,26.9194959194907,-130.70752522405883,-72.08205380453978,-43.13040678352788,132.23840426668858,B,E,-81.95355976829026,D,1
Yes,C,A,C,186.50199364344874,D,-19.642714770361863,77.24850845041257,205.6630467517037,-43.84338801744957,-9.894929801735382,-142.9312946439106,B,D,145.2682333256697,B,0
No,A,E,B,29.333428259981016,E,7.601882877439385,-64.70229753780619,116.43468798007322,163.23653113226976,-80.64379869524207,-110.99244117458665,D,E,91.6655986348831,D,1
Yes,B,D,B,7.000121600085753,B,113.95493288054053,-51.22114791712708,-101.18391337065738,-36.680960084697084,23.639316459447954,-171.89699531354833,E,E,-9.134745800315644,D,0
Yes,E,B,C,22.408249166543673,E,111.58637069242639,-75.2513978793495,-12.900190396218314,223.37260497910455,48.676736501002,-33.5816491174224,E,E,-96.33538572237755,A,1
No,C,E,B,0.9183691130364747,E,-92.35323196776203,-165.0477131499701,69.52176912530408,241.7874613447179,-73.03670114557454,33.37642188759637,E,D,66.17273413543705,E,0
Yes,D,B,E,-26.157937525280406,C,-47.97685092438492,37.67331697726614,90.54788712453251,121.44703314606869,-109.75946523932988,5.570683682596397,B,D,94.00656537721206,E,1
Veteran,D,B,B,87.08408339418854,E,111.24392596721484,46.80390757765867,-70.53411407372785,45.62168563122653,-65.6006938615084,-11.38657789123858,A,E,138.30149749456712,E,1
Veteran,B,C,B,110.6775136507691,E,115.3754526525012,67.53542313173256,13.11505159677609,245.56292185482255,-151.37889187768047,21.33599211049105,C,C,111.03420223729931,D,1
Veteran,A,B,B,148.3675019890383,A,-132.48220859090677,58.21686563612044,-168.98673176375019,7.703343739231817,-266.41457475184654,-125.76652411866003,A,C,6.298296421103604,A,1
Yes,D,B,D,-84.41253519748408,D,-29.98956344780364,60.441398905020925,-91.31323479187868,-5.909861962544176,1.9678682958853153,149.35706552317228,B,B,53.7292697209483,A,0
Veteran,C,E,C,119.76575419564628,D,1.2735747396510886,30.430913149524976,-92.42110059847313,121.526585676293,-70.31033790148814,153.24980734070047,D,D,150.61706595554583,D,1
Veteran,E,A,B,45.70197357090133,B,7.806008316543409,-118.13265417824444,41.57822036162789,-33.98653479814222,56.77016982783989,21.925788397214017,C,D,-229.62681765506673,D,1
Veteran,B,C,B,-153.38062259211114,E,-285.5882071235921,149.39044268267722,-79.44493190762181,146.8716213198608,-107.10362507645397,124.29803599147526,D,C,-100.0914009162154,C,0
Yes,A,D,D,-29.63644905619929,B,-64.79567119445814,-30.95534612113569,-204.84796924147594,-105.43793950908658,-17.584939780507085,-51.260087207083316,E,D,13.534898786709467,C,0
Veteran,D,D,A,65.53704383998267,A,90.93779978620094,-85.14034817833603,-227.15914919081155,-29.713185969627048,-1.1456059195908352,-215.8270793922832,B,E,204.85540008435797,E,0
Non-Veteran,D,A,A,-16.265059386196732,C,112.33524613356403,-130.26117006725957,-2.1524211783289378,37.220005904488396,-18.909819823002067,-36.88979000009925,A,C,-79.77365259785213,D,0
Veteran,A,C,D,48.48515839765092,B,7.343851798983028,134.89205767077962,124.40162734705302,140.46640109168104,-2.998754811103566,50.9473095057685,B,E,-64.44336960908109,A,1
Veteran,A,B,C,8.127217962785231,B,56.42872614687205,-0.6492791847594562,59.97377359644774,40.127566415316174,74.02129620689304,-49.930984924291664,C,B,-125.44285592291806,C,1
Non-Veteran,B,B,A,0.6628564081494797,B,-112.83620519295907,-87.9333716720634,-59.64376626534879,235.12416001271643,71.80417654959733,-92.72297592596684,B,B,-272.9741745442678,B,0
Veteran,C,E,A,-26.277671949348587,A,96.93039685507361,-13.513926839764473,-82.38053551925304,149.66153385754998,99.73514006353439,-209.2836613238701,C,E,-136.32853582097556,C,1
Veteran,E,E,A,73.36811953076108,E,-4.404235824488436,123.74346737531432,-120.6692022054223,-63.7669119443148,25.226904823694586,-27.783835204782687,B,A,91.2898560532419,A,0
Veteran,C,D,D,89.64144954486648,A,-95.94617828858946,126.46005670341438,-69.3604240433846,-21.41070223263597,-132.178983227711,-68.66263226303045,B,D,55.489730262060476,E,0
Veteran,E,B,C,133.45395558245554,A,14.300169008839408,-233.68865495901767,-142.5529844321526,-61.181129490053806,-70.57686276123316,21.96198275389013,E,D,81.57627221485063,A,1
No,A,D,D,-128.3784784444165,D,-10.716124296231182,136.25609046330231,61.40068369701781,-98.58981740811683,33.420539395310584,33.44197056347049,A,A,-23.770098905713724,B,1
Yes,A,A,C,15.265934015950616,D,-188.41979127043376,-144.71279442425225,25.312417591638653,92.08542022126616,133.5256360506801,-30.02826402689221,E,B,127.74722485971932,E,0
Yes,B,B,A,109.40633154519084,A,56.04912246869179,-43.66577287916489,96.58407587384713,4.0636610836187925,-67.99714544012983,-30.729092117398675,D,A,26.51301424542934,C,0
Veteran,C,B,A,52.97206739809906,C,-115.12288002853555,-3.9597881212554245,3.8352640007560326,47.14597018635657,92.81601288958339,31.977413124027837,A,B,59.774460889398775,B,1
Veteran,E,C,A,-89.78851505707729,D,-5.814208993667898,-155.64380851325882,43.3371129019652,188.952804757875,-30.062709776886898,154.16743655933217,A,D,92.82680083491837,E,1
No,D,D,E,85.06177455661332,B,-49.32586466930054,130.19720118146475,32.6332569126007,-70.47044819258522,-27.043970640830633,-24.65040463615144,B,B,-14.831710148699953,D,1
Yes,B,D,E,42.65284825393367,A,-15.09518470401017,107.8924515061962,-93.53149258492441,-27.902769668898824,102.6957110195947,69.43902682187826,A,D,-121.50786385421901,B,0
No,D,C,E,35.026305116563556,B,144.63326795574238,-197.74822205951622,114.9720319175716,55.530807743181256,-126.54946501213509,-106.06183070968645,C,C,55.20930003885097,A,0
Veteran,E,A,A,-7.399356636317105,B,96.00547346547971,63.14950268891424,2.2016514106397986,6.552921659529909,-19.234178453000727,27.80058975676895,D,B,-58.442463543844624,B,0
Yes,E,B,C,-33.183793230589444,A,-126.92003741535845,132.87151966518493,106.86171011091432,-4.898955643868479,-139.92906312993344,52.35044283615772,E,D,25.4759325904341,A,0
Yes,A,A,B,80.65704414178053,C,44.83520978995327,-4.557666821295562,-174.23076396072108,60.59841892608957,-112.35977477477365,-20.93505037463372,E,E,80.89506293402,D,1
Veteran,A,A,E,233.42549298666125,E,-113.4696876214156,-5.080667463164185,98.95984767895455,62.63422535757799,0.3648980458243189,85.16763944192778,D,D,-124.79352374750748,A,0
Yes,B,A,A,14.32827913069372,B,-56.30995549552335,116.8726673789849,-121.06045953814555,-94.4037762726604,39.84484496554738,-82.37687696298075,A,A,-10.324915529221608,B,0
Non-Veteran,D,D,B,-1.320475998445377,B,181.28555533394984,30.834270961500188,-103.45318430009827,-4.724539701331492,-86.7893692178056,47.64703511351493,D,E,154.60668305266842,A,0
Veteran,B,E,C,-72.32759349554887,B,172.86371795380765,82.00647236078052,-68.68733510590714,-61.127085359411545,56.00717815474378,-45.23012572890206,D,E,57.75049921856624,D,0
Yes,E,A,A,36.941267459628754,E,132.57599457045802,15.815086550336524,-48.26426614552867,-143.5413317879885,26.294088835526008,45.54989082992933,D,D,-2.689382282865992,D,1
Yes,E,D,B,146.523523003046,A,-57.62075930296492,86.11608805915597,65.32982131308698,54.26954736117027,92.26976072739434,59.99378704331654,D,D,14.431116217421772,A,1
Non-Veteran,A,E,D,-147.72925820000137,A,-126.24983081176961,166.82270487790078,134.78772307259536,-104.22952559454113,-77.54778218598058,52.01704274177855,A,A,144.2015730819169,B,1
Non-Veteran,C,E,C,16.707159904197077,D,-81.56071803944774,-41.41580147773964,83.33408184270225,-49.577272818392,-72.27528367444296,62.83110543223345,B,B,-12.158197585017332,E,0
Veteran,E,D,B,9.545077759140701,B,189.24790999374622,-90.49217034408159,209.80321392004336,-52.33045466128513,141.78543413865253,-11.96541977169198,E,D,-23.22893376645546,C,0
Veteran,D,C,C,-128.39035144605094,E,54.47097957787872,-107.4456753597107,60.5708986068197,41.82965218968357,-50.94812583919309,147.70048618497168,B,E,-30.50983641754343,C,1
Yes,C,A,A,42.927198107223255,E,-89.6381362509364,-148.5045345310084,137.0440755241109,-55.108652142847916,-140.8370894394822,78.7395409877093,D,C,-107.37136955743165,D,0
Yes,A,B,B,-106.93640109925875,E,129.0421729007199,-91.65623032011445,217.01657582696328,-143.13869416636905,-33.09508693188717,-107.48661135773827,B,C,-31.727474541633477,A,0
No,B,A,D,58.1800806469584,C,-72.4351430199498,-60.463112885905126,-30.41579369295585,-80.07354130242382,-152.08700716443545,-32.01455934964269,B,C,25.56404654296228,B,1
Yes,C,B,B,258.15577936689465,C,75.46686827210429,88.38408205506781,-40.65578239486855,-88.85833389812232,6.677585433551117,36.35672232718487,E,B,10.35375080714094,E,1
No,D,B,D,-108.27457150362136,B,21.141561400644772,-67.24944277436923,-93.49957173624266,-65.561092332208,134.09420687277913,54.03545315015595,B,E,146.24813212571132,D,0
No,D,A,C,-51.58864781038819,D,-15.629305355583186,12.083189280219054,-82.34478794404117,-35.00344111179087,85.47880955385305,-37.4645611204354,A,C,-155.09792944159148,E,0
Yes,D,B,C,-117.13007392247286,C,89.088836727469,-60.366009600832925,15.71578991032028,-50.75837135321885,-133.6360080222622,174.2805235091266,B,C,90.58325909222023,B,1
Veteran,E,E,D,-186.55557406362524,C,-86.1881304967287,26.573393109756704,-54.56456795478849,170.23493599112004,-60.73723637096492,158.35126743696438,D,D,141.89233900751222,E,1
Yes,C,B,E,86.88992797895871,A,61.40053741219962,-47.955868209604866,156.63016185704143,71.23221116520595,-20.181289797161963,-19.1664570687272,E,A,-44.60040163489739,E,1
Veteran,E,C,D,99.25375704101562,E,-151.1190063986395,-6.647435901570548,-118.71836422752196,-11.835098897075651,117.77832218352755,83.58006069396909,A,C,-109.27024126690029,C,0
Non-Veteran,B,D,C,141.29331542997903,B,24.26748963917612,-18.160864701984796,81.6180902824816,-117.68973206458297,-11.155172653888128,-13.491254129265473,A,B,214.49693979593854,A,0
Non-Veteran,B,D,A,-24.899345177479745,B,10.22411116245436,65.62533843286221,-70.7636454098496,-26.013935146409274,-78.28283931464517,-166.0414980808457,B,E,-101.27299376983325,A,0
Yes,E,D,A,8.561941037211593,C,-82.05377935750894,-109.57738620022819,173.40212560206353,79.00928223087593,-40.419594719432425,-162.02335810322253,D,C,53.85377960500312,D,1
Yes,B,A,B,-18.446364291456128,B,20.009240112960267,-115.45595743125159,-77.14708619905656,34.95396975136638,-73.09553949952473,44.61438936081958,B,B,-73.4437101624147,D,0
No,B,E,D,0.0611940015387753,C,58.48254974296333,211.05187402595442,130.32713756381787,26.29130822930922,-154.3648647467982,-69.60582639080963,D,A,91.69905315314541,D,1
Non-Veteran,D,E,D,-100.41643059499906,B,-64.05447688020655,1.15559526490277,-46.04366560992371,-64.62340352849759,35.058975113255144,86.07569706962666,C,B,42.287868333908534,C,1
Veteran,A,E,C,-74.17299482425676,A,192.3342352571162,9.070039663971507,-32.826047743273605,-80.0156925880545,101.69093729897791,235.81226328687666,E,A,-198.26730671888265,E,0
Non-Veteran,E,E,D,-104.08466795575235,B,-179.0807949263537,-31.855000914898696,-129.040955279886,-165.91423847977094,-90.18111557993427,7.125645852445804,A,D,50.45195640604982,D,1
Veteran,B,A,B,50.0797120841612,A,-85.70403492610231,-152.22459865883178,3.897435459500611,259.8762404387532,100.04012238207407,-91.8126241558861,B,B,-11.843847676450899,C,1
Yes,D,D,E,156.3927678813286,D,56.007572660081784,86.68350542528019,21.917172428163166,46.82944798814089,22.29776594578961,53.18343312924774,A,D,132.10866192997003,C,1
Non-Veteran,D,C,C,-165.18505548419367,A,-70.69086928266262,-139.6924186369874,55.76637727750852,-48.10537367093412,-218.8089507996619,39.51086268467659,C,C,59.341823250603376,B,0
No,B,C,D,-70.16202242460638,E,-167.7271127633393,115.07962267898613,-116.76131200578783,-123.21727570003497,36.37999376705053,-65.6799593527852,C,D,44.12348758735295,B,0
Non-Veteran,E,D,D,-50.4445482547091,D,-133.7762368197087,-21.69008249097397,1.9634974054002319,149.05831941645803,-7.701722884745848,-85.49851700069063,D,D,-5.08569276173868,A,1
Non-Veteran,A,B,E,-32.8057753391976,C,32.3355657119705,-65.05223581258356,-90.11479759382513,-87.3521691215389,-153.93360949118346,-234.87890982832306,B,E,56.37940555752389,B,1
Non-Veteran,E,B,C,-23.768799604675365,D,-171.47517339859894,52.46497612807409,6.379955845813805,8.457202723513198,67.39758463899832,-70.47648157266981,D,B,73.66354619627027,D,1
Veteran,D,C,A,47.74479827900988,A,-123.0699817732698,-23.19722990914666,-80.2089249690362,113.8912071416249,-14.549429926743986,30.45644833182319,D,C,69.20403836586608,E,1
No,E,A,D,-69.52216650735802,E,-121.49568259058543,-37.97130496631721,-125.48877192448862,209.61944193884165,-109.92005486894392,45.98572847040631,D,C,20.627861541127228,C,1
Non-Veteran,E,E,D,-308.3544569400068,C,250.58618082913955,91.0494442332002,62.44780280585307,49.50228013052223,27.821645855604704,164.34713104546572,E,A,144.5692254796674,A,1
Non-Veteran,A,C,A,69.75517051197654,B,176.43965812823194,245.8351560787189,45.10096131258766,12.199670975330884,10.385179386187415,-122.21034079751432,E,B,-124.5089519770247,E,1
Veteran,A,B,D,-93.31409937507158,E,48.56987872708055,44.14033569006848,122.78038630987868,-38.5744818161058,-23.81042921386922,32.305684795459086,B,A,-11.949525009577512,E,1
Non-Veteran,B,E,C,59.28248412615886,D,-4.3905921631829266,71.09355261704042,139.1505220345304,-99.50250168595521,61.5887813293718,72.04379111533194,C,E,-80.2449478232422,A,1
Veteran,A,C,C,31.61874664946173,D,-51.48830014570041,103.62302594341737,6.7575578569694565,103.71064482698402,22.12859019566365,-235.40333387738633,C,E,31.123081555788566,A,1
Veteran,C,D,B,52.350395849615126,A,-38.53627203088661,-77.2824525774589,-187.93024066750849,-73.22231265083073,32.537063315148565,-27.724762316659824,B,B,93.97200010716212,D,1
