nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Brazil,M,Asian,E,37.48326222762775,-95.25989208918834,129.95744259905692,D,B,-46.601752544462336,B,E,161.8811597949737,104.60490168041927,8.00249819955208,5.137117748889182,-14.696441617897744,1
Other,M,Asian,B,-70.99768462991115,65.86842733245128,52.65905452213667,C,D,-40.935601425316484,C,E,-48.307326007072206,135.5772884893459,69.01590492748923,14.160174923888588,-9.51491935189977,1
Brazil,Other,Hispanic,C,120.88737987073601,42.69756910578911,-8.90887615566946,E,A,-108.73151242661262,C,D,126.46034308478711,-158.58750460293805,-107.54212889612269,-118.40595560412726,-93.36596722007316,0
Germany,Non-binary,Black,E,-44.956392375447805,-83.4112271350995,-94.65240553868279,B,E,-54.28783885465761,B,E,-65.3873162352663,-102.79897497653742,-81.2939293570995,-40.371945011069805,-76.65292565297514,0
Germany,Other,African American,B,78.09124559313739,82.0464482561014,1.0462437757762733,D,D,-21.433105772239344,E,C,-144.56608611687548,310.39392375724424,117.8972099754446,-37.185766193919164,-57.43383363985042,1
Other,Male,African American,E,-84.52531014881295,-32.436845551230356,103.67511562630443,B,D,232.8071399507139,C,B,105.71176162770956,-171.2246023230235,223.47937318578582,5.123690874167143,223.35691386691886,0
Brazil,M,Black,C,64.96359534500047,25.100695257372717,-41.73671961377256,C,D,-9.419095397091283,C,A,-98.48778254244533,-15.899746093358583,163.36088280355352,2.981930971258001,-66.28613677385525,1
US,F,Black,B,10.28963882115122,216.31908332010877,-6.894072744239395,D,D,9.421604047930545,B,C,56.83588665370427,6.131126453698764,168.59135965714677,-31.593063582170462,115.2831438574351,1
UK,Other,Hispanic,C,37.23503411782745,-82.1472158589038,-84.91576524240648,B,A,-120.65460034760045,B,D,81.78051480718686,11.50151330720188,5.34034958843049,8.703031653044327,-105.17497122304636,0
Other,Non-binary,Black,B,-75.540066527486,40.630877944626576,37.80425095482113,E,B,-46.08816476978709,D,E,175.84902805875222,76.75078478261163,-21.20085939198361,-190.97585631119566,32.583164014844876,1
UK,F,Other,B,2.313652660656989,-68.08115815024881,-77.85657744353323,A,C,1.8978220430683428,D,E,67.85396240203325,-128.7996310091515,40.68940946592413,-114.12000902272894,-4.465284264340592,1
China,M,White,C,155.14548169444592,-25.832097147464022,44.64129018090068,A,C,160.61340913222614,D,E,170.22950147183366,167.85120297026438,142.98754544719958,-29.159409144037372,-93.86714700793378,0
Brazil,Female,White,B,-44.472904715990275,-72.21288537924954,60.4147128546801,C,E,-189.67350412943583,B,E,-208.93380778190308,-18.322875543704804,-149.28359129199984,-64.69784763859145,149.3324316948684,1
Germany,Female,Asian,A,-133.25185340725415,60.36572070018866,-81.60309221273462,B,B,-92.1364037622544,C,D,-158.84335070854226,92.50791562422107,-8.324596762581708,72.67927366038369,-4.647422266149439,0
China,Female,Other,D,-38.30989150721715,115.78914538717196,-26.313128412547332,A,E,-13.326696821313433,B,C,111.21325561195465,-92.4243786973241,101.77654005204187,28.287776254650854,40.26931024263685,1
UK,M,Other,D,-44.481411562337684,4.928415238337804,27.845984639445415,A,C,-49.348872293662026,C,B,64.57543822893038,20.803871405900697,-118.5595718888151,-134.59305513672743,-14.026206439643024,1
Germany,Female,White,A,-56.724084739577364,-48.9587502436612,-4.1751148475680155,E,C,50.82153967181768,E,E,76.2879005638694,-27.605204562888375,-66.16732653178641,113.89511974660749,-70.92173108470283,1
Mexico,Female,Asian,A,23.47865224727262,-118.98974411042398,65.56312818539966,B,E,-50.72516376776856,B,C,-19.44089611920271,46.61679444199735,-97.44181819881295,24.90128926434546,-104.76340560650475,0
UK,Male,Hispanic,D,-51.37643594068619,64.93400346553936,53.27717144667232,D,B,5.983220586980135,B,E,26.574511066463447,-1.7508249761572277,-50.3469327200454,-80.56921276132798,-87.11324474943451,0
Brazil,F,African American,D,-17.79757724337301,125.11727985963358,-22.954911723522084,E,A,99.92205154652356,D,B,-155.16000785678736,28.926607807804732,-49.641524043295874,-296.4088555540703,27.870959881976432,0
China,Male,Other,A,-33.97414076870911,-168.44944154855915,100.68774176611896,C,D,117.51379767121055,B,A,-55.70278930971718,-76.51893370637096,44.15086433485238,98.9670189134839,107.08549052040215,1
India,F,Black,D,-125.96813528081125,-158.72721969621566,-59.12862647705188,D,D,-32.937415159958654,D,C,-66.30356910658729,12.555546911297984,-28.862844167723416,102.46120769639609,-41.19256420875828,0
Other,Other,Hispanic,E,-86.2113712840913,99.16355588435655,-25.47895091217037,A,A,-12.70215176708231,B,C,-27.246634343149655,-82.4529146778666,-27.787793245982577,68.88816400321954,-185.31043357473268,1
India,Non-binary,White,D,-126.07340025773301,-50.96829462006796,70.77985431031875,B,E,19.052551317765605,A,B,-34.50973875295615,86.45558201086381,-81.438160159826,52.92811706730858,-39.80004998101839,1
Brazil,Male,Black,C,-181.13398397509368,37.20178947769303,90.9593379188118,C,B,-230.97815334910422,D,C,-85.61248155545593,74.28897247065875,-160.89726214000578,88.07635109711008,-40.63972506311038,1
US,Male,Black,B,72.34658485707307,-59.990597626884764,31.170118544102447,B,B,-168.08660013937347,D,C,126.07892562524536,-159.67941854778744,-46.02299609616723,-287.011296750039,-186.76646347676177,1
US,Male,Other,A,-112.10349316181419,73.25388218666848,29.96069050138833,D,E,-69.05878991008392,B,D,-43.76547199812914,-77.43761752506875,47.04618497412527,-135.23141114291522,190.2347443299841,1
India,Other,White,B,-3.5943913084381918,-255.7570462274239,-23.062118975942717,E,E,-10.811801423295782,E,E,36.43436939767523,18.385574714141644,-96.07326232281422,-21.399064984701237,-58.15319293322825,1
Germany,F,Black,E,73.5669680195205,-105.31281580201646,77.97702802453809,E,C,71.67806199016404,A,D,-183.68802720351692,-61.43677931280664,-48.76658615379553,-187.4114587036217,124.989797141556,1
India,Non-binary,African American,C,-143.81218672291405,-63.925847023435544,29.73970335577045,E,C,-58.21958231849218,B,B,-164.05409612450418,212.41756728800274,-115.03188105785875,1.9946916703153597,-162.06515140733885,0
Other,M,African American,C,27.031850733030993,101.65906182546681,159.9503246670536,E,E,207.70202292984402,A,E,91.8280281091249,-62.147502565928036,52.26617377167797,146.52750459878303,-166.1482642727388,1
Germany,Non-binary,Black,D,126.82234166985506,68.42735340398815,-59.18010989138136,D,D,135.21023552488973,B,A,9.690225385402282,-108.26541931804856,-1.1171202920535064,-39.79578813330061,174.91347039347534,1
Brazil,Male,Black,E,-108.04890209099752,82.13156639200393,-112.44767432345564,E,E,-114.64472895265021,A,B,-67.56099329477775,95.57370962004127,-34.32543530930189,-40.776962063281445,60.81172342683116,0
UK,F,Other,A,-147.11938574634098,84.15407764007296,24.33037351512236,B,E,14.37340782791557,B,C,11.610061851319967,-7.942295208541034,170.70749655437075,34.91679014274428,-0.5723865848450085,0
Germany,M,Other,B,99.9917294022399,160.51401715037403,140.67365298833823,D,E,-134.3796812442298,B,D,-4.144304436823441,57.402050884501946,88.46506613661265,-121.64117924885292,138.3220556445397,0
India,Non-binary,Asian,D,-103.68753376863538,115.01358983902045,243.04582939595227,C,D,-27.843012896060525,D,E,43.04382737568458,5.793306208740808,-39.2446975515772,158.4355800789718,8.784058653552487,0
China,F,Hispanic,C,85.80858222808274,262.34790309693375,26.66487418951054,D,B,90.98264582784023,E,A,-51.55895463605324,-28.983395028483393,122.9719988615625,-90.14940973522857,124.1561609451914,0
Brazil,Non-binary,African American,D,163.79124089416692,64.30564742398339,-130.59697276320173,B,E,-21.684467184583983,A,D,-115.26475789888366,4.330233864978859,138.79779109225743,-104.35827155988184,-209.87960424930176,0
Brazil,Other,Black,E,123.91691296249235,-156.12849780479988,128.62395175578814,A,E,-57.70028089682562,B,B,56.25380792206731,81.33447755918158,-19.582963003250782,-95.06865263074437,16.093709566295033,0
Brazil,Other,Hispanic,B,-16.099235017284645,-46.51200774452773,74.86752427729535,B,A,66.33881654654033,A,A,105.19663412247917,160.549276781222,1.4002966199159088,-35.7136927805211,22.45200041742546,1
US,Other,Black,D,11.14458287372594,-142.65285850911755,6.698082775390739,B,C,148.33844718229702,D,D,141.1976479713221,-8.09639413757771,155.14064591999687,94.37691935807304,-24.99544567642305,1
Brazil,F,Asian,C,76.91405519552784,34.79820982476644,22.215437658463443,C,D,13.689509415673779,C,E,78.08899931786742,33.18885618290221,-56.06110355605044,131.2541902870718,-15.449346577818426,1
Brazil,Female,White,B,186.90883311388248,35.890879510939826,-72.45055914766664,C,E,-17.751249732979197,A,B,-94.1548495108286,151.1983509548121,17.07502886880225,137.9317824302405,18.475218419600804,0
Brazil,Male,Other,A,-115.56130708419703,31.435714361147678,111.23292025129112,E,D,21.460387327886796,E,B,36.82684086105568,17.94637257597187,94.84148067284333,-135.5926757246477,120.43139470058502,1
Germany,M,Hispanic,A,-47.01911606757155,-65.68868132989422,-58.96841974780508,E,A,-123.1231725695903,D,A,-232.9335327076902,61.770630107647015,15.507288569167867,-90.71742361659675,-10.937265156093549,1
Mexico,Non-binary,White,A,-56.189914454785985,15.078372665060572,19.459438979139374,D,A,54.504319478220395,A,B,99.54862520820771,-17.506936062673116,88.1904627280921,-32.60476527417661,-184.1334086753146,1
Mexico,M,African American,A,-169.89199698609235,13.037036227517445,87.45829354289344,D,D,-91.7337610688158,A,B,-113.06720602970952,191.87137138482666,200.26418721606473,43.05677319422662,35.70984583723657,0
Brazil,Female,Asian,D,-49.67098812366512,91.26302440407757,65.38295004315489,D,B,88.56455681016746,D,E,66.62424764389449,-37.781259218877054,119.05814923754201,40.65676405469787,13.766748030617382,0
Mexico,Female,Other,C,-4.436795729398863,-24.622022159089944,-142.75322948646084,C,E,-14.438990439879179,B,E,261.2152179121142,75.31164596865867,58.3190774075768,-118.41844960835812,178.86889095871135,1
UK,Male,White,C,16.859969982620857,-51.51081247838096,-12.808521305686787,D,B,-2.3047407346878166,B,A,-111.41350609218384,-63.11150819178485,-86.81545504335836,204.23206028042645,36.91555691667845,0
Other,F,Other,E,144.89773188752267,-124.42857278692605,-13.157680957555112,A,A,77.89308669287742,C,C,-59.65763187802619,-184.1282572778398,49.0136765738374,13.24230070331544,-117.30729506472528,1
Other,Other,Other,C,96.14179037023266,58.376591179324436,149.6173683885695,A,D,-47.51520508985887,D,D,16.660632887847786,-16.57332657250358,-62.91140790994084,34.45501987381518,-9.068735566404936,1
Brazil,F,Hispanic,D,-0.27449725300892414,-97.37325682690039,161.86876721402575,B,C,-43.71792824593302,E,A,-70.23959172512052,-117.43823895873182,63.8391004667897,31.60243727914206,-2.0328660219166093,1
Mexico,M,Asian,C,60.68538352231202,84.0447897300264,-61.066141094085644,C,E,157.8361562638803,D,D,-75.17593949365681,-90.27409005854389,4.636708140499555,152.9549298383251,62.20797260195018,1
US,Male,Hispanic,D,27.045855179199098,2.401734017922407,20.340236777025776,C,A,-116.34647288644328,C,A,-65.39001686084941,-17.495196957198797,107.29409340614208,43.92415431454605,198.9158490779053,1
India,M,White,B,-42.9265961245403,52.059994948548116,30.027024418128494,D,E,-33.30530525305055,D,B,-69.33484035911628,-35.34127205024002,-35.2416645927087,134.20323534145336,85.60425727546031,1
Mexico,M,Black,A,-72.86688152677682,50.31765542470386,103.21484165997006,E,C,10.585754458488802,E,E,-133.59345575248423,-45.692519697748665,102.54057281498167,18.214755979734637,17.43393213857334,1
Germany,M,African American,E,-17.021425795644678,31.673778026996622,147.97673708966252,D,A,67.77419890786786,B,B,-38.84018551123089,21.80221972073408,-61.44893145445518,0.6074151464411197,-16.32218296217647,0
US,Female,Hispanic,A,164.11614813880837,158.27334474659742,-224.79429961230895,D,D,102.52098701889952,C,D,-42.214128095913026,-276.30414504456843,25.200899111031326,-112.32240062369492,-29.05527598928056,1
Germany,Other,Asian,D,-120.56286144604191,106.03825497515655,285.6940802960403,B,D,58.16191965523423,D,E,72.18092342780551,60.33437627760606,233.3165741762508,72.68524261393637,-29.516289547374864,1
Other,Female,Other,B,99.00283592947098,-150.6280454209081,-90.5702664231862,C,B,9.758472252166586,A,D,-159.626191326708,43.219384677926456,-60.347382924146075,212.56307598265897,-62.45642547358477,1
China,Other,Other,C,19.121621938427637,-25.656465303929505,43.37687984226325,A,A,-84.67564816018202,E,C,83.54195087400376,-21.324428691547574,-141.55204368698514,-21.689511315769593,116.05543569949918,1
Mexico,Male,African American,E,124.75669359963315,-62.1767670793404,-11.57284337126975,B,D,-76.43598030693943,B,B,-124.0951438229312,98.46519958778691,-119.84852816399922,-68.47423928249597,-17.952347637073874,1
UK,Non-binary,Asian,E,-98.1730862462778,-56.78036340659267,78.43121512848812,C,E,-53.96344195393108,A,C,153.6087556582519,-81.78040334615913,-87.66179737973097,105.37429791921087,-90.39501737191236,1
Mexico,Male,African American,D,21.905431847148357,24.186975546308787,125.63603982742009,B,C,2.1469351151997405,A,D,-206.19032069900953,-28.43449680931923,-43.14566517904114,-80.25018881500739,81.18080377261892,1
Other,Male,Hispanic,A,16.496688704064365,70.72137932510405,60.48782048806222,C,C,25.183045148398453,A,E,266.80302181396473,113.43759352813277,58.63309058247663,42.90838872243338,94.17327046184775,1
China,Male,Black,D,63.11666325891028,-137.90706350310512,96.80525589804861,A,A,76.3999467274667,E,D,-111.22905590351839,45.58539915499415,-22.545939985797997,-170.6898880171865,-151.86280766277582,0
US,Other,Other,E,51.68281994767975,-30.88815188383093,147.0047255745232,C,B,44.343101264925906,B,B,-131.88161129469523,172.72976632764818,-62.29271946470869,-164.73952474833297,-30.64856312699198,0
UK,Other,Asian,D,20.030087721412396,26.44307973294201,203.99400783120453,C,A,13.030610993130903,D,B,138.10045650388722,-49.906124001673376,14.03064876769615,-95.35290031641141,7.166277242227912,1
India,Male,Other,B,107.78650787907176,-12.744937840914766,-98.17158552925572,E,E,-14.040953995543395,B,A,62.14060752273759,229.59877137140228,132.48306114314417,-63.55927698730822,227.4679610944502,1
Brazil,Male,White,C,107.87383677876925,-50.40004823731482,75.169118864933,B,B,134.04919228749884,C,B,235.81485057812537,78.65416526318839,51.587835000165995,66.03177717881294,47.63987443590237,0
Other,F,Asian,C,-6.31532275919309,162.32099508365036,-21.621919142212352,A,D,-80.91077272476275,A,C,74.07415389826582,190.5883195533705,-172.541372464169,107.60131751151967,-94.95244980268667,0
Mexico,M,Asian,A,73.51372463936262,-108.38338286065469,140.8003541712415,B,D,-126.64958591121325,D,C,206.73714690644692,114.40407188965551,22.024193057362428,-62.89322506071883,-149.35106823282405,0
Other,F,Other,C,-26.17279156274669,82.94236968227054,-72.8501111385189,E,E,-152.53034927063314,A,A,-59.335449291576545,-143.06106130015283,63.93780046733344,-57.650925047853704,-95.40782059973748,0
Other,Non-binary,White,D,-32.774693766690824,73.53847582714249,-85.24094474658406,A,D,105.46285667658451,E,D,-114.49138517579591,4.325779787035054,-92.1121677618049,178.12008046728525,162.37342982842281,0
UK,Female,Hispanic,B,121.63201643147808,-108.40024526523125,73.62588411459348,D,D,227.85429916092733,D,E,75.60020097784971,-81.00493102625748,27.563102918897563,32.081312033662904,52.48149010182206,0
Germany,Female,African American,D,-21.006877712732997,-123.75658640479672,-64.38775028674222,B,E,125.04873090838214,E,C,-92.91379028966226,-2.2362563828438384,-73.84623713414771,202.69919716487038,111.82257984662681,1
China,Male,Other,C,44.63920702176272,-125.93364340306188,68.2053320475004,C,B,94.70805161696117,D,A,152.03507758023252,-1.7469224970630681,-8.75963369410413,-75.45496732319278,64.04524421835539,1
China,F,Black,A,57.39751142425761,187.89577209362193,-46.065012833117855,C,A,-89.37884149736406,E,A,-24.689140152166523,71.5658890084957,3.903764255545465,61.10017299233517,40.955910381244955,0
Mexico,Female,Hispanic,E,-44.59249474072768,-153.28738803914374,241.8660223027548,D,E,-99.39255617358931,B,C,12.20796336400478,23.667842521125916,-43.13276273702155,108.87094363636032,11.74747941622217,0
Brazil,M,Other,D,-86.90437463410811,169.74342443277627,106.68726164326243,C,E,100.13519418441884,D,D,114.94527110333614,-41.35977716420995,-107.2453801966977,60.35469752945038,-43.80086465916948,0
China,Female,Hispanic,D,-207.5437498615541,6.70029377263284,-17.242496973006933,B,C,9.740917458272165,E,E,-47.9587038541411,34.12936051126299,78.85767195266732,65.41070978054448,-33.1411905334567,0
US,Other,White,A,5.405873205915463,90.18421198016529,178.51699087215295,D,D,154.57510797744402,C,D,33.69921672374685,89.88964019824324,-53.70658458774757,-119.33733273396669,8.507968789108773,0
Germany,F,Other,C,-12.810641424581902,92.9549782195181,-60.20794429541084,D,D,206.95497585394978,C,E,-91.61262363887793,102.3793935190336,-147.16380256190956,-6.701278598620177,81.48515042790515,0
India,F,Black,C,263.9633195483996,74.49502931582177,18.45564511115452,D,A,3.365920699465444,D,D,-54.6937033862645,50.93255020235984,63.83482697510898,-99.65636038183109,66.99994971082859,0
UK,Other,Asian,C,-157.72000177050293,41.59687579094022,-23.15357228639475,C,A,-29.784655367467476,E,B,-58.78099371992721,46.9217324422541,-25.2538155503884,-101.03916310239649,-128.8889638664108,0
Mexico,Non-binary,Black,B,57.59839759518549,-97.01719641471982,1.9842936889797795,E,A,-192.90005506478028,A,D,-61.424494332976934,-45.2209910310786,90.68304910022106,94.13971356941755,59.29279138364325,1
Brazil,F,Hispanic,E,-2.915175479449985,-114.50183104484056,37.41196714952415,A,D,136.45591339774128,D,B,88.66729186470181,-64.68344207578602,-85.9334248071294,-45.05223424269769,79.35257203663103,1
US,F,Hispanic,E,-78.57450783522872,-64.27926696958357,103.62595907356564,C,A,-38.164041463374,D,B,-261.62525347258685,-186.72270857557334,295.6743878101687,131.19838370120726,308.6872398387602,0
Other,Non-binary,Other,B,-140.359003581987,94.6683141875562,226.6345763119038,E,D,-18.084789619677995,A,B,-111.32970948869365,-101.99216290442831,-13.85226886472137,80.80469248102882,9.195741894833375,1
Brazil,Non-binary,Hispanic,D,5.028334598720939,70.91708369099396,-12.020580802137303,B,B,95.8126571885094,A,C,21.05267218770167,22.461465354702547,-6.944830536480273,-126.5729521303926,-57.19590184127886,1
India,Female,Black,B,118.57830599153733,50.00346583325918,-164.93296214204142,D,E,124.19518804952534,A,E,84.59215574955458,-92.91420844611432,-269.41153510108177,-4.497384836581165,6.0290375179790505,0
Germany,Male,Asian,E,-10.971277108272695,8.107338062793112,-82.6948065574746,C,B,-41.504941795803816,B,C,-63.93915508212461,-102.69830485415774,-167.54505949010343,138.74132137073346,1.8470195044674103,0
Germany,Non-binary,White,B,78.95923782283178,-171.03038232343565,97.78246103185862,A,A,-12.262455426840198,D,D,5.846153689395808,70.06412729001886,-25.641343538070295,217.40894193996314,-158.9121364848342,0
Germany,Non-binary,White,D,57.16087298555041,-57.85547080663932,-83.6719004665531,D,D,138.70981305789073,C,C,-275.6566462458203,-44.21770343312787,-21.690447560280816,246.1825341020241,-14.259956507138929,1
Other,Other,Other,B,46.66635279865218,-14.933813856599256,73.65353139147506,C,D,-15.107509988693357,A,B,-71.76296377165187,-103.46223193896896,131.68723634469603,129.14959457554528,188.3726021485607,0
India,M,Asian,D,-45.16221823980866,-36.70916708787782,-2.948642602118731,D,A,18.711015342750155,C,B,20.34325235985377,11.368615123259078,-22.844249956591444,-31.74955927208091,26.01789615922089,0
Mexico,M,White,C,-269.5190461329279,-176.5562235074458,1.7379593714982315,D,A,99.73513534744582,D,B,-86.06492260171748,-45.684589649107785,18.17127911072813,141.7690578770411,135.68484647517337,1
India,Non-binary,Other,C,261.22729605651824,-60.08581689499122,-36.05123402788241,C,C,99.36155420762563,B,E,-92.09706735946793,-31.090947868794593,-96.55115942149786,-139.34744227854355,72.66350220104246,1
Brazil,Non-binary,Asian,B,175.66520109973206,118.02080860462627,18.315266138655232,E,B,-49.81559776412811,C,B,224.39224250740696,260.2233656158289,-30.014880423186945,52.01903450558477,143.09615976928833,0
Other,M,Other,A,-50.84072162084183,15.64959205938578,8.475419146916229,C,C,38.00153525623867,A,A,-25.941986908160136,93.22938660037893,-41.66204708554292,12.129338533789774,23.505321572148322,1
India,Other,White,A,-12.716704510190619,-90.01854750982817,-158.1559834785459,C,C,177.79379467771216,A,E,3.684339765071215,124.69206892315017,41.852764299857945,80.5252329657466,50.88595744391869,0
China,M,Hispanic,D,-24.49553216902248,40.90292974113001,-23.251204389777286,A,D,-1.7534960091473026,D,E,-53.57174364315007,-99.34091916529046,-193.62499197812272,-293.51076969329665,-97.31289853013226,0
Germany,Female,African American,A,88.58720427959658,-71.62458000848406,197.6558257476363,D,A,-198.1226572197972,A,C,11.198948843726779,-117.00004324893352,165.181202548616,-41.887948189313256,-289.845843605852,1
UK,F,Hispanic,E,144.27051939582356,-60.88668321844099,142.6644942780358,D,C,-31.617779894176756,E,B,232.48091753778638,-2.293576326650615,94.01641843398194,-11.580744502970566,17.89852916528521,1
UK,Male,Black,A,32.19415220282285,18.804686963958105,-80.04341604123815,B,D,-13.578272401256886,B,C,42.15444750842928,4.2581543988800625,-80.06078617097334,19.682386752150062,38.33479079034894,1
China,F,Other,B,-50.98246249383796,-121.07211634280766,79.29840749812087,B,B,-65.28566092455853,A,D,-110.04859922918718,-168.07940683817992,-55.49658511464109,-71.7909964699556,20.854333284782015,1
UK,Male,Hispanic,A,89.58518655220018,-11.038458130009582,-37.84334301651468,A,D,-102.16456749142633,D,D,-97.95981560472372,-15.393893667307177,-5.90334459921504,-103.84434218273584,-95.60115384329667,1
UK,Male,Other,D,82.47027770357278,106.38024838782174,-68.1081593213434,D,D,1.321570449663884,E,E,121.15008561614462,74.72457157109957,-195.89210640198877,-37.85359089041266,129.66453701286122,1
China,F,Hispanic,E,116.96387908233865,-48.009717970423225,38.73392016230541,B,A,-54.957194629512465,D,E,-99.41422746218271,-105.36914553287693,29.153665196435703,-31.062942518760018,-154.02552729590985,0
UK,M,Hispanic,D,10.21379502947996,149.17590726369488,62.103609115609714,D,C,-52.83809878463409,A,A,168.93836541737178,136.98054146805254,67.54833067172414,-13.212244994261141,-97.89910788352019,0
India,Non-binary,African American,A,-101.5100743806884,52.472421622176945,173.29503821234866,D,D,12.269508603066756,C,D,-26.310724051197948,123.53613987669452,-58.17848231149084,187.0299932503294,-369.6415716285672,1
Mexico,M,Asian,D,47.81651024919282,187.84062191963133,-197.64398182574308,C,A,31.636165605741052,C,B,37.27908708922785,-106.39883279077553,-142.79608995019436,11.262120497000344,-185.5792761529705,0
Mexico,M,Asian,B,-79.78340734742876,-38.94811909321795,-164.346505647604,E,A,-92.859748944578,A,D,110.3984068643915,25.520001595519208,85.27982277827988,-138.05218975372173,-74.50772075293479,0
India,M,Other,D,117.08492855994773,61.713857993186224,-25.45220173068162,D,A,-103.62948844185793,E,C,-23.233412172289018,-3.4983486495779883,163.4595067607603,153.5301951276286,228.57115535700575,1
Mexico,Non-binary,Hispanic,A,-26.69870473029302,-77.67124166792114,-172.21434687135834,D,A,-20.407971511610718,A,D,11.548365049722893,-25.46753785604954,-181.73043911892802,63.797853745237134,-93.75503318285377,0
India,Male,Hispanic,A,1.4335311208486512,56.28141848738687,91.66144663353425,D,E,-7.286415115706994,C,C,-176.56748453858162,-19.78898705310998,85.34177042434892,-21.16102037016998,32.060203939097775,0
India,Female,African American,E,130.6931667275279,-178.54659727536261,-71.1607029542793,A,D,-135.70391852517974,C,D,8.551021696672306,-87.57154545161461,-177.62290325313825,58.99379559171154,-65.58586988575628,0
Other,M,African American,D,-34.038362235151084,-101.16809862870866,-43.746453071334365,B,A,158.35262395181928,B,B,-157.53175988646365,-5.3627648561090115,-134.13267094388442,14.822447754913892,7.010918867306584,1
India,Male,White,E,-53.116313978731775,123.04890312412591,-39.030038379604676,E,B,80.23832615127371,E,C,-6.02069356253588,-34.89888372070321,-64.46602149864961,-5.573591387629624,109.56622189565854,1
US,F,Other,E,-19.049332166209435,12.838078751667577,68.83643183365619,C,D,-199.54210214602872,E,A,13.136044623215689,21.709640565330186,56.285371340014315,14.917458958763511,-90.08184247426054,0
Germany,Female,Asian,E,-31.71463548505829,17.49516110796063,-18.08319174967112,C,D,-208.64600070707695,A,E,-44.50897269333896,3.858806916789236,-31.224714170885843,118.43212587109126,40.74708659404844,1
Germany,Non-binary,Asian,C,-44.78451020355724,-76.72671547747191,25.37010854516661,C,A,61.376971243417024,B,C,-125.2818493914249,-92.829780866105,-83.53110688792371,-155.28154009950498,-66.6943218516005,0
