Age,age_group,Disability,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
72,18-25,Yes,Homosexual,E,B,105.85705341677047,-56.130683721676924,-122.86560297562264,E,B,-68.47645618062296,C,103.23471940014188,B,252.21420811962125,D,D,B,0
39,18-25,None,Other,E,E,104.3962229555069,297.42195350971707,-14.21251346847946,D,E,-13.665863292565076,E,118.8379569085932,B,156.32874146377858,A,B,E,0
18,51-65,No,Heterosexual,D,B,12.741677019134091,-80.68215521562091,49.07089202478494,B,E,118.70625249471007,A,-90.46136297589385,B,-111.7063532387751,E,C,A,1
89,18-25,Both,Heterosexual,D,D,168.9758814765917,37.49939716110121,-9.87351937616153,C,D,18.361360273468577,E,89.20334588994639,E,-223.71908588942176,C,A,A,1
38,51-65,Yes,Bisexual,E,C,-103.26522004172372,116.3340071784726,-157.60990664234055,A,A,27.25042990469798,B,61.812296089715005,D,-74.16171556974226,B,C,B,1
38,36-50,Yes,Bisexual,B,C,76.92483013521645,-4.776929870466221,-141.3156429869159,A,A,150.63790597939217,C,-150.47247994761466,B,-0.7774860045743256,C,C,D,0
96,26-35,Mental,Other,A,C,-64.78489849721495,-97.62671978531863,144.23658767914333,A,C,1.6844830387138106,B,50.52204767555077,C,68.09408436965988,C,B,D,1
27,18-25,None,Homosexual,E,C,31.46564039119054,58.14102042696536,24.019857500365685,E,C,-100.32821562963817,E,4.164593113493911,C,-8.89247013253846,B,C,C,0
54,51-65,Mental,Other,C,C,-51.73620838171543,110.84027660252262,-65.54268865062049,A,B,-127.02015587621666,B,24.29311370415439,B,-47.47819763556878,E,E,E,1
29,36-50,Mental,Bisexual,B,C,145.62654221732873,-141.97951256780107,152.38513177685564,B,B,-74.27632976143374,E,-117.73152169499805,E,157.82571276164822,C,B,E,1
26,65+,Mental,Homosexual,E,E,120.3443172250753,10.667162645330581,-58.411451667268096,E,C,-15.899300690901033,E,58.1893606211719,B,40.882818915573274,A,B,C,1
83,26-35,Mental,Bisexual,C,D,111.08035463682697,82.56573658424739,-212.10670508912185,D,A,-230.03248613874683,E,39.47035782146226,D,60.89624240884066,C,E,A,1
32,51-65,Both,Bisexual,A,E,15.68532741577379,-3.8186864864050025,-40.20384293597743,E,E,53.18319851264891,C,94.35997506264148,E,99.37450402030832,A,A,B,0
61,65+,No,Homosexual,B,E,-0.2322033023452424,15.028369369645379,-1.1405258626274122,A,A,-165.92260176378085,E,56.394641678934164,C,-45.256761534567275,C,A,B,0
58,65+,Yes,Homosexual,B,B,-89.53965430163478,22.839488188753037,47.52206254127008,B,C,-28.239004314857013,E,27.295629628778283,B,-19.40061200312365,B,E,D,0
68,26-35,No,Heterosexual,B,C,44.52060992015798,74.09882913764511,106.86700144952167,A,E,-142.48228432769525,A,-243.1987083371161,D,-54.56652061420767,A,B,D,0
29,51-65,No,Bisexual,E,D,5.0976658847726934,-4.640630329700661,-1.1110281324245233,C,B,-22.845783679821704,D,-53.6678312828286,B,27.947024043360695,A,C,E,1
99,51-65,Both,Bisexual,D,E,-55.65086352779988,107.9294163126573,-137.76163830815625,E,E,-39.07134846018885,C,31.285892746781403,D,-58.25600976863138,B,D,C,0
29,51-65,None,Heterosexual,C,B,107.06190242654867,-31.296832761843824,-96.70600041699569,E,A,-37.85878883503806,B,155.44697891797614,D,-178.82503923521014,C,A,D,0
90,36-50,Both,Bisexual,A,A,-4.966572551190924,-22.21727253533944,103.04387076723869,A,E,62.72453448723488,E,57.40766031845192,A,-10.470844058429195,A,C,E,1
31,51-65,Yes,Homosexual,E,D,-97.01541305032477,-7.651913678191252,19.193802302607967,C,E,-325.83431599547134,C,-42.22626793520344,B,6.863139422705915,C,C,D,0
32,18-25,Physical,Other,B,E,-94.69195877098188,60.469121684349815,-141.1521637776006,E,A,-112.30998659989334,E,-87.939162529934,A,-11.732122463548645,A,E,B,0
57,51-65,Mental,Heterosexual,D,C,121.98036097028955,-110.83683822184112,-50.16728168256582,B,C,32.71052243313202,C,-136.16205968100428,B,-95.11874128140708,A,C,A,0
46,18-25,Mental,Bisexual,C,A,127.70413097194991,-181.59898081031375,-65.18522904832086,C,C,129.34757877211928,D,-54.69451196691693,C,-176.92029910157038,A,B,E,1
60,36-50,Yes,Bisexual,B,E,-19.262143650314666,88.50173116539584,92.831141377801,B,D,-57.89578624766948,C,-162.7965842527639,C,-170.08617756145884,D,B,C,1
20,26-35,Yes,Homosexual,C,A,61.88562540096597,71.42780311057986,50.75570765303541,B,A,77.52216018920414,A,75.21888321106569,E,31.849136673000856,C,B,E,0
45,65+,Both,Other,C,B,74.12626953578271,-25.896116397514827,171.08979983269694,D,B,-84.11700327959394,A,-180.71957097348036,E,-161.17986565762504,E,C,A,0
71,36-50,Both,Bisexual,A,D,-33.07705793773319,-108.09835902045603,-31.676264809079786,E,E,-76.38569029412878,D,-86.64487541507333,A,-90.62910210984,D,D,D,0
56,36-50,None,Other,D,D,-74.63258576922944,-51.78031546285607,-55.3668407137027,A,E,-4.839122337325531,B,-91.62621942880207,B,154.49724814261432,D,C,C,1
62,65+,No,Bisexual,E,D,-67.15682121463679,-76.98542632217533,12.874552639316505,E,A,34.288127059825186,D,119.48182823527253,E,22.459228266603937,C,C,C,1
96,36-50,Both,Heterosexual,E,B,66.7265809416108,-189.16476866969842,-30.968906457400035,E,C,101.78219527658649,C,95.08948928598461,B,182.82874127576417,A,B,C,1
21,36-50,Mental,Heterosexual,D,D,-56.05996283517117,-39.469204453618055,17.307161371001392,A,D,-41.98652061104598,D,-18.606439209631468,E,178.6189096601504,B,E,A,0
78,36-50,No,Heterosexual,E,B,-25.36762423178166,67.57549013419796,-119.42633288461293,E,A,-5.199545453074831,B,30.30807942657323,C,-88.36331063915824,A,D,A,1
42,65+,No,Bisexual,A,C,-10.665466137162536,0.7630817930749464,-34.1913877740196,A,B,78.15234151765938,A,-64.83528135647398,C,-92.4519351027697,B,A,C,1
94,18-25,Both,Bisexual,E,D,-28.697856998135922,32.01567251711967,4.116473370433239,A,C,25.291448334041807,C,85.69328541568193,E,32.96238729574079,C,D,B,1
99,65+,Yes,Other,E,E,102.49657877183715,79.77050595302921,-117.52521818444066,C,E,-18.61212766613275,E,124.91928355238373,D,-145.75841327078246,E,C,B,1
61,18-25,Physical,Other,D,D,14.596486866051418,-56.86550596344975,46.88588045435685,E,C,-139.14126895391001,B,-81.71508535812552,A,75.24469941806719,A,D,B,0
71,18-25,No,Homosexual,C,C,92.98034559368264,53.82328853043834,25.68484978431158,B,E,-108.2937045386315,A,62.22141870746343,B,-62.606741287071166,D,A,D,0
81,65+,Mental,Homosexual,D,C,85.8887467281116,67.95252561139812,116.78821963538026,A,B,-56.80246846462803,D,69.02414789555876,C,13.039443028935308,E,D,C,0
52,26-35,Yes,Homosexual,B,D,93.77375777640485,-25.931664229283957,2.5475248394217727,A,A,-17.098022193141553,B,-99.9803770831187,E,-124.61677176072685,B,B,D,0
30,36-50,Yes,Homosexual,A,D,-44.40571416520897,62.51688194230327,43.899027447138636,E,C,96.03644379774569,A,-67.3023922394297,E,141.9405020120303,E,C,D,0
77,51-65,No,Homosexual,B,B,-61.161052962029984,31.958282807133664,-13.824333348704881,E,E,-142.8713821298389,A,156.3427446692017,C,-124.39001746627041,A,D,B,1
19,36-50,None,Bisexual,C,C,11.000040514171884,75.63911388035962,26.093615111235696,B,A,-71.4194490603969,D,31.18074748602068,A,-120.21628842564927,E,D,A,0
61,51-65,No,Other,E,E,-175.4521481338949,-110.10729984785674,-87.14212400122972,C,A,-2.9353024602310684,B,49.381823255301086,D,-132.0215951580574,D,E,B,1
91,18-25,No,Heterosexual,E,C,-72.57079016690906,-126.38796061791749,122.49251888188277,B,E,110.83824442835267,D,62.89807929068564,C,-76.14479098667046,A,A,E,0
83,51-65,Yes,Other,E,B,121.35648760692175,25.6465366152266,126.10429319186636,C,A,-25.97780714474042,D,233.42111946056693,A,59.1938517197453,C,D,A,0
55,18-25,Yes,Heterosexual,B,D,41.589745015070676,-196.03591869124187,-75.8010792810637,C,E,174.13938451009983,E,-37.34965640099792,A,-72.27987222793516,B,C,B,1
27,36-50,Yes,Homosexual,A,D,46.914989733331666,-56.4458506706551,-16.496666010987983,B,B,-144.8755026929894,C,-189.88356444708458,C,21.005525816192932,A,C,E,1
50,65+,Yes,Homosexual,C,C,171.4473583093422,176.9262899163383,-42.61339434567232,C,D,-33.50764807259058,E,85.22641169381062,A,78.10489524721463,D,E,C,0
60,36-50,Physical,Heterosexual,D,D,25.590004826191233,-79.72179200292346,-30.542064078027998,B,A,-3.988229141859043,B,94.60633726760501,B,-97.77083849606598,C,C,E,0
82,18-25,No,Bisexual,B,D,83.64338130132928,72.93178143110528,80.31638414364673,A,C,-23.273011254641748,B,-74.11912635808197,C,83.43971477717615,C,B,B,1
96,65+,Yes,Heterosexual,C,E,23.12105792810947,89.12105905414005,272.29205274930666,A,E,2.2553977848431312,A,10.095733582486858,A,194.113528904361,C,D,D,0
94,36-50,Both,Bisexual,D,B,-129.35134217720855,-26.48803495665546,-105.48079860051959,D,C,-168.76871168974864,E,1.0766403804874827,A,-13.844187377261136,E,B,A,0
67,26-35,No,Other,E,A,3.8098881062486734,-78.84743975716978,115.074368000201,D,C,60.72875758453931,B,60.16986793426212,C,74.19081229686871,E,A,C,1
32,36-50,Physical,Heterosexual,A,B,37.79304198188788,142.06262172900276,57.97101157493548,D,D,-80.16779236036975,D,33.255100110842676,E,-148.20110286315347,A,C,C,1
99,65+,Physical,Homosexual,C,C,-125.33021843755282,46.43964162143322,80.2352797810311,B,D,-71.26911254565952,D,-67.77053653290423,E,57.48500432608098,A,C,D,1
31,26-35,No,Other,D,A,2.0991966763119643,-101.87301140777465,25.033374486396408,B,A,283.22841087244603,A,-88.04217640556435,D,35.94703031134142,C,C,A,1
67,26-35,No,Bisexual,D,C,-98.74064117280172,-164.74108575320764,22.280737285428458,A,B,-83.90396883566686,B,53.54149148247265,D,-106.65660494035177,E,D,A,1
34,65+,Physical,Heterosexual,B,C,31.297879817284752,-79.21238292466086,73.61970754342808,E,D,-90.04303027115641,D,108.05802371028994,D,86.3388234005715,A,B,B,0
97,26-35,None,Other,B,E,26.710760682797595,13.354804260267125,-69.73358858989897,B,C,-49.99326241401958,E,-64.51943581659164,E,36.06963759316296,A,A,D,0
77,18-25,None,Other,B,B,-8.15753701759854,61.99103057608688,148.8478576025963,B,C,-113.37774758572343,C,2.0144154523080933,C,11.401108584286554,D,D,E,0
61,26-35,Yes,Homosexual,C,B,27.369372544173686,112.7244725868647,29.866228729863543,A,C,35.138424947034345,E,13.147701753816701,E,-92.91261538424344,A,B,D,1
48,65+,None,Other,A,C,-88.760821678274,-78.34823903882375,101.12775234229692,A,E,-151.96518097902384,C,33.85611261039502,A,68.4267900624653,E,B,D,1
49,51-65,Both,Heterosexual,D,A,38.94158878512082,89.78093853128718,-108.30255410099498,C,C,19.801669736487842,D,33.592151978054744,A,84.0815786803303,B,A,E,0
84,36-50,No,Other,A,E,-78.54355433335178,-28.613113511960385,10.364007231451764,D,C,-82.98710372808166,B,-82.91069399384993,E,-57.852390165997235,D,E,D,1
27,51-65,None,Bisexual,E,B,-12.667195374714654,26.791870931707244,-71.84812420861775,A,C,-186.72114928288514,C,-74.1681305865555,B,-26.48941028552349,C,E,E,0
28,51-65,Yes,Other,E,D,-97.41031171191943,-84.0678297313055,65.30277414693238,D,B,-161.52698892250203,A,-152.2130695435137,E,121.59578431624843,E,A,C,0
74,51-65,None,Bisexual,C,C,-87.518019293322,-113.44001119752389,-133.62004873535525,C,A,161.46895636616472,C,-51.360567227204804,B,-46.683979946923586,A,B,E,0
40,36-50,Mental,Bisexual,A,D,-51.10819945747136,-21.537692732784482,-56.587511415663386,E,E,-21.648443960339176,D,-61.95404341269452,C,48.63125977278776,B,E,A,1
76,18-25,Physical,Homosexual,C,A,-79.75581970748688,77.13268540863952,-267.69700277065243,E,B,-102.35063082563201,B,6.16022355297544,D,-86.22347017084554,B,B,D,0
94,18-25,Mental,Heterosexual,E,B,-110.96141831211364,-192.24554070648807,104.05388256744561,C,A,67.1875295473338,D,2.969075770566015,C,-36.00534328423418,C,D,B,0
28,36-50,No,Other,E,E,5.600601642560184,62.992439071258765,23.967809055189516,E,A,-55.79049784958836,E,-40.416372746486864,E,48.7990111943927,A,D,D,0
20,51-65,None,Heterosexual,D,A,-159.8911761587739,-141.40218130145047,35.865005129814364,D,D,-16.661523215607936,B,74.77538241943788,A,51.1175064342117,D,C,B,0
34,26-35,No,Heterosexual,B,C,116.58717998478419,-18.06412116308353,122.60129236063817,E,C,147.77281992688847,B,28.504928026235156,A,92.24132944885251,D,A,B,1
70,26-35,No,Other,A,C,171.55081489093337,34.99115170192766,54.549514831016474,A,A,116.9147110232363,E,-84.11014870213215,B,166.07878641357524,E,E,E,0
71,51-65,Mental,Homosexual,B,B,77.71459935081978,105.79184078497114,-10.444350714281796,B,B,68.59457348985413,C,100.79076238282983,C,122.44131011036872,A,A,C,1
22,26-35,Mental,Bisexual,A,B,-148.9290881931387,74.2887380918838,-38.0492034224611,D,D,62.46744994990785,B,21.901721091899812,B,-75.65135312856196,E,B,A,0
73,18-25,No,Heterosexual,C,B,2.7953225229696437,33.31292288469333,109.15979295565579,B,B,14.962063451266744,D,-10.847394578851628,D,-274.52244474015515,B,D,A,1
47,51-65,Both,Homosexual,A,B,-36.11167832883355,-11.190013217413199,-20.560782953282022,C,C,-151.26433428854088,C,86.0570835514194,E,85.74729120766274,D,C,A,0
21,51-65,Yes,Bisexual,B,C,27.363048391970402,-146.54375132531663,80.34046500885074,E,E,-39.56829665988631,B,-79.0598172099671,D,-107.08761377510633,A,B,E,1
41,65+,None,Homosexual,E,E,175.10541995319403,-25.101737208842636,68.00203267377005,D,E,-20.727014064210866,A,122.55889926278232,B,-180.37863170947958,D,D,D,0
47,26-35,Yes,Heterosexual,B,E,-17.72342509169161,-247.08316952582067,193.93763108628593,E,A,229.75505936898824,B,-159.86507701601133,D,-52.889832331500074,E,B,C,1
54,65+,Yes,Heterosexual,C,E,53.84094850542578,55.09484115385169,-29.675588846991374,B,C,17.31822872633262,A,85.35473575057937,E,-126.60247231343209,D,B,E,0
35,18-25,None,Bisexual,A,B,106.75169473804576,259.32096586958784,18.467260481072188,E,E,22.88037331425438,B,102.34189770141771,B,-38.010339850330716,C,E,E,0
22,65+,Physical,Bisexual,D,D,55.56824035912922,260.0507627439797,-16.604627955547862,C,D,111.83602186426094,A,153.6286018429557,E,-20.575578182569355,B,A,E,1
46,51-65,Physical,Other,B,C,-80.5347318629684,-47.175440604345745,-33.594506064411995,B,E,210.25706704506928,A,-18.31116515538443,E,253.1067791642481,D,E,D,0
38,26-35,No,Homosexual,C,C,36.43182333208411,57.13316346349353,63.16217850892636,D,A,-111.96484773661588,D,43.99644961618948,B,-29.866365716606325,E,C,D,1
55,26-35,None,Bisexual,C,A,-7.546300107046515,-144.01547573762008,91.27978019488937,D,D,72.058976173226,A,-284.66207471926054,E,-51.419203260809866,A,E,D,0
57,65+,Mental,Heterosexual,A,A,5.410108940302998,-11.316725586739052,24.112615358106886,A,A,-40.8321234175413,E,120.37601960484172,D,59.18338404418802,A,A,A,1
49,51-65,Both,Heterosexual,C,E,48.771163946504785,-37.574316328983585,84.1457510711496,B,C,-14.968124654715323,B,84.98514632229663,E,-27.783780983364064,D,A,B,0
24,36-50,Physical,Bisexual,A,C,103.95280816084316,13.785156834971628,57.28605014910438,A,A,122.94733959681534,D,-178.25873945509113,D,128.39034897376905,A,A,C,0
78,36-50,Mental,Heterosexual,B,B,-28.607659858903528,-3.0043815490508043,113.55307269916193,C,C,230.43800784773148,A,-150.52896100374463,B,-58.63362575166596,A,B,E,0
95,51-65,Both,Heterosexual,C,C,-26.678961021045637,82.41424659752145,218.60269748469378,E,C,22.74316086295253,E,29.70113517794502,A,4.225776873722131,A,E,B,1
89,51-65,Both,Homosexual,A,E,-32.305914175082634,-100.22339890660416,94.46737863519097,E,A,-7.8483408723608745,A,145.09452340044425,C,-166.3491845700573,B,C,B,1
71,36-50,No,Homosexual,E,B,-21.93627805998571,29.623878037436953,53.81188434446822,E,A,-208.04777166502984,C,-8.991974393585727,B,78.78428809314852,A,C,E,0
23,18-25,None,Bisexual,C,B,-55.19236041812769,58.588815091688616,-0.5087866974632844,D,E,-89.37745744459029,E,-45.15016958761861,B,-165.16826447652466,E,D,B,0
66,65+,Mental,Bisexual,D,E,3.285957833896784,132.176715311884,73.85636206558547,E,D,-95.59051725934613,C,-84.89499509417726,E,-135.97824986710816,E,D,D,1
94,18-25,Yes,Homosexual,E,D,16.84908866834873,157.04493336001318,77.53523745242063,D,A,-37.92605700463654,A,-15.071300453777377,B,53.775847079400364,E,A,E,0
85,18-25,Mental,Heterosexual,A,C,20.10508902856034,11.168259642830446,-3.548098805250869,C,B,-78.48312053566727,B,197.47630918229177,D,-28.80146263577114,A,E,E,0
56,65+,Physical,Other,B,B,104.38807760129293,-34.430899432019466,103.07741342693353,E,D,50.93248722287371,E,43.09278007610007,A,87.58147458012691,E,B,D,0
87,26-35,No,Heterosexual,E,B,-11.400445060438885,-70.54785664513335,20.74686345201618,E,E,-106.61239460393328,A,-70.49573938482219,E,-55.61403493355829,D,A,D,0
76,36-50,None,Bisexual,B,A,-16.106399884728916,34.072195032682934,-67.59602363220236,A,B,89.03243428026765,B,59.601582430355,B,-103.2697023037885,E,C,E,0
55,26-35,Both,Other,D,A,-87.23095847591418,-158.25291738266455,-129.80059648613386,E,B,-4.589531195333078,E,79.50427620136192,A,117.59874928403764,A,C,A,0
58,26-35,No,Homosexual,E,E,67.83316491242643,113.74511602003756,78.08482108590295,E,E,104.24944198425594,B,53.40677740302288,C,-36.46885790636991,C,C,D,0
38,36-50,No,Other,A,C,146.38457866681327,17.071840020344553,-231.85566280885834,C,B,-14.706318297040818,E,227.83758666965826,C,-104.89652416206323,B,C,E,1
83,26-35,Physical,Other,B,D,108.44865513104676,-68.17911822537567,113.39037628852402,D,A,104.04048529553378,B,-55.736414123911935,A,80.56878822478684,C,E,D,1
53,51-65,Yes,Other,A,D,-61.29992613542324,87.87293288552509,-73.15898751960484,C,B,30.494580356155552,C,8.54776085043296,D,-139.97171793399988,C,B,B,0
59,26-35,Both,Heterosexual,B,C,64.63683748747998,104.59850222065548,143.85686251877402,C,D,159.25056369703358,A,-121.0481794253618,D,-78.05446450397098,A,D,B,1
23,36-50,No,Heterosexual,B,D,-65.03049409504385,124.11474205420761,-87.55745606984397,A,B,-69.37154466035908,B,73.46084883932973,B,-76.81944080630419,B,A,D,1
87,18-25,No,Other,C,A,16.873426231450075,25.081200104977103,64.11419461926398,E,A,161.65978045035325,E,116.30008932365932,B,25.258159027215545,A,D,C,1
71,36-50,No,Heterosexual,D,B,-102.6039413282501,11.309204572199425,110.35861408630848,D,E,-48.758827579361316,A,-88.30109867582131,B,140.1651252586669,B,E,D,1
79,36-50,No,Homosexual,D,D,123.79029187266698,-187.4562692852744,-198.98451260247853,A,D,-62.27378824820914,D,70.10059677144271,E,193.57419490041136,D,B,C,0
40,36-50,No,Heterosexual,C,E,-86.63870955420117,52.26983049463296,1.3350342872618328,A,E,-7.882473206675315,B,-37.72474259031874,D,24.007448351837173,B,C,D,1
27,26-35,Mental,Other,C,C,194.65830630951376,48.16548429830017,76.37232175180341,A,A,-127.78533832356285,A,85.99740871871049,C,46.26308756617027,A,A,A,1
52,36-50,Yes,Other,E,E,288.81004010145966,118.08099057280097,-22.497962612891907,B,A,39.226985581267456,A,102.62951941863408,B,-35.109295605262034,E,A,E,0
84,26-35,Mental,Bisexual,E,B,5.081411277758916,-22.35967875021708,-17.4219164417839,D,B,85.04726702975738,B,50.10107212333952,E,-14.890210894360997,A,A,A,0
78,26-35,None,Homosexual,B,C,-113.06558168331655,-16.12278081308164,-73.10766700471306,C,C,62.34377493845583,B,-52.46881591735439,A,206.01936734481455,D,B,C,0
50,26-35,Yes,Other,D,D,3.4618028329152972,-0.5476310032784413,-10.943609682760933,D,C,6.518675168369296,D,-8.063892123964255,B,-22.895234608324323,D,B,C,1
83,51-65,None,Other,C,B,91.25252786987016,14.895614945131245,-181.77493385722312,C,D,54.145422791912964,B,138.61999214106535,E,-70.96434116813003,C,E,A,1
30,36-50,Both,Heterosexual,C,E,-191.47529773252563,66.30549274629306,73.14517069684375,D,E,121.16793142676154,C,70.61695256881467,B,-4.910779376566559,A,B,B,0
33,18-25,Yes,Bisexual,C,A,-179.4358459304073,-58.68997202638347,33.08931160518958,D,D,-10.633726923710867,B,-58.12478736758365,B,61.79918784783979,E,A,A,0
68,65+,Both,Bisexual,C,E,-24.81084040659425,-172.0646813750198,119.18530874521596,C,A,7.496057863841328,D,164.74113654505422,C,-139.14255385294382,B,C,C,1
22,65+,Mental,Heterosexual,A,C,-80.99703167556524,-40.35549816257918,-17.468188122731362,D,A,117.62607198081952,B,59.532043759679624,A,135.8987615376596,A,E,B,0
57,26-35,Mental,Homosexual,E,D,-74.54730549746546,-131.42548867679304,131.14127111619217,B,E,-32.60081775357398,B,-46.340087558182816,E,-96.6822493906523,B,B,C,1
36,26-35,No,Homosexual,A,E,107.65712477639077,-79.31809452038104,132.11366020878145,D,B,-76.0890227455687,B,-80.56164629921452,A,118.38576917924806,C,D,B,0
93,65+,Both,Bisexual,E,E,-220.8416466658909,16.63949792630382,-50.44916160756525,E,B,-18.826426649202794,B,117.27590101590152,C,103.5825311163689,C,B,C,0
35,51-65,Physical,Heterosexual,A,B,14.198002415082497,-59.82865035213387,-21.656026485462778,D,C,-178.60959361256735,E,13.684515073257053,B,-143.53243570203503,C,E,D,0
58,36-50,Yes,Bisexual,B,B,-15.507931918968328,82.5387051272145,-129.50032161719642,C,C,-13.798945042661801,D,-14.218415920820963,E,73.92379054235965,D,D,D,1
90,65+,Mental,Heterosexual,C,B,0.021759368210472346,-17.475489197769647,204.8160326713767,A,E,-19.994762053137112,E,-179.99750536186204,C,49.24025403594875,B,A,C,0
72,65+,Yes,Homosexual,E,D,-58.35660747161937,147.29614046273986,-124.13966243867978,A,C,-114.52048845002072,E,34.03290604162485,B,-69.61475193813617,C,E,C,1
97,65+,No,Bisexual,E,B,87.98153610987862,-64.3723105680133,-146.3557350397871,B,C,34.97743491739112,C,-54.838329561012365,E,-31.79208364295661,B,C,D,1
96,26-35,No,Bisexual,D,E,18.364324049975703,101.33417585559121,44.85297121481665,E,A,-139.82578410383894,A,-55.7484994182532,E,21.305433452091517,A,E,E,1
71,26-35,None,Heterosexual,B,B,113.22897761732509,114.97321669155286,81.01153536458375,A,D,-52.25492155868699,A,-23.193897006058368,D,-204.7199094195257,B,C,E,1
55,18-25,Yes,Heterosexual,D,E,-7.041157278366993,-21.551683623686774,-23.439749567258406,B,A,91.514250665405,D,34.103066045724375,E,-15.844443832203734,D,A,C,0
