country,religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
India,Buddhist,Divorced,86.87768520475723,C,D,-158.27052380192,A,75.89406197847678,C,-103.1709747684034,85.95624245812955,A,B,-211.443074911165,D,C,0
Germany,Other,Single,48.67856958055808,A,A,41.14704540192263,A,-22.32356270755093,E,-116.37875177973609,4.418365955215582,E,C,115.4269288816862,A,C,0
Germany,None,Married,-21.246959666554403,A,A,-92.82203551883657,A,75.10504237227674,E,-17.09130914009736,-53.25315990791558,A,A,114.15366301808234,E,D,0
Brazil,None,Married,91.95289974353047,E,C,79.03345687437016,D,42.38196321916289,B,53.092232229459356,-98.47275762003103,D,B,-36.004790944180904,D,D,0
Germany,Hindu,Widowed,191.51765459113213,C,B,-12.246707028467489,A,6.77310240010461,B,100.74137668491359,53.18929848882969,A,D,-1.76085766431207,A,E,1
Brazil,Christian,Widowed,117.27744246025327,D,C,-1.1239807562361768,D,265.74577994101963,B,-211.67601161307155,-33.785283561773774,A,B,-80.87403135980696,E,B,0
Mexico,Jewish,Married,-150.48960128725162,C,A,71.48670074388941,B,-79.6006094793667,A,12.983221205805073,-64.95319622881877,A,D,49.77641354500042,E,E,1
Germany,Jewish,Married,30.844770754084074,E,A,152.98159443580838,A,-14.058609818741093,C,-116.32682322590799,-36.86118814355028,C,A,-20.48928777866036,B,C,1
Germany,Christian,Widowed,-167.35452850458483,D,B,-79.08804713679585,D,-3.4941924253417334,B,-61.8805094312967,-159.78636785593935,C,A,-69.65824658895524,E,D,0
US,None,Single,-136.22403031602954,D,D,-15.0073439463279,B,123.7371856238904,B,26.60506902227544,-54.509696191653525,E,D,-89.8078272000006,E,A,0
UK,Jewish,Divorced,-47.86928206801069,A,E,46.467387413355716,E,52.87448867492971,D,58.86873796218154,-0.9852606934509116,A,D,66.9061332311878,C,D,0
UK,Jewish,Divorced,99.06929491683819,D,A,5.95759369307413,A,146.34991665838123,E,30.37499035728955,-114.36911410504923,A,E,-133.0636357211797,C,B,1
Mexico,None,Married,-17.440934459838786,B,B,-230.37330821204742,E,-138.1224345260128,A,0.38520083063058885,59.169242202556084,E,D,47.393058506215766,D,A,0
US,Hindu,Divorced,-62.366829318022454,C,C,43.844623753532815,D,-40.72183060547707,D,-47.55888701650667,-183.74928786437903,C,A,-87.22304484395382,E,C,1
China,Jewish,Married,-101.08279403359192,B,C,-101.03074270781809,D,-249.46616029560116,A,115.67347034176747,40.09264484778879,D,C,85.83304804660247,C,B,0
India,Jewish,Widowed,-96.57679383559872,D,E,31.726485551373024,D,-111.27205104223992,E,-82.4256298308009,-5.885639727926407,E,E,78.52522659936157,D,C,1
Germany,Jewish,Widowed,-21.93161220361978,E,E,-23.514089527074017,B,134.8700648981019,D,23.994999652806257,54.44614421809069,C,A,50.00970273059604,B,E,0
US,Other,Widowed,-50.694537290575234,E,C,13.233301091795699,C,-15.334811023474188,A,37.373118953436865,3.932039651447334,C,E,197.35321474184045,D,D,0
Mexico,None,Married,203.0877382405944,A,E,-125.26448704003073,C,109.54882709416214,B,70.14430218953322,75.3134323067284,A,B,36.880935221804314,C,A,0
Brazil,Jewish,Divorced,-103.59036629455618,E,C,21.69679203335915,B,-52.47563050735635,B,87.40315203510562,102.859280114398,A,A,195.44044268729357,E,A,0
Brazil,Hindu,Widowed,62.368700724312276,A,B,103.33122464927331,C,38.41569890762076,A,-61.63027289326437,78.12835406021647,E,A,36.064633297170836,B,D,0
Brazil,Christian,Divorced,-53.58766779180185,D,C,-124.4743090310668,D,83.56959223503144,D,-87.08566509656914,6.246726321974337,B,A,117.60033466131317,D,E,0
Other,Other,Widowed,21.593647523533612,C,A,-16.874791628689668,D,-116.8560328623559,B,-154.51402267599505,-94.15677337665511,B,B,-93.72393053725271,B,B,1
US,Other,Divorced,139.74342218199592,D,B,-28.015786943409914,A,-108.99039781813673,D,2.4022546127141906,-173.21096098787555,D,D,135.60689125124085,A,C,0
China,Hindu,Divorced,98.96002117521607,C,E,145.32142909512723,D,4.971073473031853,D,37.374150448229315,-41.60760392022061,A,A,-15.405020159127153,D,C,1
Brazil,Jewish,Single,169.2398033808799,D,E,-25.986175839852528,C,127.9800140528747,D,-118.59312255721267,86.15292602694477,D,A,-124.78417365139873,D,C,0
China,None,Married,-167.19412116904635,D,D,101.8890273717133,E,-19.58826800846029,B,1.9157652443016007,-108.44183378306091,A,B,-6.709629141159981,A,E,0
US,Other,Widowed,55.65013537414587,D,A,-39.472406521868315,A,17.199406699153425,B,-30.340072924290705,59.71509212824454,D,D,-31.947375805349782,B,E,0
Mexico,Other,Widowed,-41.812030983220694,E,C,238.23115712881767,A,60.81820521167513,D,-119.52934012948553,-134.7603362104698,C,C,-120.4419249057389,D,E,1
US,None,Married,30.22284321384173,C,A,176.5137906705183,E,-19.954767141750818,C,100.13986202407617,62.2378011833405,E,D,19.76696967048049,C,B,1
India,Jewish,Divorced,-69.56950099139844,A,D,83.78298321332682,A,28.215718167107806,A,-6.379814430095,133.22848452961682,D,A,44.158366258630096,E,C,1
India,Other,Married,-181.38455103770343,C,C,-21.98411915281327,B,-145.32672560749847,A,108.97412057759645,11.94269382275049,E,E,149.94458395334084,B,A,1
India,Hindu,Single,99.96423853433343,B,C,-94.4399834824331,C,-95.28997443239035,C,-110.4250288402832,30.781854005915193,B,C,-31.061842789285375,C,A,0
Other,Christian,Divorced,49.92005391744513,D,A,152.58114844430085,D,-124.48386880630076,C,-78.19382425049614,39.34737000252315,A,B,-77.95424083926527,E,D,0
Mexico,Jewish,Divorced,220.1027160464784,C,A,35.28844870844186,D,108.17618454004557,C,37.51563174593411,8.14718306676503,C,D,34.11664277458562,C,B,1
Other,Buddhist,Widowed,-72.56818797170865,C,A,-68.81990987993734,D,253.40792744947206,A,170.68486109899413,-75.51076641643175,D,E,-17.535210755907322,D,D,0
Mexico,Jewish,Widowed,85.94391248144116,D,D,11.150664730539154,B,15.949757631088149,B,-25.49452269920454,-112.00177373826112,B,B,-105.15571321694792,E,C,1
Germany,Hindu,Divorced,15.292494665043746,A,B,-48.11785947745102,A,-126.53900801974551,E,65.28617165983245,104.6193626802036,E,E,50.88940297120196,D,A,1
Mexico,Jewish,Divorced,-56.26703497870219,B,B,-95.16132938108223,E,-26.07249513764231,C,51.43756318322842,-21.524545751697744,E,E,-26.963991277046496,B,E,1
Mexico,Hindu,Single,-9.871163067943991,A,A,-80.31666016907806,A,-152.17195464881124,D,-0.10963076053009638,134.39805400267164,D,C,-193.2160529610924,D,E,0
UK,Muslim,Divorced,-26.1814393398974,C,A,-63.53640985109117,B,-57.487495225857025,A,-130.30914314142913,-68.8744643780845,C,E,-162.58702905877107,B,E,0
Mexico,None,Widowed,-144.26948338020503,D,A,-123.64037508652821,A,-61.40740607325781,B,-126.7681686420764,75.17186255869282,C,D,24.841697152331218,B,C,1
US,Hindu,Divorced,65.46622276074834,D,C,28.735328247718613,E,21.614058645042075,E,-124.70601417117587,-48.893590851630705,D,E,2.0636484127390364,A,E,1
Germany,Buddhist,Widowed,-93.3172756288777,A,A,-28.61701597079617,D,-198.38020138212528,A,202.3734258530273,-48.16935183342132,B,E,88.13726657083222,D,B,0
India,None,Divorced,-63.71257283650286,C,C,-0.9971174953888766,B,101.04598552458111,C,-81.95904453168112,-10.479759789884392,E,E,-12.212266369714579,E,E,0
Germany,Muslim,Widowed,107.47615377505046,B,D,-97.15238159225112,A,-45.041625192169484,C,-2.1870022515240066,-161.53962385948105,A,A,20.624495880386377,D,D,1
Other,Muslim,Single,88.76094901872791,E,E,-139.7130409427281,C,-33.07002539034041,B,23.220582174197865,-92.84597754174783,D,D,-8.937316860117047,D,E,1
Other,Jewish,Married,18.65839025308957,D,D,-157.50348625846323,D,75.28634899203736,A,-31.004921034686085,-19.94005455700901,B,D,74.15339679761341,D,C,1
Mexico,Muslim,Divorced,113.70970234342992,B,C,-80.73960408039387,E,65.12322294302923,C,108.76892970522923,-57.206831697388196,A,E,219.07397478153047,D,B,1
US,Jewish,Single,-12.633544617298679,E,C,-60.07703975343419,A,75.22221007876026,C,-2.023898869674489,-52.5993015096103,A,C,149.1345428701356,E,D,0
Mexico,None,Single,0.9228609154344382,B,E,28.726181083658425,B,17.320368852366187,A,13.011478314217204,161.1431556830474,E,C,-57.440599847168826,A,C,0
Other,Christian,Divorced,130.2581274780977,A,E,62.03407645871355,D,-30.93121188156677,D,149.11017541324335,116.52414163437169,B,A,-67.92874655784384,D,E,0
Other,Buddhist,Single,92.91364580939214,D,A,-114.23715423550918,B,-9.058072160299659,D,14.943217991674265,-3.8892261253466773,A,B,-9.965085431128001,C,A,0
China,Other,Married,-101.16568380384292,E,C,-74.5526672981652,A,-80.3416775363185,B,-81.64681325954066,-67.6851875112953,C,B,111.1590614856616,C,E,1
China,Buddhist,Married,137.5842384826927,E,C,-10.029824516475598,A,-27.594214906289178,D,23.468162913686687,178.3879846823505,C,C,144.7119481798228,C,A,1
Mexico,None,Widowed,0.8526756349016207,D,B,-87.01815862037249,C,95.3733015882238,A,60.92232984806149,-14.906808872381772,B,C,-123.49146995063197,A,D,1
Other,Buddhist,Married,-0.585052949530061,D,D,-164.84515358416456,D,-73.48492934837768,D,-139.37605340315667,27.28057313614056,E,A,-63.19226867380292,E,D,0
UK,Buddhist,Divorced,-98.91028944978089,B,B,-124.7157824524723,E,-177.6261473955022,E,0.31723789586518947,57.73739109851933,D,A,118.24915578709252,A,B,1
UK,Hindu,Married,-24.61363664301134,B,E,93.94627002530628,C,-2.6219440356652695,E,21.515673115037984,-46.46893280028572,D,A,-11.675219060370292,D,B,0
US,Hindu,Divorced,36.691992341485175,C,C,60.85084406287207,B,-181.0447512309807,C,190.02865034889993,-232.99573859479642,D,D,-27.643735723806373,B,A,0
UK,Jewish,Married,-50.4712894739612,D,A,-55.5485572716162,B,-53.02270157118909,B,59.30178955801788,-11.021463915799359,B,C,-154.68150878316047,D,C,1
Brazil,Christian,Single,66.85636819924206,D,D,33.93937460712557,B,10.305288284575765,B,-82.89742429904136,-57.44217599334124,B,A,-107.90547390825442,A,B,0
China,Muslim,Divorced,151.73192226000901,E,B,-14.462354956108946,B,-73.6351058002721,C,63.273456715071205,-10.708702496405916,B,D,-20.38926116175329,D,B,0
Brazil,Jewish,Married,158.07131328644448,A,C,229.37820955558584,E,255.31876719334593,A,20.42440990620179,172.79723883763404,E,D,-61.50261409419549,D,B,1
Germany,Buddhist,Single,-16.81285491651797,B,C,234.28033474555096,B,-164.6972022842649,C,-34.94590858693639,-76.85308581577016,E,A,-48.703220409057714,C,D,0
US,Hindu,Widowed,-75.89463844224258,C,E,97.65235585748539,E,89.95024689770672,E,27.049568152462435,-192.1391589630016,A,D,108.62353839317235,D,E,1
India,Christian,Divorced,142.58904145346233,A,D,-187.83371549514592,D,28.57203154240756,C,156.91656470320595,11.27509029014577,A,B,-100.01814756660781,B,A,1
Other,Jewish,Widowed,-84.05919397594835,D,E,267.0779936509122,B,-32.72641777598555,D,-69.06610349411908,46.57229078637211,D,C,-87.16482216271223,A,C,1
US,Jewish,Divorced,-5.630374108294746,D,C,53.67960101828202,C,32.56988292493064,D,-154.23034106507814,123.74793511061068,D,E,-23.40223713352145,B,E,0
Mexico,Muslim,Married,-173.61803465697002,C,D,-49.010618181126766,A,-19.606914747462376,C,-74.6247890110189,13.21057508651343,A,B,-78.8713307349941,A,A,0
Mexico,Other,Single,-55.514090208586666,D,A,45.22424389406555,A,-207.1250849065978,B,-4.811805029444205,22.87440686762607,A,D,-103.33384910859415,E,C,0
Mexico,Hindu,Divorced,-53.123560169713045,E,D,-98.20129027020995,E,72.42965408630015,B,-9.371422119979043,5.240711586586295,B,C,89.9569751203563,D,E,0
China,None,Single,-103.07022946060569,C,D,-28.27722792976007,E,-92.91829783430423,A,-7.069280248929497,-57.8191049148012,D,C,-105.67630025089991,A,A,1
UK,Hindu,Single,-124.91930408081299,A,E,-18.879489088526476,E,113.37018901147529,E,-20.016481623899583,7.012408649610857,D,C,111.03012311074387,E,B,1
Brazil,Muslim,Married,36.4324802882023,C,E,92.5021101107892,D,175.71106799010226,B,-11.021026755998323,34.27319512348203,B,E,82.35718649068228,D,D,1
China,None,Widowed,175.3535694000053,D,C,13.57176504246558,E,-121.10860782009458,C,-94.03228127490048,-86.08858787719859,D,A,190.765309560077,E,C,1
China,Jewish,Divorced,132.26017832038514,D,E,-53.14946486120802,A,-167.71966468202365,E,72.51594882358327,101.26203315342386,E,B,22.818121329949946,E,B,0
Brazil,Hindu,Widowed,-180.0490030947086,E,A,-56.49600288438192,B,-60.94769219797046,E,123.28285210535468,218.82965371381223,B,A,-45.963287928403496,B,C,0
Mexico,Jewish,Divorced,130.57885795439464,D,E,-111.36916839132085,E,159.5030816222716,A,30.016162773102472,124.71748013368837,B,B,-229.97342685670782,C,C,1
India,Jewish,Single,226.54114709949874,B,C,-48.5293603423844,B,181.7737760763038,B,-16.43335795035325,-53.76093333997246,A,E,134.66915565681253,B,B,1
UK,Hindu,Single,-36.62875134443361,E,A,-59.855808056862294,A,-39.47076349036935,B,-61.30749661043868,-64.4473721446346,B,C,-27.656287083654462,E,A,0
India,Buddhist,Single,95.0987110610462,B,E,-146.18903444912505,D,0.29715455016183573,A,-204.22509671922137,30.19197720863013,B,E,6.024093110955384,A,E,0
US,Hindu,Single,60.415947999320686,C,C,-81.2033676204539,D,35.9650374627825,C,-106.85542946899922,-14.987422765055786,B,E,-140.24319168011596,C,D,0
UK,Buddhist,Single,10.093206687176512,C,D,70.92281451711233,C,-38.71260969142423,E,-135.88766716835474,-110.69373469894455,E,A,-52.02100248750499,D,B,0
India,Jewish,Widowed,26.619093453434694,E,E,-59.54504805840364,A,-34.7892978993373,A,-70.44115900045298,48.256022643423655,E,E,-132.34326705907046,D,A,1
China,Other,Widowed,20.615067338941564,C,E,-13.072312366401157,D,-189.71769090387122,B,-198.06376949828515,119.15552618577104,E,B,48.50390157079725,D,A,1
US,Hindu,Single,-91.38116020868335,D,D,3.902042844047705,E,-230.8506725067629,B,44.644822280182055,65.762508258322,C,D,-121.10037722480477,B,C,1
UK,Hindu,Married,-104.8064894257356,E,A,53.12277750272894,E,135.339924946914,B,116.59807014256268,84.0006256348846,B,B,10.222008640696556,E,A,0
Mexico,None,Married,12.292292856746807,E,C,164.2739438271238,A,53.586543106167575,A,-95.37478833254512,93.5351937969548,B,A,16.217544314617687,D,A,1
Germany,Christian,Divorced,-98.19144697498876,B,E,35.35067074752356,E,143.5775939099729,B,66.38012647504029,42.20428254826434,A,B,124.26422815431624,C,E,0
Other,Muslim,Widowed,40.62372861177481,B,D,-50.43739066348708,D,-64.56982764439095,A,72.24496660803891,-36.54377758847271,D,A,-141.22217956862758,D,E,0
Other,Other,Married,-24.994617594140028,B,D,-189.04343471851698,B,67.76494997542801,E,53.28276926418467,-39.4854987054988,B,D,-9.079958827651469,E,A,0
Mexico,Jewish,Widowed,65.08542233607005,E,D,-37.99968663876109,D,29.769341374944645,C,89.5322652280224,-27.67519733855656,B,E,-91.42705127230067,E,E,1
Mexico,Muslim,Single,-78.32830916707184,C,E,-50.07632073029305,D,25.68051302149734,A,-105.13405260955035,40.28522800607389,B,D,10.551268245807965,C,E,1
UK,Christian,Divorced,81.80049239276038,B,A,-71.03169567794355,C,-186.51042745018606,E,-19.949943100060022,13.301896928904554,E,E,-106.51246566235284,E,D,1
India,Muslim,Widowed,23.837641526977965,E,B,-68.93460894817005,A,81.73904193563702,A,102.44166814758124,-15.436756394536058,A,B,121.23210203890491,A,E,0
US,Buddhist,Widowed,18.836142805584345,B,A,-81.18964519069074,B,65.95867478767427,A,26.232406297062255,94.5854860317424,D,A,-45.787339781694065,C,A,0
US,Christian,Married,-80.7350621398984,B,E,-44.48586463406507,A,51.68937923140295,B,52.741388922653144,45.39998226019928,D,E,-35.85057451917933,A,D,0
China,None,Single,125.26473506989848,D,D,15.057711516549363,C,-18.232313817507443,D,-26.460241086420755,-117.62390783697138,D,B,-0.26407455859892615,E,E,1
Brazil,Other,Widowed,109.22121656101184,D,E,-123.9003899625722,E,114.90234236423764,D,63.415000000693645,13.373866096736197,C,A,-37.64441747037422,A,A,0
UK,Buddhist,Married,-95.58636780138367,A,D,-32.90492533475272,B,-40.26981229105162,B,-11.073106914044727,177.54780021646067,B,B,166.50531066307016,D,C,1
US,Buddhist,Married,-144.41809140691265,B,A,-13.219975620770613,E,85.68884560134362,D,-150.881442549128,77.8375728076148,C,B,-79.90732247398556,C,C,0
Germany,Hindu,Divorced,5.575985654977386,E,B,102.8394320269913,B,151.04127937789892,D,181.80977370906473,-6.961174931256098,E,E,-206.47876422457392,D,A,0
China,Christian,Divorced,-14.07699732508673,E,B,-76.59828095585854,D,-73.54663505003313,C,86.71549189457679,-95.5861826179553,B,B,-33.00136701099876,D,B,1
Other,Jewish,Single,99.82559967748566,A,E,-105.67477800454567,B,56.00973284403329,A,68.493081761481,2.303798003806591,C,B,39.190111018657,A,C,0
Brazil,Jewish,Widowed,-21.75700934283928,D,E,62.00223754698868,A,211.08289408860884,B,129.58890092827778,43.051392642571116,A,A,-113.94058351729464,D,A,1
Germany,None,Married,-9.058898488936446,C,C,10.0086482219725,D,-54.86933453193632,C,-137.3429610325104,-113.42978720488996,D,E,-83.55832063101603,E,D,0
India,Jewish,Widowed,-12.97304717642379,C,D,-142.1535296064183,D,-152.59603940424026,E,0.956227049192702,-12.334762489474969,E,E,165.14819261802808,B,B,0
UK,Buddhist,Widowed,28.25234161758922,E,E,125.45570799794106,D,-181.34957403220648,B,-99.18250533451626,37.69694769590767,B,C,-181.30337595989013,E,D,1
Other,Muslim,Married,-6.095565308843753,C,A,116.41934091581203,A,120.92632693683821,B,-179.09504984532467,-75.6590059159318,A,A,32.30253708978536,B,B,0
Other,Other,Widowed,87.49441176544497,C,B,-70.77839466826873,E,111.42123388699312,C,-92.95172834554019,-2.1256506537118676,E,A,-75.7944539362994,B,A,1
Other,Christian,Single,95.56523626464072,E,E,23.955384887517607,A,45.6325603846589,B,85.59504710099749,169.7771629452433,E,C,-26.165850225981895,E,D,0
Other,Christian,Single,142.52487506331647,B,C,56.495344576414496,C,48.98197847431599,D,10.463168224718416,47.249589495570724,C,E,32.98801124220405,D,D,0
Germany,Buddhist,Divorced,43.82742723009883,B,B,-91.02219596366191,E,50.92752541970118,C,-148.4499050668251,80.36533721119626,D,C,-6.802755746158372,D,A,0
US,Buddhist,Married,-66.96584864740734,B,D,137.38060977623107,B,-209.68223081058355,D,-17.27134408079562,-55.164743742177166,D,A,-174.6538698337902,A,E,0
China,None,Widowed,99.35617448429703,D,A,117.97366138456371,D,-136.33772254229183,A,-94.93131820971281,-14.449928608727014,C,A,-64.7036860367595,B,A,0
India,Other,Single,21.004119508945553,D,B,-100.27290442152328,E,31.144128935747634,D,33.281813828296194,-96.94671583719155,B,B,-95.0149111203997,E,B,0
Mexico,Other,Married,108.10627326144184,D,C,-13.53557765611804,E,-16.11994434522534,E,-18.27788993817579,-19.970065589796445,A,C,-77.67892316419103,E,E,1
US,Christian,Married,-21.938531307931598,D,E,-58.22518606377722,D,-114.22887046604868,A,123.12045335691579,-189.4774223682837,B,E,-36.35413090451055,B,E,1
Brazil,None,Widowed,158.6396101639989,E,D,76.64171267218953,C,-88.52475494403217,A,-62.767294770734274,136.2168949692172,E,D,-96.08364779384594,A,A,1
Brazil,None,Married,-23.465291278226044,D,C,86.26357021999667,C,98.26188549159617,E,-3.502402759983001,-160.77813122766088,A,A,177.045428572613,A,A,1
Mexico,Jewish,Married,161.18060618236618,B,D,15.758683644095425,A,83.96198023948756,C,-1.7109870358365,-18.599237272270198,D,B,59.40951299690137,B,B,0
Brazil,Jewish,Married,-67.84731752743997,E,C,4.496859372139605,C,74.34494163428195,B,-26.796644398787567,-10.256702026447712,A,D,-52.41667273076932,C,B,0
Other,Buddhist,Single,-20.62878823650148,D,E,-64.87051141299122,A,1.7000204898744784,E,-160.9990070053286,-65.00346412576437,E,B,57.098946873357136,B,C,1
Other,Other,Divorced,-83.93843422973738,B,B,150.31179404613715,E,-65.16934806779174,E,-10.35297265850675,-114.5898205444719,B,E,-128.09423769366077,D,E,1
UK,Muslim,Single,-169.206128666316,C,D,-153.46594868656064,B,32.451015532922256,D,97.54623901486696,-80.33017675951521,B,B,59.07744023661429,E,C,0
Mexico,Other,Single,43.137567963570106,C,B,95.63385013371273,A,113.3389100214692,B,-2.752995905024744,-25.649689716730308,B,C,84.0167199445321,A,E,0
Germany,Jewish,Married,-114.53975534424845,D,E,-37.40198493558492,A,-122.08599465805354,E,53.02491514541812,-97.7744144304184,C,B,-88.17332712356041,D,A,0
UK,Buddhist,Single,-56.709511887283206,A,D,86.09746743874005,C,90.91650984746106,E,-41.84284422746312,19.5749385046129,D,A,-103.64612577723189,A,B,0
Brazil,Christian,Divorced,55.00904957599222,C,D,13.444485318758511,E,182.45598694796666,E,-204.79112711405784,-103.60542522169266,B,C,-44.41797263187944,E,B,0
Mexico,Hindu,Single,199.3883048131657,D,C,-142.07093054131303,E,-90.92483041214787,B,-30.415395945975188,-51.928629310523114,B,B,-94.083468573885,C,C,1
Germany,Hindu,Married,-178.069492136602,B,E,12.895296574453122,A,-345.3015347151948,C,96.02885629343515,-27.311957319102376,B,C,172.212616095145,B,B,0
UK,Christian,Single,36.24319778117416,C,E,-3.5271621624603346,B,96.78889214782858,B,83.93693992789673,-149.9355446387653,D,B,42.38440892413028,D,B,0
UK,Hindu,Single,-105.45711907191657,D,B,-9.080594868830795,C,92.85943265433542,C,0.06351161664771979,88.46676072167956,E,E,49.29208959200444,E,E,1
Other,Other,Widowed,-131.1811554530699,C,B,-99.45605046660555,B,-1.7633885558361047,D,-36.606803773495216,-247.24437292599637,B,D,48.25551897498927,E,D,0
US,Hindu,Married,-25.817314965129174,B,E,27.256872467352842,B,41.55492472702849,D,19.82993157472049,198.92738007805298,B,E,-181.6861504092675,C,D,1
Brazil,Christian,Single,-19.991333269185247,D,B,94.35315041265312,A,118.69007615643692,A,-67.76621411148926,-62.60731667883985,E,C,-106.92238334791573,B,D,0
UK,Other,Single,-68.83593179633296,B,C,67.82331795083881,A,248.81272754858279,B,49.511359663658254,-75.05523932869728,A,E,105.95765503445939,A,A,1
Other,None,Divorced,-1.914770253791852,A,C,140.75213481851375,D,78.26512718452074,E,29.43946974783742,221.95139040543714,D,B,191.6944179580095,B,B,0
US,Muslim,Divorced,1.2029283944741167,C,C,121.37738067748951,D,-153.74153630856492,A,-86.40610121151285,-16.62657600171118,A,E,76.663536084852,A,D,1
Other,Hindu,Married,76.50095005431741,E,A,-78.69739369109845,E,38.94139617527989,D,58.577506950592515,21.119107109320307,E,E,9.398245795426972,A,D,1
Brazil,Other,Married,132.79905596095404,A,A,9.665052083892252,C,154.348446064541,C,-68.84705918113012,8.523580015793977,A,B,-148.06101498846886,C,B,1
India,None,Single,-58.90833067283373,C,A,-95.62508276726408,E,134.02632118189467,C,122.18835526104624,87.4038872480582,C,C,133.53678655368287,D,C,0
Germany,Christian,Divorced,-90.10205102669761,A,D,17.271733632861128,A,61.26816490565879,B,231.3333077957855,60.181169584559356,D,A,139.6055864179356,B,D,1
UK,Muslim,Single,29.343585735885135,D,B,99.09742905155873,E,31.43940398011398,C,-6.244226454223076,-90.3120524586965,A,C,118.75934453655334,B,B,0
Other,Buddhist,Widowed,152.6997215459256,A,C,6.863669864276817,A,113.70595031789573,A,-62.115245048759405,6.838237441888328,B,D,33.57265488253371,E,D,0
Germany,Jewish,Divorced,37.51170266603255,E,B,45.51570291675356,B,52.05804914653969,B,1.73172383046131,126.06295000809551,D,A,6.529806677619045,A,D,1
Brazil,None,Married,-58.68860847931574,E,B,103.8263168549969,E,39.78566719306782,D,-89.01385790675666,-80.01797882069889,E,B,-14.527314409901667,E,E,1
