disabled,civil_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
No,Married,M,A,C,D,B,C,B,-80.0697568291207,-10.494031474820018,-164.93797252200764,B,B,C,49.450908479972966,-47.6083970770406,A,B,152.62113114857215,-14.695264123083668,-122.21497814016213,0
Both,Widowed,Male,A,E,E,D,B,A,-85.4749128307817,136.39394944087547,37.707763191887956,C,E,C,-43.733391934549275,-173.85770347900012,C,B,91.02149833539616,48.07223181938765,-47.28465108959732,0
No,Widowed,M,A,C,B,E,B,A,-25.434032189510724,-24.461702479794543,-1.7125575745288804,A,A,A,46.4034906056534,24.37120696734521,B,E,23.244867901707774,42.061303114000886,-68.83071460843951,1
Mental,Married,Non-binary,E,E,A,A,A,B,-95.98337637836909,-27.820827159875826,-65.8726624030886,A,C,E,-65.93704582086157,7.97967785767193,C,A,-59.79765177022406,218.97292581718176,23.539200226973183,1
Physical,Single,Non-binary,D,C,B,E,E,E,1.8894515424741263,28.58967155837145,148.2020242756802,E,C,E,127.93226142091649,165.16929487098975,D,A,64.45957865926917,218.35457007247626,152.4650202688644,0
Yes,Married,Male,E,A,C,E,B,D,77.67232530623079,48.46376970595793,30.960315702536246,A,E,C,-62.384742046285545,59.5136157777977,B,A,-89.1246366278727,-73.42826323045529,-92.35244855690729,0
Both,Divorced,Male,E,B,B,B,B,C,-139.8599156260941,6.2384602907181685,29.48931810072325,D,A,A,-209.0473893869625,88.81322065577513,D,A,-75.41700252538047,-3.10741791866662,41.53425446816586,1
Mental,Divorced,Male,A,B,E,D,A,B,-72.97739595244444,29.741628095051066,11.991589991486132,C,D,B,6.7750174693365794,52.498462295865714,C,E,-154.39829006253584,59.98096308901836,-95.41029987430866,1
No,Married,Female,C,C,B,A,C,E,54.05473769750386,108.81619426682938,85.5712426392894,C,D,E,-75.6013888278948,22.26194739627579,C,D,40.14899672492411,-72.5425561105603,-174.04206411178674,0
Mental,Single,Non-binary,B,C,B,A,A,A,30.764659656828186,-31.763683095073205,-169.48660022117897,A,A,D,63.39258307817243,-22.750986869601345,E,A,-88.44845050925395,150.37846422386798,130.39271696377378,0
No,Divorced,Female,E,E,A,E,B,C,50.83006335401846,-115.23489963523768,-152.24530507605655,D,B,D,96.76393583622023,-30.88631559922261,C,A,-171.0833415746889,92.16883720257901,21.059608991987616,1
None,Widowed,F,E,D,C,B,C,D,40.6098318576563,-47.60305411638752,4.739242255241615,A,B,E,15.318723919031818,151.64957400134372,E,A,-71.60228202374572,-28.347096227364222,-36.57108478863981,0
Both,Widowed,Male,D,E,E,E,B,B,54.93296282327144,96.93909158262575,63.869198075610676,D,D,E,-96.07104243356177,134.67585985553146,A,C,32.44333378799939,138.99217849577542,62.832958983307066,1
Yes,Divorced,Other,E,E,B,D,A,C,-124.646849271323,-39.684462590358805,30.645886738516293,D,B,B,-10.308532400412068,-17.248804762671348,C,B,73.96221230420238,84.77357334851074,30.770695180968605,1
None,Married,Other,B,C,B,E,E,C,51.8751858642353,81.03669854628592,-104.91109943424384,C,E,C,26.386845135946025,-41.8017972224624,D,C,-27.587027948191157,38.986383571393674,-32.69419760563764,0
None,Divorced,M,E,E,E,A,B,B,-59.18041711326419,-3.827625975055324,-0.5301770936126783,E,D,A,62.43113043518866,-159.62970552684163,B,B,-119.88283936980622,32.60193702790984,-139.43109269504177,1
Mental,Divorced,Non-binary,E,C,E,A,E,B,-64.12144635028454,-78.93252511019153,-152.95669445644873,B,D,E,-56.505810093990306,11.971786911166632,B,C,-100.84544728460784,-52.256964527687046,101.56011602463377,1
Both,Married,Other,A,B,B,D,A,A,-108.31135879147986,54.59225205665401,-167.40481096489876,D,D,B,32.68134948405706,-112.78443697753995,D,D,27.02135370393978,42.30289700451623,-70.83148690896887,0
Yes,Single,Other,D,A,B,B,D,B,-51.9240682782864,26.987238528453233,-113.12496810716637,D,D,C,50.44321042942613,18.853208063278764,D,C,85.66341099722524,-111.30587339123909,4.803613153660346,0
Physical,Divorced,Male,A,C,D,C,B,C,153.88476157801261,78.64882176319392,-11.703866425949915,A,A,C,46.45983759304422,-107.97863425220729,B,B,89.63027172614538,197.20046671605812,-105.95753533705843,0
Physical,Married,F,B,E,C,A,B,A,-93.44831795486024,14.4045669820038,-193.7205981797647,C,A,B,-236.35030378262232,-91.35150091399011,B,E,-149.06500882392803,36.149887396105406,-50.37595116108925,0
Physical,Single,Female,A,A,C,D,E,C,-172.96102882254507,-110.3073653896513,-70.18638790744973,C,A,D,-84.30820583688283,234.48242994142086,E,C,39.24003526545854,101.60664317630292,141.27776459842002,1
Yes,Widowed,Other,D,C,B,E,D,D,-52.13150598755064,-108.295457053044,12.896114388511574,E,C,A,29.142864978161303,70.8006498871341,D,A,-10.722085535606206,110.37592985897564,-21.532018330187512,1
No,Widowed,M,E,C,D,B,D,D,85.34281893802746,-139.97132628060888,-93.81750391460949,E,C,A,148.46569013273344,13.35431651259057,A,E,-25.275867406813425,8.296458518596516,99.3125574674673,0
Physical,Single,Non-binary,E,E,B,D,B,D,-54.09066057172289,-3.6557854745934035,141.52988631810587,B,A,D,-13.606450594669935,-36.31976548317127,E,B,-58.40533945237504,-176.87530140320683,50.11737042113463,1
Both,Divorced,M,C,B,E,C,D,A,-43.3384669550843,-109.873902274544,2.7127196575918355,D,E,D,131.9211792277359,25.08498530148433,B,C,-6.63947561571944,-29.867198224959978,63.37361778240336,0
Yes,Married,Male,C,E,A,A,C,C,116.98515364109257,23.64948369619912,-40.52305316523287,E,D,A,-20.97620578993629,-11.765012166760712,C,D,84.53930387144311,-131.80413196218618,-184.64193966941974,0
Both,Divorced,Male,D,C,A,E,D,B,127.43776670669318,-135.2892998730241,-117.93881466485934,B,B,A,228.13778612570496,24.917517988408314,E,A,-87.70796185608731,15.037451076545924,6.578673713613589,1
Mental,Single,Non-binary,B,C,D,A,B,D,32.58816810371914,-80.3506505787315,-103.8885119914906,C,E,A,107.75366306231253,23.929831001656364,A,A,9.368366197556385,83.83372303703638,54.64015011290723,1
Both,Divorced,Non-binary,D,B,A,B,D,C,-73.69196814426384,52.74115455273242,13.8431613706874,E,B,E,-8.996128837598448,171.11859157968206,E,B,-114.63745564026075,-78.9700790131154,-150.58905249779778,0
Mental,Widowed,Non-binary,E,C,B,E,B,B,-0.9292334090584122,60.51693103577803,7.670257634047426,A,D,E,73.41548840082665,-122.33629956961781,B,A,-45.09580867423311,51.19446150592138,129.64312120317413,1
Yes,Single,F,A,B,A,A,D,C,131.5873598595263,153.91769222699196,-40.67420285154417,C,D,A,-77.77111460365029,44.82485013623515,D,C,-96.87497591011724,-91.73878955248469,-278.4024148034176,0
Physical,Widowed,F,D,C,E,A,B,C,84.3620764626787,-296.9788374474075,-30.352452151451857,B,C,D,59.185392497941294,72.38216297516813,B,B,-166.32281846029636,-212.5746927926685,20.48759124986789,0
Both,Single,Female,A,E,A,A,D,E,60.92757750597848,103.66367658413414,-112.95499048995971,B,B,D,-27.047849937336515,-38.337787390207055,A,A,-25.89995711704906,38.7152454783287,67.6440581534574,0
No,Single,Female,E,C,B,C,D,E,-16.365877244200956,24.346565216392975,-21.840064477077565,B,B,D,9.996505270527638,3.2573095036586017,A,E,34.01478049176197,-2.7894003584367373,39.515995934034095,0
Physical,Widowed,Other,A,D,C,D,D,B,141.78079215777007,-201.04947515038685,-150.5216175020233,C,B,C,-85.63173522688324,-115.89710804364441,B,E,118.43024146309853,40.501623901969815,-111.0805452713498,0
Yes,Married,M,C,E,E,A,D,B,-0.052185508767160584,204.73694936534085,202.00536870257037,B,B,E,-197.63432769717204,-53.329034833372965,D,B,53.23076760572077,-152.0066668497398,-51.26985009238783,0
None,Single,F,A,C,E,D,E,B,-114.83401595237055,45.56491757502983,-25.268029851237788,A,D,D,9.503911049206886,102.32065347893557,A,E,57.69389581965423,105.59215646704078,78.37041509439273,1
Yes,Divorced,Male,A,C,E,B,B,D,-0.3839017219876725,183.04574259292482,-106.67604984303676,C,E,D,30.073930195745767,44.055648365962824,A,C,-83.85217199235133,62.825371358618376,3.6214657454254895,1
No,Divorced,M,A,C,C,A,D,C,-112.6295770485363,-335.8136962982129,118.56741226352132,B,D,E,68.1209757805065,166.19181562425135,D,E,102.29559491517806,76.22165967079071,-142.62054090718698,0
Physical,Widowed,Female,B,D,E,E,B,B,-192.29304713666966,-87.07158153613334,-33.901998471944026,D,C,A,-18.651389882962977,-54.70343014150352,D,B,-17.84604641420791,-32.05532994343635,84.09867660097512,1
Mental,Single,M,E,A,B,B,B,D,136.22681977943915,17.062172302658183,91.0718480296245,E,D,C,-103.85682941978449,6.271249387194732,A,D,-115.6887379552864,-49.57869114843979,190.82261862817094,1
Yes,Widowed,Other,E,B,D,C,B,B,-63.842554299920764,-35.02305389695195,115.51845605000011,C,D,A,-17.373075539282905,-90.2915845715916,C,A,10.373717843757731,133.01782570535758,49.63361297610566,1
Yes,Married,Male,E,B,C,B,E,A,64.54766332900702,108.44551828975348,142.4366033947091,E,B,E,-116.32689915947896,26.3859589973359,E,D,4.467204810324823,-143.7379893867826,138.60549006947295,0
Mental,Divorced,Female,D,D,B,C,A,B,240.5678137255905,-14.105080772900374,-85.2321675747377,D,D,D,-144.18431117372032,-47.116650921472335,D,A,3.918964126026086,-178.5513965761821,203.36222676624786,0
None,Widowed,Female,B,E,A,E,D,C,-112.74254266902253,29.90975495834019,113.06136740070288,D,C,E,77.63021432384329,135.25482422797404,D,D,101.24696741624946,97.17971946721107,-110.85069549888098,1
Mental,Married,Female,B,A,B,D,A,E,214.70506244225083,-157.20431891866218,-157.02428892608276,A,A,C,-79.11873433535264,34.99379992312896,D,C,-9.359931866969216,22.28169553201483,101.03430530779865,0
No,Widowed,Other,D,A,E,C,E,E,-58.74755786542796,47.308295422264706,4.652018657395561,E,C,A,49.54814712191531,57.01423186832662,C,D,29.172742449084204,-76.87338528984063,118.841048086713,0
No,Divorced,M,A,C,C,E,A,B,-71.18851517803489,-27.75999599584213,-179.62912868218612,B,A,A,26.860020900591934,27.629788879005524,D,E,-122.04282952723098,-20.109872172968654,-95.9281848921902,0
Mental,Widowed,Female,A,E,D,B,E,E,89.94871579148386,30.964295444351336,-202.55630719374707,E,C,E,-107.163840341165,19.08695224406396,B,A,160.6523774886483,-93.33907859737408,-21.02176103021738,1
None,Single,M,B,B,C,B,B,C,20.418572146426545,-138.80149261554814,-109.91607029791031,D,A,A,-15.77237599613824,-55.208203104564966,D,D,-105.18238041642647,-84.52863396387113,16.50288882032498,1
Physical,Divorced,Non-binary,E,B,E,A,E,C,-79.58837021002341,73.76614051865818,8.06414735397881,C,A,B,-123.48632666128645,54.85387167588384,D,B,29.72136227001058,-19.008404437058765,70.62812950813363,1
No,Divorced,F,C,C,D,B,E,C,-103.34842605383471,39.97988329944589,17.387551936236502,B,C,A,87.5143590418624,-136.35995072425132,B,C,-89.15236389260339,170.16924160183927,72.85482303477161,1
None,Married,Non-binary,C,E,E,B,C,E,-332.7169085683551,-44.64569884044074,-211.36381286427564,A,A,C,-12.298823644312904,18.664123627874552,A,E,82.54349896676794,-67.243765874189,-163.04480550820597,0
Physical,Widowed,Male,C,A,A,C,D,D,67.8129408040913,-2.228063401617818,-9.827780118749876,B,A,B,-27.938205793404002,104.16857298411625,D,B,-25.98629817302889,161.21017724606247,12.747599180382268,1
None,Widowed,F,D,B,C,B,B,C,38.31923786142375,-26.144045539022336,-24.22082803462113,B,C,B,108.98567709326163,-64.04476968947026,D,B,51.1879753471633,91.50756885633267,5.451421336174469,1
Mental,Single,F,C,C,B,D,D,D,196.96116685955576,-140.75306358792454,-115.6345322695707,B,C,C,99.45302011069629,-172.51091680857562,D,A,19.93585821730631,-78.51846106870583,-286.668117006312,1
Yes,Single,F,A,D,B,C,C,B,-142.1046120129586,132.2173316876645,212.83047337093262,C,D,B,44.00788120354437,34.772596809214264,D,E,-36.97603098926382,89.16734844771572,4.1644142445015655,1
Yes,Divorced,Other,B,A,B,B,E,E,17.462315089581544,-54.22968429828281,-65.44936744348472,E,B,A,-68.23829678072953,7.418436713803578,A,E,18.720917590375052,-45.22114170966115,94.90265640023965,1
No,Divorced,M,C,E,A,B,D,E,-73.87975325091878,23.363428079349593,-66.94434068065192,B,C,C,147.64071371201447,-12.148543618679359,E,E,-86.29563049842939,121.96671676853327,-32.42551026878214,1
Mental,Married,Male,A,D,C,C,E,A,73.12447729703909,36.968566696762416,-237.42611297642964,B,D,C,234.72740998275142,-35.551441586189156,D,E,17.241690926317272,-87.80824946477766,13.339810105266023,0
None,Married,F,B,E,D,D,E,D,-15.49596779154441,-171.59396347427202,15.653620686369091,C,C,E,39.70822010189035,193.2842282280423,A,A,68.44984020458956,16.87158022029348,-220.22805363866564,1
Both,Single,Male,D,E,E,E,D,E,-63.7703450204935,-115.23618051754991,-109.7465984569908,D,E,E,-32.06014139306744,-21.11920938749843,B,A,-130.50922105364685,10.4333718687796,48.65885703991592,1
Physical,Divorced,M,C,D,C,B,B,D,-5.804604289445795,30.067616626913996,-18.875584099195603,A,E,E,81.58212768315842,176.57314236455315,D,E,-48.76202941470014,-81.94397070286618,53.95217792805281,1
Both,Divorced,Female,D,A,A,C,D,C,-61.36383537160774,42.150259779191565,77.49372224490175,E,E,B,-241.6416230799017,111.51764174912655,D,B,163.30392848315526,-13.248818690680064,187.5829261935466,0
Mental,Widowed,M,E,C,E,D,A,E,-10.667893228087404,-56.44774153035623,-8.39152242783107,C,D,D,-69.85134809927102,-43.315775596105446,A,D,107.56874941562977,237.09558045514743,144.5090841750179,0
Mental,Single,Female,D,A,A,E,E,C,-57.45667444855707,-41.57395279677238,21.231532131554225,C,C,A,-73.12195859979896,-38.21473044533899,E,B,-46.470995112572226,21.952684423535242,-121.59216529325536,1
No,Widowed,Other,E,B,B,C,D,A,51.59620163481657,-44.755869594494136,43.51182482467458,B,C,B,8.804275638386354,-20.30206523043919,C,C,-272.5532400736886,64.24394874041671,-1.8825086781462748,0
Mental,Widowed,F,C,E,E,B,D,B,294.20559629345524,-64.41135032815261,-7.689673797752371,D,E,B,-231.68730935464703,132.04143894326072,E,A,-205.93814704921917,-112.1710382305326,-114.23632088441515,1
Physical,Divorced,Female,C,A,A,B,C,B,204.35367826870623,65.99159324263523,78.72627389716502,A,D,A,124.9438658304827,26.941136494401828,E,A,114.62522574883309,-97.56521044045085,-61.70384689163553,1
Both,Married,Male,D,A,D,C,B,D,-43.68160307952416,-118.77575515816683,-63.696816755215444,D,A,B,3.6599842142021934,-55.565246628425754,C,C,127.65686667463932,-16.903609030376902,36.33756264246152,0
Physical,Widowed,Male,B,B,C,D,E,D,-66.91165630165565,185.76276555813274,-26.540798582844864,E,D,D,31.77757735737649,29.141096740563178,B,D,-156.6865512921524,-18.665058813488493,14.793498527357695,0
Mental,Married,Non-binary,E,D,A,C,C,B,79.19707785488205,-10.80795120871992,-3.048684844397099,C,B,A,66.42426070821233,-17.114019356007265,B,E,-204.2759477600336,-1.2638256484631099,-114.85737314217701,1
Both,Divorced,Other,E,C,B,D,E,B,-41.44491125016835,105.04604474728099,210.18091801207507,B,C,B,-151.62580101292355,-119.93901885625047,E,E,-109.595413567856,35.48401754136341,41.537497154009394,0
No,Divorced,Male,D,C,E,D,B,A,-39.6866289932734,-148.6677915871886,185.36289448981765,D,B,C,-59.47537378759754,-140.39975892819615,C,B,-28.18544185079463,3.3433887433129605,154.386405445601,0
Physical,Widowed,F,B,E,C,C,A,C,218.16573327073172,236.06660334386885,20.69098247628193,A,A,D,-111.00595745455146,-140.31194660260468,D,D,15.89366999243784,33.66550831835473,-95.2602937743471,0
Physical,Single,M,D,E,A,D,D,D,-152.13693309278977,118.21558317732122,-40.439773661638014,E,B,A,-33.25125541242503,-72.67061085459581,D,C,-74.20010707853238,26.805879186536423,-191.176261102754,1
Yes,Widowed,Non-binary,D,A,C,A,A,C,95.48230086978882,-104.49569669104936,-29.4760989429742,B,A,B,8.491697253304284,43.26594242343301,D,E,37.68259386904705,59.84566153290169,23.686765111567514,1
Yes,Widowed,F,D,A,A,C,C,C,-95.90132838075485,149.28151665176637,-121.61343406634806,E,E,D,49.42596240276759,-107.71015285494477,D,B,242.60764177962847,-48.69843499274697,77.31375494884367,0
No,Single,Male,B,E,A,A,A,D,-85.56053820984008,47.58098501146758,48.675148519460365,C,C,B,-2.9633685409351065,110.06269940131716,C,B,-4.178454096261718,-55.12012955566507,5.390077878073892,0
Mental,Widowed,Non-binary,E,C,D,B,B,E,-50.8479687294866,255.20613616750754,117.46417250875932,A,A,E,34.930394021210134,-61.14807659736739,A,C,53.10711613150443,-37.2325544588663,-156.86082435003462,0
Physical,Single,Other,B,B,B,E,E,A,74.09280281019535,-170.59291066380518,-20.117225596875628,E,D,B,-31.936782888539422,-18.11564882722911,C,E,-116.6564701029835,-68.16081139159938,-31.03516107271023,1
Both,Divorced,Non-binary,A,D,A,A,D,D,-29.993229808232062,-120.74700569643069,-150.94830866555057,E,D,E,118.12526210157736,-64.19863018587748,B,B,-44.65159147479046,-62.97695646052346,-49.76509535969541,0
No,Widowed,Female,C,A,D,A,A,B,55.671891105702066,-139.24136757470265,81.99445310851492,B,D,B,-6.525080361956431,-37.156502760130536,B,A,91.9633083903433,-63.941563525234635,-44.95025243661245,1
Both,Divorced,Male,C,A,A,C,D,E,7.439010903570526,88.83218063619745,-117.73344493193036,C,C,B,-123.41999139098958,-151.32044270867814,D,C,-80.82638340638516,-100.68261001774141,-147.2444180168563,1
No,Divorced,Other,D,D,B,C,D,B,130.79151718996118,3.4620123396637266,43.01897001435396,E,E,D,-20.045942729810548,-44.30121260529652,E,E,-68.96503734825401,54.54739604190317,131.24908514194743,1
None,Married,Male,D,C,C,C,E,A,102.33664772793125,-310.0091851927195,56.5151921998021,B,C,D,248.94236590234507,-107.88366634192255,D,A,-95.13557078355358,-118.56130338197471,-162.93226971420134,0
Yes,Single,Other,B,A,D,C,E,C,-0.5423368726955123,20.600594306455104,141.40705202006856,E,E,B,26.051797224718605,-150.52813353472584,E,E,-230.64664430831763,39.79414963633589,-21.45953160437212,0
Both,Widowed,Non-binary,E,A,B,A,C,D,-46.57391772478081,6.260317846874836,-25.995038217248222,A,B,A,27.640041127102243,-7.6119340208791435,D,A,89.19909292992672,-184.23912005916625,217.42234100357342,0
None,Widowed,Other,B,C,E,D,A,B,55.32074054705147,-231.84877577743327,18.176560932140447,E,E,E,-37.52206470637399,182.80218080035712,A,B,-68.73974024247448,137.2263757872014,-63.61573085949266,0
Yes,Divorced,Other,D,E,D,E,D,C,-10.995171704980375,-116.9023518976672,3.0485722785767218,B,B,B,-26.2980825676595,-19.788248988383977,E,D,-112.80649297713407,-103.03572080699716,-58.1728414308852,1
None,Divorced,Male,A,B,D,B,E,D,26.059887323494575,-240.4489691535095,-23.214748966226903,A,D,B,76.77613834844227,-134.87934826057727,E,C,153.96278995780398,43.259878471606235,24.438758119510563,0
No,Single,Non-binary,C,E,B,A,B,E,-105.29328122426327,-0.6705744716200026,98.23253673096212,A,E,E,-121.95356133206803,52.515862855302785,E,E,-18.063980214165664,-109.14537671736527,-64.56314843305869,0
Both,Widowed,Female,D,E,E,C,A,D,-107.931070923869,-125.3251124120334,66.03261323759769,B,B,E,63.76925519318234,117.29937048112444,B,D,-62.214367748028266,-59.44069230586495,-184.75111308641803,0
Yes,Divorced,Non-binary,C,B,E,E,C,A,121.66057486352682,29.13856110052112,98.11589012666649,D,E,C,-233.93621663365144,-5.997861834038385,B,D,23.265773420086227,86.64034097500362,83.0671652322283,1
None,Married,F,D,B,A,A,E,D,87.70716685215267,-36.79894684283532,60.391188562118444,B,A,E,-4.112223522209323,32.107683933467236,A,C,-37.527970156463304,-236.35255337847389,-147.02359942033542,1
None,Widowed,F,A,A,D,C,E,D,60.80126038716743,-126.6605667092202,-113.31168608462401,A,C,E,-56.26361155802102,-69.10090357117728,B,D,193.42990385342787,18.80966612869074,-102.03418695205832,1
No,Widowed,Male,D,A,A,E,C,E,73.75912755102622,41.73542363173439,-57.445862645312694,E,E,C,93.29837640733747,-87.89791742100356,D,D,-127.201013647261,39.9868887862897,-27.676104486370228,1
Both,Married,F,D,B,A,C,B,E,-48.58325381404548,-44.42538999575768,20.80041313842398,A,D,E,60.43644477782109,-70.62323967165362,D,B,57.62319059144646,75.48724921926086,-44.40478477048055,1
Mental,Widowed,M,E,D,E,E,D,D,18.67634963658265,8.677534104824684,-99.30413189112619,D,D,A,-122.3529104825424,74.43060255644237,E,C,39.08586781042895,-138.75117079261042,61.46498874488526,0
No,Widowed,Non-binary,D,A,E,E,B,A,127.79734041378464,-70.68467483611788,20.4331793597719,C,A,D,-9.883755400387106,172.39756313540994,B,B,-7.212592453308851,115.31574519543757,148.68610835384882,1
Both,Married,Other,D,D,E,D,E,A,144.33688203237506,-178.88998655002615,-122.86860600620754,A,D,B,17.2442798075458,63.19339959520448,B,E,-143.1482732741556,190.7011215513964,-114.90189098054458,0
Yes,Widowed,Male,E,A,B,C,A,B,28.832981646334815,51.13516542612923,34.001094682293,C,D,D,-151.60832307363725,11.898464817604312,A,A,187.7573647700822,212.6440998559568,56.647840835594685,0
Both,Single,M,D,C,E,C,B,D,59.77820560786115,136.83698951032454,-140.24905792409146,C,E,A,93.65183644791436,138.44858315060264,E,A,-43.92423550121528,99.00512052532619,32.67408983190598,1
None,Divorced,Male,E,D,B,C,D,B,-100.45152689598682,-84.53866694430026,35.77353878965158,C,D,A,-237.90715073792117,-14.099373878084586,D,C,42.05423012344397,137.25462261000135,-89.22312152514634,1
No,Widowed,Male,D,E,A,C,B,C,-112.895949523907,-14.330379749483654,172.94290901783185,B,E,A,110.08508036336153,40.387167886819554,D,C,60.85891219401904,-212.3564234866568,-161.93564004669872,0
None,Widowed,Non-binary,D,D,B,B,A,D,178.58767311214865,-2.0209017256965396,65.88857491896889,E,C,D,105.12087256577323,-59.154463423903195,D,E,199.2092264250475,45.13982036245249,125.28884831346296,1
None,Divorced,Female,C,E,A,C,B,C,-106.53327994751218,-52.069839406798415,-58.38144742667818,C,C,A,47.76658709860483,28.36427967227944,E,A,-30.996885861487318,-47.017406664460474,148.65005764843778,1
