sexual_orientation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Heterosexual,Veteran,A,B,173.95262093119445,C,-89.1104210280363,A,125.56481032928104,-90.37143237563895,13.848476932166099,225.78712267078384,-125.85940369669603,-123.02656431301988,E,-10.120007415418229,A,165.98917124843996,-121.05471141023241,-76.36251136503334,A,1
Homosexual,Yes,A,D,125.44974478228124,B,-37.39993344711226,E,2.469598115473349,-145.91317155787902,15.396207171607701,-102.51195871982995,-162.78352959870062,-0.1700837632588185,D,25.836907817836526,E,-134.13300057633626,27.29380919425694,-117.98770419981261,B,1
Other,Yes,D,D,12.722099426737756,C,40.767780068053256,D,51.364580712388495,-43.91838421988973,171.779521505305,85.49557487420452,-70.41930452628378,-108.40836189907111,D,96.90530759648372,B,-32.722768132767804,33.61510829806088,-17.163571459185327,E,1
Other,Veteran,B,B,4.580319269504655,E,-92.36464832955458,C,146.66537701938768,-59.75316947917095,-9.109038085705118,-79.00440549818954,37.20969575626051,-14.96969623283077,A,235.0309047779067,A,-83.63431185732443,97.92457023144664,125.74654541391126,C,1
Bisexual,No,D,A,-127.89049492746042,E,-31.201975328007318,A,27.448367421146795,-68.23764699406017,26.247573585254337,115.03407979014698,-24.312085783936826,172.33840967272118,D,103.8399699283098,B,12.110924971290778,71.15215267607677,49.693271978858675,E,0
Other,Veteran,B,E,-182.21477550348558,E,-4.797017168138688,B,81.27898542077943,-90.62723789134022,20.797561665842178,-163.3121735863082,-53.39555639942352,-131.3961187665752,E,-41.71831302175368,D,-61.6957300643459,-52.725502561860914,-25.77289416277128,E,1
Heterosexual,Yes,E,C,-57.20043388428064,E,122.02549197065025,E,-122.17928891925725,9.459466055058304,209.39872281282183,-33.58283466464497,-53.416196573958274,-6.699378413994121,E,6.565325162527882,C,12.138037087157631,16.58204188591741,74.02691956438156,A,1
Bisexual,Yes,B,A,117.6824736647533,C,-12.85152415343691,B,-148.46488645251776,-62.0570385469926,-33.99854175852052,-257.6624573107122,-47.45401105947412,119.21555988112335,C,19.84677076543274,C,-75.66494417341477,156.0317566042225,205.1735237817809,C,0
Heterosexual,Yes,A,C,-162.05751342418034,A,-4.321964968018328,C,-255.04213621406612,18.02320769581094,-118.91234019525838,194.42749545446983,134.42567020929198,-101.06229514384226,C,44.58070907518117,C,-95.00785447280059,-25.998545047165056,63.22431434176268,A,1
Other,Veteran,D,A,-46.888929849467935,D,-81.54080505930051,D,-100.22218819616673,-89.7334281406543,-40.233656074308435,167.5853734164142,47.811697647227355,-89.41354607829601,B,-31.43198258721481,C,64.16763560932269,143.85792292938993,-58.04033414899198,B,1
Homosexual,No,E,A,220.11996338480068,B,6.956655961014878,D,74.36607625488952,-24.15013477403925,-83.03293880001179,130.05719775672563,14.801666885475584,39.19494334896157,A,-7.346071517010043,B,8.263719302065944,-16.849294387130513,-62.6896664748988,C,1
Bisexual,Veteran,D,C,58.62310282573333,D,-24.623079913000648,D,52.16770773227735,150.36844645857877,-335.3658667665255,-34.198812534203604,64.90456311376232,-17.726039054123227,D,-25.092550423553128,A,21.810100695161204,-31.79843649513043,-38.88520468384763,D,1
Bisexual,Veteran,D,D,-155.97032959129714,A,-27.118619959463093,A,-11.746835084280772,-26.272552534079775,43.64767926492923,-120.77817461447331,22.940729774720715,-82.28789607779046,B,50.78407917101953,E,-103.46100192521055,26.54278119561476,-13.274558939754646,D,1
Homosexual,Non-Veteran,D,C,-26.20394676361674,B,-33.562617949102474,B,173.46834930739513,-168.59671987069393,-179.81047362570834,0.1487878161512827,-62.838071045293276,-118.87684584638336,D,93.81370106586873,A,-69.0333830829427,169.7297789011649,-48.45470408634077,C,1
Heterosexual,Yes,A,A,206.01261217010932,D,8.943620528441844,D,-25.848630940731944,-55.49497530262158,-84.72123921732745,100.22231290383633,-57.072574991326874,-75.39540896146123,A,-75.01599002271337,E,-37.290227118965014,-41.45703230307963,-61.35010797429569,A,1
Homosexual,Veteran,E,A,75.09542652795363,A,-186.60792900800172,C,134.31958887530297,-38.575566526026414,35.682142777374175,83.24871523976529,29.270464624409286,-180.8182197207049,A,13.661381713412862,E,-154.1435807580947,-6.586196524393278,5.6593561183654675,C,1
Heterosexual,No,B,B,-95.97637440028703,C,-110.57931315879044,E,-54.44313632839969,-36.4381186751855,17.65230693772218,197.39040537916543,102.24413889283255,-155.18179116967542,A,88.66806875734056,B,-118.42177228829962,-8.309236171457666,57.547758910347454,D,1
Other,Yes,D,D,-176.05855486699645,D,-3.3393236337646006,C,8.660816735437592,-186.94298493974378,137.22244648727985,55.790271424010484,-94.0673087885974,-128.89276254167535,B,-60.049379447379536,B,79.98802037076251,174.88634054814827,-111.81846893369334,D,1
Other,Yes,D,B,-29.21706415704642,B,68.58186280514708,E,-46.4013701665584,-92.31963625112404,1.2154133958063402,-159.19817024439214,-31.366827192745788,254.48029737602891,E,179.51398050879965,E,-143.21397012559675,-130.92395174957048,-32.452951421493985,C,1
Homosexual,Non-Veteran,E,E,47.50015157771087,B,-43.534698408737285,E,-15.379361461327981,-42.82935519430834,266.51101828949106,-106.03893958364436,-237.96523936766616,-73.4382358949307,B,-13.492826553521455,C,68.17891420433887,-27.69325145204115,-63.97733788954039,C,1
Heterosexual,Non-Veteran,D,B,212.3096658165974,D,32.98873739229337,E,106.67007855977388,-143.28715987429155,-52.586969943324945,-169.97669961354208,-143.00989378829584,150.70696072290986,E,12.162727062359165,B,1.2849644960932167,11.151912627045023,194.77154140327596,E,1
Heterosexual,Yes,C,D,-119.1069243073317,B,-30.727422563332514,D,-260.5961995935717,-114.95452914459507,-90.03363090793022,61.61826284467683,56.623739864919855,-34.21612784715678,E,-50.341443531520255,E,-22.444938071699372,46.26899317185036,231.22282486490212,A,0
Bisexual,Veteran,E,A,163.68732078214668,B,-53.61388070265086,B,196.51766690875738,0.6998107038186285,-87.61840802790178,-99.92873595730696,66.18975024517113,-67.95174504060498,B,170.68566108305404,D,73.34279164868492,-200.17382701291814,-44.885644077324756,B,0
Heterosexual,No,E,E,-104.52243152626662,A,66.55213738155429,A,39.40183999067301,66.18559979163379,91.93050689639114,-27.345790701880755,-83.71116396012835,-206.06629753362645,C,-152.09575559811256,B,-40.884475717085216,62.334407598819695,114.8046002559523,E,0
Other,Non-Veteran,B,D,-81.75736021855067,C,-17.28682277617946,C,2.3541612345539398,-89.52632291601861,76.96302291146509,5.098741796118588,-25.93163735405602,-129.3752285675509,A,51.606387719001,D,109.75800768000266,174.77607470328437,62.078739953182684,E,1
Other,Veteran,D,B,-2.8347141727801857,B,8.923650715766753,E,101.3347002620135,-107.03513750902616,75.83538075650884,-32.9838146893217,-94.49540681003661,42.29194674901638,C,68.4864143064069,B,18.789863005187797,-58.90648028110843,195.65037999060786,B,1
Other,No,E,A,-117.16601411630225,E,-85.52437290400734,E,32.15919217472564,66.21079760739546,-2.559649084602927,-52.924817642165486,94.36770554771546,-14.242371595983636,C,-61.99684364970515,A,-26.809131277493897,81.32961730192248,-83.47645509283396,D,1
Heterosexual,Veteran,A,C,53.61614505916299,A,-204.59905890612507,A,89.31312708904102,163.3672566053067,-18.444350834702494,206.85237706068688,102.08777881479882,19.097531324911163,B,-26.66159107257902,C,41.24411611487453,-80.36383561126728,-132.98821677190273,B,0
Heterosexual,Veteran,D,C,155.12601896960683,C,33.04500968803575,E,35.494836058965056,-57.3289199798764,36.307470263251936,14.134232344239228,17.878582199770296,-28.261318437740375,A,-120.94080281862121,B,-84.79399788933506,-48.282163302747975,15.727236512350837,E,0
Heterosexual,Yes,B,E,23.57541774610227,B,-144.99054079193212,A,-222.9051499364812,-40.57630339949962,-102.62252276986936,86.87149821094323,-154.4638939989467,28.54895086636796,A,-138.5616901943056,C,-121.00685365810153,-275.03540424310205,46.632305761755475,E,1
Heterosexual,Yes,C,A,46.95911987378651,D,-132.57727151845404,C,-8.296873917536935,-60.47602944843483,36.12215491883595,-145.18545744504294,29.858009578023797,71.28587988294944,D,109.61017264067117,B,69.46879742030578,-79.24663718378258,60.18310129709943,E,1
Homosexual,Veteran,D,B,-126.05517539053241,B,129.0279884909057,B,-92.15604793027333,-113.5394062294665,91.65317233782157,-67.80414609045566,30.006603130696146,-205.22645293971965,D,34.400552846399044,B,-149.3454238589933,-66.01668686388007,77.88531405339496,A,0
Other,Yes,C,B,-128.2107290452268,E,-46.73513670702763,A,2.6100584179303716,-83.09786966094036,54.169346731556026,-3.5065375920793547,-215.31961081023155,77.55736493650745,D,-128.22531637761458,A,96.62973604544075,42.92434317826409,32.2245073923072,A,0
Homosexual,Non-Veteran,B,E,130.49272029510794,A,112.06365133708178,B,92.96044175075063,42.18538986754204,-18.41267510371531,-144.01763290234325,-2.0121264079090095,-44.43779778203936,B,-93.12570656823388,E,-44.56124678122226,149.66013146406692,224.43799135007777,C,1
Heterosexual,Veteran,D,A,-90.50656162612178,B,-209.03156977928444,D,-64.3345968520219,-118.8091872211738,119.1642671540244,-2.420090986030572,-9.637582651255356,-28.31440863306993,B,214.37377707601163,B,159.7332066089544,-89.95139214863137,-28.729342461574976,C,0
Other,Veteran,A,C,-26.47878858218611,C,-315.35443105557084,C,127.15061761728472,-10.738316219113292,-80.4607739981396,83.09918403933057,68.41164869819444,-121.18271085814698,E,-55.78358628271981,A,-82.63805075268081,166.71838365608622,-342.23341491837425,A,1
Other,Yes,D,A,169.3937989075673,B,-57.50168139520232,D,-118.98639774092028,30.47037795894067,72.66978785908337,-3.8933385418720574,-40.09338698690016,-23.95492448468615,E,-36.98585527748228,D,152.02297484943838,17.12107378291703,19.27962779976622,D,1
Homosexual,No,C,B,-145.3071340120237,D,-9.51944742275891,C,117.9052242271446,65.85880572725273,-88.3217579412721,4.3678308226650335,-33.22618025974137,35.152667512819086,A,-86.7413828928894,D,-48.91637818808145,146.08055970789837,-4.3363462904630525,D,0
Homosexual,Yes,E,C,-111.61345572633678,A,-170.1982988208424,A,-12.195767464723694,-70.37681455774052,158.67415696927088,-43.36842068706354,160.28791362289692,-58.380542031131434,A,62.164738786491256,B,42.4934892232912,-8.619193167336292,1.0757541205960006,C,0
Bisexual,No,E,C,22.871981121682865,A,37.115266719496894,A,-64.19111716704317,-18.99318392004033,91.35342765017539,59.10427233281161,-108.9684656925077,26.840596790532956,C,-2.8356698730187304,A,-217.2378959405191,16.17267264994787,6.220892133269474,A,1
Bisexual,No,E,B,28.49060136288251,E,156.17557869281282,C,-143.87988572547206,-173.6975897935264,-20.502069594477693,-33.63834126045322,-242.42239744548647,-79.12121993776194,C,73.55531882806999,E,-6.636686014666231,135.23435379847493,-40.07304733287671,B,0
Heterosexual,Yes,D,A,84.68751077685157,B,12.443702312550004,B,29.100685030197127,62.790795859568426,-77.99901469083123,-94.3280792050642,99.7738309997418,-56.81829755868537,A,-51.92434890098466,D,117.03496098701524,-38.31627359948031,-132.5677746383834,A,1
Heterosexual,No,D,E,54.23398834716352,D,-131.26333416338161,E,49.29414050441651,-64.67393890141116,106.28265482603274,119.8509321515908,78.94437539076293,-101.5285320344962,A,-18.866541183919054,B,83.74990956132761,43.2542044777727,-10.663551308769641,A,0
Other,No,E,A,150.06869463357657,E,-87.86779215004799,D,-88.83635089919602,151.86036798955075,-24.18020059357223,15.323353891486684,-67.92244967370277,44.60283219378777,D,11.352745710872911,B,-79.83453559280717,-114.25483302122518,47.99833775172921,D,0
Heterosexual,Yes,C,B,-67.77400494795238,C,24.03919595222627,B,-163.8985285362441,113.24880359728084,-226.35639674136647,140.38379002638715,-60.38275930781252,-1.3039642208870004,B,-61.13310658429837,E,-59.79470069406455,67.13710457023441,-58.76864249946983,B,0
Other,No,D,B,81.04455574746339,D,-28.70775881884527,E,195.8032680394599,-123.80386711903175,-161.1812938186704,-48.22546289931996,14.265733871863285,-36.778820328494604,A,26.361365317497587,A,33.52280897547647,-123.63492945413104,-8.74885289671852,E,1
Heterosexual,Yes,E,E,24.209076066643163,A,13.619029724536036,A,72.41153711421796,-72.26775920346317,-140.32120743367236,-76.79296383025489,97.09066819857871,-150.54085890373491,A,89.91922579319855,E,58.29943318994623,-38.59475801521929,18.007321126966232,E,0
Homosexual,Veteran,B,C,10.38496830602297,C,-34.96251225495184,C,73.96309869796066,-17.73653895645339,19.745174526526174,98.86073493928161,-15.893806167923783,-2.929232791237471,D,-15.765436366766686,D,48.74133774809422,-24.295991815796107,-10.195398511114947,B,0
Heterosexual,Non-Veteran,C,D,-80.76461635180252,C,74.00984945680543,D,-199.05248350164305,48.35439119896072,90.50719370449404,3.704720645198013,-86.94607128856092,70.0672620562856,B,-51.22033530968496,C,69.62545743302867,84.65065197411981,15.944366915793772,E,0
Heterosexual,Yes,B,B,-37.28338097998533,C,13.574205388874464,C,-136.45344323024048,-116.84210935432573,10.872781981404438,-84.66515947563855,49.51435559056023,-101.40230838989032,B,34.25384711332087,A,-21.780752861951992,-19.47732034866229,-137.4437162981766,C,1
Other,Yes,E,B,88.63265556108185,B,-113.51793413714582,C,89.52287704803878,-129.69800745180476,127.44704227351531,52.035488373214974,178.8583825337123,89.20308089585387,B,15.864692855948977,B,153.81137430036878,-2.1461324665838104,46.54822821054366,D,1
Other,No,B,B,-128.60448124654454,C,1.3867831214250677,C,59.666113778266386,-124.8786604720842,86.17329554149026,-188.60717440518127,115.1732166550788,-6.242775916173418,A,-21.925048290371432,C,96.18360518578672,85.76657834327222,-21.11003403015598,E,1
Bisexual,Veteran,C,B,215.4467309234469,B,121.68525018342365,E,-31.50124605986615,118.93468860549565,24.97289969864469,1.539579983910675,-95.28998362900279,-50.885366378310046,A,-17.284940274632856,E,62.23815728400365,96.5459047005464,61.0617946012206,D,1
Heterosexual,Veteran,C,D,-67.9745049400891,D,-60.50177392405974,A,10.104123895125092,127.09738725528983,-105.46235024656873,0.5387425634277209,-103.56119012634008,-62.80540849059929,C,-126.45202913469053,A,57.65570608426388,-181.31789574893776,33.61426619866088,B,0
Bisexual,Yes,A,C,-95.21744958429723,A,167.7915294850071,E,103.32098561062686,-10.72302562367809,142.8246643386443,59.29780892879434,-29.18127542498872,-53.77536698661789,D,3.296440073585892,A,-40.549250328000035,-10.481628292496314,-111.19199150636891,E,1
Homosexual,Veteran,D,D,243.7274195391684,B,-58.29314483326201,A,-207.28846405728694,5.1677329901889655,5.512979058475899,-54.87780027156223,109.45551019964788,-44.2941365386655,A,-79.52727295090023,B,-268.1973913711103,-105.8876018443619,70.19858155607797,D,0
Heterosexual,Yes,C,D,-104.41527960088905,A,60.805594997364146,C,-34.58373633330721,230.24381579797443,-32.124352741717956,11.984333381123264,-217.2739724584838,16.611164752297185,C,-119.45912105155874,E,-29.269122376872875,-56.347489380340285,64.76162287596723,D,1
Homosexual,No,D,A,-68.30158788046039,C,234.34546943898,D,29.10206462902647,103.68781479184787,191.39696574928558,-5.757206550022823,65.07232791672682,-6.7324433076328045,E,60.55644208356077,C,-161.02581172162706,117.47711415963815,113.5856983771544,E,1
Heterosexual,Non-Veteran,C,E,-163.23853052086824,A,62.8061960599275,D,18.970915406534637,105.53968908167788,-3.9037788986855664,63.68737339423641,17.534999943923886,86.75629475956038,D,-34.0908726771693,D,77.82342066733379,-24.708907973896764,212.7882518618403,D,1
Homosexual,Veteran,E,D,205.36218427818204,D,-220.13497880668461,B,18.8096655211563,22.613855322178907,97.83870581761175,-29.223876875004727,273.1537754394616,-1.6706589649473729,D,4.431026494393224,E,-21.307312706331118,127.40794625248486,82.82120612552643,D,0
Bisexual,Veteran,E,C,175.6926234879398,D,127.00382459800299,D,-43.177531130830204,-41.31596173964687,165.32671900750506,-6.440766365258159,80.69179264126424,-2.9002425450209537,B,103.61258164941913,E,75.05549155980846,-54.391548552510805,155.67974250654248,E,1
Homosexual,No,E,A,37.53976560338311,B,36.83765990779561,D,-56.1950108189632,-36.37182652171318,18.545719632243358,-10.144372151583925,146.8983455806247,97.46722604786478,C,-120.85440272663564,B,-49.78709083294758,-94.66983809823586,-15.084759368652747,D,0
Homosexual,Yes,D,A,106.00068172222119,A,-12.3666471049902,E,111.07816283175839,-68.95987828239842,-36.56518833685657,53.71091461764872,-162.47126377179745,-103.4968633911903,C,30.1311728877057,D,-3.1127665274609844,162.7690736653903,-78.27678606136728,D,1
Homosexual,Veteran,C,C,63.10712861466254,A,-98.9112953863493,C,-7.013899076432632,204.73756291769996,138.7648351181874,155.0979133457085,-5.9963263186206435,194.14250314050415,E,-53.2355795817537,C,-64.47330726966544,-18.748213332462615,-6.906062780386543,A,1
Heterosexual,Yes,C,B,85.00981986955952,C,210.1509618981163,B,165.8367786431482,306.40419303961977,-92.14080270956275,-16.06765365016175,-91.99368322017268,-239.7250158184655,C,108.01365060530111,E,0.12446102610925275,117.97412943145231,-72.66469478801739,E,1
Bisexual,No,E,B,99.08593497644586,B,1.2739492205747682,E,-67.5049362909335,1.4182380185016177,10.316291479446958,83.52768575095251,205.32602919436425,-132.1844203434704,C,25.649673827435727,C,92.08262059777265,75.26905253951756,95.49163202502659,B,0
Bisexual,Non-Veteran,D,D,-114.68704305739297,A,5.148787811118908,A,-144.7633492986937,-25.81955253140998,-288.8250389901121,-39.748324540090515,-94.6711698973512,-151.88920309389957,C,-33.220404970412936,C,-84.2521475881999,-19.653009391683334,82.66661621170608,B,1
Heterosexual,Veteran,A,D,0.7063516489125705,E,-18.40748508835574,D,20.713546558929032,28.067262198172383,24.654903830389216,94.05102659181863,31.02939373810823,-61.259082104417615,E,67.37691428215263,B,159.46545236161055,232.9237332944469,76.92628191592532,E,0
Heterosexual,Veteran,A,B,72.67859289191831,B,-72.73177653610036,A,-100.71975955830604,-63.22243374087052,-136.75513451176408,73.16163947559218,95.12093714244646,-121.20198341304294,B,242.15477923153642,B,-197.23531101450672,51.67442171273149,158.32802716528388,C,0
Other,Non-Veteran,D,B,-80.15805833318517,D,-35.02011960810257,B,-33.3465097231534,107.92794642594095,38.10270985281848,-44.11283486743835,28.511763650369243,168.74750536477626,A,-65.08311326612574,D,91.62870762715382,-113.26755320330611,102.39393127033185,B,0
Bisexual,No,A,A,84.07232177189195,E,12.995463452004536,B,160.3936404971603,9.268743891478525,-102.70920010620925,-170.4919155093934,-170.4447722386307,-24.18598214402841,E,56.78131564650484,D,78.42884097057811,-17.58492100177717,-108.10400771130399,A,0
Bisexual,Veteran,B,B,-129.3659015704359,C,-103.55804187725977,E,-75.29209942079552,-24.474946816656544,96.37513175065024,-29.270278579991878,-33.18473133558079,71.2257033209888,B,-35.15072401374319,A,-39.08848883233302,12.452194089274538,-98.90839867737526,D,0
Other,Veteran,E,C,86.96814468374798,E,-117.50119125332176,E,159.05230997130985,12.189264168606693,-213.39083596066226,69.03852295322639,-32.62410962282857,33.17662032215737,A,-132.45775855695078,B,-196.38794078398044,-103.23954018659178,-74.1731996498337,D,1
Heterosexual,Non-Veteran,C,B,-39.906158628620716,A,-145.6547752690535,E,-30.39961170045769,132.07512198509653,-108.36890206103173,-68.46570247798174,-125.99635517940295,244.76355332691188,E,123.43076324376605,E,-24.376854910096633,7.299130583666457,62.76072368943312,B,1
Other,Non-Veteran,B,C,-34.699324829499645,D,10.546001564718592,C,13.26336727663886,20.05366234674034,-220.54655757932892,70.58542322353618,135.03893625158022,67.8745221609809,B,-62.84418405826288,D,-63.47633442128677,37.14995037616411,-92.45264238652263,B,1
Other,No,B,B,34.34705242923588,B,125.94170204266659,C,-97.36689964793509,-53.05441209417842,119.04418388882564,-159.91230886553117,8.341402287342998,-40.84627658458976,A,-83.37935933002453,D,49.89284155885719,75.53389925710778,-162.62950783275002,A,0
Bisexual,No,C,E,98.44059831527835,A,27.626366004920605,C,-70.4024790645568,77.96587657899556,-83.08772398933209,-9.203927000618092,121.74637407840987,159.70668892692746,A,-47.29663295292825,B,-6.823061290337703,90.88609310237369,-99.02271784300429,A,0
Other,Veteran,E,D,-81.26631925537549,B,-74.81971894041997,A,-0.5967697102114059,130.33721051223603,154.60589833862463,227.4554659985837,20.193437856700726,1.104125568439412,A,-47.768675957363186,C,47.17167109171574,-217.60908499183458,82.39911693698234,B,0
Bisexual,Veteran,A,B,36.55025082942171,D,-209.6325862219716,A,-0.31811563925299996,113.45242166915664,-85.37077856681749,64.39714414615207,193.62184787697953,51.186529902076906,E,66.3516569177176,B,-28.708327891256165,1.5220939788491257,59.74057626193188,B,0
Bisexual,Non-Veteran,E,C,-17.105992650929384,B,146.19245649119665,D,-136.24512443183542,-201.73389210180278,47.18440169446939,-82.85044005778617,113.33232509602087,-117.24974773416541,D,46.454374038537146,C,26.660382822995842,-68.86102834410394,121.09019843459731,D,1
Bisexual,Yes,C,C,27.859923950130355,B,112.74436916692316,E,5.03666606049685,-38.05221455063078,13.105287397914584,-165.93481493272688,155.43748251180568,-99.44588542139269,E,-113.36015543195049,C,-128.24155297451196,-26.09078205377426,5.356159385352957,A,0
Heterosexual,Yes,B,B,26.67147465524987,A,316.91192136991117,A,36.02659545930039,116.85031623753825,51.548312757809356,-5.293360930128109,143.31519447079998,-26.576885972936932,A,223.23678646239017,D,-51.66521976372868,133.27412631939325,-205.04994621116052,A,1
Bisexual,Veteran,D,A,-168.07896549684907,D,52.84217759985109,C,-1.913274004526434,3.534230629870309,-18.535884378557103,-6.47534148254396,-107.11647798177847,77.85398096446573,B,78.88792975639691,B,-0.43033931527415215,-152.07213730323673,227.1272537403214,C,0
Heterosexual,No,E,B,109.93474034727045,D,66.86971758353893,A,-87.00665515777001,73.21154625906384,194.24294346374208,148.29083932113366,4.657008210702737,37.48897242948841,A,16.34681709313072,A,-40.87099652548391,34.57635767592849,104.00750350990502,D,0
Homosexual,No,E,D,-11.772982820332876,B,-25.524916781950324,C,-257.9271460850816,-172.85190179776367,112.8361370453681,-9.73457943792591,101.73990519061755,151.6962407867063,D,204.49206794566615,D,4.977757302807311,194.74041716373725,56.16582297572626,B,1
Bisexual,Yes,B,B,-103.74500785435058,E,-26.981095705083867,E,69.73287705331784,-157.13045374573065,-187.950091329679,160.85276573696214,-63.323838342076186,-18.998017580559907,D,179.5220842101383,B,-206.83083116993376,104.98322962253697,19.889577207808788,C,0
Bisexual,Yes,C,B,72.05749258722477,B,-7.530926391542985,E,-66.02262365855576,108.08943972147884,-72.61151346902119,21.594236700314127,-25.55683448000411,-119.70591772940563,B,74.7118756082902,E,30.75728276215018,21.92915240233875,-20.943090660009766,C,0
Homosexual,Non-Veteran,C,A,-101.49907172475308,E,26.77214330307067,A,-100.81701073276375,-47.52836826942426,106.57728390918324,165.46563547643586,4.146997013397858,-84.01856377148422,D,-15.116418673914916,E,34.829881136028035,-61.759702501968874,-86.20483789179877,E,0
Bisexual,Non-Veteran,D,E,92.29736527127787,E,-10.392843494390549,E,-37.19183167078465,-142.55530190459473,58.713770344455185,-30.03598459460109,-126.42019276367368,65.88378679282452,E,-31.391575051129582,A,17.635154254180115,43.49931105939463,-100.86224134236032,C,1
Other,Yes,D,E,-19.43931477356463,B,153.5688403186275,D,41.22650446328445,-64.02745619412464,82.93081681635852,267.7263961764369,-100.62698121026988,271.4524265811479,A,-9.56663485961867,D,-195.88163474533607,-86.32905887396196,4.966583338142418,D,1
Other,No,E,D,58.84186848250064,C,-52.550507543417524,D,-79.0074441043415,114.71524274530971,-123.31824934594766,-71.20200564372291,-70.06305507748472,-73.64392801933636,C,207.12284065368277,D,290.72403304161827,-38.98483044533492,17.697712710636758,D,1
Bisexual,No,D,E,60.20424994183746,C,-89.61844409427529,D,23.9608349642734,22.204675578910372,-66.78735582814379,156.70866976779746,-203.22889161106156,172.99753310695112,A,-144.89388604811734,D,99.48894222691811,-4.79614876080732,146.28421844492337,C,1
Heterosexual,Veteran,D,B,48.62582486341706,B,63.38218462588648,A,-27.01909155767518,-31.692260582644206,219.6387870412242,-49.80921097639777,128.06198185416318,129.32189998195025,A,82.11694395050357,D,-1.4312133002062246,-61.67791542076022,-73.45546892541418,C,0
Other,No,E,E,-13.462094462057749,C,-178.6210120141046,E,-211.33403553586075,-20.526502068045907,-79.3728037494749,44.341500602737035,-28.933306859825198,57.837091166542464,A,-16.47311161163823,C,177.36872960662848,-24.82605747307725,69.75775917973257,D,0
Bisexual,Yes,D,C,-90.42082439102404,D,52.31052651299745,D,-59.34209622750842,57.71372694485486,1.7223214955961903,42.518774460885794,-35.658717421861596,-40.291594572177765,A,-191.99226114993226,A,176.32087036872304,-100.62636288520095,38.194179011564145,C,1
Homosexual,Veteran,C,E,158.8478976167071,E,7.100833326194529,C,58.31554642108324,113.80322812099206,44.77666959616232,208.00172630476044,35.11938438076369,22.39955277677089,E,117.87081063405512,D,77.8070442564479,-94.31728955646332,-58.09754991682405,A,1
Other,Veteran,E,D,115.43222973978375,A,53.75897139555249,A,-71.09026736415383,85.29306676016908,-64.00907775666023,-65.54428219691243,12.936671859982281,10.618321266400365,E,66.43964715392733,C,20.997959131835024,-155.53314387176118,84.81313416865302,C,0
