sexuality,birth_year,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,73,UK,201.69777099661107,E,E,-0.41838774719629424,116.18611127078609,77.64592638948196,1
Bisexual,28,UK,186.37880467612956,D,A,-169.81452636296856,-5.853957723045832,-223.6585279612522,0
Bisexual,72,Germany,35.01622526555897,B,A,159.5285250925308,-80.34240164823711,-16.69594524441227,1
Other,43,Germany,40.21123264741711,B,A,44.03522839790772,9.47571474280097,209.0724064500492,0
Bisexual,74,US,-35.360226713540655,D,C,148.7439339647118,59.59828711456768,-7.490380343361353,1
Heterosexual,25,Brazil,-81.57032274568728,C,C,-9.508031852418865,-90.12927431379393,-11.221963545693447,0
Other,19,Other,67.6948901447032,E,D,-40.04431591457137,67.48872363267286,-126.5996720356068,0
Other,76,India,-64.7613380935465,E,A,16.87906331191393,-89.63171626970818,42.99865032986487,0
Heterosexual,26,Mexico,-14.183473267932593,C,B,-117.48969541595649,42.760545059421084,-59.40950581569554,0
Other,68,Mexico,-46.45899419961792,D,E,-23.902988907050716,75.9660087742139,81.18055471193216,0
Other,18,Other,38.02594863799265,A,D,105.14348688963626,-110.98369373306565,-27.506777839385364,1
Homosexual,62,UK,-141.4772327765078,E,E,-105.26487580838865,-201.31141585332927,-104.41806143945536,1
Bisexual,40,India,16.03471903233786,E,E,32.39543424079025,-9.624920927640002,-99.84281947848295,1
Heterosexual,43,Brazil,-60.27461294788423,C,C,-127.32541358014893,37.51741258723389,90.81995976711399,0
Bisexual,38,Mexico,178.26161054758273,B,C,-74.83971767788387,45.82046038360477,167.35390497586522,0
Heterosexual,60,China,81.85826015300913,B,B,97.63980662940097,-63.67857741047762,-61.34133227837877,0
Heterosexual,44,Mexico,-12.555665566460597,A,E,114.78536712698642,79.86193603372475,39.38875845864171,0
Homosexual,57,Germany,110.0735158902348,D,C,-157.24017289258157,103.76040528806409,49.48045836353348,1
Heterosexual,73,Germany,-39.090881930914044,E,A,111.83278410899639,67.51716223794992,116.72158499129324,1
Heterosexual,43,Germany,30.021820120657427,E,B,-73.04062653483612,-22.07154521787512,122.45408770273762,0
Homosexual,50,US,-117.91182436335681,E,D,21.944045242663986,72.06149187971239,-1.7205184159616742,0
Heterosexual,34,Other,-103.01135156497614,E,C,59.159777942044855,25.17442116246153,-95.9480590734096,1
Bisexual,46,US,105.51871085456419,D,E,-52.01829535486324,-31.336384119982245,-37.12396835939444,0
Bisexual,41,China,73.84540385843266,D,D,139.13670436314652,-121.1325538620568,16.43331408338513,0
Other,66,China,55.35954364250822,D,E,-71.34696302110143,79.59932929542084,-23.753078657538417,0
Bisexual,38,US,-85.08497513645997,E,B,73.05855180970975,94.22306026234195,-48.68530600687846,0
Other,26,Brazil,12.106834500825357,E,C,45.689165997519304,-83.63066597585717,76.60550049723417,0
Heterosexual,70,Brazil,-108.65244389287616,B,C,-37.944748394866316,75.70401821905514,-280.6877385522595,1
Heterosexual,76,US,84.21445600496627,B,C,-62.20784497727172,-70.5102487955407,50.57233985229793,0
Heterosexual,76,Mexico,116.78936541872072,A,E,33.326625787633965,-98.91970253478544,-8.198447452336346,0
Other,51,US,-23.428221917037703,A,D,64.14426856602788,21.63938091936808,38.718597738415816,1
Bisexual,32,Germany,9.463714471406554,A,B,155.22870615040486,-13.584148541815718,-85.99518911060716,0
Heterosexual,32,Mexico,-264.95320633283916,B,D,59.673322416454425,-42.30113211574361,92.15794660675085,1
Heterosexual,48,Other,77.48068431533075,A,E,86.78636048316034,80.04949409033712,-10.993962622272065,1
Bisexual,61,UK,-9.70566380087163,A,E,100.18954761620608,239.82525087685272,31.951321915108604,0
Heterosexual,68,India,-73.02769065176354,B,A,87.2505062022616,-51.94896805266974,-118.5715086255729,0
Other,29,US,149.8042725644931,A,A,11.191261768925765,-13.01526662089798,63.456651834850675,1
Bisexual,60,Mexico,-30.465259351719116,D,C,98.61606310645327,41.46697031899439,94.67553066737068,1
Heterosexual,52,India,-114.51829307518796,D,A,-117.73476570637959,66.35748391313669,-5.548040532046982,1
Bisexual,53,US,22.918757964692855,A,B,34.5735103881557,-132.30575764671397,132.1272381085367,1
Other,44,Mexico,-49.1446353886718,D,B,-175.5429348981844,73.18402485973398,-73.76725556163046,0
Homosexual,38,Other,-123.16090708627672,A,B,-199.57431403237172,-84.96872858529632,-21.093913119653894,0
Bisexual,51,US,22.172636744758602,D,C,125.89125881031065,139.54589801261514,26.500571735864025,1
Bisexual,65,UK,-111.02931501872197,A,D,-288.2310439573219,-90.8523488273786,88.68288955932525,0
Heterosexual,78,Other,-49.50922054230755,C,C,34.57776144676033,45.18749805552261,118.10291402029802,1
Bisexual,37,India,6.988100924515848,B,B,-139.4200428606879,148.92958219976842,-11.00799213371686,1
Heterosexual,58,Brazil,38.459837049809934,C,D,11.091743817787338,-68.1018893439936,-38.24167165513511,0
Homosexual,60,Brazil,-115.2166800559212,E,D,70.50821987004082,35.930152649096634,-74.47648192087823,1
Other,30,China,-3.9256065039121184,C,A,72.03233096754829,32.12390194973398,-38.36273587485684,0
Heterosexual,36,Germany,-38.32811219888432,C,D,97.6979753875021,-103.996099277703,-70.85189876002386,1
Heterosexual,49,Brazil,-125.30208318848494,B,A,-24.624001544544576,-57.80592023037294,41.11827821086332,1
Homosexual,49,US,-182.69904040656334,B,E,5.4807405129899855,2.1550564868214255,84.2230453639838,0
Other,66,China,149.9992170623407,B,C,224.35212465769663,-46.47389060936373,41.18594642296801,1
Homosexual,75,Germany,-8.820765618201586,B,A,-104.9475800836213,-29.628157099525527,-80.03470214193746,1
Heterosexual,65,UK,36.11044498103538,B,A,-68.811440366,-209.75897501257884,-88.46484167170587,1
Homosexual,29,India,35.395367311093395,B,D,-1.2797399345999838,62.755768684725766,193.6362251391885,1
Other,65,US,-3.9804881563591117,C,C,56.61097731499378,4.984008667877387,176.60667271896187,0
Bisexual,53,Mexico,-4.649802299398878,D,A,35.70273575505791,103.41751388212941,-71.9999181640789,1
Bisexual,26,Mexico,-124.02234357278208,E,C,80.71464677573002,12.240377872374399,83.65141778813677,1
Bisexual,45,US,-148.9941207367033,D,B,36.651435336071096,-97.5215358235411,-98.01880992973973,1
Bisexual,29,UK,45.362619717535615,E,B,-87.83413256372982,-115.18245875001017,-209.37686138195804,1
Other,68,UK,167.95659525615903,C,E,70.4192751377316,54.49587697788038,-138.545889727471,1
Homosexual,54,Brazil,42.47770128683284,E,C,-92.03916585871468,-14.971284755488213,111.00051025365995,0
Heterosexual,53,US,-148.59790419000072,B,B,-127.1888779075045,-19.359160285942796,-0.6302277107090997,0
Bisexual,19,Other,10.996937669590915,A,A,103.1281004689653,48.57619724824364,29.3586248002512,0
Heterosexual,29,Brazil,110.77180036811625,D,D,199.30931054324563,167.05644219190594,310.4201236168931,0
Homosexual,79,Other,82.96763019570855,D,C,307.0044030565888,-10.696084611924652,22.99679250270659,1
Heterosexual,35,Brazil,150.51221489192358,D,D,61.55093306402604,5.618975246817309,-68.35473594436283,1
Bisexual,67,Other,98.27912629538913,D,C,10.528757322097066,-29.759431987340502,12.686220257184576,0
Other,78,Germany,-8.516041571211712,E,B,33.42020497667289,36.3248506891488,-59.94554642194343,1
Homosexual,31,Mexico,50.009996665615354,B,E,-114.4475256501776,24.594067230387658,95.2605873703025,1
Heterosexual,23,Brazil,-22.407958427432593,B,A,46.32946545940303,-26.176188901319854,221.64948534328747,0
Other,52,Brazil,123.65058299093856,D,E,-58.026007762455265,61.94164238003547,35.85241369569109,0
Homosexual,52,UK,87.81115343550785,B,A,-206.72570065753243,-40.193671748818936,-215.40355385184586,0
Homosexual,74,China,-7.590780826902044,D,E,-43.55074625930341,24.26955076249452,-116.78623907831471,1
Bisexual,78,UK,62.51652289239685,B,E,22.432857164578294,12.704892523299982,-93.60938620975313,0
Homosexual,24,China,138.95171422654087,E,C,-36.14734447954278,-8.173245166343749,81.22469371850653,0
Other,66,US,34.10320683075535,E,D,33.914178835596516,-60.582606603249324,33.82654425137041,1
Other,19,Other,229.40589012971105,C,A,63.0402698813848,-51.97606420510164,-166.10160869834203,0
Homosexual,60,Mexico,131.3031621582868,D,C,-158.34344375970215,-46.47929014637197,8.193568320981369,1
Other,50,India,140.41952802288606,A,A,-98.85559045413197,-35.76901028094158,-59.13719104251476,0
Other,41,UK,189.51697922038502,A,B,-109.40429660432397,-35.868859376252736,-28.51074507425991,1
Heterosexual,22,Mexico,82.89872834970423,B,A,44.1179300297122,-2.9580076537948123,220.0310514583812,0
Homosexual,59,Brazil,-35.4550993906446,A,E,14.678417554426797,-0.25342470819741286,72.48546896718116,1
Other,57,Mexico,184.44752169047248,A,E,-122.0974827556178,5.532287940489793,113.85225913783503,0
Homosexual,28,China,-114.88079476009831,C,A,89.80770468038219,63.12030168491295,-44.38060733497589,1
Bisexual,71,Other,-102.66557654616324,E,D,-51.15353710649496,36.10181925376385,73.19636326715616,1
Bisexual,69,Other,56.5619803846642,C,C,45.238446886852685,-37.81069465502691,-11.03978374613044,1
Other,79,Germany,156.70981915212562,E,C,162.68611978021696,-131.20598571619846,37.53367064183831,1
Heterosexual,65,Brazil,-52.829293207399516,E,C,59.88536874298484,-7.548055238707514,16.78785725100238,1
Bisexual,69,Germany,22.962780639941723,D,D,-180.09384110652232,33.61044274771963,130.28571966071934,0
Heterosexual,72,Brazil,-319.47215562925044,D,D,67.20169735071086,1.1556197925840284,4.944474146347392,1
Other,36,UK,146.56599977309114,E,D,127.75857616790451,-88.23806549588863,-116.88546509485056,1
Bisexual,33,China,-32.031987995044524,C,D,1.903692354612086,6.659342166547659,92.32848035518715,1
Other,29,China,-10.495985193260584,C,D,-32.97107137977162,276.323148777529,-92.08728121760863,0
Heterosexual,40,Other,-48.12036858297727,A,E,-6.81787120727097,144.99195766344604,-83.03733055013925,0
Heterosexual,20,China,-235.0584852833126,C,C,-42.2133678485056,199.87681244390805,126.93730120394791,0
Other,68,UK,55.235061425881426,C,B,27.656380606326348,21.207882457626557,140.37584065872187,0
Homosexual,51,US,-9.19900481480095,E,B,-60.018325733820696,-45.421225968438705,-3.0346890501790966,1
Bisexual,43,Germany,-86.65459705535852,A,B,76.77599166514717,-147.0527474317044,21.34880079146256,1
Homosexual,18,Brazil,-37.6643546527175,E,D,-19.072009205695274,90.9020209581452,-89.48460067977234,0
Other,68,US,69.08346384195033,B,D,-76.72877883289033,21.214967812513315,-109.26574134798388,1
Heterosexual,28,China,69.07423950646607,B,B,-87.9721089479493,-90.86356668852903,-83.04364030177865,0
Heterosexual,76,US,91.20021678995273,D,E,139.56676512371052,-19.11327991129019,-3.2141750789286516,0
Heterosexual,74,Mexico,152.42859266558946,A,D,-10.212644411011302,-258.7573573565573,-102.45150011809395,0
Homosexual,71,US,-83.25971732441766,C,A,14.730212892018349,-92.788650501907,42.75927090072979,1
Heterosexual,28,UK,-183.78396836686807,D,D,240.48925806021185,-55.541945982073116,49.56226407364198,1
Bisexual,53,China,-18.838988625673224,E,E,-99.03834121371221,82.831765808197,96.24451932072448,1
Heterosexual,24,UK,193.2574663759784,D,E,-115.95357383592369,-122.56436171834557,28.077980128333913,1
Other,49,Other,-72.53056268788511,A,E,-6.358873423541428,32.75600756446778,-55.25125232006785,1
Heterosexual,45,Mexico,-80.49991062504391,C,B,-75.93174694016587,155.13996151683526,21.5916481712126,0
Heterosexual,28,Brazil,16.37206368110207,A,D,-135.6041182620814,73.00115089125289,104.552218978607,0
Other,39,Other,25.943294962904645,D,C,-17.85391219187448,-148.8112519143464,-54.12093792306037,1
Bisexual,50,Germany,-12.343390661779814,C,C,-171.42906498564992,50.46347276953122,48.20456494159712,1
Heterosexual,22,US,29.892309231759622,D,D,-11.097820527066816,163.62744416548944,77.49225219893047,0
Bisexual,49,US,54.982399174357525,C,C,7.358784262520149,166.37652378236223,75.15997659334109,1
Bisexual,37,China,-131.89039364904954,C,E,-93.42605375678284,-12.122005728108446,-60.178723261924006,0
Homosexual,48,Other,5.029951092403137,A,A,102.06151093700309,-23.2240466908588,-106.87884320985226,1
Other,29,India,-42.53860505112633,D,D,4.206165802912812,-25.610952151954606,76.73563857010531,1
Heterosexual,66,China,-110.96096339636648,B,D,140.20636777238903,91.81827494179922,-0.6992264846810851,0
Heterosexual,32,China,-109.82277406563074,A,C,5.235426895016044,5.719176245789771,-39.72034614599233,0
Homosexual,28,US,-140.67620570371568,D,E,-56.44350666614989,-134.495986288603,59.79826888795004,0
Bisexual,55,India,11.975346482276915,E,C,-276.6644559321719,243.35945293611837,-4.196578421222761,1
Bisexual,60,Brazil,-55.216373979145736,B,A,51.137929602070855,103.2215578655694,-17.136188018457865,1
Homosexual,28,Germany,12.943990613372666,A,B,-107.67669664372623,-71.07023786888777,33.37255222392181,1
Heterosexual,76,India,84.90640206391794,E,D,-223.70490052802924,-180.89514331361053,-123.86077075061033,0
Homosexual,50,Brazil,-99.21971257288577,A,B,-67.8889250529546,20.96893213313775,-25.174669242068642,1
Heterosexual,37,Other,-185.90188791191972,E,A,-168.7221905269246,54.288408246793985,58.223360957477674,0
Bisexual,72,UK,48.51833240221114,C,C,-43.474840051128744,-28.30584300877504,154.37501168711316,1
Bisexual,33,Brazil,-64.68165343995184,B,D,5.816026274470367,4.491333483199734,-71.84626019476174,1
Homosexual,44,Germany,46.731035392137585,D,B,46.696429788425306,-165.4383178720727,97.90931297654896,1
Heterosexual,75,Other,-120.64095782812845,C,D,49.569914156771375,-32.50944162444821,122.11684342283687,1
Bisexual,56,Other,-118.97045664924018,E,C,48.39838975806764,143.42239645918144,74.04906573380558,0
Heterosexual,27,India,-127.9285809686855,E,C,-34.81090998266509,78.80254193845431,162.3183820579652,1
Heterosexual,29,Mexico,160.43789806226246,D,A,-20.782236740212156,-77.45486888440047,221.91243824805235,0
Heterosexual,49,Other,114.36809386259542,E,C,-67.61920257281638,-7.84193448513392,59.510243381039885,0
Homosexual,45,Germany,-19.887150296032793,B,E,9.27718132576766,-125.62270225584338,93.13047984248412,0
Bisexual,37,Other,-32.789790843209005,A,E,25.184135662838862,21.409278743690585,123.23448198586593,1
Bisexual,63,Mexico,76.09775292358702,C,A,113.21824667658082,111.24375159582138,10.50061308384108,0
Homosexual,22,UK,37.671352631322456,C,A,72.97280617942324,55.71836270521208,4.131529172705716,0
Homosexual,73,India,-114.47111548577391,D,C,10.197221797411423,21.201988947091905,-23.068575456852987,1
Other,24,China,-148.26555611556952,B,C,123.06121238890258,84.17248670112554,-16.665454604953826,0
Other,27,UK,-123.67554561908287,C,C,3.0122015293641597,7.26391070429333,-72.66457470833953,0
Other,21,Germany,186.47246599464813,D,E,163.3620860620939,140.51541215344344,-82.05112319620443,1
Homosexual,21,India,-59.74284331840539,C,E,-33.056049994206276,-247.6408500826911,-85.68181200081597,1
Heterosexual,79,India,-150.23675784772155,B,D,-12.021462633102855,-30.06924256216471,132.6983729457815,1
Other,21,UK,-157.44200091850732,E,D,-13.29353218692077,-28.055228225900393,-25.883410011602226,0
Heterosexual,22,India,-81.03241069078778,A,E,-77.77351818328049,-67.44437992378084,38.5711127202472,0
Bisexual,53,US,-33.74519872462475,C,C,67.54888723067157,-207.26710853512253,29.96770761409445,1
Other,51,Brazil,-10.867133996026606,B,D,-66.34374418083739,-160.77017324683285,3.1612520099686687,0
Bisexual,51,Other,24.216387907743805,A,B,51.6521581627416,-34.533163011077775,126.0842746879411,0
Bisexual,26,Germany,-84.07244757241705,B,A,-78.97188480634529,84.01705736977217,-212.09935893740536,0
Homosexual,31,US,20.47010076666214,D,B,65.94341893619448,-107.26448950672909,-186.93441618690792,0
Other,25,India,17.077479757936736,E,C,38.98214621588048,-125.92660254861939,-140.60103837915048,0
Bisexual,58,India,-136.28577575376005,C,D,-78.67957767927768,145.62498366194117,-104.06904764418341,1
Homosexual,18,India,-220.62995431045184,D,A,-246.15780855105336,195.42549372317924,210.65248465606484,1
Other,62,US,14.680693366825912,D,E,216.76470694173372,-47.15166491992102,29.919163121836363,1
Other,23,US,-161.81128430535014,A,B,110.74644529705726,65.34618027329385,35.260005431110066,1
Bisexual,58,US,-10.978378847742835,E,D,-63.00655448106004,-187.3794926476408,-137.96799621142165,1
Other,31,Germany,-8.292113945723461,D,C,-61.63560957264351,12.061220978201282,133.43507908763698,0
Other,70,Brazil,-121.47908227730517,C,E,83.60139386046167,48.11478042335317,-125.22916370786506,0
Heterosexual,29,India,3.6087775686875276,C,B,-44.21256101214346,50.41944156893835,-112.87431338106144,0
Other,55,Other,-20.696510242996478,E,C,-38.65031707029379,-94.4352437576137,-54.18922943307355,1
Bisexual,27,UK,26.548507908904558,A,C,-77.60372778938742,30.89552630533307,-66.72687657479902,0
Other,46,Brazil,-17.571666005039813,C,E,-11.138626768682203,203.1037832664664,183.03970272219823,0
Bisexual,38,Germany,41.160901687920145,D,A,125.89472865532426,-16.860213843385246,-33.85520003570487,0
Homosexual,31,UK,11.565771068421084,A,A,76.05407152638156,51.266074185571455,52.773732684261454,0
Homosexual,46,UK,78.07393144246734,C,E,-101.92114348090944,171.2437407828539,73.41664696043101,1
Other,69,UK,19.191274951007145,A,A,-24.635905778032033,-220.4912461783412,-86.2479982850941,0
Bisexual,18,Other,120.57640314542843,D,E,-5.280573875193096,-36.49529226434229,-59.425402478893794,0
Heterosexual,34,Mexico,183.75599925570418,B,D,64.53748597810511,118.91508509473212,72.57317546180843,0
Bisexual,59,Germany,184.05917388636954,B,B,-11.04829101015932,-126.36499949399223,-82.63372812642746,1
Homosexual,31,Brazil,-11.311037328383232,A,B,-36.6805235070594,12.877826724802985,106.77844236328204,0
Heterosexual,58,Germany,103.07287928563338,B,C,-11.880096751489926,-154.86668770704532,63.6818579105937,0
Heterosexual,53,Other,0.1855615113954727,D,E,-81.89700895894634,108.17650506892976,58.80574417896081,1
Other,58,Mexico,61.25937299855081,D,D,-148.7677639494483,-216.38887974880512,70.01515092371265,0
Homosexual,50,UK,61.677489864841384,C,C,139.6654707811726,-166.35324589486822,90.76636407636698,0
Bisexual,31,US,-94.36326925825826,B,E,108.04654764329445,13.757110426454618,38.65467213176759,0
Heterosexual,33,Brazil,-9.198704931774458,D,D,-48.0391336126338,-47.99805308318446,-132.03691902340938,1
Other,22,India,-88.41245733947997,E,C,-153.14244198828786,28.462659743967233,36.20592766817818,0
Heterosexual,38,Mexico,-119.4937082289848,D,A,154.37465481331265,-64.93883060314974,-105.54824698929856,1
Other,60,Other,-105.25256358326854,B,C,-34.94712940106055,-2.2191112111558273,-71.98199755750483,1
Homosexual,61,India,-63.46282492174913,E,A,193.42816769953947,-32.219284990340455,104.27058456540325,1
Homosexual,20,UK,107.44496437766911,E,B,9.225050299281559,50.98367280474923,-14.411755450708776,1
Homosexual,52,Germany,-120.22232382845523,C,B,37.71697270222889,183.48675190205907,31.179321041787812,1
Heterosexual,49,Germany,20.734223451361693,B,A,-73.51528442749607,6.913929798588388,99.70022480258328,0
Other,71,India,264.77218030071646,E,B,87.98125946028195,-69.61223896365641,-21.01185744455181,1
Other,62,Mexico,117.62832646797865,C,A,90.66321055182655,24.49063100969347,-207.41631666226672,0
Bisexual,73,US,-123.0174914775202,D,B,-105.67377975489775,-97.93000476024132,-181.22359099983726,1
Heterosexual,62,UK,169.05091630662596,C,E,-31.328249687813408,-159.92686843747916,24.397430494426093,1
Homosexual,69,Other,-233.81511603247625,D,E,50.912541148103806,27.11053828500716,244.4272552903401,0
Bisexual,33,UK,13.501917667272734,A,B,-24.50629285790517,-41.62172801676492,-31.77710027953954,1
Homosexual,76,US,-80.01332647012917,C,D,18.300790732517815,54.60122806891109,-9.331255742322053,0
Other,73,Brazil,88.25990797424956,E,D,-69.17989505892884,-50.3000558362118,12.193877853488253,1
Other,23,UK,-75.81976591102382,C,C,92.3437301612369,-231.57056976042338,22.599473071994865,1
Heterosexual,72,UK,-48.7982105438648,D,A,162.79462923337064,-108.69909816757672,113.745521503685,1
Homosexual,61,Mexico,-124.8939390369263,D,C,-196.29608256866894,186.2424851982914,-122.18615968434369,1
Bisexual,41,US,-20.792159735901407,C,D,41.60097956483898,-24.18060122793715,4.731571063422465,0
Homosexual,47,Mexico,-8.665371077414285,B,B,90.75433890608514,27.724193954605276,118.5666181812145,1
Bisexual,67,Germany,17.45234413255055,C,B,2.792957526216646,46.156555251807596,-64.97470996983566,1
Other,45,India,4.189734045856863,E,B,-77.16102179142258,-13.548382249477301,214.26601610901736,0
Other,35,Mexico,49.22120943972071,E,A,-46.31494254996887,-125.12581405881018,188.219442325813,0
Other,60,US,44.496204959031616,E,D,-15.48621200847567,-29.73256756372652,130.1311150794994,0
Bisexual,29,Other,-95.44796742399248,E,B,-76.80661960223952,-76.97416174536762,66.307295639819,1
Other,70,China,20.07082473043106,E,E,-134.23446823935106,-27.08610432753151,-27.453381346059498,1
Bisexual,67,UK,-133.27430578269366,D,C,117.21770109159823,-245.23543710662622,135.67349081950942,0
Heterosexual,50,India,-49.59876869320729,D,A,-9.022708177445041,-8.403463053347636,-107.04837742494087,1
Homosexual,65,US,14.333878723489079,E,C,-82.1797774531519,-48.10624394325322,-144.98311936042313,0
Other,70,India,113.4224243690421,A,A,197.4567704396467,48.05377930421589,-14.701247930875677,0
Other,69,China,5.775993776808564,C,A,152.67557709138552,65.10503323043373,143.30249656580105,1
Homosexual,49,China,49.80047668971603,A,D,-82.36610303638004,65.94809129316145,-15.191999594657982,1
Other,44,Mexico,-122.23831193490038,C,D,-191.53622952124255,72.81718736866034,-151.66375003156588,0
Heterosexual,46,Germany,-0.9898131685908548,D,A,6.206908012821008,-75.67626783025841,-63.892551608857254,1
Homosexual,57,Other,-71.46367163061852,C,C,-10.257130306099652,-206.23500887488552,-10.493645128463248,0
Other,51,Mexico,86.47454891317054,B,A,-123.64694999371895,-26.966974888280653,-183.78570295861982,1
Heterosexual,73,India,98.30608209786573,D,B,-24.05076562504796,55.02210923534287,-88.58448589751544,1
Other,76,Other,106.31926530631122,B,D,102.0517277025409,-37.01528339979215,-214.84463446305972,0
Heterosexual,58,Brazil,37.5410928509481,E,E,118.09750206597609,-126.85287460539267,146.40455117842333,1
Bisexual,61,Mexico,-64.43462952897404,D,A,-90.92222340240083,-48.67822707645209,105.75779914238271,0
Heterosexual,60,Mexico,76.33579107686217,E,E,12.83383497142863,20.49789505615231,0.7510521576609825,1
Heterosexual,42,Germany,163.4981235005514,A,A,111.99918021108064,69.2466383372001,152.99358507764543,0
Heterosexual,62,Other,129.70343554152808,A,D,-1.8658587253535992,56.3243377660647,77.87067070224005,0
Bisexual,19,Brazil,-103.85817916780944,A,D,-39.99457774498153,128.2341969370441,85.8964113268256,1
Homosexual,45,Mexico,54.086335954446454,B,C,-66.32764190107619,-118.19138403555402,104.63918009405486,1
Other,57,Other,37.708562658071955,E,B,-124.45866908990236,-92.02350286931731,-121.52335909312151,0
Other,32,India,103.9418651518209,D,B,-46.16264014743999,23.01442232789326,-141.27333487988042,0
Bisexual,21,US,184.59807135640773,D,D,225.4427438937545,-11.64840346604705,114.26813359158135,0
Homosexual,38,India,143.510966094328,D,D,-9.217507325659849,36.12224855463079,-38.02969864154478,1
Bisexual,75,US,62.428297780691835,A,A,-213.2235818586367,-83.9497869846477,6.5489375031090935,1
Bisexual,75,India,33.76423217251238,D,A,14.106216375065944,6.60399217072066,-269.6421445918145,1
Heterosexual,21,China,191.107477515377,C,C,219.5834419786856,-219.12919925273627,29.85570800345026,1
Homosexual,36,Mexico,18.691262280761777,A,B,-5.36291441825252,-121.51311236921767,45.28847279892555,1
Heterosexual,68,Brazil,-126.75757738006934,B,A,77.40145109192439,104.18040208525198,43.19885907734313,1
Homosexual,20,Other,91.92483568855766,B,A,2.9531261587391744,169.6659186107075,-14.206658468515206,1
Other,28,US,-9.33040029416972,E,B,-29.875499287147576,54.65157903172264,21.933150692072967,0
Homosexual,41,Other,209.67766311017124,B,D,-19.67371345635767,-40.5821701528077,128.93811181481834,1
Other,38,India,36.84204869600787,B,C,-17.14880090009803,-43.49508008899024,53.127560038504015,1
Homosexual,20,Other,-72.59335659100543,E,C,-1.2538907329712004,-41.67550856449566,-28.680071122026607,0
Homosexual,53,Germany,63.68723016901433,A,E,-5.442907093073785,-61.92889496483508,-31.19418461205335,0
Other,67,Mexico,-105.2090597908968,C,E,-116.22362067864402,-204.93024821153463,51.58971198915566,0
Other,34,Germany,-72.594647548853,A,A,-5.786291571846517,-105.86285988689097,104.74083961153589,0
Bisexual,23,Germany,136.32843400194335,D,D,58.48994471583565,-16.95016842979311,21.02700773561783,0
Homosexual,72,China,171.84067289725812,D,C,65.5988651487723,-6.19455254028736,12.138601350506537,0
Other,68,US,29.102665372195563,B,D,56.208963158370494,-110.4845555460325,3.7550917433396185,0
Bisexual,51,US,-53.800266552766765,E,D,-86.68665801789189,57.69939377838411,65.04341424694775,0
Heterosexual,35,Germany,-72.4362489514006,B,D,52.69538216987763,263.37984176057927,44.43842319826982,1
Heterosexual,59,Other,-23.7432853301207,E,E,-75.46455846238177,60.90736037919465,-47.59136776204361,0
Other,29,Germany,247.98284817890575,C,D,121.37586828877585,-155.90391642250478,-36.90765768787229,0
Heterosexual,26,China,28.956543489412912,C,C,154.31966830389246,13.760722590091767,61.26494889073517,0
Other,58,Mexico,-64.16642331157527,E,E,-253.54587279012554,-91.92433158257133,-197.53489138763305,1
Other,46,Germany,36.65930905929657,E,D,4.942692324040353,2.453455071899285,-60.99963695593177,0
