Veteran,ethnicity,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Yes,White,Heterosexual,22.50477702200624,E,A,C,-31.236928596589742,9.9125166565505,A,-158.57428069980784,-100.86583251206748,0
Non-Veteran,Hispanic,Heterosexual,-81.9189848030228,C,E,C,-27.376515557090812,260.8300221345402,D,42.65873282016401,43.96144744324288,0
Yes,Hispanic,Heterosexual,114.13237185649787,B,E,E,-53.56987638667121,120.29496148154237,C,-154.87869926477714,-19.838385503668935,0
Veteran,Asian,Homosexual,-238.33831900774015,A,C,E,-6.9398316053807,-65.43504171877478,A,106.07788146858977,-6.768120085452339,0
Veteran,White,Other,85.11719999546342,B,A,E,66.16750210597348,-142.86909207374336,D,85.25678535358291,-177.47638543214427,1
Veteran,White,Homosexual,63.74122211547243,E,C,E,-9.104155254767225,-75.02430960299826,B,26.612288506240343,-21.855445691667057,0
Yes,Black,Homosexual,34.399590719139134,C,E,E,-39.17777307524841,12.81659650265437,A,24.748490188027656,-217.23711691023254,0
Non-Veteran,African American,Homosexual,27.659546779058665,B,E,E,-8.45801938145574,-123.42353303746442,E,-44.58442233570854,127.58248900121394,1
Non-Veteran,White,Homosexual,14.794934950435623,C,A,B,-58.28088091641783,19.63121506397789,C,-183.45961816939567,143.01774275030192,1
Veteran,African American,Homosexual,40.711249140719616,E,C,A,-89.37916284763686,-18.003783624158764,D,-18.36507586180862,191.84776746425732,1
Yes,Asian,Homosexual,-19.40896212673501,D,E,B,123.65279837566267,-34.364940061910055,B,-76.8706836137319,63.0976750611308,1
Veteran,White,Other,-30.987965399436508,D,B,B,-77.83374752057878,32.5703533700786,C,153.48572335390443,71.06931251649358,0
Non-Veteran,African American,Other,13.717805375334574,A,A,E,-27.336430423727652,23.79588444737791,A,67.22420614594846,171.50263658950814,0
Veteran,African American,Other,-45.56854933530745,E,A,A,122.99999600904961,87.06016727225875,D,31.79553368083149,71.98569768467674,1
Non-Veteran,Asian,Heterosexual,-119.57539232384617,C,A,C,235.2287152252493,-301.0852003885453,B,-17.266111432185006,-113.5763291773091,1
Veteran,Other,Other,-26.61588990012822,D,A,C,-4.146271875932388,-130.39164297998187,B,60.83714539896668,133.29167512825802,1
No,Other,Heterosexual,-223.5155459022834,D,A,A,-20.030006889505753,40.13261466822699,C,6.788737763026413,44.488633608296524,1
Yes,Black,Heterosexual,102.40015131455715,A,E,C,16.667769313327234,261.50171568348946,D,173.87245674844846,-20.438823827029225,1
Yes,Black,Other,44.11076444253249,D,C,C,73.52544642668404,0.09916724424699332,E,-47.95008284205667,22.19657066512643,1
Non-Veteran,African American,Bisexual,106.200752311153,D,C,A,125.95447215885012,69.62801493960501,B,-56.92001468573585,170.0741153033139,1
No,African American,Heterosexual,-179.21453254915713,C,D,B,-131.42813809050165,-95.82433139015637,B,-43.30603632666417,-206.61295761077366,1
No,Other,Bisexual,16.52415929081526,B,B,B,-134.86056842863744,-94.19178677909824,B,21.006151899017993,246.7049500079117,1
Veteran,Other,Heterosexual,-15.990186666558486,B,B,E,10.578179653402932,167.9813133624826,A,29.046118303098794,34.138410958615864,0
Non-Veteran,Hispanic,Bisexual,0.49937035661330975,B,E,B,122.2411506372659,-40.09315246488867,E,-89.9896212572332,69.20056491254559,1
Yes,Other,Heterosexual,-7.630110049027447,B,A,E,-11.660009072926472,-64.18492584677736,B,-265.56881890674674,51.25367310770989,1
Yes,African American,Heterosexual,-150.601811296059,B,D,D,51.35661990965651,6.287045226951644,D,-5.9679973058584626,-49.95234040683126,1
No,African American,Homosexual,-212.73582040575994,A,E,B,-97.44172447733412,31.599446266116793,A,21.354349212202944,-52.63898182870618,1
Veteran,Hispanic,Homosexual,-38.62741198306139,B,E,E,-165.5494854827147,-53.927184009465265,C,0.8692310694004163,-142.60326732920785,0
Non-Veteran,Other,Bisexual,-19.891622378324875,D,C,E,-2.0361966217359115,33.55520234803258,C,-108.06528268161901,17.620354606563907,1
Veteran,Other,Bisexual,-27.90110929190438,D,D,D,102.23028105925884,127.98187829170236,B,125.79609178277893,0.40227429769888257,1
Yes,Other,Other,-14.459324681788132,D,A,A,-65.47779246423559,81.2285533460182,E,-99.7718369069074,-34.83880714172894,1
Non-Veteran,Hispanic,Bisexual,-52.36369019171971,B,C,E,-58.245882100978406,167.94960637985247,D,80.40730191595546,106.06726372308522,1
Veteran,African American,Bisexual,3.0502382656150306,C,B,A,47.45756139035985,142.22809529872464,A,-41.77573574940124,131.58619587856083,1
Veteran,African American,Heterosexual,211.66646977687864,D,A,E,-53.0633801001542,-52.65167734417919,C,-9.0466176631956,107.84588706655454,0
Non-Veteran,African American,Homosexual,-50.06895276363099,E,E,A,173.3734793385968,1.2263779452108574,D,-276.64757194326717,26.724396044608113,1
Veteran,Other,Homosexual,-49.82141203414958,C,B,E,-122.9172583310785,101.34709938064337,D,-44.308473843048,35.80089474474867,1
No,Other,Other,12.540846277414078,B,D,B,-193.19188694832175,-36.32476463895716,E,-7.650106559909322,81.45558623288235,1
Yes,African American,Heterosexual,78.89676507651383,E,B,E,40.36363295900021,89.61760866675256,A,-37.649137723672624,-157.03524949152597,0
Veteran,Other,Other,-0.4175886077713984,D,E,E,-160.58134482837235,16.896462787354604,A,127.73152394416793,-96.95472842798168,0
No,African American,Homosexual,-116.96015971320335,E,A,D,-55.31283877986532,-212.01312501577186,C,-54.39148727587864,15.470880257841504,0
Non-Veteran,African American,Heterosexual,-32.889647554054676,D,D,E,-44.637552708339676,-89.35853620274209,E,46.07163368793523,-125.22562470085657,0
No,White,Bisexual,-106.93569287365206,C,A,D,-127.42709802497905,-118.68894821015816,B,-316.5385428827838,143.2826078697823,1
Veteran,Hispanic,Homosexual,189.85450910572828,D,E,E,251.02377005354063,96.28729277092876,A,-30.94272157042375,25.530841042127506,1
Non-Veteran,Asian,Bisexual,-40.82926077937654,B,C,A,-238.56340581106986,-193.4484280401223,B,70.25582258996134,-14.364519933733577,0
Veteran,African American,Heterosexual,-45.899081215117555,B,A,C,-12.322742212167794,-8.155590393649472,D,111.3952810179956,-18.477232399138764,0
Veteran,Black,Homosexual,-2.664528059092999,C,D,E,-48.54813919203866,-23.356871955331478,C,-132.02199403714684,-27.109507404525974,0
No,Other,Homosexual,-105.71457157278972,D,C,A,-40.73232008599279,-105.7285062294493,C,190.05251308313336,44.66690192750553,1
Yes,Hispanic,Homosexual,71.19989648573728,A,B,E,-91.2159593645012,62.26206835338013,E,15.073772809840719,-72.7554816042767,0
Veteran,Black,Bisexual,-110.5741241324389,B,C,A,80.57729548451638,-47.22328608130257,A,-101.87530896726031,-71.95090336570142,1
No,White,Bisexual,138.52725838632972,E,A,C,9.897134791455017,55.41530554344606,E,-169.67523768039476,71.52683523219937,1
Veteran,Black,Heterosexual,154.1491974638323,D,E,A,-172.38194057220412,113.06373596717536,D,-14.259877972071585,51.05741246874766,1
Yes,Other,Homosexual,6.265180281951387,E,E,C,-36.83553702592052,-62.120631324782515,E,36.61235245385575,-48.315306164641626,0
Non-Veteran,Other,Heterosexual,54.75061769843346,C,B,B,10.399936003491067,-37.216159517261595,D,49.01570580152318,-74.46606312145798,0
Yes,Hispanic,Bisexual,161.67021207491433,C,B,B,53.345108910124004,-77.02157443414343,B,30.835302183560486,71.38895913408115,1
No,White,Other,-117.9568134512864,E,E,C,204.282074915252,-73.50465657211171,E,89.26632606162248,18.915793549900677,0
Veteran,African American,Homosexual,-97.56146528734206,C,A,B,104.4336495656925,29.68398835833475,D,31.52300694403283,235.20932540825262,1
No,White,Homosexual,-176.0761794737701,D,B,A,-163.95547363069022,-8.956865584591228,B,-19.603075563222518,21.43094622461252,1
No,Asian,Bisexual,-132.2310560533676,A,A,E,-73.85964641044953,-29.75775238384574,B,27.59593731108758,41.50447837883791,0
Veteran,Hispanic,Other,58.78013455557212,A,D,E,-96.13312031419615,141.75418740954868,B,6.733033784609383,72.4241199304272,0
Yes,Hispanic,Other,114.94862983574183,C,C,A,126.63281867515505,-109.12095808600574,C,-101.97357121743187,-57.04875113949895,1
Yes,Hispanic,Heterosexual,-35.26729929937911,C,A,A,92.40346702767097,67.37580262100639,B,22.550508874757845,14.47675129264848,0
No,Hispanic,Other,0.1864986178256999,D,C,E,45.40488607312845,-43.510672963376614,B,-49.68607913947794,-40.655881383664514,0
Veteran,Other,Homosexual,49.18255999839484,E,D,C,138.408925312821,6.397650707355224,C,0.8195857767617261,27.183629742944788,1
Non-Veteran,Asian,Homosexual,-150.01421751732536,A,C,D,-216.2121568610419,-13.524383950576846,C,-65.04853062365856,185.6763494110626,0
Yes,Black,Other,24.52889763422786,A,B,B,0.27373228439390546,-33.487694186262075,A,-27.341939482768083,80.06795457861827,1
Veteran,White,Heterosexual,-121.55652882952765,D,B,E,253.76957834796025,44.272535514298546,E,-10.401527743170321,-70.47241882164703,0
Non-Veteran,White,Heterosexual,-99.06248771204554,A,B,E,84.28769475029388,-3.3564996336236343,B,-205.50193212641085,97.19150496795508,1
Veteran,White,Homosexual,44.235916930095264,E,E,C,150.2203346445543,-188.96116538132645,B,-9.390045580937176,-37.30425611254,1
Yes,White,Heterosexual,36.55641052536683,D,B,A,34.280002127242824,125.76542944990348,B,66.1431794916781,-72.60589770045497,1
Veteran,African American,Other,26.427728435457276,B,C,A,-237.33672574435766,-93.84465109083105,B,-76.56614323538275,23.71678176802067,1
Non-Veteran,Hispanic,Bisexual,-90.01549811479939,D,D,A,34.49541400235139,-16.035011259547243,D,37.393362268490726,-6.761136031532882,1
Yes,Hispanic,Homosexual,-99.39802994870278,E,D,B,-85.4362757151255,32.98672446516883,A,61.37816474813176,-183.6348874225799,0
Veteran,Asian,Heterosexual,41.21436717273747,B,D,D,14.492560192106934,59.50013384124745,B,-166.01850587901714,-38.48157760654862,0
Non-Veteran,African American,Homosexual,187.39836462141085,A,A,A,43.465510613333066,-185.61676390761028,E,23.124195154071142,-12.494608992917007,1
No,Asian,Heterosexual,-78.0583056339687,C,D,D,-183.90011208353656,152.85818003023468,C,19.449263904523182,49.38740232699441,1
Yes,Asian,Other,44.60070818993481,E,C,C,-75.95778251773994,-35.1417904544798,B,-31.905680223322936,-10.876809307937894,0
No,African American,Heterosexual,-46.114942144372115,D,D,D,-132.21660127193377,-27.26670285470385,B,122.97448932989839,83.92318069587638,0
Yes,White,Bisexual,-182.1692062336313,E,C,C,-116.28140871033123,-63.5539620280044,E,118.13305730275374,-72.56961942185634,1
Veteran,White,Bisexual,253.8138175074492,B,C,B,-153.86230671872678,-12.786729693560343,A,194.1269379928873,81.79906460670658,0
Veteran,Black,Heterosexual,134.98006557960665,D,C,D,100.74321244819475,-21.06885007752,A,-56.0940280169931,-53.51603624218237,1
Veteran,White,Homosexual,-13.296624598709508,E,C,B,-12.19859710760695,-73.53373027391672,A,11.699548572442682,254.20123397805935,1
No,Other,Bisexual,-187.47826724420375,E,C,B,41.84340397995931,-23.578065144392227,C,42.1398437657261,-86.20480707733851,1
No,Black,Heterosexual,-47.77305231976449,D,A,E,-78.6967453742734,29.600781214530254,E,-160.35782474046658,-50.35255484033259,1
Yes,African American,Heterosexual,-26.917076150798223,A,A,B,-57.09008160037457,112.84149340280862,A,-80.6947020938775,-146.12518198049023,1
Yes,Black,Heterosexual,11.480956011053262,A,E,A,-29.64924012352338,120.11550453017135,D,-170.2282027508785,57.679677036591556,0
Yes,Black,Bisexual,83.19005901392646,C,A,A,174.03205535646472,-31.97604230848293,A,-68.92915739445903,-42.26152887499177,1
Veteran,Other,Heterosexual,16.330318741460502,A,D,D,-57.44899483026524,6.602021017682451,E,-106.70145518978889,-161.7673631212967,1
Veteran,Black,Heterosexual,100.61932456140966,E,D,D,-10.100326831071746,-14.222740705822092,A,-36.92168561345211,71.97526474814873,1
Non-Veteran,African American,Heterosexual,-72.5847262147815,D,C,B,-19.04644791681023,139.19093758092754,D,86.35770736415596,187.15133494621472,0
Non-Veteran,Asian,Homosexual,69.04440284021122,C,A,C,3.0153820134841793,61.894099217346884,E,-174.8605723963181,152.41398887171553,0
Veteran,Other,Heterosexual,95.04677602530757,A,A,E,21.37828700438415,122.52658004173307,B,-26.680250670110993,29.484842666079903,0
Yes,Hispanic,Other,133.9336205406233,C,B,E,-75.28755008545814,-20.0524627410236,A,37.438218194735704,-23.821334794544555,0
Non-Veteran,Hispanic,Bisexual,-62.91521280510297,B,B,C,-123.16748972804392,-15.128024006060464,A,-34.08285221731086,105.93504711907529,1
Veteran,Other,Bisexual,-239.50185541404764,E,C,E,23.80127933395016,-130.0063016956545,E,-60.07340630286154,-56.624256461394474,0
No,African American,Heterosexual,42.18666946180711,D,D,E,-164.68026070388646,-166.95477469557792,B,119.14102335582608,219.2967640208917,0
Non-Veteran,African American,Homosexual,-175.17824285734932,C,D,C,63.6440023404746,72.00674811967502,A,123.0162957954664,-25.004448590511924,0
No,White,Bisexual,40.44096936755474,D,E,A,27.326648742449265,62.78352563646939,E,-145.45454544690523,15.033679546198329,1
Yes,Asian,Bisexual,-53.13530139336026,C,B,A,-50.21567299139329,36.919337372081415,E,72.1857846902185,105.04385563034582,0
No,Other,Homosexual,42.3156454937593,E,C,A,7.756910609570654,2.5294804920911016,A,-72.39102919947719,37.30239301981298,1
Non-Veteran,White,Other,130.38629791461528,D,E,B,-62.491203746364235,-123.72514278678635,A,-53.67581929228544,-106.98768323233203,0
Yes,Black,Heterosexual,180.93350581748604,C,B,C,-100.33238412397043,62.02589535816584,E,43.86625424425425,58.59274823284974,0
Yes,Asian,Other,43.99383201169213,B,C,C,197.13364164720588,107.80556723069137,E,-172.2660949514855,-159.52781401969912,0
No,Black,Heterosexual,-15.419284456979373,A,E,E,-170.2343436178965,-154.13806319453278,A,-132.8439176825234,-76.3198701601468,1
Veteran,Other,Bisexual,11.708589365298122,A,C,B,-9.747257261454545,105.37114191240902,A,14.322900485740565,5.516566056420859,0
Veteran,Asian,Heterosexual,-15.915381006098194,D,E,C,-5.948499962414858,173.82486149788957,B,109.93550654139936,-29.18203242445918,1
Yes,Hispanic,Heterosexual,233.92598849311827,E,D,A,-26.523972941960928,94.1416119719913,A,-5.932353938657712,-4.772248457329784,1
Yes,African American,Other,-84.06816599674862,E,A,B,-41.64235185967925,-22.6042326083602,A,193.73044068289113,107.96429106456584,1
No,Asian,Other,-109.35105008440391,A,B,E,-69.279116513201,-93.08498136493763,C,84.64963894939011,125.73752031899271,0
Non-Veteran,Black,Bisexual,-169.43639044573263,D,D,E,-233.6955953579939,-44.63587265224936,C,-24.919452586324244,19.268815092833336,1
No,African American,Homosexual,103.38682996166268,E,D,E,93.99035909718815,-21.34405299443804,E,-5.2375067562096165,45.083843569424616,1
Non-Veteran,African American,Heterosexual,-39.13775659716385,D,D,B,-32.49971260962703,-111.4378892995517,A,10.596753472402566,8.084332365002894,0
Yes,White,Homosexual,32.45126499257292,C,A,D,13.001952865806393,97.72295451704859,A,-79.92146123949702,25.477796358684678,0
Non-Veteran,Asian,Bisexual,47.54632582012383,B,A,B,18.7403689360619,-65.95227256185095,B,9.163470409045981,28.878659280361514,0
Yes,African American,Other,28.573842743453103,D,B,B,49.824857833650164,-247.2772204248383,E,-7.318785164602323,47.38458965352567,1
Yes,White,Bisexual,162.15050620761488,E,D,A,-32.6418508316786,40.60808097014441,D,-29.060469098875853,31.92947158738932,1
Yes,Other,Homosexual,-1.068238151742618,E,B,A,21.20797656240186,126.24137344528383,A,-11.564971944067057,3.1992409735816385,1
Veteran,African American,Bisexual,-82.49591023822029,D,E,B,280.78377927362015,-36.3695912099369,D,-30.30047604247448,-154.09720221800706,1
Veteran,White,Bisexual,137.99736243583354,D,E,D,-75.11541988173256,-1.6285882185694096,E,-4.156683270012282,156.42262367565337,1
Veteran,Asian,Other,58.49045749375455,B,D,E,-3.4686117920340203,56.10483011314593,D,-68.62839300094505,185.78488407949442,0
Yes,Hispanic,Homosexual,108.40106577077859,E,D,D,2.674714295207232,56.18924856548369,D,-29.473820055864852,-47.320816160965066,1
Non-Veteran,Black,Bisexual,61.45446003397993,D,E,D,-138.5315182273107,243.5874294242268,E,52.055109323903714,-6.885401888167361,0
Veteran,Other,Heterosexual,17.021365332278133,D,A,C,64.28868470084565,-61.946987758335716,A,-30.770310114180973,75.00737298753523,1
Non-Veteran,Hispanic,Homosexual,-125.69639703656561,A,D,A,-41.85801428362229,-70.09106515600818,B,210.85632082089583,50.70528589699867,1
Yes,Black,Other,-20.22523050277927,D,B,E,-80.13557351926251,-163.72004792701327,A,-50.83967496281523,-65.56533559836086,0
No,Other,Homosexual,-62.094554055119765,B,E,D,-19.444212532457854,-105.48194062604477,C,298.3306619456932,-5.605078875945544,0
Veteran,White,Homosexual,-121.34881162033264,D,E,B,245.56886811754595,-0.34492238854351687,E,-84.39109404681906,68.75311462047293,0
Non-Veteran,Other,Other,13.095348265821713,A,D,A,48.78352606468315,68.73392262075254,B,-9.782819209921179,181.2465647517898,1
Yes,African American,Heterosexual,-9.535981563066507,B,B,D,159.12042469838187,30.16434348449677,C,-80.6763344158004,4.414426327545578,1
Veteran,White,Other,48.18235923977806,C,A,C,-171.2879766763812,131.3173517777809,E,7.376795109813844,-26.608187669769695,1
Veteran,Asian,Homosexual,63.62892501045767,A,E,B,135.81327727894038,1.0551474787032393,D,164.47023578018042,-26.446968011737038,1
Yes,Other,Bisexual,67.45063023956206,B,C,E,-137.52647216802063,11.338881905249076,C,0.6551092161121137,15.906575573037404,0
Yes,Hispanic,Heterosexual,-195.22484834055305,A,B,D,103.76741364742776,91.2688422447225,B,-30.57047122379245,113.29624092748041,0
No,Hispanic,Bisexual,28.592709188637233,A,A,D,-20.934084670084445,124.18416317377641,C,124.09861111890375,-33.26587006719991,1
No,African American,Bisexual,39.38550215797921,C,C,C,-66.34585919691325,23.63144428154759,C,97.71298387208583,-1.5918574363633455,0
Veteran,Black,Heterosexual,-40.88196878542028,E,E,D,-77.69702830173055,-86.64120426610495,D,93.0350066196668,-20.529028074082373,0
Veteran,Hispanic,Other,101.44980203284364,A,C,E,7.293804528040382,-193.08191275018987,A,35.09824204155155,-163.62981572152552,1
Yes,African American,Homosexual,4.619320417842832,A,C,E,-173.4333508836661,-158.7011041252415,C,88.51275683198293,74.68511597012186,0
Non-Veteran,Other,Bisexual,-25.998967837130472,C,B,A,99.75142724024025,125.73502783028303,B,-15.585101410738716,23.403979783006434,1
Non-Veteran,Black,Heterosexual,-10.867604584560302,A,A,B,5.295152785782049,-16.064572367975323,A,150.8959584352997,40.639818639419296,1
No,Black,Bisexual,-202.9689250608978,D,B,A,-71.35329587278751,14.737006228077215,A,101.305492377696,132.72935621952814,0
