sexual_orientation,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Other,M,65.86438984360879,47.17906635102961,B,168.74313211322317,A,-95.04957291492492,B,D,C,D,-25.125235826822262,-125.21896513470121,-51.42351294863725,C,D,1
Other,Other,136.15981514633995,-41.27849142613303,B,-54.79589289316695,D,-71.13559563823331,A,E,C,D,-88.17860192285606,-50.536945586139026,-69.12006173403036,C,C,1
Bisexual,Non-binary,95.27679076760343,-94.14550783067888,A,-75.16622281935949,D,37.13806003648717,C,D,C,C,155.49640677989828,198.1678574651017,51.26458193888737,B,D,0
Bisexual,Female,-6.354065900152178,-65.57410931723108,A,128.25292686548946,A,-35.9503285282052,D,A,B,D,18.519056590637934,-118.74938890344792,120.0434711379147,B,D,0
Heterosexual,Non-binary,23.752641772017846,187.92293713482297,C,129.83739844554054,D,-186.10032492137896,A,D,E,B,162.97127136290217,153.62122606661123,-64.42472168553816,E,B,0
Heterosexual,F,126.36609466852182,28.291474879470453,E,100.37814765262209,B,-32.803309354559026,D,D,A,D,-80.084134617902,-40.73950014183137,73.5573102072667,A,E,1
Heterosexual,Male,-87.37719842504777,-19.226976923379144,B,-57.00782309817094,A,12.5124794844408,B,C,E,C,8.402930654307033,-23.048117941348032,142.60345930783723,C,D,0
Other,Non-binary,-206.84419883120157,212.71897801088303,A,134.4742213745465,A,14.840009165384647,A,C,E,E,-64.31311759222814,-93.33512635159816,-134.37873017741438,E,A,1
Other,M,22.626621567867353,180.98584055932082,D,-124.29959477131645,E,137.31729176568726,D,C,C,A,-39.09332511304822,-130.17594514746332,-103.74265769336304,A,A,0
Homosexual,Male,15.768506388165921,76.08945339248831,B,98.29921626553764,C,92.6731915121443,E,D,A,C,-67.57997610468097,-56.862232862839825,-19.713035879861593,D,E,0
Other,M,143.68054970853632,45.15992285025581,A,3.5753386974963943,C,-3.8220792197793783,A,A,C,C,-106.55947042646876,74.91730435317862,107.47685462541794,E,B,1
Homosexual,F,-90.53765076805611,-55.78894554938834,C,23.994279063958903,E,-2.834214336039535,A,C,A,C,44.52379380160292,42.55478932275486,72.67169389977298,A,D,0
Homosexual,M,163.18538802329897,-140.62700074793227,A,116.27367419761228,A,125.7105259580975,E,D,A,D,27.12468600833131,-128.1810891790636,38.73326372474383,A,B,0
Bisexual,Non-binary,-132.51702428510865,-21.12117648191508,A,56.740856605306845,B,35.471323826273036,C,E,D,E,10.9581527110492,33.02918414675374,-69.70100714040235,C,B,0
Heterosexual,M,-81.9709469169766,169.51308929990932,E,61.96166361930368,D,82.37089218615097,A,E,D,E,-12.696275079415715,14.910651940253544,77.53380037927256,A,D,0
Heterosexual,Other,72.60748098780464,80.80048836517089,A,157.76507481336967,C,-203.6588374878033,C,A,A,E,-148.0755675707278,-31.12667273491234,-114.29037750717026,D,D,0
Other,Other,-215.56138697480708,-73.10000672256655,B,142.76352098684782,E,198.88122559361997,A,C,C,A,176.98436332996988,195.31687097885424,-74.66913576248058,C,E,0
Other,M,118.43652452875304,103.66463984830669,E,50.842065513222025,B,49.087875636624844,E,B,D,B,-222.09257566418637,-24.697310755724427,-142.77205381743394,A,D,0
Heterosexual,Other,109.67074242365695,-129.5858733223552,C,-32.299356821186834,D,-128.01524530029687,D,C,A,E,-26.083830035241977,2.475522547518218,-147.058834879152,B,E,0
Other,Female,-124.19171934318787,67.27403656319713,E,-265.7182088826523,E,41.51329954896491,D,C,C,B,-186.8214600288296,-13.014139447749082,-38.67749312942411,E,E,1
Homosexual,Female,-25.48561054088897,95.5177740889288,B,107.56912810815453,B,15.818117486983146,D,C,C,B,58.375484675489155,98.77896499072763,63.88400483399078,B,D,0
Bisexual,Female,51.7529667748705,161.37653023602948,B,96.86907882984613,C,120.04104327998202,B,E,E,B,-31.537570967569433,-95.5967389900785,50.123816570307035,B,D,0
Bisexual,Male,64.12264591683267,-115.72815139011728,D,-19.286314814538414,A,-34.95695757867337,C,A,E,B,-135.94299846724383,225.09652218008688,-269.06830570443043,E,E,1
Bisexual,F,110.69499247394667,9.962672556821767,C,-47.66379372270447,C,-71.31679046848771,A,E,C,C,-80.5871002878629,158.36377988708068,-190.56948661598497,D,D,1
Homosexual,Female,76.4741383382508,-34.585427115368965,A,140.04822769895773,D,-28.85419244106451,A,B,D,B,-6.0136640865666555,30.277020001620443,-69.28236430596058,D,D,0
Bisexual,F,-12.917610632997528,19.340223564002248,A,-73.97246176730701,E,-110.1947784009671,D,A,D,E,-211.3439344884783,-169.57038917623603,-32.43298035677292,D,D,1
Homosexual,M,117.34621426945016,100.89280029327811,B,-44.74899896347143,B,15.27028991454811,D,A,E,D,-65.9317323937285,-135.6851434597098,-25.470513679544215,B,D,0
Other,Other,47.1240839702345,204.31036944310358,B,-85.74471248302295,E,-19.886419751626903,C,B,D,D,3.3175604821334885,1.774690354470011,-103.66465222986922,E,B,1
Other,M,68.33298927161267,-52.699977323884895,E,-176.53048602892713,E,-162.71452110831356,A,A,B,C,145.4513739014927,112.52772287306996,-83.83282978662162,D,C,0
Heterosexual,Female,-15.02068473320359,72.16423071445746,C,-79.16799520400647,B,24.172804857429067,A,A,D,C,6.50625722701533,-89.48809137499546,51.13883597010555,C,E,1
Heterosexual,F,63.30847816662535,11.057897539124498,E,57.543000885082726,D,49.00187163624663,E,D,A,A,-53.71071050923953,72.44542471912754,2.794317231130492,A,B,0
Other,Non-binary,132.39056550063296,186.264239766912,E,5.755082124491891,E,-5.3822502833439865,B,D,C,E,-255.32643387877857,-93.51648525955775,-57.835802746827525,C,D,0
Heterosexual,Other,-27.9231206323066,136.44327414391788,C,-96.83730089650571,B,-44.641722829684454,B,E,D,A,-10.907840604653526,-181.62166212963072,98.68785016044328,E,B,1
Homosexual,Non-binary,-55.96331650655863,139.81317183182168,C,58.17083486273892,E,-107.4816166825833,D,A,A,B,135.30374905437407,-9.970302825591839,117.44003685714557,C,D,1
Homosexual,Male,-24.74329410159761,-23.720099604842147,E,190.48333032024522,B,-14.156749292755213,D,E,A,C,-5.226823349720851,-20.05075774579052,-156.62218857850547,A,B,0
Other,Female,-36.158024739918844,134.37618672264654,C,-165.40419655859733,B,31.481204038746984,B,D,E,E,4.728805807383897,-85.71837156482141,35.849656096698965,B,C,0
Heterosexual,F,-13.738912687230018,-241.45905699421425,D,-41.0205825209819,E,-20.37018626283225,E,A,A,A,-130.05104382535646,72.8699728397352,-10.852430910911224,E,C,1
Other,Non-binary,96.56400874646863,-87.57184142894161,D,268.8083736610524,B,-36.51751287087256,E,E,B,D,-37.84993195154801,-43.90421489662436,-86.76787947995678,E,C,1
Heterosexual,M,262.8418656303884,-44.93883851237367,D,49.93945789201346,A,253.499659270061,E,C,E,A,-49.16253795917522,-155.57143328641553,-85.11653954840097,A,A,0
Homosexual,F,-157.79712919828577,-30.302832131707095,E,-53.049654733980745,A,94.4951952226796,D,B,E,D,-38.00253076607273,-56.90863365390075,45.44820583721253,C,E,0
Heterosexual,F,40.39425105062077,-60.03975554766252,E,-77.85970834960989,D,157.62010285766334,E,D,A,B,116.09455100086477,167.1667903830477,-31.800643255641027,E,E,0
Homosexual,Male,-195.32304536428123,49.57317888008221,E,-36.431652322389425,D,-46.365185823040285,D,D,E,D,67.16217646655312,-78.87031141148466,59.294554570926884,B,B,1
Other,Female,41.177069847077256,45.2714461575181,D,143.79916920035188,E,-37.18582037192042,C,B,A,A,-52.73776596836392,-7.021537382931614,-8.093794251834916,B,D,0
Heterosexual,M,-157.97455195893676,-66.30984490068704,D,115.4276481689112,D,161.9378055590765,A,D,B,B,0.5517014665134274,0.5701680127265167,20.110064805127585,D,D,0
Bisexual,Male,-23.740456630246968,28.337143699903905,D,-31.07232370209159,E,-61.57366832720569,C,A,E,E,-110.88552999699466,46.79026190704707,-168.47585041536647,A,B,0
Bisexual,M,68.03902849190234,-11.53943574103871,C,18.854685602115342,B,121.74126721688832,A,D,C,C,-153.39976455049035,-99.95909827305908,87.30832995782413,E,E,0
Heterosexual,Other,-6.582567591280713,-182.89843415718448,E,-72.82244876183755,E,102.52014677762284,C,E,A,D,28.519965760288684,28.694177336785526,2.8967212875051227,B,E,0
Homosexual,Non-binary,129.26202417275096,-25.62697705662699,E,-21.4040203740321,C,195.64448817835114,B,E,A,B,17.63600615122383,-172.34692104597158,-19.536940148882614,D,C,1
Homosexual,Non-binary,-53.62147123403127,-179.91843977826858,A,31.917000457944734,D,-4.742419148872563,E,A,A,A,-68.32133681900746,170.81432498680448,-170.2256009718469,C,D,0
Other,F,109.84575895827969,15.360943141876952,E,-47.31272669787337,A,-26.848505733653788,E,A,E,D,10.625435152764535,44.61605199187996,-2.747210744304052,C,A,1
Heterosexual,Non-binary,-77.16791399993672,-16.095475481456077,D,149.58673107700358,E,149.773034127757,A,E,B,D,80.40744239062315,130.6137526764542,-12.649986916873601,D,A,0
Bisexual,M,-65.72465244072467,143.9910477499702,B,151.87662690264477,A,33.74594390675747,E,E,A,A,-152.0730807400723,-81.08071208322065,-53.432520636814886,A,D,1
Heterosexual,Female,94.9127452056498,148.89478339929775,E,-137.93170322967322,B,-116.83847490142509,B,B,B,E,-91.79030978521575,73.29641554054835,0.8373972292751487,C,C,1
Homosexual,Other,64.46771647823233,91.01944990964184,A,119.41029262438809,B,-77.42954072902661,D,B,E,B,-74.41879287293318,182.75268553982892,40.98447987646046,E,E,1
Other,M,74.56188472151409,51.45279786432948,B,-18.863520937860613,E,86.858442976159,A,C,C,D,42.0246025624181,-44.579397819584436,26.464902545182127,A,C,0
Other,M,-84.5607285840786,-225.07875239082344,C,141.1735626302412,A,30.286466731102752,A,E,E,E,-59.51334500114418,-104.57283618650675,-60.7895723003218,E,B,0
Bisexual,Non-binary,-134.5542618102464,105.21441228841917,A,36.02223625972873,D,-173.81312271239963,B,A,A,E,98.95230737754012,132.95290340329524,-139.27470808625426,D,D,0
Homosexual,F,36.66903510686698,7.356685853448401,E,-167.69362763207556,E,-74.52490001625951,A,A,D,E,-302.16434479934856,139.85165914215787,47.33785044860324,B,B,1
Heterosexual,Female,103.76283067220946,62.66296504357399,E,-9.067216489113067,C,50.82597247660203,B,B,B,E,-163.0177793969687,-100.6756681764735,10.807750126436762,A,C,1
Homosexual,Other,-506.15610967093085,-63.07947753203462,D,86.8670894953945,A,-43.585857338871925,A,B,E,B,78.80204167733179,42.47742410182268,-60.468451920599264,B,C,1
Heterosexual,Female,51.017968241391095,25.51649650477706,A,-20.306104085976045,E,-192.8919594610324,C,C,C,D,80.71923263378736,21.440491297216717,-112.19014408575639,E,D,1
Homosexual,F,138.6712780884302,140.7295385534924,A,-39.87854392042899,E,-7.391687427189981,C,C,D,B,85.8937137082757,81.31547769925236,-85.2978186492929,D,A,0
Heterosexual,Non-binary,29.331507649691087,42.85417516570191,A,-1.6842807938348126,E,35.7272383711831,E,E,C,E,26.47344187646,-75.10543987935442,-153.31607988390962,E,C,0
Bisexual,Male,45.58012941823623,9.795805172053054,C,8.064145368711278,E,-61.19960975200658,E,D,B,C,-81.15570104283218,-88.66113444267094,-206.589542868838,D,C,1
Other,M,-188.4480862191578,-28.59123961346142,A,-98.15959293338159,D,17.499865862833936,B,A,B,D,126.01606046853479,-204.50278735507777,-80.52048625168572,A,C,1
Other,Male,28.66184513791799,42.74970822132374,E,120.83626446729802,D,-58.474606686662945,C,C,E,A,-37.66454910957381,52.66540909367223,52.25242031209446,A,C,1
Heterosexual,F,-15.322560385628767,65.87942196070131,C,25.894510999117575,B,-27.33704300601076,E,C,C,B,-233.61566543187863,-95.01424061094795,102.64061851497534,D,C,1
Bisexual,Male,-103.97336692228853,28.497634388486443,E,60.88738257231962,B,-131.8093045467315,D,C,D,C,253.42173681059558,-197.68738857418015,-104.94203507121848,C,D,0
Other,M,-2.4500445361074847,78.88119249698566,B,154.7744126061036,D,49.51881110688993,E,D,C,A,16.33589743576953,-56.81976520716017,-138.47462096617645,D,E,1
Other,Non-binary,143.2858016181713,97.93818564510121,A,7.186280388924557,B,78.52615084363592,A,A,B,B,-45.493871292841895,-136.92712593175617,-37.71104272020408,E,A,0
Other,Other,64.21426266727785,-27.330640699143977,B,-62.79090619074725,D,-164.3942166393862,C,D,B,E,-178.4830837307212,183.42672105843073,8.127684796022216,E,A,1
Bisexual,F,43.86840850033106,58.23077139616253,D,198.66812067452764,C,5.31468164539159,C,A,A,D,70.78803635697632,19.55246759412612,9.837386137106549,A,E,0
Other,Non-binary,117.1183024764215,-88.24498799834008,E,62.41128784737128,D,-46.154396063682846,D,B,C,A,-82.24451283359926,38.25497658781837,-6.709216417972058,D,C,0
Other,Other,-43.42485582164136,71.83239837114269,E,-102.62908317291507,B,-0.7264022374732824,A,E,B,C,-220.3050087591584,-46.48658961311355,69.0376610571714,A,C,1
Heterosexual,Male,-149.99534879030193,-76.17847125339445,E,100.92872991352186,B,105.95389826752601,D,D,B,D,105.55388524325757,7.985279678577231,3.2597114101497593,C,A,0
Heterosexual,M,-148.6106974292146,-232.89566941415222,C,-11.454460862394052,E,-24.307967400437146,C,A,A,E,-60.07846406797205,102.28652099530092,114.32648486161514,C,E,1
Heterosexual,Other,43.048230403732205,7.966251565539046,C,-81.95366903503405,E,-111.71824175846777,B,C,B,B,60.92398233527007,29.50392253058301,74.30203784903199,A,E,0
Other,Female,87.03678638868865,-32.05716078156628,A,277.8682876280545,E,-0.48725636596229666,C,C,A,C,7.343046637809233,226.09268524767367,55.75174604232581,D,D,0
Bisexual,M,19.82107301912978,43.49643604106756,B,35.985865188146285,B,142.71863402235329,B,C,C,B,-41.40574713243706,103.8736684803656,-127.86220019060688,E,A,0
Bisexual,Female,85.88812858996745,-59.99148309710228,E,31.70104994460951,D,-146.18285872781834,A,D,C,A,135.37773776778963,122.4902612086653,33.16460697191058,C,B,0
Heterosexual,F,-69.14283058579439,-61.02462585092881,E,-343.9056002141309,B,27.2295767669532,D,A,B,D,30.945140871284703,78.95071908679934,-194.6489808541168,E,E,0
Heterosexual,Male,17.893741642111184,146.1372566213387,E,29.766401450682867,D,115.24754243833198,D,E,E,E,-44.49810815588401,111.32051440920914,12.060102820095128,D,C,0
Homosexual,Male,-5.156032243928546,23.133502058565533,C,-66.29124209501978,E,-10.397826770630797,E,C,E,B,183.43358909761426,-64.59811722588752,-53.76730625384544,E,D,0
Heterosexual,Other,36.782957100599276,133.05103545341458,C,-129.3114928515183,C,62.218112582874326,C,A,A,B,-104.2460639325305,-88.86386657696903,164.57397613535633,B,A,1
Homosexual,F,-85.80736682822304,63.270189624069126,B,-292.14941946127885,A,183.18242256120115,A,D,D,B,162.50703743898606,-19.00989127336938,-214.42464689428215,C,E,1
Bisexual,Other,-84.13287626005376,83.72248615208267,D,-22.643258996252953,C,107.08840401903966,C,D,D,D,-86.64660247869635,106.57624617862905,-77.39285248543574,E,B,1
Heterosexual,Other,93.61995981069862,-78.15498531544306,B,31.064295764298784,A,54.361768237211905,C,E,B,C,-131.56456755382413,154.1082668902779,21.41911093145248,A,B,1
Other,Male,44.602055924341755,-84.42242216872314,A,9.310827733238753,C,-22.607314533679133,E,E,A,A,68.47021271035831,28.96194470627983,150.39776593136142,C,E,0
Homosexual,Non-binary,-81.11714495879136,11.404810341321198,B,114.85525705714737,D,-237.37963639001615,D,B,A,B,77.69150381454384,44.711100599968326,-49.29063899318747,E,D,0
Homosexual,Male,43.23734418427619,99.03255060815206,D,-13.15652580738761,C,91.31006262728094,C,D,E,C,15.804742358148882,-27.78181229436204,120.02265374118232,E,E,1
Bisexual,F,64.35648703759401,-19.522391594820736,D,206.74038518049204,D,24.729574101312913,B,E,D,E,74.55905873148126,219.1049056568112,95.27635784708498,C,A,1
Heterosexual,Other,-28.680684055243127,-108.27448787656526,B,9.537908981721204,A,-139.5517838323156,D,A,A,E,-43.030324930967154,67.19243920111232,-270.88282744447565,A,B,0
Bisexual,M,9.210351575995615,-49.60387369197842,D,-218.21767742116336,D,112.80959383326368,B,D,E,B,-144.09053489224505,-42.68614523689938,-132.55488855456946,A,B,1
Heterosexual,Male,-46.99164186793233,-19.607623600008427,D,-4.766722225079875,A,-46.17346368395886,C,E,C,D,-21.75599375952637,242.22580894670097,-98.28883004399417,A,E,1
Bisexual,F,40.94752304983042,-230.06746683314546,E,-37.70969196907864,A,-164.13284605952902,E,C,E,C,-174.82532851524647,-64.18805147263255,2.650049547279868,E,E,0
Other,Non-binary,-45.154022230593654,-130.79021719363575,A,164.86907723632245,C,-19.1798588596889,B,C,A,B,-16.585023460765846,-103.58156968428564,204.3058967062997,D,A,1
Bisexual,Other,-119.06459983864966,-131.70442418702999,E,160.29268795887697,B,-37.25472147252219,B,C,B,B,-5.283262105957279,-65.87400086790655,64.10703363427909,E,D,1
Heterosexual,F,2.977803537282117,-6.071155743785151,E,106.43622957440266,E,343.8014163717823,A,A,A,D,-83.29464487262905,-15.414055910997826,29.056797513194628,E,A,0
Bisexual,Other,-37.1853789916561,-4.2643777656397885,A,-23.974812180622855,D,-18.908103168074266,D,E,A,B,78.28977641981466,-124.00409546476774,-108.63378068447169,B,E,0
Other,Other,44.81745487005154,100.90372434546566,A,86.87082441428797,E,195.0407791038454,E,E,B,C,90.2162271384142,142.48284358017685,154.45797196944577,B,B,1
Bisexual,Other,-89.54624596318178,51.82305198034356,B,-15.619533343101624,A,173.36647368765685,A,B,D,E,-81.7699438899474,96.66691062125682,7.5851916618285,A,D,0
Homosexual,Other,52.12749488348536,-40.46066610305942,D,-41.96967303807666,B,-64.84304120648842,C,B,A,E,32.57115306002927,-2.832269937407704,274.70837697893865,A,E,1
Other,M,28.668357126085308,-106.64374949609021,C,73.18172122012848,A,88.89573147116485,E,C,D,B,100.27405843193597,-57.075339704450556,-14.222065132335404,E,C,1
Heterosexual,M,68.02384016262097,-27.555794132367218,C,-126.66388542514217,B,-139.96993796897138,B,D,D,B,209.95014914012503,-52.701904126478894,124.15199650954914,E,D,0
Bisexual,F,-62.43877173527452,165.41975694882188,B,131.4354643156284,C,-126.5718510815091,D,B,E,B,42.44086371112795,88.18138811920136,-210.7948691004934,D,A,0
Bisexual,F,-29.124434513300816,-25.758869181327697,B,-16.01202333182848,A,-16.121254032905032,C,C,E,E,167.01339661869133,-41.494767944387526,-90.74726746754882,C,B,0
Bisexual,Male,-9.043178602999635,56.36517700262315,D,-10.416985695241209,D,-54.621906357511506,A,B,A,E,52.646830259798215,-93.4520823204011,94.55643947184815,A,B,1
Homosexual,M,-68.58620758658712,156.82990393927514,D,-14.957099693976456,A,4.237607703777607,B,B,B,D,-80.7783557389943,15.846142166465599,57.053763981376534,E,B,1
Homosexual,Female,-84.2545971687165,-10.894323477172035,C,-71.48300425477201,C,96.12400816768502,A,D,D,C,80.71079498577525,121.11101473172457,-92.0852108790129,B,E,1
Other,Male,-35.78818834044971,-10.512114760398992,B,0.266295587227727,E,-78.67548918729945,C,C,D,E,197.32760712853454,262.1982972309443,15.2510979384349,C,C,0
Homosexual,Male,196.50917996724314,-86.76696843027553,D,-13.562053735236326,B,-51.29480019884598,E,C,B,C,52.547283957084076,-104.61150921934616,-86.95286449519936,A,C,1
Heterosexual,Female,-54.787445568275814,48.05734480509312,E,-193.3064646867644,D,273.67888586924107,D,D,B,C,101.99167894123384,-58.55504604540638,16.44364761174391,C,D,0
Heterosexual,Female,-167.56332461853393,-48.4030720324253,C,-35.28098563064555,E,264.9506045077788,A,A,B,C,-49.515497237292706,-117.27355918308,57.267536807606255,C,D,0
Homosexual,Other,-65.34878583076011,86.54613359776884,C,-81.00400526475214,C,321.2750752331283,A,D,D,C,-97.22086735730149,-124.47937296451957,4.88506066523323,C,C,1
Bisexual,Female,-17.018411286873867,37.232104930797085,B,-23.76348614476553,D,177.5125095442686,C,D,A,C,88.85307513649315,132.42313451775794,-50.785217523585544,E,C,0
Heterosexual,Other,43.51714269280083,10.903392906612437,A,-9.466221634649301,E,38.593454748219955,B,B,A,B,-6.558078348979316,74.56619169471259,95.20907932095312,B,C,0
Other,Male,76.17108326178243,22.967610078881123,E,-139.72515371186844,E,-5.350052841480993,B,D,E,C,-59.414775388495535,104.749947112327,131.0814725367441,B,D,1
Heterosexual,M,69.14307997588986,-70.96624696589973,E,-221.6167041359797,C,48.42295835903817,D,B,B,C,66.73668397318951,93.82295548975515,-143.9159319282499,E,D,1
Homosexual,M,61.65687710820562,116.16229054957373,D,-117.64804913433305,D,-28.97956903741966,C,D,B,A,-55.2211480336968,-11.500677918447483,-20.598544341175316,D,E,0
Other,Female,19.113658098939617,-50.99164763782398,B,-47.42983123952001,C,-163.68625487771115,C,C,B,B,-256.23711660473157,57.140573386354795,-22.981295367401355,D,D,0
Homosexual,Other,-83.94729084614374,-30.702278103864117,B,-101.10089437008192,B,-216.44584462681587,E,C,D,A,36.57695184742358,-105.34893020512695,123.18556680372032,A,E,0
Heterosexual,Female,31.39796998864124,-34.50332429613781,C,-14.294171448107637,A,7.177654574640273,B,C,E,A,-150.88751129829942,-21.21182727690657,68.16649059925027,E,A,0
Other,Male,159.89403081464295,1.196328771547708,D,19.696380478065397,E,-8.752575633030398,B,C,A,D,45.36727840373194,-62.10504246809167,-75.55429268760156,A,A,1
Homosexual,M,167.95441901350912,154.40875886773128,D,85.72889349453783,D,-140.10115312408104,C,A,B,D,-67.20134446687014,-148.20547834988562,-50.586613511781074,E,D,1
Bisexual,M,74.03378630850746,78.78530945383096,A,-122.11574059997399,C,45.62377191465144,D,A,C,C,189.3409909596562,-210.51571599695532,-85.69799082560185,B,E,1
Bisexual,F,-21.56692484132017,63.641370211622984,D,-110.8191828075354,D,-83.80567327651337,C,E,B,C,-96.47742206840832,-63.61182653391096,19.6916562376334,E,A,1
Heterosexual,M,213.23743114973465,166.85667241956284,A,57.35783235612437,C,228.31230565043685,A,E,E,B,56.88992422230933,-310.39111105773276,24.88600214256681,C,B,1
Other,Other,119.80201211173747,-121.56024427499234,E,-34.09507204787345,B,-6.046911232297001,D,E,C,C,-174.43984828902174,146.67021686083294,87.50472864634918,D,C,1
Other,F,34.58817762676376,8.508239982084048,E,74.41845856963054,B,-15.681658279177107,C,A,A,E,-35.96889832405133,-50.32963514161399,-91.43417184188829,C,B,1
Other,F,-210.80129834645967,51.977403748856034,E,-12.04235242912448,A,114.76444173140467,C,C,C,E,-42.41163511770065,-102.4287098344846,71.92057826035743,A,E,1
Other,F,-96.7326119029019,255.483237983192,B,-70.34038639085499,B,49.36723235961207,D,B,A,B,53.8784178593606,47.52693977378523,131.56096038472427,A,A,0
Other,Male,103.14391186033023,-91.15974199253893,C,66.58268136433043,C,92.24839801851,B,D,D,B,106.94884828064413,43.73030209485276,-35.277517420440866,C,B,0
Bisexual,M,255.2747793138956,-144.0602189397832,B,21.304970102520045,A,149.23370136434272,A,D,C,D,112.97967050508026,148.72988884520947,-82.22111403415157,A,D,1
Homosexual,Female,-60.82940492432337,-39.774783042691006,E,70.46106628595848,E,-113.52953748531132,E,B,E,D,98.28701440587245,-91.95887951629888,118.81769704360208,A,D,1
Heterosexual,M,-57.411646648969786,104.09835176401052,D,-194.45723131781227,E,-91.10625639833138,B,C,A,B,18.178771453448554,-77.70627011552837,-22.693400524871198,B,C,0
Heterosexual,M,177.13457477436145,8.127210884756158,B,117.36970832469997,A,111.61665219067712,B,C,D,C,-171.0230975004629,-117.99062629506898,-64.03274367217637,C,D,1
Other,Female,91.60944411364417,-79.46721723521858,D,-96.96446022355497,E,263.16162171387447,E,D,C,B,-139.99769238554202,197.9114163592261,143.74731732104354,A,B,1
Other,M,-32.808345275205205,-94.69113339379835,E,79.56451076545282,C,-67.97113867336562,D,B,C,B,-209.25140912349366,-181.75808248869726,-113.95392774662791,D,C,1
Homosexual,Non-binary,75.47720734780776,-53.44657804560141,D,107.26008389729833,E,21.637792294591137,C,D,B,A,16.183287448940874,-29.81896462347386,-56.03246874711644,D,D,1
Other,Female,-5.106209976899424,-38.11963100738296,C,112.40068702177837,D,271.5283267448753,D,C,A,A,77.42234111151302,31.923798061819664,-27.127199244193683,C,B,1
Homosexual,Female,193.3343411005643,-67.28094742670692,B,-116.30080583289488,B,-32.97420158722266,B,A,D,A,-33.05468201771007,83.21547534810635,-35.63350532924666,C,E,1
Homosexual,Female,33.492369105696405,38.58480772557913,C,-79.16652682640823,D,-56.94877592501124,B,B,A,D,-64.60186416991148,83.81809055367331,10.60671940149348,C,A,0
Heterosexual,F,76.09725353447577,-51.29496676539168,C,-31.31654310196544,D,14.42763374280483,C,A,A,E,98.56415498060755,48.575464658866935,58.32560907448045,A,C,0
Other,F,101.3630653441432,-39.6450015132801,A,-45.20749277580959,A,63.78906161990261,D,A,D,C,-29.349082942460313,-60.96438877933843,-40.67492840550317,B,E,0
