genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
F,E,96.65648378416941,B,2.0050322651508505,D,E,D,7.7788993634123935,E,B,-47.559111809274235,113.35422003747702,D,-23.79759438823647,C,51.41114528038385,D,-106.99905070403872,D,1
M,C,-26.00992597264427,E,0.1906587563792025,E,E,E,-28.60976933829169,A,A,25.643007124674977,59.20995220031967,A,-253.01404793267804,B,-12.770785085633168,D,-0.5673665816418273,D,0
Male,B,-196.36951741262652,B,147.87349224933192,B,E,B,58.174472687248944,A,D,-68.8269939994558,12.268152235558357,C,-38.24740058703335,D,88.74664005842439,B,160.45833514174842,C,1
Non-binary,C,93.30219108818214,A,-35.0877692183443,C,B,A,205.98994049159845,B,A,-46.86377542142105,-28.90971761150797,E,-28.323969637988196,B,-11.101163780844088,A,-87.18156576350094,D,1
M,D,-163.6521399199801,C,74.2402162277599,B,B,B,-88.97021935733282,D,D,58.347771850529476,-126.11836209429264,D,142.21339210814475,B,-79.22654775712195,B,-89.64892359129266,D,0
Non-binary,D,19.573251834196142,B,-23.811027737181128,E,B,D,-78.285691618472,D,C,110.33858042114824,-19.989107077292758,E,108.97528834905658,D,-5.435590279971397,C,-99.75880936191047,C,1
Other,D,1.4908002258785094,A,81.20108848348393,D,E,B,20.240765463841566,C,E,11.791146355462748,183.78637039746042,D,-25.79156434162963,C,61.25373490554177,B,96.11785032027346,E,0
Other,E,-22.930592783535825,D,20.154595427856943,C,D,A,133.63331929013458,C,C,94.87922520747928,139.21368722326787,C,-44.0440954690926,C,9.984598516838153,A,25.181912738680168,E,0
Non-binary,B,-28.277882082967842,B,28.711044712332512,A,B,C,137.75853494570782,D,D,116.19309359513366,105.92623089042377,A,56.828719750206815,C,-31.758200254521746,C,-254.7931915015626,A,0
M,D,73.06675413146917,D,82.42981190995746,A,A,D,64.24707924566798,A,A,28.52139252205406,-59.258881816712105,D,23.154621739030713,C,-114.28222546604604,E,35.74174160767852,E,1
Other,D,-87.6480459889324,E,-44.84326464428866,B,B,E,-43.821623012695724,B,D,-31.767285390420795,46.091968259114445,B,28.280864374535142,E,-74.8736162812905,D,115.04909799696057,D,0
Male,E,-66.95873351396145,B,-102.52088527051453,C,E,E,126.0474015217452,B,C,68.41287743618345,-76.41289392479332,B,-131.69414581435763,E,3.523571285004067,C,-25.45574201424701,D,1
M,D,82.59683001690196,E,-109.90369679998508,E,A,A,-120.97790361859863,B,D,-14.926679185958955,-31.865987972369048,E,215.21632201368556,B,29.304712007768195,D,-15.260433421569006,E,0
Non-binary,D,-71.24142759050302,B,-44.69241680545318,E,C,C,123.40581071741916,B,B,-9.746786637190338,-106.89937954606397,D,59.59707340070847,D,42.73898531156423,B,21.51414413853664,C,1
F,A,109.83951818806108,B,-133.3384661807747,E,E,D,44.2235701157777,B,D,-117.59664819347209,-110.23602453544991,E,-188.9034787263736,C,-13.970634741824139,D,-43.53587002382216,C,1
M,D,4.226762200269711,A,-32.53682631701811,A,E,E,-120.46480149531078,C,B,11.765570962758494,69.3335415166044,D,-46.657169238813694,A,-131.07004131933897,C,24.13692349207322,A,0
M,B,-121.74835384899913,A,-84.04981927280872,D,E,C,118.51652004463473,C,B,-112.18806659223904,-256.4333457894982,A,-142.36682937187578,D,-67.44024515422615,C,-52.71442735334292,A,0
F,D,-40.930676441439,B,-139.22592319826512,C,A,D,-3.5738798910142338,E,B,-90.57738329517571,-123.3714400143184,A,120.03748051038139,C,8.301532486862806,C,168.23473973357576,A,0
Male,A,26.349543536319807,A,-172.91681829265264,C,E,C,-15.213752863080018,E,A,51.14830950878536,19.10035467371201,C,89.8694149889306,E,-43.095620294939295,A,-2.5709074665697456,C,1
Female,E,-84.94424226331314,C,96.90269093664018,B,C,A,-26.70302958568852,B,D,-17.440703102218386,-46.16035248940021,A,80.58271271688348,E,-133.84905642802923,B,-103.97438301782654,C,0
F,C,29.874613052006367,D,91.92707327675926,D,A,A,53.379250956845524,C,E,31.526384721658985,-62.60732538365684,E,54.12779638325381,B,39.394751087756035,D,-75.00186879335547,E,1
F,D,-116.02617423839857,A,-27.221663494746846,C,D,D,19.28387878168608,A,C,109.54438373995119,51.523221793192754,B,45.88370082451781,B,103.43989829767905,A,-37.7603587653209,D,1
Male,E,41.1982703743774,A,4.0915993008271,E,D,B,-38.44700996760284,C,E,11.94277388433803,30.3444231483151,B,-4.939815851023022,D,-56.11911507470651,D,41.4079119627962,A,0
Male,E,122.13746741566398,C,7.769529444498711,E,A,B,-48.338455247663035,D,E,-12.029447936039245,-7.938188892385792,C,116.4807323949093,B,89.48181886207286,C,-87.88743556457965,B,0
M,D,9.464333935519265,A,-45.61638330595653,D,A,A,-24.063911095779268,B,D,9.36591215647213,-6.693704850618087,C,232.44844189245777,B,-54.6022332323708,D,91.60077308567405,D,0
Female,B,54.19120557591067,D,-47.93172710926466,D,B,C,39.04289400113319,D,B,16.232770480872514,-48.748383703037874,C,-55.80767066874773,B,6.965218658764879,E,-125.99832655115857,E,1
Other,C,193.24036586506895,D,73.59013184054052,C,D,D,106.09519016715572,D,B,3.0137703885344984,-64.23260443016183,D,-84.11072706023974,D,207.62459376236322,A,42.20530954166992,B,1
M,A,-9.89434448341554,B,-139.90907359110898,C,B,D,-11.69560474829187,C,A,-194.94939986111493,105.49561775828364,D,-2.0695195610667785,B,176.8407914589364,D,-60.24094756235123,B,0
Non-binary,A,176.3382077080549,D,15.988796405759645,A,A,A,-29.72172166824798,C,B,-96.94210263370292,-40.07797443725648,B,-301.86909095520167,A,-48.99702126436719,D,24.641932654160286,E,1
Male,E,-176.1855518367122,A,56.98535211390984,D,A,C,-36.475538608337196,E,C,35.76215497853,-60.8995634856966,B,23.305404909374317,B,49.268085112733125,E,12.893398103191208,A,0
Other,E,-77.92778644448035,E,11.37378729501976,C,D,B,29.010398299672254,C,A,142.60059073511033,51.709114428966075,B,4.221491359261086,B,-0.31660017786512473,A,-10.333202238323821,C,1
Other,C,84.96946080909538,D,-195.0043355542411,C,D,B,-21.48507185634933,B,A,114.87732267195543,76.83873834150349,A,-71.44352485152129,C,72.05757815925654,A,9.678123266062165,A,0
F,E,14.427190765909817,A,262.8327705056942,D,E,B,276.8440576747883,E,A,148.95450818126594,4.02657180397202,E,40.39367139873924,B,-28.76011608462519,B,11.558644612930024,E,0
M,B,-172.0530862406171,E,-32.37518493918306,C,B,D,69.04453764986246,B,B,45.9551506442114,55.66019523917395,B,9.948507634416478,B,90.087293557265,C,-86.88588623645079,D,0
Female,D,-123.97060429426328,E,-11.24214788591149,A,B,D,53.53853260740728,A,D,128.47343564857724,21.87979355508687,D,19.516665689506066,B,-94.05716911202194,B,-138.14113163515566,E,1
Other,D,16.22133732655547,A,-18.907278924745157,A,E,E,-85.66637031414942,C,C,320.08077727514865,-28.314791852704495,E,21.03080681859357,C,-142.08384183378067,B,132.8381786697295,C,1
M,B,173.71317373654568,C,24.144719977992274,C,C,C,-140.56837917150162,C,D,-51.1261038850247,-110.79799283256276,D,-99.90818806002726,A,-39.35455818437805,B,53.06969683904988,E,1
M,C,66.47970914141533,E,-62.29649714077732,B,C,B,49.97509855764587,A,C,-156.07708648831567,-94.4868107223116,E,93.58078785179002,C,27.318181594990836,B,32.51374790066353,D,0
M,D,-146.4099148121586,B,-46.11693202478813,E,E,C,-149.1797619353909,D,E,152.92536204518157,203.0193587830503,E,30.11863367479607,E,0.3066614299232761,C,-168.638369421828,C,1
Female,B,-97.35773091865812,E,-161.08386321561545,B,A,B,-195.98910366277426,D,A,-86.86825833946145,-108.23185023010787,B,-36.23865607633907,C,26.68549828866687,A,-77.19545789213662,C,1
Male,D,109.92737103550002,A,120.05582054230896,A,A,A,-68.80119443623812,C,B,-61.96427386320445,-26.458575994831495,C,-130.4721470613351,C,-63.45921737735053,D,-12.164965106119956,E,1
Non-binary,D,30.246670701247357,D,-3.2106412570555194,C,A,C,-16.054915903229798,E,E,-24.16318448104551,-163.23841826162382,A,-0.8189023535547669,A,52.39654264637166,E,22.461215140124544,D,1
Non-binary,C,47.576699548713336,C,65.72825385859514,C,D,D,83.8435674636493,C,B,-136.4649276581227,63.24037566437054,C,-116.0728221648558,D,-198.4799107051882,C,17.18481435442883,A,1
Female,D,15.356885227424183,C,31.449237723514667,C,D,A,-124.30880761131782,E,C,-133.21972526115152,43.327035305805374,D,-132.12983123209025,E,-78.40028919893845,A,173.22913016646385,C,0
M,B,244.65070227532513,C,-46.01642673089657,D,A,C,-29.11740852944063,D,D,-8.516278712851545,-170.0485349638132,E,-16.966677881956997,A,-78.35407768889382,A,38.88757629554048,A,1
Other,C,-124.98968933482826,C,69.5464442980621,A,D,B,66.39021647376842,A,D,103.30108828803068,20.95520694997475,A,28.77945124370228,B,-77.20084431623914,A,-159.99283845383025,B,1
F,D,-159.62261317116554,D,-101.81320814572355,B,D,B,-92.03048993028489,B,E,26.253348104398448,-139.67035241543877,D,-103.08881938129471,C,-74.4302654324543,E,-119.84465077324225,B,1
Other,A,88.1447142244404,D,-152.90700589075587,C,A,B,-223.67431469645197,E,E,69.38323815939282,-78.71307740453621,C,-157.90894033526212,E,-125.50129557680908,B,-27.976378850600952,E,1
M,B,126.82958569433136,A,-8.066664070790543,C,B,D,120.46338488189616,D,B,-97.80394336885935,-176.6755129250457,D,-154.63590165161827,D,-51.62865715868345,D,91.09207025745863,B,1
Other,E,119.03179953749262,E,110.37249270835741,E,D,A,70.57278864905633,C,A,172.69384594803046,-20.2416893267136,C,-36.402132319075264,B,-10.383653286303554,C,-258.63996370044686,E,1
F,C,68.71170020588258,E,-89.01223954749734,E,D,A,-55.97331683685726,A,D,-32.18287695929207,62.5976068949346,A,-255.31358555999034,C,78.70564032789228,D,31.610709734034696,C,0
Female,B,14.094135929836202,D,-48.65466502859343,E,E,E,-54.56992497489058,A,C,-45.41358956101157,68.64432236404713,B,-3.5469140416074794,C,8.971705218048516,E,-75.52119625907191,B,0
M,E,-16.630710908785176,B,-51.78973169612387,E,E,D,44.05071859168978,E,D,8.646671643446474,-57.92248592477451,E,102.04876785152699,E,114.0922188001108,C,-228.20537421914375,A,1
F,B,79.45512401310815,D,117.86300140269196,D,D,C,-34.10438727156558,B,E,101.08087010789694,-12.618381330947054,A,115.96643278365015,A,95.58507896868589,A,-177.73490357404066,D,1
F,B,-52.07120457193405,B,0.24009893172503605,B,C,E,25.50794318017821,B,D,111.84497948651178,0.10584683809949011,B,-14.517337909414707,C,54.619769999379166,B,-16.30089441825755,E,1
M,C,-101.65724710039274,C,82.70481765703617,B,A,C,-6.858830946145457,A,C,157.31514583105485,-16.124178676473505,D,6.723233167477104,B,21.059942136238984,E,-114.17827172634196,D,0
F,A,-101.80862994375066,D,-100.9129790461978,E,B,C,52.00342123829479,A,C,11.695870582500206,107.95033885597792,B,46.38020021621924,A,84.86896176970397,E,33.85268772527886,B,0
Male,A,-175.13521748346247,C,100.38343306386783,A,E,B,134.49186811462687,B,A,194.72849540554017,41.42927973658484,E,256.9093196665259,D,-156.24036836370536,A,34.86559094716827,C,1
Male,E,12.492784146657728,B,-20.175315834975102,D,A,B,-28.727769940861464,D,E,-73.16294592623835,-30.01125625099324,C,-129.94842119467052,B,-28.298668032692316,B,82.32373318469178,A,1
F,B,-59.381477693416365,B,16.966354793032938,B,A,D,-28.339974297134418,E,D,70.15417449266461,46.79203492310695,D,75.6690314923973,B,124.33725185314661,C,-156.001953457593,E,0
M,E,87.89787231471279,D,-69.30076546885056,E,C,D,35.77548021186098,C,E,-56.76230236939725,2.1145251138486056,B,-3.110120775841952,C,-169.11366723377623,D,4.247388343686518,E,0
M,E,-223.99109088310087,A,-133.45759052022743,C,B,C,-44.87416075131874,E,C,-119.10046520903946,48.69814427396408,C,123.30468005854559,C,-57.074030716469984,B,-48.642565405699486,C,0
Non-binary,B,-124.5537824331489,A,-52.79571460577396,B,D,A,-282.7391399165759,E,B,103.35356514429432,-12.031436933529635,D,-169.37229492848604,C,79.73049339459234,C,-113.3779975406019,A,0
Female,C,-71.88842880124785,B,-102.02368317781651,B,A,C,-50.93716231575518,D,C,60.642483631673514,-61.68556839743417,C,-17.067645607290512,C,-119.34181962301118,D,-21.330955342283943,B,0
Non-binary,E,-45.79256878716783,B,105.35072379005453,B,D,C,-33.25461769911854,C,E,-75.50815348940641,119.48714011861024,A,-128.79922484854194,B,61.11669170333903,E,32.08288270003358,E,0
Female,C,16.512439273782046,C,112.128756807987,E,A,C,23.437624888097037,C,D,39.85894947311406,34.99281238470213,E,-121.05236341498617,E,74.07996508794909,E,20.673182939675,B,1
Other,B,-19.180239491820412,C,-111.86717271297779,C,B,B,-231.04829733113212,D,B,107.29130361447076,21.091565797186014,C,3.6961080715726213,A,-180.5691070304801,C,22.924922873328956,B,1
F,B,48.51515485442782,A,6.694118526291621,B,A,C,-8.297919779999733,D,B,-180.95036836174404,91.74112797196172,E,-34.153111555557835,B,-76.8393874218264,D,-115.09114989623615,A,1
Female,B,120.0941453576888,A,-177.18248389540378,E,D,A,-8.779833808017957,B,A,334.6349104872555,-34.36526070617232,C,12.520519975906156,A,-66.33434211000849,A,-81.50741574763953,A,0
Male,B,-1.2410844641747842,E,90.73465914532856,C,C,A,-1.3751526656914304,A,A,-30.447578084806054,221.54593653427958,A,-60.27328859892065,A,119.05958388341955,E,-64.71092200666729,E,0
Non-binary,A,115.42923145900019,A,124.45073986890294,D,A,E,219.88111658285084,D,D,-2.034365896084143,169.04465804123907,A,-66.910442829385,A,58.29285735842409,C,-51.2101600977063,A,0
Female,C,32.41708527236348,B,9.277110094231968,C,A,E,92.58929711454954,D,D,-130.63033696554965,181.60648633646366,D,-15.87651898950704,D,14.782889908548412,D,49.5631588886405,B,1
M,A,24.27424625981406,D,-135.381426359768,A,A,B,-27.993223430123166,A,E,-27.032032168791087,-46.03246536757549,C,-48.60614602855742,A,80.60251321883975,E,132.47261967619,A,0
Female,E,26.828084406534597,D,58.12625915022721,C,A,C,-27.91817051354505,C,D,-31.63767703595259,43.84136466586453,E,-144.20865195290494,E,-87.28734270617929,D,-28.347182257857156,C,0
Other,A,-16.85584949698046,A,-67.06975734130708,E,E,B,-39.15695811407362,D,B,39.9314735967008,-25.082266185924823,E,90.99759922714668,B,-8.773972591235214,C,-74.07043886847569,A,1
Female,E,44.52051179896279,E,-36.24546295284505,D,C,B,-61.0529558894219,D,C,120.47558714941276,113.56659673524811,E,-151.5765859064453,B,80.50746735161549,C,71.53875200510345,D,0
Female,C,65.57050594667056,E,-23.94088773056425,A,C,E,15.32954012300676,C,C,-313.0339284373308,-220.67960876335852,A,137.45340194231045,D,52.48305524600848,D,58.2814122433681,E,0
M,E,143.12833425634523,D,-99.76683799434014,D,A,D,108.35506810320756,A,B,-30.4070235986873,-37.22822912579601,D,-54.885704410009396,C,-59.70991518301538,B,15.127214984595128,C,1
Non-binary,C,-8.955351862125704,B,-122.56938363877804,D,E,C,-95.67378449068731,B,E,75.59032981391162,-20.851960665481116,A,-96.89354411784905,E,87.31754722270557,B,39.65597910712929,A,0
Non-binary,B,-112.70678390997138,A,145.5326209136771,C,A,E,124.77331033647081,B,A,-9.353350347408988,-115.22801766729074,B,-18.03117629620531,C,-67.83448676119784,E,-70.94276579575005,A,0
Male,B,-22.03231796379589,A,-12.199163389263031,D,B,E,-156.462286676846,C,A,21.32090852952055,-71.86198668682495,A,-77.69932077851716,C,-122.94236488881099,A,41.48226546153555,C,0
Other,B,103.60142451945586,B,29.943328256677248,A,A,D,6.3365603698195505,E,B,-10.794119406414003,-63.02845689247965,D,-10.576414294387407,C,-30.17106186743955,D,-2.5338308756763364,D,1
F,D,0.4852901673327601,C,10.947265053549692,D,D,D,-32.16367074782591,A,A,110.96063403178368,209.57247992575344,B,122.34087733393353,E,33.28813477374922,C,70.02606443324983,C,0
Other,A,-51.83081873875991,B,-34.38575414983274,B,A,D,20.177684173037562,C,A,126.15959910237929,1.5112124983614381,D,43.297986121869776,B,-35.28455954430766,D,-132.53989376261222,A,0
F,E,-88.85298957005203,B,106.45968978450966,B,B,D,-141.15737691929758,C,B,-6.840124067817498,38.40843908043805,E,-86.10913624355796,A,-191.50855976598385,A,-66.91865296579759,D,0
M,B,-105.77370431244061,A,-168.6609695127381,E,B,B,62.09619298488774,B,D,-31.710281172816156,47.98460990204978,D,-24.25203370333725,E,-26.42628490842024,A,-141.393787479647,C,0
M,B,29.754163451262382,E,37.35400096762793,C,A,D,31.340283889511305,C,E,-164.93428826024973,114.26974742692212,C,-104.92197755828172,D,-118.1613601710956,A,-10.502949802512852,D,1
F,E,42.64889708011068,B,-37.329356318651854,D,D,E,8.462196232123857,C,E,0.8377685504153737,-2.6230194523832213,C,-23.43598427115248,B,-22.032613989686592,B,19.15257039195783,E,0
Non-binary,E,35.25735028539733,C,2.4747104922766603,B,B,A,116.34227364735293,D,D,-79.00744760486248,-54.190248664174476,A,-1.5777655419583245,A,61.43994241789701,B,-122.13284506449892,C,0
M,D,-131.38980851503385,A,-241.03757364248648,E,A,A,-68.1775875283727,A,E,67.83068908515952,-246.53218041118657,B,30.106220612368418,D,65.14307194605,A,-88.09689879805677,E,0
Female,E,129.08086177330597,E,-15.411516060006175,E,A,E,172.4386039179006,E,E,135.91998459910116,-190.74890025189936,E,77.84201315138621,B,5.0869477181382345,C,-38.31686874917034,E,1
Other,D,-52.98337810549286,B,-71.19077004601085,E,A,E,-256.12066924194505,C,B,244.07417692325618,-17.749662940871673,E,-127.10321935588613,B,12.616360746043334,A,161.55671448034357,C,0
Female,D,-251.64374073642742,C,-103.9135300285253,C,D,D,-136.70045947488643,D,B,-98.09893741951701,11.952683869685584,E,-197.55515029773508,B,-58.9509395570052,E,-26.14634107415792,B,0
Other,E,63.593847683614094,B,32.23685149174293,C,E,B,-3.4420114187451114,E,D,6.2674764162113465,-12.234867509987668,A,-33.62991898209436,A,-245.88125407537814,D,-77.93223248446361,B,0
F,C,-105.09358690545618,B,-99.41121548679199,C,C,C,103.975788210516,C,C,14.144724588751522,-114.35288813963149,B,29.962472629194387,E,72.73202120486825,A,-62.17713554744147,D,0
M,C,99.55785151081213,D,27.955802054663685,B,A,E,-157.5220584040917,A,D,70.34481846977914,67.52665120787654,A,-18.315812866020458,D,-32.1070201230578,A,-242.64032707961167,C,1
