AgeGroup,ethnicity,military,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
26-35,Black,Non-Veteran,Christian,B,C,A,C,-31.506017307004353,179.4762183300543,C,-40.64920854866572,178.31188131993198,D,A,1
26-35,Asian,No,None,E,A,E,D,101.43982577371212,88.09946192795833,B,-52.72475551710667,103.22322925953821,C,B,1
26-35,Other,Non-Veteran,None,C,A,E,D,2.3688376973873226,59.25846283441534,E,31.255725456609174,112.53925258909871,B,E,1
26-35,Asian,Veteran,Muslim,C,A,C,D,126.56197453291809,107.04473627642317,B,-5.900901079688265,-1.9033506083852596,E,C,1
65+,White,Non-Veteran,Jewish,D,C,C,E,-124.48691802693199,117.67283938016718,C,84.47266686646361,-66.47941893822681,C,D,0
65+,White,Yes,Christian,D,A,C,A,-50.94703410822532,23.45276229105361,B,3.0015091360937567,96.00754622133756,E,A,0
18-25,Other,No,Hindu,C,E,D,D,-27.541694927888617,161.30321989182553,A,105.11636962079311,-49.93027291883037,D,A,0
51-65,White,Yes,Muslim,A,B,D,E,-319.07413232567023,26.98418041360696,C,-12.643285305886206,58.55698212834495,A,E,1
26-35,Hispanic,No,Christian,D,B,E,D,54.326127880175726,0.6515963573093354,D,127.3083118817042,-90.49881088064744,B,E,0
18-25,Hispanic,Non-Veteran,None,B,B,E,C,-170.42847764139762,-97.31684049951204,D,-17.16043829376515,-27.153894224394936,B,B,0
65+,White,Non-Veteran,Jewish,A,D,C,C,-6.780057897608022,103.46497654671887,D,-1.0017228907838764,215.46495905969385,C,A,0
51-65,Asian,No,Christian,D,C,E,D,-45.794214395220564,-88.52461166471669,B,-39.61155470020541,-150.0223252897083,D,D,0
65+,Hispanic,Non-Veteran,Christian,C,E,D,D,218.46744073716224,10.76888256439023,E,-18.924777605210853,-100.66597240686608,E,A,0
26-35,Black,Veteran,Other,C,C,B,E,-92.25400999896299,202.6099061967813,B,26.554611242208164,-85.02379260204293,C,D,0
65+,Asian,Non-Veteran,Hindu,D,C,A,B,39.51866841328425,-54.46134033028108,B,5.32292822157671,-89.43026213786526,D,A,1
51-65,Black,No,Buddhist,D,C,C,D,-71.93409333235758,176.78005475537026,A,-133.41366663872247,46.83111860220221,E,E,0
26-35,Black,Non-Veteran,None,B,A,C,E,80.97575138237421,-53.43122674757439,D,-83.48395522066382,-57.094989228582364,A,A,1
36-50,Other,Non-Veteran,Muslim,A,C,E,C,236.46115751183743,102.45737899801048,B,-81.26354957203567,-4.746109964965137,A,D,0
26-35,African American,No,Muslim,C,C,D,E,47.468340071757,181.70057041791458,A,134.4938809290952,88.21312997839847,D,B,1
36-50,White,No,Jewish,C,E,A,B,70.3235123738648,4.277176202329066,C,-107.05763837297306,-46.51435840558053,C,B,0
36-50,Hispanic,Veteran,Buddhist,B,D,A,B,13.228312714120019,-85.58612583065192,B,73.67569866401392,108.05952029087888,D,B,1
65+,Black,No,Buddhist,D,D,D,D,-58.43190679330961,-59.77129887922699,A,9.526766503841207,-179.71330465889696,D,B,1
36-50,African American,Veteran,Hindu,A,E,B,D,4.011476234613706,143.06178671374397,A,39.11377068701001,306.0324099766095,A,D,0
51-65,Black,Non-Veteran,Hindu,D,C,D,C,-177.95073100694913,104.05839587305262,E,35.838555923499285,99.6189580053555,C,B,0
65+,Other,Non-Veteran,Muslim,A,B,B,A,-65.3289638933961,-161.91373238259848,E,78.81666908282571,37.50932273597258,B,B,0
65+,Black,Non-Veteran,Christian,D,D,A,A,43.966426455288826,38.33916206733775,D,-55.837594855939265,22.564958959794545,D,A,0
51-65,Asian,No,None,C,E,C,A,6.462194943673877,37.93129358879241,D,114.02643275608322,-77.44031405279254,B,B,0
65+,Asian,Non-Veteran,Jewish,A,E,B,B,222.39407845828777,67.44517726255265,D,3.535159331699652,-23.559575118165167,E,A,0
51-65,Hispanic,Yes,None,E,C,E,D,55.49073264195604,94.94168943179034,D,40.35848571664474,135.72044588765164,C,A,0
36-50,Other,Yes,None,E,A,A,A,128.40944984546715,94.57469047524285,C,-72.27134856087609,-137.32264929694017,C,B,0
36-50,White,Yes,Hindu,C,C,B,E,82.47678098959746,44.378100033461514,B,-5.93411430007231,-39.02865062229819,D,D,0
18-25,Asian,Non-Veteran,Other,B,E,D,D,-63.56647643753329,-72.22960593419458,C,-190.66203312097946,-40.08243646201034,A,C,1
65+,African American,Non-Veteran,Buddhist,E,A,A,D,-55.33403157250215,-152.465615388131,C,59.24197297656505,-170.64059177434817,A,C,0
65+,Black,Yes,Other,B,C,E,E,45.044061577416876,29.287125334436027,B,-50.01257377358284,-31.700446270882054,B,B,0
65+,African American,Non-Veteran,None,E,B,C,C,-65.58323375761816,-175.59400864855274,E,-163.1787285783509,78.00714004495289,C,A,0
18-25,African American,Veteran,Other,A,B,B,A,82.24117200848751,115.26789772180905,C,-31.403242251395714,32.60685040180955,C,B,0
18-25,Hispanic,Veteran,Muslim,E,B,B,B,-1.4701090811524968,26.850689331363796,D,-18.584162355412808,-112.45448267296321,C,D,0
18-25,Other,Veteran,Christian,D,C,D,B,-52.27396543723641,289.54090420304215,B,-1.73962307157417,-238.38418868993764,D,B,1
65+,Hispanic,No,Christian,B,B,E,D,-19.058411457870534,-72.03123707605741,C,46.33084616231913,59.63331016930661,B,D,0
26-35,Hispanic,Veteran,Muslim,C,B,B,B,76.35104838821792,57.08952086976882,D,-217.7352435753188,-5.2899427444572185,D,A,1
36-50,African American,No,Jewish,D,D,C,D,23.37518838807848,-28.248834080396655,D,-186.7362287704605,64.14356533508563,A,D,1
51-65,African American,Veteran,None,C,B,D,D,305.87549816568026,155.6684400098195,E,34.40315265570558,26.775585382437743,B,E,0
26-35,African American,No,Christian,B,C,E,C,24.75278801656945,-81.73431185883598,D,-179.3163241954397,-84.62751663540804,E,D,0
65+,Black,Veteran,None,A,D,C,C,262.43107038437546,-175.07776569858723,A,-63.95540917973494,91.41786953947198,D,E,0
18-25,White,Non-Veteran,Muslim,E,C,C,A,-8.983720859147043,-186.00221750696943,B,115.74148660387662,61.85788145827321,E,C,1
51-65,African American,Non-Veteran,Buddhist,A,E,A,E,-210.68437691866185,17.642391924278986,E,126.18387945399722,175.0356811356422,C,A,1
51-65,Asian,Yes,Christian,D,B,D,C,119.84717483837568,-145.213502873628,D,-24.394396892623167,5.345534423762898,D,C,1
36-50,Other,Yes,Hindu,E,C,D,D,63.33595151784542,0.06398573990604961,D,135.87777729618404,-78.70393993624225,A,D,0
26-35,Hispanic,Yes,Muslim,B,D,E,B,-90.92579115060957,-205.24927392354115,A,-62.85314464894436,92.65071354407509,C,A,1
18-25,Asian,Yes,None,A,A,A,A,20.96570669261503,31.775183372990163,A,-168.36772798574063,-55.499137165917254,B,B,0
18-25,Asian,Yes,Jewish,D,D,D,C,49.075673778742065,-0.42746436439794766,B,-61.43591630782358,-63.86562963745679,A,C,0
65+,White,Veteran,None,A,E,A,E,207.9938384642151,228.61869641561842,A,97.32972431177147,-120.54392902830303,C,D,0
65+,Black,Yes,Buddhist,D,A,E,E,22.734722595343694,-0.5839718035536245,C,92.64770242656527,-215.64473420161798,B,A,0
51-65,Hispanic,No,Other,E,E,D,C,109.17086258229315,28.64185011846083,A,-92.92408724426113,-17.946600926873273,B,E,1
51-65,Other,Yes,Hindu,D,D,C,A,141.02607967992947,-4.293603866791183,B,34.80741293937783,9.862312155693152,B,C,0
65+,Other,Veteran,Jewish,B,C,E,E,36.335936523875475,-19.306802411368075,C,-94.11243397974152,42.241923029816384,C,E,1
18-25,Hispanic,Non-Veteran,Jewish,A,A,A,A,-143.61022865656204,-75.37674627579156,D,-68.39273187614535,-16.863624586334016,B,E,0
36-50,Hispanic,No,Other,E,E,A,C,93.41759454787537,-2.7692593602006403,A,-189.5282172824369,-63.681082884424775,C,A,1
51-65,White,No,Jewish,B,B,C,C,-139.84228503982686,-27.63044098479792,D,-164.99561777560768,5.398950884277298,B,A,1
26-35,Hispanic,No,None,C,D,E,C,127.73551241290298,63.54117887819989,D,12.085110171826182,68.68633418330312,A,A,0
51-65,Asian,No,Buddhist,A,D,D,E,-146.28492027771284,68.5242687138049,D,69.25243010273645,35.699491858195024,C,A,0
18-25,Asian,Veteran,Christian,A,E,A,B,40.74388283138543,-22.716763618872452,E,242.51729020770708,-28.819849092270577,A,B,1
26-35,Asian,No,Buddhist,A,E,A,D,23.66110953017799,114.23061684255585,B,84.2909967041033,-22.390044803384438,D,A,1
51-65,Hispanic,Veteran,Other,B,B,B,D,73.21768379069489,-50.32167946848667,E,-70.91334173881555,66.99329356107455,A,E,1
26-35,Black,No,Muslim,E,E,B,B,-41.2422181462826,118.00466740803745,C,165.65159266226271,17.688439748666084,C,E,1
26-35,Other,No,Buddhist,B,D,B,D,-13.848320807479213,-23.29634079956505,A,-32.34446755614301,47.50023724674755,C,A,0
65+,African American,Non-Veteran,Buddhist,A,B,E,A,65.3486460962906,88.81608598735357,B,82.01017109550688,-99.50135238363211,B,A,0
65+,Other,Non-Veteran,Other,A,C,C,B,-58.7650080199129,-203.7613753679105,A,39.676188620617374,98.54622923371534,B,C,1
36-50,Asian,Non-Veteran,Buddhist,E,A,C,B,-161.85726021516805,-60.014513817155944,A,71.2961385460053,-130.58695031426396,E,B,0
65+,Asian,Yes,Jewish,E,A,C,B,-109.80905173715382,-179.90207534437047,B,-277.11970631196976,-29.36392479474183,E,C,1
65+,White,Yes,Jewish,C,E,A,E,-16.59512065930991,26.015507555749494,A,132.3492178908794,131.5313014991705,A,C,1
51-65,African American,No,Other,C,C,E,C,7.983339382767849,-0.49555767357350455,C,32.03882313945808,212.3633314087867,B,A,0
26-35,Other,No,None,D,B,D,C,202.58216982558733,-18.368829618010192,E,3.5312544653388027,-91.37560735226157,A,C,1
18-25,Hispanic,Non-Veteran,Christian,C,A,D,C,-89.73045020784674,9.589329510117947,B,-99.12003964636096,16.285815850554066,D,C,1
26-35,Other,No,Muslim,A,C,D,E,-10.488053434625872,97.30477666215327,E,-12.571690236492048,-32.8456788540284,A,B,0
