age_range,country,Veteran,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
36-50,Germany,Yes,Heterosexual,-9.96606891868183,C,E,48.40557185322996,-146.17008281567385,D,108.3070301938293,E,-31.63711045112641,B,A,A,147.34375006593498,C,155.48609194596358,B,B,1
65+,Other,Non-Veteran,Bisexual,-15.475980133660899,A,C,-7.026052367811856,16.208273711631264,B,-88.63903880403102,A,-97.35622552614052,B,E,C,-37.13279008740407,C,-13.532427573272724,D,E,1
26-35,China,No,Heterosexual,-37.79755866284958,E,A,-194.76386945066335,64.68418783854611,D,-7.047074270324353,B,89.50391202858162,C,D,D,-53.02332422674261,D,-103.48319559034633,B,E,0
26-35,US,No,Bisexual,174.5772481949979,D,C,-222.26244961625005,102.29906400460295,D,22.45650093842675,D,29.743273049107678,E,A,E,-151.4096126779799,B,8.417516085065841,E,E,0
36-50,Germany,Yes,Homosexual,-215.95398539252503,D,A,62.16873500415188,68.47681077538529,A,116.68190009164636,B,152.37031689576247,B,D,E,-28.978409075577233,D,-174.8309760166928,A,E,0
65+,India,Non-Veteran,Bisexual,196.36392904904787,A,B,-1.6123484381370987,42.099790690177045,B,-38.11915519928973,A,154.77779313664624,C,D,C,52.34508108763632,A,52.3183534424976,C,E,1
51-65,China,Veteran,Bisexual,-69.93801111775801,E,D,-18.416454599033834,97.54080425008863,B,76.42521457970696,A,-86.73675353526377,E,E,A,-100.59597531488768,A,-213.50726023605057,D,D,0
65+,Germany,Non-Veteran,Heterosexual,-93.98332190210684,A,E,120.0100336375183,137.79034629501922,D,-60.7349314854719,E,-21.1202487748058,E,C,D,155.94486192914948,E,87.22666501096798,E,B,0
26-35,US,Veteran,Bisexual,23.13717759350964,B,A,-12.135673325867522,86.44623542301215,E,86.65555805323424,A,17.773381953084822,D,B,C,-133.81165371137428,E,-173.59118116959672,E,B,0
51-65,Germany,Non-Veteran,Other,166.91476916553788,A,E,1.7693199268400315,25.158114712640522,D,115.50092995506857,C,-101.15526136028193,B,B,C,3.9470170202408097,E,-80.57209275111241,A,A,0
26-35,Other,Non-Veteran,Bisexual,52.94347598176754,A,B,21.094164229509015,157.98251490460314,A,32.95308617084286,C,-12.379821616998314,C,D,B,-85.8648636727219,D,-184.68858318427039,E,A,1
36-50,Germany,Yes,Other,245.41589919758465,C,D,-2.192008099823982,-166.75178427985867,A,-69.56396818427541,B,20.052311656439052,C,B,B,-42.974539123037594,E,-97.69829554953344,E,B,1
51-65,Germany,Yes,Bisexual,-52.45993878269167,C,D,-202.78053985556735,-43.353299245959334,A,109.58433784556017,D,117.68546431680973,A,D,A,-68.11671059215858,E,-51.78997317605002,B,B,1
26-35,Brazil,No,Other,91.87063326766761,B,C,-110.25339095060782,-11.06134390124483,C,-105.13200709077695,A,-165.67755417360843,D,E,A,23.19290240482147,E,-58.10669658610724,D,B,0
36-50,Germany,Veteran,Heterosexual,363.2667640573544,C,E,-117.28722610160737,206.52162493398336,E,53.71896289917135,C,107.99388283496172,A,D,E,-144.87180650204263,D,29.44819199103918,D,A,0
26-35,Mexico,Non-Veteran,Other,180.67687970693197,D,B,-44.310658931829025,-71.96530078793035,E,72.67026646489585,A,46.04114031250307,E,D,D,-103.89853767825304,E,-99.93021348154397,D,B,1
18-25,Mexico,No,Other,57.865628078582255,C,E,-33.91965219857037,-86.0161602030319,B,14.724770127358164,A,78.88803489041086,A,A,A,-88.44621382094762,D,157.74116204232243,C,C,1
26-35,Mexico,Non-Veteran,Bisexual,-121.21476041219998,A,C,3.176723596876943,-20.067934076115368,B,201.39751126543973,E,-201.54567061472653,E,C,A,207.96747273574047,E,90.26971695489108,D,A,1
65+,Brazil,Non-Veteran,Heterosexual,129.3781386183509,B,D,201.9270600080511,96.7897697693777,C,-67.17822718565235,C,-70.38678693456559,B,A,C,-69.07959751525414,D,-76.33158484495361,B,A,1
18-25,Brazil,No,Bisexual,-155.99733653396513,B,D,-14.365348419347097,107.99082973685302,A,-85.68488201185579,E,141.0103173300108,E,D,A,11.323345840892703,C,-144.620717414208,D,D,1
26-35,Germany,Veteran,Bisexual,27.05711243099287,C,D,13.636510646650443,119.10414930361743,C,-178.07257067718078,A,114.73889769447791,C,A,E,-290.052633936243,C,171.93053763432243,B,D,1
18-25,Mexico,Yes,Other,6.39983198037849,A,C,158.02423470751484,84.78548997135036,A,150.6225642251565,C,7.8298899875145755,D,B,E,-129.76997488726838,E,-33.05465297198742,B,C,0
26-35,India,Veteran,Bisexual,58.59536398530154,C,B,160.80024196934642,-151.07378686313356,E,7.755113539690771,B,-37.181494639346376,C,B,B,-11.695623534406947,A,-106.60416052643453,E,E,0
65+,China,No,Bisexual,-44.61574560650219,A,C,-11.82897735410826,-77.06836603748776,C,8.60267725415681,D,-29.480626020858125,B,C,B,103.09359967075767,D,120.09761707073959,E,C,1
26-35,India,Non-Veteran,Heterosexual,-134.87607787389865,A,A,-88.53960345861907,-152.4682509886264,E,-130.70911544057304,C,119.1438630127775,B,C,B,-139.80176516271572,C,-66.1662772446071,B,C,1
65+,Brazil,Yes,Other,-24.99688626201256,A,B,-96.50340032360222,117.86120792526367,B,73.41215952750709,D,37.88673423535842,C,A,D,125.07807361183909,D,121.40638056029039,E,E,0
36-50,Brazil,Veteran,Other,11.109381529008724,E,C,-65.08814919703136,16.378575127986828,D,74.30225058351932,D,70.90744472249474,A,C,E,-49.01202838412013,B,-43.656069257876304,C,C,1
65+,Germany,Veteran,Homosexual,63.306566561550625,D,A,187.29925990453435,-96.00843130972055,B,145.54866485723167,B,-158.3265616619681,D,A,A,136.67118158573018,B,-17.32043555117795,C,E,0
65+,UK,No,Homosexual,8.41450339575914,D,C,46.98763912464996,34.46879807580145,B,86.2349901892935,C,149.55846428779898,E,A,E,113.48842131844323,E,-126.18189602766681,E,C,0
51-65,China,Yes,Homosexual,-61.89309580480368,A,A,74.22994358102513,210.58711868929896,E,52.18981859922515,B,62.45057087334952,E,E,B,-18.395450879922024,E,-43.152275270969625,E,E,1
26-35,China,No,Bisexual,-44.88648809460761,E,C,61.73470260772732,-183.10246076583692,A,62.67820946824575,C,-43.52757943031061,D,E,E,19.382146214801555,B,-225.3001822058176,E,D,0
26-35,Mexico,No,Other,79.43793322360351,E,C,14.803505451480822,-141.34794584234282,E,-59.360999092810744,E,-211.3858110264082,E,E,B,-132.11262186759964,D,-160.49716701456526,C,C,1
26-35,Other,Yes,Homosexual,-65.20771554659852,E,D,20.883916202215662,-77.1397648558858,A,65.32205389303365,B,-47.201454885132186,C,B,C,42.441276304776125,E,32.971130113213725,B,A,1
26-35,Brazil,Yes,Other,119.74947302382294,A,D,57.12799501552116,23.340464975727773,C,-138.35652742999963,A,123.21684157925856,E,B,B,-23.345205945541142,D,40.31138278953205,D,B,0
51-65,Brazil,No,Heterosexual,26.570633219472107,C,D,-90.68704139092823,-60.83324102567471,C,-40.146534085824264,A,52.25830724955674,C,B,D,115.08419632879348,A,-75.30793899273405,B,B,0
65+,Other,No,Bisexual,-122.65602777589626,E,E,185.3474815140414,10.978854324189909,D,-11.253998055287717,B,118.30471065845356,B,A,A,184.911192686309,C,-16.146934008462935,E,A,0
65+,Brazil,Veteran,Bisexual,-78.01923098845393,B,D,-60.05843725330677,-65.96970613832137,B,-115.21991820972978,C,43.05373908594688,D,C,D,59.36985375561853,C,-85.24155105992948,B,A,1
51-65,US,Veteran,Bisexual,-42.78215098762394,D,C,18.88301514125749,72.2373934798053,C,77.51887144352139,B,75.41399721971749,B,B,E,-3.7131469231497993,B,140.46060133843903,A,C,0
65+,US,Yes,Other,93.36317634695591,A,C,-26.18158394080344,-124.67640794270969,D,222.57759235967947,B,51.151344108327514,E,D,C,-134.84573174023402,B,82.10669307632953,E,B,0
51-65,Brazil,No,Bisexual,-249.30784905399562,D,C,-172.90743701984817,51.730734876868645,E,13.538839394324103,C,173.08331258671708,D,D,D,-70.54577159488075,E,-18.767282199868994,B,B,0
51-65,Germany,No,Other,65.18096001802977,C,E,-98.83444235357207,142.12848281958944,D,-16.120605815269123,D,-18.24700868189094,E,B,A,-88.91359974994693,D,-60.99196661009494,E,A,0
65+,US,Veteran,Bisexual,16.828358809262852,D,A,-207.88376697348653,36.81778405452921,A,-43.09408277119552,B,-14.172525383089226,B,A,B,36.790801530930906,E,76.6292254154848,C,D,1
36-50,Other,No,Heterosexual,-98.20350816509637,D,D,-153.2454138126222,-75.71649981614972,B,-24.460790159962837,C,49.68273063702327,A,C,A,121.16100017104363,C,22.923811508111132,D,A,0
65+,Other,No,Homosexual,65.82198489567564,C,C,-34.579822542101354,84.51893194260248,A,-14.964408603931679,A,5.3839544526321585,D,E,E,15.26491275748126,C,29.472546917471337,B,A,1
65+,China,Non-Veteran,Bisexual,50.44064871149415,D,E,-67.43822055453221,55.38547433627908,C,51.106328740416515,C,-64.0016791451827,D,C,A,211.77290215053824,B,-122.26462182700371,E,B,0
26-35,China,No,Homosexual,-122.06591359635091,B,E,-89.03938026158774,-7.999548754525609,A,-34.58408790844364,B,-185.08032485946254,D,C,D,-37.60387831677029,D,-10.829077262021286,A,B,0
18-25,India,Non-Veteran,Bisexual,-299.3397783034298,E,A,-144.80341677555947,19.334853386450728,D,-45.3519324743541,B,122.38025590466479,D,A,B,29.27371234040072,D,68.92289261119836,A,C,0
26-35,Other,Non-Veteran,Bisexual,-125.21908974528067,C,B,85.59575764386572,17.492868319459543,E,-21.21386484022539,A,171.71543586077414,C,D,B,-61.019796344605304,D,127.2470835233308,C,A,0
51-65,Germany,No,Homosexual,-137.32289427216082,A,E,31.567247318194514,134.86273962722996,E,147.5006690414515,E,53.94764982666674,B,D,A,-5.929911739287403,D,93.56899578151072,C,D,0
36-50,China,Veteran,Bisexual,-104.84092794997153,E,A,152.46820000142296,-66.63432086039683,E,-120.24272407034971,E,40.80814976235509,E,E,D,94.65402814164379,A,45.048561078673075,A,A,1
65+,Other,Non-Veteran,Bisexual,-95.92035587319026,A,B,42.60983792165988,18.099344453147033,A,127.71313271487182,C,-219.64123968775007,B,B,E,-1.006516777012079,C,33.179325861947575,A,C,1
65+,India,Non-Veteran,Heterosexual,-42.31269234917278,A,C,-89.77829154757887,6.567600111663367,D,-35.61310025374409,E,73.92823948459065,B,E,A,148.15225110316769,E,10.787009651750628,B,D,1
26-35,Germany,Non-Veteran,Homosexual,-45.314132337958426,B,A,-159.25192659631995,-48.62315187437229,C,25.692605143487114,E,-176.55737316172008,D,C,D,-10.101821299492402,D,175.0555508833436,A,A,0
18-25,Other,No,Homosexual,-75.1733149441459,A,A,-62.204117939303394,148.4733028133429,E,-56.195214559730644,D,0.02102143550087816,E,E,B,-121.88261396813954,D,72.6307042090739,E,E,1
18-25,Germany,Non-Veteran,Other,21.23152287923152,C,C,-59.91692495121359,46.91392163989274,D,78.33015246215726,D,-83.22728661672947,D,B,A,-24.45148055777982,D,163.41032095943265,C,D,1
51-65,India,No,Bisexual,-37.39933749259238,D,C,105.6254507830484,11.880242192497285,C,-260.98202160291055,A,230.20293139033998,B,D,D,8.85068408798336,B,333.74951256718447,B,B,1
65+,Brazil,No,Other,-157.87061517815576,A,C,-143.11251346855138,104.66646294623108,E,2.3105669571009,E,20.169885810186567,B,D,C,-62.61282659577755,C,34.05608670332458,B,C,0
18-25,Germany,Non-Veteran,Heterosexual,113.56856356045444,B,C,176.89430720382288,-53.44251159488738,E,69.31937774422666,C,61.39703516798777,D,E,B,100.2814454985753,C,-122.45490609541282,D,B,1
65+,Brazil,Yes,Bisexual,-85.97776761678499,A,A,-89.21911877379051,-91.38786788454996,C,-122.58456354418377,D,37.275779593672716,B,A,D,53.742754463599184,C,124.56608911293321,C,E,1
65+,Other,No,Bisexual,-101.288765919953,E,E,-155.59281534094487,-8.657076849655981,C,-98.35507217011612,C,154.9618623543125,D,E,E,-103.93430207103353,B,-168.99052187570197,E,C,0
51-65,Other,Veteran,Other,79.30266112476299,C,B,-78.74491623673107,-14.63569224274276,B,-31.50832725343174,D,30.50587438975677,C,A,D,47.35168087391352,A,71.01528165870708,D,D,1
65+,China,Non-Veteran,Other,-80.88499535992034,A,D,-48.42106907968432,-136.9147380215079,B,108.13720742097179,B,77.89506456237004,A,D,E,61.40527094750543,C,103.75388898320104,A,E,0
26-35,UK,Non-Veteran,Other,39.76805962112317,C,D,-254.4419852396195,-48.20696745496113,E,16.400191043087293,E,-43.7957141420797,E,C,E,67.24350966138877,C,91.97482800740178,C,B,0
36-50,India,No,Heterosexual,74.8175485050437,C,A,-9.410788977960381,101.78162414708379,C,110.1042744728399,C,43.97386760121608,E,B,D,88.97529379825077,E,-324.1956145328703,B,A,1
18-25,India,No,Other,284.1428465083763,E,E,24.032151946284458,79.0140150809398,C,-150.20074795544818,B,-73.46228099676343,E,B,E,61.746088108395945,E,-29.85466911043951,C,B,0
26-35,India,Non-Veteran,Homosexual,96.79952440864155,E,A,250.8130923545334,-57.03997846352659,A,-42.50908376958215,D,-48.170671000643,D,C,D,2.0110635154279155,A,4.2136245289184515,C,A,0
18-25,Mexico,Veteran,Heterosexual,-59.137801182648694,B,B,-67.76904933535754,-29.460336908287037,E,-51.17095478788683,C,-133.2615977339585,B,D,C,48.236900720795774,C,-137.03886132237238,D,D,0
51-65,Germany,No,Homosexual,132.81721666150895,B,D,-154.88807152725113,40.25467816090499,A,162.4393664440002,B,-39.3412355765661,B,D,C,-94.56828147244892,C,-151.82923984773325,B,E,1
18-25,Brazil,Veteran,Heterosexual,-10.024128202842595,D,D,-78.48920237373476,50.27313043454603,B,41.2127154596942,C,-66.6969132044065,E,B,A,144.96697688500487,B,-104.75880805157563,C,D,1
18-25,US,Yes,Other,-149.69113830155734,C,B,14.11545803238648,16.03363257342974,C,-152.20451090289842,B,47.6384785965144,C,B,B,148.82736199211598,D,31.61294783110761,E,E,0
26-35,India,Yes,Heterosexual,-128.64067592359515,C,C,-55.40849940161156,-136.18905627459904,C,57.56219388240166,D,111.15574688937637,E,A,A,11.924823880274804,D,-1.3220815996344941,D,D,1
26-35,India,Yes,Homosexual,51.8948888328571,C,B,-24.05450655408317,-119.45059459820794,E,43.54289418666707,B,-56.06713547612719,C,C,D,-31.603547596812398,B,87.52244458582963,D,D,1
51-65,Germany,Non-Veteran,Homosexual,17.84929371929057,A,A,-139.28841361195967,156.65847802393702,A,30.350010367721715,C,112.48540150212074,A,D,C,-62.19444612713257,E,10.475729106278875,D,C,0
65+,Other,Non-Veteran,Heterosexual,-64.54808134927632,B,A,-209.6937972379857,25.00971653366516,B,-23.648907537445517,C,96.44986255952566,B,B,C,11.210437916704711,A,-50.17706919342771,A,A,0
18-25,UK,Veteran,Bisexual,-27.929222151325998,A,D,-136.21724158521772,-63.33589904805268,A,-189.67083423320156,D,160.5395599899204,D,E,A,-86.18009289350252,A,-113.95270828840947,B,D,1
51-65,Other,Non-Veteran,Homosexual,14.683701389164295,E,A,80.11537900767792,188.62299258766734,D,81.36293524628056,A,-171.64814431239498,A,C,D,177.75336730448356,B,-47.39910997935621,E,D,1
26-35,US,Non-Veteran,Heterosexual,46.33940904541459,E,E,-107.83371823625163,-151.33711411059224,E,126.62424486850878,E,80.77067464205935,D,C,D,-86.78441965931472,B,266.4644332010229,A,D,0
18-25,Brazil,Non-Veteran,Other,49.44509815600559,D,B,78.33011125121556,117.23394367392277,C,-112.8285557446447,D,-41.43452170823969,A,B,C,-52.8258025481667,B,-32.87122400784158,E,A,0
18-25,US,No,Bisexual,-206.3212437109004,D,A,3.241789939607023,8.220880077573968,E,-32.194538196967066,B,-104.9611269365827,C,A,D,15.43211881518897,C,-41.34613656072483,B,B,1
65+,Other,Yes,Heterosexual,64.96032985096336,C,D,44.78894956861927,151.33294629786874,A,45.24901408967807,E,-51.11261943278477,D,E,B,0.22865673539560752,E,101.67566729748042,D,D,1
51-65,Brazil,Veteran,Other,63.831207097062105,B,C,141.70453742572516,15.764933364660278,E,-104.6593400493927,A,-27.007172547924878,B,E,E,-54.27989332557587,C,-70.38806101945987,D,D,1
26-35,China,No,Heterosexual,-27.930983936194565,D,A,-29.387385263933652,122.48039124070394,D,56.485681541997366,C,-29.100951025946337,D,B,A,-149.8088008424934,D,-182.82898798223667,A,A,1
51-65,Other,Yes,Homosexual,-262.29393317647566,A,B,76.43379477926227,97.11466498382613,A,190.57732308961639,B,-176.9155103300454,C,A,C,65.77546599212471,D,-31.45255547746094,B,B,1
26-35,Germany,Yes,Homosexual,-35.626259689807796,A,D,-80.08424351807277,152.89638745831107,B,-34.912272066344634,D,-171.667848431358,A,E,A,-175.33069408621486,A,-75.95071372281679,B,B,0
65+,US,Non-Veteran,Other,6.133165516751187,B,E,-116.39545251197458,-51.63820721194548,E,-52.547071284060344,E,-132.06904157767605,A,C,C,23.750253857762193,A,95.62402255785031,B,E,0
51-65,UK,Yes,Homosexual,90.57495037760745,E,D,106.05143467123546,170.0670305420164,A,144.34301928092472,E,75.15979174078602,A,D,E,39.73622042692749,B,53.88167936749602,E,E,1
18-25,Other,Non-Veteran,Homosexual,-96.65757538630288,B,C,-71.48685094360879,-135.3913262624698,E,-99.84184537784502,A,-107.70558622774284,C,E,C,101.2104946474698,E,-71.89084662542994,C,E,1
36-50,Germany,Veteran,Other,31.86603466015056,D,A,-69.87510258640708,-38.544795882775695,C,-304.7252488781503,A,-16.672434127461983,D,C,D,-20.42977021921388,D,12.098810923440688,D,C,0
36-50,Mexico,Veteran,Homosexual,-80.76725599006099,B,B,1.1702937655999899,-18.170867563801778,C,105.9093813800561,C,-35.133198718224314,E,E,E,30.796163825226653,D,-28.569547730389544,B,E,1
65+,Other,No,Other,32.69786146689724,A,A,-28.201055229051757,171.6069636668849,E,-64.44713629537941,A,-164.20325780047932,B,A,D,91.40610061763638,E,-16.50807573469713,E,D,1
36-50,Brazil,No,Heterosexual,-132.18306728727123,E,D,-73.1881528359257,-31.693777416524817,D,86.16251234877646,E,-15.85440982015822,D,D,D,-187.6710575676861,B,2.730553908326951,E,E,1
26-35,Brazil,Veteran,Homosexual,88.18602922604057,D,E,127.49623335205737,-27.519041062130288,D,130.0321384781193,C,-30.527649194127314,E,B,C,107.09074836581635,B,-28.832512489192062,B,A,0
65+,Mexico,Non-Veteran,Bisexual,-107.01247674524623,B,B,0.766891812835926,243.41215147087308,A,-83.02376142197248,D,-11.155420593045093,B,D,C,32.65574020031641,C,97.90257701410734,D,B,0
36-50,UK,Yes,Other,154.13942266857106,D,A,173.8698764950152,101.74075368444524,A,33.20110740402356,D,9.594789854984146,D,E,C,-61.686308122476916,B,71.4498653584066,B,E,1
51-65,Other,Veteran,Bisexual,-30.60627712509834,C,C,12.072993061665564,24.395343893170196,E,-126.80322616761337,E,104.93515696474218,A,E,E,19.01214178740083,C,68.87694654058646,E,C,1
65+,UK,Veteran,Homosexual,56.87789029489323,C,B,-85.18758307496623,-42.50922635485267,C,69.44982748167273,C,6.028503557766466,D,B,A,-6.075670482730561,B,-55.47300872435631,D,A,0
65+,Brazil,Non-Veteran,Bisexual,-44.85928066316046,A,A,12.194230719342285,134.6028897484969,A,9.301073369171926,B,92.98903824799524,D,A,E,58.48013630196153,E,-47.81501376951212,A,C,0
36-50,Brazil,Non-Veteran,Bisexual,-49.49296283079615,E,A,56.077741453953436,-72.35554542390925,D,-45.512755035309176,B,109.60072372240496,D,C,A,-12.118811812000265,E,-0.19497473389811396,B,E,1
26-35,US,No,Other,-36.709484417089904,C,C,-9.399715762759744,-23.34269400719187,A,-74.7828686541052,C,59.28319704070165,A,A,E,-45.2799500211844,B,82.79369926397769,D,C,0
65+,Other,Yes,Heterosexual,-153.78579108777956,E,C,170.01379274721177,57.59767919894729,D,-103.52183077650396,D,61.53625723069116,B,A,E,27.542292498147724,A,-146.5485640486448,E,E,1
65+,Brazil,No,Other,-28.816002283328956,B,A,138.38385969943687,240.64818792958383,B,-71.47310456816143,E,165.162041983297,B,E,B,126.25871151787429,E,-46.48029700711898,A,D,1
36-50,Brazil,Veteran,Other,119.43986835521252,E,A,6.935279667134829,-116.3193088230978,A,-110.93635923831324,A,-10.790295533252017,A,D,A,-80.55107031081211,A,-34.14109905996239,C,A,0
