Religion,ethnic_group,AGE,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
None,African American,54,Yes,42.92027087028264,C,C,D,-69.24830105403159,7.973869088956256,137.76631493189913,-38.09232903083892,E,13.08573028898789,78.53897479300235,C,C,C,C,-56.514411830958935,1
Other,White,18,Veteran,-22.686905990323186,D,A,A,158.0795600011705,79.0462823007587,-155.21064989046604,-0.42370531399712763,E,113.86022619949647,-143.6827247793321,C,C,E,A,7.085460700912775,1
Hindu,African American,19,Yes,44.008704782500125,A,E,C,-19.88125446771933,-3.026777006821838,0.0012441116366514807,145.90022179231576,A,87.54237044672159,-19.256430335536265,A,D,E,A,94.64230384103817,0
Christian,Black,18,No,131.59424150072888,C,C,A,25.021491555970048,-254.38764256585813,26.50392872222141,133.83680244606217,A,-42.90761776551836,-43.49104301148744,C,C,D,B,179.42026903073284,1
Muslim,White,37,Veteran,25.689086219407116,D,B,B,3.2461871265817765,-70.01618857860052,-22.10261997346076,-0.9245392606996009,D,-131.35686761167565,58.8644487709132,B,C,C,B,38.39592030612315,1
Muslim,Other,19,Veteran,13.218279921925133,C,D,C,-43.608758859793845,153.7039785964378,-227.16833119120855,14.69117975568681,B,-15.475326551669527,-12.762431928208978,E,C,A,B,5.6084126513292025,1
Other,Other,38,Non-Veteran,-225.6847879413935,B,E,B,68.05606222849399,20.661740340672207,173.22032262727566,161.08224487988622,C,-58.51875075118485,5.687551366404446,B,B,D,B,8.042060399973916,0
None,Asian,31,No,-32.977297678275576,E,A,A,78.03613041783092,69.42176481089413,57.3971552325087,-33.342356126950264,A,-46.54029394962233,49.46666851978486,A,D,B,C,46.317293750385545,0
Jewish,African American,72,Non-Veteran,110.9707382687152,E,C,B,-115.94067816062777,-16.96995566448063,-139.25786391968916,-24.1552482825116,D,64.6087134906709,114.8060755155525,B,E,E,D,26.940746429909744,0
Other,Black,58,Non-Veteran,-45.428502813247505,E,C,E,53.63704076373475,252.27581277432307,-139.43824246434914,-12.46768985172197,E,31.4277334834215,20.530872413981623,C,E,E,E,67.40707333326303,0
Hindu,Asian,43,No,42.87017805811244,A,C,D,-17.188332002691602,97.15121729219149,82.75428514103046,59.345549185113036,E,-57.48882703527401,0.6861609170540277,B,D,D,C,-33.79721387154572,0
Muslim,Black,27,Veteran,-72.84349681114436,A,D,B,44.02081310853454,-40.27854055603315,202.17200864063201,-82.9611493120351,C,214.2922079074931,150.14695007089225,E,C,D,D,-22.85258159389693,0
Buddhist,Asian,79,No,-83.60026839448976,B,C,B,67.52858199185717,-62.2463408075974,45.30881583106153,-92.1200232863356,E,-54.0052821924045,147.13803968134434,C,B,A,B,91.53534301823714,0
None,Other,43,Non-Veteran,-42.40787138433755,D,E,E,-12.447328605937766,31.17923099702483,140.6317757916318,146.2344136017764,C,60.573910881897554,34.934225741158556,D,E,E,E,43.92921199117751,1
Buddhist,Black,47,Non-Veteran,49.241326611364784,D,B,C,-67.57671353347313,-37.90709586623446,142.22734961570097,13.127636372556664,A,-106.21585314103751,33.31953585222163,C,E,A,D,22.41774401063585,0
Buddhist,Other,32,No,-101.28438899990562,E,C,E,-55.8665151960229,17.357688656621704,107.26707141645495,130.35628983455382,C,194.44811799342045,-55.9488650715908,E,A,B,B,188.48464755362374,0
Buddhist,Hispanic,27,Non-Veteran,3.684083292783522,E,D,E,-62.15172323229653,-170.56660979359614,-0.6433173945263039,64.71589247801359,D,-2.5918627023437457,-32.79710354864972,A,D,A,C,-43.886871211159,0
Other,White,59,Non-Veteran,-86.41721144510845,C,C,B,-23.816881844100465,-179.31092307243338,26.270460154348136,143.442778830327,D,96.7167403854616,-0.3231158688879324,D,A,A,D,-15.307956565653322,1
Muslim,White,59,Non-Veteran,-289.4142939755372,B,E,B,-26.67211840125952,165.2425757972932,-22.128200339864986,22.220116131299005,E,95.75971820156794,-13.868768050743386,D,D,B,C,-77.35064522816434,0
Other,Other,22,Non-Veteran,-34.839214381289565,B,D,D,62.19068182485936,56.30870774787754,-48.500333419787076,224.47417705194738,E,33.64912250220879,81.66582305107585,C,C,D,B,2.772923459663394,0
Christian,African American,27,Veteran,-50.2474298386677,D,E,C,5.059912475330747,-329.6685913781384,153.44817337583564,-91.70285851951301,C,66.44547675049176,28.064808914626827,E,E,D,A,-24.55790470130694,0
Muslim,African American,73,Veteran,108.64529670236047,E,A,B,22.195828157341076,16.90162092778675,31.22053362632239,-85.75448387582001,C,112.46476566155144,-18.24587037578745,C,D,A,E,-7.906805113224041,1
Hindu,Asian,33,No,33.02189907375414,A,A,D,-106.1632530548549,113.1208819081802,11.756006795306885,-108.53730104130759,A,-274.30962909189793,14.545751631604462,E,A,B,A,131.24747544110951,1
Other,Asian,35,No,-74.724411268617,A,E,B,-15.680821078776313,100.8714086985407,25.30027274024695,-66.29505083413338,D,-92.75520287237964,-24.092419715823024,E,C,C,C,42.19577829691261,1
Hindu,White,75,No,-201.19910162835453,E,A,D,-167.66730862730864,-38.027581450791956,-48.90275443764221,-10.168460543999181,A,101.97023266790029,-201.10246410590844,D,E,B,D,23.91780299204119,0
Christian,Asian,49,Yes,22.132199990513936,C,B,B,4.551040756666973,-17.808793346981012,-45.10857384393761,-274.05236935520446,A,-89.31446589868673,-292.2048874476852,D,B,B,B,-7.491363820702925,0
Hindu,White,27,Veteran,66.74350879419715,A,D,C,-9.39378356762133,-34.913794917863825,-270.522128172782,123.82090836567114,A,-1.103271296928184,-37.62346365370342,D,B,C,C,-65.13161580132419,1
Muslim,Hispanic,20,No,86.71590549804465,D,E,E,88.02276228220268,139.1939087034881,-54.10707319520592,-42.64688702050141,A,5.246420363895724,21.800470974918255,B,A,D,C,52.79773309515572,0
Buddhist,Black,20,No,71.36405304753697,C,C,B,32.02965487485744,-211.17874423645424,-64.7407968391152,-153.5255366564581,E,236.89817975237904,171.2570070731857,C,E,E,A,63.18540648142028,0
Muslim,Black,58,No,-183.48530020937324,C,C,E,5.61917490507813,-276.8836242901999,205.83286697858614,-79.74347131502466,D,-49.29691550890559,-190.06995274052633,D,B,D,C,-58.9497165853376,1
Other,Black,30,Non-Veteran,-248.90865488918666,C,B,D,134.5466280989989,-110.97685586047066,78.09889510885331,-53.54753957847753,A,-145.45485174331873,-239.39991011420275,B,D,E,D,43.24644540107821,1
Other,Hispanic,30,Veteran,82.80398013786031,D,D,D,70.8988324085771,-23.246863638930698,-68.40769406182763,-98.4991676895315,B,-40.80637149026618,100.62288433896799,B,A,A,D,16.337797576864833,0
Muslim,Black,45,Non-Veteran,145.3167783727861,A,C,B,-45.758552766568414,-50.66335154042698,-137.56331819113154,-68.52973048635617,E,27.907202899851285,17.294390089218904,C,A,E,A,-0.32335137333955505,1
Buddhist,Hispanic,30,Yes,124.49164661430719,C,A,D,15.027517196715582,21.235158974709027,-281.19305630060694,-5.088266536972149,A,64.42004476950318,4.652555130094606,D,B,E,E,156.17014514755056,1
Muslim,Asian,20,Veteran,-107.05384869646493,C,D,E,110.31250913166299,-1.691351570818492,-152.66784850654733,-60.1466399314589,D,-58.496269976293,213.18286463342852,E,A,B,D,167.7382542558721,0
Christian,African American,36,Yes,87.09139525149934,B,D,B,-131.16172651535777,55.18018740594709,-109.0933840006439,-52.64871203268399,D,-146.43556151761325,3.3636425444788025,A,D,D,B,-70.62175829960628,0
Hindu,White,62,Yes,10.207763590046591,E,C,D,75.60858980377644,-223.161144149371,143.41220331082684,180.62451067860735,C,-4.951751107004953,55.402679754317965,D,E,B,C,-41.88794666766892,0
Hindu,African American,48,Veteran,-88.10307109875346,B,B,C,-8.919562869809633,49.196439646694536,-27.713027195076727,-5.989194407222866,D,-107.8012120218514,-25.414700897829245,D,D,B,C,54.682520524744916,1
Christian,Black,44,Non-Veteran,-83.67654211377885,D,B,D,171.67338893536538,116.1166232364629,-186.35320067893073,50.194490698694395,C,13.748562014674631,152.13528636214832,C,E,E,C,238.27527735897593,1
Muslim,Hispanic,33,Veteran,-36.811393906481335,C,E,A,64.78985361912379,42.94830402474684,-114.6757058553505,-65.68734851092672,D,-103.66785873709694,67.15445491322049,D,B,E,C,-2.270170086229404,1
Other,Other,34,No,32.8245110766141,E,B,E,77.23476106897388,-11.786674557077802,48.53758096765817,150.5562984461507,D,58.295211461035976,-67.74825258375455,A,E,C,C,128.7693285091344,0
Buddhist,Other,21,No,8.272943777928857,C,D,D,-83.7560941734779,-55.96448786361814,115.03282680104682,-19.30713512302292,C,-19.566190227704347,140.4217116349647,D,B,D,A,-37.454095475351245,0
Jewish,Asian,52,Non-Veteran,119.39519989374128,B,D,D,100.59866655625811,-72.06831536186358,133.5288893364636,-192.8656505956839,D,128.61146777226696,-127.91184546670267,E,C,C,B,26.570339925152258,1
Buddhist,Other,50,Yes,44.47880762783881,C,A,B,-15.271754017882225,66.75218952888726,90.91247533309829,-62.687261203464004,D,92.44128976031433,-48.15812492991992,D,D,C,E,-164.11848173661065,1
None,Asian,19,Yes,4.602935806847945,B,E,B,97.91902807368584,64.70415250381446,74.40535965183027,196.8882954446908,A,-58.982924191797395,63.223428946680635,C,D,E,E,77.477929540228,1
Christian,Hispanic,72,Non-Veteran,62.832927113194316,C,C,E,-152.18823721519564,-41.240084706162676,169.30046140919018,26.467027787605424,E,-93.2721550815375,-87.65783722410681,E,D,E,B,-88.78382702949143,1
Hindu,Hispanic,43,Veteran,74.5695088595857,D,C,A,71.95901298636625,-38.73599195578819,-4.931620910978235,-167.33531639299244,E,-83.183536923585,176.00541697455307,C,B,A,D,59.991364354206425,1
Buddhist,Asian,63,Veteran,-56.28230096952647,D,A,C,53.99203911857017,43.28288442176401,-176.6615666626642,-84.48457070186431,A,42.20963969218579,-39.2986150711162,C,A,A,D,78.29337018383966,1
Other,Asian,30,Veteran,-77.39934358514633,E,A,C,-52.619410653823515,154.76553769892428,-309.55225698939216,73.02239455221638,D,-30.498655346669285,-111.56291942996775,B,B,C,E,-20.582466451374547,1
Jewish,Asian,62,Yes,-63.38074312505451,D,C,D,63.57170108220503,99.48932307119624,28.050806819156517,19.864141975781948,E,87.89921349641607,15.610471414052865,B,C,A,B,75.9872827307855,0
None,Black,23,Non-Veteran,181.25732963353607,C,A,C,15.679488622775912,100.69532830169905,40.3419793694956,69.89900451356685,C,137.89215223745023,78.06187340290097,D,B,E,D,26.306453337501516,0
Buddhist,Black,39,No,-39.400885230807646,B,A,B,109.2470500710175,-24.236498495214303,33.07247421534611,16.769466572489073,C,-35.14168944999779,80.28534699896241,B,E,E,B,-125.57164531934417,1
None,Asian,37,Non-Veteran,35.16255023788178,C,B,E,-34.32742154708898,148.79228040014726,46.06597276246415,5.876934552567552,B,-57.33768062189507,-75.97298164474257,E,A,B,A,134.1513962807187,1
None,African American,42,No,12.543221206756838,D,A,A,-47.96649844385069,12.26333378211024,135.9166424025674,-14.137295694971591,D,88.50749216729277,-92.70239741948441,B,B,C,D,9.744611930309313,0
Hindu,Other,36,Veteran,-87.31564082619333,E,E,B,-134.91001440009208,-56.01436881803933,8.611158540318243,50.278716422844205,B,-50.50139660516963,-216.88930070671523,B,E,A,E,-24.507664620753438,0
Muslim,Other,62,Veteran,-160.19534201066642,D,E,A,226.41468581742816,-27.551287993074265,-57.840843776138996,-16.96345756341053,D,168.27488327455998,-42.20934880893313,B,A,E,A,-7.575661728928526,1
Hindu,Hispanic,68,Yes,24.850946518900415,D,E,E,-31.377520285719523,-31.207202255044848,-62.15943752418934,-17.540655510086925,E,63.69345323951479,28.654261155391907,D,C,B,E,-73.12415554750022,1
Other,Black,45,Yes,23.28508728989694,D,B,E,3.5508223439189,10.40495239387363,-33.58360018557889,17.823026927905737,C,158.87303714670014,16.076039551540887,E,E,C,A,242.79152919601668,1
Jewish,African American,25,Yes,24.71365480713831,B,E,B,96.83504515008696,-55.762471879968665,53.17603346019039,30.542422422749276,C,71.09478700669105,-50.67126274807205,E,D,B,C,-28.28349885067361,0
Muslim,Other,29,Non-Veteran,-64.72674066595823,B,D,A,-28.572336347130634,37.49037862449683,-119.96109665922975,-50.343616395881305,E,95.59725529072757,92.98559739964206,A,D,E,E,-37.00434738956198,1
Buddhist,African American,78,Yes,36.769690329013955,A,E,A,66.25534241347172,-139.37487340554375,124.95557067761108,89.57984008454632,B,-89.75393621943556,36.42161210109622,B,B,A,B,11.041962373084399,1
Hindu,White,42,Veteran,-147.762357582243,C,D,D,185.65603599398116,-127.34705332147288,23.031260503911668,7.199932063841086,D,-88.14655282096994,-90.42964015754852,C,D,E,B,44.208388596545,1
Christian,White,53,Non-Veteran,-129.4070205162184,C,D,A,-37.91084335468513,-43.33138402491099,42.839381140683216,-191.05175736419866,B,40.32626535873246,114.56652536770578,D,E,C,B,89.29312420508492,1
Muslim,White,19,Yes,-36.72388387820818,E,B,C,125.04438352083822,-127.82436520675193,215.50832272014637,39.33282777494448,C,87.0662865148438,63.66953554492281,B,B,B,D,-67.26862424055359,0
Jewish,Other,67,No,1.795740629269231,E,B,E,47.30812375576679,106.84066209809575,-16.904713915992208,-21.661555630615016,B,41.567808062094386,57.26500288807047,C,B,C,D,-77.13455012167219,0
Jewish,Black,73,Yes,-76.33519254531615,E,A,E,-64.20598104207642,-50.00215986574978,80.01765681370298,-136.00414661616105,E,223.9051626340046,6.355261184694852,D,C,D,D,-54.90172088855817,0
Christian,Other,44,Veteran,-0.6729168775451104,C,D,B,-38.72137327161372,58.274070884658336,-76.30792866294551,-78.62478492763913,A,-174.7920370627227,80.6184592174147,C,A,A,A,95.98005183641847,0
Christian,Hispanic,22,No,6.161346196543352,B,C,A,-64.05836340175756,-77.2864056681662,194.08006615379853,-161.36214887548383,B,-80.52544378476615,-119.95028334823527,B,D,E,D,134.3745781874793,1
Buddhist,White,35,No,-26.660457975830603,B,C,E,-6.39003307763784,103.65295860701598,52.03134215165657,101.55419229357821,A,86.47023271473427,22.226817343068994,E,C,A,B,-62.16239637913608,1
Buddhist,White,61,No,5.579946224663425,B,D,E,195.9013279692794,120.78556758421645,-52.391843288172836,0.94511832696873,C,-0.47688586998091836,-12.535493488503413,B,C,B,B,105.93985212227454,0
Buddhist,White,65,Non-Veteran,-98.94037697475898,C,C,C,259.33450949837373,128.41286357480976,-51.426967153419376,-39.41714744498333,B,51.84362546748103,-189.37210601880915,C,B,D,E,-45.975404131299754,1
None,Black,49,Veteran,67.49394124422084,D,B,B,72.05683429543306,-1.0315226795696133,-168.38268472667093,194.25507765450322,E,-88.9845430611595,13.138208757107867,E,B,C,B,-99.71790304912828,0
Hindu,Asian,74,Yes,31.011081144953344,B,C,E,-29.91481989726747,33.861605906008315,-87.12942507957592,-63.85570541981364,E,-55.61047827082694,-101.59964490218265,D,C,D,C,-50.502075124148526,0
Muslim,African American,40,Veteran,27.447405441159123,C,A,C,-194.2116554042752,17.872427141780257,34.495972206201955,65.69422118685787,E,44.24348002687746,0.5973929193975707,C,E,E,D,-159.44734473677414,1
Other,White,57,No,-106.40004783472168,A,E,B,-63.47114495812621,30.21740010776798,48.57328654924672,92.3032572652267,C,82.34826823294331,105.88589239600546,A,A,C,B,-18.689923446388214,0
Jewish,Other,62,Non-Veteran,-22.88303123960658,D,E,C,43.453739238684605,3.756424092292195,-40.86690758658899,4.727353098863288,C,76.85872900163515,-130.90254676961425,B,E,C,A,152.99210437291794,0
Hindu,Asian,61,No,164.76870480150117,B,E,B,-64.87848701002028,52.59930515565038,-50.83244848443651,-171.2154808748877,A,-22.030924874741338,-32.25896424263627,A,A,D,D,-127.33054958089672,1
Buddhist,White,52,No,-81.41364289558192,B,A,B,-91.12082846091324,-66.94846870047769,-24.922618373790907,-134.14480564404164,D,54.89688995717311,-157.710257687546,E,E,D,D,87.46909753707995,1
Jewish,White,75,No,106.29552163021339,A,E,E,36.64022432141662,-102.27331954695322,75.87763889753145,-82.52966010920449,D,-90.30906945808064,-41.350753478356154,D,D,E,D,-95.05268343088476,0
Other,Other,26,No,37.4574552682677,B,D,D,-190.4723866769054,-38.074659382845674,-203.3150644247434,117.41930355040341,C,120.44585105714532,-59.890789817615676,B,E,C,B,-65.32075895867557,1
Muslim,Other,64,No,95.75959285095537,E,B,D,-295.8946232078446,-24.43813294577959,-114.43674496491099,190.87030078204364,D,-192.76816528751544,-91.57151576626757,D,C,B,E,78.49251276810485,1
Other,Other,71,Non-Veteran,-194.40172624483785,E,E,A,-72.5270427087923,-67.33993308720777,81.25593283200729,-207.71381752527577,D,-128.468117888198,165.6739388248053,D,D,D,C,-88.32467761051508,1
Muslim,Hispanic,22,No,-54.58305204190446,B,B,A,-14.904157974695462,4.07710768625728,-14.955582158705628,-30.145198978098346,B,-79.40250062360955,-153.91184923193478,C,C,C,B,93.96107390302272,0
Muslim,Asian,55,Non-Veteran,-14.03850841851283,B,E,A,65.69603109427527,157.32059934196096,-25.085425237153654,143.3773570812486,E,37.53360209473067,24.741977078549557,A,B,B,A,-106.93769658912353,0
Jewish,African American,35,No,-82.2633761736909,B,B,C,-4.318505146990656,-75.09975545234464,191.3152107534091,11.7210539002525,A,-122.18985981627377,-57.11647033862624,E,C,D,E,-34.27766123715307,0
Jewish,Black,33,Non-Veteran,155.93340751002884,B,B,E,38.228991905648186,156.3741248229304,101.40813111148486,-55.43126532292568,D,101.16060815248618,40.76109133853511,C,E,E,D,190.2076393138002,1
None,African American,58,Non-Veteran,3.537098019466003,B,A,D,0.7103127281401974,-19.74272263391136,15.653521144123413,67.20324952815855,C,-190.8996279866801,-78.10361475029873,B,D,D,D,-81.98091889511079,0
Buddhist,African American,67,Yes,179.41531113188333,E,C,B,63.1402879904127,77.16363357089332,160.02101107210456,-16.633878867222048,D,29.82264462502026,-54.0387527052019,E,E,E,B,33.488988621708245,0
None,White,74,No,-167.97592507962352,C,A,E,89.51558507196692,88.42531348801315,-73.83936673885417,144.4015802728228,D,5.1552785711064955,-143.70468858170514,E,B,D,A,-30.705036727932196,1
Jewish,African American,55,No,22.01268244719818,E,E,B,-165.72141966077268,92.48972523913564,-37.63187464397218,54.08840906281945,C,77.26771399173987,21.222252375194888,D,D,D,E,61.43103115056482,0
Jewish,Other,56,No,-151.0317569331245,C,E,E,-9.734841791132185,48.77336742380652,156.91693203715062,-147.64655006914435,D,131.44849036789,188.28420567862742,D,B,B,B,242.9489420586083,1
Jewish,Black,25,Veteran,148.97633195617277,D,D,B,-27.1652298919976,74.67065620314858,-44.884427337341926,2.457816184784896,A,-23.819912144378797,-59.228658056878736,B,C,A,C,-50.44930604985246,1
Buddhist,African American,72,No,-160.82903930246056,E,E,C,-28.466895913386132,174.99894302153564,-111.31116658354807,28.63971347289918,E,-53.55627214975244,135.75321556344647,E,B,C,D,-20.290214621220162,0
Buddhist,Hispanic,30,Yes,106.26709623151291,D,D,D,-34.78762005798457,142.42039732639057,66.86270874553301,28.295819810869986,A,193.77060720214706,93.79408383126483,D,A,B,B,41.3836168832717,0
Christian,White,73,Yes,180.17893990159274,E,A,E,79.588876441366,77.96550289274916,-17.24991982146037,-226.49875198925744,B,-192.6414716010509,-7.366749884607097,A,D,D,C,-71.99846233058396,0
Jewish,Other,24,Veteran,12.30503891181459,D,A,C,-98.14058046964442,14.320414342423737,-22.570955163868316,62.43029120203579,B,12.869365378809173,-6.1667554705592975,A,B,B,D,-33.69273394898922,0
None,Black,41,No,-79.94963168484293,E,A,C,-12.440189351732009,-8.645350327327687,67.29983447598421,-34.08769218074081,A,-166.31196271400742,68.6222041878213,C,A,C,A,-102.73010336091542,1
None,White,70,Non-Veteran,54.56556339168945,A,A,A,-102.78946528569104,44.288621568467825,5.406530345603964,-132.72873803683663,E,90.8288997885821,18.316226840552673,C,C,E,C,109.84285877988891,1
Muslim,Black,59,Veteran,-70.4547064370557,D,D,C,-12.298139567059927,-58.370686917592664,-121.42344246292909,-49.47100765623843,B,96.44765119151995,136.66919291659505,D,D,D,A,61.34052540313137,0
Muslim,African American,59,No,7.640582295401005,D,C,C,86.03184588020837,54.84665135771001,69.46003719254689,-52.575263487547765,B,73.27941098196972,46.22648375910357,A,A,E,A,-138.22707382717266,0
None,Black,72,Yes,36.616972060802524,C,D,E,-0.6546539321336123,16.46817112965086,4.909206616955033,215.27957721667494,E,77.09767639087278,103.15394072128585,B,C,C,C,-128.00393731235204,0
None,White,50,No,16.837567478760413,A,E,E,108.3811169329486,78.45036342622808,-6.15867896460807,-92.67396423675375,C,-43.467641433458056,18.34450706452742,D,B,D,C,-224.13455687756,0
Jewish,Other,20,No,33.21436920762745,A,D,E,-88.11255872351467,81.75767069973689,65.2207397582807,117.6405640305928,C,-106.28759562490457,-41.95919283296588,A,B,E,E,157.9964711945023,1
Jewish,White,63,Non-Veteran,-250.41737894328745,C,E,E,215.73547147799962,-23.69028787096306,-106.21452932508164,-1.994803467022159,C,13.837803320703642,157.83580290158602,E,C,C,E,104.46319005376259,0
None,Asian,68,Yes,80.87792243903947,A,D,C,-41.13816845955661,-151.60117173632025,111.96742858013955,279.93035122194823,A,-5.7190012060737345,-91.34140342256231,E,E,B,E,76.52516027827131,1
Christian,African American,70,Non-Veteran,-23.372909696163784,C,B,E,55.456845626706716,-33.715010723476915,56.18070509018065,-91.89849511742305,E,-11.529362874992364,-72.40272757279897,A,A,C,E,-55.05658649843471,0
Hindu,White,32,Veteran,-30.614780713965683,C,D,D,-89.9274926279025,-80.14504674080804,63.835999040445934,-47.371093844930826,A,42.96051321544665,-42.36584253606341,B,B,B,A,41.20473591267822,1
Other,White,46,Yes,-216.5260444209522,A,A,C,-101.13108433522918,-89.39709842457225,-60.450444383231826,-1.8021255199324657,E,13.878693908592718,-23.80363970761586,E,D,B,A,9.906977734325848,1
Muslim,African American,36,No,-3.4307757629936098,B,B,D,-85.6117984156556,-99.2279660277846,-112.25504413004303,-119.89268003539001,B,-48.287803234186,50.94604361856621,C,B,D,C,206.90124007467597,0
