disability,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Mental,Non-Veteran,D,D,-247.8266589679223,E,108.9537024769155,-39.34362831594815,-4.338891518971463,-22.24548745328365,B,D,44.85502503699625,A,-37.39372740522765,B,-3.2079091722506106,C,E,17.04718971867435,B,1
Physical,No,E,D,-24.337863357232717,A,-24.512875837989597,-36.76599403773702,192.2302839742304,-51.78031865030701,E,D,-125.4513381685947,C,-56.02171917360421,B,28.67757839376896,A,D,47.64159189708504,E,0
Mental,Yes,E,B,94.74692492321024,B,-100.07549544815693,78.8418975383526,-41.96610479317296,133.48695422331897,B,E,12.317850568546033,E,-163.6620831112651,E,141.36702894546156,C,C,-6.862687284635263,A,0
No,Veteran,E,D,96.61529949317014,C,26.476166080799402,7.158416363878101,78.67711728441037,55.768275909942425,D,D,45.682684954312656,C,-64.59106523736243,E,109.49665918868435,D,B,-27.32013778309945,C,0
Yes,Yes,B,A,-35.15061973268175,D,-30.755273122197167,175.76268522555546,20.925170494693994,5.686029247182049,B,D,50.31903343170173,E,19.79756901427206,A,-91.44087117975435,D,E,-164.09892540774229,B,0
Both,No,A,B,-90.25779074658664,E,-123.00034083449812,-101.88962311929066,121.96922445680707,-92.54345646562948,E,E,-204.41396765468315,A,-174.3305151833313,D,117.98535657125879,D,E,-84.0694156328307,E,0
Physical,No,C,D,68.65703570543039,C,-78.44604862379136,28.497501669310665,-5.025675152163769,72.2054395780496,A,E,-102.86587988641843,B,126.5781736456947,B,17.737920606562767,E,B,-7.278825480889747,A,1
Both,Veteran,C,C,-13.517661219297578,B,197.31799516596948,-53.684458585402986,-73.58892255863961,-5.589278801204196,D,B,-151.23044450983727,A,202.41083215524048,B,-54.636223812957674,B,E,2.3728743744115386,C,0
Yes,No,A,B,15.577639301375193,B,66.30825298485148,333.7378722651945,83.2816348710427,29.672029587185232,A,C,-109.62585373613103,C,96.94172862630217,C,34.09169784653754,D,D,-139.38202439482438,B,0
Both,No,B,D,15.511263774784437,A,44.14290687128864,120.06742435625455,152.40018433417467,-156.8878676083443,A,B,-26.03119469318663,B,-14.974538661119174,C,-7.601772603044819,E,A,102.39689579802753,D,0
Both,Veteran,E,B,-22.402347328893377,D,178.5492625069187,-152.3021036283419,-195.55866431936684,-172.3024200477754,A,B,32.23034217250067,C,-78.35079985775246,C,131.6295529942418,E,D,15.450305573826098,C,1
Mental,No,A,A,-95.36900873049309,D,59.74751528967882,199.31118586873407,111.12449052801074,-243.8173525392531,C,E,126.83491187841287,A,-144.17844391924297,B,99.56371209584694,B,B,63.814284888523886,A,0
No,No,D,E,-151.0563497325869,D,-65.84464756454868,-319.26322362949367,-47.71207461838461,82.11214177042979,B,E,-71.05740514118361,E,-130.48678862609677,E,-163.98951767870216,A,D,50.566025608881795,E,0
None,No,D,A,-50.21620803665607,B,49.444018237945365,89.65793641221372,-64.73466010812623,-93.51685037524582,B,D,-9.145233271292309,C,137.88744354094527,D,32.72716649874919,C,C,-134.21205804160522,C,1
No,Non-Veteran,D,A,78.41824404336906,C,-224.93107015783966,-104.32762856656996,165.5964993139156,7.216123130979837,E,D,-112.13947588093185,C,145.50743340198576,D,-43.37996873372479,E,A,-100.39205515484144,C,1
Mental,Veteran,D,C,114.88420893323101,B,42.25397156084424,132.71587040289035,104.59627647123719,-120.70066294523983,D,C,110.34239312566736,B,-11.103508991861863,B,-73.07574766231987,C,B,-32.9204232357592,E,0
No,No,B,C,79.6709624861394,C,-71.55033656594576,115.79612086898004,46.07862485844264,-30.517028579320964,B,B,95.2965805819199,A,-58.53431569476078,E,125.86904710522356,C,C,-115.04450379475936,B,0
Both,Yes,E,C,88.18414490979247,E,-140.30464455981507,-251.577496023709,-111.4335352148753,54.50409429918206,A,D,-32.91149702743317,D,173.40085486448083,C,65.16699172189543,D,A,-61.068997195794935,C,0
None,Non-Veteran,D,D,39.700495769371415,C,-114.60402562568545,174.67197209232913,149.31698426456674,-79.42344344982007,D,D,-32.20961379289226,A,-57.342868188875705,B,-77.59548574335146,C,D,43.588911943941625,C,0
Mental,Veteran,A,C,-61.32383806895404,A,-119.928325413644,32.88911666758717,-118.58378314152762,-107.21193745869917,D,A,-17.315778000057293,E,-14.070431178649079,B,30.645656129581518,E,D,37.79359641568807,D,1
No,No,D,E,-15.992158579376541,C,-1.9509209473876146,70.78606171511088,-10.703626725854646,99.03796541955143,E,E,5.276902145871644,E,-231.48307797672575,E,43.30571458372738,A,A,69.15500222571976,B,1
No,Yes,A,A,-93.7030577000799,E,-44.874810455901326,-259.73327201286855,19.744905843876566,14.546369045946916,E,B,163.16627215416645,E,49.08251121168692,B,57.693161013016045,D,E,49.871316721444394,E,1
None,Veteran,E,A,-33.713010800195526,A,-27.669593853388314,-28.51417721795066,-73.52521765603782,-19.058794360806438,D,D,-136.83105716313156,A,55.73070812931391,A,24.456540991521752,C,C,-149.99494323480334,B,1
Both,Non-Veteran,D,C,-124.14362224925722,B,-56.111667737918516,65.65337066420734,360.9026913995557,-80.85440837465066,A,D,33.224312296115045,C,203.92565565111062,A,-12.690519162919095,D,A,-98.3747275407273,A,0
Yes,Veteran,A,A,66.23485599709619,E,-149.4474086308091,74.9107632030288,-100.64213524357437,92.28617028307497,D,A,-69.59007738968877,E,97.15277669452311,A,-145.036024965572,A,A,39.80161251938184,E,0
Yes,No,D,E,88.81866618462794,C,5.3537368340531595,32.292571314547246,103.52686160366832,104.8628453486376,C,C,19.8363738496367,B,118.32701415474295,C,-62.9272155732269,E,B,19.263580726081997,E,0
Mental,No,D,B,115.44463917598502,B,-135.08607880997815,-101.30011575765954,52.62117668178503,-57.46449987742075,E,E,35.59724546008393,D,43.40341759299185,D,68.68479992957127,E,D,-100.09816036151963,C,0
Physical,No,A,C,-152.48589942018666,C,-172.03416193257397,135.7076651683854,167.66009021778748,118.85098308212802,A,E,65.78561727519129,D,142.82439727741826,A,129.48818435722796,E,A,7.5490103867561125,E,0
None,Veteran,E,E,-89.23267364888167,D,14.400864337254307,-10.095886230724647,178.63264765901496,142.7702000982062,E,E,15.800939614208708,C,87.02011437039238,C,-198.27308316563662,D,D,-115.83795522713238,C,0
Both,Non-Veteran,C,C,12.880114485703537,E,-51.29272136712402,-138.9822369594522,49.811062823810396,-68.00489513177389,B,E,106.72120901774638,B,-31.994941122058094,B,86.25914841887574,A,E,98.65492653599955,E,1
No,No,E,D,105.9469047829547,A,-42.04043457946964,-194.63305193744384,-113.63658923809075,-45.25517650778955,A,C,-12.348736262707694,C,-29.992127680579383,E,-85.55573194848478,D,D,-99.92444675290247,D,1
Both,Veteran,B,A,-8.697162153019418,B,118.41928843715563,46.48126311913578,137.0282152164502,-96.99306888576089,E,E,25.59170198821962,C,-102.82609638317626,D,5.895034300893854,D,C,15.738860262635828,E,0
Mental,Veteran,C,D,-10.52295790485025,B,-85.97427910276603,-155.92770430071818,-82.7738550135238,81.69906279884668,E,A,-139.16440500018743,D,-29.138378530330762,B,-119.59010863805194,C,E,31.271899591722903,D,1
Both,Non-Veteran,B,B,-73.37866998925226,E,-3.053837260901556,38.4718129544699,157.5572633362613,-33.898459489856634,C,B,-36.23544677454887,A,-294.7222701888776,B,-156.04623097218814,D,E,-183.5095236429235,A,1
Both,Yes,A,E,194.35087747021157,C,73.89583569569886,26.910210457668537,13.331528501646542,199.72106702908692,A,E,-60.24333394108701,E,-181.7105060590075,E,92.1401862413539,D,A,-102.48410681227116,A,1
Yes,No,C,E,74.49117949249948,C,172.51490694708284,-122.79093329662389,-34.51484918568132,273.7084707345651,E,E,-110.52725090741549,B,-12.397100995002447,D,-86.44807187082706,D,E,-5.460912906949907,A,1
No,Veteran,A,B,9.720614774441088,C,13.988859892510622,75.24623651711441,-51.215246309368844,-20.36831782956337,C,A,-32.35836580516786,B,-87.1176284122038,B,6.850259637142424,E,E,11.240372978665429,D,0
Physical,Yes,C,B,58.79107062606973,B,-239.9691260785695,173.29142256996798,-24.378580940587785,127.55436346175702,E,A,84.71631373608123,A,-47.92599431908462,D,16.803125774879078,B,A,52.612204392169104,B,1
Physical,Non-Veteran,D,C,53.67645143813543,D,-73.71468412109638,-113.25829397840535,44.98764880336651,63.88551920137115,C,A,96.75809773097261,D,-88.98589556520848,B,-21.93088507978615,A,A,-109.48516221305947,D,1
No,No,C,A,60.113820829302625,B,162.0129325968033,-63.874888320463775,152.55054875237028,44.75997338704155,A,E,199.44669061893765,E,0.4094897764552602,D,-187.11345688466315,B,B,50.751833295695505,C,0
