nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
UK,A,E,A,B,C,D,C,A,55.28050390244583,-14.401345626476914,C,0
Brazil,A,E,B,A,D,E,B,B,-78.16162019572327,-89.83915187477601,D,0
Mexico,A,A,E,A,C,B,A,C,-61.77893559946545,-128.4817365338877,A,0
UK,E,D,A,B,B,D,B,D,38.05580157361225,-76.06137657217948,C,1
UK,A,C,C,E,A,C,A,D,56.63349500397569,-15.50325776616315,B,0
Brazil,B,B,A,D,E,E,D,A,103.48494929678442,-117.87883605202722,A,1
Germany,E,E,A,A,D,D,E,D,27.3319383053585,13.215483524433566,B,0
Germany,B,C,B,E,D,D,E,E,36.84142035965352,-36.1369275684362,D,1
Other,C,D,B,C,B,B,C,C,-58.348809887015186,-41.916340787144264,E,0
Germany,E,A,D,D,B,B,A,A,-62.31320561898832,123.82010229093905,A,0
China,A,C,A,C,B,C,C,C,-83.78732020690958,159.3888921063773,A,0
Germany,B,E,C,E,E,B,B,C,20.47932781415455,10.550242686540848,E,0
Germany,A,E,B,B,B,E,A,D,165.6094453581968,54.896788124166044,E,1
Germany,E,E,E,A,C,A,C,A,2.0076455673699782,14.884383529041004,C,1
UK,D,B,C,D,E,C,D,C,-1.0982426114485477,25.205749192610906,A,0
UK,B,C,A,A,C,C,A,D,12.15247365343082,-69.75664962900919,D,1
Germany,B,C,C,A,D,D,E,B,-1.715631441176921,-157.71249915846448,B,0
Brazil,C,E,D,C,A,E,E,B,-112.48603032888144,25.48542766738934,A,0
China,A,A,E,D,B,A,A,D,102.85884594845712,114.5440325739772,D,1
Germany,C,E,D,A,A,A,D,D,-66.835049621686,53.315823180162425,C,0
Brazil,E,B,A,E,C,D,A,B,-90.59602034706423,85.64310627111944,A,1
Mexico,B,D,D,D,B,E,B,C,-5.092304441109229,213.83606237203088,B,0
Brazil,A,D,E,C,A,C,D,C,121.84962354895323,129.0479201458511,A,1
Mexico,B,D,B,C,E,B,C,D,-113.3241143376238,-15.936611074613896,C,0
China,D,A,C,D,B,B,A,C,-20.95191067868142,187.85379209371712,D,0
India,B,D,C,A,A,C,D,A,-43.52973711770839,-65.9295818443272,C,1
UK,E,E,A,B,B,B,C,B,211.08818942379108,-131.35619811516614,E,1
Germany,D,C,D,B,C,E,B,B,-146.78441548107003,-69.59898509059165,B,0
India,B,D,E,B,C,B,E,B,74.83986294837565,89.94230353969003,B,1
UK,A,B,A,E,C,A,A,D,-23.644231002278033,-36.33022299431142,B,1
Other,A,E,B,B,D,D,E,E,-119.68556360221451,-3.6887733490194674,D,1
Germany,B,A,C,C,D,A,E,C,101.08114627331868,93.53591613064742,A,0
US,B,D,A,B,C,D,A,C,-55.34784356758314,-54.69499886620047,E,0
China,D,A,E,A,D,B,D,B,-57.410168117149375,-100.96107521528133,A,0
Germany,D,D,C,D,D,E,D,A,-92.29975592154075,-9.200223803851976,E,0
UK,A,D,C,A,D,B,A,E,264.93602149494257,70.90608940747384,E,1
Other,E,A,B,E,D,A,D,B,-161.93346662776153,48.74838031325267,B,1
US,D,D,D,C,A,E,A,A,-54.53947796289168,-82.3510482891542,D,1
Mexico,A,B,D,E,E,A,B,C,-53.45074708696329,-37.66851844316929,D,0
Germany,E,D,C,D,B,A,A,D,-111.29482335939088,-34.93000546220964,B,0
Brazil,C,C,E,C,B,A,C,A,134.22618083300344,72.38098138243299,A,1
Germany,A,A,E,B,D,C,E,B,72.19078887723155,-34.62991371809325,A,0
UK,D,C,B,A,B,E,C,C,-11.112298849102784,3.782393454552335,A,0
UK,C,C,B,E,B,E,E,A,-12.993690914141359,75.45933019593608,C,1
China,B,B,E,C,E,C,C,E,-19.248890305273918,58.0389583951322,D,0
Brazil,E,D,E,C,B,E,A,B,-120.58809119373946,-177.01965493206578,E,1
Other,B,A,E,C,C,A,C,B,20.246247616265872,1.7251491508394197,A,0
China,A,B,A,A,B,D,E,E,-97.5489428062526,99.89004789603256,D,1
UK,B,A,C,A,E,E,D,C,177.70238774751888,-82.98572300515625,D,1
UK,D,B,B,D,D,E,D,B,-8.607282899474587,-162.7521770661903,D,1
Germany,A,A,D,C,C,D,D,B,98.72066599171622,65.17290746426264,D,0
UK,B,A,E,E,A,C,E,C,139.71099544871433,-127.43561248631974,C,1
UK,A,A,A,B,D,A,A,D,-16.13205501841976,57.19697886841788,C,0
Mexico,D,E,E,E,E,B,A,D,131.91542044444336,26.23012431189251,E,0
Mexico,E,E,B,B,C,D,E,E,-120.18746259044842,135.63035717788406,D,0
US,C,C,A,A,A,C,A,D,-95.91493312452839,-18.391081966207466,D,0
Germany,C,D,A,A,E,D,C,C,-62.8005555999031,34.56172231778033,C,1
Other,A,C,E,A,D,E,E,B,-79.28949031617204,17.101857513765623,B,1
India,E,C,A,A,B,A,C,E,-36.406064639729145,218.0715576520067,B,0
Germany,A,E,B,A,C,E,D,B,-82.2044838603907,128.6837879905119,E,0
Other,C,A,E,D,B,B,E,C,53.51443767779164,-65.5011551697528,D,0
US,A,B,D,E,E,D,B,B,24.62998905531665,53.20241285222929,D,1
Brazil,A,B,C,E,E,E,A,A,65.71930445564563,91.77106540618719,D,0
India,A,E,A,C,E,D,D,B,-11.104885964352908,-46.02623333710278,E,0
US,A,B,D,B,A,C,B,C,54.8549126365698,90.15809054676059,B,1
Brazil,C,A,E,B,B,E,A,D,-40.894012131300215,-60.809150895026086,E,1
Other,B,C,E,A,B,A,E,E,-124.78069321772108,-98.80245791376706,C,1
Mexico,A,E,C,A,E,B,C,A,-18.989746061804322,-32.9282471243505,B,0
Brazil,C,E,A,A,C,C,E,D,78.27591736505724,32.29188609395334,B,1
Brazil,B,E,A,E,D,D,A,C,-29.538368527641694,214.99760840528216,E,0
Mexico,D,B,E,D,C,E,E,B,56.9866969687827,-40.38640438008873,D,1
US,D,D,E,A,E,C,D,B,170.71724211372526,-49.664150588541986,C,1
Brazil,A,C,E,B,D,A,D,B,-183.68458197252502,8.664420079535141,E,0
Mexico,A,D,C,C,A,A,A,B,-18.213256393478794,-76.33518134605424,A,1
Mexico,A,D,B,C,E,B,A,D,-98.16964109346557,54.6137043365592,D,0
Brazil,B,C,D,D,E,A,A,E,33.2295300859467,52.785375454093156,D,1
US,A,E,B,C,E,A,A,E,-64.36434705565664,14.28558397843695,A,0
Germany,C,D,B,D,A,E,C,D,-171.8541753286002,69.09307061762209,C,0
China,B,A,C,C,E,A,B,A,65.36470312520368,62.656755424889646,A,1
Germany,E,D,D,D,D,D,E,E,87.31742500817037,72.58297394089556,A,1
Brazil,E,E,C,A,C,D,B,C,-154.39108045335442,-58.54785083329857,E,1
UK,D,C,E,D,A,A,C,D,-12.419300337071336,-100.20075753783819,D,0
US,B,A,A,A,B,B,B,D,-7.788172896339772,41.440620004370395,B,1
China,D,B,B,E,A,E,D,C,-31.865230138442634,8.249550314186886,B,1
Mexico,B,E,B,E,B,D,C,E,30.788529745629607,-68.55033381374061,C,0
China,C,D,C,C,D,D,C,E,-194.94134370483602,-31.602194540124135,B,1
UK,B,A,E,B,E,C,C,C,50.23545626279598,11.971923495468918,A,1
Germany,E,C,A,D,A,B,C,A,26.832332078033232,83.84312139941427,E,1
China,A,E,B,D,A,C,E,B,-92.84845427652394,139.14629562592083,E,0
Brazil,A,C,D,B,B,A,C,A,-230.94859739140537,-103.48889382864424,A,0
Brazil,A,D,C,B,E,E,E,B,8.748813531579943,35.965743623944896,E,1
China,A,D,D,C,D,A,A,D,85.96403086503106,12.759248843448551,C,1
US,B,B,A,A,B,E,A,E,-68.16433913803998,29.816478062131544,E,1
Other,E,A,D,B,B,A,B,E,-168.86784909940482,-94.17157710906817,A,1
Other,A,B,E,D,E,D,C,E,26.325270006321272,-138.3562475344918,E,0
Mexico,A,D,A,E,A,E,D,C,165.46748109577948,-76.97770324536431,A,1
India,B,B,A,A,A,D,C,B,143.1932158279183,10.907815337173908,B,0
Mexico,C,C,D,E,C,E,D,C,46.25005361877049,27.71186743678882,E,1
Mexico,A,E,D,B,D,B,E,A,127.87563359538832,-151.58342058417966,A,0
Germany,D,C,E,E,C,A,C,B,93.37897625923601,-119.45882274745279,A,0
Other,E,C,D,D,E,C,B,D,13.345729429667324,44.141389116418836,C,0
China,C,E,E,C,A,D,D,C,-74.58566463659025,-35.0495619781162,A,1
UK,E,D,A,A,B,E,A,B,183.6432740714408,-127.00345552440638,B,0
India,B,D,E,B,E,A,E,C,130.79320027476786,231.93290091126087,D,0
US,E,B,B,D,E,C,A,E,109.94617970468919,-91.63492557934043,D,1
Brazil,A,C,E,C,B,A,D,A,98.88082779618586,-113.6672556888372,B,0
UK,E,E,D,D,C,C,E,B,70.29893549296595,118.4641479804138,E,1
Mexico,E,B,A,E,C,A,A,A,-82.17280111802258,66.68024663315956,C,0
India,C,A,E,A,E,C,D,A,-46.80463159269563,-3.7189598597165245,B,1
India,D,B,A,E,A,C,A,E,-59.78303438923008,133.0937278829939,C,0
Other,B,D,B,B,D,B,D,C,27.807016405456924,19.581230009331126,C,1
Other,B,E,D,D,B,D,D,A,163.5942425830863,115.46893627231039,E,0
US,B,A,D,B,B,A,A,B,-29.92558309620692,33.90516870333354,C,0
Germany,E,C,A,C,D,D,E,B,256.7627819739467,66.18812607523448,A,1
India,E,E,E,E,A,D,B,B,18.428912861438164,-5.994919582638122,A,0
Other,D,C,A,B,B,B,B,E,0.726395853846824,23.270642359101615,E,1
US,D,B,C,B,B,E,C,A,114.54113405430748,22.48754719616629,D,1
Mexico,E,E,E,E,B,A,B,B,-119.41489048561722,3.1794099305402788,E,0
Brazil,A,C,D,E,B,C,A,E,-129.2523347069873,81.20486102609435,E,1
China,E,E,C,C,D,C,C,E,-43.00429157354918,85.67745976506811,D,1
China,C,C,A,B,A,A,B,E,-41.614982247916345,-97.82034260959274,B,0
Other,B,A,D,E,E,D,A,C,-181.4649473237023,-116.89426460907441,B,1
US,E,B,B,C,A,D,D,C,36.929418940761316,-6.345049144418007,C,0
US,A,B,E,E,B,B,B,B,80.6455071214768,-43.58510162915939,C,1
Germany,B,C,B,B,A,D,B,C,-42.75525898773679,38.528262650335,E,1
India,E,A,B,B,C,E,A,D,-40.62516373342501,0.14843594985597963,E,1
UK,B,A,D,A,D,E,A,E,52.614664360284955,-36.04538649690992,B,0
US,E,A,E,E,D,E,C,B,-148.9268112017572,31.571319167900825,B,1
Germany,A,A,E,E,E,A,E,A,-212.15849693977827,-17.26741894201322,C,0
Other,B,B,C,B,B,E,D,B,160.84211202675584,38.720415550793746,D,0
Germany,A,D,E,D,E,C,A,C,16.73072687385275,-102.39218819203239,B,0
Brazil,C,D,B,A,B,E,E,D,94.88587350854743,-132.26170310511554,B,1
India,D,A,B,E,B,D,E,B,-60.41749229371918,47.030212469740434,E,1
UK,E,A,B,D,E,D,E,B,-81.38688289723433,-104.51741666385115,C,0
Other,A,E,E,A,C,B,C,E,-75.66804037915122,-128.2261962108524,B,1
Germany,A,D,B,B,C,D,C,C,-72.40514568733225,180.6360381289042,A,1
Other,C,B,A,C,A,C,C,A,60.46864787164805,32.712453819366104,B,0
Brazil,C,A,C,E,A,A,A,A,58.61228112243175,-0.22191451114084404,E,0
Germany,E,B,B,C,C,B,D,E,67.35307764674259,1.8455260960322648,E,0
US,D,A,D,E,C,D,B,A,126.11822725213307,-85.88942880208246,D,1
Other,D,E,A,E,A,D,A,B,-3.716037276987384,20.40784584856131,D,1
Mexico,E,B,B,A,E,E,A,C,-53.818975808466575,22.386704767480406,A,0
India,C,A,E,C,D,B,C,A,-88.56006775429648,-93.28380286511167,B,1
China,A,B,B,E,E,C,C,D,-2.4777106955240265,-77.51029881828508,A,1
UK,A,C,D,C,B,C,A,D,13.423740691434261,-78.19760232166688,E,0
UK,C,C,E,C,E,D,B,B,52.492602644367906,70.49005367618724,E,1
Mexico,A,D,D,B,D,B,B,A,-157.44046470731084,164.35642272891351,C,0
China,C,B,C,E,A,A,B,A,124.14551408928709,199.75490204209248,C,1
Germany,A,B,A,B,B,E,E,C,-24.155424491556975,-249.46412232215113,A,0
India,B,B,C,B,D,D,C,C,-5.178618779341852,-68.15479607441023,E,0
UK,A,B,C,A,A,C,C,C,28.73743600171157,99.41134250352033,D,0
Mexico,D,B,D,C,A,C,C,C,-73.21086850432386,127.57469047775128,B,0
Mexico,E,B,C,E,B,B,A,D,145.81641372110144,-96.04888497443321,A,1
India,C,A,A,B,C,E,A,A,5.547313105020354,54.37676440281469,E,1
UK,D,E,C,B,C,D,D,B,-34.035411095000754,122.57674230899657,C,0
Brazil,A,A,C,B,B,C,D,E,2.335737028782645,119.76086320470338,D,0
US,D,A,E,E,A,E,E,D,-101.66741216680566,-59.37013582379904,B,1
China,A,A,E,C,C,A,E,C,55.73063260379115,-127.05493057371835,E,0
Brazil,B,E,A,B,A,D,C,E,52.13995384510067,-29.541398721219757,E,1
Other,A,C,E,D,A,B,E,B,105.18061445806899,130.74862660793022,B,1
US,D,D,C,B,C,A,E,D,112.78096059071308,23.95825607507588,C,0
China,A,C,B,D,E,A,C,B,49.69114635042683,207.10437308387216,E,1
Brazil,D,A,B,D,A,C,D,A,-0.5299082808374206,40.11585373387335,E,1
Germany,D,C,A,C,D,A,B,B,165.39060665978803,131.85145052395583,A,0
Mexico,C,E,B,A,A,A,E,E,37.72267021957153,-6.90838427015994,E,1
China,A,C,C,C,D,A,E,A,12.692724052699067,164.6894631476313,C,1
UK,A,D,D,A,D,A,D,E,-339.4886934643325,50.79178118386507,A,0
UK,E,A,E,A,A,A,E,C,-20.544065935999765,157.70649892635055,A,0
Other,A,C,B,D,B,E,E,B,140.67441692903324,48.44648227440303,A,1
Brazil,E,C,B,B,B,E,B,B,-34.82805649502035,40.09118933692565,D,1
US,E,D,C,A,C,D,C,A,8.711399232012864,-61.009315312155124,B,1
Mexico,D,A,A,B,A,E,B,C,-109.82819999748502,-27.33681503335622,D,0
China,A,C,A,E,D,A,A,D,-102.94846756174113,-51.10605907650706,E,0
Other,D,B,A,A,D,C,C,E,1.8953006747390075,-182.80500652292005,D,0
Brazil,A,A,E,C,D,E,C,D,194.46851708075593,91.34733062725729,C,1
India,D,D,B,D,E,B,E,E,-170.9328595310627,-108.92540845629593,D,1
UK,A,C,D,C,B,D,D,B,-96.35772899479787,2.4959202484713465,B,1
US,E,A,D,B,E,D,B,E,104.9997900564958,-114.12295568898342,E,1
Mexico,D,E,B,B,C,E,E,B,71.11123803514678,97.3295025395534,D,1
India,B,B,E,A,B,D,C,C,30.140094827330827,217.54556496165432,E,0
US,E,C,B,B,E,D,B,C,-70.80298885475187,83.18936560159172,B,0
India,B,A,D,D,D,C,C,D,-10.1317574831592,-186.57459210114388,D,0
India,B,C,C,E,A,C,C,C,-26.317262348980837,-32.68375676544999,D,1
Germany,E,E,E,C,B,E,E,D,-154.17472080982603,-4.840115469196102,A,1
US,D,A,B,D,A,D,B,C,-100.11198472355174,-21.29014321866127,C,0
Other,D,A,A,A,D,C,D,E,-36.8451145202539,185.12515564182,E,1
Germany,E,C,B,A,E,B,B,E,-15.418359983713179,-106.03895885712164,B,0
India,E,C,D,E,B,B,B,A,283.20529927329005,168.26543973571856,E,1
Brazil,C,D,A,C,E,A,A,A,-57.69051855374997,-100.28459792977627,D,0
UK,E,D,E,B,A,E,D,C,170.95324033579075,107.24329745348724,C,0
Other,D,C,E,E,D,E,E,C,-21.143982434926826,-0.1657228337495365,A,0
India,D,B,C,D,C,C,A,E,-29.474429662899958,-70.27540330278323,D,0
US,B,E,A,D,D,E,E,B,-168.0504166102767,-24.28377229796509,A,1
China,D,A,D,B,A,D,B,B,-42.92138881359472,66.8604314280799,E,0
China,D,A,B,D,D,B,E,B,-150.70399715284364,89.35853108445441,C,0
UK,A,D,E,D,E,A,A,B,7.147915167905749,-116.63290120448025,C,1
Brazil,A,E,B,C,A,A,B,C,-137.72105622925798,-59.70229517527211,A,0
Germany,C,E,C,A,B,E,B,E,16.85719467589879,12.69300123510599,A,1
Brazil,B,A,B,E,B,A,E,D,-103.35637977416154,47.0664118636679,B,1
US,B,A,D,D,A,C,C,C,-121.46473335244889,98.02224038757728,B,1
US,D,B,A,C,E,B,A,D,-85.06820307283832,-15.725530851041098,B,0
China,B,B,C,B,C,A,E,B,-72.32747125731316,-81.15421654625524,B,1
China,B,A,A,D,E,E,B,D,-92.6110793996232,-56.42513499767629,B,1
India,E,E,C,E,B,A,B,E,-85.10204155678437,-14.076011332567997,D,1
Mexico,E,A,C,C,B,C,D,B,-2.9540631021628356,-61.112325673900884,D,0
Mexico,D,D,A,A,B,D,B,C,-66.11203325374407,67.87123630878864,E,1
US,D,B,C,A,C,A,C,A,-194.86428937583332,-124.14119392897524,D,1
UK,E,E,A,D,C,A,D,B,-132.72194602969935,66.45617876686364,C,0
UK,C,D,D,E,E,A,C,D,-89.94569686900265,-85.23006160212462,A,0
US,A,A,D,B,E,C,B,C,-94.71235435846239,71.466934617877,D,1
Mexico,E,D,A,B,E,B,E,E,75.07793878441082,-127.54984536589961,D,1
China,A,D,A,D,D,B,C,D,78.83003441073136,-50.88773871034078,B,1
UK,C,B,A,D,D,E,E,D,-79.46358707959892,-34.77114940666419,E,1
Other,C,E,D,E,D,A,D,B,86.63624605629721,-66.5838771291065,A,0
Brazil,E,B,D,C,D,C,C,A,-156.70895155389647,-108.2515926516638,E,0
China,E,E,A,B,B,C,B,A,-87.45430873349127,46.13780982157311,B,1
China,B,B,B,A,B,C,D,B,-58.909112981468596,18.327786482063114,D,0
China,B,B,A,A,C,A,A,D,-171.67583301168042,-91.41642283423353,C,1
India,D,E,E,A,E,E,E,B,89.68816006163708,41.840637948117624,D,0
UK,E,D,A,D,E,B,C,D,-44.2780597834531,104.8730877832245,E,1
China,D,E,C,A,B,A,B,E,78.36028741814208,-87.92866845279104,D,1
Brazil,B,D,B,E,B,E,D,C,-103.79037443092565,-105.62454218363806,B,1
Brazil,E,A,E,E,B,E,C,A,41.414284219873146,226.72347589011488,C,0
India,B,E,A,D,D,B,C,D,-1.7660688489258904,-170.30762140788372,E,1
US,A,E,B,D,D,A,B,A,11.80440371583521,71.53754378931839,A,1
Mexico,D,C,A,B,E,B,C,A,165.2855850024792,-82.72805233791966,B,1
China,D,B,A,A,A,C,B,B,-43.31323009398748,145.5430007830087,E,0
US,C,B,C,B,A,C,E,A,-79.51028933863081,-89.31225772047814,D,0
Mexico,C,A,A,E,D,C,B,E,207.51844250658073,-135.77478213969783,C,0
Mexico,E,D,C,A,A,D,A,E,1.4056638448347496,78.38869236067761,D,0
Other,A,D,D,A,C,E,A,A,-74.2283712353785,80.41300613814632,D,1
China,D,A,A,C,D,C,C,D,45.87463627773375,28.57439301423737,D,0
