Gender,civil_status,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Female,Widowed,Buddhist,D,-84.95691066126795,-7.563986244065078,B,-57.160093919004915,32.51980534781075,-20.276818362073293,A,101.10588657618213,E,-72.04698221268457,84.72775929105131,C,D,141.40705217661363,-11.44161271146225,32.403679494477124,0
F,Single,None,B,-98.99332105047203,126.07451177911022,A,-28.474434211407623,14.257223407408546,10.3679112133751,D,5.590565095360628,A,-75.91067692990752,-18.488769906223645,D,C,-71.84260071576335,-11.381468269777663,-42.6236530719033,1
Male,Divorced,None,E,40.15612427571486,-151.74097580906033,B,-123.02345178387384,-96.27604078753724,66.51546286126046,D,55.51713175846602,B,88.50253025052226,47.250626317572134,B,C,-111.58290619042859,-110.3157973593723,-43.66213803188518,1
Female,Widowed,Hindu,A,-20.74270963269032,-8.621930681082738,D,6.791433720876842,182.90458628021517,-58.117879293779026,A,-116.73327679095433,C,-23.940038693404915,50.59358683626933,C,A,-125.1000326953179,-56.86965041061664,-43.50766908669313,1
Male,Widowed,Hindu,B,-11.979151545900999,118.14414211584125,B,-9.241233626817941,-32.67085543778238,-104.44508835491939,A,146.42696767739008,B,38.483306097721794,-128.38445520171982,B,D,-48.67326214126631,35.262736328664644,2.8650842425387766,1
Non-binary,Married,Other,D,-141.85316396614715,154.35704356514626,C,-74.46070699341006,-79.20963641351999,57.86247501895221,E,2.7923172985355142,C,112.02008237896428,-52.93618935435526,E,A,105.14567175651695,254.88642789532423,-2.6728669662500737,0
M,Single,Buddhist,E,-8.53660925574509,-151.71876512379038,D,92.76648733743042,7.337778220078392,52.75423350071684,A,258.2115290052355,C,75.49578836873377,-50.77982581497442,B,C,50.75734445846351,21.29327926698306,148.9023408928536,1
Female,Divorced,Hindu,C,122.99502752286942,-9.786225533558385,B,186.42579927780486,33.62913942688629,133.9096289951873,A,27.083955917565984,D,-101.1333631986695,-70.59762611365004,E,A,30.594923220403402,-97.73395204571825,-152.1986184047766,1
M,Married,Hindu,E,183.46560909581692,-51.700479306279156,E,49.07601412764773,66.21463407526883,-32.35451024116671,E,82.75482066538483,B,-77.10940802955739,33.11946788269674,A,E,-60.89034918978351,90.04505698075783,-59.876286298816794,0
F,Married,Buddhist,E,-2.224441097465761,-25.228454484116984,C,58.491852999895556,-90.11423161929265,-86.75664163281832,D,-7.144942774682608,C,-171.93973926426304,183.86393698487126,A,D,-97.41451440297733,3.842908544606466,117.28524313429357,0
Non-binary,Single,Buddhist,A,-45.347802549234444,-119.01440030229584,B,-2.9475505070336587,144.88386082329035,180.72206228394037,B,-174.87369523346993,B,186.55872659413865,1.4353434165033365,C,B,-60.31992969419918,-105.0582709237654,116.37691146118483,0
F,Divorced,Buddhist,D,-127.42419570130306,8.028077080793366,E,30.27281903075375,86.73585853111899,59.00961737726953,B,62.78735080872635,A,-77.4689042756608,5.530743470053643,A,A,73.7299076300998,76.1413149399796,119.83989912803415,1
Non-binary,Widowed,Jewish,A,-13.949889363081859,-74.9812790843109,D,129.36315765211936,-56.17001501592976,156.46161420755266,D,126.27332864048803,E,156.41049898089986,-26.022967249584095,C,B,29.614065821962647,-53.05729124451085,27.071363972986607,0
F,Single,None,A,-130.48487458343016,6.2643524188150765,C,-291.1649400850634,37.89857282718365,119.21023689534778,E,-2.6635543100842414,B,-57.49256650144163,-3.9386626153725337,A,B,87.32688587301264,177.99236027377145,-75.64175186292749,1
Non-binary,Widowed,Buddhist,E,-21.095027994352257,-33.068925131548674,D,58.84742379273747,13.695019030527234,183.15086668938315,A,171.08795016741198,C,-34.82288475158432,9.892526738925904,E,B,62.15757037473739,159.88831554310627,-10.908057747993187,1
Non-binary,Married,Muslim,B,44.7130559011239,54.31284114526537,C,7.3124174187600754,224.7611055645181,-40.95361683312089,E,-63.02146768539405,D,227.42790380084097,44.61234902283139,E,A,-132.73766023086807,-30.516322171073273,-65.78953111328806,0
F,Widowed,Muslim,B,-8.422071332397199,-97.32490855472565,B,166.65378641638875,203.70426671036722,80.76915674407269,C,-42.1368494409247,E,-70.79221952523473,-41.137812744386274,A,E,45.89063953105227,16.176655149298437,-101.20202943310683,0
Male,Divorced,Christian,C,124.73732263534394,-82.88672616132857,A,-21.30806297569231,100.99507972148538,91.46135886355181,B,76.08139273468375,C,-44.90962021198695,87.04481591350215,A,B,100.15784338967964,240.20800784904205,210.99271227253632,1
Non-binary,Married,Buddhist,E,37.97704121424212,-201.42505825393954,E,52.67393433116451,-61.87359196985853,-8.84507521712112,E,5.482800729935879,C,31.208575760456515,59.10637221061125,E,C,110.71605015158347,-167.53922397862863,-24.151454486577233,1
Non-binary,Divorced,Christian,E,29.123171832516853,187.953480559679,B,6.800295834761541,252.28140402196772,-15.369977776742767,C,-160.81045802417185,E,168.62951639916278,226.62947236039705,B,E,-56.838108536591925,59.67516748226623,97.86998476726289,0
Non-binary,Married,Buddhist,C,98.38676934623537,-100.85403906728914,D,-107.45544148552051,128.8678900881873,40.10960795155469,E,-19.776328150423023,E,-60.63069429111467,-52.18366023144429,A,D,26.4441587918457,79.34449603397958,3.880955701562256,0
F,Single,Other,E,-188.35106331747696,-168.38252129724646,A,46.39678482924502,-109.12945370273555,32.41344671643255,C,49.125714486442035,E,175.32921364048926,-89.29344159378813,B,E,12.18170540225723,17.857350391228284,-139.51387303520556,0
Non-binary,Single,Muslim,D,22.318608255380127,-66.70604441203298,B,-51.11956328529832,-20.44394574763825,188.1112751336259,B,-147.85767562500368,E,-19.09894305680931,-147.80928693079878,C,E,-2.6528481315164405,-30.54234907905648,117.83696793838541,0
M,Married,Muslim,A,-30.38131549538214,-50.02891017461953,D,14.061791402176663,3.7599180171081756,69.57310952657318,C,89.40875284847861,D,-44.02786180365468,15.99926847913807,E,E,-101.10668936994635,-139.32363604581292,81.5500439868435,1
F,Single,Hindu,C,113.96456807348639,118.68317660806824,D,6.466646237598137,48.95018734666055,128.79478078854459,C,-39.756656754782355,E,83.2876045595096,-28.01292779841601,E,B,75.28520456217812,-33.40632548824047,-31.62249606254766,0
F,Divorced,Jewish,A,-56.25941904196304,-39.27260331709037,D,-60.732155810229905,-7.782817066437175,70.06424105226658,B,-83.17297734322962,E,155.7636823817698,-120.78889324933036,E,C,-153.4817776457067,-139.68879054604187,7.102437329048766,0
F,Widowed,Jewish,D,-110.61356058846896,-134.54575062761347,A,154.6558160405322,-5.612824830753599,49.22998849514663,E,223.04804540307774,B,-116.04779578173694,-72.90401419453379,E,B,-84.16040801561564,20.308114988550518,128.48724303497036,1
Non-binary,Widowed,Jewish,E,-38.675746610082626,4.787796918480411,E,195.88083491263092,208.86212943135067,-17.95708096412387,B,-44.44400151575512,C,128.39389126020671,-160.50490669159538,D,B,-56.96682734312627,-25.531135346941614,-94.03375029331352,0
Non-binary,Married,Other,E,127.20244822896625,-129.40576513298322,A,-4.119599776262804,53.07810135152536,88.65170372665531,D,83.66386482137152,D,-117.1817052627818,-30.476558590841368,D,C,86.21981166433721,162.10309685682554,96.2099265076407,0
Non-binary,Single,None,A,36.74629920169661,-13.69224480820193,E,-68.25042220516436,88.26242946093099,-67.81222323771587,C,229.99829252583277,D,-2.9836526291658156,25.12218997910201,A,D,-87.45101272870261,-94.46270767291776,-6.410008486406735,1
Male,Widowed,Hindu,D,181.5950943779099,45.52133955359513,D,-7.771676505939919,-165.10454966415426,81.75389070362107,E,-105.12736234955817,C,-0.8506817258829082,90.67233197440558,B,C,31.681753622787756,-5.994206854069889,-109.50487049635313,1
Female,Married,Christian,A,168.2467514823344,-206.05610850625263,B,124.71237049827218,-18.729593926891873,22.603391575108777,A,78.55614763173222,E,103.92353355388262,-85.89416988037334,A,E,-39.20046739314643,83.58384817250007,-27.13833461150253,0
Non-binary,Widowed,Jewish,B,-73.0190195204653,71.71904882555485,A,227.3623664001018,44.396788122856925,80.54899768657955,E,-12.995214355671255,A,-75.44621630435276,28.56072090224216,E,D,107.49943827778183,110.15817409688684,125.98015931569928,0
Non-binary,Widowed,None,A,55.055552109098635,20.291624472285772,B,111.03724116356022,-49.55476294232194,8.457456675053745,B,126.19572062078173,E,-40.26247099996442,174.88762175864449,A,E,-80.12401567404507,-29.96137205347266,132.98405460760745,1
F,Divorced,Christian,B,194.49370196202403,43.9303218921255,A,142.51936739867133,81.37070444360768,26.864180183299542,E,-185.5437758292137,A,-121.76948645129696,10.477409226923792,A,E,-196.70784937652573,103.09920017827221,-46.23307637867555,1
Male,Married,Hindu,E,125.39192152255075,-157.5867101726236,C,0.19064913538698297,-96.52152916030204,40.61705766083568,E,-48.0119723579245,A,-108.81277548333708,-61.995527597205744,E,E,0.5278397021755943,47.44154954556624,-104.11999244344787,0
M,Widowed,Muslim,A,-11.461114225275544,220.31821654683878,D,100.13386095984653,-62.00806929357044,-110.46103096369764,C,128.7738576800268,C,46.990710739363436,-39.005520692959415,A,E,286.2764875002066,-202.3053613760153,26.91852375450433,1
Other,Widowed,Christian,D,156.687149178831,-6.866220809222476,D,12.569260772541076,-39.427073525440626,-27.35952069976507,C,127.2183860889418,B,-0.9778170805565877,99.7780243408236,A,C,9.004654772713682,84.71604360330898,-38.59748168764274,1
Male,Single,None,B,-9.858943128898174,-27.982392405426292,D,-184.89070311431036,6.882042079417294,-50.10068285181413,B,-64.1214296849637,E,123.50764347818061,-122.05675719731302,E,D,-38.171819739129035,-7.007956560067069,-130.47442135288443,0
F,Married,Jewish,B,-24.54954093790724,18.13126297021403,D,224.96023601005666,-79.4532058838085,-91.4611372394636,C,10.718291609061177,B,97.99700621675754,-84.94256362049732,A,B,-96.67134058193348,-83.30267853569259,-40.29715103930087,0
Male,Single,Buddhist,B,-10.290940945034944,62.569160272522026,B,3.9491618936997335,-79.32569699581127,-24.023301183042033,A,-54.29040742337053,C,-31.911347703544564,-122.9482328203384,D,D,-19.210622708109415,-72.08091284752614,185.15745558813796,0
F,Divorced,Jewish,A,-26.832977262904045,18.52015319230319,A,81.57320586359073,-1.5540301932043779,53.70597299979673,C,43.162580861375375,E,-222.88872088192718,55.63487642766444,D,C,-13.180724906772866,-53.78736234670458,136.98934035944222,1
Other,Widowed,Christian,B,65.74160098111518,112.80116271289258,A,200.3639493117583,52.83845217540362,-134.08529979730812,A,2.9671257188583633,D,-80.40723486277828,81.44137715158386,B,D,-34.945014333962725,-9.49738628892122,87.71800363005885,0
M,Single,Buddhist,A,-50.41538714576754,247.490958848618,D,-40.22240544783695,87.39802531342723,-44.704010241841374,E,75.10602283815001,E,-86.93237190615352,98.00453757398338,D,B,22.19684516957266,47.14767967433076,-67.12443002298164,1
Non-binary,Divorced,Buddhist,C,168.9627017466089,109.2789895597403,B,153.21434359217682,37.992307297833236,-79.34317140407046,A,-136.0328115212289,B,-81.29684604215484,-27.225403021605317,A,A,47.805147859030654,37.9360700955088,-14.393036854793376,1
F,Single,None,C,-81.60915060636414,-149.43331611965326,B,30.863966669865857,-104.21364856542692,-15.639023309937212,D,93.15842102520247,D,123.04210386033434,137.1719586796678,D,E,-44.94251255603499,11.925211325573397,-169.48882385901427,1
Female,Widowed,None,B,-16.807126451797615,33.8276189649434,E,46.487680514627115,-67.34943386538427,-15.402814593769062,E,93.22793038227798,E,-12.340907832332705,220.89452426770458,D,E,61.468094750981095,-39.303328840753174,110.89351052895056,1
Non-binary,Single,Jewish,C,240.78072598673072,-178.67659474914726,A,-49.52584747520637,-70.65315885997711,53.93069450047735,B,-47.63795877414711,E,-177.58547448466246,173.17480329550722,D,D,75.27895111467865,-179.41221990694177,83.92978327182549,1
M,Married,Buddhist,D,18.009102826247457,31.768695797222897,D,61.66520314668876,-90.9489282149037,-99.47783852063911,B,-18.207028192976537,A,-63.82074523646796,-74.71722798126919,D,E,51.91117352471305,-32.37568506367712,17.522032890762908,1
Non-binary,Single,Hindu,E,-45.98924997943459,-79.27389537200796,E,13.229498238255092,-8.466924368926401,-95.28304813021681,B,100.10517983734451,D,24.144830384361775,114.10500063925899,B,B,-71.39682321779462,-82.4728525701957,-111.09716619400021,1
M,Divorced,Hindu,E,-113.51646397994499,-69.3388356877088,E,-32.18829871395844,-36.23635399173493,-51.53573666483451,D,-11.39603625211886,D,-106.4394189490268,-238.33552617945887,B,A,-75.96555480259846,-174.64178529257444,-12.038515089740569,0
M,Divorced,Jewish,C,-39.29675149725665,174.47368451052526,E,89.20737384881635,28.021673092234046,5.257258343763609,C,-57.645707442545046,A,-91.62506452308716,-87.70257245618463,B,C,108.11841737936672,117.160389352391,-151.13557901727873,1
M,Single,Jewish,B,-36.37993606597949,-76.93520588235427,B,-48.652780100866586,125.0947309573714,-0.6539604902445582,B,48.78656167827898,D,210.5577318099273,75.47159245982041,A,C,-54.505193256539656,14.616904253951388,-118.85346336339559,1
M,Divorced,Buddhist,A,88.14907221639294,-43.584423577624946,C,-78.96763020367281,151.2802852415315,27.9850358141906,A,125.20856925364241,A,-93.47284859247542,-70.21578033717577,E,E,-19.169078556648895,-8.5089673998491,-28.860293869611294,0
Female,Married,Christian,B,70.43660095635273,45.8539746288256,E,-122.02890441899991,-27.449771287111265,122.87292933266323,E,-181.0761893359365,D,-77.42571412109662,-44.20071121924701,A,D,-3.316756193189865,-78.95666179566015,-142.51295824442073,1
F,Divorced,Buddhist,D,-198.14448199126136,-31.782789885942897,C,-91.82456344711838,107.81274493788962,51.43498279915922,E,134.01567791708777,E,-83.12090801522713,90.71858865274935,A,C,-4.9455915397552666,-107.10113802557413,-27.596070822802453,0
Male,Divorced,Christian,C,-117.12754104187033,-68.87641929515418,C,60.433333877931105,52.249934425000454,-176.48565047545736,B,174.84600011936072,C,204.5318136418195,20.39528575434936,C,A,-9.70382924342409,-66.39756220579733,-106.25620313398537,0
Female,Married,Hindu,C,-144.03515438536613,-289.4948139480912,E,6.310009740316694,51.05091012913366,55.525331213448794,C,-12.946203596585285,E,172.53542656488477,-165.32431555766263,A,B,-106.21919049373079,-36.351631261043245,-135.23286206097643,1
Male,Single,Christian,A,-74.21382348117459,87.63819309360198,E,-50.06487677254627,57.44531854915144,-71.72715540266333,C,-60.97943500533536,A,-20.001861719461463,-211.02990520470595,A,B,137.18130030885916,-51.27525449967475,-16.586090178971226,0
Female,Divorced,Hindu,B,-62.979248405102915,-57.436218676890896,C,56.57921512565761,55.33861432372645,30.590298620572437,C,-110.98725796454438,D,115.1329035352986,77.10182695878373,E,A,123.4469484797439,52.553438300608654,-77.34728807373816,1
Other,Divorced,Other,C,133.39928762425458,-141.25371539440718,D,83.56297386671908,231.24607139367748,-173.05271476063072,B,-196.38267467020262,A,38.21864837422764,-4.811762937046572,A,A,-20.132726650645175,-29.967050675339767,70.08494222530946,1
F,Married,Other,E,-126.10099041199616,-125.37159758065025,B,-55.59342752459895,-12.055784196150876,85.52260830686433,B,-112.00261654017251,A,-12.878885723378334,-98.13864118507544,B,A,128.21876539564792,34.44266082395879,40.78671033772508,1
F,Divorced,None,A,-75.2739343277853,-109.01121912613492,E,-67.86529883212175,-92.36604170732554,-4.469695506181001,B,23.547063234080184,B,-131.6838552021419,24.788043312583433,A,E,-105.7431569041456,-67.86583658673656,-109.91325427893861,1
Other,Married,Other,C,167.18189943889863,-130.07236971554917,A,-152.7699344536729,141.0007886088505,-103.92945423373322,C,-113.69918963376895,D,70.3225862336814,18.63798676523231,B,A,115.03532879026501,167.04134455658556,-164.96413164626804,0
Female,Divorced,None,B,-73.63356370540221,66.84512385214063,D,43.49005943667705,132.3009670867514,142.39583123733334,C,187.56928963551127,C,168.38408248439177,-68.84473258371331,D,C,66.68467717827788,-54.64729564450642,55.29634984138667,1
Female,Married,Other,C,-4.379103619018703,40.472171438644295,E,-137.5600967764991,93.23864504663717,-3.0388657447273952,A,116.53503681388786,D,-166.59971431503942,40.95647411849093,A,C,-37.12098123232654,-2.108167961142088,205.87339415950802,0
Other,Single,Muslim,D,72.0276081438386,5.073854085812731,A,19.652258883420984,5.200241196420406,-78.43689954945161,E,64.55764043938883,D,56.14242870232704,57.05400547593133,C,E,172.23006160575244,-154.70269571345617,90.20285777192245,0
Male,Widowed,Muslim,C,-61.56564105504886,-16.70972771950607,D,89.48575786268196,191.30931182496508,192.69662771865598,C,-132.23333613150643,B,62.22471922542937,-38.252044245260144,C,E,79.70563484731522,-79.89588206812077,-83.05169902433768,0
F,Widowed,Jewish,B,-113.33229022197729,-265.2610630530462,C,100.32842501424857,38.48813938025528,-128.48208430507816,A,-22.456549863682636,E,-110.1702384344185,-149.48661758582116,C,B,116.65473377438434,26.64530319609119,-71.88813312637117,0
Other,Widowed,Other,B,-34.56401077097151,-96.65914769287994,A,-144.38961154050327,-103.39554751079689,-134.63515164487183,C,-130.5219263617087,D,-62.314866085606646,139.6817506276326,A,E,207.89532763082264,-174.08377534201693,44.99751379639768,0
Non-binary,Widowed,Christian,A,-138.9488187054296,-171.50340903680424,A,52.29095017888968,170.40381121095297,69.13594731484021,E,-177.42738030906946,B,-103.33888947147898,204.18871240812013,A,A,-106.01166429806315,92.6065990903302,34.25950279000386,0
Other,Single,None,B,-46.95083565439819,-50.61136979428641,C,26.838495683388714,-126.62407692048019,18.392855755608846,B,-13.841807792138386,C,4.741247349636438,158.41063207579026,C,B,143.99074583057313,141.34914908637316,45.96710305981521,1
Female,Widowed,Hindu,E,105.02544518639189,-39.99961492693615,E,-42.435822686247946,-53.03302830098839,-17.00421140675214,A,-33.07283296774943,A,26.064439519083383,-49.69871707546351,A,E,26.77102894900217,12.162034123106059,122.50918704120559,1
Other,Single,Buddhist,A,53.2528319101111,87.55465457171218,D,-19.984388511777684,12.77242169777471,55.58812193049747,B,-16.155355165317133,D,119.10306604508672,-134.74275600596016,E,B,-173.06497007554697,30.90928140572483,-92.95215217198871,1
Other,Single,Christian,A,89.68110915953751,-16.652555331645637,E,36.32629131857061,35.3668276872634,53.96915536555505,E,-149.14223831835866,D,68.89113102838394,94.80743198178611,C,C,-5.029523109780649,-134.54007754784573,-226.28935197062324,0
F,Divorced,Hindu,E,-98.95365839471341,77.08707215082356,B,160.60319553055862,77.74796581426064,90.97269212700547,D,257.1958568730337,A,-73.86493880794409,-41.777844766770635,C,E,54.887866735414136,123.663440573776,54.362595044448504,1
Male,Divorced,Other,C,-13.7791093529673,-162.48465688725406,A,-144.6211244006643,92.05167395380705,307.95751017352194,E,32.09958878620237,B,74.8002481389211,116.21802430755727,E,C,-56.111622543187266,150.2292014071922,10.259446006911496,1
Male,Single,Christian,A,-22.00393021792352,-61.36305357166913,B,-53.39787759401108,2.5102850071678993,-121.87924064351823,E,-42.30159407803587,A,135.86827847018233,20.11625538110132,C,E,-12.120278025556047,7.589421326570546,-85.79761936389222,1
Non-binary,Divorced,None,A,-58.11957024988187,-85.93045831330348,B,-18.90714200687589,-47.85139268353248,22.77770252574582,C,-47.39234111431363,C,48.72951323084585,82.22659373188837,D,B,25.04005090294545,227.5015048211238,-145.3089353005653,0
F,Married,Muslim,D,-121.36592204765972,-44.60430626563835,C,-129.63046394133815,-15.202862323221566,-153.28960409509125,D,3.385373755289381,E,-37.87359534579319,34.65627844058991,B,D,105.42762866851596,-14.066405723840358,-127.83496130380232,0
F,Married,Jewish,C,-107.50155345745812,94.14202065910446,A,-61.69674974828381,-89.7826098236125,12.128612626693805,D,-27.211709652672265,A,139.2391540291339,111.91630306152527,D,D,130.4623358362953,-67.52779682006756,122.50339147747103,0
Female,Divorced,Buddhist,D,-90.46966768058104,-40.082018141697745,C,-99.54629190830869,8.524426410905365,101.45530556837518,D,21.32450479023422,E,39.8719404819682,-120.4990262209491,D,C,19.06764209255744,21.675331884407427,-6.994101875457204,1
Other,Widowed,Christian,B,1.4312983038852378,-31.222856894172846,C,-5.074402149888256,8.066844840083947,-81.52726038321734,C,86.17415376357498,A,108.56074859945682,-126.44455008104948,D,A,-263.02604428183776,13.032966309255759,73.54068502199652,1
Female,Married,Hindu,A,23.539586481799464,-3.314800635988522,C,-235.03105394601494,167.59291754187268,-37.29468389642246,C,53.87123612533927,B,21.567115080480352,-31.97592231654661,E,B,30.12283936500495,25.847226136590084,78.75414077155564,0
M,Widowed,Christian,A,-8.293533091095236,-150.91711086250413,B,-170.8217096360382,-2.0425540130710336,-51.317716980387516,E,-157.26471129645935,C,150.23458967400185,-15.920171702536305,A,D,-59.36455487672143,99.7508281356141,75.7390168472223,0
M,Single,Buddhist,C,-62.287514820648035,-60.72661440794514,A,89.49393956385182,188.72761357440257,146.7711985161211,B,83.05082392039388,D,-17.314035066902324,-125.44871805255457,D,C,178.62375972479555,47.298008432320785,-68.01360795982903,0
Non-binary,Widowed,Buddhist,A,-197.7086201889604,51.13328989813319,A,-249.477023712625,-47.39689920362307,-123.1460667873002,E,25.811530914968262,B,-206.26422940806742,7.112500161477884,D,C,104.6489002907167,-20.8780551622619,42.08435723437904,0
M,Married,Buddhist,B,30.72043545017292,108.35445559422006,D,64.03448914192064,91.00968362576374,57.63274345911435,D,55.1399654866002,B,99.96506364296496,-98.82447568817119,B,B,-1.0474711829557084,131.8053452001257,-133.45148907139998,0
Other,Married,Buddhist,D,-92.94399609797064,-110.57968867638522,D,71.37441628203571,-102.231251269598,-51.365643233917716,B,-194.97176790773847,E,-33.99885219903796,-79.38030750842128,C,E,45.05509581319527,-32.07787446993759,-5.054260048484912,1
Other,Divorced,Christian,D,95.78378694591756,67.99526513151287,C,-66.55701477294303,-191.38231755900597,-65.66160549150797,D,-121.161491342977,A,-194.57616131880496,161.60360239962677,B,E,248.34207057072254,-107.90677857508346,62.24481116949349,0
Female,Single,Muslim,A,-31.805176265252438,2.683809925907936,C,-22.761470076161743,-80.97484896926045,-27.72945415121289,E,59.40871924696718,E,241.10720842161425,-49.33886375693011,C,A,310.0859356116172,-13.341238145867656,1.976878885733513,1
Male,Divorced,Muslim,A,95.40737793460814,41.253626737874086,A,89.33813549890498,-181.4889178988572,12.536812448947371,E,-13.772579003899422,C,88.46595862621226,-34.434670309776685,B,D,-50.16950479574815,-78.79177753956664,42.51617463998787,0
F,Widowed,Hindu,E,-166.96109885413188,50.53546537504327,E,23.83844861687075,19.073823632178865,-69.7606253445548,D,-34.76432435780759,A,-46.140969890851245,54.522395059484296,A,A,-35.20898839825184,112.75973565704322,19.129144329860434,0
M,Divorced,Buddhist,D,-5.112730448475176,-178.47277592029263,B,-142.24919025102943,68.94374083154347,-168.37596121278003,E,37.50596874041876,E,38.21100464606717,-139.00021926991036,B,A,62.32234232064755,-40.173344074108535,-293.0052533540963,1
F,Married,Hindu,A,-24.675684841057453,101.33271605002201,C,65.74221004603328,-50.77132624795927,-13.44886408511255,C,54.867513775199875,D,122.90235371264997,31.917286837296594,A,C,-90.9034084480647,-123.72894221791945,0.9241898508104975,0
Female,Widowed,Buddhist,A,-8.510997336343722,-102.14246886687108,B,-42.49586308117718,-90.67837975649405,-183.8756039795163,E,-157.35600511120958,B,65.12945332059108,-116.56356941164903,A,B,-110.96009514225355,-61.5288503209519,-100.80619258214792,0
Female,Married,None,C,-83.49214222749212,38.00224430540692,C,136.77613199146572,-157.18923767270147,-80.57094833739993,C,-24.55646522830797,E,-15.131994182292116,39.63474728310182,B,A,-89.42967533174841,121.20205909506096,-0.7939259308340799,0
Male,Single,Jewish,E,-53.38161836986009,-72.81418901760124,D,-108.92778615082636,-178.57329500343016,167.54453281852625,D,69.6790060810144,A,97.3620233289289,-247.67468151655757,B,A,63.96950879316241,134.36101691821625,-62.93366352941321,1
