marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Divorced,-97.50757812272992,-56.34021311951442,C,53.21985357318437,D,62.36045290671284,A,35.30025306971188,105.55210624525908,-32.47450859379597,85.6701906856877,147.95492849855538,D,C,B,C,A,-133.30224262225593,30.632466655865297,0
Widowed,-42.675228497085236,-154.4626873191759,B,-141.847867227572,C,150.02564594125616,C,-69.25978931207202,103.85607966771597,105.99715627806144,-12.467356543529483,-154.56142635379067,E,B,E,D,A,55.910503099279566,58.861655343864264,1
Divorced,129.12347199710055,74.37784314731655,A,85.53534720030304,C,-174.29400644562944,A,-2.084008726695501,12.486836555892024,103.7270424151925,16.12054847191088,128.8860356416544,E,B,E,B,E,-26.24242021486582,-180.4867267653597,0
Single,-18.14650526501926,-32.066876327627256,A,-47.28660540209913,B,93.82845569238006,D,-28.84814028818165,-65.95871346742003,44.13480226668347,-85.71896354262117,-86.33895934912665,E,E,D,A,A,54.38175059927356,-36.641437468210405,1
Single,-41.944519775043766,-49.45156486337166,E,5.786732135251178,E,59.4162935845214,C,-38.4765729521059,52.878556320276445,-10.812285007828368,-97.11420195162654,-67.8798945230198,E,A,D,E,A,-51.40270669310686,-163.7173720530305,0
Widowed,11.083089821171479,-40.275530024138206,C,36.22410338279998,E,70.8023043761532,D,-1.0508256331153505,-49.602434751535,48.84802562738814,182.00313184825205,-143.03578427931635,D,A,D,D,D,-87.74905845862732,46.37585550414885,0
Divorced,50.940056110546074,24.717087893403466,B,-57.810235784424144,D,-100.07249342602064,B,46.47661766866616,-80.02182425660584,2.8933676551914176,-39.21462589526754,54.732296742965914,E,B,E,C,C,24.07654670858507,-14.897972340657828,1
Married,-127.36512703034923,27.67053626778358,C,36.78015249318603,A,-228.0988703805191,E,143.9986595400031,-10.517479318862879,-76.79753400927221,52.19457021879291,-133.99416995760532,E,D,A,B,D,-18.394947943882705,22.662496984395602,0
Single,99.35664767918173,-65.77023545660609,E,74.58803151765404,C,87.32627557122458,E,-72.93398733534748,-58.40720957213286,-51.99400475819911,175.85227840705022,153.49746078809667,E,A,E,A,B,44.961856715804856,-69.64876044925015,0
Married,49.303875514974834,-39.47292834178225,A,-28.171849086922474,C,-116.83743905308641,B,-39.124474323829276,157.60581858783374,27.975892603324304,67.25238800642593,11.326947357511363,D,E,A,C,C,188.81891392477206,-112.6550660154759,1
Single,151.47344966678727,36.50025345904261,C,137.89838019409365,E,-271.09965811689057,E,16.05841116557117,-192.1572784578442,-179.71163863807226,-109.6892253436025,176.61186255507258,B,C,D,B,C,-14.251973376083013,-24.34574195265507,0
Widowed,119.44779495653334,25.037368919334675,B,-121.8681005736357,A,-128.3695019118472,A,31.63165796423117,76.40472248848018,130.38759894246513,150.07251956637703,-7.15819104650806,C,E,A,C,C,-34.74477521999425,-206.42940787319986,0
Widowed,17.20958931663244,-77.37432011839181,D,-25.227884077898306,C,131.3752054868421,B,54.40241676114351,173.7640801976393,69.09167036555608,-36.36483337862439,106.56329730204428,A,E,B,C,D,86.7004631445622,29.28270588411032,1
Widowed,-94.91298866948453,-159.2080722523339,E,-120.57454136580014,A,-43.93200500070032,A,27.263774063306883,34.78042692222316,-55.5881736723299,85.59387835889422,35.208786695678626,A,E,C,B,B,87.43439702144866,74.48756461474882,1
Single,-31.166037802754254,-14.282288986906341,B,64.68697311372593,C,-64.05505874774467,C,-72.68910838971559,-9.078385475946273,95.10795624226597,-180.80819046441724,-0.2593240494145234,D,D,C,E,B,-59.64410019325358,-55.51562558469145,0
Married,80.43902090151349,9.308145894298162,D,-101.5790566609099,B,179.88319134339915,B,128.26699526704567,-23.013193018018168,60.43276697282107,60.87396381150454,187.0733173483096,B,B,A,D,D,70.82842994233957,16.143418034276504,1
Single,-206.23336609119977,50.84259952590928,C,75.0643592107781,D,17.550174056165595,E,77.60373243704792,17.866195514799564,57.443869946900385,101.96684428324522,-37.20843327381575,A,C,A,C,D,-60.74889010352111,-109.9125519580779,0
Divorced,-34.2632945801087,152.2343540453693,B,96.87546237525915,C,-11.494657796478498,D,-147.70234280258708,-80.79203793965098,-99.84078474354025,1.121445550841416,71.63606249497451,A,B,D,C,E,179.57049830960736,179.1001758723728,0
Widowed,-54.7375523960282,40.10333385748036,C,-67.64234772466955,B,128.1138035528982,E,4.06615792655713,69.31681858155964,-55.963572440316014,42.047397061950974,-158.97713516559045,A,E,C,A,B,73.17424654853333,-14.315930112588598,1
Single,33.24244812887815,-15.273836290036352,A,78.71802725220735,E,72.43850735495496,B,-48.10932360721689,-5.11757081151275,-133.05614394706,48.29081629602018,-152.34920467761037,D,A,C,A,A,-10.576098450584844,155.09886569291388,0
Married,42.34824159923095,-75.10545712818025,A,118.67150487029375,B,67.21468277178418,D,-20.001127114450803,70.92068481153308,-41.10497687676457,-88.6964171480694,82.41459760727642,A,E,C,B,E,-157.69476501019014,-153.84129761747374,0
Single,-161.93090895742026,207.59850384573215,D,-177.1189189320918,E,-41.529781546006426,D,-129.92053352518263,-171.37847354085702,-35.543399332699956,90.83379884089285,39.37548897854351,A,E,A,C,B,-131.65771502875901,-119.11906901457085,0
Married,5.054354602629762,-48.45582735234477,A,-120.89701891144394,C,-35.335254953867505,C,74.28364145382622,9.73356751085003,117.2598479516392,-17.787172682514893,-125.71128325511512,A,A,B,C,D,-7.0133843955716095,-7.480471514400635,1
Divorced,-211.09300485625272,163.8877380966308,C,36.216901534423,B,59.65149950847829,A,-92.97477853482991,70.90376822418925,9.621594989198783,-120.18291201368679,58.44210409767832,A,C,C,B,B,-79.76379362392362,48.613053602379225,1
Widowed,-127.73081525859462,151.3149534916674,B,145.17559934671613,C,172.6661983579397,E,-86.90443580751827,-74.4923735703167,-131.3190113706816,83.56655424734387,-106.25650036348628,B,A,D,E,A,-227.27134429613156,19.765309810863517,0
Divorced,95.53205388135135,9.217382652701378,B,51.39918244488351,D,82.86321627177409,B,-104.07582114835749,201.03411217427848,93.40548608088606,1.5741707641957432,63.99888307189022,C,B,D,B,A,82.61709481052411,-27.41662526914823,0
Divorced,47.821382728692996,-103.24658767213224,B,-157.00348787121968,C,24.90969115039708,E,-25.32652847807683,-85.51340356951569,-58.91140823695304,-72.66467798157768,2.9975093281737144,B,C,A,E,B,24.158535436697033,-147.2456187344343,0
Married,-40.57851210855024,101.78352845764398,E,-80.63864250361188,A,12.554024083778422,A,-128.63246612012836,-44.71329655920969,46.17112381834995,-11.644083264940557,-190.16573736589365,D,C,D,D,A,91.60073731351795,-69.35156509130023,1
Single,-21.459156225205835,-148.99287538491538,D,-13.978732712457933,E,-65.96526746508835,B,199.32443111460546,-159.39792059242052,-103.48868223783528,-67.88610103977044,138.43025286676172,A,E,C,B,D,-91.29906568552678,46.75583495562892,1
Single,68.86983842849558,-75.1373803135129,A,110.0525246312526,E,-66.87577042580368,B,-157.6109799900012,82.39257557077441,4.414462813746929,4.636765013070743,27.66074311856365,C,B,A,B,A,24.433246806722668,76.37453986152597,1
Married,66.17809295567007,-73.76986767440528,A,26.929837806353653,C,-71.70846222535705,A,-53.085224407001185,-66.43921609020863,82.59344787923428,24.563551635730406,78.44140404190257,C,C,D,C,C,18.430529295503614,-63.109011559018136,0
Divorced,-74.02494869256078,-60.89744699449303,D,123.77546851821907,B,-173.05334107843078,A,-31.743132083968913,28.051455834218032,-125.6811833406335,125.12885425212987,96.85414378047108,C,D,A,B,E,117.07773941568848,-36.57727582321908,1
Widowed,117.65666844902537,94.89141890389575,A,29.9580553480031,A,111.99510812605706,E,74.36092153349463,-41.049353817872834,127.40974292070233,67.31283939007369,5.996614238667074,E,E,B,D,D,51.181357004614334,-40.02007796666366,1
Married,158.6820034472855,83.64422261797337,B,-133.08929898385747,D,123.39779271688458,A,-81.26968480808421,89.56065882084859,105.40713898206968,103.28946493077827,-51.89806199446583,C,C,E,E,D,-50.30789588706448,204.5396795331854,1
Widowed,106.2946718519733,-117.76830074030032,C,-86.67895295537504,A,-137.37726912293002,E,-17.775836058722145,-59.72346538450599,-67.61181050953857,8.379704006302676,-27.844461407198505,D,B,C,A,A,-36.6578722677141,-38.3492668960165,1
Widowed,156.48720577647026,41.249047313337584,B,22.61105921909643,C,-0.5102992912247193,C,-110.57974258273487,-265.18296399420655,80.69661294157308,9.65392102236016,-36.35653885673707,E,C,E,A,E,-222.0847026336475,147.82409601138764,1
Widowed,3.251655638403556,-13.205730385260352,A,104.88474628883475,E,103.35296860433398,E,95.98021301271864,146.01062514723333,47.643553053745805,67.66774977768037,9.059702693379167,A,B,D,B,B,-115.23726220921262,47.72592104087857,0
Widowed,40.6134243070764,44.853587506892225,C,-89.16744928290879,C,-136.15139124632125,D,16.689657093326886,27.15050597360734,-48.84235226752918,-175.83237083680118,-78.86223346105932,C,D,B,D,C,-85.12748744498141,-84.23498366561725,1
Married,-12.839660209048597,175.64421963376634,D,-123.2195109176208,C,40.404309101373315,E,66.94207025946689,26.249802452338507,-131.33308037827584,40.1448754489965,71.9605869380535,D,D,C,D,C,53.57585716357739,122.60217722108493,1
Single,-58.86016729652722,-109.65992868405512,D,-84.19199536399941,C,12.18259568313944,B,-132.67086718142775,227.26883118800157,74.5642384284182,254.75420107568448,65.18899665701701,D,B,C,A,D,44.61644474999835,-114.13108035947401,1
Divorced,-138.68925841660698,1.1351819188156145,A,-57.417310950463055,E,-71.57391099115074,C,40.57843709486468,31.89483066665522,16.31744395242385,-62.89497891380746,-74.84625630736006,E,B,C,D,E,-61.29999928794376,53.20775976098351,1
Divorced,-43.42719268732276,45.6743311983888,C,17.79559012095529,C,90.04306023502149,C,123.8581089467598,104.83723415434751,71.04448059571445,-51.83301497321418,34.303130059617374,D,A,B,C,B,174.64812793279788,-135.67306059423876,0
Single,55.753380733084335,-147.41730132589885,B,83.00214269518955,D,71.47679526884046,C,-40.95439178384083,151.04986847572837,53.3906231942015,-182.60776954167716,-19.49813915432223,C,C,D,C,C,1.09276677088709,-104.9672910715874,1
Widowed,169.66842079345355,121.27812548012737,B,-155.8571299939136,D,-154.04284643646525,C,-247.36163052170167,-98.11637036138482,108.06674793023848,-69.83721737859412,-228.83892294761625,D,C,A,B,A,-170.73054330824004,233.52364859998315,0
Single,48.03916920109666,94.37435024053195,C,-87.7177314687866,B,310.05871222776335,C,-57.255017610739735,-18.187984780705456,-316.28229153174794,-34.36686226513196,-106.2661893876176,C,B,C,D,E,65.65729280077774,-188.60759168700397,0
Single,3.9201876143139422,36.352807115065985,B,-309.7974513350637,C,34.09692584931581,E,-100.14583648956028,166.55540931941266,99.00238405172223,22.34095002720941,98.09165449986304,D,D,E,D,C,-56.82475671884891,-90.71643204645359,1
Divorced,23.636805898376224,109.79248486882123,A,106.23490066851548,A,-220.9886899978604,C,107.81231373436549,-54.02490763625225,-181.57067017249148,108.90665517456502,-142.35504367778353,E,A,D,D,C,66.62462875369422,121.65848593200799,0
Divorced,-60.507420680384335,-14.020767660699388,D,54.70623516276936,E,44.873531158911845,C,69.12139779586036,197.5100763241469,72.51714330614527,57.74176609691571,54.69304472108835,B,A,B,B,A,165.68833159125995,-147.09567337655182,1
Married,21.94625143210567,-69.77580909850953,D,-28.386460399088016,C,-47.336300393930145,E,40.16268658657451,-22.48282192110996,15.304257137272051,-110.97762658550985,97.53762119704618,E,A,B,B,A,-50.22055073233117,-190.57850084197042,0
Widowed,-15.685602948037813,-189.2880827681757,E,-115.06907144709689,C,100.15167576150597,A,-137.99749638387772,90.54086188009994,-57.47988013148245,127.98539645572609,-81.45185711024166,B,E,D,C,C,38.99428055115956,73.93124345589136,0
Divorced,0.7537947395872925,-16.39051463239745,D,108.04656588352918,A,118.86934930318085,B,-22.001285114875888,-84.73754565514531,76.48362287644434,-85.48272135400337,174.89056078436235,E,B,E,B,D,99.8360133954169,-46.26212326713939,1
Widowed,118.15121568789604,14.654325626845685,B,14.365155616121546,A,0.33114195230506094,A,-25.95087458834146,60.953605725297166,26.155196025827905,146.34180652596595,-73.44623333759083,D,B,D,B,D,-64.96646103477215,44.21172387436762,1
Married,-145.23206281336104,3.7487329283435464,B,-5.681471160782907,D,109.26362712457629,A,-87.06569583217741,180.17094111530372,125.22982756954913,38.90270770250208,-231.63849186221407,C,B,B,D,B,88.52767717793246,-105.67561793956699,1
Widowed,-78.23147286921802,9.630675191372848,D,112.03677356736873,B,168.53988677452548,A,29.81555836835737,80.35625601917711,-27.59610417603231,-45.877642414369106,96.0899006508017,A,B,D,E,B,-136.33276768685613,-115.29991762284814,1
Single,203.43482365609006,-15.77798399882197,A,0.05325466975442254,A,-155.93692939939146,D,-35.82932791338358,-189.64780731262633,73.65190683721225,27.400691415013355,17.631943043938662,B,D,B,B,B,21.19093526639454,169.67254764160623,0
Divorced,171.7422259575816,223.2031474855693,D,166.79058622639008,E,114.63177971502961,E,-13.896683867082944,-170.3399054443415,-101.24596562904983,17.614630765617168,12.065562806950398,B,E,E,D,C,-30.07680706774171,26.759507692219408,0
Single,-69.02968835759812,152.3186292927665,A,110.46921536394936,C,-116.73747055408383,A,88.62550828036115,-44.78111084261846,-78.58122922659231,-128.50942974638474,-44.363997361256786,C,B,A,C,C,142.2501239743298,4.200010670669614,0
Married,-74.19526568386571,-72.20593465769677,D,21.56066780565254,A,127.74251843331884,A,135.8584220266288,-155.19151934744895,-7.752601464134449,-226.14144930407915,39.123308763067946,C,E,C,C,E,210.00862517819678,123.76488595230217,0
Divorced,265.5757543606677,78.6963475200423,E,-132.3956679308636,C,148.4838494596776,A,162.5443594691066,65.1495932822745,-121.13589236463878,169.9173644011111,-26.185663385836623,E,A,A,D,A,-167.09353837068636,206.2674654178326,1
Widowed,-33.71343956193562,165.04424388887492,E,-154.45599016620574,D,99.48972086787346,A,148.13092470787794,-128.7547999658831,27.01184983688392,141.32398614505374,-169.72489989048455,E,E,D,D,D,0.06632331607242035,1.7383594055384815,1
Divorced,-33.45867040237216,-39.916482079206936,E,-189.75900817554407,B,-52.995003393553844,B,90.93982436121365,39.53492753232729,58.02014607268073,-57.320200523773046,-112.90352848719853,C,C,B,E,B,-68.7160427598511,-14.727109543334043,0
Single,167.79791319829533,-48.342812242061015,B,-20.75891872461081,C,-5.380863541053369,A,-61.76643203946895,-135.72062393709723,-175.01222087990845,29.213821116524997,-102.38529196722304,D,A,C,B,A,-28.94208512247875,-311.9139075504197,0
Divorced,-113.96066274668793,74.21316566043966,D,-102.07116761095625,E,64.46918730763875,A,32.47672677981788,45.15649230918123,-184.36114789167385,210.14893505821445,127.76706194401814,C,B,E,C,D,83.55155763553135,44.52601626463329,0
Single,-51.986985291136136,33.30648876260619,E,165.19209270028756,D,285.5415806602609,E,-100.64561553544723,-21.53036003703532,31.851011807108076,34.910399086277486,23.04399447350926,D,A,A,D,A,43.94633370410537,-187.2091547183313,0
Single,-109.0753472703897,-160.26216136215425,E,75.57809416662718,A,46.60358947235122,B,-177.42069824801501,131.23850083131953,-39.444782760725175,202.39383835710106,54.505388034381276,E,A,C,E,C,114.65222318650387,-156.555947058141,0
Widowed,-29.0060305886466,33.26693190153781,E,14.943268596653766,E,-177.16120250928492,B,74.0951464506747,54.04057936987361,21.50285547839751,-16.857212608795123,160.02976531193167,C,E,A,A,A,2.282875637713691,18.314074931786887,0
Widowed,18.97079691615648,-107.5925049303724,B,-5.377939762820738,C,103.6641874537085,C,-27.91721875458255,-35.84335653462521,-155.30841017040746,-71.79828170351516,75.68687166740273,C,A,E,A,B,-10.425256204806184,-105.68896998943231,1
Widowed,-90.00638518279884,52.75743937367887,A,-244.0126870059827,C,67.56874039067786,B,-71.72265656329063,-74.62667660029774,64.60030223327003,0.5306940478068958,67.21157888458691,B,C,A,B,E,-46.36281818305689,221.9000734009547,1
Single,59.79090067448549,9.572312225088512,D,27.751833133898117,A,-116.48692112381805,D,-33.18215249133412,-53.31616833781892,-94.2745627779212,27.77440264925476,-67.16444760383392,E,D,E,B,A,-114.36491841665824,-9.150003263564756,1
Single,36.27924271247319,-129.77385675672815,E,-166.08548792592222,E,-34.29047648674355,D,-4.689380414941761,-70.5563035424505,-2.1245607309635237,35.05598197514006,-206.39032197636382,E,B,B,D,B,79.60515569065304,-144.859348072444,1
Married,-43.066351449270236,-77.7816738592462,B,-166.92936515659977,E,-49.44428440059194,A,121.07672378604244,-21.1964846607314,8.250085451857853,100.27260387513974,130.94903051726138,A,D,B,C,A,-48.86466397004531,-39.78743146187768,1
Married,177.81381519002576,135.05070739217348,A,-16.007447717933427,B,112.46881592023901,A,-118.33996820025983,-69.6418958824746,38.89368155995595,9.608906169866101,14.930911973325802,D,E,A,D,E,19.589388257635832,80.05768724356005,0
Married,-46.956188403580015,109.92466836841037,B,-64.91188130571602,E,-72.46146117922397,E,-69.74377875844753,107.36406954058137,117.47728820029705,47.209908109168275,-256.5666653677132,B,C,D,C,E,37.451204852201045,83.23236042520594,1
Divorced,-150.40901267310778,-17.76584215233239,D,-286.34372176107775,D,163.66535764240962,D,-21.242011936743435,-89.56215352496783,-39.68332772383634,86.45952845435203,-16.676444114654494,D,D,B,C,C,-62.649218221160055,-116.34866685984181,0
Single,-117.4241604591344,144.72579897931232,E,49.7311314518275,B,-65.7327817292801,A,132.2374294022908,60.39383343941045,138.22378516663048,-0.5642703014637162,43.01838814214026,D,C,B,E,A,-83.1561590001079,-61.72987570417566,1
Married,141.2760170884102,-95.0964236474066,C,89.26902541866373,A,-87.37101011650904,A,55.076831428813996,-9.619418198818076,-33.12365769942727,31.86922314070056,-98.46168146204874,B,C,E,A,E,-213.18147070507683,54.5877196812391,1
Divorced,-3.1640399260557466,-117.14422080335491,B,-14.135488672845895,A,82.40231866992039,C,-25.770229169339277,157.46527231837538,94.41774394018564,61.98166610372695,-91.63027268712027,E,E,B,A,D,-17.997152149754054,2.331697860724419,1
Widowed,-30.202152283846157,17.79535405970953,D,26.542055243908138,E,-75.44129083316507,B,28.3119579246131,-105.95529532835697,8.974369132170496,-123.85168483936457,3.895862514401644,E,D,B,C,E,-64.72623638529649,76.98456760669214,1
Divorced,72.5710284930786,-41.984256613809464,E,38.713185351529475,C,84.43787024573915,A,66.04677124814071,-55.3023278765979,34.30073373830115,25.293802498554758,-32.1441797842492,B,C,A,D,D,-56.335498609067756,-57.451421077459116,1
Single,-89.75024867670712,61.552122069100875,E,-48.13367099683723,B,-13.661081398977446,C,59.0594618921521,-6.8022891829862795,-92.29243179391443,23.57840134875279,36.71283173694747,B,E,B,B,E,109.9434749453557,-3.518044362546831,0
Married,12.942564537711194,3.655292581149182,C,-34.761811521413684,D,-21.813275361359864,A,56.85541989732374,-165.13669734959956,-36.39235984828096,-90.15322094022838,105.84143311401715,D,C,A,A,D,-39.88991158683912,-36.75601850480327,1
Widowed,-56.303536579053045,80.7035652262834,C,-155.9140245185515,C,-83.08363351814828,A,13.18101476292356,-72.50750942218936,-60.20649546928617,-124.87997085134369,112.15014744584302,D,B,B,D,B,-36.46832591794008,106.9496839030994,1
Single,7.774054398542761,-99.39069701912031,A,106.47082161235124,E,28.329629203092537,A,251.30418393686554,-44.911272846534715,74.88810019352043,128.1532332306196,222.05534669407768,B,D,A,D,E,-38.0171830904943,0.9795761114375082,1
Divorced,121.43697458923167,66.82573732608901,E,3.960816561703351,D,83.53213192823497,E,-16.68481379963681,-8.51464338407628,94.80183175448377,143.7918774429035,-12.00678377760958,D,B,D,B,E,65.96738669860495,80.24357218052903,1
Single,124.24493295573646,9.142107757799431,A,4.803016451583261,E,-49.610081517581115,B,-15.088057576696572,132.6084914358105,22.406057825326105,-50.735294549270684,-52.51453681796674,B,E,D,C,E,-47.70129370423653,-32.32378298491982,1
Single,95.40240945721465,-21.726194009903796,D,-9.957349648734317,C,-39.211917105761444,A,74.94585503591385,-112.43021006906172,-78.81962693533185,-93.61152477772028,-133.70907334760503,D,A,C,E,D,-99.67293260595902,-47.85191380961782,1
Widowed,-52.58850028760831,46.96346638115899,A,-113.38893939932369,E,84.71670500271364,C,-111.27382466402291,59.127285925257,-130.6870035226149,22.438543034468033,33.73150810757052,B,C,E,E,A,133.48038936301555,-182.93088066850677,0
Married,26.380879489358122,28.34542501714467,B,298.8678620989978,B,-134.76644683852197,E,-97.20974876807816,-51.649518125103796,-61.08510475951492,119.21794908165471,-121.45228193771311,C,D,B,C,B,-5.670039278632425,59.77688291522589,1
Widowed,39.300055526564606,-19.740783887585486,A,-64.29836760315047,B,-34.53361573158576,B,-120.6271564316566,2.3718937252493255,100.97438640134462,-55.070493726308335,19.203639436260758,E,B,C,C,A,133.11125934049826,19.67037159055866,0
Married,94.94199093686444,-9.547206125481681,E,-51.56771635756409,C,79.24690023187222,B,-96.50736531392174,-97.09581764767863,-64.20672923320163,-87.2472910150065,70.11904125288429,C,E,A,A,B,-28.889104122781,100.79643812919402,0
Widowed,69.00091257248428,-80.6740775437405,A,84.88259337098604,A,-13.39100158254658,B,-44.835571868282095,-261.6296022198558,-125.36090700270816,-25.63524622513081,137.94048400840185,D,D,C,D,B,73.09951504932471,75.92986141917133,1
Divorced,-19.891263450245187,16.54790060484553,E,-11.722714217522539,C,-135.402292947193,A,-99.03265595859439,96.8408070951725,-87.38348959259609,41.887310635576156,99.56635011057007,E,C,A,B,E,-58.918522499546086,-132.1327307945453,0
Single,-23.05913080275977,-107.35786039781803,D,-120.41761926941899,C,-14.701584795241324,E,116.0377070536359,-73.00561502592289,-11.924428022708792,-194.09003856421617,29.383467661444236,B,D,B,C,E,-27.564619170784354,53.747430483118094,1
Single,152.22280538498273,107.45336912076276,C,-26.518492389887616,B,26.210700022811483,C,74.15308757522348,32.60004389981028,-86.7232134565071,176.5755556237375,-7.512464567138675,E,C,D,E,D,71.85347102243514,-95.08130697791853,0
Married,53.81883385298239,15.235204638423536,E,201.44401654538405,D,60.24887096388124,C,44.47003840323685,49.77697166534242,37.1712335932701,-83.55695866611764,-118.9158166848117,E,E,E,A,E,-34.809645284569704,75.14480656446139,0
Widowed,-80.85210182960284,140.45753005642837,D,-110.4534893113929,A,92.53155728744636,C,87.32263107623196,95.06748487573103,104.28340226263784,-17.353448644302365,67.25497748761688,C,E,E,E,B,-72.40702088951147,-39.18739092214272,0
Married,112.56226864869726,-105.50035384752388,C,140.6951291203614,D,87.54236131458632,B,-34.91281661212805,-12.522150132873666,-14.122618149804481,-15.547257274752809,179.73225068576284,D,E,E,C,A,-32.08088601318339,-7.402671660618363,1
Single,-88.41317496300199,-75.50538755056935,E,165.62431863810056,B,5.837929273609908,B,-10.835468093262259,2.545700283097254,-44.34043430893917,-64.8570949721606,-108.71056049750038,B,D,A,E,A,-134.5046534743094,123.00453990563418,0
Single,63.32304860212654,-121.03445099205949,A,-47.986502670198924,E,147.69656286743987,B,-79.440211385422,84.96037947995649,-18.367988188824615,-118.64264120009153,-148.14764465111296,C,A,B,B,C,-94.34218774589766,149.06531982948758,1
Married,-56.19137430118717,-68.54437217368114,A,90.55996830173105,E,-112.85459851100883,C,46.2028074139037,-30.882038431314168,-56.29246131686244,51.65502673368647,111.15005209512185,D,C,C,E,E,104.32789138316406,-85.48694796300222,0
Divorced,-3.4321768086329865,66.00809075837117,D,-44.88041579583794,D,-125.70601989122964,C,-123.79871160459281,2.8433753521451286,80.55823153355672,-36.82144645124541,-89.2857320152492,D,E,A,D,B,-6.565262235364565,62.7616713784391,0
Single,-196.7462044131235,-79.66875627782379,C,177.27995334398702,C,147.08281535581023,D,94.76244373627391,84.14050025772737,46.24307360736907,107.52311084075137,57.29175711513662,C,C,B,B,E,21.451114316302796,-203.6942269869275,0
Widowed,-128.2897226008874,-66.13318694043618,B,67.54101920828892,B,-169.88122964049032,B,-57.18852336653376,-96.0984346823225,-39.441622081263326,141.95735146118045,-137.20245629843885,B,C,B,B,A,93.04663867037505,137.74137356415332,0
Divorced,117.8434923309581,74.66040020074993,E,22.063195080943228,A,-61.561303020038,D,34.48720328038641,-63.03202942000301,-97.11060160470365,127.92713062992087,147.8790735501246,D,B,B,B,D,-8.450354561675107,131.05677921229878,1
Married,316.3671594726621,13.914053397480766,B,42.32418014427877,C,89.93104550241064,E,-82.88055012440245,184.36471447070994,-153.05827391867618,68.61892161814173,63.23939803015638,E,C,B,B,C,21.96285151545309,14.385343998046487,0
Widowed,157.88730583353666,84.9786418912199,D,344.9573312265717,B,-140.8337752369479,A,132.88694963027933,-69.18225834094744,137.70344597012948,237.49761687516582,-41.76093646196613,E,E,D,C,B,-222.6987197996234,-134.59632497472919,0
