marital_status,genero,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Widowed,Non-binary,Jewish,E,B,C,C,B,31.313640360563767,C,-100.90332318707016,C,B,87.79199389811274,E,-101.75323965473105,C,C,96.06285919637367,0
Divorced,Non-binary,Jewish,B,A,E,B,A,-15.401922324088435,D,-46.46145168103899,E,A,-95.04976912711317,C,-67.80998722914919,B,D,-14.261473569886713,1
Married,F,Muslim,E,C,C,B,E,-101.90876162934637,E,6.577200209803808,C,B,161.05953405635253,B,101.48304106851795,A,D,167.26048090349698,1
Single,Non-binary,Other,B,C,B,E,D,-26.963395079407253,E,-57.71295135796174,D,C,91.63037420041275,E,171.46419044749942,E,C,45.593437236663334,1
Divorced,Female,Christian,B,A,D,C,A,113.3121697930363,B,-2.0472217871012703,B,D,107.83110460885237,B,50.15372564820082,C,A,39.954610939620686,0
Married,Female,Jewish,C,C,D,E,C,123.66326228269176,C,-1.620958733413641,A,C,40.69460041935519,E,202.98123452617784,C,E,62.66670870379928,1
Widowed,Other,Muslim,D,B,B,B,E,38.20891612826626,B,-134.02811492178938,C,A,86.80323420095121,B,16.368754353143597,B,C,-160.08174254146624,1
Single,M,Jewish,C,C,D,E,A,-0.865221742526646,D,-78.32780641558298,D,D,103.36572704574279,C,102.74348865791414,E,E,-41.36308365754015,0
Widowed,M,Christian,A,C,A,E,B,-197.6170586348543,E,-5.088943498447892,E,C,106.03001928914449,D,65.09275874656292,D,B,-143.72426274652216,1
Widowed,M,Other,D,D,B,D,C,-160.0090548012628,C,-4.211017742031241,C,E,-2.991267864340593,D,-117.43290822645665,D,B,-58.11519343993988,0
Single,M,Muslim,E,D,B,A,A,-136.9125801671599,C,-136.64719134507612,C,D,36.2429118810326,D,122.26948239560002,B,D,118.47766351364966,1
Divorced,Female,Muslim,B,E,B,A,E,23.60307414729529,A,-1.814810319646901,D,C,-25.45168730781473,D,-147.50225213646556,C,B,46.342468083083325,1
Divorced,Other,Christian,D,B,A,D,D,31.498977745140465,C,0.4141954001678021,B,E,31.47488251060171,E,-134.95218251533407,A,D,164.54364684265846,0
Divorced,Non-binary,Hindu,C,A,C,C,C,-37.53641940271211,B,131.43488594366875,E,C,99.90412180553136,E,-32.739072025968476,C,B,-16.58454862648181,1
Married,Non-binary,Buddhist,D,D,B,E,A,-45.196700398223406,C,28.257832932872617,A,C,1.789211721361632,E,271.13248341578907,B,B,-57.64430865857738,1
Married,F,Other,E,C,C,A,B,59.85085362764146,E,-188.8026099360248,D,D,-65.5640284545559,C,39.455265365981845,E,B,-66.13004026433067,0
Widowed,F,Hindu,D,E,C,A,A,68.86460824792015,E,104.09118634668569,C,E,50.662627718791676,C,-34.07335593227422,B,A,80.36702698947336,1
Single,Male,Muslim,C,B,A,D,D,59.19312308065334,E,-33.61198383858389,D,B,122.13606456977044,C,157.214378402928,B,D,115.45188474636447,1
Divorced,M,Christian,E,E,E,E,E,-66.17787730273342,A,-112.56597159576445,C,A,73.01236876882791,C,-40.98403721044455,D,D,-79.59741405249893,1
Widowed,Female,Other,C,C,E,B,C,76.64310351297055,B,62.82862458489858,E,C,71.85370904150152,A,48.263019451819645,A,C,-14.171675715542667,1
Single,Non-binary,Jewish,D,A,A,A,A,23.254481813138234,B,-102.08241154275042,C,B,-38.98953104522377,D,60.72743677146636,E,A,-125.57393884655792,1
Divorced,F,Hindu,E,C,B,C,B,-58.86247599236915,E,58.235094901825036,E,C,-25.88810975163446,E,42.804539027480786,C,C,-14.850293757248606,1
Widowed,M,None,E,A,B,E,D,74.98481530635488,A,80.73588981437521,B,D,-29.047074561525516,A,-12.221082627000063,B,D,-37.82106382854706,0
Single,F,Muslim,B,D,E,E,E,-121.69104345449009,D,-35.94724319501511,B,B,-19.623498410793253,C,9.296661610941513,C,D,-161.7735857308345,1
Widowed,Other,None,B,E,E,E,A,51.39947682331655,D,110.37884835204865,A,D,-124.18385272878739,E,-139.46319581080888,D,A,76.79298845264383,1
Divorced,F,Other,A,A,C,C,D,-26.11347126613429,E,13.545624528651883,B,B,-178.42268968613513,D,121.7416141533759,C,B,117.42518774858,0
Divorced,F,None,D,E,C,B,A,-149.44171069047985,A,46.438745025278955,B,D,-27.21612243951436,C,-87.50205595739229,C,D,26.39165539159497,0
Divorced,Female,Other,C,E,D,A,B,-32.37960375085161,C,92.87501109109147,C,A,-133.61003387349348,A,-59.727455935619275,C,C,31.338755611574086,1
Single,Female,Jewish,E,A,E,A,B,-121.7712495647983,C,-26.931792893871254,A,E,-171.05830633749193,A,-79.42571881078396,A,D,-28.462443700307276,0
Single,M,Jewish,B,B,E,D,B,-24.48658427760827,A,-53.01036462818839,E,C,15.15033762665042,C,83.5103940221301,C,B,-61.56345462599456,0
Divorced,Other,None,A,E,B,B,A,54.78510561404455,A,4.3814031935243944,B,A,-38.36244804820766,A,67.16996523738108,A,D,-239.2074815225258,0
Single,Male,Buddhist,D,E,A,A,B,109.20382573673561,B,45.58140207247279,E,B,-0.7443292199393493,C,-114.78524447369176,C,B,-258.73822495746464,0
Single,F,Other,D,D,B,C,B,255.30822546674457,D,-57.221285397784364,D,A,-70.4815777177486,C,-4.737154668590601,D,B,-92.36742027931581,1
Single,Other,Jewish,C,D,A,D,C,62.08023267684499,D,-124.81116806086159,D,A,29.076260076981747,E,-234.4634936818553,E,B,36.426946814057544,1
Widowed,F,Other,B,C,C,B,C,26.747159765057738,D,-7.017858096265367,A,B,-129.1298913619671,E,99.89589402761328,C,C,-152.67998460810733,0
Widowed,M,Muslim,E,A,B,E,B,37.248379171584794,B,-60.28015642784356,C,E,150.11157137043324,C,-95.14335219625171,A,C,91.7770139036501,0
Married,Other,Other,E,A,E,B,B,-63.013720828806754,A,-110.71550865265377,B,A,-69.69114419978413,E,49.95119376687897,B,E,103.11938528530963,1
Divorced,Other,Christian,C,D,C,D,B,-94.69453329219452,D,34.527838989318774,A,C,-151.67685664373877,E,60.6972093758262,A,A,-146.07046947571007,1
Married,Female,Hindu,D,D,C,C,B,-140.82550473752366,E,-88.5603167304054,D,B,-77.9154392734568,C,83.75379487457096,D,C,-27.07157640360603,1
Married,Male,Muslim,B,E,B,C,A,147.90728679074994,B,-78.54032373589357,C,A,-32.87851860917203,B,-89.74695599287938,D,C,-6.489174807168714,0
Widowed,F,Christian,C,A,B,A,C,14.110858026488884,A,-108.33681864955416,C,D,15.106935162306964,E,12.10565764814281,E,B,9.740725381076182,0
Divorced,Female,Buddhist,E,E,B,D,C,-52.9859629750076,B,-110.22463469757244,C,D,186.38629866658763,D,69.55315234194754,E,E,-14.887154696341357,0
Married,Male,Muslim,D,C,E,B,E,-123.2433672678693,B,-18.798985979632022,D,C,-155.46263797721707,B,11.256361534941071,B,B,-111.70238222773105,0
Divorced,Female,Christian,D,B,E,D,D,36.09951715200111,C,-24.042582963562513,D,A,54.57898875846004,D,-156.65466544472562,D,B,179.20340223152056,0
Widowed,F,Muslim,E,A,B,C,B,-73.50241315230174,A,61.68635132474933,D,A,7.846046786172156,E,-87.50589715457082,D,C,125.3717581691745,0
Divorced,F,Muslim,A,D,E,C,D,-44.33955758520155,D,-211.9712822660001,B,B,-90.29739350749853,D,10.608431353516519,B,A,-21.148625465730618,0
Widowed,M,Buddhist,D,C,A,C,E,-49.02147491469854,C,65.74950948665592,C,D,56.674643176239826,E,-138.6459838884655,B,E,150.85129873844215,1
Widowed,Female,None,E,A,D,A,E,-48.880972628253105,A,17.08335999896204,B,E,-106.11025315472118,C,43.789435993677245,B,C,-25.58709014299313,1
Widowed,Other,Hindu,A,B,D,D,D,73.65588046511026,C,119.49025986082809,E,C,33.18357378472346,C,-35.5593190977965,A,E,5.528763381063239,0
Married,Female,Christian,A,E,B,A,E,-134.0659139731829,C,-45.315560917815986,B,A,-37.4149906370791,A,111.10860902610152,A,B,38.81371732982441,0
Married,Other,Buddhist,E,C,E,D,E,202.64115043972848,D,96.54810304330933,B,C,-38.09117507209845,C,-43.85491372540034,D,B,-71.66512863348908,1
Married,F,Buddhist,B,B,A,C,A,131.79121901628073,D,-229.7853546140439,A,C,62.8933762825702,A,33.91764764068834,C,D,37.45340026081604,0
Married,Other,Muslim,C,A,A,E,C,20.87699457522999,A,-10.308514649858838,D,D,60.88435050483015,B,-91.97719059243946,A,D,-77.40749076655418,1
Widowed,Female,Other,D,D,B,E,B,-168.61386730288675,C,38.57191710811678,E,E,94.18493596141784,B,49.17365510769303,A,A,-52.70683838175175,1
Divorced,Non-binary,Hindu,C,D,E,C,A,165.43963598038818,B,57.219267173467536,D,E,90.05607413869508,A,54.06669629995638,D,D,61.23107265833033,0
Divorced,Non-binary,Muslim,C,B,A,D,E,-99.54687484902308,B,79.1977210365638,C,B,13.908986701333353,D,-53.696388442919854,E,B,-99.34900825985294,1
Married,Female,Muslim,D,E,D,A,D,-32.52183416842374,D,211.29626202382147,B,C,48.7332619200527,D,-145.72622360222013,E,A,112.3736835629185,0
Married,Non-binary,Other,B,A,B,E,C,-65.48745991343506,D,36.88921419771916,D,A,141.14938950640934,E,74.54577241306674,B,C,-68.80152715562161,0
Single,Non-binary,Other,C,E,A,C,D,103.23185545222077,D,25.808481213059398,D,B,47.46359002850158,B,-28.740501774934817,E,B,38.153639248220856,0
Married,Other,Muslim,A,C,D,C,A,45.15092435986076,B,-166.87505681993437,C,A,168.17392299341006,B,35.5916850111713,B,B,14.020689233398109,1
Married,Non-binary,Buddhist,D,E,C,E,C,10.235654622341103,A,59.13459562412442,A,B,22.366899257676614,E,118.84466822628224,D,E,-108.34954193771844,0
Single,F,Christian,E,C,C,C,C,65.84542158517357,A,-124.53227745528767,E,D,-61.45068754057773,B,69.28060528287021,C,D,-73.88988305655896,1
Widowed,Female,None,C,B,E,C,B,-8.411373902919674,C,199.26055418858232,A,A,-77.76699724113027,A,-57.89134421067173,A,D,-145.16587450208507,0
Married,Male,Christian,B,D,B,A,D,48.23223179070977,E,-46.22171659854144,A,D,22.286568324136073,D,-141.98352444917194,C,B,-35.486037444133686,0
Single,Female,Muslim,A,E,D,D,C,153.44450331131475,A,46.82829576517724,E,E,60.782152603787345,B,-42.99048432591236,B,D,-78.77328861697285,1
Divorced,Other,Buddhist,D,C,E,C,E,-102.09005848876534,B,105.5937366855758,E,C,-125.11927696041055,A,-0.2320077004152953,C,B,78.67935279818137,0
Married,Male,Christian,B,C,B,A,A,6.488450409837611,E,6.25981505777478,D,C,-75.06229370797358,E,-62.0204008392797,E,D,-56.930875755694366,1
Single,Other,Christian,B,A,E,D,C,-128.85522524770352,B,-30.913974610945605,E,E,188.3858366139448,E,252.6684963379616,C,C,46.41253586101716,1
Divorced,Male,Hindu,A,A,E,A,C,138.1454243490839,B,-94.23461620208315,C,A,-47.75952907686334,E,-154.04020702492411,D,D,-120.16156074448192,0
Divorced,Non-binary,Hindu,E,D,E,C,E,-17.785316478867415,E,83.74511909204465,C,B,48.29795767462895,A,69.91224966849333,A,B,7.898508445070052,0
Divorced,F,None,A,D,E,A,C,-74.7119035439967,D,97.9778977561363,B,B,-49.54224433109001,A,4.0429957955213345,A,D,9.526493259305523,0
Single,Female,Christian,E,E,B,A,D,-190.86532090756882,C,5.811142715971972,C,A,112.6537387413055,A,40.45318407444066,C,B,-83.60534885472524,1
Widowed,M,Buddhist,C,D,E,A,E,82.75745593031839,C,-57.03951472899485,E,C,3.6708223517239147,C,-46.23289134420263,E,C,-160.67361095300103,1
Single,F,Christian,E,B,C,B,C,-115.37824024449719,B,58.406179990358666,B,B,-51.36113298391456,B,-60.106476396594,C,B,39.860695767235384,0
Single,Male,Buddhist,D,D,B,C,D,2.056280157851513,A,-139.125559356455,C,C,-44.11431348944346,B,10.27457838575937,E,B,-22.08952872935254,0
Married,Male,Other,B,B,C,E,A,174.42209711190912,D,-68.15688175196509,D,D,33.41641251928742,D,40.58893962646495,E,B,-15.292816819182281,0
Divorced,Other,None,E,D,D,E,B,-71.11151716983908,D,-129.0637112078578,D,C,-16.714314105337042,D,-109.88663607703559,A,C,-23.038891678253194,1
Single,M,Muslim,A,C,C,C,A,-62.611789004325146,E,-42.90536703512081,E,D,-26.997236604372628,D,24.81080203865102,E,A,-5.2189999656561366,1
Married,Male,Jewish,E,D,E,B,D,18.187224281238514,D,-14.699428241477602,E,B,182.17009559822682,B,40.6511823095721,E,D,-63.39600909945198,1
Divorced,M,Jewish,B,A,E,C,D,144.20907851377564,D,-1.0888375934902377,D,A,-6.944188998450808,C,-70.85002318274906,B,A,63.704076716220435,1
Single,Male,Buddhist,B,C,E,A,C,-3.0438482889981913,B,-24.335054340766842,B,A,125.72737714317745,A,2.3022073235421576,E,A,46.07074750132781,1
Single,F,Christian,D,A,A,E,A,14.621045585896466,B,117.61337049507613,D,E,130.84298890033983,E,60.22363331388212,D,A,46.342348378881546,1
Widowed,F,Christian,C,B,E,C,B,-59.968464510145104,D,55.248975263775336,A,E,76.3971924372696,C,140.02279070751246,D,B,81.2742648505901,1
Widowed,Female,Buddhist,E,D,B,C,B,-62.10662437897017,E,-34.588728824361375,B,E,27.679461713868942,B,-76.12614267145167,E,E,62.378575213467755,1
Married,Other,Jewish,E,D,C,E,B,-38.155747140941756,A,-116.7228657646322,A,C,-59.791922364327334,B,72.23651860975464,C,C,-29.731455425612396,0
Single,Female,Buddhist,A,B,D,B,E,155.48039429448755,D,-12.470615391258935,E,D,-4.712822028765149,C,164.99751837013977,B,C,-11.585704106586359,0
Married,Male,Christian,C,A,E,E,A,226.74385427784668,A,-83.22361265184466,B,C,64.92149343392015,A,-194.14548947923168,C,A,146.67145093855598,0
Divorced,Non-binary,Muslim,E,E,D,A,D,-193.16104807117617,C,-0.8608498067630406,B,D,57.66102963218367,B,39.1037660190609,D,C,180.09699902167523,1
Widowed,F,Jewish,C,D,C,D,B,109.69718650770346,D,164.7729570836573,E,D,265.9571885745179,E,-2.322261610426656,A,C,-170.1656498813483,0
Married,F,Muslim,A,A,B,A,E,-215.16702199996277,E,57.775412183506155,E,B,124.7260343502873,B,8.078767314505612,A,E,21.35122057746156,0
Single,Male,Hindu,D,C,C,B,E,-56.72506447196001,A,65.7643685327082,B,E,-12.278520218435649,E,-91.773861661224,A,C,33.93807313896764,0
Widowed,Non-binary,None,C,C,E,E,C,-99.37763543526104,B,150.31639884022636,B,A,188.5180864342175,D,-10.387449950219626,A,C,58.97096488223607,0
Single,Non-binary,None,C,C,C,C,B,-80.41854458738993,B,101.2043494554668,E,E,-39.13552483206681,E,4.434291321666349,B,D,-54.8968259923451,1
Divorced,Non-binary,None,A,D,C,A,C,54.49403293900376,C,99.396849546203,B,C,200.8943544403786,A,79.70074670349433,A,E,-116.86382504588695,0
Married,Female,None,E,D,A,C,E,68.99951960763428,A,53.58305559542933,E,B,45.7435270287321,C,113.60989900805704,D,E,12.417912886218325,0
Divorced,Non-binary,Jewish,B,C,C,E,A,-9.421635507882144,B,46.3682501144634,A,D,-1.240513975905161,E,294.60775203153406,E,B,-138.60795565342377,0
Divorced,Non-binary,Jewish,A,E,B,C,C,1.1031396429096187,D,-10.187729482621325,B,D,-40.39033390044596,C,74.2554542594527,D,C,72.0460644743755,1
Married,M,Hindu,C,D,A,E,D,-59.56591189036076,B,-305.0584378052169,E,E,-156.77426107949333,E,-35.284931759669,D,A,155.10033361058723,0
Single,Non-binary,Buddhist,E,E,A,A,C,-40.46069142627354,C,-45.45476439272605,B,B,182.03964379395475,B,47.72032504954886,B,A,-34.29793152853179,1
Widowed,Other,None,A,C,A,B,C,-60.11601635709515,A,108.79342659250186,C,E,-83.57760361543275,D,-87.57321096938797,A,E,93.76774129377966,0
Widowed,Other,Muslim,D,E,B,A,C,122.35028498181842,A,-14.642188637014483,B,A,-21.62318463009011,D,93.58306927548941,B,E,-55.94892689260161,0
Married,Other,None,D,B,B,B,E,53.47250244480407,C,-56.5499051285905,D,E,187.47771071538523,E,33.77691282958515,E,B,-14.931526960401548,0
Divorced,Male,Hindu,D,C,C,E,A,102.73703868416521,A,-18.941210132008404,A,D,26.434062346280818,D,15.450775940611198,B,E,-33.453261722236284,1
Married,Other,Jewish,D,D,D,D,B,86.7121469620779,B,-59.28184580403952,B,D,-23.85982887870433,C,-51.78953751358364,A,A,117.53159529764964,1
Single,F,Other,D,B,E,B,D,58.58271057855957,C,142.98488322055573,A,D,-11.346317785616577,C,96.65799473525242,E,D,-23.61897847399994,1
Widowed,M,Hindu,B,C,D,A,B,16.777662860123936,B,-64.47156181166166,A,A,5.900677915204476,E,194.08936725090487,C,D,91.71314574473278,1
Widowed,Other,None,A,E,B,E,B,-53.03569750639796,A,178.93688211079112,E,A,-148.1262255812936,D,107.38138641907177,E,A,-34.72982761548639,1
Divorced,Female,Other,A,B,D,D,C,55.65605224980828,C,101.26554020686586,D,B,-68.74044314827185,A,-125.31042540526138,A,A,-24.744134376696383,0
Married,Female,None,C,A,B,A,A,-16.405613149795787,B,31.593285253487196,E,A,-41.677819805606305,A,-81.84811678311544,B,C,-85.5275335103353,0
Widowed,Other,None,D,B,C,C,C,172.20819019962843,A,-164.85281740002858,D,C,4.559579398274425,B,47.92022090896241,D,A,-56.59354726591075,1
Married,Non-binary,None,D,E,C,C,B,53.71284658985282,D,-53.74042068398539,A,E,22.497114996370275,C,35.9917199111527,B,C,-20.37672081431497,0
Widowed,M,Hindu,B,A,B,C,A,-0.3548651950570164,E,116.90148685589085,D,D,80.51740557095829,E,146.31671550583712,C,B,-8.057881032396295,1
Married,Male,Muslim,A,E,A,C,B,18.10126922525992,D,28.879736320134736,A,D,215.31613264057845,A,-63.21843290639345,E,B,75.2692666894348,1
Divorced,Male,Muslim,A,C,A,C,C,-86.98026205855761,E,-87.81090193621992,C,D,-20.079282115910406,E,58.87897498810097,D,A,-149.93097706985245,0
Married,F,Christian,D,D,E,D,D,52.50144032343593,C,47.66749409230325,A,D,-11.25401311250156,D,-67.57606014931206,E,A,66.08805130894459,1
Married,Female,None,B,A,A,C,E,42.33611067638761,E,-41.15543774768657,E,A,54.03490651872447,E,-75.73294531701924,B,C,-157.84682124906774,0
