military,religion,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,Christian,51-65,C,98.99219934974795,70.25967998593963,32.01053488455345,D,D,C,76.37814842842891,B,C,B,-85.24618840394395,80.77679314919533,24.717413724084818,1
Veteran,None,18-25,E,79.79615608788087,-16.579551723457726,-47.43410571084395,E,C,A,44.08228509330096,B,E,B,-89.63777244836922,48.625457306134386,-42.04488594830135,0
No,Hindu,18-25,E,-101.5826682218243,197.90304503132452,130.8119833287183,D,C,D,-68.73804746595039,B,D,A,-50.7645618301373,-50.3673308607332,122.1472845536993,1
No,Buddhist,18-25,E,-81.59428379734548,-46.116978577402264,-45.63686723731674,E,A,A,-66.63505745035165,D,A,A,-134.42519869246067,-104.1221479813186,21.542372591873004,1
Veteran,Muslim,26-35,E,44.644570422338646,-69.24222790381206,106.23704996734833,A,B,C,-37.356137442265926,E,A,D,-206.06374924138214,51.49642027002736,-71.04547625674478,1
Veteran,Buddhist,65+,C,12.252043749792703,84.25875897330349,20.912811866104235,D,C,C,-91.70757075691607,B,C,D,-33.94128447586315,-31.9726615899038,-93.11919347939158,1
Non-Veteran,Muslim,36-50,C,-187.25968109366923,-118.00865797478093,38.350263080782604,A,C,E,-63.878669891494674,A,E,A,-58.97076845484911,104.03021813674795,74.73913554711447,0
Veteran,Buddhist,18-25,B,149.63958755433165,150.99200212954875,27.679486468560118,C,C,C,-32.86370939367818,E,C,E,73.96777998529546,49.07170040661842,78.86839996043336,1
Yes,Jewish,65+,E,-63.78812565867978,-217.09385223032976,71.0216925622848,D,D,A,-50.54369601317573,A,E,A,-35.58359058498278,92.19267574511099,-108.83752096192643,0
Non-Veteran,None,26-35,B,161.03417907063044,68.45584880851638,51.26846053101563,A,B,B,-132.7622270816943,A,C,C,-99.02622405661083,-27.99829486146294,-154.7684385790284,0
Non-Veteran,Other,51-65,B,-57.89057224687403,-56.73289909465481,159.70283728590346,E,E,C,-82.40865355830707,D,C,A,-67.44391828682271,-5.821396457906807,-21.45074514252884,0
No,Buddhist,18-25,D,90.29119532689288,23.24025744799191,-6.761071688623314,D,D,B,87.60417839465298,D,B,E,105.46313309260229,48.58006836906438,-26.830152774352623,0
Non-Veteran,Other,36-50,E,-47.08576495853155,-154.9528616143401,-79.59124731150007,C,E,E,-90.26741418213562,E,D,C,134.61062958758387,-67.33743093993705,52.15840968167432,0
Veteran,Jewish,18-25,D,135.20779634714702,-18.772509785851522,-13.015082144529197,C,B,E,-81.73159289271922,E,D,B,34.90411453007111,21.827219940226477,-9.04893661713481,0
Veteran,Christian,18-25,B,24.569207871636287,-102.70316166570458,-46.853321465664536,C,A,D,83.04084104859207,A,E,B,-114.0311784909722,135.83677131139999,-91.681449833388,1
Yes,Jewish,26-35,C,18.976811493124472,-267.5582823902059,85.13425027520596,A,E,D,-44.23796759748743,D,B,A,-46.28318248428009,47.24855420430343,34.533121550129394,0
No,Muslim,51-65,C,-22.752886520776144,-9.705632925319742,9.989195526796383,E,D,D,-42.08320043437316,D,D,C,-19.084501608527756,140.3037690240435,48.11262139326534,1
Yes,Jewish,18-25,C,22.455199263360534,162.9081610114066,-32.29232986807952,D,B,E,67.14930337899456,A,B,D,-41.87002458037726,61.28181669015278,131.35349274720127,1
No,Other,65+,D,5.567615979785866,-10.313734016134063,-35.32176788889945,C,A,E,-102.97976917191637,C,A,D,10.990963517986264,-53.379789285814084,36.40854446937228,1
No,Other,26-35,C,-84.68993703560731,-17.900306378410892,44.08092754674835,A,B,E,-44.47879456637161,C,E,C,79.89939724358639,71.99277185669497,51.09174090189356,1
Veteran,Muslim,65+,E,-138.27920241601004,105.06344926290403,172.63647840402453,B,D,C,-85.20992571634764,C,B,E,72.10038982476122,-68.51058556989666,-29.32704823718045,0
Non-Veteran,Christian,65+,C,33.03496168197205,74.2931394434131,27.519597215021324,B,B,B,69.20285354722263,A,A,E,-77.61100563390497,140.8697395884306,86.81481366363671,0
Yes,Other,51-65,A,-81.35383074338944,-11.52168752009317,36.77873191081887,D,C,C,76.1553495305584,E,A,C,-72.06027893069462,-23.319939173083164,-1.8464054210768972,1
Yes,Jewish,51-65,D,-170.19814889854362,43.69889646408801,-122.40835373685223,E,B,E,-109.89299486292137,C,E,E,-138.34970338184772,95.78130658073655,122.291112632764,0
Yes,Muslim,26-35,B,174.68864981948363,93.79506274573689,92.65385370166325,C,C,E,113.93926746226302,C,E,D,-151.78113844723953,-26.25935795479875,-52.88604956263912,0
Veteran,Jewish,51-65,E,-187.7918029004819,-89.27178507676275,26.74886996851096,D,A,B,95.21425894624737,C,A,D,50.65021312299752,-123.16982318650125,-44.221784332219855,1
No,Other,18-25,C,-71.80407918769221,75.33454282220879,53.05866266458686,C,A,D,-198.60820352045323,D,E,B,197.67782083697523,-103.6941093517989,-141.4124163650327,0
Veteran,Jewish,26-35,A,-5.506579250144337,-79.78854785669277,1.9853309002627586,D,C,C,37.44428850988483,D,E,A,75.89918785114207,32.27490562755173,-64.00151250036534,0
Veteran,Jewish,65+,C,-48.57945758188599,-1.3070615624357347,-3.823173497532234,C,C,D,-14.399490863758505,D,E,E,-232.45721173139202,-74.7989502254453,6.466274258815338,0
Veteran,Jewish,65+,E,40.77900446016638,-118.68645327145167,-153.90288060453855,A,E,C,19.379943041005298,D,C,E,-46.07401500596529,24.05387546982093,-23.231561388638696,0
Non-Veteran,Hindu,18-25,B,-48.50010975213424,66.13175756655679,206.93630966883362,D,E,D,17.745431570352515,D,C,B,79.02485882345812,-10.180798206425932,-54.64578771999368,1
No,Jewish,65+,E,-67.87940401647197,13.280508837858939,5.661553744600784,E,A,B,44.45267371943486,A,A,D,74.2356317288105,139.3225269516023,129.04658819586297,0
No,Jewish,36-50,A,-67.58445783404684,120.39643226116124,95.26912087541861,B,D,C,-88.76768494131119,A,B,C,73.69781191543382,-12.320109130482587,-154.16177300979126,0
No,Hindu,26-35,E,61.705482354885945,151.9646424672895,78.99315075808052,D,A,D,99.81814683446096,C,E,B,0.7163937247601988,-44.73551948616014,114.04148197403472,1
No,None,36-50,B,-96.689890143462,211.97305971944772,-71.2718921508311,D,B,A,-64.26546343570578,E,E,E,-143.86912282269196,-124.92176984082855,-36.6418538661834,0
No,Jewish,18-25,B,-60.7208884192345,-112.00463409464977,-20.702129459199707,B,D,E,-117.9394889661247,B,E,C,-64.05729552850539,-52.092177489018574,150.44668856940748,0
Veteran,Other,65+,E,5.381871707286932,-82.3141976621838,-101.09120232153592,E,A,E,-40.23020352574378,D,A,E,-280.0704085172347,93.0834412482013,-15.882197220314495,0
Non-Veteran,Muslim,26-35,B,81.72092374208019,72.60923475673161,30.192467925355572,D,E,D,13.174746695260536,C,D,C,193.59173172616153,-28.54646020894141,139.12558583157696,0
Non-Veteran,None,51-65,E,-22.954074849234406,158.23989366200914,-155.71085139084687,B,B,D,81.12346243186428,C,B,E,9.220717609189306,-158.21162265677708,-16.039670782203505,1
Veteran,Buddhist,36-50,B,89.04980132025104,-58.695555341943816,87.63746259841592,A,A,A,185.44543924801354,B,E,D,-71.54287639789432,84.70534739237623,90.54528263482374,0
No,Other,18-25,B,-59.76457032033796,1.64952895538136,-60.33447209252275,A,D,D,31.587680967135068,A,B,C,-12.852509378272185,33.97909650963635,123.94717259017438,0
Non-Veteran,Muslim,51-65,C,-66.81208021948191,-104.72382992846974,-42.98817771676123,C,C,E,82.8570867378311,A,C,A,105.81684170679002,122.76706191035342,95.66908147440812,1
Non-Veteran,None,51-65,A,-158.85240232670807,-43.8466595939141,1.0681459615003912,B,A,E,17.358575046021574,C,E,E,8.427510416155501,126.64969139014094,57.92706052611567,0
No,Other,65+,C,21.129982874733074,-37.355712872959515,194.83877189018335,D,E,D,140.52243491755888,B,B,B,152.37437676362947,134.89979660282097,-11.680545489409923,0
No,Jewish,36-50,D,-114.23918821976302,-41.504326474675864,64.32033865514137,C,E,C,-21.64937645487261,E,D,B,-146.1054812442852,-33.85132680218777,114.40736235994422,1
Veteran,Muslim,36-50,A,-1.8105326293674857,44.10108520586338,100.03605828136195,E,E,C,-63.33472026102521,B,A,A,49.124694994147326,118.37280592049967,-84.53795067584566,1
Non-Veteran,Other,65+,A,-89.38570648890027,-26.435548100797302,-68.91344978050645,C,C,B,140.9616907072651,B,E,D,171.52434161754007,68.8100171081845,18.840281601757304,0
Yes,Muslim,18-25,E,-169.59035314046102,91.15405142648277,46.409543259026606,E,C,E,-64.78956310861234,D,E,D,29.280053440374292,-17.759424722511312,217.57220888738087,1
Non-Veteran,Buddhist,51-65,D,-109.06965263694228,144.2395091808361,-146.9438819053976,B,B,D,-81.49101354191282,A,B,E,5.389789084560784,110.00408575108789,43.08146825539419,0
No,Christian,18-25,B,-53.67279171149881,64.22506257602232,18.329452494938774,B,C,C,35.80724951716378,E,C,E,-62.87804664237348,130.16632047456827,-110.67778721712271,0
Yes,Jewish,26-35,E,-165.75657684198424,18.429163055621014,100.9429440845429,C,E,B,14.341483410288403,A,D,E,95.44145154416877,-83.4417266850004,201.08057910237034,0
Yes,Hindu,26-35,E,-57.43066793419032,-28.33398155622374,-111.08961555025351,E,D,B,125.84761404323383,A,E,A,-24.23935171732694,-162.33236924342322,-20.679971999401488,1
No,None,26-35,E,-115.08588387148957,322.69433444553613,-59.822851101014685,B,E,D,176.4571029705567,A,D,E,-83.89872536027698,-227.9613980234745,116.70903559506674,0
Veteran,Jewish,65+,C,-61.584964809549334,-2.315876300619631,61.01440510207,D,C,D,-99.59861172952111,E,D,B,49.43607736054438,9.453321119217488,-22.130406122009948,0
No,Jewish,18-25,D,191.15502911612737,-177.3620905329154,-8.166001257324762,E,C,E,-175.16630139750637,C,D,D,114.00033978138164,3.9104141394721683,21.097959408271592,0
Non-Veteran,Buddhist,65+,E,-161.09403034134252,193.91147388879452,-10.294662466095593,C,E,A,-185.809396214028,D,B,D,163.52984970787492,10.631083036118456,105.57589365418525,1
Non-Veteran,Buddhist,26-35,D,46.30156142168001,-0.5187161755130127,14.672472454688071,A,B,B,36.27129622442116,D,D,D,32.80771705706593,68.78257336086256,123.25612074213699,0
Yes,Other,18-25,D,57.13741519360494,222.38198886700707,13.072876220201607,A,D,B,-77.30049039709328,D,A,A,-168.39109163774316,-85.40014813210892,-71.38731749306932,0
Veteran,Jewish,51-65,D,90.82173062743534,124.35258960524529,9.12045385926452,E,E,B,-51.316531589505075,A,C,A,-14.926573017799893,-53.70945867949033,-128.56702783625994,1
Yes,None,36-50,A,-7.805841899179018,-77.9394898288996,-62.65476092912417,E,C,D,12.978346379650935,E,A,E,33.7460025218569,-101.30710300805828,80.88985663483447,1
Veteran,Muslim,36-50,B,64.59789941797203,-28.138186212432736,-127.76861904494821,B,C,C,-100.33961857713774,E,A,D,-33.740216266612286,-220.32768505716248,-42.87889862990321,0
Yes,Hindu,51-65,C,-64.13746973085998,-141.9228573767797,-86.66540730809807,A,B,D,97.39328147374009,E,A,A,-73.19168934520816,-29.77539074897671,35.82748766296366,0
Non-Veteran,Buddhist,26-35,C,-89.02404172896132,-53.96261700775577,-127.55546644171571,D,E,B,-59.53681839066651,E,E,A,5.540477962543845,42.8060737727356,-44.6266800116922,1
Non-Veteran,Jewish,51-65,E,-25.82923660278407,108.82731443634133,286.52245253653183,A,D,B,73.28905079283078,B,C,B,125.12702639731144,12.73476997309692,67.01047233677966,1
Veteran,Muslim,36-50,D,-112.25619293390028,169.35064992700606,49.244233733618834,C,E,D,-13.069681544589187,D,B,B,4.071206030754123,32.016422067211984,-66.71126732527088,1
Non-Veteran,None,51-65,A,-87.06752882220347,108.01294784666217,58.11936888606287,A,E,C,173.10221293249157,B,C,B,-55.65511783333788,-13.509725660534277,-38.7070729261796,0
Veteran,Other,65+,C,-55.73700584104196,49.227693840651064,-128.627641623604,A,D,E,-113.50563447618349,E,B,D,123.42046840386631,9.437664605939343,22.88594048148096,0
Yes,Jewish,51-65,A,-42.42723585838558,-105.10905255165174,6.658634611418561,D,D,B,59.82537879426886,C,C,E,-7.508628966723044,153.06499745622958,1.2569347656239716,1
Yes,Jewish,65+,A,85.65820743096214,-68.77620415952434,40.57313998520218,B,D,C,-195.07763646537495,B,D,E,-126.0691328652382,144.28139134814205,-78.7166935259502,1
Yes,Hindu,36-50,D,11.819931999840447,-53.11147914072334,-56.85056412323094,B,E,D,26.87959924477015,C,B,B,-86.95220339911647,-155.2625788954555,28.918085960792077,1
Non-Veteran,Christian,18-25,E,-116.78053583379864,-3.850927072909032,19.261012506327173,B,C,E,27.009479546669894,E,B,B,-42.571534477609354,215.4284158596734,-9.963812975476447,1
No,None,51-65,E,-17.861651399083556,113.23845634984056,183.48970232258728,D,B,B,-158.69021984409608,A,A,C,-47.04131960539937,71.4594789491712,-131.37500820171581,1
Yes,None,65+,E,-53.006104176938386,9.042627785866731,-36.198381914626296,A,E,D,245.2887056541289,B,A,A,220.28631420316862,-30.155364759878893,91.15278666946521,0
Yes,Buddhist,51-65,A,-19.13794252373479,-70.29337560815658,-75.56605115523631,E,A,C,54.42895506346931,B,B,C,235.26964259687384,-181.2689649516678,64.24863550022086,0
Non-Veteran,Hindu,65+,E,70.02441943089242,95.34125239328255,14.1128787775323,D,C,D,42.72788861160477,E,C,E,66.01308570053457,-116.7077713683381,4.993297619079532,1
Veteran,Hindu,51-65,A,74.82432666203042,-75.89712411286766,-75.26819962730507,C,B,C,-56.407532284732675,A,C,D,62.56143838124883,-99.31458398911978,41.596938243836334,0
Non-Veteran,Christian,65+,D,39.21450841362318,108.15362287585472,-10.796520483438888,D,E,D,-29.55968557277375,C,B,D,24.355945693989266,92.35737418894695,12.222475666115782,0
No,Other,18-25,C,-31.48702035591498,-284.4013293670928,-153.25274329491083,D,D,E,-64.13969262385177,E,D,A,25.75256029767216,57.53712679050286,68.68781899642977,0
Yes,Hindu,65+,C,-19.49718812885824,13.073508351968153,-17.153040080729518,D,D,A,49.17821046600942,D,C,D,92.52604926278264,-163.84809216888738,169.52021981930443,1
Non-Veteran,Other,26-35,C,-10.204666300930437,-39.263190986748135,187.7336651031843,A,A,A,109.6624077696394,B,B,A,61.54122835427314,-49.20602584471543,-67.50868591560993,1
Yes,Buddhist,36-50,B,194.83654435523178,-20.427036536215063,43.2448864788442,B,B,D,-23.673750398858836,E,C,D,-132.53574040843142,27.300746351413768,-33.61628756832793,0
Veteran,Christian,51-65,C,-100.8015006727713,-7.0421072977860835,-137.53194317651128,A,D,B,-0.212258908637502,A,E,D,-84.24706623826003,-165.23548941433512,-77.2710272386965,1
Yes,Other,51-65,B,153.33305761761164,-66.81898750468108,35.958950341287995,C,E,B,-37.66808976559407,C,E,D,-12.704746081842499,81.34481342843705,33.98290501201861,0
No,Christian,36-50,B,40.52366762051072,-155.45135117474354,9.146006070871525,C,B,D,36.2611024881987,C,D,C,92.10576311555556,-135.8645151175955,-84.53892853518764,1
No,Other,51-65,B,89.36790282741795,21.65587203578207,19.8542904489648,D,A,E,135.30046240551138,B,D,E,20.188486927361485,-167.971766308466,110.34459014345055,0
Veteran,Christian,51-65,B,-60.29559690852852,135.6128479759801,-171.3557599492416,D,A,D,16.812199520425427,B,E,D,-71.33846151716956,-331.64107496063565,-18.696311077477127,0
No,Hindu,36-50,C,-73.37175614674476,-73.61557159868005,43.68493829055305,E,D,A,-112.21733543238174,D,D,A,-91.22595197736916,-69.42176890269332,-128.98691360774887,0
No,Buddhist,18-25,D,-60.86653939314603,210.14844267067238,90.52855674646901,D,E,E,-50.29426696324788,B,E,E,199.85653025176336,17.39567038347153,-52.0921511668854,1
Non-Veteran,Other,18-25,A,48.0468920807796,-35.80671848571746,-116.32072484911026,A,C,E,-10.296463366410933,D,D,E,-106.10821469799352,0.02668474480291953,-14.266217651514335,1
No,Jewish,18-25,B,23.7924387606931,48.53606753852289,176.24622382478864,C,B,D,-11.248301995274888,C,A,C,-17.732639883444733,121.95745304876229,-137.05795624725005,0
Yes,Jewish,26-35,D,-29.351266591440716,169.82619317337756,106.52236647215672,C,B,D,-116.25866633787405,D,E,B,129.54186147809006,14.92107126671943,-105.98932588828322,0
Non-Veteran,Muslim,26-35,D,-136.75441268602074,67.66616175314766,-75.28533428629024,B,A,D,-59.29689588296916,D,A,E,-103.885969255494,-57.25213084567444,2.0105461761562684,0
Yes,Christian,51-65,B,-68.13093903135685,-13.279509551971374,-57.80700176840384,A,C,E,21.161060703186017,B,B,A,-111.15896586437385,-82.17587897571543,9.717438231492219,0
Non-Veteran,Christian,18-25,A,120.3369775422502,41.31056044941644,89.56496952276446,C,A,D,-22.098455166956832,C,E,E,4.731953656069681,121.08042203787323,55.280943153528106,0
No,Christian,26-35,A,58.4820355282478,-44.91375796295092,62.65985144369781,E,E,A,-105.45630104436763,A,C,E,19.341955676351702,217.00745471639706,114.59076991013902,0
Non-Veteran,Jewish,26-35,A,-9.31919277181665,-186.71702709727285,-71.50322966781891,E,E,B,-66.63914388348218,C,C,E,-63.137320480142634,75.71289213980415,-31.002881025350426,1
No,Muslim,65+,B,-131.42937517119222,85.48232471944128,-44.44818061013082,A,B,E,105.91209358970693,A,B,B,119.77297265957836,25.943588592879202,106.83394403021234,1
No,Buddhist,65+,A,-11.320783581853213,-10.666148723357288,-87.09067047534703,E,E,B,24.27815685884699,C,C,C,2.458741703522799,27.86296477018028,-85.80063697162977,1
Veteran,Other,18-25,A,-60.67445366870069,84.46342437461587,87.09054999390966,E,E,C,126.92720410349185,E,E,E,2.970074188609806,-1.4801047980729276,-83.44548764198481,1
No,Christian,51-65,D,84.50009415790612,-129.50872981495658,130.26688540948342,A,C,B,-87.65954197418469,A,E,C,122.96387883748821,-38.20056122159038,-97.02054133911227,1
Yes,None,51-65,E,-4.286665494805785,7.481442251271939,176.8663207201838,E,C,E,-6.8753832808795945,E,E,A,25.976207544423474,-29.30483509363222,154.8245859216009,1
Yes,Muslim,26-35,A,199.94619167266262,121.2552358328033,151.81043271410633,E,B,D,-26.41650083783645,B,E,A,-79.85232834551196,-18.508826367543506,29.319769292924768,0
Yes,Muslim,36-50,A,7.705943421679214,77.99277410489282,37.73604702598706,D,E,B,118.36238558684396,E,D,C,-68.35173410216777,-103.63307997178732,86.52757173482036,0
Non-Veteran,Other,26-35,C,40.87572294139864,152.86696258139173,8.498898826269002,A,C,D,-132.22100401538972,E,E,A,-180.1938840311447,-2.8931578210191677,-163.63401639361854,0
Non-Veteran,Other,65+,D,20.30634876181574,-109.91479433899973,30.70870496061374,D,A,C,-65.88627293361803,B,A,D,22.011271878472343,94.41816542281856,-46.559344322351336,0
No,Jewish,65+,D,-63.561073646036284,199.0015414279333,-97.51021632281696,E,D,D,-97.412079572416,E,E,C,-65.38235288123437,165.9262554579682,-48.65854943334792,1
Non-Veteran,None,36-50,A,-62.96822526449773,108.44505823501697,-130.78120000807195,E,B,C,-15.505305133285784,B,E,D,52.27000938434752,-5.884276211738004,148.4823386289522,1
No,Buddhist,18-25,B,77.9158224095117,243.28813706225964,-25.05847623008448,E,B,D,-60.74083169570939,B,C,E,-4.989677997882694,-128.13438123894593,-25.047194173655107,1
Veteran,Muslim,36-50,C,-136.1455858110202,-138.8077880770531,-34.24703862091459,A,A,C,204.38116528392166,D,A,D,-88.11549150206575,-7.924312271591022,10.302570098780386,0
Yes,Muslim,36-50,B,84.47172775262975,52.70513722632529,-39.50936484376351,B,E,D,-134.53299774895544,C,C,D,30.68079194307166,31.77349165575256,-148.31106862840963,1
No,Jewish,51-65,D,67.02772332194344,-50.60490958502653,-61.639419227058255,B,C,C,245.26371989989104,C,C,E,71.68416844762345,114.79746013423275,24.40112668264046,0
No,None,51-65,A,35.92751901711016,-41.840468928363386,-109.19695901916397,C,B,B,171.012585869363,D,C,B,-15.83245291330212,-3.710876002735607,132.60208093273027,0
Yes,Jewish,36-50,D,-34.184592063328246,-20.653399254789637,29.948447933191485,A,E,C,-139.19781458849627,D,E,A,-262.44951536142435,72.59107199184693,-54.81349870565093,1
Yes,Jewish,51-65,D,31.59542031219062,60.83946342174295,-18.704338703786465,D,E,E,-75.97864797724756,C,A,E,-48.64722728379016,16.67413488172005,72.20452735493966,0
