Veteran,Disability,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
No,No,Divorced,-78.13012527736049,44.91709145379292,E,A,87.6481340097092,54.3846602133729,33.58858553777017,-60.93502729680962,E,E,-107.21047433537343,C,23.56564164137319,113.30048200379564,B,82.33291540517259,0
Yes,Mental,Married,-108.6497439239424,139.48463843559156,E,A,19.636579940510217,-34.89163917021029,-137.26620018954267,54.6267963540756,A,B,42.68951608687453,A,-40.82538016176452,136.1438273799076,A,-128.06052997421335,0
No,Both,Widowed,-152.81995040611355,57.50808230989913,E,A,56.53248982922216,2.9821625923846034,-16.279412941766832,-91.89835820110025,D,D,-30.56838798727463,A,-102.45195060273448,22.657017639174242,C,-140.19697379193485,0
Non-Veteran,None,Widowed,68.83344861893403,-76.97034645923807,A,A,-129.8139186588458,-108.4647823557022,-20.081410491323155,175.63559407264856,B,B,-62.769288063216734,E,2.482151057699465,-15.984928762799624,A,72.57777442372831,1
Non-Veteran,Both,Single,-53.53086029560748,93.23897871852603,B,C,54.91760703478113,30.211949073154297,48.96004213986711,45.57906516014854,E,C,-11.286382498711019,A,90.14267457857575,-24.432246614160263,A,188.38484431037315,1
Yes,Physical,Single,-22.45511037396611,295.6757924719797,B,E,-166.85886865423367,-48.65716478883714,167.954922578835,117.1305980906858,E,E,-4.980480378380204,D,-77.01570225001532,-39.31519897393679,D,-173.2578674782258,0
Veteran,Both,Divorced,-333.9162860382467,63.157220089920905,E,C,26.307406570423897,-23.022304335932553,-33.75016160482967,27.44350657804483,E,B,11.24330968055781,B,-66.99729250640172,262.3999872377202,C,-132.75830925877315,1
Non-Veteran,Yes,Widowed,108.16551867041187,25.51139801574493,B,E,-46.07838522267744,-70.44083437777854,83.09067230267169,147.1049389548122,D,D,-131.91299413650438,A,-88.36116721054594,66.61111992305521,D,115.89822573816298,1
No,Mental,Married,-38.419154968128964,84.22162163363328,A,A,35.2424689395435,121.67424770145783,-129.06343990685366,-150.24496589407212,E,B,46.616198059381865,B,-12.368230710695045,86.91578112453644,D,16.081667999565127,0
Non-Veteran,Physical,Divorced,88.9582071001088,40.14970898252771,D,B,-153.90074914883712,-118.05342451140362,-65.22783070676907,29.82770810643614,A,A,19.94732393901317,B,127.15416474740965,-37.45759879387383,E,111.33051175933197,1
Veteran,None,Divorced,-183.48966970145335,-258.74735138656655,E,C,36.925196748412965,13.417124055080757,84.29324164722132,-97.14904790615476,B,E,-53.874083759349766,C,-13.838191233735811,34.40591787042862,C,-104.62608601141821,0
Yes,None,Single,-57.70901697040277,70.07592214062744,D,C,-25.110434797611457,251.29342073697435,45.845560970973565,-280.948340850405,E,A,-95.98058555922114,D,64.72525488585921,-6.709172564506552,B,-32.94094135571305,1
No,Both,Widowed,3.777987205158965,274.59143099078136,C,C,6.775847167273785,20.12093320555315,-96.26126756351158,-96.36115615742669,E,E,35.74053148342441,D,-46.659440759540246,-106.10039399939832,B,54.65052924367322,0
Yes,None,Divorced,-5.612462628859205,-83.63082496114427,C,E,-276.3333043939167,-39.95043195886227,-74.67813610082379,-58.62558617100993,D,E,-56.1977743568003,E,-159.59524340305057,4.920795853598143,B,-74.46441735669094,1
Yes,Both,Single,-145.57742054959078,-103.64763888263214,C,B,-134.405020554013,-30.11588514256165,-17.814019654759434,9.567450392424238,E,B,32.48089987580239,C,22.640936534423435,-60.13289948187659,A,-18.9299645744246,1
No,Both,Single,28.513835705083096,-154.92524397731853,C,B,-35.715441800797635,91.45638675931916,-99.56607298137298,4.85104494747999,E,A,-46.18557087364574,E,-10.780155060347823,142.2297276701084,E,-171.30191362418,1
Veteran,Both,Single,70.65170488512963,204.4317965286082,A,B,3.1473160920982326,17.845689085446356,-85.02566509394242,-52.94832622607798,A,C,99.19738715711976,C,9.179755062990592,-17.915532804714026,D,-35.51643070260585,1
Yes,None,Married,-27.774145031574765,148.03603285506543,A,C,114.90635127900248,-59.07403974549077,84.26932887833381,77.23472687607456,A,B,119.21660720419307,D,24.11928680724111,26.807628244304006,D,52.38305419937949,0
Veteran,Mental,Widowed,-178.53320741712133,-37.22846059293255,C,C,-38.11098308023072,145.61919306367489,-29.0206533303863,10.005264257757899,D,E,-178.66902973363983,C,-57.12909310606206,-35.19703836410667,E,0.8687836675245894,0
Non-Veteran,Yes,Widowed,9.185423751390106,-45.72666065667828,B,D,77.05222020044243,-31.300493607953594,11.733994752031926,-39.38860631732977,E,C,-102.93610332946943,A,-81.08313220895496,76.519523810622,D,90.25563804859532,1
Non-Veteran,Both,Divorced,-4.769642724652503,-181.31464939530136,A,E,-29.594136462657467,-28.604456796863627,-43.10170883816685,2.558192928763708,E,B,-65.36059550112873,E,10.945372899296455,-96.21353413395146,B,174.10347015997385,0
Non-Veteran,Mental,Single,43.83314662938805,-50.77404502547114,A,A,-24.643762011351136,-74.44128644272863,-7.80634435727991,1.2573586198805653,D,C,28.692739308761233,B,22.329050318331916,-42.661331889156045,B,37.94722431865068,1
Non-Veteran,None,Divorced,140.78364183506767,50.228394174723846,B,A,118.6568582143669,-187.68163787427898,-4.171888091799988,78.93422178823958,B,B,128.97128959654708,B,-36.502061089682854,-123.99994087814751,E,-54.69834393409665,1
Non-Veteran,None,Married,77.65831287354823,-65.41709554993776,E,D,228.62285382421933,33.6299888710945,9.76978192743657,8.90806983790812,E,D,-50.25149589336897,D,-109.52316255226096,-141.06790081797095,B,112.97544436051896,0
Veteran,Both,Divorced,-179.39986891654144,188.73411647804247,E,A,-28.852772746593487,83.95848152870192,-102.35058279449227,-26.060012664881032,B,D,-99.60734121440632,B,-74.10064577928436,8.720297228870345,C,-27.430319727791964,0
No,None,Widowed,125.51331849492313,86.89545501974908,B,E,166.88643547193158,-108.5102820400764,142.85601971740795,80.15405587496093,C,C,-73.8368520238287,A,16.765835519819934,-35.76099321248935,E,-289.66978488859746,1
Veteran,Mental,Widowed,-74.71789811237606,-53.028252286462376,D,E,112.55300542978155,-118.3602475108297,19.903328876785437,-5.3691744200063285,B,A,86.22335484241165,B,34.321235749164224,-150.79452984086748,B,-70.11423522268123,0
Veteran,Yes,Married,-21.168050853590586,-12.88076011751366,C,E,-15.58299860647174,70.67244665862559,-93.3834544814304,31.136445368954895,B,C,16.16206832976791,D,86.55842527485224,8.526678939226448,E,32.701460074547704,0
Non-Veteran,Yes,Single,-189.00475042149068,-110.13408348902473,D,E,80.89620465627414,209.17928911593916,119.77802224981338,7.340401807743083,A,E,14.152360292176681,C,-46.80548487516861,-195.86968359877963,A,154.67653700154662,1
Non-Veteran,Physical,Married,217.82958749572563,-117.04918641829892,A,C,-113.77031923126677,-52.57095926931207,58.49258357060548,50.635609195960264,C,A,-91.79979357208727,A,13.402516735368758,-190.34884244817755,B,-14.16346525350328,1
Veteran,Both,Married,-267.56822723272813,-43.035070955635376,D,B,88.54869520219987,18.1890645550628,-57.86832310390212,-8.022786479665784,E,B,-229.92090703383772,C,-67.18109011400954,-244.97246844021504,D,84.55986816017491,1
No,Mental,Divorced,-87.28231018322232,-3.3804765125535883,E,E,-76.83767899439668,-110.77430610946153,-30.547448252633668,-5.909667885649879,A,C,-88.91909403897654,D,-42.71062435214362,6.2877051842967,D,154.14432737441862,0
Non-Veteran,Physical,Single,70.11648289717222,6.8449575637806594,A,B,-148.40479188337298,3.045219376278771,34.70749081495186,-60.32625310762661,A,D,122.0955510721152,C,-0.8846792332437388,-163.66284833010468,E,-39.22575617883746,0
Veteran,Yes,Single,4.945189688256972,-90.7084251302352,E,A,-194.59634423989567,-53.446655672618235,91.60790892189826,-26.25143632387157,B,E,47.13619967514123,B,-135.860604889275,-152.17449118373102,D,-12.085973212864522,1
Yes,Both,Divorced,-25.86209765297795,124.06407395981209,C,A,-58.1681722810597,-42.41337708640619,-115.31369506055584,36.12938963955569,E,E,43.53208866612253,C,152.79396268249388,144.43262994002444,D,144.05512939568717,1
Yes,None,Divorced,137.3590080668484,153.04780753058006,B,D,-107.93101247058078,87.5038944358772,72.24922035686538,162.12990822671912,A,B,84.40591315392936,E,-43.100662793140216,15.756155999819473,C,-117.227962131397,1
Yes,No,Divorced,79.19434418297809,218.25498899483145,B,E,63.2659881702306,93.3959566911901,-23.095125802596574,-10.980027269699324,B,B,69.89703819272572,C,41.9101810554662,93.9330660414779,B,60.66497889954283,0
Non-Veteran,Physical,Married,-41.02363890558887,-138.1689283830033,B,E,4.6047675168976925,-27.158509814015215,-42.99567430236446,186.86305800397517,B,E,173.51053285736168,B,-61.36384083553133,48.09263437950508,B,-69.98551792710693,0
Yes,Both,Married,-183.50004731316417,-17.279569240670728,C,D,59.95376364173084,-69.89459934930726,236.02222736339357,146.14467856061447,D,E,103.08917555734361,C,-167.65664415017602,115.4664699825603,C,27.92729279885682,0
Non-Veteran,Physical,Married,-182.36844427764214,92.47236016049413,D,D,55.551491322522715,-183.01830820530634,96.8689929639924,11.90610314043786,A,D,-122.81241826669222,B,251.09269729501875,-52.13962788930873,A,-114.26246208583922,1
No,None,Married,-12.61848232511372,25.83905489483399,C,C,255.47848574534407,-45.997128477882185,-115.87725064676239,-53.09145319576647,C,E,-26.061511643324913,C,84.57556081182244,72.36868379853435,A,127.03071920249931,1
No,Yes,Single,-27.543370252831416,-0.5482377861691893,B,B,-16.16355036553239,97.74326970015771,-58.67417632692998,210.19916395875606,A,C,116.92746903650924,A,141.39650826386224,-27.027389714555046,D,65.45799996148202,1
Veteran,Mental,Divorced,90.00171480010792,-62.975467547694485,D,C,-89.56523876989665,-103.45332925662845,-34.29672249647434,-45.57215900584558,A,C,-61.390999296089355,E,-60.79949663308716,139.49468425890635,B,-7.16474335879995,1
Veteran,Yes,Divorced,105.00815398832933,-79.94313604810547,D,E,0.44835973985875405,119.93803584419737,-63.48814348959644,-57.52551015086495,B,A,104.15669802467164,E,-210.00553890699143,49.40143801322651,A,-52.29996330899714,1
Non-Veteran,Both,Divorced,101.20781044213096,-101.21166705082412,A,B,-73.9786474330438,50.247408763764355,-158.3878221655986,-141.86707155339036,C,B,-71.83235325592254,C,-45.602282012285244,-6.330370402771512,C,-82.49538698046568,0
Yes,Mental,Married,-25.045062961599612,-55.8564632736396,D,B,159.62249527649973,-33.623059381582884,183.08336603769337,169.83702911630598,D,C,154.65723394834143,E,58.116164924215894,147.4120074116179,D,16.552611612370065,1
No,Both,Single,-102.62140460715756,174.52783766726537,C,A,-22.379510439315908,-134.27202150243863,-7.21711609168369,-138.04028746454907,D,B,16.05984012719063,E,9.299973183928563,-145.0958868315142,A,18.209738567665603,0
Veteran,Mental,Married,136.28200497930283,-59.453838385336525,A,A,89.31353144366277,59.28025274723232,-63.931124278419084,102.63873462266335,C,B,31.94315241172065,E,142.9088121405174,53.34861639652839,E,31.83500952104422,0
Non-Veteran,Physical,Divorced,213.2509358149252,-58.386034842347534,C,B,-16.123349867496398,-170.4201766831384,-174.61422387078855,-88.35371680417083,C,A,38.06507275986991,C,-89.63210833032112,-58.25004731205651,B,-373.06303650573295,1
Veteran,Physical,Divorced,-181.4515523545894,27.983785226519664,C,A,76.66471635651418,-93.8308589465469,-280.2827873917489,-231.0850474974167,B,C,164.08793065833817,B,71.84895282870455,-199.2858962524499,E,-91.83207880516055,0
Yes,None,Widowed,44.33310883150463,-5.668331073871875,A,C,-31.13013211580103,83.48179619674195,-184.48673447172047,-88.53893685761388,D,C,-100.00971018833312,B,33.58045260246475,-1.3915334389287946,A,9.995583518743343,0
Non-Veteran,None,Single,40.3842172789801,85.16616567629036,B,C,181.13672075427246,-32.2869839172012,-136.54480871984615,-66.47077292590909,A,C,-60.39270968209228,A,142.08801313493316,-129.28912128662716,A,72.68106799258301,1
No,Yes,Married,79.85389359474908,17.375669218666363,B,D,-36.563307122042524,94.18782451314786,-49.17012546796414,17.761337548389378,C,D,59.85281770435097,C,47.479435129296554,-157.2364407197232,D,-114.59065250981682,1
Non-Veteran,Both,Married,75.18486459285015,-95.07677355594959,D,D,-45.10381273432079,-155.76374547573863,-98.19473151021724,6.096343320111706,E,E,-26.46348800460723,B,-138.29158479870958,-67.00282519428548,E,-101.10195678240486,0
Veteran,Yes,Single,116.44468157744194,-21.640984887735076,B,E,-83.80372080743915,-121.23095534321155,26.69340321356728,133.82494592187663,E,B,-47.46612464615361,C,-41.90857133813306,55.5165855839229,C,-178.08714212157597,1
Yes,Yes,Married,-2.941160143907025,-1.3097533366761411,C,C,-66.26219732187931,119.43088174526888,13.804194678549484,-92.07012269999683,A,D,-93.22932603304217,A,-121.7601743382721,3.7331214779617516,B,102.19394073881902,0
No,Mental,Divorced,-131.87963571003334,-131.25039002932306,D,B,-57.28645190497901,252.91745887533494,-92.9827056429729,-129.50670553410518,C,B,0.06154620946365423,A,211.56566121341936,-56.75996658530751,A,-59.86839102373857,0
Veteran,Both,Married,87.95853351388587,-133.47606581720115,A,D,12.575482231665358,3.541876671130754,-66.9525873683615,-30.29154711901934,C,D,1.2468103722423403,C,6.033541368508397,-48.372056520307495,E,39.93414862623111,0
Veteran,Physical,Single,-17.188510896668216,94.34462580251214,E,E,-25.326862301882052,-149.75413462837648,3.984024624295348,130.73423116865058,D,A,232.75431483578163,C,-55.068712165089686,75.27736017500989,C,30.146913830207957,1
Yes,Yes,Divorced,-312.89236448502555,85.94968338481577,A,D,24.295724151139733,76.93543693456539,-81.2445241160143,88.4515716993663,B,D,278.61644327385096,C,-26.411950121041656,-1.3030822155727029,A,98.6709100705093,1
Yes,Mental,Married,27.882290106037154,101.32591505797994,A,A,-138.60487799844867,-66.13454818972387,-64.62272460968228,-49.06298093483596,B,A,218.67764852555172,B,-134.16403985695376,136.12747711725524,C,286.70887667066,0
Non-Veteran,Mental,Divorced,-7.394079229217933,-71.25097291719084,E,D,-23.80643319602932,98.6136022904506,159.6056982681737,-67.24965169088702,E,D,60.30254190866952,B,65.50925948699577,4.0284291554773635,B,90.3786295477619,1
Yes,Both,Widowed,133.93916056959267,6.65196489064841,E,D,186.79816437589093,206.02341969215078,-114.42781457059938,-92.19333916511691,C,C,-38.53727642540963,B,-62.048038194802345,76.19778790812359,A,115.67959719068948,0
No,Mental,Widowed,105.59031003885244,-32.34493950820701,E,D,7.1986291568318705,-88.36604127706778,48.14288882946779,-98.16077075464707,B,A,15.605850581623399,A,-60.74758659004294,-35.799953077989194,D,135.42795992414648,0
Non-Veteran,None,Widowed,-67.97000459998583,-42.81169947532746,E,C,-72.92641479337418,94.47036435976962,-59.72370571834959,53.90588240703625,B,B,182.74857543563246,C,12.581846822809206,121.78048497008848,D,45.86775226952912,0
Veteran,No,Divorced,157.34081719291692,84.64245699900238,B,C,13.841253146051095,23.88304246101864,114.67563576152993,-29.7274715536061,C,C,27.28584906961705,A,8.332871920639336,115.98717789585871,D,126.63391348294894,1
Yes,Mental,Married,-142.56304602710512,53.40887513184796,B,E,-46.54745446092576,-64.25490638589734,-170.1350090610909,-158.87126007101463,B,A,135.6692246995587,A,-92.26308155784349,-96.61675454023147,E,56.180698428438966,0
Non-Veteran,Yes,Widowed,-58.10030789872358,25.859513146802126,D,D,123.6597042980259,-92.2098491091862,23.291678156837524,-172.17143274166833,D,A,-99.73549023839186,E,-22.02006270324564,133.4627408910028,C,321.8300576044265,0
Yes,Both,Divorced,114.05491799555598,30.018552801855243,C,A,133.85669181067829,95.05178618330399,53.13490895281754,-71.91581913696055,C,B,-178.7949430935834,B,-46.54305280310643,104.65973367741522,E,-9.881387424573058,0
Yes,Yes,Divorced,76.71937678110962,-44.15724972476012,C,A,-70.54163409627004,-104.27261247571961,159.2344811926361,110.51308310562926,A,E,-186.45497344703978,C,23.436074948698167,20.101437049359856,A,35.43181715993074,1
No,Physical,Divorced,-2.908440843221846,-23.289609070570606,D,E,-50.06990831956609,-77.5853618206451,166.98729205083777,23.97883646311208,C,E,-17.77998099749286,E,-5.13695729024349,66.5168680828025,A,-88.0854346839122,0
No,Physical,Single,-51.23546700641042,87.2519153641161,A,C,114.39126582163284,15.713383938128167,-64.02900391590597,124.4861090081692,D,D,-113.25021512610441,A,9.171846364775607,-155.02431490555836,A,170.43433378236378,0
No,Physical,Married,91.35093930553109,-68.7909622644585,A,C,65.24652978445327,-1.8582795717669718,-18.430999777618535,-198.62632973114987,E,A,136.72276480775056,C,0.14557993926208865,78.90765603376052,B,-89.44898138574673,0
Veteran,None,Single,45.48796455116498,127.07147006142728,C,D,-46.57801015168318,27.552319546798625,21.377566603944256,-18.434118843910298,E,C,284.5948273401075,A,-92.87331815357169,-82.25703906120197,D,-112.28036014197913,1
Veteran,Yes,Married,64.08786076429685,-45.62104595163934,D,B,-137.12491468613132,62.5794204807395,157.30816645381628,-124.04230010788324,D,C,36.3409935610569,C,93.84453878183156,108.71291443827182,E,-13.661770833005965,0
Yes,No,Widowed,-27.190269751261397,-15.395559051844659,C,E,108.10137213533304,30.54528098008788,-240.9050835262748,-88.17324456897786,B,A,-25.0127066744677,E,67.34195956752622,23.373552301128868,C,-63.445634953201846,0
Non-Veteran,Both,Divorced,77.94177297614124,-48.98668541613303,C,C,-109.15905658897891,34.88716349219799,-109.11721497118818,102.78705918503871,E,C,113.51998357752908,D,66.86802308036481,10.056527600209671,A,51.09047680521661,1
No,Both,Divorced,-203.19963197551348,-10.596794438879584,B,C,158.32436566037364,55.90603997041143,240.87194196479192,45.908590967970255,B,E,-101.94782651519017,D,22.086686492833557,-158.18002289024977,E,-88.6274956606775,1
No,Yes,Divorced,-26.653724621315632,-38.544457340571775,D,C,48.196869572666216,23.55578173144853,-56.11209780427704,-97.86997526983818,B,E,64.91117922754749,C,-101.00849262579969,-53.44905243676617,E,165.63311002665654,1
Yes,Physical,Single,300.4896508380695,39.27224562174834,A,D,23.6984260993807,-35.737118596261304,-34.04056187808312,98.65097062926861,C,D,24.78806315676259,C,-146.15041487671843,-56.96731209279298,D,181.30813839562273,0
Non-Veteran,Physical,Married,-217.85369252015633,159.70615107911948,C,A,-139.1666669779219,-146.12690826773255,-49.04432531290529,-145.7305227360374,D,B,4.0999372541894,A,-87.52585210809332,-235.30558110641212,B,79.84589308877219,0
Veteran,Physical,Divorced,17.484693138307204,42.824648770143874,E,E,62.581575777891416,21.89407038516838,-246.99336090561093,-159.415552066562,D,E,155.72425722209016,B,55.29318676997428,-7.819027321030918,C,-6.892748308871526,0
No,No,Married,5.555173759386371,-22.465551118779054,D,D,-54.071431859336386,182.4806161591101,-43.05579918452748,160.5265011148258,B,E,225.8834732468855,C,28.820318630303028,106.28042859230888,E,68.6518612688962,1
Non-Veteran,No,Married,70.90658661289618,-141.97178244539222,D,B,-38.52958867444104,168.4033625029816,-36.89213589289585,-34.636354624127456,C,A,-82.46563095137942,A,38.340659434511885,75.27048961919665,D,144.47684421013065,1
Yes,No,Widowed,-30.33840161214016,43.34999066863061,E,E,-63.140559466985614,-7.752477035652756,-96.16843485536812,-5.329500910843652,C,C,3.603671735034464,A,4.621335461697273,132.93235951093223,A,-36.5661003713465,1
Yes,Physical,Married,-95.04645128315204,-93.72310496158066,A,E,94.33570680845509,-20.39699444791793,85.14171710986913,-41.49375863387454,D,E,-47.07915986829496,C,-60.652792279313275,73.69681183761844,E,143.1519407378776,1
Non-Veteran,Yes,Widowed,-59.58622502854332,-4.309262399299804,E,D,20.494852763750423,67.04637782553942,-90.02838763354873,-195.86994108225173,D,E,-159.96705965829753,E,-26.735707080579907,1.432874473779966,A,-33.63479539358474,1
Non-Veteran,Yes,Single,-132.13688900208098,92.26078037583724,B,C,-196.1961559833982,90.03501204590573,-114.50051547157693,0.4905343468706915,D,B,-149.92727546873883,D,250.87319550093258,27.67308603532023,A,-30.825155079705656,1
Veteran,None,Married,38.986768016264584,-3.2887006631755886,B,A,59.441227892674554,-40.393481904759106,-14.217474419701977,-75.67579575740004,B,C,-87.58471105464751,E,7.179524504387576,-79.11723295255713,E,-59.04698297386513,1
Non-Veteran,Yes,Married,51.53809952738329,-81.82901412453658,D,D,-14.857749262049024,-77.95599154863966,25.307796855932956,123.25646713346092,E,D,-116.09835960548165,A,66.37689708460279,227.87814796679507,C,-143.33897825020352,0
No,Mental,Widowed,68.90500788183462,28.12730885158356,C,D,-217.44153177429584,-45.88106551526142,-90.8268160998986,-38.80121268572731,D,B,98.69583351254805,C,-26.784092376411177,39.70863788773126,C,-2.741739720838577,0
Non-Veteran,Both,Married,12.627657284443528,227.10618796043147,E,B,102.34508934163465,-62.417322319604665,-197.12861515868371,-81.15046673532356,B,D,-90.96401927218135,C,-174.86266983023876,-52.12997323166243,E,61.72241542409819,0
Veteran,No,Married,18.995838957694993,42.93450692666049,B,D,-155.32116363668038,30.782791814864996,-80.20052981755089,4.707081412633885,B,C,-15.365122413991433,D,-45.610129463582965,153.11805423332942,D,-56.75350817252419,0
No,Mental,Divorced,54.58506304244419,42.5862663883382,D,D,-84.44687410795979,85.35780625812848,-45.57616652354132,-29.922414095179413,A,E,249.6583687641953,B,-49.30266838612924,-33.06600621686528,D,-44.736602235364515,0
Yes,Yes,Widowed,-45.18933152193408,-28.04975209159369,A,E,-86.78156042308942,20.66896155692575,123.91490291613513,-135.60920918947176,D,A,45.78068215306693,C,98.83172693193144,-258.6537248418612,E,-126.40568566698471,1
Veteran,Mental,Single,102.39947741965992,-7.645227245371321,B,C,62.31731650815039,-43.36781571410587,10.042735287284367,193.62783212666426,B,C,9.739184972759137,D,57.46787988050052,215.90002645151975,A,62.76285509167211,0
Yes,None,Single,-62.29374558167766,-35.139345426642635,E,A,-7.904269277145564,-54.60725645784649,101.34124861656547,-195.28530737406354,A,B,-43.388575764745866,B,-180.344964858604,-25.108895105464807,B,149.64979083621023,1
Non-Veteran,Physical,Divorced,-22.441169154050545,145.07727959507056,E,C,102.3128665165524,-79.10990167453896,-72.24782357788497,-90.5737688044661,B,C,94.6423239795904,D,140.44122999721844,-41.20018439790113,B,-23.267915923340787,0
Veteran,Mental,Married,-153.83489548510317,70.1604328816738,D,D,-4.282458600304558,139.84204808141288,100.21080098090749,119.08774407069085,C,E,23.87935289267,C,36.48287058858379,305.73507138010683,C,-26.011054941328222,1
Non-Veteran,None,Married,40.16770142179396,27.870307919215882,E,B,187.45671171578698,-27.993667075633155,-4.260276455951676,-116.59984067990308,B,B,-99.74119497584522,B,35.72979966596141,-151.2023246040207,A,27.818993950997367,0
No,Mental,Divorced,3.607926777013986,-8.598263748708272,B,D,92.36633170493157,16.051321127382522,-56.571274306618605,-115.82484549514447,B,D,-154.83171028388173,C,23.806934457357332,67.52352804780334,B,-163.3529891641263,1
Yes,Yes,Widowed,52.62080093585979,-41.04026457865565,A,C,-60.595467988861174,79.59560510694426,-5.969709825359483,-139.08921853910152,C,B,-14.156646223414631,E,43.179664857671035,-112.33374221281247,B,42.6885952436183,1
