nation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
UK,B,-192.06856047769466,D,62.925612704992595,C,D,-166.69763353467675,B,1
UK,D,23.49378646410686,B,15.681539489356968,B,B,-114.5321657953163,D,0
UK,B,-33.053218402273814,E,-88.45374031185884,C,B,159.72672250259066,D,0
Brazil,C,116.520239181515,D,-151.1553404710512,C,E,-72.29499554284972,C,0
Brazil,D,58.57418027084784,D,34.87026510841437,E,B,84.64167271621932,C,0
China,B,-120.29612403462069,C,-50.53932714124946,C,E,204.01324814514697,B,1
Germany,A,-87.51481082127813,D,97.6499875023605,B,A,-1.9359062109434304,B,0
China,D,-14.702334428981063,B,33.76765423989509,A,C,8.22020334473336,D,0
Germany,D,-16.791727311190698,A,148.05945397291737,C,D,-266.21855991517316,A,1
Mexico,B,-147.8659968820783,B,-14.027380021343447,B,E,199.0068249167273,D,1
Other,A,-76.36989111657722,E,-52.390207631624676,A,D,45.413594701246126,A,1
Other,D,-88.1916270590604,C,-65.85785101970292,D,A,23.155636847533874,B,0
Brazil,B,-36.73889882278616,E,45.77713008498326,D,B,-108.67033283884327,E,0
US,E,-82.12611740978333,A,-155.17221874264106,C,A,-254.93706956029504,A,0
Other,D,-57.04486112936243,E,-31.94436698967512,D,D,118.2884288251653,C,1
Other,B,-67.61508741877627,B,91.45073732724433,A,E,-28.08979589779087,D,1
US,E,30.124306392848766,B,19.778370142445397,D,C,1.1563757211995294,B,0
Brazil,E,-52.96567720177284,C,-107.19186554492373,C,E,-45.91261258115531,C,1
UK,D,-54.81245430917129,A,50.47027150434382,D,A,-62.42602237204662,D,0
Brazil,E,15.807362845296105,E,4.695172966773228,D,C,140.7425830824287,D,0
Germany,A,-16.022644818981142,C,27.71026465395707,D,B,-55.26167535384256,E,0
China,B,-35.26299114555959,A,-101.08513270320292,E,B,68.2853232590547,D,1
UK,A,-53.502272476729964,C,1.627311321070333,E,A,128.1104214017552,D,1
India,C,-24.87552057840969,E,-3.943442639145786,B,C,7.171723781917905,E,0
Germany,A,17.628391600741267,B,173.55924421180947,A,E,141.15014363530943,B,0
India,E,-124.22819650771031,E,59.92592958375012,E,C,48.611935527353175,D,0
US,D,-77.58088535835049,E,118.20294982812725,E,E,25.676611741088113,B,1
US,D,-7.193969136483032,C,-54.23979843445594,D,A,37.829476591483704,D,0
UK,E,9.601855426228736,A,23.292371241074196,D,B,-119.24082475646789,C,1
US,A,68.97856601439942,D,-74.39190633421998,D,C,31.59136376650195,B,0
Other,A,-11.901138277258609,A,119.36020434402937,C,C,-74.64563115823542,C,1
Germany,A,193.9365605906255,C,162.74286237413634,C,E,-67.11400835532571,E,0
US,E,22.02076407764474,B,31.899210786543474,A,B,39.35532884606025,B,0
Mexico,C,121.34312514528109,E,88.87866936257105,E,B,40.42821172523522,E,0
Brazil,C,85.98335455049254,B,-67.94277124837103,A,B,-51.13725141940287,D,1
Brazil,A,-42.26377226070998,E,82.29023738149837,A,D,146.85006047284597,B,1
Germany,A,-85.03335192364982,A,71.06052243950619,B,A,-7.458027036533046,B,0
Germany,C,157.76314983164158,B,-76.61840158132662,E,A,-57.90037593768529,B,1
Other,B,-71.62434300862508,A,-148.46344145563327,C,A,-173.9026884468417,D,1
Germany,A,152.70288494533423,D,-23.8134516203931,E,A,49.446164668816316,C,0
India,E,3.433957761114529,E,-22.59899870925913,D,C,32.50781644387416,D,1
Brazil,B,16.804882072146093,A,194.46816763995054,D,B,3.0602240775645986,C,0
Germany,D,82.44217661727549,A,190.89469331447583,A,E,10.567632844612307,E,1
UK,A,35.48064889776041,B,80.11529910163527,C,D,91.72926391645643,C,1
Mexico,B,26.24266711869015,E,5.109278775995786,A,E,-118.08222288300641,E,1
China,C,130.09046653856302,D,7.239229843275166,E,B,23.61819408182245,A,0
UK,A,-80.50014477914985,B,30.494802750202638,B,C,76.43711566704734,A,0
Other,B,-5.026592144303875,A,-41.59212171312359,E,D,-11.690476142256522,C,0
UK,E,4.485588723358227,B,56.42810061128197,C,B,-80.54637117881165,B,0
Mexico,A,35.157328321558204,E,-11.1109791762802,E,C,-60.84323392062202,C,0
Brazil,E,-63.524034881594126,B,111.66596514198561,C,C,98.91858436805005,C,0
Mexico,C,76.8533693058404,D,-184.07477835976536,A,B,51.23022759182738,C,0
India,D,-125.4873939562769,B,80.77989634008553,A,C,-227.5831178031442,D,1
Mexico,C,-228.9631305510939,C,18.606076974971828,B,A,2.694407684662047,B,1
Brazil,C,-87.00665743208394,E,-44.13116342322397,A,A,-37.85442366600707,C,0
Germany,C,56.78173696283446,B,-34.96250458470938,B,D,-22.390526578097152,E,0
Germany,C,-1.7612855632298672,C,-50.56812208370373,B,D,-77.40817386182586,B,0
Other,C,15.206961441568845,A,54.26702121845304,E,C,174.8831688056399,D,1
Germany,E,-162.20109684263778,B,-54.316320040823285,C,B,108.82977333199962,E,1
China,C,-8.639489371293376,B,-35.23343692487092,D,D,123.23321114255424,D,0
India,B,-42.375365713312135,E,-102.72687906897701,E,A,-75.13777396446056,D,0
India,B,61.438509578606705,C,130.04901466023344,B,C,76.04596483427957,C,0
China,E,-45.99308229915605,D,97.0522538953011,B,E,-30.573847945635595,C,0
India,B,-124.25716471276642,D,-106.0547617876213,B,B,-163.22074728540255,D,0
Germany,C,106.31770804214177,C,-49.50063289148489,D,B,139.3407247466484,C,0
US,C,8.199084221148862,B,-93.46114734924895,A,C,62.07515217800199,D,1
US,D,206.2287674248163,B,2.6810327914192458,A,B,-74.36428489167199,D,1
UK,E,-277.60601616795145,C,57.34515854617368,C,E,187.7014227244176,D,1
Mexico,E,92.30778278313068,B,32.15803287817717,B,D,-42.58587071083916,D,0
India,B,56.89402026456452,E,118.69227416389292,D,D,46.0225130397772,A,1
US,C,13.65612396957748,D,138.14439477709516,E,E,-20.427536031283985,B,1
Other,B,64.99423896958596,A,-98.77452073517792,C,E,48.734162435207665,E,1
India,A,-65.2066740303093,B,-81.28342714935344,C,C,3.9934270197535344,B,1
Brazil,E,127.24471516695135,B,-175.90715826267703,B,B,8.960802587134996,C,0
China,A,25.99009204918729,B,-54.93201710399037,E,B,128.90002796622895,C,0
China,E,-60.337139884800315,A,-78.76264741549579,B,B,46.42329342260995,A,0
UK,A,126.57683758567704,D,-38.77898448949452,B,A,44.519570631053256,E,1
UK,E,-150.77405282673402,C,-56.23321179747879,E,D,85.18161855921566,A,0
UK,C,-43.550371601284404,D,104.20098580698662,A,C,60.367801269191915,B,1
Mexico,A,-156.88460436424364,A,-39.034926021467136,C,A,90.01640512495158,E,1
Germany,D,-12.349729890204037,B,-66.52763955260603,A,C,162.7695411309384,A,0
US,A,-32.339357330450866,D,26.010595996247343,A,A,82.47863308732865,A,1
UK,D,-18.896302082667603,D,-75.62048301900518,E,E,-22.140931422019065,B,1
Other,A,-35.96189563348375,C,35.5929412020188,A,B,65.01026313710996,A,0
India,B,-46.4761821234953,B,76.41930416228435,B,B,14.320601557811266,A,0
Other,E,-222.53378437004682,C,97.63791725205881,B,C,-1.829387954578355,D,0
Germany,E,111.99589248549815,A,-92.73907655635051,C,B,-85.45093307226608,C,0
China,E,79.70364795113787,C,66.32071100605326,B,B,-0.7674209959210204,B,1
US,B,-77.45605721055078,C,38.37748313486977,C,E,-226.36098651878092,A,0
India,A,-14.30314072921331,A,54.410914484116866,C,E,-35.419217753324496,A,0
China,C,-97.52090065262529,C,-135.41624436956425,C,E,29.05282783133842,D,0
India,B,-130.72521452212834,C,10.004716482139559,B,E,-31.097544490034263,B,1
UK,E,85.18577602332135,D,150.34442547773563,A,A,-161.9649553031991,B,0
China,E,76.83084613490922,D,70.8300766093898,C,B,-35.1844800637172,E,1
Germany,C,-20.08935188482644,A,131.3255028048299,C,B,119.19932651261438,A,1
India,E,137.9319967877867,D,-30.472313775090864,D,C,-85.5750177302986,B,1
UK,E,70.2454251962052,B,-19.619632182048502,E,C,-67.6680725013776,A,0
China,C,-250.81131779125084,E,169.66697353144838,B,C,-167.7127584270477,D,1
Mexico,E,164.06216843391664,A,-43.79936413797582,C,E,77.68724914385209,C,1
Mexico,A,-62.44932717960292,B,-3.077565679105507,B,E,3.720038823437255,D,1
Germany,D,-76.62162199649993,C,73.03005554575138,B,C,-120.28168632925076,C,0
India,A,83.99056532041149,C,115.95742595081242,D,A,107.4268886925607,B,1
Mexico,D,114.91388635722109,B,-42.31014981075956,C,C,-22.121332910804238,D,0
Other,A,4.679456709658688,D,33.33898316968513,A,C,51.609885506801454,B,0
UK,C,71.8362080410725,D,-39.490719720408734,A,B,-52.2288241850858,E,1
Mexico,C,-118.55701717462227,E,196.75935161883658,E,E,-151.46688731903555,C,0
Germany,A,-34.174239880312996,C,190.30491723129944,C,D,-133.16861677148657,A,1
China,E,-129.15781522418808,D,66.6101456167031,D,B,-184.94616140500838,C,0
Mexico,B,-16.406658482912125,E,11.820532467820797,E,E,97.21733126207332,A,0
UK,A,-57.474464732064355,A,-151.6220457621432,C,B,105.48722996081656,D,0
US,E,74.72916341279804,E,108.11045165625912,A,A,8.103125684202611,B,1
Other,B,-144.46956689390376,C,35.593457572069624,C,B,21.222642903868273,D,0
Germany,C,21.214076740047634,B,33.61916104745585,D,C,-13.148540064642592,A,1
Mexico,D,-235.6049630592695,C,6.102199742397145,E,D,142.3035789907376,B,0
Mexico,E,-37.16522753086062,C,-117.85698811842795,C,B,-129.39613212028826,A,1
Other,C,63.96920879960366,D,-159.2264016895337,E,C,98.23212332676071,A,1
UK,C,-59.55308517211364,A,142.82950244011556,E,A,-178.27275812210252,C,1
Germany,E,36.972930548812045,A,22.669196740868504,B,A,83.51287894323576,A,0
Brazil,C,-202.69150782016152,C,-141.69782383289646,C,B,-54.39654422912409,E,1
UK,A,25.69509097115127,C,-83.42271736454043,C,C,-78.83131839302797,E,1
Brazil,D,21.17592715133297,E,-192.87700741635675,B,B,-17.157098143271586,B,1
Brazil,A,31.51821794741112,A,-48.375558185288696,B,C,-18.27923449872856,D,0
Brazil,D,50.73643177705159,D,14.758889058793958,A,A,130.38643557815945,B,0
Brazil,D,-4.891618065029105,B,13.890268998178138,E,C,78.64727780140124,E,0
Other,E,33.13207669289226,A,-65.68954467856932,E,D,-17.835543666369418,C,1
Brazil,D,11.84047579126506,D,-82.25881105259958,B,A,105.50112218691056,E,1
US,A,159.22507944647023,D,-12.549563707258732,B,D,-76.6717776543291,D,1
UK,B,-30.012694004274497,D,36.26363220573467,A,D,-58.25934329958605,E,0
Other,A,78.59998857293414,A,-201.40930452115308,D,B,46.545252765994206,D,1
US,D,-161.66755338207534,E,-42.115473745632485,A,C,-100.0317568952859,C,1
US,B,-24.07032998519984,D,55.89989530030868,E,E,14.895194670833225,A,1
Mexico,A,118.99576357805792,D,10.918521003724548,A,D,-59.9601121078715,E,0
Brazil,A,210.4290614938802,D,-18.767981277442072,A,C,21.384495961809648,E,0
Germany,E,99.72461885476822,A,23.970949430484556,C,E,-136.83468076933622,E,0
Mexico,B,-112.54357779917889,C,-109.54031967263325,C,E,-42.69842877661594,E,0
US,E,-140.78422584629354,C,147.7501900771975,E,A,120.08796869372418,C,0
Germany,C,214.64501746477364,A,152.71157559228365,A,E,-79.55566088396935,D,0
UK,D,-103.78782500788637,A,89.0787526005932,B,A,-89.78820068787896,D,1
Other,B,-160.24931820721451,C,-41.829477972500534,D,B,-201.78812584693398,E,1
India,B,-143.97625651511675,C,-61.27460005554647,D,B,27.781054415750837,D,0
Germany,C,-199.1526038115426,A,74.60489108648211,C,C,92.0508291307606,B,1
Mexico,D,118.85457258559526,A,-32.3872382632702,E,E,-110.9742167845251,B,1
Other,D,-77.17990320246511,D,122.84769009723587,A,E,-50.280026332706726,D,0
India,D,86.41507888327762,C,176.98154415591225,C,A,-122.6142801189964,E,1
Germany,D,-53.777481832660655,C,127.85971053072547,E,C,-10.950629182401318,C,0
UK,E,65.44278621387164,E,40.98388120406792,B,D,58.69983685607805,E,1
Germany,B,-63.54388808936386,D,-58.47466150790795,A,A,-0.3792612158426792,C,1
Mexico,B,12.574983025318659,C,74.24523421736302,C,D,50.825536058836796,A,0
India,B,78.76721708745082,E,13.999723917189408,C,E,-129.79521627434835,B,1
China,B,-73.65299959456647,C,91.63081781863715,B,C,102.01986313147215,D,1
India,C,-90.80870204176394,D,12.544054502551273,C,A,-23.8876169673877,C,0
Brazil,C,81.74028220141665,B,13.193983551992645,B,B,-134.99119774190845,A,0
China,D,-30.003931317042788,E,52.75937507396874,C,E,117.9282992662535,E,0
India,D,30.873342637400654,D,179.69926352715433,A,C,-70.93778168067803,A,0
Germany,D,-55.40301530494038,E,56.82287589504392,A,A,12.14075662002887,B,0
India,D,-121.32634256401622,A,92.21633389420386,D,E,-25.626660448956468,D,1
US,D,75.07343043140334,E,-237.05362801400588,B,E,-78.6702993327779,B,1
Other,B,-53.760920287638456,B,26.919630600176376,A,C,-90.5072755727285,E,0
Mexico,B,200.73597496477453,E,-195.313328977381,C,B,70.25769185365402,D,1
Other,A,59.83879060889349,B,55.04110500573432,C,D,-41.22662262101028,E,0
Other,D,204.45123802766912,D,59.05570836079017,C,C,-71.85179135882393,D,1
Germany,B,-32.27858656632812,C,169.00087960275502,B,A,-137.99057046154402,E,1
China,A,-63.21320555926332,B,-28.73264328604205,A,E,-14.793995521232839,C,1
Brazil,A,10.376364043331673,C,6.921214175559872,C,B,48.81949069923293,D,1
US,C,-137.37508601522305,D,184.97495593425444,A,D,-100.60721345182407,B,1
US,E,85.02006553706076,A,-1.0454856752628874,B,C,-186.05482990545863,B,0
Other,B,-58.33960528622553,C,110.3830509588122,E,C,21.251745943863504,C,1
India,B,-126.91517191592241,C,47.879265939703714,C,E,-26.087616522625318,E,1
UK,A,-33.41654110777133,B,17.52310619211271,E,D,-199.49303219459455,E,1
Germany,C,72.18097474731113,B,-49.82265790212412,E,C,-69.74113648274839,B,0
India,D,3.323920004626508,E,-1.1257344355692689,A,D,-43.46544943907332,E,0
Other,D,24.099696624629154,E,-10.513567740357722,A,A,-2.551475519507237,D,0
