race,birth_year,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Asian,77,M,132.73269835863033,43.99108445954739,51.76201843084638,A,-65.47707405164292,E,-2.1154851085925848,38.65629609393974,C,D,18.062023322099137,-44.552716212152134,-74.25881048492782,40.70423460860147,D,68.56385254678045,1
African American,21,Non-binary,63.27920769511029,-127.0236031057554,35.70156581874637,E,-113.19487646738737,A,58.809616425805665,-186.13443446255852,A,D,-107.9943372922862,80.48722838649645,107.20313368440033,-11.784242894417178,A,0.03819183066818018,0
African American,86,F,-78.11375646425606,-5.24927306264108,-27.801679184425467,B,-4.9922270671916715,D,71.4004757714592,-152.20582106057256,B,E,43.358290571699925,26.05330806006832,51.64172271733185,21.17022071756632,C,70.35508959585542,0
African American,19,F,-192.11590432544935,-194.85589981497404,7.535950181759348,B,-56.96757163998196,B,-126.30746988515106,14.08018889632061,A,A,-94.96532452911698,186.0369407412041,-47.809075791269045,-70.33268185085821,E,40.29239386872322,0
White,48,Male,104.40003833141414,74.21693622878652,47.27461340703316,B,-34.16121942348313,A,-25.00348469539415,-235.94365961575528,D,C,3.9558788308035866,8.141839606544146,-89.83994323794133,-17.632708763012538,D,148.64481061003514,0
African American,22,Female,153.779412712734,59.960434464447275,33.40622692715112,A,-76.62426874215416,B,-24.469993154924,64.10018587258412,E,A,121.20324248628343,8.002415407587597,33.17522674907002,163.6261583399241,C,-120.22249441196273,1
African American,43,Female,-41.549756453854485,-71.64826617110907,77.64622903826492,E,10.584221483817496,B,-18.070914858120315,123.37750152317999,D,E,48.91095030761923,6.457094042008972,125.8096262796506,-20.863762435213427,E,231.44519707624974,1
Other,83,Non-binary,-186.6467560727794,84.5165244607966,154.23856570079772,A,-21.802651399916297,B,164.1784658253223,121.46235044495772,A,A,80.02339877032574,137.79768424639937,106.24796484130643,-211.71300607934057,A,21.686276100589733,0
Other,69,Female,-92.1260435506981,95.70246464921173,-37.12795519284285,C,-100.69875223577635,A,-179.0368848372179,85.86844075109894,D,A,81.5782358628474,33.20299247208935,-122.71772263043313,-53.43580856074735,C,58.31816984622821,1
White,33,Non-binary,-73.44100997532591,41.23077190158744,-60.54329500488532,C,33.262577659184075,E,-140.49038172772345,42.340268092188964,B,D,-0.7872660472544659,42.042545182332496,-41.72075832227017,69.11695496176654,D,57.006081763069574,0
African American,33,F,-27.609353686942985,-93.26970170329648,49.47149925338897,C,297.9699584587069,E,108.09233460778407,-134.834043545144,D,D,-38.71320548276817,8.960380005600243,-33.35924794191731,-26.220527027350705,D,-151.08925173952073,0
African American,51,F,-102.3787632062776,51.75488349555771,38.30821939042615,B,-84.55947664813004,A,143.55205724844154,99.21640058769036,A,E,14.1751007992655,-10.92273240022426,33.680942439912954,102.24737790283214,B,157.45589237727927,0
Black,72,Male,58.639047339411675,53.701276424734246,-183.0947057147299,B,8.525292983235175,C,214.80903809914108,-200.78632892067571,B,B,4.9926007417799925,-32.58732204208691,21.60523114005407,115.9163095536899,D,-116.40065181485177,1
Hispanic,94,Non-binary,-18.00741775070928,75.66193023274228,91.0892522806085,E,46.475917086699184,C,-54.519826923508205,84.30767534804187,B,E,106.06685301563918,38.984671503865,4.94709272251255,6.666730698844859,B,-32.88994675785563,1
Asian,48,Other,60.95751721060492,133.62714913751762,49.96700085998137,C,-58.182916610989565,D,-122.38926880057295,-54.35237196328758,C,B,-128.50565105568202,11.920770353447889,71.83219937743073,-60.45567819611469,A,113.74526242340441,0
Hispanic,65,M,-9.869129055790971,10.77854072046462,77.6643515877704,D,63.129156500983065,C,44.77962219412655,-229.38297892907315,C,C,-89.31072364106043,-25.90893206500626,-124.90677308370262,148.39799295871566,A,82.43996812388959,1
Hispanic,61,M,-94.49677408029665,100.77034904119562,-22.134265217522916,B,37.2903412222975,A,94.55184705014067,-132.1733800950451,D,A,-298.2580328976659,142.7963630532876,23.818184282440736,-80.40956658177817,A,162.41368703934717,1
White,75,F,71.36322941064705,165.3350903118574,44.36207434822146,B,88.24942497320845,C,69.47358565435296,-205.92442039651976,A,D,123.14873488685085,81.2623222958702,42.79484642820839,3.2639024341181475,B,93.69127296063809,1
Other,21,Other,-12.450105453123674,-197.417124993112,77.6080776153387,B,-151.35430951614916,C,33.041064084005114,212.48730670890308,E,C,139.17005853656028,-105.08418965530682,-66.35669929333162,-128.8251970184503,D,-107.10673753154414,0
Other,55,Other,120.25846738423125,-131.60655569984073,96.03962335901441,C,108.19197687785855,E,-161.10583296230453,26.462720603568556,A,B,123.83436774010983,77.94513009397794,13.490338827775734,-5.0418760895220505,B,10.095346872462006,1
White,93,Male,-94.01804758201533,-112.40254540152463,-96.34648849787271,A,10.42777386974145,B,-25.57618420297217,97.20593634639995,E,D,104.7040125556626,38.505560100297174,-9.101883437447025,-145.31823850811364,A,-159.1409475415559,0
Black,43,Non-binary,71.32977144297492,-81.19623625764454,37.46562223914374,D,146.1820812762343,E,47.510922369284906,-51.25649975785517,B,D,-2.137006632723094,-220.2973002610275,26.744374370812935,-27.56955223746579,E,-12.118712926249403,0
Other,73,Non-binary,97.29076978053507,-20.77473294324566,-112.12079689525025,C,175.48002842082943,E,-130.70256160822268,153.27862317382025,C,C,-54.846744117556156,24.544139417128335,103.57774244624514,27.154450254734492,A,138.19454097025348,1
African American,93,Male,88.92690016049383,-15.154036752640168,-65.42322843667246,B,-137.68521799660164,D,-21.584692529661314,196.8544911457507,B,D,133.25384206006524,-38.94719600079691,11.736269847079,-24.371025666416145,E,51.69395559751777,0
Asian,51,Female,-40.845473141051365,-138.32674529657822,157.14013460891195,A,19.54753493050008,E,69.35911160698261,289.13455677269434,C,D,-40.87575502088611,113.10849039027664,146.2610361422074,-0.8967281986219943,B,10.701256580227561,1
African American,35,Female,-158.3244300606954,-8.779867080857029,7.450573626823958,B,198.5175027728251,A,20.284529514167716,-23.379619294554573,C,D,-49.13323248658211,129.91981558859396,200.29186657774054,87.4698893449397,D,11.559415021023078,0
White,25,Other,-2.301925288239961,4.692259814475517,-239.74554540752294,C,129.47899354683844,A,41.80520801645009,-10.020640663376579,A,D,100.12020718626668,40.42992343124949,-66.80200342615954,281.93306768749375,D,107.7502769005231,0
White,93,Male,7.8076307920901336,-45.84007622621049,-6.49346914132136,A,-72.55063809377033,E,113.69515901036253,91.29613522280881,A,B,71.1208945189559,-32.69409033073609,-173.96098343378262,-85.99705343945287,C,-155.51643444309343,0
Other,40,Other,13.12306603409286,-82.71235253897757,156.53445931268345,C,-41.685886139910835,C,188.28030041804197,-29.433408606172723,D,A,-21.978651228117755,-92.04337998671257,102.0493348365565,-244.7353003672922,E,-161.30888767748536,1
Other,94,F,-171.56703056123953,108.94281177639328,102.98353489180477,E,-177.3854869051213,D,69.11327802774692,121.68665756440167,E,C,42.47470054622252,-48.8681975454705,-40.357837576910036,-50.69419863076712,A,72.31956219625368,1
White,64,F,-17.187030116760585,155.07802774615652,205.7943570005862,B,-140.39858157335217,B,-49.41368963002773,92.8650125906238,A,E,201.56041857302728,3.3104513949178584,-47.934090893177306,-131.72417166175487,E,-173.8177876696951,0
White,71,Female,-42.18900018196349,-5.83622128042449,40.22076828078192,A,58.152437729941795,D,69.22240045555846,54.50743957398668,D,D,-75.60587844592585,-46.620435160949754,49.80435540958582,-160.74858871046928,A,128.21061589021065,0
Other,24,M,39.73468127527674,10.112781970234783,-84.24803103049923,D,-225.8708483673242,E,55.36993750807615,149.88038771456814,A,C,226.19142846073495,-20.650328566307,185.73786541672143,-76.23419468473872,C,100.75888628003342,1
Other,91,Other,-107.90470074137598,-151.8387008520874,2.3352681603190577,D,62.20987580912883,A,85.0191048619137,128.38681774503578,C,E,58.02450425905034,222.1895048108644,-25.408681673956668,92.94461166738091,A,13.604026642704994,0
Asian,35,Male,99.92212484224329,-187.36521508496517,34.44346338068984,C,-100.13201360751344,B,-43.27302538655058,-50.1178307272108,C,D,-1.3219868342693617,149.56092844727183,-126.48035428760784,-52.12669637328279,B,82.35068755225564,1
African American,51,Female,-103.12313817756127,23.338273173632455,126.15334832508557,D,103.104128199957,E,145.66214175582465,-132.89104516273903,D,C,4.150535377132488,-96.36367180241842,-302.40845382342394,5.857017492785664,A,-74.09343157239338,0
Other,48,Other,-150.09526672289246,8.397774235014008,7.130216726759511,D,25.31010328202506,B,26.158381738571755,115.8508804292645,A,B,-156.3356908189645,52.18202674467272,-31.96649575679233,9.877380120407373,B,-57.729920485673055,0
Asian,88,Non-binary,-35.050336153854275,-45.65691416904178,42.402268097560814,C,-11.6509861619136,D,1.4683241199398722,-115.78702848412252,C,C,30.19482116923113,103.10198896832729,-28.60140913387917,-17.240178577358662,B,-80.04054051638981,0
Black,95,M,109.66497898852079,-89.47397941702326,-112.35828837957673,C,13.173256602294842,D,-109.52835448556671,72.29282467377239,B,A,-181.34670863915397,66.87704648547022,1.157534336299555,158.58438300963113,B,159.70651666392465,1
Asian,46,Non-binary,-137.89307201875226,-117.4037623100366,-157.103887331186,D,33.861204441855094,E,125.54701654030609,-85.08706127199042,B,D,107.8413027029108,102.56761750515435,-77.19739549268486,192.0710200000046,E,-115.12324616118255,0
Asian,65,M,2.3022985072551254,-39.15573847574832,183.24568059594662,E,-70.00980178906865,B,177.59866931056405,-22.7837131300619,C,A,-81.1197467452832,175.29939839096588,-23.51023315819574,-50.103604668774814,C,-72.34310649917455,1
Asian,96,Male,-106.80289604181455,-153.29130651613985,93.2075252339653,D,58.4447511322984,A,67.67063737657992,-37.46383159538574,A,C,16.698078248117575,72.34691812616977,84.5850082437424,81.06384775813133,A,-50.87118461454935,0
Other,68,F,35.844184808848,21.745857989673183,206.42309285159635,C,205.07114579147765,D,-94.82743149754535,200.2845617687233,C,A,-73.78521059300198,-19.252601418246083,128.38760433152729,-127.19502987524808,E,-125.36844565045178,0
Hispanic,61,Female,57.76413208369795,-40.034659979982564,-4.431348055780247,B,104.76564009497939,E,149.94338886854314,-91.56369380556927,C,A,-89.20149721778434,26.79698248440876,-31.776635935045146,-124.66988265007328,E,46.83062050696252,1
Asian,41,M,-92.23837554079121,-29.710229961621675,60.12168995004317,B,-27.89176302362218,E,-99.57715500689419,-35.612666022384154,C,D,-112.9087611727241,-30.190312081206727,-4.925971299073714,68.18862004837854,A,149.74628077388778,0
African American,94,Male,-32.51182407529709,-17.899469844752183,109.67373963237148,A,-198.79930902969002,B,-67.4436610009285,-52.09385453783724,D,A,-71.40458825991287,-85.79818374729882,-31.067844677524953,-34.153329659850066,B,-59.41618725340546,1
White,49,M,-3.4420379314747334,-2.895995318257788,139.52975331590264,D,-169.11039114191095,D,96.96800667905488,72.32387473586584,A,E,-168.9276065223576,-102.44038286484934,6.796697121014918,-34.338659987709455,D,-255.94384380400234,1
African American,96,F,16.09619912601795,-105.71334537641934,110.96541308444812,C,-67.63147796615048,B,11.635439360888473,67.80813426076683,D,D,224.36387822484915,-199.19155074474276,198.47431102766916,-57.42287606385985,A,-43.621045282557624,0
Hispanic,70,Non-binary,46.038470334509526,-135.86200067364294,-156.09852626667055,B,-18.63234754007529,B,58.63043781308329,206.85399526427327,E,E,-130.75925264422276,-18.733314268492038,73.13246463119908,129.56261449468664,D,24.66582079358869,0
Asian,69,Other,-149.20957116923944,-134.87688301509453,98.78739201657615,A,218.2041372087323,D,-188.4853358421732,-142.20156401462788,D,B,15.75852057855662,-16.853937517966855,86.38808081794429,49.270860147659434,A,150.13100282110761,0
White,98,Female,99.88065419175012,23.400323853783675,76.22762608031522,A,30.43876526776417,E,79.12041571245308,21.467466990394048,C,A,-9.207017871480327,-96.56834189230213,34.3204568829331,35.34050272919821,D,62.73054357556618,0
Black,46,Female,-26.89671915707983,24.60235104112372,105.4352885597887,A,145.45764845021333,D,96.84769213807627,-201.16367531865967,E,C,-16.843653304677268,-154.16370398774143,26.870115005882372,-42.093643600894914,A,166.4300473143014,0
African American,86,Male,190.7084920900122,178.69301377981915,-6.272156725413231,D,43.15187423892641,B,47.29567878718686,4.740790218709927,B,E,-108.90667174639393,-113.94836063681615,-12.444348809191562,-73.7120892438088,C,27.933706088587506,0
White,84,Female,137.9237146659674,47.83240099254844,167.18709510405395,D,255.12073643083548,A,-79.68737769509143,160.35936039346183,A,E,-30.633881209828285,-79.50153347324151,-188.23939053613682,56.40297418252982,A,45.937826794635484,0
Hispanic,20,M,22.87659177542051,184.2083147873233,-36.84911127813727,C,-82.92008496162808,D,49.997785734945225,-108.57892897604464,C,D,17.541502738567395,118.11501172775046,93.98746671355622,25.69484887485986,C,-45.598836774212494,1
Asian,43,M,-0.8585375372938941,103.2793671986935,-226.93763117291806,B,-128.8480308775783,B,73.37050622394258,-154.8264451873728,E,E,-28.937892531958926,101.86433335279075,-26.689886391016497,-15.23655839055779,A,-67.13970495811714,0
African American,71,Male,124.07687924804398,-71.64056443649677,38.35153591857166,E,-138.50873168091212,E,27.6514429834622,-26.1542528776476,E,B,107.47329815062241,-78.58120157062808,-105.1926783797214,58.43448165458936,A,-49.33475979558634,0
Other,55,Male,-20.913120955291202,-209.62393570267886,-219.73325466098933,E,10.854983501137863,C,70.13363423707399,103.62263038157604,C,D,21.95666767745161,-32.471395204531575,106.57315411631072,-3.6171161893790855,C,-91.07165913475342,1
Black,32,Other,27.26656717056683,10.28363356206336,90.4565231782486,C,126.52871746725212,C,88.40741925320671,-124.59450521880233,E,D,-32.69414704888098,75.07714874299313,-114.58647623329693,-103.89001855975637,B,-147.4480797504956,1
African American,28,F,-64.33007372504481,-51.71806833374026,29.41532134857211,C,65.69515354239019,E,71.87724966438111,-104.07912875060306,A,C,7.762543737453667,-2.05426011965638,75.7946992727676,68.55656932955367,B,-63.57433295525031,0
Other,68,Female,-27.546017292568486,163.22794370718273,-5.8670195603811415,B,88.82966764795304,B,-121.6185048715879,-150.00450217692742,D,A,-85.24777283781545,-95.32526229796065,125.01941832708768,-219.4588676582216,B,-2.4766343351907913,0
African American,65,Male,-139.4947721328028,-80.81463416490905,-130.23538797086673,D,72.9345613137309,A,-29.23265710405377,-209.6830582761855,C,E,-72.1096461184159,98.42881950183035,-8.159763270740877,223.53292544830254,A,32.84367956250925,0
Black,39,Male,-53.81190994869096,-220.30319282406617,19.284189393781766,C,145.30702628635842,D,35.666893119665644,-96.1844475097219,A,D,-98.34802962648871,84.35623843954191,-24.41345875432951,-242.4757081613806,A,-163.25120522832896,1
Black,55,Non-binary,38.665408647272294,-66.97663125287417,-26.40251596746081,B,37.63620859967248,A,-67.05506167093719,-327.0522608236814,C,B,24.100204837385743,126.85146165739181,73.57234383788655,112.92256223689388,D,-81.2080540091759,1
Hispanic,59,Non-binary,-26.024987624478808,-134.64312184847944,129.2438003096741,D,101.74456963979654,D,-153.53598135376166,126.43854001707098,B,A,22.091327161409176,-21.412678530906923,67.94205190283076,49.587747270974106,C,-119.1908698677968,1
African American,28,F,-36.51384150464443,77.73600821298263,48.309267348802805,B,-103.60425084110855,B,-28.74922130753945,-117.51580625925293,E,D,-86.35141804267029,-72.29461384246655,-109.04640206500748,67.73918901914692,E,-46.02555441816503,1
White,67,Other,176.78430005071385,-134.462392008374,5.041510116408902,E,186.57152863199076,C,47.37923509054123,119.04952043674007,D,D,-47.679478356911815,13.953734483354957,-5.480183050663419,-59.66129403014676,B,-101.94743054496702,0
Other,30,M,55.19248392244225,-32.743651545865475,-14.166675721019523,D,-85.72198359190335,C,48.02040630260293,44.1204465170799,D,B,-167.72551294477103,20.01220314455891,-36.46111849025412,37.42601640542907,C,-90.02883170250665,1
Other,82,F,-8.596351967726106,-154.86478711828616,-10.49842476915408,E,-91.88473785616611,B,-3.248953619651233,-130.52125982428157,B,C,18.42773212589158,44.62963264179567,122.36023002847054,-23.816113532967034,D,71.50159801327193,0
Hispanic,83,M,160.10088979548988,16.50721180256223,233.33878039089234,E,1.6184276695241722,E,-34.73257126478991,-26.727007247661373,C,E,-47.10952764716641,189.63430385563373,9.01431730367597,38.55731018364871,B,76.28845083802126,0
Other,36,Non-binary,-11.114342792249843,45.17220124070835,-130.80273840297707,A,-87.17847566061593,C,-54.801887037067885,188.0721988323935,B,A,-11.831902656971327,-201.85626645107223,133.10488145036857,96.56911277750547,E,132.5513693958066,0
African American,64,Other,128.14421486676716,-33.90082493575032,80.58416058415406,D,22.394128141254363,C,111.49569752513568,138.97570791896078,D,B,-42.26273429978693,-170.296929917722,65.4259027855064,7.870445087110475,C,29.27199365209605,1
Other,45,Non-binary,15.967306174421896,-74.54503384862826,10.713062015435417,B,33.733551007191025,B,-104.76851107451326,16.96305531349643,A,B,-43.9495247593771,64.2706747746388,48.67144158618918,-25.119012215947233,C,97.3281136234829,0
Other,78,Other,14.765063383224314,-6.140102167749925,51.66877887977641,B,-8.677357159134527,D,-71.16289619557537,80.70404908402558,A,B,61.29299084516644,47.798493932044096,1.5776633237309305,-24.75923397125815,C,-75.17450002405135,0
Asian,87,M,153.06167433879568,11.341728167597855,24.64153407494303,A,50.22246475604886,A,7.583187769352695,56.2420720338357,C,C,-6.256334528639659,40.27219072460335,-3.6262524236329177,83.8404752044569,D,106.79503481932662,1
African American,38,F,131.8466295571594,31.308515474438742,86.15939183361894,A,-162.1030934867853,E,159.17446047692147,59.745080980338514,A,D,105.06166180179643,61.787855800004806,141.68461437170615,-249.5428796421744,C,-9.289100875566525,0
Asian,99,F,47.01374380850341,57.69744415729197,-74.69838124118529,A,76.97364663169144,B,73.96364864074332,-52.60684121361334,C,B,64.5727291936063,32.51558009783413,191.56674606909746,-19.155580112268353,E,-23.85133948751284,0
African American,78,M,10.686581149094888,20.842494142292576,23.488524217499098,E,-82.34099782326601,D,-157.49072462191282,6.450238043533315,C,A,-19.98112055188264,-36.35594258760451,50.1441597893354,-14.516616041203283,E,-23.922732279355298,0
White,21,Female,-11.68916112144868,-265.24904474932595,-37.69167455037118,E,122.24932720207593,A,14.085239969137476,3.3648623391159362,A,C,72.13064525831302,-98.0118192188973,118.48280171830683,-65.91672831914912,B,-80.6779839552557,1
White,94,F,41.90406956050658,-199.36950146943414,-30.89832814164183,C,-164.7851648063296,B,143.43769959267553,94.95843611994952,C,C,6.895535355216345,-40.12068988942698,-36.37603385543827,63.832121422419505,D,-7.497515689243074,1
Hispanic,27,Non-binary,49.24031239566244,150.8517423636957,-3.120637170263744,E,-315.87491598428045,C,5.185380261531785,64.78105663029947,D,A,75.48179308303338,161.97399321949447,120.03284044496485,-11.02914666588632,B,-32.76116966110246,0
Asian,36,Male,-67.91652363403779,-22.228892792961883,-99.94688205160705,C,53.4922451315291,A,-75.39164034351754,-39.74521444109369,A,E,6.493289378552319,40.04474904135687,-62.90243002259063,3.752344675443209,A,145.14124949866198,0
African American,21,Other,132.4553005898395,-87.3588221405573,-113.53457242660889,A,-170.43611930941725,E,34.23088249078721,55.65760263309056,A,B,-17.11277850367698,-28.575611557041817,-299.6913848126031,241.96667021015529,D,-116.61122808832948,1
White,73,Other,43.744151553647704,-15.725742093620843,79.46799418806052,D,98.3636708042969,A,-26.730537928053067,-151.4179043653069,B,A,-16.4235400939436,-73.27356151619104,-42.62725311016463,51.08644190845346,E,-100.63414643112134,1
African American,40,Male,67.40329115313105,135.0607047133735,88.5727802630913,B,-15.03535109986838,D,56.546177826150945,22.37530135291768,B,D,20.72723366901978,65.41237903429786,28.411616527037197,25.391645869791812,D,-54.86870598095168,1
Black,56,Male,27.532296417823236,-24.092985252602865,-66.80915550513629,E,31.87529602187329,E,-35.063742523113746,188.88088552857357,E,D,-97.93238256066331,141.09493020853193,102.43342498926648,-13.65377021930387,E,-19.04484081206301,0
White,61,F,7.9219264631360655,202.40670645553317,78.66860838711777,A,-118.26054279144458,A,-32.86636352208623,102.8162043383008,E,E,-104.13726595868482,-146.93967305421697,-14.96753183434048,-94.67153875909797,D,82.4229522556239,0
Asian,57,Male,91.26820014382393,-63.35415742544684,-14.699103585572967,B,-103.05678227385786,C,-173.56576017239416,-69.54120508006635,E,C,-98.67765898237124,134.70489459734475,113.73698411132385,-12.734255724986507,D,-14.086660052790965,0
Black,96,F,134.64195736189174,-43.31650881815332,83.07486388841602,C,-118.12436740304315,C,28.388181188612865,62.45765353142605,C,A,14.528195080177051,-78.44196584454335,-23.793717091141634,125.71340540223895,C,26.63211095860813,1
Black,48,Male,-49.46720400167347,28.975678686709777,-55.73624867415642,E,-53.894272048444755,E,-7.686788233009732,-177.156732170033,D,A,98.57803787012485,-97.02176368876844,79.54004841108662,-215.72482547211558,B,-14.25497114151508,1
Other,79,Other,61.46675520120455,44.68128605512477,234.20424407760913,B,6.621792954267288,C,90.58372938418121,-156.90986083760444,E,C,52.870759850168255,-20.657766649436525,110.41181119151129,-34.32061706358206,D,-4.883369459086033,0
Asian,25,F,-83.25870451068374,-48.56589725417016,199.89737323291928,E,-35.98974973529266,C,132.81664658114195,-16.174656740714134,E,B,-17.843440312158542,182.59805732906273,-151.51282298676165,-55.93489387828414,D,-34.79638660638114,0
African American,24,Female,118.68852908891077,-96.84659936205313,-185.64275540852603,E,-268.4516115410906,B,-154.00947499169203,178.3836495085273,B,B,71.82818116232743,58.97587048925724,36.20871533115563,43.63420129239058,A,-9.821318122175281,0
African American,97,F,-45.05974962528686,-54.36902206340897,-87.21638640979597,A,-115.49139712902294,C,-129.34606801223566,-240.94983810796847,E,A,74.01273971359008,79.51314563246513,-17.467199459791026,-95.82970305752413,C,180.76896101012082,1
White,72,Non-binary,-169.3676464200695,-79.24766606289705,50.27940294526033,B,-6.9181184159075055,D,41.98849429212117,85.75918540031778,B,E,-108.63937904995554,-48.53625209816278,117.01088784213509,-31.72812118151916,B,149.46037114185785,1
Other,56,F,-58.323226143101294,138.56994489915536,14.132733360248567,C,-128.45324749732077,D,-70.63074560122328,101.3827267718173,C,B,-145.8012844167374,-13.417289875439131,-139.15731955983452,167.6847050876208,B,-66.19656932144699,0
Asian,36,M,50.86035671154217,18.83215772119127,-37.034089923448015,C,-152.53861396989706,E,54.007612067052,111.17039038508925,C,B,34.09163579279399,147.091896268193,-73.78661062811697,-319.18273216696457,B,-1.7381831844331626,1
White,28,F,-220.28788912048643,-63.359115701519094,-36.53912902109102,E,114.87585406961517,D,20.095523820379363,0.4755517129261755,C,B,-41.41420158420447,35.50654753501826,38.33818791136111,-36.18934283354165,A,-129.1525020959443,1
African American,54,F,9.567769928755041,-19.0916991374357,33.40269430627283,E,-119.24718580626762,A,35.390962568189394,127.78937750452684,B,B,145.2757920769034,61.834253177119535,-115.96536670102209,94.6842912956568,C,81.67871380326822,1
Asian,37,Other,108.06347915445565,143.8737053816488,72.8866813177983,D,-146.13576055304495,A,36.63846960961016,61.15970908193975,A,B,74.14254355459504,44.60361050813974,117.72106139147897,27.375883588367227,B,152.28694189725712,1
Other,93,M,-71.57915230877191,69.50962966955724,-78.75017866647171,A,58.1648115742609,E,-28.044208069724135,57.0840663306871,B,D,-55.39248521690631,-3.296637696077314,-125.5372715417515,-116.75226224967903,E,50.40557855355519,0
Asian,90,Other,-29.095917996763003,56.052030935069375,-59.29604613366934,A,136.9167312685872,C,187.63140873649868,-143.24463717117268,C,B,93.90440464839912,-119.78526058968157,0.3591102792663889,-130.99177481036782,E,39.029733217061874,1
African American,75,M,-24.298599844728543,54.95381769610192,-163.0262931733005,B,154.42697854576673,E,-38.200816731551726,-133.8594112686355,A,D,-194.44088781650976,49.136166825874625,-204.01546710962464,-46.67153948029644,C,188.16072292647698,1
Asian,34,M,103.18898772749108,-26.530468496521138,37.02276296761892,E,-75.5359257985327,A,-4.766636301208154,-229.4607407156064,A,C,162.53410741546642,160.74665479312992,52.07488480582979,350.1351742469551,B,29.88043245717312,1
