ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Hispanic,-32.442602991397926,-67.49059231362565,-25.5848880800897,B,C,A,92.53627531133371,A,A,D,D,-89.34275526703071,107.27942049923602,-114.56263056991342,0
Asian,70.86818164459679,87.91765471909487,69.40542022273242,A,A,E,18.463086256456602,E,D,B,B,142.0545238554664,-14.721874840956307,-59.809043613307445,1
Black,-86.8730134803106,-93.84476903244956,6.6097750012029515,B,E,B,-41.24673664774203,D,B,C,C,131.56073847001508,16.069303528141194,-57.685043048962555,1
Asian,-122.12891102561309,89.17588227237435,-88.17680637010434,D,E,D,141.71056513623824,C,B,B,A,20.21470585477439,-2.0996410769338336,68.37350074177066,0
Other,-128.47121545255436,24.824194773467916,99.92176301048865,B,E,E,-57.24076441045354,E,B,B,C,97.77796415532858,105.5495096617731,47.33814037482503,1
Black,103.58300038881542,78.96522778854703,161.8651020972568,A,B,C,-45.72963699034801,C,B,B,A,240.27806816239004,-7.545211047910705,-26.91387896307425,1
Black,187.50557045871105,-210.85201417248913,72.36758111162737,A,E,B,25.79616941321621,E,A,E,D,-105.2879023164164,-37.87650352918135,10.517978963865254,0
African American,46.35598568545646,-14.735515205917924,37.59288442862491,A,A,E,197.666732688425,E,A,A,C,31.287584491494492,-85.22971160742108,-50.15609131193439,0
Hispanic,-34.050984197315735,65.54939139897557,141.65498136318067,C,A,D,-2.6142830925949987,C,E,B,E,-119.43980271074402,-19.637489436159537,101.84754431496876,0
White,27.603657367206054,61.14967299579674,-49.399329247426934,E,B,C,-31.562589174835527,E,D,E,E,16.612748359986114,164.1354331491657,-151.16004254446312,1
Hispanic,-90.29149000127352,-31.609028431168625,-45.200117731946946,D,A,E,-73.9021125935448,B,D,D,D,28.233939914115698,40.0120004261378,-123.03150166445673,0
White,-73.15056265993091,29.273410513443515,25.6460352745976,A,E,C,80.8217120252756,C,E,A,C,32.99805202288864,-82.59761568339657,174.6634596677624,0
Hispanic,-54.38854485219845,67.82078404036879,52.09137929406148,A,B,C,-120.16717789127327,A,B,A,A,-86.88984074653393,-43.11864215137253,-215.8439325054146,0
Hispanic,28.628553872385037,74.95993560172109,17.032566013545743,D,D,D,165.89393679439374,C,B,C,A,28.649866459668953,-153.48213132619236,-131.30999974601906,1
Black,21.592108139377466,13.14223500753278,-54.49504672260114,E,E,E,-132.09331351970715,D,E,D,B,3.7778375073948443,13.577510522142985,57.3882656078027,1
White,122.51238872846024,60.32086673298194,174.23403014218843,D,B,E,-22.710496792354036,A,B,C,D,42.37045421741778,-135.50018832461618,137.1796279547783,0
Black,-95.57221939398002,-22.511070364356986,150.50764191676373,B,D,B,-58.515185087716546,D,C,E,C,-96.78596179762113,-93.90738374946007,250.1883575987405,0
Black,238.55898254210862,70.03568706756622,198.71052678700784,D,B,E,-119.67619084942565,A,C,D,C,-163.17759428548408,-53.137037567341515,-16.15956263842696,0
Other,98.40301665515551,-26.564424268946663,92.41506636036631,D,E,A,-35.741760068356335,C,B,D,E,154.3505845761428,49.265794263138474,-149.55296043655858,1
Asian,116.18739808348818,-91.76197929020177,-25.366031348449013,A,D,D,41.57020469767112,E,E,A,A,-17.573036858724585,8.794868833235938,-97.73190808032408,0
White,-214.94038246569977,-99.26645356849752,54.321279191230886,D,A,D,15.036099231770272,A,D,B,C,110.05462665541306,-20.438328503716168,-74.75382396787495,0
White,51.725055624183824,92.9404424275827,-201.61660853320825,E,E,E,-18.58427513450387,E,B,D,E,138.22643692496962,59.284594593540476,126.6587476601291,0
White,30.264336540769293,-20.447372923947867,-1.6491803646760044,A,A,B,12.911173021790903,C,B,D,A,18.95635431067398,111.86202908838092,90.12001968911578,1
Hispanic,-64.13493310716754,-56.41028078997958,-91.56368033474051,C,D,C,65.0116785651906,D,B,C,A,-124.51424700272638,15.487629867692194,30.513857859711052,0
White,4.853436428899283,-4.163246382957443,-26.878467161002746,A,D,D,61.845337993490446,C,C,A,A,157.7366593798788,189.39826535540288,-83.75073248156022,0
Asian,43.99085321904245,-39.78141061561791,-224.4699854097502,C,B,B,-14.860488215968848,D,C,C,E,91.8926585518613,-22.665924377404004,-187.6414404852905,0
White,121.15991173526335,-13.814609839730037,85.23171708427503,B,D,A,135.72949548086126,C,C,B,B,-148.82227420546351,-63.64553580997043,-15.432210569290172,0
Asian,156.11510719319992,-27.63677866839098,-130.26303443901003,A,C,B,72.68703995541375,B,B,B,D,-78.71603758734665,-106.97750643002281,-129.93243334890107,1
Other,188.004741400759,-16.343005141112805,-85.21500015300643,A,C,C,-32.04933380241094,B,B,A,A,-70.3308249789746,-63.58531603256141,-2.0717257170903634,0
Hispanic,276.8598894710699,-13.478156209135864,-62.01720065579038,E,B,D,41.815365661202684,B,C,D,B,-17.102606164579672,18.209873069599467,140.69427549692867,1
Asian,-42.73993088010692,66.95231262574049,47.72620060267019,C,A,A,-86.81667919900666,A,A,E,A,-78.33498984457722,67.36235716253383,99.15035819339015,0
Hispanic,206.21239183564325,-142.60511264999926,-111.76420511957087,D,C,C,-89.64902154221281,D,A,E,D,35.58845190873435,-103.93227741429234,-28.709991478348424,0
Hispanic,-96.85464471262827,23.51940901328844,-103.85940540921264,D,C,D,23.79499080568757,E,B,B,D,-18.660672924768424,19.971518162191774,30.810373721909734,0
African American,-183.26446270319767,136.5354844250667,78.51659926682584,D,C,D,-178.72657549712252,B,B,A,A,-61.62308953876511,104.19376430691447,-63.5806636090568,1
Hispanic,-66.25133586667978,164.11511725347415,135.10394673080916,E,C,E,-148.94472537194125,A,D,B,E,-44.50586263170045,34.811385439665564,-81.18844790245073,1
Hispanic,-89.86312033010937,43.31780626513004,92.96982151353978,A,C,A,21.00717962060571,C,A,E,B,18.42266006844101,60.17259229931389,84.68797455322438,0
Black,-12.355827266294197,174.8364717496551,-1.7924422922616892,D,E,A,-136.42879469744543,A,A,D,D,137.12504406111117,-39.39640449591411,-79.55819394286819,0
African American,59.109643752759645,60.101942369127315,-8.085872359409487,B,B,B,-2.0005715752420374,C,A,A,B,83.65268836322282,129.7920644088002,-74.9874219043181,1
White,12.301844710111903,134.93361588240924,209.25718656315078,A,A,E,-48.75598820495498,A,C,D,A,-25.98112521141226,-7.66908920894558,-173.54417682104437,1
Black,47.79015605893167,-34.1636474264678,159.26590984227101,A,E,B,-121.98223984593082,B,B,D,A,-99.67299649004455,-112.74026252859738,216.4696528555549,0
Hispanic,3.8697017981536757,72.16363741854883,-33.56059294526967,C,C,B,-181.58502554670807,E,E,C,D,-12.300310042406641,-16.57332208518115,-74.33941470896973,1
Other,99.06986884239595,-22.858727912179674,14.30459800945737,A,B,C,284.271562045334,A,A,C,E,-12.8138051666067,-33.00861718357709,-196.76777077926727,1
Hispanic,24.888030195994705,132.62665817249143,169.24088459028036,D,A,C,-56.69717476085355,E,A,D,D,-84.94145792865588,20.97078824431486,-6.255381768927706,1
Asian,7.975030314506372,-96.18355091761963,32.31582264777938,E,C,B,-106.83951246878468,D,D,C,E,-117.94166148796721,-6.65035290271906,-185.59456295613037,0
Hispanic,84.17324553087349,-145.3334335508617,125.04932493854528,B,A,D,-125.04325349967786,B,C,E,A,-14.652544901311224,10.95093988297824,1.9812708738941163,1
African American,82.35840794106306,54.116374020002446,-66.9614130262859,D,B,A,44.025045923716476,B,C,E,B,47.124510446740544,-76.12027913600016,-268.36293892982405,0
Black,137.44155190566408,151.97315559945093,-52.69577489358177,A,A,B,-149.34711493382096,E,B,A,B,27.94628499806609,-28.589267258151974,-21.789021786917694,0
Asian,-3.2896417916126715,-2.749832233445392,-63.181132955576494,E,C,A,-104.76962344459237,B,B,E,B,-74.51980720786773,-88.57393609371353,-61.35917851303054,1
Black,35.43169884319026,-80.28394853158987,22.210769819399687,B,A,C,-46.97486567956782,B,D,C,A,17.472970607754025,24.826811729041623,-238.58673905777792,1
White,140.6634996274117,37.916895926559015,-5.642305293594234,D,D,A,-52.326657755644035,A,B,A,B,10.81371025191732,178.4985218388246,34.813160076914734,0
White,-166.8715700896503,-22.2219124850248,-0.7928411912916109,B,B,E,-84.62499018514652,C,D,E,A,-5.749264690332541,86.83543632437394,-42.22376277101421,1
Other,-32.64654303227918,-116.90502891878066,-232.1863588341089,D,D,A,-74.26559295603218,D,A,B,D,-69.27135346540744,93.8814749504346,-60.96242699767329,1
Hispanic,53.29826813873295,55.71466256149085,-56.529542147130215,C,B,D,3.8097685223347653,B,A,B,E,162.15311426967622,72.15035896939894,-7.881895047301309,1
Black,203.74637416730636,-64.59508138696441,-1.1962068803394545,C,B,D,172.65710044797203,B,E,B,B,-235.661778933828,-141.2612232431308,-116.02172933425223,0
Black,89.26094159478838,-48.7641346068555,2.543731061357455,A,B,C,62.60037513272309,C,B,D,E,5.508350182986263,135.96522598165635,-91.94352725164407,0
African American,-128.30014992560345,13.26219013290645,-91.1142551296208,D,B,A,97.52397891127237,B,E,A,D,-143.7317589073664,43.26160930648684,-2.5853631920677964,1
Hispanic,-65.26359944862918,25.727827559189564,29.395751285458825,A,D,A,-49.40622886181106,A,E,B,C,21.18627902456132,29.616452337744516,-5.279091950431828,1
African American,46.174601163273465,-233.56944248886813,-113.92667167251518,D,E,B,-27.852259885617244,E,A,A,A,10.840116055676887,43.142262113373455,147.33235859425938,0
Asian,-4.388585951669604,-35.088024847256385,31.764306850348,C,A,D,-38.471067270756066,E,D,A,C,-144.42058170174838,-50.18226739704511,-153.52697162829298,0
Other,50.06819140720843,72.54168747900141,64.98435690639856,D,D,A,69.93096419205264,A,A,B,D,81.46996601769992,93.72600871492004,138.31964680446438,1
Black,-18.12203587538166,-67.65309128906405,172.70143585312056,C,D,A,-72.64566771756115,A,A,D,D,-10.226090657889047,-315.2561888371959,137.96273095572457,1
Other,-94.40304281264467,-113.58110725167072,24.012460439791532,E,E,C,-100.96494422987337,E,B,A,B,295.8849844094527,-193.49754117049335,160.24512024245067,0
Asian,37.5222927515772,-202.25519643951765,122.16562184941554,D,B,D,15.33597636034633,C,E,D,B,5.469217342692607,14.874068525788825,158.19999241240882,0
White,-184.8354410946219,-1.4214839209684498,13.266102360444773,C,E,D,61.83889117628391,E,A,A,A,105.58722492190115,-60.23700825485475,211.71535546772859,1
Other,-42.66967584547487,-32.81583232401858,-120.60892997511843,E,C,A,0.6354329483055284,E,D,C,D,120.76083115143483,-64.05407656370562,-47.20215416867958,0
Other,23.089493053220103,155.42848697396627,-70.2723839484373,C,D,B,-6.634793584368877,C,A,C,E,31.47866589526821,-139.88478246531045,-21.675421410053474,1
White,63.56148729942872,29.264968888275906,-148.86849466205217,C,B,E,91.8429783047658,E,D,A,C,105.30546037828921,-85.36883041951675,15.26348700242632,1
White,42.86483205637409,-126.64648229814873,-195.62124692999305,D,A,C,23.38178273616966,B,B,D,B,69.73605626527029,-11.246687282723427,-45.476761328273916,1
Asian,-19.58616983767081,36.23934053195921,171.04717457972882,A,C,C,70.18608654592782,A,D,C,C,-59.17371028653062,-23.19054668767862,-22.723299699769754,1
Asian,39.74383515099646,158.80920385513778,-104.90493246772374,B,E,A,167.73106616842216,C,C,B,B,-220.32773548897228,47.3993350769422,-47.02460257087832,1
Hispanic,-136.70424022611115,-5.442467530332289,156.1845452835242,D,A,E,73.33235691366468,E,A,D,B,42.798617863358515,-34.83067908680514,-122.17546319412276,0
White,34.760344036343646,76.12961218090675,142.15193570459357,A,E,D,-10.890734308840425,D,C,B,A,42.720070366759956,-61.88579656054528,10.946780618557645,0
Black,213.9422214361613,-24.3705690652762,-47.23427340783829,A,D,B,28.244449445031243,A,A,E,C,-24.49057168246031,-71.44989927845114,-20.81983099069069,0
Hispanic,119.03143160907976,27.305787523380644,11.52555524338784,B,D,B,-201.68192225902106,D,B,D,E,-45.469859357955954,48.242438334039946,16.05091750416895,0
White,-36.47706998461192,-6.073883967827259,44.72187098593439,B,C,B,-69.24627596627884,E,C,E,D,-18.411856270263876,113.9454223395326,134.08537675273365,0
Black,84.77248531415808,-116.73110428571394,207.36711807311718,B,B,D,-48.63941976824579,D,D,D,A,14.1013074138019,75.98718210239056,-55.14197704485694,1
White,-98.41629052820839,-77.97797915134338,71.17410587483106,D,B,A,-21.252294742325955,E,B,C,E,-58.5619436475296,91.50810759197358,41.64043179453498,0
Other,101.89469292765716,-7.866266585106571,46.50910763812318,E,D,A,79.02141237103615,B,E,C,B,-34.567297221197634,-25.63395266732953,-80.00622878201015,0
Asian,81.72083381215172,74.09825473241237,236.87894943601836,D,C,B,-67.72445224815846,C,A,A,B,-42.99526794139917,-69.95855159533882,-10.830385862660059,1
Other,-38.43084287454482,126.40587414558952,-99.90042153011794,A,E,D,-0.5504311388501126,B,C,D,D,207.23231276149554,20.90793426912668,-213.7900759637478,1
Other,140.9137267584331,-33.94783181249586,40.264333418452516,B,E,B,-60.74534501916491,B,C,D,B,42.872812679110325,-169.98374434139546,17.053926914440673,1
White,-265.73378662550925,188.59488451099645,-3.2191129006819246,A,C,D,24.739392912807645,B,A,B,E,97.46529929624779,58.881326675195666,-1.7421151549828089,0
African American,-5.51511030821787,161.39583439671532,117.59531791866848,D,C,A,-188.56194881795753,E,C,D,D,-71.40450264594203,2.6128046552393984,96.7169047658664,0
Black,-50.31996494069433,-36.83475504312702,57.90235888738524,C,E,A,-86.4889916368685,D,D,D,A,69.86794139345977,-10.013982964328237,-16.96596857449032,1
White,53.514755460110166,3.035006426978238,-63.388559774277965,E,A,D,-50.2278284354441,D,A,C,B,-80.78129131121389,-26.02302370631871,107.97281152114215,1
Other,-28.88268766748175,17.47707420468844,-61.3896573556,E,A,E,-109.88949107767428,B,A,D,D,-134.35496621049344,-63.93176823713753,-91.94464837177256,0
Black,-15.419702391186096,42.97463793126812,8.695055010302557,D,E,D,-60.91009260276567,A,E,D,D,-81.40605309927265,52.094716878131685,-23.85914724614267,1
Asian,35.14807221540156,-43.598433166945526,83.68500308833795,B,C,C,-87.22465360483207,C,C,D,B,99.00578338282936,-93.46813250586843,-199.69981805427204,0
African American,21.631787580826742,-198.83253842638598,49.71227028555643,B,B,D,-212.72561576534068,B,B,E,E,80.60968804406757,4.077501173702871,61.51219105998669,0
Black,-14.156907172207559,32.41012952355396,71.89219135764608,A,E,C,-26.349821216800567,A,A,D,D,-56.77954895407148,-125.52907091345875,45.023783850484875,1
African American,-162.042290958111,-78.61495440340023,0.7451934003833786,B,D,C,-124.1626529334631,B,D,E,D,42.79859331580033,73.09725777284662,-1.5739984893848475,1
Other,-51.06204426714904,-28.324791450480944,-113.98791212114993,D,E,E,-34.31254480872761,C,E,A,E,45.97132631114435,-61.377028579842595,112.95088809501648,1
White,45.21744782707026,-154.10605092107605,-127.28036126274962,E,D,E,-46.38313825782351,D,C,B,E,178.9716062090374,52.740382496778324,-146.02521000543308,1
African American,-115.00806098696832,50.39469435663676,-43.428917650352474,A,D,D,-54.75727658451635,B,D,B,C,-70.83477710452834,52.8443986723513,4.999980557155094,0
African American,9.485992659301857,-65.77382875452096,30.227784824458563,C,E,C,-2.4202790606051754,B,A,B,C,-120.22514862514635,54.030484485813204,-67.25511249992508,1
Black,-41.73439295558313,145.52947160773172,6.252477018200636,A,B,B,-30.62609159583587,A,E,D,B,-12.480565865204614,-101.52331841612295,-112.43509148774685,0
