race,Veteran,nation,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Black,No,UK,37,B,-22.037320009568145,-23.455243683267657,-47.67878710302452,C,0
Black,Veteran,China,48,D,-34.881673179925784,-234.5433371329749,-53.74885554763379,C,0
Black,Yes,China,20,B,-93.19597192385788,97.97587458806844,142.8860671229049,E,1
African American,No,Other,63,C,-88.49740594233418,250.7356045948943,276.1708794239594,D,0
Asian,Yes,Brazil,60,C,-73.03482009317277,1.9300418244078674,302.85165387897706,C,1
Other,Yes,China,74,D,-54.80146635975459,73.24500687957915,45.119316244677705,C,0
White,Yes,US,34,E,-136.0851652928422,-85.44721356790386,48.88233281772327,D,1
White,Yes,UK,64,A,190.20652511125635,-43.763453460464504,-113.24890274315247,C,0
Black,No,Other,73,E,-44.16907608993467,35.74025950749537,-74.79644198549529,B,0
White,Yes,India,35,E,-109.03346252590285,118.61015315142392,-122.6324398393992,C,1
Asian,No,Mexico,50,B,-12.964150070269264,-16.28806598428763,-116.36726818025167,C,0
White,Veteran,UK,36,A,-195.31693162659914,-76.53498006732507,-164.37187984523365,B,0
Asian,Yes,US,46,B,-139.6638466148401,-64.24567030776251,-33.35890185194651,A,0
Other,No,Brazil,43,C,147.2217484594078,-47.437884177337956,-78.85334136450611,E,1
Other,Veteran,Mexico,26,A,129.21622269874752,78.68420172102262,54.52200462180766,A,1
Asian,Non-Veteran,Germany,52,D,89.77998329815088,63.40258345939027,151.9610432246477,A,0
White,Non-Veteran,India,59,E,14.498295255626964,189.79426488750155,7.730353815107012,B,0
White,Non-Veteran,Mexico,56,B,116.59147742209672,-87.11128431934398,-171.3758785999786,B,1
Hispanic,Yes,India,63,C,-186.29091759675157,-73.95709721620214,1.874309238245458,C,0
African American,Non-Veteran,Brazil,77,E,12.977048112028738,62.66414366421903,-49.81919597422518,E,1
Asian,Veteran,Germany,33,C,-7.494995531403402,-62.18796137093874,0.024250183855984857,A,0
Asian,No,US,50,B,140.34038807417514,266.79520628709884,-49.92107696279005,E,0
Black,No,Mexico,24,E,-0.7264958288048265,52.41258538939915,-5.784583416831853,D,1
African American,Veteran,Germany,48,E,-0.3594783059764255,-88.12731523505596,-34.07998769143814,C,1
Other,Veteran,Other,75,B,-175.1784104628488,-4.502745732487896,40.700924727488726,A,0
African American,Non-Veteran,Mexico,56,D,-62.18127214317083,19.136664334047136,142.0599961688834,E,1
Asian,Yes,Mexico,35,A,-83.18896186711521,117.81757210395747,103.48375194934476,E,0
White,No,China,51,E,-57.774857654192665,-131.56499693567915,-95.76789328690435,A,0
Hispanic,Yes,Brazil,79,C,-0.8874622329448217,103.90370392676394,75.94198949646974,B,0
Hispanic,No,India,25,A,-264.0806324667034,-211.22568959285505,-17.521091105012886,A,1
Black,Veteran,Other,62,D,-121.12747232244739,4.404002429101846,-7.716419849108204,E,0
Hispanic,Non-Veteran,Mexico,37,C,214.3612268209605,-65.17430773366551,-51.181797893852064,D,0
Asian,No,Brazil,35,A,90.17906359581397,62.90171568662788,-57.0698520258643,C,1
White,No,Germany,59,E,14.68650633748069,-264.798559161248,143.18372679639546,E,1
Other,Yes,China,18,D,23.697322565597766,-105.53416639795718,-144.4157626247851,D,0
Hispanic,Yes,India,20,D,-115.09171624706467,147.0811453752254,-53.66427523571641,C,1
African American,Non-Veteran,Brazil,54,E,-1.3695584947224524,-101.20495896758064,-20.586698061746688,D,1
African American,Non-Veteran,US,44,E,-106.04139868613301,-100.22965660906192,-204.8218346136105,B,1
Asian,Yes,Brazil,61,E,-25.360139062182963,73.44779243197385,28.895321027809107,E,0
White,Veteran,Other,65,D,-53.527208699228744,-132.99910838423193,46.154139174251824,E,1
White,No,Other,27,E,119.14219227552178,-89.05591350430726,12.975154499272074,B,0
African American,No,China,25,A,211.70322123069818,-34.787244222347695,74.02598095943725,A,1
African American,Veteran,India,24,D,-163.77354403547676,47.66582242719349,-93.58246618427175,A,1
Black,Yes,Brazil,32,D,91.76327368885227,-25.308238558775642,60.0024045986513,A,0
Other,No,UK,35,E,-7.932471878823627,23.664417959319334,55.749118194660255,E,0
Black,Veteran,Brazil,67,A,-5.345770710843655,-281.4027326076843,18.848616482182383,D,0
African American,Veteran,Brazil,52,A,134.6237355912808,-136.86597877586496,82.07066182161225,B,0
African American,No,Other,62,E,47.9291082775102,4.620802305982956,-42.69527188210315,B,1
Hispanic,No,China,20,B,-63.164025333215754,46.62001209378857,-51.156258517977236,B,1
White,Non-Veteran,US,66,D,-13.095908955391412,32.351280342385394,79.06928314256609,E,1
Asian,No,UK,66,B,-62.765870801296266,-117.37502398672291,-13.56545444220667,C,0
Hispanic,No,India,53,E,-54.81280153855836,-80.03271387520019,124.92906773969901,B,1
African American,Veteran,UK,60,A,-68.14585479658787,-106.25572869076001,20.41440221121099,D,1
African American,Yes,US,29,D,-55.75171874796757,143.7211093195179,235.435853855981,D,1
White,Yes,Mexico,18,E,159.79693981270796,118.40395799814827,-131.62182464730978,E,1
Asian,Non-Veteran,China,69,D,119.06263745053742,78.42153944762681,-116.22274672715625,D,0
White,No,Brazil,72,C,-60.99185137482546,119.96188739914926,117.15555719037283,A,0
Black,Yes,US,62,B,-61.40691989788488,-17.613197858715626,56.046335567548574,B,1
African American,Veteran,Mexico,50,A,50.555027044630165,212.414892270396,-160.90964771046671,E,0
Hispanic,Yes,Brazil,23,A,-51.42999572545144,-25.646864262491665,-68.89159257674925,E,1
Hispanic,No,Brazil,58,E,-17.41432953787826,58.11538382420197,15.158348297343307,E,1
African American,Veteran,UK,20,C,24.660068314703313,73.54214376584096,-32.46495177894776,C,0
Other,No,Brazil,24,E,-29.095979957715546,-97.07210463232228,-126.23765837462362,C,0
African American,Veteran,China,76,A,-5.20557172811415,-41.559105072677625,-34.08394966104987,A,0
Black,Veteran,India,74,D,48.94410950443535,-45.825933478464925,162.4345294404299,E,1
Hispanic,Veteran,US,79,B,-233.41221448927323,-43.206634182801814,77.47282383463732,C,0
Hispanic,Yes,Other,65,D,8.565167809892419,-74.75070527316795,72.61066797171554,D,0
White,Yes,Other,68,A,-3.781954046367823,3.116199696517709,123.37936336678948,A,1
Black,Non-Veteran,US,29,B,41.4424757313843,91.64583146410324,24.764629509108627,A,0
Other,No,Brazil,40,E,-60.42453105450745,-10.124950261514453,-137.70150100104436,D,0
African American,Veteran,Other,50,D,-188.51572722075653,76.44562580168511,63.49587554276408,A,0
African American,No,Germany,33,E,-130.92221363056095,64.1651075976411,57.91085469225621,C,1
Black,Non-Veteran,China,22,D,142.31761901013772,79.72971533213313,182.66976501596014,D,0
White,No,Brazil,69,D,-47.68667457745794,-261.03741186256946,-64.88656164680876,C,0
African American,Yes,Mexico,18,B,-107.18031814554081,-36.6458431626525,37.47085470637324,D,1
Black,Yes,China,70,E,17.898925036678815,74.63429981414298,156.3273774959465,E,1
Hispanic,Veteran,Mexico,74,A,-100.15039369894644,-113.1482188479189,75.52943669237374,D,1
Black,Non-Veteran,US,60,E,-157.81772834987333,45.79522059325646,240.32700036270666,D,0
Other,Yes,India,66,C,27.788039473269176,-157.38386149110661,-245.2236739453848,A,0
Black,Veteran,Mexico,49,B,-28.878284717624336,71.82913331333434,7.700918030703901,A,0
Asian,No,China,68,E,-52.74809485590759,81.02745602857978,59.608608534091644,C,0
Other,No,US,67,D,-87.32619211590699,-71.26711666390445,-104.04670124015138,D,0
White,Yes,US,64,A,-42.57708227851947,-107.41619838370752,170.03871079249302,D,0
Hispanic,Yes,UK,56,E,-35.483529633252765,-12.618434242068318,-38.07616522510595,D,0
Black,Non-Veteran,Brazil,27,B,-130.53094797602634,24.772241762612474,-170.259077493838,E,1
Asian,No,Germany,75,B,112.14927997326159,45.71799723623655,205.42922715922504,A,1
Asian,Veteran,Other,74,C,40.058312577538786,-19.034510149693574,79.72621738668305,A,0
White,No,Germany,63,A,12.896874912201262,216.78763020865412,72.79801387975873,A,0
Black,No,Mexico,59,A,16.175568660088153,27.258942976317485,37.85088863224461,D,0
Other,Veteran,Brazil,40,E,-222.93784085715066,33.5570611322584,250.66486568771785,B,0
Other,No,Mexico,48,C,-155.8608521517391,46.0809405028602,-169.86123797076044,C,0
African American,Veteran,Other,30,A,-27.868674671846044,-54.732630088310806,-79.87741952242557,E,0
Black,No,Germany,20,B,75.02649297421459,19.838148703654593,-112.24630336391976,D,1
African American,Veteran,Mexico,48,C,16.71888199644306,-31.815784348389347,82.88128469067291,C,0
Asian,Non-Veteran,China,35,C,88.86500612235405,109.00706063707003,179.29054233979795,B,1
Hispanic,No,Germany,26,D,-92.13472856564488,197.61818290348253,103.5700773854903,D,1
Black,Non-Veteran,India,22,C,102.71578950583569,-22.99909531216851,111.29189135561299,E,1
Other,Veteran,Germany,65,D,73.83515762193247,-56.77441546384367,-24.18520314444465,A,0
Other,Veteran,India,58,B,100.82808282757796,-35.88412680150374,200.21023979743086,E,0
Hispanic,No,China,29,B,-62.140634308088735,-79.13997195145637,83.84919198403854,E,1
Black,No,India,19,D,-2.2044052538242944,42.7676292125984,-3.552697705441093,A,0
African American,No,Germany,50,A,-11.719996982754699,37.55136984302675,186.7020050670905,C,0
Black,Non-Veteran,Other,29,E,42.6923803360304,9.178131161495372,26.28246582410639,B,0
Black,Non-Veteran,Other,68,E,-140.20817130157226,66.04886112384123,-15.308630249480323,D,1
White,Veteran,Germany,21,B,-35.166468343755355,92.05938979941399,-172.21723288472256,D,0
Hispanic,Veteran,UK,61,A,-3.5108046671097224,176.33276456710072,64.7685227012879,B,1
Black,Non-Veteran,Germany,51,A,-66.5834521498104,-17.86291700038887,90.09397837972554,C,1
Hispanic,Veteran,India,39,B,-81.95684770002639,-182.71320306554554,192.36364259428703,E,0
Other,No,China,18,C,92.74338721552067,191.07863004674115,10.175057688405357,C,0
Black,Non-Veteran,Germany,19,A,-69.06800356476602,57.6649152620802,54.66424438847173,B,0
Other,Veteran,India,33,B,12.371101314977336,-19.203431979714196,-39.19712135060209,D,0
White,Yes,Other,44,C,58.346118638807745,-73.53899373633891,-8.878289703259192,A,1
White,Non-Veteran,UK,19,D,103.5799029584736,69.13648908298397,13.331537079438139,E,1
Other,No,Brazil,77,B,177.49067533036583,40.200397974349926,51.02966527436201,E,0
Other,Veteran,Mexico,52,C,-128.58709119540936,57.89592952470415,-201.70333386394802,D,1
Asian,No,UK,36,D,-181.67365281741283,140.58497056042017,-66.58387324858592,B,0
African American,No,India,63,B,-42.11501445066339,-120.32895666674722,107.60814282917475,A,0
Asian,No,China,44,E,47.63873554190729,-181.22890848247332,115.86313239985276,E,1
Other,Yes,Germany,29,D,-1.851080442333098,-145.50935369397757,-85.64448779961579,B,1
Black,Yes,Other,62,A,-113.47708777231666,-18.00811256760023,177.65071302481311,E,0
Black,No,China,51,C,-20.526868618226455,-112.69312120771275,44.23585647634287,C,1
Other,Non-Veteran,China,56,D,-88.63833680142956,-30.57485867902153,37.5491041183974,C,0
White,Yes,Brazil,54,E,82.5153076566551,-113.44504050702572,-107.26277743929317,D,1
Other,Veteran,Mexico,76,D,-63.65797066933329,-102.34313865951876,-80.65795401325322,A,0
African American,Non-Veteran,US,52,D,-48.191596202027945,36.28535381914927,46.588770176604754,A,1
Black,Yes,UK,72,C,59.62023023648655,111.04130431755976,-49.88246750033817,C,1
Asian,No,Germany,27,E,-60.489440339975346,-15.717406333785117,-120.32074475084644,A,0
Black,Veteran,UK,74,C,101.78289719724141,51.38167567901384,-9.833710439224275,D,0
White,Veteran,India,37,C,-189.90004528511608,125.33927367910024,105.73074403608038,A,1
Hispanic,Veteran,Brazil,51,D,49.874539021889085,-8.136088781977085,-21.169339781071955,B,0
African American,Yes,Other,32,C,-68.49829720610717,-145.54609917467926,11.696011737516908,D,0
African American,No,Mexico,39,C,26.44073432651193,74.62931707579081,40.636717484319135,D,0
African American,Yes,Mexico,22,E,-64.89553532757077,-94.22039394560367,-247.48415247380612,B,1
Black,Non-Veteran,India,39,B,95.4113983846916,86.5797952197557,-132.6599899374874,B,1
White,Veteran,Germany,78,B,24.128752110140354,34.69925637551285,4.978760276226294,C,0
Black,Veteran,China,48,E,-92.81991934067207,-77.86520514259693,-5.280290064650986,B,0
Hispanic,Non-Veteran,US,22,B,56.13561059048501,-68.07761818040666,99.74155634123375,B,0
Asian,Non-Veteran,UK,48,A,31.649216406928034,47.4008623838783,95.39355278454872,A,1
African American,Non-Veteran,China,32,D,-241.68048270821836,142.43040224816312,27.70855454782129,D,0
White,Non-Veteran,India,22,B,211.0278317527547,-97.79909653820027,-48.37958636457245,D,1
Other,No,India,40,E,-107.85219148292259,-85.79906462251746,107.9732460352807,B,0
Asian,Yes,China,55,A,90.0866034279374,-76.08309814329967,35.769914156283406,D,1
White,No,UK,32,C,17.97828380509571,113.26679462924992,-138.75711194396905,B,0
Hispanic,Veteran,Germany,46,E,58.54918178389428,-30.7661486457249,139.79395025499667,B,1
Hispanic,Yes,Other,75,B,2.4273831042566445,104.64290937281673,-72.32544142970377,D,0
White,No,China,71,E,58.375004211781224,133.84911365578952,-68.55325050999129,A,0
African American,Non-Veteran,Other,51,A,-4.6854328908802465,-50.961126235281476,45.086724104521195,D,0
Other,Veteran,US,51,E,-62.374909693927435,47.366967865293724,31.513590685964065,A,0
Hispanic,Yes,India,75,B,175.49035258126946,3.297122827510155,-68.57829657300083,D,1
Black,No,Mexico,48,C,41.80928069024365,74.26243326601688,-142.1328580755308,B,0
Hispanic,Veteran,Other,22,E,21.892255974001397,-28.97277628453302,-13.494989019580894,C,1
Other,No,China,47,C,-51.8827108562401,-150.3610702907546,113.54708903748194,E,1
Asian,No,Germany,46,E,96.02810148497966,-16.775995380835916,137.3736384262524,A,0
African American,Veteran,Other,28,E,-80.93270120548586,-67.77734787094712,-38.58248073938703,C,1
Other,Non-Veteran,Brazil,20,C,-34.656130179949045,90.17430766308698,-4.62728820602447,E,0
Other,Non-Veteran,US,45,C,-89.83049661438079,34.539372298899245,160.28893108425515,E,0
Asian,No,Brazil,35,A,-29.62559887875347,-130.83204542462028,-31.77752294564739,B,1
Asian,No,UK,51,A,-13.489987090720124,-82.54418185672525,-22.43208643851929,D,1
Asian,Yes,Mexico,34,C,24.721556900219735,1.577386070783516,-68.15346840978209,D,0
Asian,Yes,Germany,35,C,-21.836018748894443,-92.39200877355962,-8.200077408604924,A,0
Other,Yes,UK,26,C,-7.879519135727238,29.822648930731827,5.348559606478749,D,1
African American,Yes,China,77,A,10.790057050808834,46.23275183876526,60.88821318111803,C,0
White,Yes,US,25,C,-194.55499824052717,45.3824870732292,-112.02115270037861,D,0
Other,Non-Veteran,Other,55,D,224.9003821706127,89.17983000095496,-102.43101432181898,C,1
African American,Non-Veteran,China,60,B,-66.39383409741984,-15.28989635004972,28.96145086140358,A,1
Black,Yes,US,79,C,-111.49104007618938,45.11533473815477,-63.64660973257409,A,0
Black,Non-Veteran,UK,55,E,95.02444812429411,1.1886773505683992,41.08010997743466,C,0
Asian,Yes,US,37,A,17.613341741815823,23.09106297391517,37.78559180609617,B,1
Hispanic,Non-Veteran,US,45,E,24.488621444041073,120.90762958748277,-96.645350996099,D,0
Black,Veteran,Brazil,64,C,8.102633897074647,-164.45932057090567,15.651010657018846,E,0
Other,Veteran,India,64,D,-29.56549611315385,-130.51562641310665,-35.32284476196551,D,1
Black,Non-Veteran,US,74,C,55.51300647173986,-84.1630409730068,-192.2075987681357,C,0
Black,Veteran,China,28,A,-34.30969533532489,54.014333111642934,-75.0714569360222,B,0
Hispanic,Yes,US,22,E,26.162982363642833,-7.918160877548587,19.43070691135819,A,1
African American,Veteran,China,25,B,-98.84851717855794,-3.0565258479818773,-235.68765181694596,B,1
White,No,Other,48,B,123.02400305744379,23.10870644988491,120.62448105785614,D,0
Hispanic,Veteran,China,62,A,18.76146470649192,46.25029969038964,-141.47158428276376,C,0
Other,Non-Veteran,Mexico,24,D,-116.00598595778071,23.876151596243332,-22.398457359782554,A,0
Other,Non-Veteran,UK,23,D,53.40081877788445,178.85894407756194,44.13148035448285,E,0
Other,No,Brazil,71,E,-108.42719117563698,-50.24750714417704,140.79819473694644,C,0
White,No,India,35,A,-191.34305536317416,162.44699595906405,-43.92555641039001,B,0
Asian,Non-Veteran,US,69,C,29.240146570528943,118.98275648485235,3.877149516762147,D,1
Asian,No,India,52,C,14.267730144990512,56.88475565851922,77.47994501401647,D,0
African American,Veteran,Brazil,26,B,-107.83248178777565,70.63691847207355,145.9141916235855,C,0
Other,No,US,72,D,-197.81977668477418,-7.515082669811885,-134.81760284664267,B,0
White,Veteran,Mexico,34,E,16.53071664843215,-60.15768056237975,-108.2827550643621,E,0
Asian,Veteran,Germany,43,D,185.65119295717446,17.643863156969374,-42.6083308804818,A,0
Asian,Veteran,Germany,78,C,-56.562332159155694,-190.97522555333296,-220.86950358975227,E,1
Other,Yes,Other,19,B,-106.92014240138815,-40.982917208236906,5.668210386362333,D,1
Asian,No,UK,72,B,-77.60217575429796,4.710507688582309,-91.06907336268422,E,1
Black,Yes,Brazil,67,C,-77.55282378423479,50.324481621222894,7.161050787002704,D,0
Asian,Veteran,India,77,D,34.285854082785924,-6.2376859454620535,120.44154773615607,D,1
Other,Yes,US,35,A,170.89991614304475,-127.46745492885722,-75.51082205000202,A,0
Black,Veteran,US,74,B,45.69247363411213,114.6456509397944,-99.69400151349889,B,0
Asian,Yes,Brazil,27,B,54.219915183491565,76.22082981941874,102.07700902380843,E,0
White,No,Brazil,29,A,100.73723968516704,60.46096584288483,126.80507236464726,E,1
African American,Yes,Brazil,42,B,8.238828701521223,-134.81936369621363,-90.83280060928904,A,1
Black,Veteran,Other,66,A,-10.810114779275743,7.649786348793565,86.56633283559447,E,0
Hispanic,Non-Veteran,Mexico,67,B,-14.955794810593101,219.93290826549958,42.12275222537615,E,1
African American,No,China,19,D,-175.9211943000677,-102.6844867626718,-120.42464834218424,D,1
African American,No,Brazil,62,A,37.07699764994998,133.7078527390556,108.77349712030284,A,0
Hispanic,Yes,China,77,A,-115.48383396229403,-75.4553537664419,-18.235715442525375,C,0
Other,Veteran,US,75,E,74.80941181545482,-50.608311192016906,60.88723768538701,A,1
White,Non-Veteran,China,46,E,264.26717065821305,136.75722291392282,-4.552233995150117,C,0
Hispanic,Yes,US,57,B,-106.1848574700846,36.39831005043239,33.08521887663108,D,1
Black,Yes,India,33,E,-152.2550922208381,-91.61290766837075,38.17217617351969,B,1
White,Veteran,China,28,E,-34.503016851107176,-21.381062402187045,-83.81216627411993,A,0
Other,Veteran,UK,46,D,-3.7572711910337917,-30.221559223541732,-128.33374585573537,C,0
White,Yes,China,77,A,243.15010164942413,-5.8939687877130735,-20.087342645936516,D,0
Hispanic,Non-Veteran,Brazil,48,D,-12.553776314628905,-19.021002248840908,-191.03221825537275,B,0
Asian,Yes,Germany,79,B,-62.576527345601875,-91.30804313742877,214.26951298608225,C,0
Other,Non-Veteran,US,40,D,-33.58523897181417,82.39268042664126,-48.99552911631362,D,1
White,Yes,Other,37,D,123.01499199568677,47.16329631649512,-53.23307610471112,D,0
Asian,Veteran,Brazil,58,A,-6.446751424840497,-72.46580840688517,-5.15934193003897,A,0
White,No,Germany,28,D,-127.77402463354228,31.33073269051542,148.5351053154354,D,1
African American,Yes,Mexico,74,C,-82.344022419161,-27.59800969834254,-23.22450451780753,E,0
White,Veteran,Germany,27,A,-31.537227444107767,-148.39341846546085,8.246999169411213,E,1
Other,Yes,Mexico,36,B,-31.92715944728922,76.24551147609706,29.5589240864578,C,1
White,Non-Veteran,China,48,A,-70.45596614926451,161.6019428743097,-17.758592919877728,B,0
Hispanic,Non-Veteran,Brazil,19,B,-130.05960035214514,-46.969674765054826,19.870485507576653,C,1
Other,Veteran,US,25,C,56.57733716677647,30.874505284661257,-117.95404898559624,A,0
Black,Veteran,Germany,73,C,-130.46021776437635,-24.299198653418834,79.79134756280494,C,0
Black,No,UK,20,B,-32.15629315727561,40.70608026865038,30.761306006880012,D,0
Asian,Veteran,Germany,76,E,57.20667169408424,100.01148587213177,68.20882797505638,B,1
Hispanic,Non-Veteran,Mexico,43,A,53.73615635942508,192.931244126514,-23.21272451668116,E,1
Asian,Non-Veteran,China,58,D,-199.72189223467396,21.054101215645684,49.36143524570454,E,1
Asian,Veteran,UK,50,C,107.17253821628454,16.147946381998693,-64.82886435429899,D,1
African American,No,UK,42,A,129.6148157023441,-32.680117101750575,-172.075362752905,A,0
Hispanic,Veteran,US,20,E,-47.387903742334885,-106.24618339781138,20.310254386344344,E,0
White,Non-Veteran,US,68,D,88.73700661614652,64.8969183426941,2.436260097533197,E,1
White,Veteran,US,52,B,42.63761668659175,211.6797746769798,-19.790064685662212,C,0
African American,No,China,45,D,-32.28817872805187,88.95847769664933,18.927401391057924,C,0
Asian,No,China,66,C,4.618037834904051,52.00140041060075,-2.465334656392437,A,0
Asian,Veteran,China,68,B,3.8756349391748794,22.423694557425613,24.567262760714016,E,1
Other,Yes,Mexico,35,D,-44.38163747532622,-91.54306655994351,81.6751178285223,D,0
Asian,No,Other,60,B,-107.26028573613813,60.3318329966667,56.30759947633774,B,1
Hispanic,Non-Veteran,China,56,E,88.18921358376465,-49.60833848472338,-155.23128213885013,D,0
Black,Veteran,Other,59,D,17.82853356806442,-48.20046348486044,84.4273923128627,D,1
Black,Yes,Brazil,41,A,-90.12660336421105,12.811406082992413,-19.758692231751965,B,0
White,Veteran,Germany,21,E,160.33306772147318,-13.703232620718147,12.890252955518495,D,1
African American,Non-Veteran,Brazil,76,C,-118.7419595637689,-129.10137777044392,-91.90626273217427,A,1
African American,Non-Veteran,US,26,C,87.08424330647011,-160.86298123812216,120.08542290080698,D,0
African American,Non-Veteran,UK,49,D,166.2151679338229,22.672126024603855,40.73846663739833,A,1
Asian,Veteran,Other,49,D,-51.83955678743899,-4.717179232977914,-0.7317216518879631,B,0
Black,Non-Veteran,Other,22,A,38.97250266960622,-31.567210698403734,-35.34385513732431,D,0
African American,Non-Veteran,Brazil,28,A,-19.17970450803112,75.66057063637945,-132.01021674965472,D,1
African American,Veteran,Other,69,B,40.87528438789161,-27.361564728978493,-78.07063800999245,B,0
Black,Veteran,Other,46,B,75.38902585771378,181.4340610280221,0.3160812278504993,B,0
Asian,Yes,China,51,C,110.99705064207619,-106.59440156751441,9.611148861279458,A,0
Asian,Yes,US,59,A,112.05804300415778,21.036570700592954,23.407994852280563,A,1
Hispanic,Veteran,UK,35,B,-200.64100103665373,65.91029825256474,-140.2094994167697,B,1
African American,No,China,52,A,63.86050696116654,211.28186666833108,-156.764411857715,B,0
Other,No,Brazil,41,E,-173.101059758626,80.34166161549494,227.91772177881836,A,1
Other,No,India,25,C,70.83717338167442,148.37436522130514,-111.7967104822482,E,1
Asian,No,Germany,71,C,140.78102598832334,15.92724311150748,17.111605962876673,A,0
Black,No,Mexico,37,A,100.65710645673802,61.42651666089575,-53.94790096826158,A,1
African American,No,China,42,C,35.960846359766705,23.726895794228145,116.66700801549376,A,1
White,No,UK,78,C,85.93448076958072,-49.327061179110224,45.17466059485369,D,1
Black,Yes,UK,42,C,-73.85916930482676,-18.11917761760059,102.51251614971095,C,0
Other,Yes,Other,68,E,215.9501607656145,9.947699109489328,-114.85890022868612,C,0
