Religion,Race,genero,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Muslim,Asian,Non-binary,Homosexual,15.905371571326993,-107.19252519387148,90.25140985564322,C,D,138.47042547035338,0
Christian,African American,F,Bisexual,169.6063814852762,-1.8013030535295436,-199.3732350989498,D,D,76.94067214255558,0
Christian,Asian,Non-binary,Homosexual,239.0825972127359,-132.191107037265,143.3532719487365,C,E,162.67498197187314,1
Buddhist,White,Female,Heterosexual,169.32301803350364,-88.51912638497485,87.36689716398016,B,A,-12.712156633982824,0
Muslim,African American,M,Heterosexual,29.229224388316418,66.33339015052987,170.14593803195856,D,D,78.14655787667215,1
Christian,African American,M,Bisexual,84.25824605843607,107.79934100530126,-79.04794065829552,A,E,2.240248651272746,0
Buddhist,Black,M,Heterosexual,-36.02110449306174,-223.61109460717276,78.6646384903597,C,C,56.14358842466903,0
Muslim,Hispanic,Female,Heterosexual,67.07623672309292,-148.9109047944221,43.089931853581675,E,A,9.633870662747709,1
Buddhist,White,Female,Bisexual,-13.099616831121482,8.87683911650215,-251.31024524981848,C,D,-153.47012146245223,1
Christian,Hispanic,Male,Heterosexual,19.55312967637665,60.601686754123016,-16.645861944483453,B,C,-253.4044682836483,1
None,Asian,Male,Other,88.00299026571906,-42.05753281815246,140.22839721959232,E,B,-31.37893857676567,1
None,Hispanic,Other,Bisexual,-226.1618090424632,18.63742666890984,-87.00024547639717,D,E,-162.3019764745569,1
Hindu,African American,M,Bisexual,206.85032361731692,-16.202661970940976,58.421609595898396,B,B,1.0729749266342739,1
Buddhist,White,F,Bisexual,13.640698571319486,20.121390400243367,-73.74274383168064,C,B,-211.1758940139437,1
None,African American,Female,Heterosexual,-35.675970876910824,60.16054797205324,-159.47377842683915,B,E,113.19854683406191,1
Hindu,Black,M,Homosexual,70.82495186151691,200.36400869068953,35.96358509550792,E,D,-78.68379358948287,0
Muslim,White,M,Bisexual,-227.74839845585709,-70.138981995741,-87.48786049449495,C,B,94.52064179053465,1
Christian,Black,M,Other,4.126022564650006,100.15526407227033,-132.6488266399254,B,C,-88.86086939758046,1
Hindu,Black,Male,Bisexual,-69.6438258325563,-85.67870666416508,7.3255887402086675,E,C,-85.08795333197287,0
Other,Hispanic,Male,Bisexual,19.56821993315222,86.08672008965783,-272.02932423912614,E,A,-153.04407735114594,1
Muslim,White,Non-binary,Homosexual,-31.212453019424647,28.325283374757802,14.3340044257994,C,C,89.66373753757524,0
Hindu,Other,F,Bisexual,-50.41703013762323,-75.66213022929492,-79.77049006727516,C,B,5.809358949964794,1
Hindu,Hispanic,F,Bisexual,-96.6999107216798,24.829333901092046,139.5272992567512,C,A,-71.80278548007065,1
Muslim,Other,Other,Bisexual,107.94650518788065,-69.38404512804274,54.621511543643386,E,D,-124.64060375588828,0
Christian,Other,Female,Bisexual,-87.73550293380991,104.72719891291797,-17.22599889883526,E,C,-36.67087919643105,1
Muslim,Other,Non-binary,Other,-52.581076852094775,-3.0483688946269676,-27.50355000257217,E,B,264.6502460472774,0
Hindu,Black,F,Bisexual,31.287677234840356,31.587769698724234,40.92893771096308,E,B,168.08308277530992,1
Jewish,Asian,M,Homosexual,-45.02982399801299,-8.9221290493955,126.54238155699606,D,D,-48.478960631535124,1
Other,Black,F,Homosexual,-107.29004629444047,54.22090308499874,-225.84847728595446,B,D,35.68501552985566,1
Muslim,African American,Female,Heterosexual,-42.10997608988081,-79.16675131015633,202.8254159216213,D,A,-160.19479269347784,0
Muslim,Black,Male,Homosexual,-44.253358266195235,-20.141897630851062,-111.91780278019606,B,B,-27.52807650292092,1
None,Black,F,Heterosexual,79.93505693801276,-92.61870911555383,-128.70721978334646,E,A,86.8191786344086,1
Christian,White,Other,Bisexual,22.39098103503235,-56.14883689221944,8.849456705622263,B,E,44.34334406297013,1
Other,African American,Other,Heterosexual,112.54897900365965,-22.12540218129291,-21.274518629883623,B,C,25.221909001417075,0
None,Other,M,Heterosexual,98.62390149651532,48.525567913231754,162.94662558504115,A,B,139.3088897418131,0
Buddhist,White,Non-binary,Bisexual,121.74745990020949,138.43501463689245,102.62036575988706,D,E,80.8585149425346,0
Jewish,White,Other,Other,-74.20061333642133,129.9996655782315,-66.64332308732818,D,D,61.48303783271455,1
Jewish,Asian,Non-binary,Other,9.348338736292625,-139.2667347696311,-1.537594080527875,C,C,149.02453920467278,0
Other,African American,Non-binary,Bisexual,60.29429099095901,-80.15316908792902,91.93255335770422,E,D,60.81392952334792,1
Muslim,White,F,Other,192.51074085273848,84.9326602988154,117.60644653421562,C,B,43.32836282972927,1
Christian,Hispanic,Non-binary,Heterosexual,110.57189716875715,-97.97353725787504,39.73729190895874,A,C,100.2841395059588,0
Hindu,Asian,Other,Other,64.28723821745929,90.90898850127918,278.6996388889598,C,A,185.04018644741683,0
Hindu,White,Female,Heterosexual,178.4633329188707,53.68430140381633,-10.174945518819218,B,E,-52.11046869513226,1
Muslim,White,Female,Homosexual,-37.53388217330863,35.555413894799614,66.80736429308493,E,A,-119.23610855570254,0
None,Hispanic,Female,Other,53.584325199858505,-96.03725875824122,163.75644942946616,D,A,25.264211088429867,1
None,White,Female,Bisexual,112.08328437310533,129.59956375145208,-186.41148969286846,C,E,-82.75457985254846,1
Muslim,Asian,Female,Homosexual,21.12071346759127,173.91507098903705,-72.66912672253125,E,A,-112.34343898058103,0
Other,White,Male,Bisexual,42.50991337779147,34.351032631157416,-90.04632191447202,C,A,-109.11249882577717,0
Jewish,Asian,Other,Other,-84.22451559411263,114.57587475254496,179.83048963352232,A,C,7.184258051441325,0
Hindu,Black,Female,Other,-37.17702331378238,-8.034367668780094,60.451410574661566,A,C,23.96473919349229,1
Muslim,Asian,Male,Heterosexual,20.03120826646283,20.1868771476634,-89.32908826852723,D,D,-62.17437186863691,1
Christian,African American,Male,Homosexual,96.15445612712354,-40.6586980557889,88.39823583657957,E,D,-148.5372257092057,1
Christian,Hispanic,M,Other,-53.30935746152742,-37.76424505129829,32.38468837103557,E,B,-3.879817312414982,1
Jewish,Asian,Other,Other,86.31052780010171,-38.17357936489088,-27.829731129122372,B,D,115.65404415727214,0
Buddhist,Asian,Female,Other,-102.65239353164661,-47.08178761367437,-155.11860373398187,D,E,-88.72112771037837,1
Christian,White,Male,Homosexual,100.73556954652013,31.56677246390157,-27.647741501421613,A,D,-181.46741275306502,1
Other,Asian,Other,Bisexual,98.78097785449708,-26.92988431257556,147.01497620273142,A,A,-146.28237432677525,1
Buddhist,Hispanic,Other,Heterosexual,-86.52017752417774,163.75732472115132,128.20597871515386,B,A,-210.95962992439485,0
Jewish,White,F,Other,-82.31170337462086,-25.602931711086306,69.04808923222605,D,A,63.72039689486774,0
Jewish,Other,Other,Other,-128.1758244046439,-6.763473759029774,97.43323927733944,D,A,-92.31664283033527,0
None,African American,M,Other,120.913629955513,19.428415222067784,-53.27309037681485,B,E,11.248349691430812,1
Christian,Hispanic,Non-binary,Homosexual,-137.37345351271128,-15.989641431181658,61.95887085224421,D,D,241.40780702325384,0
None,Hispanic,F,Bisexual,17.489411241480955,-86.32748500445506,61.454247005656505,D,C,-4.753700175197377,0
Buddhist,African American,Female,Heterosexual,-65.35997581461073,-263.9357738506944,6.3058677853784495,A,B,-161.9993195608586,0
Buddhist,African American,Female,Homosexual,-66.23532799829431,-19.81590780792219,0.7322209366575284,A,C,43.22177373124141,1
Buddhist,Black,M,Homosexual,132.81918940689982,-68.30243812763422,34.59502686497191,A,D,187.79740187346795,1
Jewish,African American,Other,Heterosexual,-42.48623134051574,89.27317616639493,-50.56412359558659,C,A,-3.046209626170088,1
Other,White,Female,Other,-113.76320278223075,-5.495955730332066,171.58648848984564,B,E,18.21262266362136,0
Muslim,Asian,M,Heterosexual,76.49774936845783,-40.86532975178222,149.00642422516782,A,E,56.183510274026126,0
Muslim,Black,F,Homosexual,51.67509062718637,-179.2526613868693,50.370767064026865,B,A,172.39761693415764,1
Buddhist,Black,M,Homosexual,201.58008854104094,99.78096110926707,45.99912337073055,A,D,69.2970560019148,1
Buddhist,African American,Non-binary,Other,-151.98236609031648,52.197894682686716,-205.22279201031313,D,B,-79.48721012376619,1
Other,Hispanic,Non-binary,Heterosexual,-111.1021317911703,-97.31156663250951,6.656745400438097,A,E,-88.9236240830927,0
Muslim,Hispanic,F,Homosexual,-19.94587505068958,6.9554737044537465,32.77477693651992,C,D,56.48835630057354,0
None,Black,Male,Heterosexual,-54.642267992052474,-24.439931080231773,32.96652966822458,D,C,-82.04790150137362,1
Jewish,Black,M,Other,45.360381985311435,-124.74491325029275,-139.1734233632002,E,E,-56.60389848990569,0
Christian,Hispanic,Female,Heterosexual,-5.086980223199651,59.994438074252635,211.29918716813654,E,A,-141.79379468561294,1
Christian,White,Male,Bisexual,-80.28940552656837,-119.56951735172619,37.54515898105397,E,D,79.33680911010099,1
Muslim,Asian,Male,Bisexual,290.63373521242085,-20.110515163474588,42.66309478710317,D,E,-73.22955810319532,1
Christian,Other,Non-binary,Bisexual,91.39460619681498,-46.61134085915576,47.68505443965033,C,B,32.90150566576382,1
None,Hispanic,F,Heterosexual,59.60166597867056,-39.132441289380644,-12.457514992049369,D,B,-33.78925678258485,1
Hindu,Hispanic,F,Homosexual,53.15948479250977,42.90141013558513,-190.96676984690328,A,B,51.390477677438554,1
Muslim,African American,M,Heterosexual,-1.5136093610696189,207.61295643856116,48.2495803191073,B,C,126.6086488262217,1
None,Hispanic,F,Homosexual,-181.90002872916173,107.30814016860289,-189.08269210179654,A,D,18.003752449401777,0
Other,Black,F,Other,129.54417746275308,110.005712590301,-105.8773521445169,B,A,72.32583845852812,0
Other,African American,M,Heterosexual,44.242510789006346,41.10060402891352,-38.359106983147406,B,A,-62.436427774172095,0
Muslim,African American,F,Other,101.92807538743797,-75.84631364789237,-23.63821577104911,B,B,-185.6477837680048,1
None,African American,F,Heterosexual,-121.60873569577761,110.41707100476926,-106.2369702645631,D,E,148.08295088228934,0
Buddhist,Other,Male,Other,203.06873511188556,-106.5447057966345,84.4946868311091,E,A,-53.494380601646995,0
Christian,Hispanic,M,Homosexual,-56.84079493291713,-67.73220476115041,104.92010113745738,C,B,-39.61503057196743,0
Hindu,Hispanic,Non-binary,Homosexual,216.47842271636458,-30.019895556252795,108.56261308761788,C,D,12.173701596346868,0
Jewish,Hispanic,Non-binary,Homosexual,77.64403348119076,-88.88723000543777,-29.434848316834206,D,B,-106.66259600771136,1
None,Hispanic,Other,Bisexual,77.16082975299696,-80.07626075811825,-14.16339521565248,B,E,-74.92429479821688,0
Jewish,Asian,Non-binary,Heterosexual,44.77899546909328,-25.41861218677531,46.81447477180177,D,A,78.80841987507672,0
Other,Other,Other,Heterosexual,-64.92930522498926,-14.226515510149559,-21.473109762097717,D,B,-216.7825315989036,0
Other,Black,Male,Other,-199.2099083668717,-221.93914291661528,90.47999713875339,C,E,-73.12442123421764,1
Muslim,Black,M,Homosexual,66.63004771386068,80.58092058998201,15.124226617099831,D,B,-74.27378509859939,1
None,Asian,Other,Heterosexual,-9.791787300565046,-53.38118477821322,-179.1161525494605,A,D,131.65722370160117,0
None,Hispanic,Other,Bisexual,51.88515438035648,-7.7637806597046,92.44787159143173,D,E,-129.37248428691117,1
Other,African American,M,Other,11.782822230528256,31.271445080448647,-41.899497310580344,A,A,-32.85188563751725,1
Muslim,Hispanic,F,Other,-183.08054591201787,-48.08966114844653,19.334864755171736,D,E,-189.82387411440266,1
Buddhist,Other,Other,Homosexual,127.29398814519703,146.25245432997508,112.55761463427709,A,A,-58.11591877808506,0
Hindu,Hispanic,Non-binary,Homosexual,-107.88788667641246,112.13257234297156,49.97447355083195,B,C,-143.12766764866507,1
Muslim,Asian,Female,Bisexual,62.68873821325178,-10.946528034250145,-97.90028069236237,A,A,6.001042202318781,1
Hindu,Black,Non-binary,Homosexual,-64.7136558002871,49.54039055406126,-2.2873670697907302,E,E,-17.043634583587174,0
Buddhist,Black,M,Other,-136.79730452995048,83.56498728567998,22.593113122871458,C,E,87.67454616289415,0
Jewish,Black,F,Bisexual,53.24474531149813,41.50418264906891,33.13739937004977,D,A,-156.0824972317783,0
Other,Other,Male,Bisexual,228.09571598836044,16.262510983386168,88.36007152212237,A,B,-63.35981322378621,1
None,Black,Female,Bisexual,-126.30712908308885,0.006143645250688605,-10.871916560885602,A,D,70.10792432786366,0
Hindu,White,Non-binary,Heterosexual,42.92712789117206,-210.44372354405797,-4.5584575489189785,D,B,-28.2920336459994,0
Christian,Other,Non-binary,Bisexual,54.416368474237665,-55.951530699789046,21.941658684140503,E,A,23.461622488921225,0
Hindu,African American,Male,Heterosexual,44.19235553471094,-78.74751648156426,-153.39180947222422,D,B,-88.08637142446221,0
None,Other,Female,Homosexual,32.044837810058006,-55.82538026424812,22.897793735888396,D,E,48.970714054601736,1
Christian,Other,Male,Bisexual,-33.040204569985114,123.44377331877905,100.58314792159226,E,B,177.94263674108507,1
Jewish,African American,Female,Bisexual,103.0420057906732,17.228393108191547,2.8772790127079193,E,E,-80.83417171812603,1
