disabled,orientation,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Physical,Homosexual,18-25,C,143.19947705388157,C,C,A,E,C,A,-78.93814692503258,-104.7219787984514,0
None,Other,36-50,C,24.876193203977774,C,B,B,E,A,C,125.86867327904964,-65.65643714095074,1
Both,Bisexual,51-65,A,13.378832013713469,E,D,D,D,C,E,34.76270376530099,-168.2379635702324,0
Both,Bisexual,26-35,A,18.885677538510606,E,E,A,B,C,C,172.32910448290536,-3.4096680820962217,1
Physical,Heterosexual,36-50,E,199.68339961114754,B,C,E,D,D,D,17.053015709214396,-74.21134787478671,1
Both,Bisexual,18-25,D,-173.29293387356896,C,D,D,B,B,D,-77.59475209763778,-109.7802205033059,1
Mental,Other,65+,C,-2.2043186078397454,C,B,A,A,B,D,66.1890226187682,-173.6574909572712,1
Physical,Heterosexual,18-25,E,142.7579490983833,E,B,D,E,D,C,60.381737266351706,48.10948615717811,0
None,Other,36-50,C,81.82138627768072,C,C,E,B,A,C,132.5586233477376,170.48518805394605,0
Physical,Other,65+,A,-9.05205630708993,A,A,E,E,C,A,-113.7118133386546,60.98885825401334,1
No,Homosexual,51-65,A,-71.51383470952844,A,A,E,B,D,A,-15.166359398228504,46.062292332193316,0
Mental,Heterosexual,65+,A,-2.801093227104941,C,E,B,B,A,C,43.04125486880291,143.79187535532841,0
Both,Bisexual,51-65,C,28.951627643571225,C,E,D,C,A,B,-61.548635591581224,-58.20984357078498,1
Physical,Heterosexual,51-65,B,-112.79246754055636,C,A,E,A,C,B,47.64441602271361,36.34561047318755,0
Both,Homosexual,18-25,D,180.60531515967017,E,A,D,E,D,C,132.6241122238094,-34.980264853381335,1
Mental,Homosexual,65+,B,-81.43537470169476,B,B,C,B,A,E,144.10931034902103,-94.98394291235194,1
Mental,Bisexual,51-65,E,95.8872108556443,B,C,B,E,B,C,-60.9975806262011,4.528023055303829,1
Physical,Homosexual,65+,E,147.00049470386,C,E,A,E,C,E,-78.58955079050133,63.1788020453388,0
No,Heterosexual,65+,B,-39.6986816474203,E,A,C,E,A,D,24.416561274290224,-43.38215033203969,0
Yes,Other,26-35,C,-2.860321151277908,B,E,B,E,E,C,-125.91236711054496,114.06428215719447,0
None,Heterosexual,65+,C,89.79394905312232,C,A,C,C,E,E,-83.62546707983726,-23.662243227892013,1
Yes,Homosexual,65+,C,-93.03539376162064,B,C,A,D,C,E,-114.35649629131778,-13.906573232171676,0
None,Other,26-35,D,136.99952343753034,B,E,C,D,C,B,60.022633019106664,142.19108112945952,0
Mental,Homosexual,36-50,B,-68.61040190822459,A,B,B,D,A,D,-121.14046897678139,-59.617928381403104,0
None,Homosexual,18-25,A,-162.9097938695394,D,D,B,E,A,E,-110.07308029394794,-80.08052073281368,1
Yes,Heterosexual,26-35,A,184.51981909093197,A,C,A,C,A,E,47.256983224907714,-122.42163753250325,1
None,Bisexual,26-35,E,23.56462938165079,C,C,A,E,D,D,61.23692374589061,-23.060094114973964,0
None,Homosexual,65+,A,-44.901405331187014,B,A,B,D,B,A,-30.956368174215022,-0.97814544490492,1
None,Bisexual,26-35,A,51.01542886049781,D,C,B,E,A,C,-51.120428457353576,41.68488899127759,1
Physical,Heterosexual,36-50,B,4.112518547144278,D,A,C,B,E,B,310.5551215281682,-14.64964403786697,1
Yes,Homosexual,26-35,A,27.543399832062914,D,C,A,C,B,A,-44.3476499031026,-88.72406223864465,1
Both,Other,26-35,C,-164.41209980584412,A,E,A,D,E,A,-39.741226790690824,-25.798728258350312,0
No,Bisexual,36-50,E,-94.96984816196952,B,B,A,A,A,D,192.13390266499067,54.92032989325833,0
None,Other,26-35,A,-79.15302573507506,D,A,D,A,A,E,-58.13862602434918,132.44690617032094,0
Mental,Bisexual,26-35,E,-87.00106976432048,B,D,C,B,B,E,1.6905916057862604,59.63285497724241,1
None,Homosexual,36-50,A,54.21966128122834,A,C,A,E,C,B,62.664612787745725,115.6173537652986,1
Mental,Heterosexual,18-25,B,-82.31657840902355,D,A,A,B,A,A,-93.5022196807989,128.1537510124689,1
No,Homosexual,65+,A,78.9714728707326,B,A,E,D,D,C,107.92897332486709,-68.86854524803296,1
None,Heterosexual,65+,A,-0.3916117346171236,C,A,B,C,A,C,111.18763982879447,-148.8634860430266,1
Yes,Heterosexual,65+,E,48.3211423887404,E,C,A,A,C,E,-155.88738859331542,-89.28886147303429,0
None,Other,36-50,A,202.21675736830554,B,A,C,A,D,E,-78.15668103504903,108.81270837249284,1
Physical,Other,65+,C,58.03144281978327,E,E,C,C,C,C,-201.92206023750873,-99.89359228753356,1
None,Homosexual,18-25,D,127.24030444016321,B,D,C,B,E,E,-161.5963061308382,49.49807697744711,1
Both,Bisexual,65+,B,13.677896436423714,E,E,A,E,B,B,-25.931226099674394,73.6019633634884,1
Yes,Heterosexual,36-50,D,19.51227567395032,C,B,A,A,E,B,-72.40365100374065,-38.300660455102566,1
Physical,Other,65+,B,40.805523483337744,D,A,E,A,E,E,2.4927647422171884,135.3810822610966,0
Mental,Bisexual,26-35,B,-11.613285322311832,A,B,C,D,E,A,-34.00967004464663,97.27110134188884,1
No,Homosexual,18-25,E,-8.50514560737305,E,B,E,D,D,E,104.59051933833383,3.7050845315093928,0
None,Bisexual,26-35,D,59.44984281044018,C,E,C,D,B,D,71.39116216189375,-55.108343277783256,0
Physical,Homosexual,26-35,D,89.36290701481124,D,C,E,B,E,B,77.02723623698324,79.67720203385758,0
Physical,Bisexual,51-65,D,-14.099017610755027,D,C,E,A,B,B,-136.34326009066302,33.984761905095425,1
Yes,Other,26-35,A,107.41955390394065,E,C,C,C,B,D,177.9099370349967,143.13268894893346,0
Both,Other,18-25,B,24.782427486230894,B,C,B,D,D,C,40.641871166062856,-52.68272055504553,1
No,Homosexual,26-35,C,74.89366457807843,A,A,E,E,B,A,-31.763994360000662,-48.67090485022821,1
No,Heterosexual,18-25,B,-139.71065062881038,B,E,B,E,C,D,-88.66644059752498,14.906057792081942,0
No,Heterosexual,18-25,D,-133.5276337346575,C,D,C,D,A,E,37.06383411612426,-102.89967518582483,0
Yes,Other,18-25,E,-70.59972333802148,A,A,C,C,B,D,-75.01761522256773,-37.32402162878859,0
Both,Heterosexual,51-65,A,39.128647983045575,E,C,D,D,C,C,139.34347717301372,-22.810595997905693,0
Both,Heterosexual,36-50,E,114.11657290002346,E,D,A,E,A,C,-184.18300180676707,51.3067856278523,0
Physical,Bisexual,18-25,B,120.89645951869844,C,C,D,C,B,B,-42.08441331269514,40.42317217185006,1
No,Homosexual,65+,E,5.373256408108155,A,E,C,B,C,C,-17.19574083813117,230.5603124830236,0
No,Other,36-50,B,73.19622980533919,B,C,B,E,A,E,38.00175934155534,-115.59476700528376,1
None,Homosexual,51-65,E,64.19178080418443,A,D,C,E,C,E,172.87205029491165,33.37508511625488,1
Yes,Heterosexual,65+,C,-35.40541336816,E,B,E,A,D,E,230.8270413701699,153.8196295732538,1
Physical,Heterosexual,65+,E,16.684825747364318,C,C,E,B,C,B,-26.28477566717792,-78.74093644933544,1
Mental,Homosexual,51-65,B,-153.76169289696622,A,C,C,B,A,C,128.4959563879878,161.93298017214576,1
None,Heterosexual,26-35,B,-11.563341612156961,D,D,D,C,D,D,245.78469239031534,27.48502829023233,0
None,Heterosexual,26-35,A,-105.61149700101066,E,D,A,C,B,E,31.003289481294804,11.372613480310008,1
Yes,Bisexual,65+,B,-37.06413435533394,C,D,C,C,E,E,-32.863659718335434,8.588101625256868,0
None,Other,51-65,E,-4.88692435553225,E,C,A,A,E,C,-9.964094449523945,71.78103266341304,1
Mental,Other,18-25,B,45.16475228810009,C,B,B,C,C,E,79.02575884932126,71.54724862408285,0
Mental,Bisexual,36-50,B,-148.03346324807737,C,B,A,D,A,C,41.93031014841125,28.116984312944314,1
No,Heterosexual,65+,C,6.084890757444131,E,A,A,A,D,B,96.27453538843436,211.60373306697392,0
No,Bisexual,18-25,D,80.88305012080296,D,B,B,E,E,A,135.61391278945823,103.2823496121851,0
Yes,Bisexual,65+,A,97.24354852168982,C,C,D,D,E,A,93.77415547974498,10.867048555327225,1
No,Heterosexual,18-25,C,-55.62869978398859,D,E,E,D,B,A,-44.07191283795208,58.192279006707594,1
No,Other,65+,C,-33.163642127178385,B,B,C,C,A,B,142.95509203253943,-76.87428272766338,1
Physical,Other,26-35,B,113.6218358024981,B,C,D,B,D,D,-30.938420379274174,-41.81730148384859,1
Physical,Bisexual,18-25,C,70.61136412736238,C,E,B,E,B,D,15.140343812429954,-140.00569723520363,1
Both,Heterosexual,26-35,E,-27.0341000800342,E,C,C,E,D,B,-145.95282552128995,-53.98280511319441,0
Physical,Other,36-50,D,-1.2642728842201734,C,C,B,D,A,E,12.69807583623916,-106.25878314268434,0
Both,Bisexual,18-25,D,123.48135833232278,B,C,C,C,A,D,23.73630220192168,-107.75333158429913,0
Yes,Homosexual,36-50,D,-156.84436798928988,C,B,C,C,A,C,-44.65284978705395,0.10789254749388875,0
Mental,Heterosexual,26-35,D,3.326332044995503,B,E,D,B,B,A,-75.10647464133113,-16.772492823438238,0
Yes,Bisexual,26-35,D,68.42752537303673,A,B,E,D,E,A,-84.59873138620117,13.121783408193064,1
Yes,Bisexual,36-50,A,-54.77318262035244,D,D,A,E,B,B,50.05475637516128,192.47755840549553,0
Both,Bisexual,51-65,A,132.7322047573329,C,A,C,C,A,A,-69.07908233266731,-104.97167622523513,1
Both,Bisexual,26-35,A,114.1915740854365,A,B,A,C,B,E,73.25156488154745,36.33831672284603,1
Physical,Other,26-35,B,-62.37074092503092,A,D,D,A,B,D,-127.05531381175881,18.57445550516187,1
Physical,Bisexual,18-25,D,-104.90534152025653,A,D,D,D,E,E,37.59842415963705,61.457026050182094,0
Yes,Heterosexual,18-25,B,-23.323016058060034,A,A,C,D,B,B,-16.92562304762026,111.72774378321009,1
None,Heterosexual,36-50,D,30.382624550242237,D,E,C,A,B,D,170.32430222565694,-20.44655635505353,1
Physical,Other,18-25,B,61.20854525979467,D,E,D,D,D,E,127.20400496150165,57.452415468482876,1
Yes,Other,36-50,E,148.30333532712595,B,E,A,A,D,B,-123.2426866921744,-118.61998337369806,1
Physical,Homosexual,65+,B,-112.13111529859133,B,D,C,C,A,E,11.113759774896879,85.27487691711873,1
Mental,Bisexual,36-50,C,141.94356393263024,B,D,A,C,D,A,64.5896532570747,23.51685062302378,0
None,Heterosexual,36-50,A,-195.67182647224806,E,C,E,C,B,A,94.32580229501902,45.651167303301115,0
None,Bisexual,26-35,E,-188.68166807217378,E,B,D,A,B,C,86.85454669024129,-105.23915786546097,1
Both,Other,51-65,D,-34.9926029320473,D,B,A,B,E,C,37.61606333126092,-109.19248204874275,0
Both,Other,51-65,A,-44.449433788566616,C,A,C,C,D,D,-132.1445525765011,-98.8577049760896,0
Physical,Other,26-35,B,-4.61581628551875,A,C,E,D,A,A,93.03560633029129,-107.00739424762867,0
No,Homosexual,26-35,E,-47.86404709656537,A,B,A,B,A,C,50.45140986450174,42.86535200786095,1
Mental,Bisexual,36-50,E,1.2663787397206145,E,B,C,A,C,A,77.96481032110191,30.642132615470985,0
Yes,Other,65+,E,-172.346799356936,C,C,D,A,C,C,27.884293109837277,16.15834363149996,1
Physical,Other,26-35,A,-172.04515766981353,C,B,A,E,A,B,26.794456444764194,-74.0546504127849,1
Yes,Other,51-65,E,44.333795338510456,C,E,A,B,D,E,-70.66178741353552,-51.090716272342064,0
Both,Other,18-25,A,29.7401275696522,A,E,C,E,C,A,-11.293397102161036,59.78525516531591,0
Both,Bisexual,18-25,A,-65.56797758209501,D,D,D,C,E,D,46.527015519469714,-122.66274809401966,1
Both,Other,18-25,C,-61.127859333615966,B,C,E,E,A,B,-86.65747667882127,-41.53776318520253,1
Both,Heterosexual,65+,E,-1.1715565731700648,D,D,A,C,E,E,-183.48841862747517,107.82616008983794,1
Yes,Homosexual,18-25,A,-19.295868620168974,C,C,E,B,C,B,74.74573095107884,20.759416398691812,0
Physical,Homosexual,36-50,B,-42.777320547207104,C,E,B,A,D,B,-65.96994595408103,84.69110810851261,1
Both,Homosexual,18-25,D,34.82170840517474,B,D,E,A,B,E,-134.06408794335553,45.981072158448065,1
Physical,Other,65+,A,-16.554429061975757,C,C,B,C,A,E,-51.41643669914371,118.21588935889046,0
Yes,Heterosexual,65+,A,-0.144124113599816,E,A,E,A,E,D,-156.89335502511958,77.35177878505723,0
None,Homosexual,51-65,B,-3.071999557743206,D,E,B,D,D,E,-81.01524407506925,49.55786748594921,1
Mental,Homosexual,26-35,E,-44.57052215770899,E,A,C,B,D,E,-105.28366650989973,107.72144880225241,0
Both,Other,36-50,D,-36.85827669958058,D,E,E,D,E,A,-43.036397166592174,-126.23921209469671,1
Yes,Bisexual,65+,A,17.28920230393986,D,E,A,E,E,A,180.26887163689233,-155.2902635872368,1
None,Heterosexual,65+,E,32.79202820946069,B,D,B,A,A,D,50.02217188065201,-180.83515544120772,1
Both,Heterosexual,18-25,C,191.03385290728502,B,C,A,B,B,D,-20.805564687375234,20.362691077932123,1
Both,Bisexual,26-35,E,35.69043800721129,B,D,D,E,D,D,26.532663553835476,0.46652078625270943,0
Both,Homosexual,51-65,A,-64.83410718038257,B,C,C,A,C,A,235.58966576307628,59.70118019981434,0
Physical,Homosexual,26-35,D,110.06846586671126,D,D,A,B,D,A,47.84737384360208,39.81499966023237,1
Both,Homosexual,18-25,D,159.6453823610048,A,D,D,E,E,B,-263.2642068695961,173.96229669993005,1
None,Homosexual,65+,C,11.468686433416519,D,E,C,A,B,D,8.7992562586251,35.16149578064795,1
Physical,Bisexual,65+,E,129.01452252108805,A,B,A,B,A,E,69.71050286986423,103.35377756700403,0
Yes,Other,18-25,B,69.97586301695114,C,B,D,C,B,E,218.32632477614453,131.97240169675328,0
Both,Other,36-50,E,26.72487901848484,D,E,B,D,A,E,-81.55036103042613,-149.83505325013232,0
None,Bisexual,51-65,A,23.17698704515271,B,C,E,C,C,A,16.084146363011996,-19.749630330097467,0
None,Other,65+,A,-116.61655066892334,C,A,A,A,C,E,-127.93593997848485,-220.27500332728525,0
None,Other,51-65,C,64.58428334827178,A,A,A,A,E,D,-35.749013018273715,4.641302586342394,1
None,Bisexual,18-25,D,-7.42271547553334,B,D,B,A,E,B,27.271666905026876,-148.09807679834367,1
No,Heterosexual,26-35,C,-161.56478945812586,E,E,D,E,B,E,-92.75796118715682,54.270497081463134,0
Yes,Other,65+,D,10.956306401215624,A,D,C,D,D,D,19.110707166560417,-42.972672626368094,1
Yes,Other,36-50,A,-19.63149297495936,C,B,D,D,C,D,-23.179641400360378,-102.22746494163921,1
Both,Other,36-50,D,36.95437490693754,C,A,E,C,C,C,16.64184586905081,96.2633482257401,1
Yes,Homosexual,51-65,E,-23.69366371689161,A,B,A,B,E,D,92.70987295813158,167.61070213493264,1
None,Homosexual,26-35,A,171.8258358520067,B,E,A,E,A,E,-39.4571034413577,-138.96144243389244,0
No,Heterosexual,36-50,E,-69.91834422418054,E,E,C,A,D,D,37.323034003978854,-53.7994238275404,1
Physical,Heterosexual,26-35,A,-37.5989219392294,C,B,B,A,B,C,156.74966796399917,-147.59621674392247,1
No,Bisexual,26-35,C,-26.8153613898307,D,B,C,E,E,E,-45.06404730461666,50.923123831839376,0
Physical,Heterosexual,51-65,D,228.35964516639643,A,A,B,E,C,B,17.086922237682202,119.62672574723598,0
Physical,Homosexual,65+,D,-71.1342417749308,C,B,A,B,A,A,1.680505412123285,26.02069111738713,1
None,Other,36-50,B,-0.9023682437622615,A,C,C,C,C,B,162.06096052472202,26.438480220918876,0
None,Bisexual,51-65,E,-25.952771030612244,A,D,C,D,E,B,-21.02276963051592,106.67617175706852,0
Both,Other,36-50,A,-92.01128136946826,B,E,E,E,C,A,227.51177272520655,112.92499518299728,1
Mental,Heterosexual,65+,C,-73.71313338194297,A,B,A,C,B,C,-83.03614298226505,-139.4743057986913,1
Both,Homosexual,26-35,B,-85.24602369274692,C,C,C,C,B,B,-53.953214713620845,102.93952034367476,1
Yes,Homosexual,36-50,E,-93.75316168031092,D,D,D,B,B,A,-34.662683186974114,-38.17777719117959,1
None,Heterosexual,18-25,A,29.963307627450998,E,A,C,E,C,A,-83.12691025475958,-92.07619427989965,0
No,Bisexual,36-50,D,134.64370387053017,C,C,E,E,E,E,145.1500695957618,-83.96339525846427,0
Physical,Other,51-65,B,48.332134281286635,B,E,D,C,B,B,-62.624870566374554,121.01010182971794,1
Physical,Bisexual,18-25,A,33.20812889660311,D,E,E,E,B,A,-130.81641439931994,72.13716974706024,0
No,Heterosexual,18-25,C,111.74347491266757,C,C,A,D,B,D,163.21701857934187,32.403509877857125,0
No,Bisexual,26-35,A,49.97532532679319,E,B,C,C,C,B,-186.84090442767686,-92.94251356829179,1
Physical,Other,65+,A,53.62023532210613,D,C,E,A,D,B,-82.4960254164839,-211.73249307305778,1
None,Heterosexual,26-35,A,3.7154168669323924,E,D,E,E,C,E,-15.979015279721745,50.637514386077655,0
Yes,Bisexual,26-35,B,-93.08049655761631,D,D,B,A,D,B,90.15212574187889,-135.1408220564555,1
None,Homosexual,51-65,E,25.30375322019979,B,E,B,D,D,B,-10.348373016722636,-0.7503968512768934,0
None,Bisexual,26-35,A,131.02189877046396,E,D,C,A,E,A,104.01534872766587,4.259988659725119,1
Yes,Homosexual,65+,B,70.96908540789404,A,E,C,C,A,A,-36.21145214343212,-206.24369229238377,1
Yes,Bisexual,51-65,B,92.22564923671652,A,E,B,C,A,B,-147.72908136219775,116.83976043663678,0
No,Homosexual,36-50,D,93.72121647436508,D,C,D,E,B,C,90.13479098127966,14.394539350883539,1
Physical,Heterosexual,26-35,E,64.86344237817,D,E,C,E,A,B,-163.20269181195496,97.74605888395843,1
None,Bisexual,65+,D,-8.342329090756518,E,D,D,B,A,C,57.62089312914185,47.51131011753838,1
No,Bisexual,18-25,E,-85.89352126364916,C,E,E,D,C,E,-83.156961784472,101.96346035540293,0
Both,Heterosexual,65+,A,170.99999443200383,E,D,E,E,C,E,51.470990176598264,-119.12182688811284,1
Yes,Heterosexual,51-65,C,43.731001198086155,A,B,C,D,A,B,-101.07108134270155,69.62092981266125,1
None,Homosexual,26-35,C,-47.194502773445834,E,A,E,E,B,B,-53.71895733838965,-38.92323324198648,1
Both,Heterosexual,18-25,B,-158.2539316256761,B,A,E,B,E,B,6.225247970491499,-77.62175678538546,1
Both,Bisexual,65+,D,-5.940267908927263,D,B,A,C,E,D,20.184883940613613,-136.54720237393377,1
No,Homosexual,65+,D,97.54332788193373,B,B,B,C,B,A,-39.436154498828344,-58.029952622419835,1
Mental,Homosexual,65+,E,88.50165911484956,B,B,C,D,B,E,4.032884773866308,-128.6941441537263,0
Physical,Bisexual,65+,E,-80.4034885699242,E,A,B,E,C,D,91.14269207797052,44.157112882932225,1
No,Homosexual,51-65,B,51.06336817866737,A,E,A,B,B,D,-201.2550337951901,-66.1829919005301,1
Both,Other,18-25,C,80.30754041617465,E,E,E,A,E,B,-109.76310231797903,-117.12133089761537,0
No,Bisexual,36-50,C,222.90077767581647,B,A,C,D,D,A,-48.362326757908704,-5.352443078343269,1
Mental,Heterosexual,65+,B,-88.87423902749846,B,A,C,D,D,D,5.460858976181163,71.63754706080869,0
Physical,Bisexual,51-65,C,145.28464499242122,D,C,A,E,B,C,-108.1398434526491,13.98538371464729,1
Both,Homosexual,18-25,C,-64.67454387599524,B,A,C,D,D,C,49.129103091986515,36.98095770528181,0
Mental,Heterosexual,18-25,B,-32.458958597064594,E,E,C,D,D,B,-97.0140770764506,16.696422421192814,1
No,Bisexual,36-50,B,114.52574744013668,A,B,D,A,B,B,74.09452831570972,18.96915374782374,1
None,Bisexual,26-35,B,59.898973995759974,A,C,A,C,B,A,-46.61775817316493,-74.06141306178714,0
Both,Other,36-50,D,-90.00186929088781,B,C,B,E,E,D,-59.901278994902285,89.4778972829672,1
None,Bisexual,18-25,E,-21.981507462102226,C,E,E,D,B,D,-16.872125325436922,12.257946158449078,1
Yes,Homosexual,36-50,E,-3.3237265366558932,E,A,B,A,D,C,12.649622981132024,-150.29748375249548,1
Yes,Heterosexual,36-50,E,-50.683694278962065,A,C,A,E,B,C,114.53520220416395,-109.75451620342258,0
Mental,Other,51-65,D,-23.50439014428928,E,D,A,B,A,A,-107.62166481963848,3.3039874007695134,1
None,Homosexual,18-25,B,14.116506329237177,D,E,A,D,C,E,-103.57606000451844,57.19690673793297,1
None,Other,65+,D,-49.54673097798525,C,A,C,A,B,E,-174.5161387190283,-275.0719843649104,0
No,Homosexual,36-50,B,-143.29805366676075,C,D,B,A,A,C,145.7656012083411,-264.6011002769106,0
Yes,Homosexual,18-25,A,29.748257025279408,B,C,C,E,B,E,24.60393991455553,21.974154491070326,0
Physical,Bisexual,65+,E,34.61523386311037,C,D,C,D,D,A,132.52318790544052,138.22634351242215,1
Physical,Heterosexual,51-65,D,-82.19414777905524,B,D,C,A,B,B,103.7432247187358,21.166962733114676,1
Yes,Bisexual,65+,C,-21.96111780404997,B,E,B,A,A,B,-44.698651017616434,-138.23993116701592,1
Mental,Bisexual,26-35,B,210.96481934987898,D,E,B,A,E,E,38.681412762089096,30.432234432242005,0
None,Other,26-35,A,-4.2623881796879655,A,D,E,A,A,B,97.65517660843871,-170.24532354695043,0
Mental,Bisexual,26-35,C,-9.285652549825091,E,A,B,A,D,A,43.084284292706194,136.07850383828693,1
Yes,Homosexual,36-50,D,-101.79971195745895,A,B,B,B,C,C,67.51335126002954,-173.6454896510981,1
No,Bisexual,18-25,E,-15.904935570418646,D,A,D,D,B,A,32.42250478552959,-282.73650060355664,1
None,Heterosexual,51-65,C,87.01375728967862,C,A,D,B,D,E,-80.03279594498089,43.78675388849376,0
None,Other,65+,C,-41.044867371535894,A,E,A,D,C,D,-118.99786349382566,52.875030111656194,1
Mental,Heterosexual,18-25,E,-61.23573955915445,B,A,C,B,B,B,-18.96458374734992,126.9157322160867,1
None,Other,65+,A,-100.59541749530385,C,D,C,C,C,B,-159.71505658310497,21.08744258818104,0
Physical,Other,51-65,E,-57.385361342133514,E,B,D,E,A,D,-129.55181323617472,-48.54389209501037,1
