Nationality,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Mexico,51-65,C,185.6073732270967,E,34.36205617664594,-109.17217720207044,D,E,A,A,C,1
US,18-25,E,-26.076246089717987,E,51.34030826924937,-95.35226136803747,A,D,A,D,A,1
Brazil,51-65,C,22.130931887811755,E,-13.146285549512044,-118.37899694435355,D,C,C,D,C,1
India,51-65,A,-16.326552117564773,E,-109.4493783099166,50.15937451149869,C,B,E,B,D,0
Germany,36-50,D,-94.08422174621928,B,29.460125763528726,106.12816521295629,C,C,C,A,B,1
Other,26-35,C,-5.579272395980197,A,-107.57652233378235,52.24943815519,E,E,B,A,D,0
China,26-35,C,-171.95553968637384,B,-15.712471490926708,-57.483829889459,D,D,A,D,E,0
India,26-35,B,121.82926232611987,A,-16.603931964157557,-55.79168754459406,E,E,A,A,B,0
US,26-35,B,-87.61632974473817,A,-15.864409235736332,0.8184474751492964,C,B,E,E,C,0
India,18-25,B,-64.73814064808224,E,30.554702073561877,164.06279585442863,C,B,D,E,E,1
Other,65+,A,3.5358695079015323,E,-175.89543202236294,106.97285918815096,E,D,E,E,B,0
Mexico,36-50,B,42.97558803750297,E,42.78424639594535,-72.37172212601419,D,E,B,D,E,1
Other,65+,A,5.18311547591719,C,-144.46024679887668,-174.85762900077708,B,D,E,B,E,0
Germany,51-65,C,-118.11727288482162,D,-62.47846599552776,78.30286821689056,E,A,B,C,D,1
Germany,65+,E,-247.78593393227078,C,27.490706825066475,65.45864623106714,C,B,A,C,A,1
Brazil,51-65,A,39.92246984076999,E,55.41181832247025,101.22979630034807,C,C,B,A,A,1
UK,65+,E,-98.00504023419187,D,-131.63716894470733,-33.4910907292693,D,B,C,A,B,1
US,51-65,B,-49.81744734146682,A,-37.08264247829552,-146.42590177035518,C,E,C,C,A,0
China,18-25,D,-70.42910452768922,E,-22.859700019202823,89.72160576765248,A,D,B,A,E,0
Other,36-50,A,11.748099423450075,D,30.120868145039044,-1.5053306664459323,D,B,B,D,D,0
Other,51-65,B,-269.0568905023595,D,-64.71778580247415,302.7128990330737,D,A,C,E,D,0
US,18-25,D,-103.65291160377504,E,-185.7142170774998,37.207485781392634,C,C,D,C,B,0
India,51-65,C,34.380840320142006,E,44.604139940741824,-51.21452781608961,A,A,B,B,C,1
Brazil,36-50,A,262.70592930840945,E,113.52029178283969,190.81221231444172,E,B,E,D,E,1
Germany,26-35,E,12.486113148802524,C,-100.07524590863038,1.1676316297054488,A,E,A,B,C,1
US,51-65,B,-218.69753919930602,C,-87.50259551910243,-80.6098073226563,E,D,C,D,E,1
Germany,65+,B,-127.31461956263924,B,-87.87231562640882,-70.80710685146349,A,D,C,C,D,0
China,26-35,A,-136.29083956723457,C,25.86895493938878,-9.425414516234774,D,B,B,E,E,1
Mexico,36-50,A,-6.754834293071835,C,-192.0271730581263,-142.0189076546834,A,D,E,A,A,0
Other,18-25,A,119.47599480266233,A,-196.1326610946384,120.85840700242944,A,B,E,B,A,0
Brazil,65+,B,64.41013515152248,B,74.40604788564839,86.18137529106305,D,B,B,C,C,1
India,65+,D,-25.114774288190773,B,19.02449249479171,-3.7955043792934404,C,B,A,A,C,0
Mexico,65+,A,25.135363446972654,A,-0.11436097232942681,-153.70483193185208,D,A,A,D,C,1
US,65+,B,102.11274146989967,B,84.8931071967437,47.12635837245469,A,E,E,B,E,1
China,51-65,A,-49.341298623862826,C,58.64697903516581,74.57924019445682,B,A,B,E,C,1
Germany,18-25,D,-3.794147077812446,B,-190.68124303306007,130.90033048626665,D,A,C,B,D,1
UK,36-50,D,18.123555547679757,C,21.028537426099344,17.936915556068207,D,C,B,B,D,0
Other,65+,A,185.66074372986023,A,-129.176925193344,-235.4117331998529,E,D,C,E,B,0
India,18-25,D,64.164929070016,E,61.745861560019186,88.29983296714548,C,E,C,B,E,0
Other,36-50,A,78.06306127595596,E,-32.97335003458137,-112.08163439466257,C,B,D,B,C,1
Other,18-25,A,-124.3461232710226,E,-91.58712995796576,-12.309971131286215,D,D,C,D,E,0
Other,36-50,B,-30.127270385482426,E,-125.53687524035296,-13.794917858116355,E,B,A,B,D,0
Brazil,36-50,B,-57.63820769964475,E,115.29525620228371,186.14889751235773,A,C,B,C,C,1
Mexico,65+,A,150.44617642402224,D,85.23334221045826,13.11122699907343,A,B,A,A,D,0
UK,65+,A,62.95093111627467,C,-38.3514549825923,33.18691817526951,A,B,E,C,C,0
China,26-35,D,-31.817692551187697,A,67.15469746142956,18.033477796786094,B,E,B,B,B,0
Mexico,18-25,E,-226.15023051494657,E,80.38193676413083,146.11201708437372,E,A,C,C,B,1
US,51-65,C,67.4252153658337,C,-76.71206124179093,23.522422590328908,D,B,D,C,E,0
China,65+,E,48.41718115074463,A,159.21918341876992,80.00628805904316,A,A,E,C,A,1
Other,51-65,C,35.58611862454736,C,-158.64264454054307,-95.21403303589773,E,E,D,C,E,1
US,51-65,B,-150.31943347921853,D,-50.62330210739917,108.07081189985257,B,B,D,B,E,1
India,18-25,A,-67.8221461889632,E,124.63183659092287,-30.43465928601598,D,B,D,E,A,1
China,26-35,E,-71.77106576131126,B,-153.51361890724797,-48.17058838219822,D,E,A,C,C,1
Germany,36-50,A,-58.47600624514293,D,109.73744011408941,-48.28342745364622,E,D,B,C,C,0
US,26-35,D,-23.116011866824408,B,32.47238990102327,-156.22867370202326,D,E,A,B,C,1
India,36-50,C,7.422578964263709,A,-33.763103993477046,-21.773777344161292,D,D,A,A,B,0
India,18-25,D,17.874577277531557,E,160.8319131354756,84.16786737608649,C,B,D,A,E,1
Brazil,18-25,C,13.351193430138272,A,-10.451247500261577,-104.21645829899373,B,D,D,D,A,0
UK,51-65,D,78.34582736477623,D,-137.00676577007854,-65.19907359573843,E,B,B,B,A,0
UK,36-50,C,42.220098281711124,D,-19.899756213634866,-53.45329386534634,A,B,C,E,E,0
Germany,36-50,A,-16.22004110231145,E,-53.74381137726305,-62.60451487783849,B,B,B,C,E,1
Germany,26-35,A,-127.21482574732086,D,76.8659165268505,-27.359284042413478,B,B,C,E,A,1
Other,65+,B,-68.38409486029697,A,-56.84120504430741,105.9812982937091,A,D,B,C,C,1
India,36-50,D,-88.09800524143266,B,18.611986081161007,-219.37868671769826,C,E,B,C,C,1
UK,18-25,E,36.58246353714873,A,-159.8283562656118,102.22485670984776,D,C,E,E,B,1
Brazil,26-35,C,-30.03652324632986,A,-46.89431684912743,-8.535374076639075,D,C,A,C,D,0
Germany,65+,E,-56.46318883766077,D,-32.388309624160044,6.4307143347024756,E,B,C,A,E,1
Brazil,18-25,A,-25.97203594966333,E,165.24408405117092,39.69127419378607,E,D,C,C,C,1
India,18-25,A,-8.301334188871138,C,-46.196842714268456,-38.55895911138928,A,D,E,D,E,0
India,36-50,C,-112.46535983408512,C,-94.06027659716787,-79.09211253246222,E,D,C,B,D,0
US,51-65,C,36.81436078326887,C,-1.5526856145866952,-93.22237256323756,D,D,A,D,A,1
UK,26-35,C,-215.46818258596215,B,13.69293912994899,128.02768281179613,D,B,E,B,E,1
China,18-25,A,18.6006807678171,B,-108.07801413414921,-2.5249423664852877,D,C,B,E,A,1
India,36-50,B,-164.7010295336803,B,-67.59262719808402,-78.4873876461047,A,A,E,B,D,1
Other,26-35,A,82.67317475218312,A,-10.569767524066876,111.69825868708611,B,D,E,C,E,1
UK,65+,B,-134.0064481716817,C,22.187757233778257,-100.07690596460652,A,A,E,C,D,1
Germany,65+,A,-50.82813781473335,B,61.890986647223144,225.6638940626827,C,C,E,B,C,0
UK,18-25,A,66.91645872034721,D,-81.63183036657549,-174.86037277262182,D,C,C,B,A,1
Germany,26-35,E,115.7396696731919,B,-18.166321909411007,104.18623546562485,D,C,D,A,A,0
India,18-25,D,-24.36989184326181,A,-44.011902272142954,27.952608275791597,E,D,C,E,B,1
Germany,36-50,E,116.29038871046721,D,-73.99979922414255,118.69315103375303,A,B,A,C,B,1
Other,18-25,A,-56.86169386964358,C,-225.45161516741717,14.212427112419537,B,B,D,D,A,0
Germany,26-35,D,-62.057570209157994,E,79.23455927401186,-117.84121784851385,D,C,D,B,B,0
Brazil,51-65,E,-54.606063520698655,C,-56.529829542492,9.541489549190672,D,D,B,A,A,0
China,18-25,C,55.56500770210052,E,93.86964396476192,-26.29840425840059,B,D,B,A,E,0
Other,26-35,B,46.35804556005133,B,37.932463626839784,-138.7162545773128,D,E,A,B,D,1
Brazil,65+,B,-132.84633979734997,B,-18.458687976806367,10.592086210138495,B,B,D,B,B,1
Brazil,36-50,C,-8.246185720121453,C,3.1163038608964695,-13.918730541855012,C,B,E,B,A,0
UK,51-65,C,-226.13318689150202,B,93.32330705485707,66.72515177863916,B,E,E,D,E,0
China,26-35,A,75.54837991215352,D,-37.80418315122835,-5.362481904174856,D,E,B,E,D,0
Mexico,65+,A,93.90056265569739,C,1.8370758149451358,-5.742750707092942,D,A,B,D,B,1
US,18-25,C,74.88648700597594,E,-24.308863123714637,-50.873361607568626,B,E,A,D,E,0
UK,26-35,C,-3.157988657636361,C,-171.5173346691315,-68.65471136123178,E,A,B,C,E,1
Brazil,65+,B,-51.12194728856928,E,-46.21668016686207,-69.47903647865587,E,E,C,A,D,0
Mexico,36-50,B,-133.89225777355549,C,90.81676162435676,-4.2266993335627685,A,D,D,B,D,0
Mexico,65+,C,0.3214176112940633,D,206.91238708563827,4.572690694118632,B,C,E,A,E,0
India,18-25,E,-68.72332535881309,E,29.921435946244607,-60.01652472050779,E,E,E,B,C,0
UK,65+,A,150.30969317529565,D,51.92365546912389,71.71903018408034,B,A,B,A,C,1
India,18-25,B,41.57283384811374,C,-11.80318839216968,143.2671253208717,A,D,B,E,D,0
China,26-35,D,-95.4811626434708,D,91.6766801631454,64.3573727272472,C,A,C,B,A,0
Brazil,18-25,A,2.993179662128308,A,73.1899848352603,-140.57739252718684,B,A,A,C,E,0
China,65+,A,45.23067059176159,C,51.32912940797594,17.7782225042626,B,B,A,A,D,1
Brazil,51-65,E,48.74439005691022,C,-24.39152587206767,-88.24446949678179,C,C,B,B,C,1
Brazil,26-35,A,95.58141823139644,C,109.62806196531614,-119.70127314159942,A,B,B,D,D,0
US,26-35,E,65.14650827624676,C,87.63694364935392,102.790184918269,D,A,B,D,B,1
India,18-25,A,-24.404138239381478,A,-113.1905128635513,-1.6154034951149385,B,C,E,D,E,0
Mexico,18-25,D,-61.77541012557756,D,-31.83472033002336,-139.51373866629459,E,D,E,D,C,1
China,65+,B,-81.19723252389176,C,24.310564281055374,-77.14274063928896,E,A,C,D,D,1
Other,65+,C,-208.86228787988563,B,144.00493088534907,8.669100375397546,A,A,D,D,C,0
Mexico,26-35,C,-58.46232165999082,C,-55.39880873835455,62.9192998412539,A,D,A,C,B,0
Other,36-50,D,-14.37323308861878,E,54.12233811376832,170.07705201249428,C,B,D,A,C,0
Germany,26-35,D,13.255605623149744,C,-3.0616653572985078,-5.5150093179012805,A,A,D,D,D,1
Brazil,18-25,B,280.2444280164509,A,18.808437110095667,34.91320104019482,E,E,A,A,C,0
Brazil,65+,B,-111.60108067558268,E,-168.38012379801634,-124.93433496628386,A,D,C,D,A,1
Brazil,65+,E,180.6162745783734,B,23.62970611164659,116.72276126949296,C,E,C,C,C,0
China,26-35,E,-68.74522749273343,A,176.59772835020436,85.17893054390521,C,D,D,D,E,1
Mexico,36-50,C,-34.55517466024838,B,-32.092382362417446,79.90461041804694,E,E,A,D,B,0
US,36-50,C,92.78657989545749,A,-107.62482888989493,22.612092288271597,A,A,A,B,C,1
Other,26-35,E,87.66552798081332,B,-13.885253540366671,108.12982610156752,A,B,C,B,D,0
UK,51-65,D,96.67391550698116,C,18.545897280581126,-192.33278963927782,B,A,E,C,C,0
Other,26-35,B,41.57781471400778,D,-20.81090956846787,-77.25126981629337,D,D,D,E,B,1
Germany,18-25,E,-22.771705156679715,E,-93.01024876179353,28.441224967484473,A,B,B,E,A,1
India,51-65,D,-125.72362481772814,C,25.23468342592198,-6.544303029389696,B,C,A,C,C,1
Brazil,36-50,D,-17.25826602082968,D,118.61957529371215,43.08564335420787,E,B,C,D,E,0
UK,36-50,C,-121.62785006664963,B,33.76242010315038,-79.20944333170235,D,A,E,E,B,1
Mexico,65+,B,132.93092954857275,D,29.675695021882863,82.56167372745328,D,A,A,D,A,0
US,36-50,E,110.10064707332067,C,45.64777009791635,5.452003951677116,E,E,B,B,D,1
UK,26-35,B,78.4467671110638,D,50.868477571537404,-137.76335054401295,A,C,B,C,B,0
UK,36-50,C,-212.2878825844376,B,-77.68030984022548,12.658317310609593,A,D,B,D,D,0
Germany,36-50,E,197.64663558462715,E,20.91824825528881,-97.75320315262948,D,B,A,E,B,1
Brazil,36-50,A,73.29714347137379,C,44.48314443140739,-45.91935257094812,C,B,E,A,E,0
Germany,18-25,B,-167.15446061162623,D,151.31100462407625,-3.712289616824873,A,A,C,B,D,1
Mexico,51-65,E,-39.77289292520574,C,0.9488335135101537,160.97445022448366,A,E,C,A,B,1
Other,65+,D,-44.56248994166675,A,46.6658621244931,-59.3695497556056,A,D,B,C,A,0
Germany,26-35,E,-72.51258962795525,D,174.98770638990925,-49.88843191465458,C,E,C,A,A,0
US,51-65,D,88.78877886500517,E,-100.73901439299388,-74.47245084896026,C,D,B,D,B,1
China,65+,C,94.26871705959168,C,100.64461732524761,-30.126840226490646,C,D,D,E,C,1
China,36-50,C,-28.138171481783058,C,112.4836177096322,-77.01525566012599,C,A,B,C,C,1
UK,65+,A,-195.43393479644726,C,39.72883767166541,60.91053266012803,E,C,C,E,B,0
Other,36-50,C,-34.64479928931804,A,-77.59128292755733,11.722095625360629,C,B,E,D,C,0
China,65+,A,-20.962690050449396,E,101.48692283930725,-14.656709582334496,D,B,E,A,B,1
UK,18-25,E,-76.90181014515336,E,-36.88101181820004,149.63236657487423,E,A,E,E,B,0
China,26-35,B,23.336036664071887,A,233.2530893170183,81.7366082109947,E,C,E,E,C,1
India,26-35,B,-106.6379176659759,A,-25.904289658124817,27.189958190992826,E,A,E,C,E,0
India,65+,D,-85.90129281454143,B,-103.63343957457592,32.46375655852749,C,A,E,E,D,1
Other,18-25,B,20.97051770915185,E,61.95695611196891,-211.5462503898108,E,A,B,D,C,1
US,18-25,A,-20.34576099041498,A,32.554531409813336,143.8930169500499,A,A,D,B,A,1
Germany,18-25,A,99.43307109311783,A,62.571494424770314,39.86872986079848,B,E,B,E,B,1
US,65+,A,34.88358946123988,B,-96.27439892109295,-94.67586325146353,C,A,E,E,D,0
Brazil,51-65,C,82.64912486013733,E,-104.88461831173407,128.4581518506418,A,A,B,E,A,0
Germany,51-65,B,-58.998666579436076,B,-24.82778685006411,7.257520243707563,A,B,A,B,D,0
India,18-25,C,-134.0869059549903,A,170.08562543376468,-22.880113337694556,B,C,B,C,C,0
Other,18-25,E,-214.9357736762026,C,89.37980680418795,-53.22416502859291,D,C,A,E,B,1
Germany,51-65,A,213.57976499691173,D,-4.882784336970188,-76.43740953162437,B,E,A,E,B,0
Other,18-25,C,-1.9483191078307636,E,-14.772359464493654,-58.056005974425204,A,D,A,D,D,1
India,26-35,C,-48.374723188543854,A,71.56108007632803,-72.69371972248513,D,E,D,D,B,0
US,26-35,D,17.514494733473743,A,34.4476994440364,7.196348442465758,B,A,B,A,D,1
Germany,65+,C,263.6688882338176,D,93.46321972771153,-44.00603558214154,E,A,C,C,C,0
US,18-25,C,-105.31008459195195,A,85.2699015854949,171.31409581075332,C,B,B,E,B,0
Germany,18-25,B,61.58819601206961,C,109.58222012712382,-29.016788862080517,D,D,B,E,D,1
US,65+,C,-101.33080529942957,E,-57.382839535787724,152.41112379699985,D,B,C,D,B,1
Mexico,18-25,C,15.130144944770244,D,103.3328622097803,-63.19202586517609,B,A,C,E,E,1
US,51-65,B,-6.32288248098071,D,-89.34466167743592,17.475757986614845,D,C,A,E,D,0
US,26-35,E,86.0259267279675,C,132.93972395247343,-96.44755589239814,C,D,E,B,D,1
India,51-65,E,85.52104454101642,E,-122.43658064071406,96.46419521495496,A,A,B,D,A,1
Brazil,51-65,D,68.8845982064723,E,-80.05169551672884,82.01075105711396,A,B,E,C,B,0
US,65+,B,121.55785376796094,C,26.260862700848385,-53.6060135389814,A,B,C,A,B,0
US,26-35,E,41.982807225948164,C,189.52080078156456,-73.79517023718175,E,B,A,A,B,0
China,51-65,C,-16.771361747750557,A,-83.1623562395429,16.11331581140038,E,B,C,B,D,0
Other,65+,D,-55.93240376617026,B,99.3554973686373,-130.3241055874042,B,E,D,D,E,1
China,65+,B,-42.63834867893436,E,7.2135106497484625,121.36522820978666,A,B,B,D,B,1
Mexico,51-65,A,-65.00939360662478,B,-66.94155962553758,21.436337614319008,A,C,B,E,A,0
China,51-65,A,165.13477987583673,E,179.17190957486952,92.16682817893444,C,A,B,C,B,0
UK,26-35,B,9.867789047267875,B,29.643708027327158,-11.031648932579653,B,D,A,D,E,0
Mexico,65+,E,-122.44131034939898,D,10.787693722515337,-49.45910294880834,A,B,E,D,B,1
Other,65+,B,7.63260375323263,A,119.06499119287159,79.27713240387337,B,B,B,D,A,1
China,18-25,D,62.830974736735826,E,10.451074597181393,82.62439842117612,D,B,A,D,A,1
Other,18-25,C,-46.91798514731144,B,-38.005927753711546,-21.441448942441045,E,A,B,D,D,1
India,51-65,A,86.68599198966014,A,73.32841650752445,159.91850577305783,B,E,C,A,A,1
India,51-65,B,15.284965591217588,C,6.658384295420728,3.470700081402019,C,D,A,D,D,1
Other,36-50,E,-48.508355297739456,C,-83.29139332325308,150.03271021983048,B,D,B,A,D,0
China,18-25,C,-96.50492562214642,B,62.758803916626704,-88.06458567716352,B,B,A,D,D,1
US,65+,A,-11.266507379843658,C,79.79572235367684,-71.3566754721391,B,C,A,D,D,0
Germany,36-50,B,54.28485149145412,A,226.51790849605496,-79.44799476740627,A,E,C,D,D,0
Other,26-35,C,-14.051032124268229,B,-74.75303801635856,-148.18391123218052,D,D,A,E,A,0
Germany,65+,C,139.25577032752986,C,-157.85378997673882,62.88629997465106,A,A,C,A,D,1
India,18-25,B,-71.66811233264558,E,-112.90445626521952,73.66605643191848,E,D,E,B,D,1
US,65+,D,-89.93559467054713,A,-165.02762713603985,222.4707190938471,E,D,C,A,A,1
Mexico,26-35,D,43.91223644641615,E,10.795562844178137,206.69605007835327,B,A,D,E,C,1
Brazil,65+,B,252.66874760164774,B,-75.98897870451512,-130.47274587282385,B,E,B,E,A,1
China,65+,A,-185.28697071396547,E,110.99040233643483,13.892023000982636,E,E,B,E,C,0
US,18-25,E,-5.833908987874165,C,52.39886482395867,-3.596552449257852,D,C,A,A,B,0
Mexico,18-25,C,122.94342895322063,B,135.46055551863384,220.01901604700703,E,C,C,D,E,0
UK,18-25,E,-47.92290824432627,E,50.27450693023303,47.60234033102241,B,D,A,E,C,0
UK,18-25,A,63.990344455037594,C,79.81693079778547,130.1544430234751,A,D,D,D,D,1
India,51-65,D,-137.68206654727152,D,81.59145618840084,-3.6195116406811745,C,B,D,B,E,1
UK,51-65,B,35.549459231910376,C,61.03965358747981,66.23194685025793,C,A,B,D,C,0
Other,65+,C,-47.04152318207824,B,91.97566169614753,-1.547952968853527,E,A,B,D,E,0
China,36-50,E,-120.64244610718646,D,-36.998974071689936,19.89482821473676,B,E,E,D,C,0
Mexico,36-50,C,-1.2888472037851466,C,67.46765872844178,36.1782047702776,D,E,E,B,D,0
Other,18-25,E,-147.28746944995922,A,95.74592259138299,-105.03265882438232,E,E,A,A,C,1
China,36-50,D,34.71804011466836,D,14.939451349703731,29.3080410067382,E,E,C,D,C,1
China,65+,A,-155.74161255795926,E,59.02234593280035,14.087263357433436,B,C,D,B,A,1
Brazil,65+,E,-66.83347348490165,A,44.432245206465176,126.80559443812479,B,B,B,A,C,0
Brazil,36-50,D,-44.95148754631391,A,67.01212462570963,17.332698473074863,E,B,B,A,A,0
Other,51-65,E,-27.53296747017078,E,20.10209210560534,37.44645996886049,A,C,C,B,C,1
Brazil,26-35,E,58.078036105617315,A,187.102917552035,-104.21958924489073,B,C,A,C,B,1
Mexico,36-50,D,165.68444454312734,A,-43.74232006550967,10.295742269769521,B,B,E,C,B,1
Mexico,36-50,E,-34.03663684995581,D,-37.333983756001935,14.361741269686675,E,C,C,D,D,0
UK,36-50,B,-53.95890020586057,D,-19.906076046104594,107.44579304599613,A,D,A,E,A,0
US,18-25,B,74.53352866977744,D,-2.572095784400473,60.1420207345015,D,D,A,D,C,1
US,51-65,C,76.32223086663137,B,-98.20204178662823,90.67434650120532,A,D,E,D,C,1
Other,18-25,D,232.1439465924202,E,-181.30198855454583,-152.4852087748567,D,A,A,A,B,1
Brazil,26-35,D,117.36771994835553,D,-64.738041748296,137.541582616877,C,E,B,C,A,1
US,18-25,C,-58.044381677872956,C,172.5167151202777,-55.33098089067627,D,E,C,C,B,0
Germany,65+,D,138.89409022780976,B,175.17073023802644,113.93101411230634,D,D,B,D,A,1
India,36-50,B,93.99366341345753,A,77.12436080142628,-119.50598118133496,E,E,E,A,E,0
Mexico,36-50,E,55.93043602824377,C,60.170166471909205,-77.59070418060314,B,C,D,A,B,1
UK,36-50,A,15.175938018367027,B,-9.160036675350787,63.449717997330154,E,E,C,C,A,0
US,18-25,C,-223.87323147965205,E,64.49266867721617,179.52338389939197,C,C,D,D,C,0
Other,18-25,E,59.31883714802725,B,-26.934690763847076,60.36065241255761,C,A,E,B,B,1
Other,65+,E,-62.8253619315179,C,-103.73675628606381,38.14029837220072,D,A,C,C,E,0
China,18-25,B,-154.03686069530625,C,-1.2476611913054754,-198.5418710593603,D,A,B,C,D,0
UK,65+,B,47.648938663451,E,-47.16917109161536,160.89133883851053,A,E,A,E,D,0
India,26-35,B,-104.98971578241974,C,-9.405795570378947,66.58525386099346,C,A,E,A,E,1
Other,65+,E,-12.052535590483691,A,-106.3632493017306,138.342563298043,B,D,D,B,D,0
Mexico,65+,E,-71.28098436120241,C,-46.09878189619605,-146.45181661505444,A,B,C,E,A,1
Brazil,18-25,E,-74.76709499369402,E,101.28987488823648,62.6568709796603,B,E,A,E,D,1
India,36-50,E,-52.824025133957676,E,141.22426410166784,-71.72928228237826,E,C,B,C,D,0
