age,disability,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
26,Mental,Other,E,154.90990490242956,C,D,D,0
24,Both,Other,A,119.18348698504195,D,B,D,1
71,No,M,C,22.242798863703065,E,E,E,0
76,Yes,F,A,-87.17944971628553,C,E,C,0
73,Both,Male,B,108.25951158991427,A,A,A,1
39,Physical,Non-binary,B,-28.697824960008383,E,A,A,1
41,Mental,F,C,38.74649380469547,A,D,B,1
38,Yes,Male,A,19.5175020662469,E,A,C,0
66,Both,Non-binary,E,-136.9978225945465,E,A,C,1
43,Mental,F,A,-7.388116113701461,A,B,E,1
79,Mental,F,B,-54.605886010255134,C,B,A,0
36,No,Other,E,11.155386305858423,E,B,A,0
49,None,Non-binary,C,76.21111960189747,D,A,D,0
78,None,Other,D,36.37697368156175,A,E,E,0
27,None,Male,C,10.411332608625418,D,C,C,1
76,No,Male,B,24.426056232955688,E,D,C,1
46,Mental,Female,C,-83.28985580546544,E,D,D,1
28,Physical,Non-binary,C,-69.15035384196577,D,B,A,1
30,Mental,Non-binary,A,-139.8312757341174,C,B,B,0
41,Physical,Female,C,167.66125217837077,E,C,E,0
77,Mental,Other,C,-67.46666015298635,D,C,D,0
23,Physical,Male,C,6.331529994193394,D,E,C,0
47,None,M,B,194.93340514023862,D,E,D,0
26,Yes,Female,E,55.193148111985536,B,E,A,0
60,Yes,Non-binary,A,42.104619829369064,D,D,B,0
51,Both,Other,E,-8.757263285544942,A,A,D,0
30,None,Female,B,122.75676239672033,B,C,C,0
72,Mental,Male,A,-67.57806313829646,E,B,B,0
34,No,M,A,-128.9466637457704,D,C,C,1
19,Physical,Non-binary,B,14.618836327766612,A,E,B,1
57,Physical,Other,D,3.6053574695860195,C,E,A,1
59,Yes,Non-binary,D,-102.63435304342552,B,D,B,0
53,Physical,Male,E,-290.9379795357559,C,C,A,1
22,Yes,Other,A,72.2764817289229,C,C,D,1
48,Both,Male,B,-13.908688902976548,C,B,B,1
63,Yes,Other,C,90.39339891387024,A,B,B,0
36,Physical,Female,E,-169.10015036097988,A,A,D,0
22,Both,M,D,133.21190226301732,B,D,C,1
52,No,Other,C,29.81999029413472,C,B,D,0
41,Yes,Other,A,-28.08815761247585,E,E,D,1
70,Physical,F,A,-166.4047538259011,C,A,E,1
60,None,Non-binary,C,-40.399138084260024,D,B,A,0
66,Both,Male,B,60.44911727892553,D,C,A,0
46,Physical,F,D,-100.6779296834772,D,D,B,0
58,Both,F,C,114.79435130307837,E,C,B,1
62,Yes,Non-binary,D,-209.22326781027616,E,B,A,0
19,None,Female,B,20.196387274556557,B,C,B,1
70,Both,Female,C,97.76885653269882,C,B,C,0
49,Mental,Female,A,-28.94908011819746,A,E,C,1
36,Mental,Other,A,-61.78507830397281,A,C,C,1
29,None,Other,B,171.0614097896814,B,C,C,1
37,Physical,Other,D,86.44377229831977,E,D,E,0
26,Yes,M,E,127.9785753709668,A,A,E,1
41,No,Male,C,12.266872343982781,B,D,A,1
59,None,Female,A,6.122733266631509,C,E,C,1
55,Yes,F,D,75.26686043791851,A,A,E,1
27,Mental,M,B,-56.97068896067309,C,E,D,0
63,Physical,Non-binary,E,-93.84298654854902,E,C,E,0
60,Mental,M,A,125.06931910320904,E,C,E,0
45,None,Other,C,-99.64697786093018,A,D,B,0
32,None,Female,B,13.415327582171699,A,B,E,1
24,Mental,F,A,26.85528903144717,C,B,C,1
18,Both,Other,C,-161.44768244317075,B,B,C,1
34,Physical,F,C,-31.240604900134066,A,D,C,1
28,Yes,Female,B,-64.66058648648914,A,E,D,1
24,Yes,M,B,62.752891450932346,B,D,C,1
43,Mental,M,A,-29.574463055011602,B,D,C,0
39,Physical,Other,C,85.76313363065158,A,C,E,0
38,None,Non-binary,E,16.874797604251253,A,E,D,0
56,No,M,C,-28.978004103610814,C,E,D,1
24,None,Male,E,-36.52520199170013,B,C,D,1
30,Both,Other,A,21.564581198109096,E,A,D,0
66,Mental,Non-binary,E,-41.549790026241126,A,D,A,1
61,No,Non-binary,C,-16.146345202270503,A,C,B,0
66,Yes,Non-binary,D,76.61697958299075,D,A,D,0
30,Physical,M,A,35.86118997821622,E,E,E,1
72,Mental,M,C,104.15168531443794,B,C,D,0
28,None,M,B,-2.507417532418734,C,E,D,0
56,Both,Female,C,-133.8162223301248,A,B,B,0
27,Both,Female,B,-101.478842796177,B,A,A,0
68,Both,M,A,88.90705220800282,C,B,C,1
58,Both,F,C,120.96788195884756,E,E,B,0
28,Mental,Other,C,107.63886312817775,D,D,B,0
42,No,Male,A,-21.219531841503365,A,C,C,0
72,None,Female,E,71.73976640373154,D,D,C,1
70,Yes,M,C,-67.01901758608147,C,A,B,1
77,Mental,Other,D,-51.103771616419394,E,A,D,1
61,No,Male,B,110.77700526409933,C,A,C,1
53,Mental,Male,B,52.197178770037986,B,C,E,1
19,Yes,Female,B,68.68135003658008,B,A,E,1
66,Mental,M,D,62.38315129309794,C,A,E,1
64,Mental,F,C,-35.07428056187553,A,D,D,0
23,No,M,A,61.51342633182977,D,A,E,1
54,Mental,M,E,-78.06508658349328,D,C,B,0
71,Yes,Other,D,-71.37637050241345,A,E,B,0
39,Yes,Female,B,112.45351460186343,B,A,C,1
37,Yes,Male,D,-48.25888871233824,E,A,A,0
77,No,Male,A,68.12765526024745,B,A,E,0
20,Both,Other,A,82.20795334200352,C,B,C,0
24,Both,Female,B,100.475108215152,D,C,B,1
46,None,Female,D,-10.335023129681268,A,C,C,1
21,No,Non-binary,E,-102.54785890897557,C,D,C,0
27,None,F,B,143.85334524114865,B,D,D,1
75,None,Female,E,-5.970494355215623,B,A,E,1
22,None,F,B,-12.27451631976412,A,A,C,1
53,No,Male,C,-13.444049242049427,E,D,D,1
47,None,Female,C,55.87795085723016,E,A,A,1
26,No,Other,C,-0.13947138532305348,B,D,D,1
73,No,Non-binary,B,-27.37920771098496,A,D,C,1
55,Physical,F,A,47.82626203778738,D,D,E,0
21,Physical,Male,B,-52.06641633904111,D,E,B,1
27,No,Non-binary,A,-10.10373256687127,E,A,B,1
44,No,F,E,-30.60534607145367,A,A,A,1
46,Yes,Other,D,106.20258177741559,E,A,D,1
41,Both,Other,D,102.34951826286903,D,D,C,1
48,Mental,Non-binary,E,-49.42574795197771,C,C,B,1
31,None,Non-binary,E,30.69031861128008,A,D,B,1
68,None,M,B,-94.73276112181077,C,D,B,1
29,Mental,Female,D,-23.403202226392533,B,C,B,1
40,Both,M,D,7.3080319068300685,B,D,A,1
19,None,Other,C,-68.31149455492873,C,D,A,1
51,Physical,M,A,-39.34323523060946,B,B,D,1
60,No,Female,B,-27.627177880011367,B,D,C,0
57,Mental,Female,B,-177.67698535020978,B,C,E,1
71,Yes,Other,C,-45.96358469272691,B,E,A,1
50,Mental,F,B,223.15000118567784,B,B,A,1
78,Both,M,A,61.04773698719516,A,A,B,0
46,No,F,D,57.53879217698561,E,D,C,0
79,Both,Female,A,-133.5302223437473,B,A,B,0
35,Physical,Non-binary,B,142.67118984925952,B,D,A,1
54,Physical,F,D,-181.09151426945098,D,B,E,1
20,None,M,C,0.7955620798837224,C,E,E,0
30,No,Female,C,18.413834377653686,C,C,A,1
45,None,Female,A,-180.6672327364376,B,C,E,1
74,Physical,Other,D,19.570138692974286,E,A,A,1
29,Both,Non-binary,D,32.08144148754863,B,E,E,1
53,Physical,Non-binary,A,-16.093059871289526,A,A,B,1
62,None,Female,E,58.9064878114407,C,E,C,1
33,No,F,E,-55.60751352260158,B,E,A,0
73,Yes,Other,D,-197.8539642373464,B,A,E,0
20,Mental,Female,B,52.234118389344744,D,E,D,1
49,Both,Non-binary,D,-25.651967711147293,E,B,A,0
44,Physical,Other,B,66.27783799467339,A,C,E,1
27,Yes,Non-binary,D,70.43962326556623,C,B,C,0
73,Physical,Female,A,-25.362386320628598,D,B,A,0
79,Mental,Other,A,89.2620715081225,D,A,B,0
77,No,Other,D,-151.68775663618365,A,C,B,1
44,None,Male,D,-60.94519737775268,A,E,C,1
69,Physical,Other,A,-22.168509312786725,A,C,A,0
60,No,M,D,-17.516209084790507,D,A,E,0
69,Yes,F,B,15.709478302300012,C,E,D,1
57,None,Female,B,-164.2047941992272,A,E,A,0
74,No,F,A,-21.58305334325622,E,B,E,1
30,Mental,Male,C,212.90304936497688,D,B,E,0
36,Physical,M,A,-27.924292769668114,B,E,E,1
40,Mental,Female,C,-232.7642652538034,E,E,D,1
25,Physical,M,C,146.02990113187073,D,A,C,1
68,Physical,F,B,-27.95390261525672,C,D,D,0
35,Both,F,B,-99.61941132455223,D,A,E,1
62,Physical,F,A,67.0182433017821,B,B,A,0
46,Physical,F,B,111.54152964996162,D,D,E,1
52,No,Female,E,73.18593843692824,D,E,C,1
43,Mental,Female,B,258.4637439618232,D,E,A,0
65,None,Other,E,-41.359002285946794,E,D,E,0
32,Both,M,A,206.65817941476044,C,A,E,1
50,Physical,M,E,-63.189978295525236,E,B,D,0
21,Both,Other,E,-73.09667441419921,A,D,B,0
73,None,Other,B,-100.1317515224671,B,B,A,0
30,Yes,Male,A,-91.82416595730128,A,A,B,1
26,Both,M,E,-31.124390635766,A,E,B,1
37,No,Female,C,65.44442521430217,B,A,B,1
38,No,Female,E,-27.923151668771872,E,A,E,0
38,Both,Non-binary,A,-39.5353458471696,E,E,C,0
69,Both,Non-binary,E,-17.186072744571987,D,C,A,1
34,None,M,A,-104.94489802567668,B,B,D,1
77,No,M,B,-8.633796596036163,E,A,E,1
29,Yes,Non-binary,B,-1.9612053364889372,E,C,C,0
24,None,Non-binary,C,193.35837228826543,C,E,E,1
43,Physical,Male,A,13.243528416587887,B,E,C,0
24,Yes,Other,A,-24.322604366220887,A,C,B,0
55,Physical,Non-binary,C,-15.611110038955303,B,E,D,0
63,Yes,F,A,-16.312054325977073,B,B,E,0
62,Mental,M,B,80.2413319900915,D,C,E,1
58,Both,Male,B,-53.10681951499841,A,E,C,1
76,Both,Other,C,-26.746403481544316,D,B,E,0
55,Mental,F,D,174.53312269959505,A,A,D,0
35,Both,Male,B,28.675873284302956,A,C,A,1
52,None,F,B,6.654847279528793,C,B,D,0
48,None,M,D,99.84014517492056,B,E,C,1
73,No,F,B,-166.37628577429007,C,A,A,1
36,None,Male,C,48.23832401166596,E,C,C,1
66,No,Female,C,-20.5980586021824,D,B,B,1
71,No,F,E,31.157948608490184,D,A,C,1
65,Physical,F,C,63.32272815963484,D,B,A,0
40,Yes,M,D,18.310543209412316,D,B,B,0
74,No,Non-binary,D,-36.476169914302794,B,C,A,0
29,Mental,F,B,87.13590166061819,B,C,E,0
78,None,Other,E,53.6331979436432,C,E,C,1
54,No,Female,C,87.21344354314478,C,C,A,0
44,Mental,Non-binary,A,125.84722480846003,D,C,B,1
49,No,Non-binary,C,130.68178585425687,B,C,C,1
79,Yes,Non-binary,D,-18.109446804508142,E,D,E,1
35,No,F,C,106.79697917057828,A,E,C,0
68,Yes,Other,A,-101.70964974975728,D,C,E,1
44,Both,F,C,47.03058879002333,A,B,A,1
57,Yes,M,C,-11.275835358604503,C,A,C,1
42,Physical,Other,A,-54.87555954105444,A,C,C,0
54,Both,Non-binary,B,-16.642499336811156,C,E,D,0
36,Both,Non-binary,A,-48.81521609304416,C,D,E,0
68,None,M,A,-9.36742074344096,B,B,C,0
56,Mental,Female,C,91.54294265367251,B,C,E,0
21,None,Non-binary,A,-137.52075153376398,A,C,B,1
63,Both,Non-binary,E,-148.87966608426908,E,C,C,1
44,Both,Non-binary,A,-89.16110878430685,C,C,C,0
76,None,Male,D,5.439907752521991,D,A,B,1
26,Yes,Female,D,-35.32677943711,E,E,A,1
26,Physical,Male,C,-0.3622408956104732,C,E,E,0
41,No,Female,B,214.58778332888016,A,B,A,0
48,Physical,M,A,-95.10314776354608,A,E,C,1
20,No,M,C,-115.32041315323957,B,D,D,0
61,No,Other,B,-232.03009418286635,A,D,D,1
70,Both,Other,A,33.28882216362834,D,B,C,1
51,No,Female,A,36.90465536740782,B,D,D,0
28,Both,Female,C,127.61694424010281,C,B,E,1
19,No,M,A,-113.01072834115469,C,E,D,1
75,None,Female,D,39.99317668555894,E,E,D,1
51,Both,Non-binary,D,60.04467679361496,E,D,E,1
56,Physical,M,E,-67.27479196254832,C,D,C,1
26,No,Male,B,-52.16624199945093,B,B,D,0
51,Yes,Non-binary,B,5.925929472479602,C,D,E,0
40,None,Female,C,199.60954510683666,E,E,A,1
66,Yes,Female,B,-62.42415209281433,C,E,C,0
59,No,Male,C,-192.21029402299504,E,C,D,1
28,Both,Non-binary,A,-13.07077597066998,C,E,E,1
19,None,M,C,85.66238241249961,B,B,D,1
41,Mental,Other,E,-87.27863479249562,E,D,E,1
46,Both,Male,D,-89.79409908874064,C,B,C,1
57,Both,Female,C,-44.3753727564021,C,B,A,0
70,Both,M,B,7.183825393693809,B,C,A,0
70,Yes,F,A,-31.360256232449103,E,B,E,0
43,None,Female,B,-184.6566477307895,D,E,C,0
77,None,Male,A,-0.6942747231545022,A,D,A,1
45,Both,Other,D,-7.343231998372242,D,B,E,1
76,No,F,D,108.75936817081246,D,C,A,1
47,Yes,Non-binary,E,-135.33542315687072,A,E,B,0
72,No,Non-binary,B,224.93382673891583,B,E,A,0
72,None,Other,C,-90.36998980080897,E,B,A,0
50,None,M,B,17.60767084088045,D,E,B,1
69,Mental,M,C,-138.4914494539018,B,A,B,1
38,Mental,Other,A,-9.929905903132012,E,C,D,1
25,Physical,Non-binary,C,-103.63094492687462,B,B,A,1
69,Physical,M,B,-170.19943029829452,B,C,B,1
38,No,Female,D,134.4632885446778,C,A,C,1
74,No,Female,C,84.68875617301237,E,D,B,0
28,None,Other,D,-10.14105491976632,D,C,A,0
63,Mental,Female,D,-86.63936695930057,B,A,D,1
55,None,F,A,-107.12375970504797,C,D,D,0
63,Both,Male,E,48.454019693080944,C,D,D,0
47,Yes,Other,E,15.31036360832816,E,C,D,1
56,None,Non-binary,E,4.040477744099739,A,B,C,1
59,Yes,F,D,2.856806355746707,B,B,C,1
42,Both,M,C,-195.75647660157523,D,E,C,1
79,Mental,F,A,-79.50889617231134,B,A,A,1
27,No,M,C,-4.050274474942083,C,A,E,1
49,No,Other,E,-7.0159742694314575,D,B,A,1
55,None,Female,D,-30.617219471071305,E,C,E,1
53,Physical,Other,E,-45.4870526652575,B,E,B,0
72,Physical,Female,B,-161.61417184920498,C,A,D,1
32,Mental,Other,C,194.94945360678653,A,C,A,1
43,Yes,M,E,178.64713179711106,A,A,D,0
41,Mental,M,D,-76.5302694881783,B,A,B,1
52,No,Other,D,5.2605444878303675,D,A,D,0
79,Mental,Non-binary,C,35.69070594197639,A,E,B,0
36,Physical,Female,C,39.14584034917482,A,D,E,1
51,Yes,Non-binary,E,-97.21730410058312,A,D,D,1
45,Mental,Female,C,57.710176433362406,A,B,A,0
45,No,Female,A,-60.076961474668934,E,D,E,1
39,No,Male,B,93.03051822646852,A,A,B,0
33,None,Female,B,23.42927150585755,C,D,E,1
64,None,M,D,87.97059892510552,A,A,C,1
36,Physical,M,E,-15.97530912263495,D,E,E,0
29,None,Female,E,-162.02491813578118,C,B,A,1
21,No,M,B,103.20398108305673,D,B,A,1
58,Mental,Male,A,-58.57297828108933,E,D,C,0
18,Physical,Non-binary,E,-59.761358550916675,D,C,E,0
26,None,F,E,-85.3689889671267,B,E,A,1
39,Yes,Other,B,42.51248508384891,D,C,D,0
71,Both,Female,D,27.493084833642122,D,C,C,0
74,Yes,Female,E,-78.91588915709602,E,E,A,0
33,No,Other,E,78.66954235809727,D,D,D,0
49,No,Male,C,-111.11838037594862,D,E,B,1
47,None,Female,E,80.44529190285155,B,E,B,1
33,None,Female,E,-0.729043988713191,C,E,B,1
30,None,Male,A,2.8235830801871526,B,B,E,0
45,Both,Male,A,47.724015626261036,B,C,E,1
46,None,M,E,259.95442994759605,B,C,B,0
61,Mental,Other,C,125.75632093667136,E,D,A,0
29,None,Non-binary,A,-34.89902650813853,C,E,E,0
24,No,Female,A,-24.187641149046378,C,B,D,0
70,Physical,Other,A,132.8892394914096,C,B,E,1
23,Yes,Male,C,-208.0152348915982,A,D,B,1
35,None,M,C,-11.661555164455978,E,E,D,0
18,Both,M,D,3.43341124054555,E,D,B,0
20,No,Non-binary,E,-42.371017438371865,E,A,E,0
35,Physical,Non-binary,C,56.99495506514651,B,C,B,1
53,Both,Male,E,-1.7901696314088364,B,E,A,0
30,Both,M,B,-120.74274930603733,E,B,E,1
39,Yes,Non-binary,A,-71.41148725787309,D,E,D,0
69,No,Non-binary,E,96.2804896567532,E,E,A,1
69,No,Male,B,71.7652874223927,B,D,C,1
36,Both,M,C,17.416198092537496,E,E,A,1
44,Yes,M,B,-46.53281347586062,E,D,C,1
35,No,Female,B,138.69701252136016,B,B,D,1
41,None,F,E,17.00951504342249,A,C,C,0
26,Mental,M,E,-170.53209053571436,E,C,C,0
74,None,Female,E,-58.395671066007104,D,E,A,0
74,Physical,Non-binary,E,-99.46238169236817,B,D,E,0
45,Physical,Male,D,-146.06472189682353,D,B,A,1
72,Mental,Male,D,60.71617046545895,E,E,B,1
18,No,Male,B,105.32849617087683,D,E,E,1
37,Both,M,D,75.73039357418708,D,D,A,1
30,Physical,Male,C,181.95514564889672,C,E,E,0
47,Yes,Female,E,64.59993431164341,B,B,E,0
48,Yes,Non-binary,E,-17.14126163103736,C,A,E,0
75,No,F,D,164.53989416447365,D,A,B,0
54,Both,M,B,-108.84864851330893,B,B,B,0
50,None,Female,D,33.48590570014017,D,D,D,1
18,Physical,Other,B,-38.092445835930015,D,E,A,0
72,Yes,Male,E,-28.902139620681076,C,A,E,1
25,Mental,F,C,-40.32531365632525,E,A,D,0
64,Both,F,D,-198.1659824351629,A,C,D,0
57,Both,M,C,-132.44799347054249,D,D,A,0
39,None,F,E,-229.57025001742096,D,C,D,0
71,Both,Male,D,-195.38480925780922,A,C,A,1
74,Yes,F,C,-28.129690876790676,D,A,C,1
53,Both,Female,A,-16.561526266298394,C,C,A,1
74,Both,Non-binary,C,-29.208018016442665,B,A,E,0
38,Yes,Non-binary,E,-24.670159843436593,D,C,C,1
51,Physical,F,C,35.89172326134681,D,C,C,1
49,Both,Male,D,23.499639131806422,A,E,C,1
25,Mental,M,A,90.43641483802404,D,D,A,0
55,None,M,A,34.930170486157415,B,A,C,1
61,Yes,F,D,62.55944591586504,A,E,C,1
73,None,Female,B,107.13328964160192,D,C,E,1
18,Mental,M,A,17.274253997001285,B,E,C,1
66,Mental,Other,A,-200.93031768689679,E,A,D,0
71,Both,M,A,-131.28859950593952,A,D,D,1
43,None,Female,A,24.93784217285522,D,A,D,1
31,No,Female,E,51.74268220528949,E,E,E,1
38,None,Non-binary,B,-12.739407236875422,E,A,E,1
77,Mental,Other,D,13.881340466738202,A,E,C,0
78,Both,Non-binary,A,7.7440853046700715,B,E,D,1
44,Yes,F,D,79.21551836033048,B,B,C,0
37,No,Non-binary,D,-6.6631549175043405,A,E,D,1
27,Physical,Non-binary,B,-46.84430585424838,A,E,A,0
31,No,Non-binary,E,53.1635851529289,E,B,B,0
42,Mental,M,C,70.21401945236398,E,E,A,0
35,None,Female,B,-88.43389444297645,D,E,E,0
64,Physical,F,C,41.59155757026177,E,E,C,0
39,Mental,Male,E,107.47159674764379,D,C,B,0
54,Mental,Male,A,97.56218387491334,C,A,C,0
48,No,Female,D,85.99193785649712,C,E,B,0
52,Both,Male,B,30.560483383547805,E,E,B,0
40,Physical,M,C,20.07519924858184,E,E,C,1
53,None,Male,E,156.0720676016312,D,E,D,1
43,Yes,Non-binary,D,-54.70408875204713,B,D,A,1
39,Yes,F,A,-93.26120880095927,A,E,A,0
51,Both,M,B,52.21998827028991,D,C,B,0
76,Physical,Non-binary,E,-115.3857979541365,A,C,B,0
53,Mental,Male,C,-88.67875961911174,E,D,B,0
72,Physical,Male,D,-65.34065380160293,A,B,A,0
47,Both,F,A,-102.02020899492845,B,D,E,1
52,Yes,F,E,-9.962919534773208,B,E,E,0
63,No,Other,E,78.7712386630282,B,E,B,0
72,None,F,E,-19.481376873374213,E,D,B,1
76,No,F,A,-2.037580149256431,E,B,A,0
50,None,Other,E,4.644002411553677,D,E,E,0
19,Both,Female,D,45.306140802007974,A,C,B,1
50,Physical,Non-binary,B,215.19857943005704,B,D,A,0
24,Physical,Other,A,35.38128514016213,E,C,C,0
51,Both,Other,A,8.141662315333855,D,A,E,1
25,Physical,F,C,33.45791565288231,E,E,D,0
61,None,Male,C,-29.551075973207162,D,A,D,0
63,Mental,M,E,135.49860933006286,C,D,A,1
78,Both,M,B,-7.779399525666808,A,C,B,1
57,Both,Other,C,-94.15730404214374,C,A,D,0
58,Both,F,E,3.4401601501788717,A,D,E,0
39,Mental,Non-binary,D,-58.68141168712591,D,A,E,1
23,No,Other,B,98.91055588745944,E,D,B,1
78,Mental,Other,B,82.64736594743016,D,B,B,1
48,Yes,Male,D,100.33127353544671,A,A,E,1
48,Physical,Other,E,4.317582146280635,A,C,C,1
56,Physical,Non-binary,C,-153.39688811960494,B,C,D,1
41,Physical,F,C,3.2566666245902676,C,D,D,1
21,None,Female,A,111.68265293509879,B,C,A,0
77,None,F,C,-37.8974381529215,C,B,A,0
78,No,Non-binary,D,26.544877087024616,C,B,E,0
33,Physical,Male,D,29.25102708665287,C,D,A,1
63,Physical,Non-binary,E,38.02267761731066,B,A,D,0
52,Mental,Male,A,-48.2779602712541,E,A,D,0
60,None,Male,B,258.97400364458747,A,C,B,1
38,No,Female,E,-19.337050381534006,E,D,C,1
34,Mental,Non-binary,E,-123.18298366628737,E,A,E,0
39,None,Other,A,93.77541412951928,D,E,A,1
37,Both,Non-binary,B,-59.415955352874605,C,D,D,0
46,No,M,B,43.75113081479583,B,E,D,0
27,None,Female,D,-28.256879233249116,B,B,A,0
73,Both,Male,B,65.13753908766967,E,A,B,1
45,Mental,Female,B,-159.23176625552526,E,C,A,1
70,Physical,F,E,8.132802036767862,B,C,B,0
26,Mental,M,C,101.05459861765628,B,C,A,0
53,Both,M,E,-28.18639264012112,B,A,C,0
64,None,Other,D,156.6658846750024,C,D,D,1
73,None,Non-binary,A,84.3691882532313,A,D,B,0
36,Mental,Other,B,73.08542716559688,D,A,E,0
52,No,M,E,-47.279649568290964,E,C,B,0
49,Yes,M,A,-89.58331599271048,B,A,D,0
71,Physical,M,C,-16.710518365585706,C,D,D,0
74,Mental,Female,D,18.52338586124424,C,A,E,0
61,None,Male,B,-36.417638379935354,B,C,A,0
52,No,Non-binary,D,109.9059978460063,D,D,E,0
54,Both,F,E,51.70871097969646,D,E,E,0
43,Mental,Female,D,55.68307978480309,E,A,D,1
62,No,Other,E,-18.1404886649636,C,E,A,1
70,Physical,Other,C,95.5304263462888,B,A,B,1
68,None,M,A,82.70013261526492,D,D,E,1
57,Mental,Other,C,-75.53835380064403,E,A,C,1
45,Physical,Male,A,8.238258501026486,B,A,D,0
72,Physical,Female,C,57.31196680288946,E,E,E,0
76,None,Male,D,151.14427185271063,E,A,A,0
60,Physical,M,C,116.23759329771521,A,B,D,1
40,None,Male,D,146.97954680902603,E,B,A,1
62,Yes,M,D,-23.846012537340755,D,E,A,1
61,Physical,Non-binary,C,-98.3660325602934,C,C,E,0
77,Mental,Female,D,-42.42898199690668,E,E,C,1
42,Mental,Female,A,193.41232842491718,E,A,D,0
63,No,M,A,145.2039438273329,B,C,C,1
