Veteran,Disability,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
Veteran,Physical,51-65,A,B,145.71192165198593,-8.694373356674774,-106.89293298388709,0
Yes,Yes,51-65,E,B,89.72285130918235,-177.83075904638002,48.10469340135617,0
Non-Veteran,Both,51-65,A,D,77.31487660945693,-88.5683128314483,-44.25174149450966,0
No,Physical,51-65,C,B,12.727508657397147,36.8385398304666,-175.57729109339854,0
Veteran,Yes,36-50,C,E,42.438071587562256,78.2748359989098,-225.25348983837947,0
Non-Veteran,Both,65+,C,D,23.566872771688615,-158.6140303304509,-27.383188504693972,1
Non-Veteran,Mental,65+,E,B,-28.7007058084845,-62.26314438276,-37.358188930228835,1
Non-Veteran,Physical,18-25,E,A,37.33493719955876,27.29942347134638,-42.0719236964729,0
Veteran,Both,65+,C,C,-114.34291792780797,2.061567011775793,87.76890735827993,0
No,Both,51-65,E,D,190.4511945547735,66.45119646965243,32.46401004549559,1
Veteran,None,26-35,A,E,-61.291753408408354,128.30428629239336,91.87691402065049,0
Yes,Both,18-25,D,E,-31.565409734027988,46.78938977997768,-114.60142671200451,1
No,Yes,26-35,D,B,-49.97307681467132,26.31408752196112,-33.98191004895117,0
No,Both,26-35,C,E,-27.929931665044975,36.37833819441848,-104.53095891518618,1
Non-Veteran,Mental,26-35,C,A,77.91192479763502,-47.17837362151825,6.229460933171225,0
Non-Veteran,Mental,51-65,D,B,-192.91934106676686,137.28751601910855,-14.096030545016,1
Veteran,Both,18-25,B,E,46.3384714615838,50.77430565295541,-46.19815906289206,1
Veteran,No,51-65,D,D,-73.99397446189224,152.46759274460743,37.78135933647032,1
Yes,None,18-25,E,A,95.31408257100559,36.371183876536314,28.471247754302496,1
Yes,Both,36-50,A,B,11.743681332417998,102.71817221421647,-84.45586308470634,0
Yes,Physical,36-50,E,B,168.86626036312535,147.26652456536902,19.60773795245785,0
Non-Veteran,Mental,18-25,C,E,-56.06147079648388,-7.96690504628075,8.78745008964105,0
Veteran,Yes,36-50,E,D,-66.23413153995472,-7.900093200547426,-22.61228140052917,0
Veteran,Both,36-50,A,E,-170.34644910760196,-60.341778923185785,-158.20912013188783,1
Veteran,Mental,51-65,C,B,-72.43047738590175,74.62817127457281,-20.6438537724346,1
Veteran,Yes,18-25,D,C,43.53239524065186,36.12254306928581,-94.89172249480504,1
Non-Veteran,Mental,51-65,E,D,-36.833862824489934,-53.07880508374916,77.82665854275187,1
Veteran,No,36-50,A,D,85.39677521619575,-144.5437574970669,15.649262359297527,1
Non-Veteran,Both,18-25,A,A,-76.33180620960643,113.92770869291382,144.60173119578167,1
No,Both,26-35,B,C,-141.39707657065745,21.81494312913525,55.06723404943571,0
Non-Veteran,None,65+,A,B,71.1442980262181,-19.969579947194276,41.302881754905584,0
Veteran,Mental,18-25,D,C,80.86689960952185,24.528501848687796,-47.78556660338152,1
Veteran,Yes,36-50,D,E,42.4078036154127,-250.00588727683996,-94.67306595789026,1
Veteran,Physical,26-35,E,E,-6.2843242721144,38.686494227796274,-94.81893548034496,0
Non-Veteran,Physical,65+,E,E,-78.06383520974498,-73.73088569537568,58.01219271336379,1
Non-Veteran,Mental,18-25,E,C,-164.61331139569026,-83.1953747904005,-77.33083363421535,0
No,Physical,36-50,E,D,114.07825884909259,-2.192952198122037,119.57431213395078,1
No,Mental,26-35,B,D,-5.271730496531378,49.14563610892025,-0.23743129750376804,1
Non-Veteran,Yes,18-25,B,C,49.44560374925759,107.85135136538419,-158.79278108362024,0
Non-Veteran,None,18-25,B,E,-53.81763636885813,2.9285076548601885,8.77852458985303,0
Yes,Physical,65+,C,C,-22.597138400764344,-126.03588946164135,182.4596121113327,0
Non-Veteran,No,18-25,A,C,-145.91185134498414,30.934660623105977,-274.97971392451365,1
Veteran,No,36-50,D,D,113.25533226382105,-29.13665305905497,40.04635617989603,1
Veteran,Physical,65+,A,A,207.2851585065732,-65.44038723649462,-12.748398367450584,0
Veteran,Both,51-65,B,A,147.59061587904955,43.598217973399414,38.396560286306666,0
Yes,Yes,51-65,E,E,-38.250207224245884,-6.057753619330496,-119.75871456647205,1
Yes,Physical,36-50,D,A,-72.33183603705979,-14.984522540912979,48.225558412674665,1
Yes,Mental,65+,C,A,11.86070824970046,-39.01208198676432,115.20615926208583,1
No,None,26-35,B,C,-50.16439633554251,232.02139199094614,137.14960571311173,1
Veteran,Yes,18-25,C,A,111.16953179982796,-25.008101905253042,215.0076572412905,0
Veteran,Both,26-35,C,D,5.511899548671293,1.5061276995931951,-60.854231477948495,1
Veteran,None,65+,E,A,23.944645612179958,55.39924276395496,-18.09081645720443,0
No,Yes,65+,E,D,-2.6547659114495628,-22.492241930726355,146.5783769064575,0
No,Both,51-65,E,E,-172.83240533307554,-92.15717338763268,-46.73778388270254,0
Veteran,Mental,26-35,D,B,-77.39396004152212,-13.227669194702841,30.399293543013368,1
No,Both,51-65,B,D,92.42378006556837,186.85155709016058,89.76115365976793,1
Veteran,No,26-35,E,B,2.1192584314616436,-64.632921488649,97.00354088215185,0
Veteran,No,18-25,E,A,176.2722794508672,-44.25327459782344,95.06421140123844,0
Veteran,None,26-35,B,D,-14.37169313220278,-174.15117495090476,-87.90208129750955,1
Veteran,None,18-25,A,D,-17.36582459440827,90.1894492814913,73.10910101484606,0
Non-Veteran,Mental,51-65,E,E,5.832617935935936,-218.8786630153833,45.40844309270541,0
Veteran,None,26-35,A,A,109.00160763631439,-17.140199752850613,-173.98093735945702,1
No,Both,36-50,A,C,-18.897656528753878,-199.91326041449292,-43.114836514235456,0
Yes,Physical,51-65,E,E,206.98972854239958,29.647421618683783,-63.87259959223702,1
Yes,None,18-25,D,D,17.902150386229394,37.08465644338647,-7.5055890420436615,1
Yes,Mental,26-35,D,B,25.102909833312754,35.81879943137024,45.99314225373629,1
Yes,Physical,65+,C,A,-65.79281667348641,-11.126905541758362,-139.66526950724364,1
Non-Veteran,Yes,18-25,E,B,-41.06006933180902,-29.28204177460595,79.73553719693459,0
Yes,No,36-50,B,A,-10.348480939201744,-0.5596582096469049,-58.85812805965745,1
Non-Veteran,No,65+,E,B,7.048443137096741,-79.07306578676175,-18.120204445931996,1
Non-Veteran,Yes,36-50,B,C,-109.74289794070987,-88.5451795477652,-131.4487038493613,1
Veteran,No,51-65,C,D,173.7555018029268,55.486009906884206,214.56264830145497,1
Veteran,Physical,26-35,E,A,37.03162879335182,-5.891971191344498,-1.6180233374763893,1
Yes,Yes,36-50,A,E,13.924012541405892,82.20593225990068,26.447034171499475,0
Yes,No,36-50,D,D,120.38060503743542,-60.827569354966336,1.9979622963443355,1
Non-Veteran,Mental,65+,D,C,52.17531223432663,-6.76085406220097,-200.9217113044425,1
Veteran,Physical,51-65,A,E,-141.1118217194336,-73.08618366634046,91.41766237890468,1
Yes,None,36-50,E,A,-23.528399116007662,-17.60396005431348,53.64917196535885,0
Non-Veteran,Yes,51-65,D,E,-10.271338829561987,-34.79289609233597,-121.86127860902198,0
No,Physical,65+,B,D,30.217138641833085,151.30550561753228,-92.64929739579713,1
Yes,Both,36-50,E,E,-120.78687413757532,-235.70473062354972,-161.43159914690082,0
Veteran,Mental,18-25,E,D,23.30032304184537,-35.10979258530133,-38.049463170840255,0
Veteran,None,18-25,B,B,147.36215340810034,89.2124113306245,-45.95745520480898,1
Non-Veteran,Physical,36-50,D,D,144.29385871854896,82.73633578083903,-62.001664478651485,1
No,None,65+,B,D,22.223613983030134,105.07554963889025,-35.989601689448655,1
No,Mental,65+,A,B,-91.61340363513358,37.92979966340273,-46.821041062204834,0
Yes,Yes,65+,C,B,15.79864915685318,144.8039968121737,-164.89057597139401,0
Yes,No,65+,A,A,107.02114460883017,-109.37380818796247,22.651165777100903,0
Yes,Physical,26-35,D,C,104.19265203353973,9.533434506066753,77.19437045572464,1
Veteran,Yes,18-25,C,E,69.60708907816125,-57.48209694920045,-79.89289272801525,1
Veteran,None,51-65,C,E,-8.066647993895186,43.38427189400299,101.24797178608094,1
Yes,Mental,26-35,A,C,111.2826577187051,107.65687427388883,168.48948240121416,0
Non-Veteran,Yes,51-65,D,B,-116.77598039957556,-93.76043333250854,-57.59770608400861,0
No,No,26-35,B,E,-166.34619888513262,-16.886629194994963,71.60515094999,0
Yes,None,65+,C,E,-211.89197865862903,-4.2611343034935345,294.74571021904643,0
Yes,Yes,18-25,D,E,-17.879086022505028,63.99004359804453,-34.72844714261285,1
Veteran,No,36-50,C,B,-146.95825042202665,-214.3851745037713,-37.64781439232344,1
Veteran,Yes,36-50,A,A,71.19161238743675,-111.42446542356753,-81.64618965458,1
No,Mental,36-50,B,D,-91.09775279509626,-25.927860848793046,-36.95284641101761,0
Yes,Physical,18-25,B,E,-57.861425351004044,-87.44350332987655,102.1889789125916,0
Veteran,None,26-35,D,A,-2.5313959543166917,130.088136519061,-8.799691594197935,0
No,Yes,18-25,C,E,181.9009827918645,0.7688961707117218,42.87934339135545,0
Yes,None,65+,B,C,25.26441681574672,-149.35663121403056,-52.41829906661025,1
Yes,Physical,65+,B,B,-9.964814658490482,201.8057532799326,-128.36844963155255,1
Veteran,Physical,26-35,B,D,-1.1667763295222697,0.30526364598751227,164.12101674850663,1
Yes,Mental,51-65,A,C,-173.59694672972674,-113.73846364659428,67.10269204991907,0
No,Physical,51-65,E,D,-162.10361058890862,-108.02677716885509,64.19976769552915,0
Yes,None,26-35,A,D,-19.09344665123408,-163.32636376982694,160.69276806421507,0
No,No,51-65,C,D,-178.41509810143214,-29.94666908206885,-154.51612430894158,0
No,None,65+,D,E,217.13244355640006,44.87873703500409,-26.794861413735795,0
Non-Veteran,Yes,26-35,A,E,-179.73827396973775,19.184421872946043,-13.96208568203003,0
Veteran,Both,18-25,B,D,-113.68556548238485,13.62184385967892,47.32926502025715,0
Veteran,No,36-50,D,C,-18.61439840528233,45.50868519978694,142.66970893245235,0
Yes,No,65+,E,A,149.48775765518093,-51.62851344081202,-30.64607511613955,0
Non-Veteran,None,26-35,C,E,122.51359969309227,100.62547253219556,-15.366830769828255,0
Non-Veteran,Physical,36-50,E,E,54.829342481572816,46.117196306187466,-58.419081014859216,1
Non-Veteran,Physical,18-25,B,A,0.10994114796372628,-40.96883260264373,6.33986834467013,1
Yes,Mental,26-35,D,E,46.25106809579896,35.69408964568447,-192.82622091895988,0
Yes,Physical,36-50,A,C,-34.6868383000509,24.463851178226907,-6.995150019039103,1
Veteran,None,65+,E,A,34.85970653786731,-101.91373533810813,4.691071594899432,0
No,Physical,26-35,E,B,156.96387171104206,62.401271482249875,-76.60169417450737,1
Non-Veteran,Yes,36-50,B,C,-84.22317937755096,-40.03456011960142,-108.03853815704905,0
Non-Veteran,Both,18-25,A,C,6.776071329699462,-90.34585650257429,59.03520936429862,0
No,Physical,26-35,B,A,-77.3916026886046,87.53030776291962,51.53200318261548,0
Non-Veteran,Mental,36-50,A,C,102.39426970786847,55.04197566057321,-33.943471623030824,0
Non-Veteran,Both,51-65,B,D,92.32284086660727,-110.37931792450881,-0.8125496065221289,0
Non-Veteran,No,65+,D,E,96.30198082264721,-64.51200156188489,-55.44967767995057,0
Veteran,Yes,26-35,D,B,-5.109297061033547,73.67410824339812,-32.916983040898856,1
Non-Veteran,No,36-50,D,E,-51.47288650098015,-184.11390917219668,-1.1500405093007835,0
Veteran,None,18-25,D,B,-62.061450176470245,21.364616829850412,-15.35569530923627,1
No,Both,36-50,E,D,29.902987571936162,126.65023077599935,-82.9658388010881,1
Yes,Yes,65+,E,B,51.608038888231064,-22.193494965472972,96.56610146321528,1
Yes,No,65+,A,B,-63.79975069378545,65.70663887583696,23.86588280308809,1
No,Both,65+,C,C,-38.5962327641167,29.022663178563405,20.732025831722563,1
No,No,51-65,D,C,-0.9811329103199157,-94.22417000845095,7.920580259628165,0
Non-Veteran,Physical,51-65,E,E,88.34933047172717,-44.39299637143462,194.50910776262484,0
Non-Veteran,No,26-35,D,E,-9.283892762141054,95.00208610949305,-70.20063113998785,0
Veteran,Physical,65+,B,D,126.95012902723732,60.484990117353654,-28.29971509465562,0
Yes,None,26-35,C,A,142.29911797693026,-58.684571851941044,247.20879698162764,1
Non-Veteran,Yes,18-25,B,E,-93.23585846184977,66.53893768207715,-111.07358609269194,1
No,None,26-35,C,E,-33.27068226948969,35.8733387428348,67.1847671697627,1
Veteran,Physical,36-50,E,E,-178.57002311687978,111.81873959481588,63.25077053946963,1
No,Both,26-35,E,B,12.184343494677394,-78.94589454068466,324.5656093765965,0
Veteran,Both,18-25,B,D,-28.69261489497813,49.38364427207786,226.40369617539795,0
Non-Veteran,No,51-65,D,D,128.89710465648412,19.435322314083095,2.48186099436217,1
Non-Veteran,None,65+,A,E,52.2252694170915,-54.296472854614834,160.2603237617488,1
No,Both,18-25,E,A,-94.17116529104584,73.9915250938685,-25.08898812602881,1
Non-Veteran,None,65+,B,B,-51.49512557762033,-2.7573246085186076,-44.22875106262176,1
Veteran,No,18-25,A,D,-110.93869105906246,55.63728671050923,-40.26642191410214,1
Non-Veteran,No,18-25,D,E,-26.870169031141895,50.587415158444195,73.7727377416038,1
No,No,36-50,A,B,-21.292762323247242,145.3303259337988,71.16108087236124,1
Yes,Yes,65+,E,A,129.02684001454736,-136.9827783690966,-69.39322235897609,0
Non-Veteran,None,36-50,C,C,-89.4287127408809,98.3969270219362,-5.757086806126646,1
No,Yes,18-25,E,B,-137.39675375084056,112.94927957054468,-71.0719205089346,0
No,Both,36-50,C,C,-148.7767501595575,176.11014448699666,107.22634588172912,0
Yes,Physical,26-35,E,A,39.3621029289265,-18.975229710286534,114.90618241578045,1
Veteran,Physical,18-25,E,D,58.68905851193744,-21.37895697160898,-52.53674126042045,1
Yes,Both,18-25,A,E,-169.29765931128446,-29.400434365657844,-31.14470150108551,1
Non-Veteran,None,18-25,D,B,-73.06826381766054,-47.9131745104643,-131.5938906135171,1
Yes,No,36-50,B,A,-10.730421923262332,118.63909952613253,-46.19724795686278,0
No,Physical,18-25,E,D,-153.83036799869737,42.48259553898167,140.07677279245712,1
Non-Veteran,Mental,65+,B,E,56.65964030131276,-56.16888475263677,172.33762543791562,1
Non-Veteran,Physical,18-25,B,C,-92.4211070428462,-8.037610014018123,-64.64649858610689,0
Veteran,None,26-35,E,A,14.000952158873703,9.596613567911952,-183.73418082385186,0
Yes,No,51-65,A,E,81.10580063646357,44.723133741654586,-46.79838876594318,1
No,Mental,36-50,E,A,-116.34725205436152,-150.09138947573638,3.487985169104381,0
No,Yes,51-65,D,C,150.40782613763702,-65.54711477630003,-36.459980566210476,0
Non-Veteran,Physical,65+,E,C,104.57181822218364,269.693785494661,-47.282601039905195,0
No,No,36-50,B,B,157.37319937021087,-3.891008192330486,-38.0868661350895,0
No,Mental,36-50,D,A,29.06462614276606,35.71065603951116,18.909737914593887,0
Veteran,Yes,26-35,B,A,29.330356003956826,-56.48173998999104,-88.7524533625502,0
Yes,None,51-65,C,B,-91.18956180684009,-98.83015454532887,-41.7628733437827,1
Veteran,No,51-65,E,D,-130.05215043723834,41.59681824774142,-57.12782245136291,0
No,Both,36-50,A,E,-55.939534726370866,-36.855870148797194,-33.58842269257736,0
Veteran,Both,26-35,A,C,-63.07359577738391,-57.3278911505693,-101.0448265582218,1
Non-Veteran,Both,26-35,A,D,-34.055998000679075,2.8667385548790043,188.2576077551164,0
No,No,65+,A,E,-42.63120068913094,-33.621977667775546,90.84328966566203,0
Veteran,Mental,26-35,C,E,72.6722375652092,-11.54966147752131,-94.96679499715964,1
Non-Veteran,Physical,51-65,D,A,31.484193861145716,-8.104085820710113,169.23723967900688,1
Yes,Yes,36-50,B,E,122.83625186240059,-19.391585608950468,-5.478269963074835,0
Non-Veteran,Yes,65+,A,D,-58.474311429906614,70.8569245741879,-0.5114465810358354,1
Non-Veteran,Physical,36-50,E,D,-3.380327898551632,198.78468786638152,150.6971683564815,1
Veteran,Mental,26-35,B,B,3.365352174301245,51.30004250307759,-1.5907976804250632,1
Veteran,Both,65+,D,D,-34.55939345359245,-37.27683020963916,6.0097511426278665,1
No,Mental,36-50,E,B,-63.40153707206444,27.127101277561373,-187.3527199163496,1
Non-Veteran,Yes,51-65,E,D,-16.402476350803237,-109.93397503772084,22.249396517250972,1
No,Yes,65+,C,B,132.3220115316451,15.163839395863956,87.5495348455669,1
Non-Veteran,None,51-65,D,C,-98.91360257249438,-60.299076169707575,7.664714343826379,0
No,Physical,65+,B,C,-139.8537534391878,-106.8918378934952,10.936770799719921,1
Yes,Mental,51-65,E,E,116.34407118903216,72.66332349282062,-10.294901689945434,1
No,No,51-65,E,C,-56.9927632776385,-93.53552972818606,-69.62322686473506,0
No,Yes,65+,B,C,196.28266337194876,70.78366845233246,-136.2012226278676,0
Yes,Mental,26-35,D,A,161.38061816544078,63.343596236825086,0.3810572266257246,0
No,Both,36-50,E,D,-14.826938770374657,-10.701713557085252,5.529103357499978,0
Non-Veteran,Yes,51-65,D,C,-166.99297328870827,-101.30504484578069,-47.18476643952753,0
No,None,18-25,B,E,-267.56216033568825,-117.34090722464398,-7.799763229063849,1
Yes,None,65+,B,A,56.25557051865212,2.3854413760601654,86.89516282149093,0
Non-Veteran,Both,26-35,C,B,-92.71254403048138,-86.78852671363605,-39.514756467007864,1
Non-Veteran,None,26-35,D,A,142.0538995601812,34.681807507076975,170.26990222903672,0
No,Yes,36-50,E,C,-20.37994288633323,-18.152404374439804,-108.48720393406607,0
Non-Veteran,Both,18-25,E,D,66.09379034335309,39.46519342223813,37.56737586838295,1
Yes,Mental,18-25,C,D,-94.57680950302074,162.5787490000536,-107.65096839579175,0
Veteran,None,18-25,D,B,-131.9592349983175,-48.85369078673966,-111.43066623214462,0
Non-Veteran,Mental,18-25,D,C,-21.48404816041691,-64.19553296235995,-82.96480756590671,1
No,Mental,36-50,A,B,26.049745562476872,91.08217907519206,-36.994964081055016,0
Non-Veteran,None,65+,B,D,153.56365877155548,-25.938401534479443,88.74916216370626,1
Non-Veteran,No,18-25,A,E,-106.40285827136418,-8.706893497866279,104.37006608083294,0
No,Physical,51-65,B,D,-152.6576723035272,-24.525642759057035,69.88262535813809,0
Non-Veteran,Yes,65+,D,D,171.81826738854343,106.4478003573027,55.90937923262873,1
Veteran,Mental,18-25,B,A,-61.64221446863253,-53.68757413577926,-83.34173666582161,0
Veteran,Both,51-65,E,C,-64.03304301760299,93.1166949447248,-33.15111986618947,0
Veteran,No,26-35,A,E,45.50623747398384,117.38031775209505,163.1737709386413,1
Yes,No,51-65,A,B,-145.2813441647158,67.33322555375051,-85.35264497317272,0
Non-Veteran,Both,65+,B,E,237.77523163143135,-148.77784313003613,-39.572031233301644,0
No,Yes,36-50,B,B,199.5380216855098,27.26441180908674,-43.16676945213754,0
Non-Veteran,Mental,36-50,A,C,30.35344761727487,128.70107129703985,-113.35345187287109,0
No,No,36-50,A,B,-76.58271416875412,-68.31911015953551,138.36888649953488,0
No,Both,36-50,A,C,61.69340055909729,-9.874069416485442,100.33391488838687,1
Veteran,Both,51-65,A,D,29.00226821092884,-49.417999597144515,-91.07285051319865,0
No,Both,65+,A,A,-5.872250017299788,-173.95542788627566,-78.93655244405159,0
Non-Veteran,Both,18-25,D,B,-148.38607607111365,83.57753547327576,-33.58334525331339,1
Veteran,Mental,65+,A,D,59.84259075351771,-62.417132754710835,2.5932457252935426,0
Yes,Both,51-65,D,E,-13.228959952976375,-2.9097418995551347,54.74032323422027,1
Veteran,Both,51-65,D,B,7.6444345359618,-4.546904729570287,106.43908366065602,1
Yes,Yes,51-65,A,E,124.03852704389963,15.168460611541077,153.16955477478552,1
Yes,No,51-65,E,D,-36.810916602474904,39.651487398502226,-126.07902978317769,0
Yes,No,51-65,B,B,-97.04568142284849,34.62487717566115,59.269313364588264,0
Veteran,Mental,18-25,B,C,7.78558136554484,27.11588826505053,76.99141312789311,1
Yes,No,51-65,B,A,-178.4525649644183,-3.5669284176122353,141.98770977043412,0
No,Mental,51-65,E,B,18.585086949313244,103.72514157256336,179.14432308623262,1
Non-Veteran,None,51-65,E,C,-14.902525931529734,-56.27308247911201,-140.48036959206206,0
No,Physical,36-50,B,E,-78.35461618335047,26.132867173932002,116.04481660515586,0
Non-Veteran,Yes,65+,A,E,32.432877814870956,221.1191196057819,95.7519008904168,0
No,Physical,26-35,A,A,21.553351197810297,6.740654491546216,68.52304094901717,1
Yes,Both,65+,C,C,7.4374375693408945,-73.70123692216042,-107.02975953530174,1
Yes,Physical,65+,B,B,193.93628453218105,74.96821375123326,-39.42973803741713,1
No,Mental,26-35,D,A,128.6638050530981,55.52271844356387,61.673697581040756,1
Non-Veteran,None,36-50,E,A,-154.3489866527168,-44.155814382234446,195.32626913853485,1
Yes,Physical,36-50,D,D,156.32385533628795,-77.97221384487642,-39.838981983938034,1
Non-Veteran,Mental,18-25,A,B,-202.82180732958196,8.300605572031024,204.52879070699095,0
Non-Veteran,Mental,26-35,C,C,4.179292584867839,45.463277566713785,27.55559307443724,0
Yes,Both,18-25,D,E,-8.652350830361351,-41.870993313255674,-185.45470942659387,1
No,Yes,26-35,B,D,-82.8999129048376,-106.06793070427022,-11.96305755461081,1
No,Yes,51-65,E,E,40.87143439718564,-177.86841099523537,48.19400250654675,0
Veteran,Both,18-25,C,C,19.914784792926994,-75.66693347292566,-143.9387899148826,0
Non-Veteran,Both,36-50,C,B,-108.46358778357047,-34.71280897337616,-87.1825225274966,1
Veteran,Yes,36-50,D,C,3.736636022448864,129.03943634865306,-13.309241368729516,0
Non-Veteran,Physical,26-35,B,A,198.89229439757133,19.91103878242284,60.90792979398648,0
Non-Veteran,None,36-50,D,A,118.229094258775,74.72904597936551,-108.11321961454948,0
Non-Veteran,No,65+,A,D,125.7088792427642,-81.88911311843671,-41.87001968014937,0
Yes,None,51-65,E,B,47.840490365442456,-18.23943506074092,70.622144605302,0
No,Both,65+,D,C,59.91012915645222,103.46568650472659,50.71857809720435,1
Veteran,None,36-50,C,B,-4.033522198274781,-120.46180199952003,-237.56818751358932,0
No,None,51-65,B,C,66.75684554488754,5.789785754453581,53.31605776984728,0
Veteran,Both,26-35,D,C,-115.60373243775834,-88.02172773440951,-110.98366560271515,0
Veteran,Mental,18-25,C,C,-4.424704066369527,-96.0282832571552,35.350771530549316,0
No,None,51-65,D,D,-32.41485161091605,-140.89417572432964,24.529286590772415,0
Yes,Mental,65+,E,D,28.928608190215293,90.92835335558587,84.20274967531303,1
Yes,No,26-35,D,B,38.73609170015269,-199.44868710492608,26.87991027182069,0
No,Physical,26-35,C,A,108.8415670240425,32.22254466038347,45.01229362717647,1
Veteran,No,18-25,A,D,145.73837202448092,156.0757475207859,28.016925761849116,1
Yes,Yes,18-25,C,B,145.67239136308845,79.16453644289999,13.223583640942294,0
Non-Veteran,Physical,18-25,C,C,79.52351499952577,-93.83805360368265,-39.54096139120429,1
Non-Veteran,Yes,65+,A,C,128.01091533372107,-95.47144778928795,16.907769710909974,0
Non-Veteran,None,18-25,A,B,-113.71251085334858,82.31826365098371,-93.68523833229443,1
Veteran,None,36-50,A,E,-53.981878298408944,4.2428420351049985,233.24508128789665,1
Non-Veteran,Yes,18-25,D,E,47.26732771682571,-40.166325639892065,-127.81097992395483,0
Yes,No,26-35,D,C,-131.97700147992154,33.29896370437191,-202.70679889834486,1
No,None,51-65,E,C,52.46823460136182,-109.18022453920611,-158.06394527527627,0
Non-Veteran,Yes,26-35,A,E,-91.77583412630578,55.817260137461275,-85.50791952943709,0
No,Yes,18-25,E,C,-4.638000018501417,3.1872931173077808,-45.477141160504985,0
Non-Veteran,No,26-35,B,A,72.09825799106893,-105.75509029661245,-8.557848594610883,0
No,Mental,36-50,E,B,72.86556484056403,30.391907718096395,12.42880206865015,1
No,Mental,36-50,A,D,173.4960894533814,24.379203728960743,-57.29177730993719,0
Non-Veteran,No,26-35,E,D,39.11625472629941,-133.39647015893692,-77.7152264307369,0
No,No,65+,D,C,-45.31633136487924,65.82607422000186,-47.13809616991365,1
Veteran,Yes,65+,C,A,153.59206251398246,-118.98233142946879,-64.43071055391147,0
No,No,26-35,C,A,3.7812023859107806,-11.017234878482954,-7.698131819341432,0
No,Yes,26-35,A,C,-99.64073578392563,99.2657229287301,115.24798929295392,0
Veteran,Yes,36-50,D,B,24.385604466761876,164.02900813767494,104.71282506179082,1
Non-Veteran,Yes,51-65,C,A,115.94236358266711,82.33452558472902,-140.72432996430814,0
Non-Veteran,Physical,18-25,A,E,-106.60238953635198,-97.49690386392763,16.12290875838038,0
Yes,No,65+,D,D,-74.16841729915936,-169.75185502954463,74.97841055865622,0
Yes,Physical,65+,E,C,-122.11548564842238,84.20727447974095,-81.47285287413779,1
