age_group,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
18-25,57,B,31.386031575779107,-31.349348202506107,A,C,C,77.3029119694382,B,-111.51862323075991,72.5943032948684,-48.298612208924574,4.586705362939931,-77.61836713868713,-124.50677099689325,D,-167.7878520857021,E,E,1
18-25,54,B,116.28023085625424,-92.0292370239929,B,A,B,-55.47309476823897,B,-76.18035454510796,-20.497634235170143,42.51514882376701,-180.710119421991,-265.8178737501407,43.25143952858938,E,-137.0221379134635,D,E,1
18-25,25,A,-45.4761350151173,-35.05601909789504,B,A,C,73.82527042217896,C,-73.589305162555,-2.77142921644295,93.53622913836294,-15.54286286648667,26.92109502993861,-116.42147466692907,B,-4.764683942969922,C,D,1
51-65,75,A,-0.6722562051411456,-15.119681725595413,D,E,D,-74.88592773901829,C,164.13920229407458,-208.17854184235446,-132.2390767139632,-45.76141142412145,-96.64466354967827,103.17180890895324,C,-79.61572777361093,B,A,1
51-65,60,D,44.15623170572335,-65.28190481946244,E,E,D,212.14125078800996,B,-208.91227157375317,59.71846454619465,-36.900483706981845,52.57724079565411,-93.38259999069847,50.76866222322548,A,43.14101478399492,E,D,1
65+,54,E,91.97503824706055,57.324524580736224,B,A,A,-47.17489862605551,D,-5.054019239107289,263.67821174873336,94.6977158315516,-50.417455661891665,-33.22591548522815,27.487868858123132,B,199.43843784481962,B,E,1
51-65,39,E,86.78738477745058,106.31808087368302,A,E,E,83.216621376415,B,35.60669641059568,-79.06690177538358,-143.66154005709112,-44.7707966936908,116.1648359155411,-60.87335558174399,C,-61.02211515425885,A,A,0
51-65,55,B,34.6661151421448,132.227060902285,D,C,A,3.9354218608892344,C,-166.70773730104258,-12.999036058480776,-69.92927301181678,22.388299637763403,107.5291141745561,-112.40937586482742,D,-74.92905046329817,E,B,1
26-35,70,D,118.45125651279795,251.02442223672728,B,B,B,-21.194436770420463,B,-53.199493767316305,27.967822772459467,52.172920854968815,-37.39923921648121,-71.91648071603247,12.43492042384041,D,66.09392894886116,A,C,1
51-65,24,C,-36.43724106961916,-189.1319500473003,A,E,E,-84.68597552256747,A,107.52172355422347,-0.932815235166504,193.01238234473942,47.112991860014965,96.19990213214741,89.50573355444084,D,29.411398307630797,C,A,0
51-65,55,C,-12.924091413054898,7.112250217900222,C,A,E,-16.69460952844012,C,71.68840942679405,52.91376468633906,-15.932219942588866,-42.96269352776666,3.2879707302972285,-204.67142144729974,D,-2.701933348470616,E,B,1
65+,83,E,129.94145164247405,-20.174281052516292,A,D,D,-26.924152665496372,E,6.414284808596225,6.720111890780135,41.33122676416194,50.43103342959512,131.66482615592926,25.732336348756597,D,17.03239316835073,A,B,1
26-35,34,B,170.88394494926837,13.868951536960989,D,B,A,-48.23920916942541,C,-1.6699496804759364,-34.29156709178973,-145.27071706138796,81.54310615617575,-77.94754698106068,13.236993226541685,E,29.863229136181914,D,A,1
36-50,64,E,71.66941427550371,175.96904257119164,A,A,C,-2.342648153130708,A,-46.32513996914841,-158.4748206641925,-95.79263872641395,24.55059317706262,75.45074494448716,-96.86123770244653,A,-3.2067956101595496,E,B,1
65+,89,A,335.85469220593683,29.766642095821094,D,A,B,63.35527311174102,D,86.24400821582041,-73.84142873587702,46.08394907925107,57.06182240901665,-229.95540437220342,-158.28361192355842,E,66.55385403043567,A,D,1
26-35,57,A,-37.74217436843219,-95.32614616566133,C,C,D,-133.02508309868617,C,66.26527540661618,-91.85184930307983,-38.387925393522096,-126.09773618489896,-157.23615148463023,-90.20488707529204,E,61.24432699913503,C,B,0
65+,98,D,-47.65409778330998,156.32364841229398,D,C,C,92.07574562535878,C,-65.30843668183913,155.00529616246058,30.648133998474385,70.07821259746257,-123.10330974937563,82.65307933718896,A,105.14015893020488,D,D,1
65+,31,C,43.15612000499711,-96.39439551810585,B,C,D,77.86110442548504,B,93.62682188205571,-27.67026692227522,114.87710954959047,-105.2310487151197,45.28313766615487,73.54166042290473,B,2.11454199511763,B,C,1
26-35,67,E,18.91906461137359,-96.1904730518155,D,C,E,-122.92402128394791,C,-11.543000937268689,50.37501063230607,-78.12915732044804,-61.01231332553129,53.20251324145252,9.174775951053467,A,-143.18559045037284,B,A,0
65+,18,A,-20.196205872335693,57.50603639525167,A,B,C,-197.2151658434307,C,-2.607796322093903,78.30771248781664,17.035396874444935,44.41022523696066,44.02334914853511,-23.06537871459299,D,-84.62369371010978,C,A,0
18-25,60,C,112.23025770375843,37.228253348246916,C,D,E,-6.852017824807779,D,0.9392896736887926,74.15607710064782,138.93477202748153,6.719419192103363,93.69420614719374,-22.190475758122588,D,61.33285350938761,A,A,0
36-50,39,C,33.34130931318054,-13.962787992483142,D,D,A,63.28774978446595,E,-26.476913010142162,54.164323524852406,3.338546380241992,39.609021618618186,-45.945748585939974,74.80154925147599,C,-166.043736698709,B,E,0
26-35,82,D,69.33884578716903,-7.256275166001974,E,C,C,139.12660233413658,B,-106.80912565728873,-17.248923419119333,-60.72573857288487,8.504122854135204,-1.6866515349810831,91.69003912183572,C,-107.77142693940003,A,E,1
26-35,68,D,-123.9457958346427,-111.18947567976936,B,D,C,102.5188129286571,D,42.29667076804436,-118.48454540593887,95.61926857902111,14.281091973661447,-116.85591692855112,210.56132033514632,E,-123.20780015150414,D,C,1
18-25,90,E,-41.14125619322144,-58.764002826789294,A,A,A,-49.319481745443774,A,52.8403408955768,-203.4420938819089,55.66662944990773,-96.20850271337672,-91.75687401080529,22.876628291930846,C,229.4025479524224,C,B,0
51-65,86,E,47.44610400678359,71.12505689156534,E,D,E,44.39831385728906,B,-16.06235999286398,18.621133556701945,27.09306051941034,-86.58438763144393,11.2654980765977,19.61092636397597,E,-31.582896297745165,C,D,1
36-50,54,C,-12.869915826339923,-48.073238583217524,E,B,E,-109.45796324873199,E,0.4477151553086606,177.1727660018002,-46.12105777357343,-28.739775636698855,-14.421950413614523,102.3786371223781,E,19.05511987721423,C,C,1
65+,83,B,142.20177465575742,-86.56345372006427,B,A,D,-124.18941818174912,B,17.67057765365737,37.68846899929723,46.110032030434496,86.64005362482958,-78.61189515420276,71.3434753383328,D,-68.23391932802255,B,A,1
65+,55,A,53.01424622771904,-140.29405594001145,A,C,A,85.21559736284391,B,-47.3357918966651,-59.01817836454302,-118.69037500927504,169.20264884148972,-5.74948123311273,115.30017325920383,C,10.543866820388704,A,D,0
51-65,43,D,88.54440491635289,24.058663242507507,B,E,C,26.29618132994779,A,-52.01209165865607,115.51463825042761,2.6048621270772485,-81.37421749651408,-91.67596209980202,-53.39099057551571,E,116.5337475668181,D,A,0
36-50,86,C,-30.40922221592823,-45.65345265960432,D,A,B,156.78379227537573,B,-282.39899710204725,-11.668254558912928,-210.60896739157764,-2.541546453664131,129.48082014857866,-52.755722184346276,B,-154.40698085159522,C,B,1
51-65,30,C,-34.68655006072156,-39.723637116286696,E,E,C,-60.75329119097576,B,-242.12742940437158,37.919457063787,-118.54915351228779,157.76486508001602,-85.57482646981887,-4.559587697344566,B,-58.229443483582024,A,B,1
26-35,37,C,165.3922901541629,-62.835653130218795,E,C,B,-87.95348918095999,E,-28.08081215919595,-145.30489417421498,-145.4786850767009,12.510618283480987,102.48415401514201,130.6513062245817,D,-44.07071140384423,E,D,0
18-25,86,E,-129.90088212689642,97.71407455676021,C,B,D,-20.28054772964165,D,104.9384426589868,-67.57365973970008,-116.45149822692132,-40.138111944000556,2.2052701933264687,-121.61406384154647,B,73.67680249867293,D,E,0
18-25,75,B,42.88854667347509,107.71864530002269,E,E,B,84.02488687035037,C,68.23432463933578,-59.51040378420526,59.170188387656786,57.278254854785935,-63.109064512146126,121.47633836658969,B,-21.659037452367887,E,E,1
51-65,85,E,21.247094436686208,-28.092432613542627,A,C,C,27.781024770345276,C,-63.135661015486264,-32.002792384915935,-7.417714141566116,118.90226284056958,-136.9823589762145,24.97584258102264,D,-7.953254425231311,C,E,0
26-35,60,B,27.814544265703184,-41.25691496282053,C,B,A,-180.99845910140607,D,85.50672311835643,15.235481745579746,11.567529915833074,-70.98072750684659,183.83120143875345,-50.59987372744398,C,108.12276290893242,A,D,1
36-50,61,B,-31.38180243559583,23.398679348114975,B,B,A,71.39282315100685,B,-54.68289700877248,-71.32522683547731,130.78867864148822,-2.784354801672364,42.862705127340206,-75.14732033664752,E,-42.99478189674201,A,A,0
18-25,73,A,-167.66010276556256,-135.26405648872867,E,A,C,-36.11761776306029,D,-0.09899721712968959,-124.39109595208906,-191.74077997212095,-149.9323189829067,-39.952614987106685,-163.56020028914583,A,39.619830453836336,A,B,1
26-35,55,A,-82.35012751038224,130.4198415647847,E,E,A,66.87174004888719,D,-127.0540470074996,105.98615524175676,116.18112380322947,83.69823463935413,-80.87122244653573,25.00467177625243,B,43.70396736794833,E,E,0
65+,59,D,204.73736050252543,-120.97465931920021,C,D,D,13.1558213587865,C,32.19373622975222,-38.87946083718079,42.44448061814196,63.28175986193247,42.92478908581405,51.012840617867475,E,2.5104369279586707,C,A,1
18-25,34,D,-13.884231590934615,-72.77579668616718,A,B,E,-146.7956101149001,D,-31.61851420675251,-96.15364374092535,154.8087000901798,2.7949432766741555,0.5007298819787485,-71.4032978576616,D,-143.34771262006228,A,D,0
36-50,84,C,71.84280313246572,-29.02387253925354,E,A,B,-12.626318099210959,A,-196.53487637435234,40.79281309245898,72.95846696718623,205.4716873425586,-11.710371723704032,115.78685371548639,B,24.02725241913114,A,E,1
65+,34,B,178.0342300821257,-0.5602997826688975,C,E,A,-335.1721492405838,A,16.054293833592066,-145.85377290952374,76.93827083032377,51.98808532097748,-108.76479898306654,-43.80715058464011,C,-21.642788760307173,B,C,1
26-35,59,A,11.385777145992686,-99.2846364588117,B,D,E,-20.542465848243232,D,-121.31875678851148,-69.19215060852008,32.300093718502055,141.33767970486062,74.0470349277165,-56.24564676068855,B,151.83582878415967,A,E,0
36-50,81,C,-54.71505746795696,-161.3985159579043,D,A,A,83.14368606626259,C,46.061188550679766,101.38265398049036,-28.85045017503306,-60.74151132493082,-29.65251325081759,-25.105585562965317,D,-113.77498487192088,E,B,0
18-25,29,C,23.72749097917002,95.05351105864234,E,C,B,-57.27355433431908,E,-30.25046610150788,93.66583159129303,36.091144401627915,5.465363715346254,137.12355141719425,44.25212358739486,C,192.33795777095045,C,D,0
36-50,47,C,-8.181135224813696,75.93791982951666,C,A,B,23.36078581853645,B,-37.004524348373366,180.24141256948738,151.52997192765986,-151.3041002314072,31.258630688861995,-57.32880260913027,C,120.7154272766336,E,A,0
18-25,40,A,-171.98680188069798,84.98961668095512,E,D,D,-67.08676471312867,C,-1.9508417632868504,31.38691756783733,47.227683246535555,29.223476476266924,-48.97972955849744,32.24524207297792,E,18.09964769059926,E,B,0
18-25,21,C,37.58979646515251,-34.8287576692283,D,D,D,-82.92813659781831,E,93.87767464333994,-35.1338513600365,94.14144795673158,-21.707339782917554,-97.94999826631745,82.96497965318966,D,151.99787826773758,D,B,0
65+,39,C,-72.53633894249492,1.3843133473385438,D,B,A,51.80609044605973,E,-117.14024554302777,5.019024642417456,-90.18562341440382,-4.177517766696061,-70.54149337973645,69.21756418269226,C,56.458320491952485,D,D,1
51-65,68,A,78.55982953269486,58.67935069948662,B,C,E,159.01059308102603,B,37.80128687241187,10.979426867916207,-62.86920148196903,61.316246113910275,-58.11755209630205,58.9950516632416,D,179.68579245820985,D,B,1
65+,31,A,182.60277220578965,49.41704758744254,D,D,C,33.07256437057273,A,30.438836581978734,8.417843195779325,-219.97049987071938,-4.736059395923414,-40.08302793125002,8.098264667455862,B,213.9896090008141,E,C,1
26-35,57,B,123.88568355408643,-73.7568568930092,A,E,C,4.089599734666093,D,96.31401716252392,129.4359778528785,-103.188648421358,104.28266213772355,-97.0198205898781,-12.77045638394792,B,0.5804812581393242,C,B,1
26-35,62,C,64.0636083802332,-131.99649815289442,A,C,D,58.03441770090523,E,65.60551482384254,18.025810016944657,-17.172271672490012,52.69598642860598,-64.02861048409612,-33.78345296277354,B,143.93872559175443,B,B,1
65+,63,D,64.43340402869121,-60.61070682850217,B,D,A,-111.46264066548616,B,9.743597239280692,-56.50573820221282,-59.74290266002297,183.34797528225485,-98.17010251398874,24.148821629031325,B,-100.2320391796613,E,B,0
36-50,51,D,-103.66015709316574,2.8210890468872845,D,B,A,-111.87062860654574,D,85.53087992320704,-37.39077340011557,-31.576635583082336,-145.89547524996124,-53.764930055817885,5.846300481955265,D,6.226184677086483,A,C,1
65+,83,A,-166.22936547491608,-107.48639702963054,E,C,D,181.51386147651735,D,-171.49389017016014,153.47034030382022,6.203716429555665,45.45298503631239,0.2680974560736669,114.21966420717726,A,125.75052286766548,D,B,0
51-65,28,E,-134.21492619217915,-50.52705336278467,C,A,E,87.38846303320427,A,-22.78296546521531,53.5305686217251,145.1253099908879,-64.28946036725574,-3.200101714448639,-10.886538189351395,C,-15.002888978797223,B,E,1
51-65,36,A,6.6543955278375515,-205.58343213130252,D,D,B,-240.83166347768702,B,-133.1874615281026,79.10523536137578,-25.70828295718119,-91.80450366796015,-74.9602349886047,-182.54911238996013,A,21.16142878287476,C,C,0
18-25,69,B,39.16715146844836,-129.87124330697785,A,C,E,144.30424639545043,E,113.73951959991113,188.97238156171707,112.80566078945277,-128.64353414598594,-24.522805459511833,75.395810272925,A,68.99381180186626,A,B,0
51-65,80,B,21.870525124071772,-23.78949557850649,C,D,E,-39.06593582769234,B,-33.81244995824294,145.53346711166003,40.451028911138,96.15968640115533,138.24005015451786,-85.40426543128288,D,75.6042902508491,A,D,0
65+,57,E,30.842565836812625,40.40019923410603,E,C,C,-41.1709721369806,B,110.59437721500214,-69.06694195656864,34.77469827297377,26.296564516407557,144.44854337220895,-67.50474618772051,A,-141.38962803853852,A,C,0
36-50,93,C,92.16210016004143,258.24122702434966,B,B,A,23.96404415787296,E,-8.760718690631583,41.497025326311324,105.98316322156242,138.8529818484244,-67.18270011789689,-4.0856526823730235,E,45.51155257634668,E,C,0
36-50,71,C,-110.36128207542436,-84.12641948371473,A,C,A,49.97967673870974,A,26.98977975427022,-55.33861693790214,-30.966307088375334,54.84383464519495,72.54668218294502,-78.04666228000092,C,-163.53457936680266,B,E,1
65+,90,E,124.94612741539437,-83.08391479077346,B,B,C,-68.51374092530655,D,-201.1802733071479,-142.53852395680644,14.098727921109624,15.878405185987877,-56.62191060360472,42.41424516385132,D,57.89148054535942,B,B,0
18-25,28,A,147.8108389628604,-134.83829685979867,D,C,B,32.78648293588525,B,75.4526442838271,-8.338062413151746,-91.62550391917715,127.53843005919198,-66.83493959709821,-212.70699197637222,A,67.60064407674491,D,A,0
26-35,76,E,-82.59751435065273,23.313487738538587,E,C,A,28.199770547598078,A,-151.81323998731682,229.45307704280444,56.51448672392855,83.1327443237443,59.342858319221826,28.705616264522543,A,-13.84259849598842,A,A,0
51-65,46,B,67.30402974667683,41.84947318431334,C,B,C,236.216241486684,E,-48.849380279011875,-67.40850339348782,181.8230969224729,-95.24288702417144,73.35708419902949,88.74891172732757,E,1.7955113267828597,B,B,0
36-50,94,D,-60.47335977459578,-67.15776035881885,E,C,C,-141.74773303014538,E,-106.81880812462636,176.74323346936114,-40.00216764482758,163.18720566256772,-66.54795071658958,109.37667231254571,A,-199.41302969638483,D,B,0
65+,68,D,-8.675449086322779,244.25815617192978,D,C,B,-120.78454939391577,C,-80.5692196746112,-115.04713204690833,235.33965513065345,86.96066991250896,-25.52940658387488,-32.229104795584476,A,-92.94177918966753,B,E,1
51-65,48,B,156.18476028027814,-197.14131355857145,E,B,C,-46.18244655048624,D,1.5384691476442012,-92.00501410594609,-18.302381561398526,8.592547954090685,7.331117970068524,101.87288574853388,E,-207.9512986704433,D,A,0
65+,68,D,26.162762715787842,-115.56240431761924,A,A,E,2.834157349128113,E,-78.27666457431692,-97.30722179785765,-36.215011163119456,-192.75936026472343,-16.764866587638707,4.9015676420897965,D,175.33473354193754,A,B,1
36-50,21,E,100.52358096029923,-249.71872701942442,D,E,C,116.45784348806687,C,-178.45759144565596,-83.77588633843548,173.47696449384344,-152.57664163789468,62.527566119904996,-105.48751709619336,C,170.24422684023668,C,D,1
26-35,32,A,40.53879668558382,125.85058040877368,A,A,E,85.46051675522509,C,-156.1998019350724,-41.42627290148876,-140.45519007978655,78.29538401001615,-65.6669946179228,132.30569265913513,E,-127.83067583096232,D,A,0
18-25,62,B,92.39343289340115,-50.2761640380745,D,C,C,12.828927863232211,D,-4.739986041017703,-69.84094612700625,362.27871860278395,-4.846544632049536,-55.373308700228364,87.00659823054117,B,-60.90970132366792,B,E,0
36-50,93,A,32.73629071245459,65.30441315399489,B,E,D,105.33928177258971,E,84.70867012372439,65.43412842225635,0.8787201656743422,-125.67720022277018,73.80052596423707,-129.11633417464267,C,72.43652022671564,B,A,0
36-50,47,D,-173.1310710397944,88.09696404436073,A,A,B,18.613364363027443,A,70.13767262869214,-118.21235701498568,4.8064961073370975,43.946549675981686,103.66687429671966,180.61234029609747,C,-98.84889981531784,D,C,1
65+,91,A,-8.126365475208889,-59.449156720492,D,E,A,113.83762455725706,E,13.424243198509412,84.03303049729128,82.10804444523382,81.08861176345611,-78.43093406201275,-34.836876923411666,B,136.76147785082995,B,D,0
26-35,41,D,-67.08615702744216,-67.2256297757501,D,E,C,11.098575288090071,A,-42.440796399218996,-56.27299538555223,198.79636124116945,-22.904155441682285,168.9653123085999,76.71258850952954,C,-50.14663588167117,D,A,0
51-65,63,D,76.30476515249806,101.82117585230101,A,A,D,82.23847951988913,D,85.1201379660688,-172.0338944333665,95.33341881720527,23.848728716944276,9.98070432290347,29.617428133115503,D,-53.35404921306603,E,E,1
51-65,39,D,83.52987846059662,-90.73888284635181,B,B,C,-128.89543793763244,C,-112.58634535651717,-75.36350960294588,8.764205118576365,-85.07454339323822,-17.075310522024495,90.6486350200113,D,174.73065545681527,B,B,1
65+,31,C,12.87123437198705,138.98040666372205,A,B,D,-67.79060902224614,E,54.63573524114036,-49.96808282582461,-12.257749714186392,-187.731190213473,33.019758887173786,99.03804542119616,C,40.894183048964685,D,A,0
36-50,59,D,-64.11172845961289,-14.583526463362642,E,D,D,26.01870616881165,D,-37.45203643935193,78.1127439536338,-31.84024017072656,150.86162934865354,-31.870796119616912,108.21618043479985,C,-47.30513078718953,C,B,0
51-65,65,D,125.05841450758075,99.2974617318034,C,A,B,78.83344407707628,A,147.04920804216206,61.10611245035899,-133.49793294662643,-1.0357734025097076,99.54650312255104,27.210803856099393,E,63.587829328010805,D,C,1
65+,66,D,-1.3087414913725597,-59.97918540774959,C,D,C,189.8094222286336,C,94.74183562115147,-84.45856038919855,65.64861690574799,-17.8796879048497,143.31689735383614,181.45421907057013,A,201.3848825562129,C,B,1
36-50,19,E,67.30983949564168,248.6570133671699,A,D,E,-98.99473227408873,B,242.3595096245301,-177.02428538763758,172.68326729277732,76.71076906146234,16.50331297616058,68.59174602826745,C,-58.43960022950311,D,B,1
51-65,48,C,218.2665981108852,-50.811914519377424,A,A,C,-13.527242594272062,B,3.8138741051263976,-9.888345734713285,89.25109879836155,111.34697830750699,30.727630161378507,191.18089419007094,A,104.89123845048918,E,D,0
36-50,47,A,-44.790600060513725,-109.45645797149413,A,A,E,103.34406625145081,B,-129.6230744666599,-115.32959830513845,-56.67506463612667,187.99176650580978,1.0438742324707897,206.581597595827,E,-20.482482626682604,A,C,1
36-50,20,D,-50.56581851648292,127.8378353489693,B,E,D,-202.26151180152252,B,54.35615232200145,-3.1216025697506926,47.03616057801887,-312.54838126529,-22.739573106740576,132.79501996248973,A,-22.121766073891028,C,A,0
65+,52,E,-13.075648597951309,179.58489306398155,B,C,E,-143.56913786325111,A,-17.192332425590422,113.56191055532928,109.97464990307633,-52.01619898526377,-14.281410154521296,31.33971109117004,D,-69.31288709134257,A,B,0
65+,35,A,-190.32849132143838,-6.460310837817191,B,A,C,67.50400097896956,E,-110.1096465360278,-141.50628678157946,71.27789133807609,-62.05801505135277,106.85361393311344,-172.76638754883027,E,-51.464219498279576,A,E,1
36-50,30,E,-52.29860096085913,-74.37588498208466,B,C,C,-53.938874008106154,B,142.5278031421228,132.1806752614962,-24.48003009146859,-42.9748226374404,79.89469166924663,37.15713723889882,A,-8.390416376653906,B,B,0
65+,26,E,-136.81236544319358,-54.722575209797796,C,E,E,-72.74726735127996,A,-59.668739522278656,157.4959246545942,-105.46562655306901,61.23018293667404,9.585331042510694,-17.0028773849177,D,7.500814351759938,B,E,0
36-50,57,A,-9.60405768966823,-122.50927958446134,E,E,B,-133.86378573774385,C,158.5311917228414,136.04306494671232,-116.89830164408528,223.21498746350352,40.2578186747764,-159.17417669773585,B,103.14847764274357,E,C,0
36-50,54,E,16.81895062361028,-4.048339214101149,D,D,C,114.57738143962078,E,86.06621569421037,105.37985430770959,127.75431747017689,-0.8600094667117657,137.60538313300395,-123.87196091864566,E,177.04119501207262,C,D,1
